"","ZNF417","HAND1","OR51S1","CHIT1","PABPN1L","TEX15","COL1A2","LRRK2","HOXD4","APC","GULP1","FLNC","SCN3B","PMS1","BOD1L1","TP53","PLXNA3","ETV3","NRXN2","LIMD1","GLRA1","FBXW7","FABP2","TCF7L2","SCN2A","CTR9","TBP","TMPRSS11B","AHNAK","MBD4","RHOBTB3","RAB11FIP1","ARID2","TFEC","OPN4","MAN1C1","OR5M3","TTN","COL3A1","CCNL2","KCNQ5","CADM1","GK2","SELP"
"Peptide ligand-binding receptors",0,0.817622781156243,0.852193511776261,0,0,0.816176543643059,0.8498692536426,0.851542077425928,0.815413392638068,0.849322632315984,0.81906957369036,0.813771198377596,0.819159085589684,0,0,0.846972980174815,0.850738655841356,0,0.846680915636932,0,0,0.848442733898018,0,0.845573110834746,0,0,0.81631636972914,0,0.818955632480764,0,0.815720546748087,0,0.816255752187742,0,0.879500355887042,0,0.852193511776261,0.814247330289543,0.844763295732576,0,0.850436652180007,0.854135219226458,0,0.819502911540463
"Transcriptional Regulation by MECP2",0.344821590470571,0.417164141552369,0.423916655257515,0,0,0.343480575605749,0.419548212977301,0.414657334228751,0.419318809803673,0.489307726761356,0.432621874708704,0.494280587074519,0.420799562788175,0,0.267537789386052,0.487758529564486,0.421995099122151,0.421602982835713,0.419733836029727,0.269628379075876,0,0.416114730063465,0.271739097160148,0.423201881305917,0.420342055864706,0.417497063668738,0.413957444848248,0,0,0,0,0,0.343671222237758,0.275358045444656,0.420214245425524,0.342698113411744,0.423916655257515,0.419217210570384,0.341858756928907,0.264665690722021,0.34667962114125,0.501586330421186,0,0.342615549240471
"Transmission across Chemical Synapses",0,0.761512837892843,0.788559250553272,0,0.704045409275924,0.729586145738961,0.758912643611072,0.758002603007927,0.759748098963313,0.75909157325576,0.732524223356365,0.787081149104407,0.759374051908026,0,0,0.812654720229802,0.758650378094591,0.762462082297239,0.759278794748363,0.76269922352733,0.737340088946682,0.754667479343263,0.761846450157418,0.759694677502131,0.759319605899562,0.758848263243038,0.758435035275466,0,0,0,0.761846450157418,0,0.72965645326456,0.734270800831157,0.785213966125241,0.760813899866117,0.788559250553272,0.757024743949616,0.759458738530646,0.762134929336914,0.759679936180468,0.756818301993272,0,0.73127816444295
"Interleukin-6 family signaling",0,0,0.672304844046917,0,0,0.673893861759783,0.769936722441464,0.775775555592651,0.670217357927075,0.770919924310539,0,0.668106839102092,0.777179609324176,0,0,0.853102064043427,0.668111087617178,0,0.573267975764997,0,0,0.660559644021063,0,0.770948064595452,0,0.569016350919066,0.768718361790806,0,0,0,0.577890522137293,0,0.674129623311833,0,0.764504173197505,0,0.672304844046917,0.57521669030337,0.66455432417266,0,0.575943959436809,0.586481003275078,0,0.671626724842359
"Class B/2 (Secretin family receptors)",0,0,0.853111521496979,0,0,0,0.799208509243837,0.800313078278304,0.751706132345336,0.798045403007228,0,0.749283477851864,0.802333289995578,0,0,0.796073217017068,0.755341701552563,0.752379233820429,0.800969689207754,0.809137518188448,0,0.797295882969416,0,0.799951384853733,0.802047515872899,0,0.751325449073885,0,0,0,0.75290754696098,0,0,0,0.847445403660631,0.705604977498796,0.853111521496979,0,0.800026019398567,0,0.803215206643464,0.759864226435852,0,0
"Class A/1 (Rhodopsin-like receptors)",0,0.817622781156243,0.851990240303572,0,0,0.816176543643059,0.8498692536426,0.851542077425928,0.815413392638068,0.849322632315984,0.81934936645534,0.813771198377596,0.819159085589684,0,0,0.846972980174815,0.850738655841356,0,0.846622403880594,0,0,0.848442733898018,0,0.845361118133251,0,0,0.81631636972914,0,0.818955632480764,0,0.815482141266015,0,0.816255752187742,0,0.879500355887042,0,0.851990240303572,0.814247330289543,0.844763295732576,0,0.850307909306294,0.854135219226458,0,0.819502911540463
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0.617107262778582,0,0.6276257293672,0.556132590004993,0,0,0,0,0,0.676648196700025,0,0,0,0,0,0.490426069280603,0,0.617796410190543,0,0,0.624140812264493,0,0,0,0,0,0.562591081117307,0.63008556486271,0,0,0,0,0,0,0,0,0,0
"Interaction between L1 and Ankyrins",0,0,0.713213424047964,0,0,0,0.791562049768427,0,0,0.698242180137554,0,0.789677486619928,0.878592512170549,0,0,0.775087505458312,0.792752485186333,0,0.701535167265002,0,0,0,0,0,0.878758275787841,0,0.696183584576611,0,0,0,0,0,0,0,0.702724179129425,0.793141220800495,0.713213424047964,0.697535091771998,0.69570016748075,0,0.78864947036377,0.707687969716528,0,0
"Protein-protein interactions at synapses",0,0,0.678534841455456,0,0,0,0.6756862896246,0.61656143523861,0,0.675369986999382,0,0.674210932464152,0.618341421826787,0,0,0.671727666561144,0.617505500549878,0,0.728573701908415,0,0,0.609398214132154,0,0.616441391475202,0.676690584485744,0,0.672002260638661,0,0,0,0.616861086249948,0,0,0,0.663433251611514,0.679472032726512,0.678534841455456,0.675756686064404,0.676773662812343,0,0.676990228447471,0.623508661496832,0,0.623396510782478
"Glutathione conjugation",0,0,0,0,0,0,0.580087109239788,0,0,0,0,0,0,0,0,0.686751895385883,0,0,0,0,0,0,0,0.581343480653945,0,0,0,0,0,0,0,0,0,0.603747602567881,0,0,0,0,0,0,0,0,0,0
