"","COX5A","WNT9A","PLCL1","NSA2","HCK","PHF2","KIF21B","OR2M3","APC","KRT1","HIF3A","TK1","GRIK2","PFAS","FAF1","NEFH","KHK","TRAK1","MDN1","ADAMTS17","MAGED2","TRIM45","MKI67","KCNMB3","GRIA1","NOL6","CACNA1B","EPC1","TCF7L2","CDH7","MERTK","COL20A1","RYR3","BBS5","TBCA","S1PR2","ZNF772","CP","PACSIN2","RAB35","TTN","OR6N1"
"Collagen degradation",0,0.780620280874485,0,0,0.873687727274396,0,0,0,0.873306133306472,0.879331892719843,0.876799620574069,0.876549286274244,0,0,0,0,0,0,0,0.87593161726417,0.874255822371161,0.874175481599174,0,0,0.870267111473431,0.825634412874814,0,0,0.874086952546991,0.876638304967949,0.785901998664522,0.919707790929062,0,0,0,0.825019067056395,0,0.784249003122762,0.82585654399777,0,0,0
"Peptide ligand-binding receptors",0,0.879621384464698,0,0.879949829848635,0.92041987117073,0.882666252220982,0,0.903150103330071,0.881424582967945,0.881852294885209,0.880924031965089,0,0,0.901533226045008,0.880521930256755,0.883711729530359,0,0,0.879734349484795,0.880598626683234,0.897641135729416,0.899774203866515,0,0.903701675351766,0.902036954694875,0.879181166460116,0.902382064351789,0.880436839921969,0.899056706970036,0.881375630948679,0.881338568904674,0.880118806603153,0,0.899017497978353,0,0.919703841763582,0,0.881422001463041,0.900704078504061,0,0.879313529655795,0.903150103330071
"GPCR ligand binding",0,0.914017307480633,0,0.884857260901771,0.913580714993766,0.886785231092995,0.883659959707818,0.914960685274572,0.898760152524029,0.886190976597065,0.900234599335267,0.885561457973805,0.900972867209502,0.900047093017208,0.88526330693661,0.901166691080677,0,0,0.88470432455339,0.885317741926372,0.899610303574104,0.898763231847041,0,0.900447821896498,0.900533511674431,0.899204755556665,0.913799361117436,0.885202914403146,0.897632659916223,0.885869217675314,0.885842913034035,0.884977191494685,0,0.900316822872097,0,0.913072515912845,0,0.886233883201613,0.913522884877775,0,0.884405649319952,0.914960685274572
"Assembly of collagen fibrils and other multimeric structures",0,0,0,0.856729461534385,0.894411962737688,0,0.894900775484883,0,0.89415241258472,0.898250975216621,0.896528590488242,0.895164775033167,0,0,0.86048808571837,0,0,0,0,0.895040372213553,0.894798366039785,0.89303994629099,0,0,0.924728501461079,0.894125956893062,0,0.859671865439607,0.894683505239093,0.896940281170304,0,0.925713596320038,0,0,0,0.858417951125526,0,0,0.857984387925998,0,0.859729494996974,0
"GPCR downstream signalling",0.901951468222765,0.911229738962905,0.89415848971824,0.902495867959501,0.919784909323177,0.903690897378829,0.912112152117673,0.920646618591573,0.911445098346827,0.912125731472738,0.911319158578837,0.911506526693856,0.91185018140345,0.910351195594373,0.911746238758336,0.911855620598604,0,0.895554369119301,0.901709346277188,0.902786648147088,0.903474101083205,0.910160547832847,0,0.911284411853397,0.911637707761448,0.911045349472739,0.919921440807866,0.902702834826943,0.911416110122965,0.911662291402709,0.903308156340029,0.911901373006753,0.911583400850882,0.91195253807399,0.912159554528252,0.919419069172434,0,0.90346447334663,0.919748797859304,0.903048031847399,0.90273308688721,0.920646618591573
"Glucuronidation",0,0,0,0,0,0,0,0,0,0,0.796594304229595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792115648157163,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drug ADME",0,0.724817862639451,0,0,0.73043337866001,0,0.723885714726483,0.726771515029148,0.795735881862867,0.727426242120719,0.830704244308103,0.827378453968118,0,0,0.796174832584225,0.727904124171199,0,0,0,0,0.828563204938789,0.723719737173826,0,0,0.723304302726427,0,0.761427124523838,0.764982244260365,0.829152134510836,0.726041086444033,0,0.796886834032534,0.796620229585847,0,0.798440789181288,0.794206152839298,0,0.799516252051763,0.730680809689485,0.727104405066806,0.798835948517983,0.726771515029148
"Glycosaminoglycan metabolism",0.0927260671587275,0.438454373145719,0,0.368865725600366,0.40639177565171,0,0.375012566161246,0.409643084414488,0.406129659625912,0.374632993815253,0.374034165037854,0,0,0,0.126375357734357,0.410725402931442,0.0940264418930951,0,0,0.372438674157684,0.409304506330324,0.404289241217629,0,0.409113591741004,0.406329824845837,0.374213486219014,0.403714752461639,0,0.372736992651297,0,0,0.596053849794617,0.378821103406622,0,0.375944294357878,0.40719036177763,0,0,0.408778031211831,0,0.37411918820321,0.409643084414488
"Regulation of IGF Activity by IGFBP",0,0.789300987429351,0,0.714587800833282,0.742727097798504,0.719486911751243,0.714654578907616,0.743350058234531,0.741759283296553,0.743902540337522,0.743366351074727,0.742951497388532,0,0.715738693039496,0.715955785368503,0.745016542779786,0,0,0,0.741012125935526,0.765501484993051,0.743088889305471,0,0.716445490038072,0.741018309279753,0.740689897115965,0.714003527711063,0.716685550308854,0.74148098590724,0.717279924803759,0.743620392172843,0.73887300378071,0,0.716255504100562,0,0.740860410140431,0,0.769617602206983,0.765105876954353,0,0.743377714576009,0.743350058234531
"Metabolism of fat-soluble vitamins",0,0.887188739850166,0,0.765530725912212,0.828036211507674,0,0,0.833247676540761,0.828516217596912,0,0.831226099626801,0.830371920241427,0,0,0,0.835902169634466,0.83569621932123,0,0,0.76925301634075,0.829700277255226,0.769716408821434,0,0.771395727120816,0.82723378578645,0.826821971912248,0.768346176907138,0,0.828533960252432,0,0,0.829039505800732,0,0,0,0.825862897745626,0,0,0.884428601619465,0,0.770414075539729,0.833247676540761
"Retinoid metabolism and transport",0,0.887188739850166,0,0.765530725912212,0.828036211507674,0,0,0.833247676540761,0.828516217596912,0,0.831226099626801,0.830371920241427,0,0,0,0.835902169634466,0.83569621932123,0,0,0.76925301634075,0.829700277255226,0.769716408821434,0,0.771395727120816,0.82723378578645,0.826821971912248,0.768346176907138,0,0.828533960252432,0,0,0.829039505800732,0,0,0,0.825862897745626,0,0,0.884428601619465,0,0.770414075539729,0.833247676540761
"Biological oxidations",0.852014619474071,0,0,0,0.828373584040127,0.831221103238047,0,0.809033325430404,0.828211948560586,0.830332548800375,0.850761918095627,0.851276494774749,0,0.80811120954492,0.829743069278898,0,0.829999380768134,0,0,0,0.828517953726805,0.828509977675485,0,0,0,0,0.826579737454566,0.828752965620775,0.85035444580881,0,0.831692020317537,0,0.829706567896321,0.808412539159632,0.831176623401893,0.826412741909208,0,0.850431123742808,0.827463850450295,0,0,0.809033325430404
"Binding and Uptake of Ligands by Scavenger Receptors",0,0.708608457376024,0,0.59624753492637,0.706396171820643,0,0,0.711591784428819,0.705977308701878,0,0.709811994507395,0.708088296562202,0,0,0.654766527433655,0.712479877516245,0,0,0,0.708859215889169,0.706178292118622,0.706060430715571,0,0.602164283542009,0.70629717402881,0.705093155434784,0.646261710712699,0,0.705992929279681,0,0.661059769925571,0.756910878572928,0,0.649163899937861,0.602311156794752,0.703641334296439,0,0.604010218020411,0.754594939486357,0,0.655648446523882,0.711591784428819
"Visual phototransduction",0,0.774008155965236,0,0.699688261445431,0.737872355908236,0,0.700215531325702,0.740218493055102,0.738165587737083,0,0.739821032702059,0.739903685283351,0.706071625959975,0.696739965859296,0.701969648905363,0.741924959747721,0.742551792587308,0,0,0.701962178494267,0.738888920184019,0.702245261204325,0,0.702063245955312,0.737382160539834,0.737130586782366,0.736981231278662,0.665882301448089,0.738176426581513,0.665725230572359,0,0.738485260258873,0.73666722299972,0.70183164763835,0,0.735792049932057,0,0,0.772322009894576,0,0.702671460147044,0.740218493055102
"Collagen biosynthesis and modifying enzymes",0,0,0,0,0.879008659407948,0,0.882545135661647,0,0.881688755506549,0,0.845711348278678,0.845572968810631,0,0,0.841369421296587,0,0,0,0,0.878714690741492,0.882427944635131,0.880415717977623,0,0,0.916678137968568,0.881658481251478,0,0,0.843807038038441,0,0,0.917059073081947,0,0.845002185416644,0,0,0,0.847682338690554,0.843134818635663,0,0,0
"Regulation of TLR by endogenous ligand",0,0.55747685107183,0,0,0.553149376977029,0,0,0.559544810938718,0.552330034604471,0,0.559831102197083,0.559293595013029,0,0,0.559740729175963,0.565049775067178,0,0,0,0.557967362329314,0.650265418377337,0.554196662362231,0,0,0.552955726397628,0.549412284085729,0.440999408282688,0.351381841608278,0.554006576538679,0,0.565983295590223,0.556065452782691,0,0,0,0.549406597866534,0,0,0.648619722081717,0,0.555398151288919,0.559544810938718
"Metabolism of Angiotensinogen to Angiotensins",0,0.588391521952892,0,0,0.663333148935631,0,0.585725966030066,0.670966291216436,0.584525965818068,0,0.668351510106929,0,0,0.66889898071023,0,0,0,0,0,0,0.663013050635192,0.666248395274618,0,0.669723193987523,0.663187706176993,0.583888930899547,0.664542564090674,0,0.663976955266266,0,0,0.592320822428648,0,0.668806319869274,0,0.732545724058011,0,0.672435151474982,0.663013268493558,0,0,0.670966291216436
