"","ITGA8","FHOD1","NOTCH3","FAT1","SCN9A","OBSL1","GRIN3B","BCOR","TAT","CDH18","KRAS","ZFPM1","FLNA","APC","OR5T3","ATP6V0A4","KRT1","MCF2","CARD10","ITPKA","PTPN5","UBR4","COL12A1","SERPINC1","NEFH","PRDX2","RBP1","MYO9B","GAD2","PLXNA1","SMAD4","IL6ST","ITGB3BP","PCGF6","PDE4DIP","DBF4","RPS6KA3","GUCY2D","TNIP3","MYOM1","WASF3","ATP1B4","P2RY4","ATM","KDM6A","EP400","ATXN1","RBMX","CAPNS2","PPFIA4","SAMD8","COL4A1","PCLO","DGKB","PIK3CB","CLDN2","PRKCG","RPL14","NUP88","THBS3","TTN","TREML2","SNTG2","OTUD5","PIP5K1C"
"L1CAM interactions",0.83615288706196,0,0.808805665586308,0.778993878997166,0.754334882460213,0.780077424556635,0.807750142139636,0.750836332828548,0,0.777135117072404,0.835100355108294,0.778409266409698,0.808019034796407,0.806747007408901,0.808647246532458,0.807536232994861,0.778192142947094,0.778171379946058,0,0.807860200661214,0.806399084017375,0.806728354208349,0.80741784062894,0.808964531707023,0.78102109208154,0,0.80808783255015,0.80788468280355,0.806639875912948,0.80785420559206,0.807302259245103,0.805178166015717,0.803883495693072,0.749811366910372,0.810139075736542,0.776610749785121,0.839057808554217,0.777189987016993,0,0.777210933880891,0.807782619325121,0.807750142139636,0.804889597824252,0.804640803449042,0.773691817858151,0.777530874499818,0,0.800284903223477,0.775803184573287,0.807778959084269,0,0.83615288706196,0.778196125016156,0.775943453372854,0.806917065498236,0.776453680910688,0.807246078336893,0.804791551098119,0.807702035429083,0.808649282987622,0.807733198887088,0,0.807096033928816,0.811124390566651,0.807140071086778
"Drug ADME",0.731330474603542,0,0.732867448649836,0.735239469769905,0.671288479787126,0.734230418682271,0.669848281630987,0.708449076008545,0.682615110879012,0.701682269224801,0.729019107969923,0.707967695023937,0.73226227915939,0.755585827876585,0.673458948830189,0,0.672727024484181,0.701423030278098,0,0.701169661776901,0.735133023137142,0.670090100615149,0.708095970452014,0.671734014199026,0.673092209936766,0.708168096390817,0.733564725587061,0.700235027539792,0.733192239649044,0.700986331819166,0.732269297806096,0.699705100909787,0.754768001643654,0,0.674676700824787,0.73428979879303,0.731934108770859,0.731566248534975,0,0.670079693467064,0.755968815728096,0.709160388883926,0.701709928172802,0.732027836977446,0.732997958450372,0.73355189801609,0,0.705527262695363,0.671955081438766,0.672941817396039,0,0.731330474603542,0,0.756788434318561,0.754243105286459,0,0.72999986367314,0,0,0.732816992506704,0.6842710267707,0,0.670366251577285,0.735538066695067,0.700923584814866
"GABA receptor activation",0.416894897592333,0,0,0,0.460854797348006,0.462360567444035,0.460239210865667,0.423599338213881,0,0,0.45984972185245,0,0.461276981845637,0.458308373700174,0.501626835617306,0.419197563299445,0.424596206913522,0.461232764206917,0,0.461893437280184,0.462224857250465,0,0,0.461596116044715,0.463488744347926,0.462306397771593,0.459783016812663,0.459497950244262,0.418045507460961,0.302379646138662,0.419068853253767,0.458522551581228,0.457744233654955,0,0.465048057688211,0,0.46036679582175,0.460447684868759,0,0,0.459366771689875,0.460985553361487,0.496543182576292,0.458307738678039,0.460339289853939,0,0,0.458693700765894,0,0.419509530498785,0,0,0.465802100877853,0.459709593683654,0.49633502105865,0,0.497372793920833,0,0.419582671347174,0,0,0,0,0,0.459160487068504
"Signaling by GPCR",0.926528890325157,0,0.926655805506465,0.927016806884783,0.926730540129477,0.926499563823997,0.927518742903852,0.927048890669419,0.927257015085501,0.928063392590344,0.934277044213879,0.927275993702929,0.934794038109285,0.927710566818267,0.935203142153051,0.926877694764821,0.9270694792005,0.926265245057916,0.927886562453,0.927747003542435,0.926608973484447,0.926238089075444,0.926883976017585,0.926938866700089,0.926846147191736,0.926648036497367,0.927935335013523,0.927620753729378,0.92630742717201,0.927753228207745,0.926491895884468,0.92778572747198,0.927103095779408,0.926909491655839,0.927633490631625,0.918662363191222,0.927947902038711,0.934638417058286,0,0.918679081302497,0.934683002649009,0.926655211609046,0.934751127505362,0.92598567554629,0.926691568746284,0.926843363273995,0,0.926058102948574,0.919283181144031,0.926582157226724,0.919726023779668,0.927816036766889,0.927239068803327,0.935172328571974,0.941131462309917,0.926746076431797,0.934383642542737,0.927435154404043,0.926035546706028,0.926770722913741,0.927453057549554,0.919990924065303,0.919149815022515,0.920222423640509,0.927404132181998
"Cytosolic sulfonation of small molecules",0,0,0.578297939281514,0.584712211004997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574193793156375,0,0,0,0,0,0,0,0,0,0,0,0,0.573444871970661,0.577759881202241,0,0,0,0,0,0,0.653770168587203,0,0.657612478870464,0,0,0,0,0,0,0,0,0,0,0
"GPCR downstream signalling",0.932547919900913,0,0.932686329578184,0.933041128836478,0.932767832791158,0.932515937347535,0.933033903606647,0.933115015807705,0.933341989704484,0.932440844970448,0.94040429297671,0.933362687183588,0.939781073810625,0.933243100692553,0.940227229724235,0.932928314976007,0.933137469007654,0.932260396722233,0.93402855412541,0.933282837429962,0.932648449806132,0.932230781267792,0.932935165111341,0.932995027151265,0.932893910191928,0.932677856942911,0.933307721656538,0.931958117047265,0.932362522833966,0.932102589517841,0.93250757493553,0.932138032186149,0.931183532118853,0.932962991658328,0.931972007509471,0.923968934545343,0.932314894632479,0.940798394755969,0,0.923987166788027,0.939659982054195,0.932092163724983,0.939734276864987,0.931955507066955,0.932725331834891,0.932890874139406,0,0.932034494098075,0.924645978943071,0.932662134730805,0.925128929096458,0.932171086543266,0.933322418057512,0.940787143576079,0.947285986102049,0.932784776190426,0.940520545738143,0.931755708301073,0.932066018608351,0.932811654863069,0.931775232904567,0.925417820958452,0.924500534074717,0.925670287063469,0.9317218764482
"IL-6-type cytokine receptor ligand interactions",0.743455430108124,0,0,0.828932052345572,0,0.749852293043637,0.746746657987446,0,0,0,0.817871507886275,0,0.745919485830828,0.821220817861452,0.74883463487254,0,0,0.74780997410367,0,0.745505193704299,0.749450281240025,0.739428209365575,0,0,0.751739032036413,0,0.744993427319873,0.744668430174162,0,0.745502384921012,0.819964236422312,0.886361358143971,0.741492655812293,0,0.752306811488283,0,0.74536133671442,0,0,0,0.745767148022491,0.746975547557258,0.740661484748442,0.819325719543521,0.823004619645503,0.823355933068936,0,0,0,0,0.751739032036413,0.743455430108124,0,0.744087175661205,0.88394209107554,0,0.742163813262852,0,0,0.747386364898259,0,0,0,0.828608139949632,0.820031187222154
"Interleukin-6 family signaling",0.834083468098013,0,0.774611404167539,0.841951513675492,0,0.779117470026771,0.771766568558562,0,0,0.777179131297386,0.834041382698754,0.779093720343335,0.770972601717392,0.83624355839958,0.773572963445085,0.775447081741457,0.779600740400558,0.778435489990428,0,0.839258281790003,0.838997464042253,0.825043329056092,0,0.778727438076182,0.782042515435719,0.775785603087905,0.774964799762263,0.775717610817261,0.773642191628083,0.776439099451094,0.83419308639466,0.896815674628343,0.773518903449308,0.776374854384403,0.776576886586457,0,0.835794548804815,0,0,0,0.835288222289764,0.83719106915573,0.766423688203855,0.834604030713518,0.836823447270134,0.838090734592224,0,0.770619627246481,0,0.776309678397306,0.775127457295254,0.768840845523453,0,0.838031495918794,0.89050631773327,0,0.835043313022635,0.770434440838283,0.771372342557385,0.772241659275199,0.776125778202136,0,0,0.842634635302996,0.836907134447759
"Unblocking of NMDA receptors, glutamate binding and activation",0.80320970179322,0,0.80452664395348,0.734787533835116,0.804695764769354,0.735705400665151,0.884393894931318,0.807999146157374,0,0.728098899180584,0.870333616406174,0.808900344523758,0.87561730557567,0.813409715675459,0.805538100510863,0,0.729911358938948,0.80627883592284,0,0.81505275817272,0.735273125818678,0.714413683620892,0.804832552065252,0.807506067801762,0.73773417146519,0.807863731655207,0.730889839977926,0.802900799736793,0,0.8046619050598,0.800764111614083,0.802895195775095,0.801547671674614,0.805097316448956,0.809271659078086,0,0.804061739041198,0.801503650375183,0,0.723460241669432,0.802645368368882,0.803292942833064,0.796904147325783,0.712113899988396,0.801292583200067,0.804411131761335,0,0.712865446798189,0.72441787519041,0.728087568716402,0,0.80320970179322,0,0.802233564722768,0.798602754082705,0.722266675688444,0.871578909767035,0,0.713800992271707,0.722522421225269,0.791252774885891,0,0.719900103814551,0,0.80294004203914
"Presynaptic depolarization and calcium channel opening",0,0,0,0,0.713639871001394,0,0.822786928778538,0,0,0,0.705905209513524,0,0.706524932036017,0.708386680495234,0.715941629311804,0.70989294919136,0,0.71841950419413,0,0.713032383214385,0,0,0,0,0,0,0,0.712975358999455,0.709045514397264,0.714420562641204,0,0,0.699576263499461,0,0.719383563116251,0,0.706950733258422,0,0,0,0.712563698088324,0.709748083351376,0.703379022641392,0,0,0,0,0,0,0.713639871001394,0,0.705733334309397,0,0,0.704655451831552,0,0.820336353613053,0.697814957981131,0.693181469781167,0,0,0,0,0,0.711645556165983
"Trafficking of AMPA receptors",0.804061074237181,0,0.806410606123835,0.812744460049938,0.807882449995254,0.734273474379755,0.881561304942951,0.811440581382835,0.8121991586404,0.725444452741478,0.878582158169822,0.812411278319461,0.884273314614665,0.805102971325199,0.811487411851339,0.81018029256935,0.73335734094266,0.810518634197434,0.821456176655734,0.810428593843553,0.813708122503504,0.80081085498409,0.806740105241968,0.81090947783542,0.736458699824207,0.811294723991907,0.723954733518939,0.806880090786871,0.715267703512294,0.807845979094323,0.803647595809907,0.80594302481195,0.804491582415734,0.808314968517064,0.817729605452336,0,0.808130559350101,0.804444166283952,0,0,0.80660496107559,0.81000014206397,0.800825120290315,0.802908064091113,0.803613102705043,0.807575866673251,0,0.725910652679007,0,0.732304416976414,0,0.804992104084366,0.819311111560777,0.806565531429792,0.802609239622227,0.807606981886996,0.885464081147922,0.800362277765524,0.714978807422136,0.808613891959592,0.805207911013781,0,0,0,0.80599132952793
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.804061074237181,0,0.806410606123835,0.812744460049938,0.807882449995254,0.734273474379755,0.881561304942951,0.811440581382835,0.8121991586404,0.725444452741478,0.878582158169822,0.812411278319461,0.884273314614665,0.805102971325199,0.811487411851339,0.81018029256935,0.73335734094266,0.810518634197434,0.821456176655734,0.810428593843553,0.813708122503504,0.80081085498409,0.806740105241968,0.81090947783542,0.736458699824207,0.811294723991907,0.723954733518939,0.806880090786871,0.715267703512294,0.807845979094323,0.803647595809907,0.80594302481195,0.804491582415734,0.808314968517064,0.817729605452336,0,0.808130559350101,0.804444166283952,0,0,0.80660496107559,0.81000014206397,0.800825120290315,0.802908064091113,0.803613102705043,0.807575866673251,0,0.725910652679007,0,0.732304416976414,0,0.804992104084366,0.819311111560777,0.806565531429792,0.802609239622227,0.807606981886996,0.885464081147922,0.800362277765524,0.714978807422136,0.808613891959592,0.805207911013781,0,0,0,0.80599132952793
"Class A/1 (Rhodopsin-like receptors)",0.920793931745143,0,0.920610143839939,0.921983389920212,0,0.90417817856207,0.921276790014088,0,0.902413982360142,0.902577566386781,0.920178779319061,0.902486812535148,0.920921347781244,0.920336495525677,0.921912705716188,0.921147835119949,0.903000830999796,0.921790284487192,0,0.92120166944507,0.921617300184479,0.919887393008287,0.901461540546627,0.921585546496152,0.904651958398347,0,0.921362636567472,0.921001410046014,0.920623959116324,0.921052240476503,0.920222811875591,0.920720485001049,0.92020393998631,0.901339523631702,0.922673002540241,0,0.92098304777075,0,0,0,0.921143616086948,0.921276790014088,0.936662592283921,0.919459536644852,0.901350226020949,0.901482992769708,0,0.919746648671105,0,0.921289696411905,0,0.920592074692046,0,0.920550184795441,0.92027730169326,0,0.920469593286126,0.919547641126367,0.919965127062683,0.921579173410211,0.921180589176858,0.903489695381764,0.901213795441208,0.90280187668823,0.920650132963914
"Phase II - Conjugation of compounds",0,0,0.701640922002701,0.703918170358403,0,0.701607405249864,0,0,0.67261856810311,0,0,0.672145493668717,0,0.642940592281894,0,0,0,0.644788603158728,0,0,0,0.612761167189489,0,0,0,0.672469179030841,0.670632217535548,0.643480415900934,0.699302878132575,0,0.700183833744213,0,0.641125679573765,0,0,0,0.670960820399963,0.674581925474295,0,0,0,0.671633002646456,0,0.64341151613147,0.70144989612648,0,0,-0.0218695516493376,0,0,0,0.700796180761747,0,0.702495048596477,0.667312886772742,0,0.669294583682186,0.615643712178876,0.64120969560149,0,0,0,0,0,0
"Phase 2 - plateau phase",0.328726794374279,0,0,0,0.4607492573593,0,0.575038268010709,0,0,0,0.571755061182247,0,0.457310787269896,0.46183711732266,0.468869089279696,0.463524062904152,0,0,0,0.46208811167826,0,0,0,0,0,0,0,0,0.459863141604964,0.333050709496448,0,0,0.455412950018132,0,0.469384547750942,0,0.462880375065411,0,0,0,0.331170439141452,0.576781260253317,0.456026964869883,0.323615259241675,0.330070978419345,0,0,0,0,0.464515410134525,0,0.457617421494611,0,0,0.460012855970105,0,0.458663244935333,0.449034329493332,0.449678683377704,0,0.333947628781927,0,0,0,0.330240724028103
"Post-translational modification: synthesis of GPI-anchored proteins",0.687254166040948,0,0,0.68901049462887,0,0,0,0,0,0,0.685714716101113,0,0.686519707613176,0,0,0,0,0,0,0,0.688844720323746,0,0.688142992317139,0.688077440093114,0,0,0.731016185865283,0.688117427600643,0,0,0.683729128472617,0.686985168025303,0,0,0,0,0.769636296907448,0.767477980046438,0,0,0.687977529228331,0.68761505966274,0.683423142161377,0.726689360626483,0.685519684522653,0,0,0.727100978730657,0,0,0,0.725460274516306,0,0,0.803905726048859,0,0.684307900171518,0.764041517830721,0.727613371903191,0.687383588576873,0,0,0,0,0.687665508929553
"Muscle contraction",0.855026795075782,0,0.855531486051083,0.835661171131894,0.816658927516293,0.855741211570443,0.876591167364353,0.857479106416979,0.836235000347595,0.856832126815642,0.87578610432861,0.859199800306617,0.877324041205605,0.855581107343563,0.858472753752269,0.856673728507216,0.837016885644507,0.856002709088271,0,0.855942768651953,0.856516099300513,0.8320357175926,0.811410898420417,0.857847243576617,0.813941827971039,0.83029820208569,0.855200830297175,0.85501945548351,0.855548705420347,0.856221617545834,0.855187817210611,0.855556522551174,0.854250292869122,0.856449094189127,0.856497586986934,0.831003985594806,0.856135375713416,0.855087719144947,0,0.856577870820221,0.854945106424046,0.879549915636673,0.854575946298161,0.832600553647454,0.855387908073024,0.856597878657851,0,0.834144593548725,0.85706929739258,0.856378480808591,0,0.855648066619683,0.83724193859438,0.855498951413113,0.855255733353979,0.857055541343074,0.855843919712649,0.855018924244335,0.852998441371851,0.834546326979884,0.876807608967187,0,0.856421179110226,0.835595393879723,0.855092188492832
"TNFs bind their physiological receptors",0.275027174011388,0,0.139956346452529,0.281355578355921,0,0,0,0,0,0,0.213017176621826,0,0.276304057251325,0.274064884751984,0,0,0,0,0,0,0,0.200147769023052,0,0,0,0.2089441853638,0.277928441070677,0,0,0,0.274689643241756,0.215056769938215,0.270242866005855,0,0,0,0.277589158268432,0,0.215948168578463,0,0.276343781664042,0,0,0.270460326919599,0.275751404891458,0,0,0.272933952639482,0,0,0.282200581773813,0.275027174011388,0,0,0.334968839804698,0,0.273805996949277,0.201138695632974,0.273756552590071,0.278743730833898,0,0,0,0.278325375500494,0
"G alpha (i) signalling events",0.937046146397615,0,0.936819737690167,0.938264947060548,0.937594604176467,0.937318100298268,0.93839985404127,0.938248316291896,0.922638181458531,0.922683071375173,0.949754261403994,0.93871465759128,0.95079986020672,0.93625441290491,0.951639928735989,0.922248323313934,0.93809937446294,0.937421640584207,0,0.935759155859905,0.937541229039312,0.936583387985862,0.905523191027373,0.938133306620558,0.937996543501823,0.93742518833729,0.937588196779682,0.93675315489582,0.921804395113662,0.937209228515321,0.937104563750378,0.937289343262394,0.934959847919068,0.937962069489637,0.936096141971779,0.921204212048967,0.937047596357749,0.950480302506356,0,0.921599329079731,0.93705446449653,0.935556035817081,0.950711746074201,0.936065073230888,0.936921142422728,0.937826279161174,0,0.936213798187884,0.922844316791027,0.92388896281373,0,0.936935229008322,0.93863883471303,0.937300785079233,0.949600803864844,0.921641532742233,0.949962447825444,0.921071602322734,0.922697393164287,0.937771688312458,0.937192210969696,0.923526793785919,0.921950286845273,0.923419593655462,0.935906701301867
"Visual phototransduction",0.724169809999764,0,0.721350085939714,0.687402829107585,0.720683228632295,0.723628530935415,0.720745479462096,0,0.724091505126695,0.683417112158447,0.72282609276783,0,0.722029868837167,0.720730798973535,0.722476829937651,0.683782288314148,0,0.68397536868908,0.689919369893877,0.761718393917993,0.723408020727497,0.68075266973933,0.682763823019867,0.720306879276046,0.724663438875553,0.684705671578175,0.798451688539314,0.721131501272844,0.682460942715857,0.72158893942011,0.721946090038793,0.681961662386319,0.718513431007114,0,0.68642338209441,0.682998018207575,0.722775428191588,0.76305539331583,0,0.680579705784046,0.721442131125846,0.684291540685582,0.718138384462143,0.719080521726904,0.71982211808931,0.682734965210309,0,0.71818755562758,0,0.684889064511525,0,0.720678293000694,0,0.721849935021071,0.719549784563085,0.684147820608329,0.721777299701478,0.681564958316141,0.681021813248276,0.725715209498101,0.683969344007335,0,0.682787323770577,0,0.720710589972319
"Peptide ligand-binding receptors",0.8995807394163,0,0.87900175051413,0.900859070775176,0,0.881723500893387,0.900219617193933,0,0.879827488595183,0.880003295189686,0.89891962442022,0.879905760449152,0.899717675643221,0.899089124766636,0.90078310523349,0.879989926633067,0.880458185020418,0.900651537012517,0,0.899701464748433,0.900465627778053,0.898606466491327,0.878803882836496,0.900431501537722,0.882232680311888,0,0.900191936365941,0.899803719949664,0.879426907993461,0.899858348296116,0.898966946973466,0.899501804924823,0.898946665026297,0.878672749138875,0.90172015104476,0,0.899664044083658,0,0,0,0.899956551251643,0.900219617193933,0.916635064499126,0.877393531034477,0.878684251182473,0.878826937913216,0,0.877867572186914,0,0.880142387427334,0,0.89936380013555,0,0.899318780336137,0.899025508126878,0,0.899232167241388,0.877413070344266,0.87871884974303,0.900424652271575,0.899996286873506,0.880983576062157,0.878537626868944,0.880244365366403,0.899426196368662
