"","PNISR","HBS1L","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","MYO6","HTR1B","PHIP","ELOVL4","TTK","BCKDHB","IBTK","TPBG","UBE3D","DOPEY1","PGM3","ME1","SNAP91","CYB5R4","NT5E","SYNCRIP","HTR1E","CGA","RARS2","COL9A1","ORC3","CNR1","RNGTT","SRSF12","GABRR1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","MDN1","RIMS1","MAP3K7","EPHA7","FUT9","UFL1","KCNQ5","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3","EEF1A1"
"Influenza Infection",0.935478853485833,0.934472664692594,0.935783791702145,0.934749123170805,0,0.933562690946839,0,0.934654650799821,0.922160436737565,0.910841808312014,0.933618544561521,0.935345728360197,0,0.910980260514973,0.92257134149964,0.933834591885146,0.936533515935339,0,0.935471282261664,0.934712197942407,0.947454840705958,0.935842537463407,0.933621023372082,0.923151182209427,0,0.934979741664731,0.933917146285484,0,0.934341077995425,0.935483851599987,0.933834591885146,0.934124999530408,0,0.921914350356834,0.934513208203473,0.933837622452571,0.947176629489834,0.936010211881106,0,0.935429478122285,0.923203837988591,0.933613615412563,0.935698613904564,0,0.934881284303632,0.934255583085744,0.934553840270912,0.921257949448235,0,0.933616075266574,0.921850628616605,0.935402579014813,0.934243377540943,0,0.933621023372082,0,0.946580992945077
"SARS-CoV-1-host interactions",0.761211333886822,0.812443920047646,0.813663337788937,0.836250037554399,0.813860896264262,0.809888649640348,0.815521730360601,0.811447245568096,0.781943964010421,0,0.808868562737602,0.81464050681594,0,0.814124967145969,0.812438371619816,0.809745774666546,0.815265444467057,0,0.814064636967574,0,0.837748709454021,0.760810751935088,0.808873859777204,0.785438105696842,0,0.836742852662752,0.809792050851603,0,0.810589663403924,0.811057511096732,0.809745774666546,0.811090262576167,0,0.781418095142231,0.811686925814528,0.809752250770819,0.811698461488126,0.762346808499822,0,0.812086653246993,0,0.808858029501364,0.81262649966789,0,0.812854589506867,0.811286006371299,0.835635931517994,0.811714463927899,0,0.808863286032182,0.782219973972237,0.814402071221612,0.782843230801705,0,0.808873859777204,0,0.836396899408741
"Axon guidance",0.88724948868984,0.886673828765827,0.886259774445011,0.887152081305116,0.886841238080413,0.890863415766517,0.887550428876686,0.886871514638537,0.891216072586621,0.882781465026146,0.886398027958245,0.886970374806019,0.883544954197039,0.883260106650906,0.887164588544121,0.89064059987778,0.88285668909106,0,0.887165863136097,0.891052639385441,0.891398543178394,0.887274993902824,0.886398869914546,0.882940843696814,0,0.886915243362932,0.890767077144679,0.887519147732294,0.886804383387512,0.887063985056766,0.890955770023796,0.886779230298335,0.882688315270625,0.890810331419693,0.886892652161752,0.890641629244598,0.886789883652879,0.88774514077994,0,0.887288113129163,0.887088433053288,0.886371479214233,0.886905992278877,0.886983204581436,0.88681262108086,0.891025194389821,0.892724710502692,0.890927517762558,0.883520275187084,0.886397189234031,0.886976349497753,0.887372460777879,0.886655944814344,0,0.886398869914546,0,0.891101730811973
"L13a-mediated translational silencing of Ceruloplasmin expression",0,0.928292167252044,0.930366073526231,0.914367380133412,0,0.911851387092172,0,0.928451022324831,0,0,0.929066428726224,0.930537624713844,0,0,0.913215027186776,0.912162134505842,0.915346932129777,0,0.930462411116793,0.928565922606958,0.944189569573195,0,0.928008798305331,0.915378746031147,0,0.914630947081648,0.927403212054347,0,0.912740982264918,0.928598949235213,0.912162134505842,0.912494032678895,0,0,0.930088912924231,0.912165598050305,0.929711614802464,0,0,0.929404547581249,0,0.928000331970955,0.942792799926321,0,0.92875916632934,0.914430552142778,0.928899619982291,0.913215027186776,0,0.928003143264202,0.913552374919538,0.93115755701202,0.913106860893302,0,0.929069261684344,0,0.943190875220294
"Cellular response to starvation",0,0.915416497302072,0.917197931595581,0.916882819314071,0,0.903221022238023,0,0.916425757910711,0.904173308913268,0,0.915179600773327,0.918345563048465,0,0,0.903680815298222,0.902482284560654,0.903814552542562,0,0.917904526447782,0.916639656752987,0.928575177808202,0,0.915181945684151,0.903840885710417,0,0.917287088970671,0.915804892581889,0,0.916100563444589,0.916850280532811,0.902482284560654,0.902949676801373,0.917233006891112,0.903940515561921,0.915920385260882,0.902485151423685,0.914717611989053,0,0,0.916321625835596,0.905260738661893,0.916052710147686,0.929113241945913,0,0.916680816468285,0.916692560844612,0.917163325318132,0.916440276036347,0,0.915177264864105,0.902671670815295,0.918479916222516,0.903333301872922,0,0.915181945684151,0,0.927748533325811
"Formation of a pool of free 40S subunits",0,0.931089498318634,0.932335447192141,0.914797707022464,0,0.913744153417452,0,0.931257021066657,0,0,0.930787680260533,0.932141739833999,0,0,0.915182198372264,0.914071856271172,0.917430427329121,0,0.933378158099731,0.931378190700547,0.946735991315591,0,0.930790667794522,0.917463977105591,0,0.91507565508344,0.930329247762888,0,0.91468228794067,0.931443546078512,0.914071856271172,0.914421863941934,0,0,0.931865954688028,0.914075508798448,0.930199083380398,0,0,0.932262573917225,0,0.930781739508031,0.932024285393798,0,0.931581978460324,0.915436522317267,0.930259959928776,0.915182198372264,0,0.930784704195038,0.915537952949323,0.93411123352883,0.916107224549679,0,0.930790667794522,0,0.945682804788388
"GTP hydrolysis and joining of the 60S ribosomal subunit",0,0.93147355738908,0.932565298986804,0.917555918851272,0,0.915025665629616,0,0.931632412461865,0,0,0.931187355484248,0.933719014850879,0,0,0.91638930572422,0.915336413043286,0.918521210667221,0,0.933643801253829,0.931747312743991,0.946310496331218,0,0.931190188442367,0.918553024568591,0,0.917819485799507,0.930662900893931,0,0.915915260802362,0.931809286615876,0.915336413043286,0.915668311216339,0,0,0.932209839682254,0.915339876587749,0.9328930049395,0,0,0.932585937718283,0,0.931181722107991,0.945974190063354,0,0.931940556466373,0.916665434752069,0.932081010119327,0.91638930572422,0,0.931184533401238,0.916726653456982,0.934338947149055,0.917263792426233,0,0.931190188442367,0,0.945311801978314
"Eukaryotic Translation Initiation",0,0.932197701737567,0.933185154139326,0.918612907037231,0,0.916171628340591,0,0.932352482854391,0,0,0.931918839692493,0.934385572780181,0,0,0.917500296875306,0.916474406406755,0.919577527537541,0,0.934312288091516,0.93246443643371,0.946654136394999,0,0.931921599997303,0.919608525547857,0,0.918869714615929,0.931331544454113,0,0.91703840918646,0.932496616069633,0.916474406406755,0.916797792805417,0,0,0.932915101526175,0.916477781126056,0.933580746504571,0,0,0.933281554249601,0,0.931913350788341,0.946326454950384,0,0.93265272427775,0.918691578011165,0.932789575892778,0.917500296875306,0,0.931916089983891,0.917828993075683,0.934989606455562,0.918352356718358,0,0.931921599997303,0,0.945681054298229
"Cap-dependent Translation Initiation",0,0.932197701737567,0.933185154139326,0.918616297905617,0,0.916171628340591,0,0.932352482854391,0,0,0.931918839692493,0.934385572780181,0,0,0.917500296875306,0.916474406406755,0.919577527537541,0,0.934312288091516,0.93246443643371,0.946654136394999,0,0.931921599997303,0.919608525547857,0,0.918873105484315,0.931331544454113,0,0.91703840918646,0.932524820939764,0.916474406406755,0.916797792805417,0,0,0.932915101526175,0.916477781126056,0.933580746504571,0,0,0.933281554249601,0,0.931913350788341,0.946326454950384,0,0.93265272427775,0.91869492090124,0.932789575892778,0.917500296875306,0,0.931916089983891,0.917828993075683,0.934989606455562,0.918352356718358,0,0.931921599997303,0,0.945681054298229
"SRP-dependent cotranslational protein targeting to membrane",0,0.930784953097896,0.931997066380586,0.914931637304239,0,0.914103746181526,0,0.930947926517071,0,0,0.930491331357101,0.931808619433244,0,0.916934762824092,0.915305687220798,0.91422549810736,0.917492862183655,0,0.933011460925955,0.93106580560972,0.946006542355996,0,0.930494237760171,0.917525500866151,0,0.916499597095405,0.930045348274307,0,0.914819352598909,0.931096782056198,0.91422549810736,0.914763052470902,0,0,0.931540323642211,0.914229051444837,0.929918718698804,0,0,0.931926172087603,0,0.93048555193455,0.932222377404629,0,0.93126405921043,0.915553104621623,0.929977942054164,0.915305687220798,0,0.930488436111081,0.915651780754328,0.933724628603794,0.915557258317981,0,0.930494237760171,0,0.944981956672013
"Activation of Matrix Metalloproteinases",0,0,0,0.912465090115277,0.914638726805435,0.910535489470752,0.890714220233686,0,0.911456640927691,0,0.882729209671407,0.889008139493345,0,0,0.91316929230571,0.910701408546907,0,0,0,0,0,0,0.882734681388728,0,0,0.912974156531122,0.883400107155955,0,0.885670285374977,0,0.910701408546907,0,0,0.911536350726983,0,0.910708098210302,0,0,0,0,0.887555597092851,0.882718329086116,0,0.91329096419554,0,0,0.883508009891937,0.91316929230571,0,0.882723758958817,0,0,0,0,0.882734681388728,0,0
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0,0.892671156052673,0.892087854791941,0.863038319639542,0,0.858554766598262,0,0.889265579296609,0,0,0.889735660307701,0.894523912946893,0,0,0.861193360343915,0.859156051486726,0.865318518493185,0,0.894174717262249,0,0.918684309303089,0,0.889741141978124,0.865380077229622,0,0.863548312051709,0.888406784009805,0,0.860276100745196,0.890422208876711,0.859156051486726,0.859798262321591,0,0,0.891714129861773,0.859162753318678,0.892721953833624,0,0,0.892127789983057,0,0.889724759930529,0.918033568965874,0,0.893096139590234,0.863407041071508,0.891150773532835,0.861193360343915,0,0.889730199680217,0.86184611587765,0.895519799163785,0,0,0.889741141978124,0,0.916751872229839
"Formation of the ternary complex, and subsequently, the 43S complex",0,0.887891217515104,0.887662956937278,0.855109952202355,0,0.850089888379139,0,0.884117531098306,0,0,0.884638423285861,0.887089089722828,0,0,0.853013688396179,0.850756166304656,0.857584735942624,0,0.88955729903956,0,0.916716139139416,0,0.88464449747144,0.857652948578594,0,0.855675069824513,0.88358399827482,0,0.851997281973332,0.885580921039121,0.850756166304656,0.851467793872567,0,0,0.886830746118977,0.850763592539335,0.884405603726294,0,0,0.887289118868344,0,0.884626344684139,0.886804636108243,0,0.888362137631704,0.853530774007617,0.884785205728972,0.853013688396179,0,0.884632372417759,0.853737000442152,0.891047771187124,0,0,0.88464449747144,0,0.914574824449723
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0,0,0.853390654106026,0.807445131667114,0.810346524449057,0.846587749846843,0,0,0,0,0.847010849777618,0,0,0,0.850103377168099,0.847388893859719,0,0,0,0.813111854549505,0.88571281273803,0,0.847018153482608,0,0,0.811723335540471,0.848486044203694,0,0,0,0.847388893859719,0.846917661470133,0,0.848342180300331,0.849646936378684,0.847397823291751,0,0,0,0,0.852721271724831,0.846996326259604,0.849364629348047,0.84966567041506,0,0.84972698579596,0.848316654365207,0.883875538391825,0,0.847003574109961,0,0,0,0,0.847018153482608,0,0.848655057597134
"Ribosomal scanning and start codon recognition",0,0.889073669148462,0.888642031265259,0.857857959122013,0,0.853126501204059,0,0.88548533985701,0,0,0.88598064669702,0.891025850029902,0,0,0.855906689085275,0.853760052679279,0.860253214469714,0,0.890657915552598,0,0.916482759137473,0,0.885986422528827,0.860318076615814,0,0.858395319117713,0.884763424187054,0,0.854940206835217,0.886727447502896,0.853760052679279,0.854436726298786,0,0,0.888065286322446,0.853767114149809,0.889127192876858,0,0,0.888501144573846,0,0.885969161375885,0.915797098299261,0,0.889521458461535,0.856373371147305,0.887471698756681,0.855906689085275,0,0.885974893037375,0.856594473260948,0.89207517821687,0,0,0.885986422528827,0,0.914446622221316
"Translation initiation complex formation",0,0.889073669148462,0.888459066351475,0.857850653927719,0,0.853126501204059,0,0.88548533985701,0,0,0.88598064669702,0.891025850029902,0,0,0.855906689085275,0.853760052679279,0.860253214469714,0,0.890657915552598,0,0.916482759137473,0,0.885986422528827,0.860318076615814,0,0.858388013923419,0.88458045927327,0,0.854940206835217,0.88670403733439,0.853760052679279,0.854436726298786,0,0,0.888065286322446,0.853767114149809,0.889127192876858,0,0,0.888501144573846,0,0.885969161375885,0.915797098299261,0,0.889521458461535,0.858239161957188,0.887471698756681,0.855906689085275,0,0.885974893037375,0.856594473260948,0.89207517821687,0,0,0.885986422528827,0,0.914446622221316
"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",0,0,0.75235816063164,0.805160567451335,0.750034190496946,0.741450073405002,0.757389967134007,0.747542707196057,0.672296326592105,0,0.742191683532731,0.75188253089168,0,0,0.746596217193483,0.673723532623918,0.756230149781485,0,0.810738535408392,0,0.748570632158882,0,0.742204485476661,0,0,0.806351608459079,0.744777406306881,0,0.745470093131014,0.677360733596406,0.673723532623918,0.744354144846272,0,0.68080377208663,0.805772554369274,0.673739184144394,0.74713379610303,0,0,0.751901338665796,0,0.742166226690821,0.746317391529592,0.675130595280461,0,0.748702078520015,0.744480499570153,0.747612269702189,0,0.742178930732676,0,0.752934414414723,0,0,0.742204485476661,0,0.745073653210223
"Developmental Biology",0.885251301227602,0.884967205243544,0.885227372892123,0.887631699961804,0.887920332844586,0.887506521015506,0.88539365891706,0.884976007943223,0.887737654385758,0.88241612697677,0.884777064347347,0.885203573512729,0.882916522304916,0.882299427264257,0.885030249669869,0.887567050543152,0.885374854996013,0,0.885269185638876,0.888073409730202,0.887857246693192,0.88524045064464,0.884777616170497,0.882520584702234,0,0.88775246079292,0.887649944493566,0.885521232304752,0.885128185153732,0.885135322251582,0.887567050543152,0.885036286032713,0.882355076074862,0.887678293601798,0.885088533717385,0.887567725196266,0.887795312396081,0.885375191368213,0,0.885145431898548,0.885221331754331,0.884753791993157,0.885049848053113,0.885154720424792,0.885058170549502,0.887819116066008,0.887338799686436,0.887961662607381,0.882900347535507,0.884776514642525,0.885165479124425,0.885404590957898,0.885134685889669,0,0.884777616170497,0,0.887662714108899
"rRNA processing in the nucleus and cytosol",0.911044922825761,0.930928932337288,0.921307622779749,0.921656059137668,0,0.920280111597975,0,0.922830157562981,0.90971178288039,0,0.920111962018764,0.921913948496853,0,0,0.909856013175772,0.920533264340455,0.923500223975735,0,0.922977038788038,0.921432050008642,0.932432143657936,0.910909079407962,0.922706013565919,0.910687431177367,0,0.921608037362083,0.922349563369905,0,0.909469291950806,0.922373514829718,0.920533264340455,0.90973319747472,0,0.910317696256497,0.920944936542383,0.920536085943278,0.921535060248754,0.911539642836075,0,0.92178237096049,0,0.920971287298075,0.922350450318702,0,0.922516889352161,0.909737302694973,0.922296038034294,0.91017087882807,0,0.922701406643681,0.909199564069387,0.923227942096716,0.9098089490998,0.911191556113798,0.920114269909629,0,0.931618549712453
"Phosphorylation of the APC/C",0,0,0.85227598741763,0.850217270540003,0,0.841837691408769,0,0,0,0,0.902179087681133,0.859180332953502,0,0,0.849911730717072,0.843130543108674,0,0,0.854677445575641,0,0.853340283098172,0,0.90219087408565,0.856666979753972,0,0.852249282016823,0.844361139215947,0,0.849550248292053,0,0.843130543108674,0,0,0,0.906433090692465,0.843144953041466,0.852229098341507,0,0,0.857824297147183,0,0.90215565025334,0.852152766297121,0,0,0,0.849786279781244,0.852669616080152,0,0.902167346522057,0,0.857569571182449,0,0,0.893366846454673,0,0.849396928198181
"rRNA processing",0.911044922825761,0.930928932337288,0.921307622779749,0.921656059137668,0,0.920280111597975,0,0.922830157562981,0.90971178288039,0,0.920111962018764,0.921913948496853,0,0,0.909856013175772,0.920533264340455,0.923500223975735,0,0.922977038788038,0.921432050008642,0.932432143657936,0.910909079407962,0.922706013565919,0.910687431177367,0,0.921608037362083,0.922349563369905,0,0.909469291950806,0.922373514829718,0.920533264340455,0.90973319747472,0,0.910317696256497,0.920944936542383,0.920536085943278,0.921535060248754,0.911539642836075,0,0.92178237096049,0,0.920971287298075,0.922350450318702,0,0.922516889352161,0.909737302694973,0.922296038034294,0.91017087882807,0,0.922701406643681,0.909199564069387,0.923227942096716,0.9098089490998,0.911191556113798,0.920114269909629,0,0.931618549712453
"Biological oxidations",0,0.900657673164588,0,0.908880827625286,0.900918834526102,0.899468336896365,0.900865414041749,0.891602953442092,0,0,0.89990555080876,0,0,0.901508545846467,0.89111791554262,0.899668491298133,0,0.901189620496862,0.900323102554342,0.900687793709526,0.901055225288136,0,0.89990737553525,0,0,0.909050592786729,0.900274107089649,0.892736688147247,0.900228016126122,0,0.899668491298133,0.891063816198786,0.891930155859313,0,0.9004193162808,0.899670722189331,0.900754798525644,0,0,0,0,0.89990192231499,0.900493609053271,0.882087483921737,0,0.90070052844738,0.900486460932324,0.900678174656462,0,0.899903733086997,0,0.892239635419166,0.900394335417792,0,0.89990737553525,0,0.900118809927305
