"","ADCY8","PIK3CA","IRF5","GRM6","APC","CACNA1C","MAP2K7","SHC4","OR5K1","RGS14","GRIA1","SOX9","TRIM29","LIMS1","CEP72","SYT9","NLGN4Y","NEFH","SYNE1","TAOK2"
"Signal amplification",0.844968979120898,0.849327690822714,0.798947522056676,0.846666161701295,0.798013057208793,0.84787989903914,0.801272460750597,0.803324235293568,0.853534996385533,0.799034376849924,0.798708820637676,0.803126816538586,0.801152225621838,0.804144935403518,0.800610176046082,0.800425774328266,0.798446307528819,0.802546518432065,0.797411604043724,0.751732054190867
"GABA receptor activation",0.839301861782592,0.833878656180506,0.803464167638222,0.837686452448215,0.80306936698155,0.838556906115159,0.803425393073352,0.804633384076568,0.84261256137813,0.800744307365648,0.837568173897057,0.805664889613133,0.805045310644194,0.807191586549481,0.802100941740292,0.804524322970313,0.803660662369803,0.806127799825634,0.801750281626275,0.765085243568347
"Presynaptic function of Kainate receptors",0.863511276432306,0.862749395092811,0.798996523885761,0.865793432847661,0.798873474718951,0.867544252027259,0.801496097928261,0.801389995845382,0.875701744252168,0.800017875011866,0.799323244222123,0.803346389510536,0.802176814354591,0.806493805783753,0.7928328289911,0.799091557111982,0.803879129483039,0.802675341773546,0.795577861933169,0.719805040292662
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.404358751673921,0.410423210775954,0.406941524231557,0,0.407498310186765,0,0.408099178749781,0.380133475302787,0,0.433353186052535,0.403305694225281,0.407352192696069,0.406203722890786,0.408976422779422,0,0.00805859647619545,0,-0.000119543697179271,0,0
"Acyl chain remodelling of PE",0.752238781398351,0.755774697929012,0.657344435308483,0.755466087888613,0,0.757942004992091,0.766635830384597,0.768158996865235,0,0.769900875541017,0.763563094080885,0,0.66184183610096,0,0.757230595941404,0,0,0.777530385367888,0,0
"Cytosolic sulfonation of small molecules",0,0,0.664593889543993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of G protein gated Potassium channels",0.884051297005445,0.883429493301159,0.831398068694131,0.885913861737335,0.831297643045457,0.887342779594978,0.833438077181273,0.833351482767224,0.89400045529878,0.832367143897438,0.826339611470922,0.834520025521196,0.83399363875434,0.837516918723114,0.82593946246323,0.831475629344368,0.830057862837229,0.834400508144264,0.828315307569693,0.766733292116608
"G protein gated Potassium channels",0.884051297005445,0.883429493301159,0.831398068694131,0.885913861737335,0.831297643045457,0.887342779594978,0.833438077181273,0.833351482767224,0.89400045529878,0.832367143897438,0.826339611470922,0.834520025521196,0.83399363875434,0.837516918723114,0.82593946246323,0.831475629344368,0.830057862837229,0.834400508144264,0.828315307569693,0.766733292116608
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.884051297005445,0.883429493301159,0.831398068694131,0.885913861737335,0.831297643045457,0.887342779594978,0.833438077181273,0.833351482767224,0.89400045529878,0.832367143897438,0.826339611470922,0.834520025521196,0.83399363875434,0.837516918723114,0.82593946246323,0.831475629344368,0.830057862837229,0.834400508144264,0.828315307569693,0.766733292116608
"ADP signalling through P2Y purinoceptor 12",0.880063139210075,0.879334029837801,0.816373744590775,0.882247129741374,0.816255988325959,0.883922638258024,0.820715514420495,0.81862433204264,0.891729239794393,0.816493643634219,0.812048906670059,0.822143068215983,0.819417236361965,0.823548534436695,0.812081743553839,0.818414403795675,0.816751971036069,0.821500885281556,0.814253480484747,0.742538359179291
"GABA B receptor activation",0.896667900937765,0.892574384766963,0.849780393399767,0.894554413472934,0.849700354680753,0.895693253564206,0.852731486456009,0.851310113597323,0.900999386429451,0.84622192034291,0.849992912329203,0.852659662578525,0.851849049220996,0.854657085008185,0.847996844929609,0.85116742574969,0.850037473226696,0.853265301601799,0.847538066006137,0.799568120133036
"Activation of GABAB receptors",0.896667900937765,0.892574384766963,0.849780393399767,0.894554413472934,0.849700354680753,0.895693253564206,0.852731486456009,0.851310113597323,0.900999386429451,0.84622192034291,0.849992912329203,0.852659662578525,0.851849049220996,0.854657085008185,0.847996844929609,0.85116742574969,0.850037473226696,0.853265301601799,0.847538066006137,0.799568120133036
"IL-6-type cytokine receptor ligand interactions",0.756826032460167,0.889695773773189,0.831554932329325,0.758822480881521,0.767491362823191,0.759394125712887,0.762878352458079,0.836018087643272,0.766530364213042,0.766792018754849,0.760589808633109,0.76924490007432,0.763473848553611,0.766290401096865,0.760047554458296,0.760387126922873,0,0.769230133537074,0,0.841815334926254
"Activation of kainate receptors upon glutamate binding",0.87692572481607,0.876290654023357,0.823149063126824,0.87882803008155,0.823046494750546,0.880287435984601,0.825232598168732,0.825144156136634,0.887087162904349,0.824000416527504,0.817829285574919,0.826621529123708,0.825800013457795,0.829398467740542,0.817857887245128,0.823228278646593,0.82375874827137,0.826062173229048,0.82029941680567,0.757138523618309
"Prostacyclin signalling through prostacyclin receptor",0.843321145096611,0.842409279755806,0.766106014907464,0.846052566946156,0.765958742275084,0.848148052483247,0.769097655229883,0.767948360804669,0.857911429064578,0.767956309150184,0.758687867045059,0.771091949430069,0.769912377528368,0.775079212121552,0.758508688823526,0.766219756379691,0.763920378240412,0.770509045081727,0.762014354979735,0.671324891611647
"Neurexins and neuroligins",0.842627261528642,0.843588815367212,0.844810132611429,0.842681574444107,0.810099135658498,0.844619499732246,0.847382803566477,0.847330390498751,0.848649196236337,0.81268226779155,0.880361772872751,0.850182042380729,0.811730943058929,0.811820792576454,0.844988478365876,0.880200377218185,0.881595267329246,0,0,0
"Insulin processing",0.527787109019549,0.447127847163596,0.531345054868331,0.530296555969001,0.532510783900628,0.608020802176944,0.529742296873557,0.535277937028899,0.541191682026519,0.539280311673818,0.611044661349741,0.45511503450868,0.534842085204061,0.540890059052726,0.533982303490162,0.608549640961936,0.53671394178556,0,0,0
"G beta:gamma signalling through PLC beta",0.843321145096611,0.842409279755806,0.766106014907464,0.846052566946156,0.765958742275084,0.848148052483247,0.769097655229883,0.768970665885281,0.857911429064578,0.767328429270973,0.758687867045059,0.771312195312171,0.769912377528368,0.775079212121552,0.758728934705629,0.766219756379691,0.763512744243303,0.770509045081727,0.762014354979735,0.671330338530481
"Transport of bile salts and organic acids, metal ions and amine compounds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108005980196511,0,0,0,0
"Phase II - Conjugation of compounds",0.660572005255426,0.654901020300285,0.695570849299645,0,0.629524749204506,0,0.657110602436264,0,0,0,0,0,0,0,0,0,0,0,0,0
"Protein-protein interactions at synapses",0.804901988488217,0.833671596758096,0.806080973900821,0.804325364054641,0.803169320461087,0.805923742134812,0.808202882772755,0.864843568016044,0.80882931256749,0.779582287287283,0.837636049659596,0.810093586114292,0.778315571539943,0.778871752619692,0.805809995343212,0.833032619465417,0.836420922179024,0.779290771104102,0,0
"ADORA2B mediated anti-inflammatory cytokines production",0.872958491385066,0.872415384485051,0.821590868161921,0.87476697633409,0.822155665572995,0.876119525955171,0.825095749861807,0.824353927638834,0.88242138347784,0.827825665122881,0.876670047231737,0.884818531252199,0.824047718485856,0.827382697443003,0.876696554715448,0.822324139428831,0.82175403076788,0.825601473283821,0.819092925012838,0.760738883394915
"Biological oxidations",0.80694510679809,0.806771887685109,0.826729956600649,0.806224901084258,0.826699233921956,0.805842802177273,0.806354203883659,0.807946827053268,0.794703178944753,0.809068885213453,0,0.809948414968929,0.807961274801853,0.808530451424291,0.806581140697859,0.807077539828204,0,0,0.807829328713108,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.883862171953904,0.883087137339442,0.817030003145199,0.886183727983465,0.816904829632456,0.870399798299877,0.820776350749142,0.819116881830607,0.896263098498621,0.818810190702374,0.817362364048141,0.821385086938059,0.820265198797869,0.824656719648283,0.816528367040571,0.818330297449377,0.816563151144712,0.82178875660124,0.813759861499627,0.74334715373014
