"","CDKN1B","SMAD3","MEF2A","APC","ADCY9","CEP63","IRF5","SLC2A4","CIITA","CASP9","CENPF","NCL","LRRK2","CFL1","NKX2-5","KBTBD7","TRIM39","FBXO21","RIF1","GUCY2D","SUPT16H","SYNE1","MYH2","STAG3","RRP9","LAMC3","CNOT6","TEX15","C6","RNF165","EIF2AK4","MYL1","POLA2","PHF21B","MDH2","RTEL1","SPHK1","CACNA1B","KIF26A","PLA2G3","PRMT6","ELMO1","ARHGAP22","OBSCN","CXCR1","BCL3","OR10R2","HTR1A","NRAP","GREB1","ABLIM2","PLXNB3","INPPL1","NFKBIZ","BCAS4","TRAPPC5","GPR20","ZNF471","COL5A1","RYR3","GSTM3","MST1R","SVIP","SH3D19","RHEB","HK3","ATP6V0E2"
"Defective homologous recombination repair (HRR) due to BRCA1 loss of function",0.872466074252471,0.795360308290934,0.795126520857227,0.792833109882649,0.790523151583551,0.79677305959022,0.794848832467405,0.795805548118245,0.717162297712433,0.718515347164158,0.796920898297185,0.798703780280558,0.710290468960378,0.713840892673624,0.800215705142771,0.792144556803694,0.792206339446324,0.792206339446324,0.87773472999947,0.797192043381803,0.875314192726834,0.871429249438151,0.710898492759957,0.871206445447758,0.788564157298612,0.716935712925056,0.795052218465537,0.880471687970793,0.719843669866073,0.802147184485983,0.723109843552892,0,0.795833365520174,0.807070698141812,0.799251305811849,0.872384967802519,0,0,0,0,0.802647754759969,0,0,0,0,0.72475521942695,0,0,0.807692555513354,0.811866250992417,0,0,0,0.728154644306277,0.804904212207809,0,0,0.729147120722939,0,0,0,0,0,0,0,0,0
"Defective homologous recombination repair (HRR) due to PALB2 loss of function",0.872466074252471,0.795360308290934,0.795126520857227,0.792833109882649,0.790523151583551,0.79677305959022,0.794848832467405,0.795805548118245,0.717162297712433,0.718515347164158,0.796920898297185,0.798703780280558,0.710290468960378,0.713840892673624,0.800215705142771,0.792144556803694,0.792206339446324,0.792206339446324,0.87773472999947,0.797192043381803,0.875314192726834,0.871429249438151,0.710898492759957,0.871206445447758,0.788564157298612,0.716935712925056,0.795052218465537,0.880471687970793,0.719843669866073,0.802147184485983,0.723109843552892,0,0.795833365520174,0.807070698141812,0.799251305811849,0.872384967802519,0,0,0,0,0.802647754759969,0,0,0,0,0.72475521942695,0,0,0.807692555513354,0.811866250992417,0,0,0,0.728154644306277,0.804904212207809,0,0,0.729147120722939,0,0,0,0,0,0,0,0,0
"Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function",0.872466074252471,0.795360308290934,0.795126520857227,0.792833109882649,0.790523151583551,0.79677305959022,0.794848832467405,0.795805548118245,0.717162297712433,0.718515347164158,0.796920898297185,0.798703780280558,0.710290468960378,0.713840892673624,0.800215705142771,0.792144556803694,0.792206339446324,0.792206339446324,0.87773472999947,0.797192043381803,0.875314192726834,0.871429249438151,0.710898492759957,0.871206445447758,0.788564157298612,0.716935712925056,0.795052218465537,0.880471687970793,0.719843669866073,0.802147184485983,0.723109843552892,0,0.795833365520174,0.807070698141812,0.799251305811849,0.872384967802519,0,0,0,0,0.802647754759969,0,0,0,0,0.72475521942695,0,0,0.807692555513354,0.811866250992417,0,0,0,0.728154644306277,0.804904212207809,0,0,0.729147120722939,0,0,0,0,0,0,0,0,0
"Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function",0.872466074252471,0.795360308290934,0.795126520857227,0.792833109882649,0.790523151583551,0.79677305959022,0.794848832467405,0.795805548118245,0.717162297712433,0.718515347164158,0.796920898297185,0.798703780280558,0.710290468960378,0.713840892673624,0.800215705142771,0.792144556803694,0.792206339446324,0.792206339446324,0.87773472999947,0.797192043381803,0.875314192726834,0.871429249438151,0.710898492759957,0.871206445447758,0.788564157298612,0.716935712925056,0.795052218465537,0.880471687970793,0.719843669866073,0.802147184485983,0.723109843552892,0,0.795833365520174,0.807070698141812,0.799251305811849,0.872384967802519,0,0,0,0,0.802647754759969,0,0,0,0,0.72475521942695,0,0,0.807692555513354,0.811866250992417,0,0,0,0.728154644306277,0.804904212207809,0,0,0.729147120722939,0,0,0,0,0,0,0,0,0
"Impaired BRCA2 binding to PALB2",0.872466074252471,0.795360308290934,0.795126520857227,0.796232534761978,0.790523151583551,0.79677305959022,0.794848832467405,0.795805548118245,0.717186216524634,0.718329366460797,0.796920898297185,0.798703780280558,0.710309736812577,0.713860160525823,0.800215705142771,0.793377495749019,0.792206339446324,0.792206339446324,0.87773472999947,0.797192043381803,0.875314192726834,0.871429249438151,0.710917760612156,0.871206445447758,0.788721839568941,0,0.795255005552368,0.880471687970793,0,0.802304866756312,0,0,0.795833365520174,0.807070698141812,0.799251305811849,0.872384967802519,0,0,0,0,0.802647754759969,0,0,0,0,0,0,0,0.807692555513354,0.811866250992417,0,0,0,0,0.804904212207809,0,0,0.729171635161706,0,0,0,0,0,0,0,0,0
"Intrinsic Pathway of Fibrin Clot Formation",0.850631423348419,0.850985270244486,0.853657656709008,0.851555584195992,0.895596577230735,0.851909011729914,0.851639423796888,0.852264981838763,0.852616436695869,0.851911483541298,0.85200567753857,0.854966189147831,0.802957934571306,0.854805712224849,0.805439891344583,0,0,0,0,0,0.80005494088011,0.85375574323235,0.852881794782093,0,0.851555584195992,0.853101371747396,0.854240861719055,0,0.855991355415711,0,0,0.853563378532392,0,0,0,0,0.850883959827348,0.852745563247335,0.851909011729914,0.852182968448413,0,0.853706204282401,0.855747042112837,0.855138382108964,0.896811543474612,0,0.856128427541205,0.897212746148161,0,0,0.856747699930925,0.85612394976895,0.851635220192646,0,0,0.900227426702271,0.851704174725031,0,0.852952835221718,0,0,0.854902332407374,0,0.800663144361751,0.801830063803107,0,0
"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)",0.872750704231591,0.810178371057519,0.809973174148518,0.807960230870996,0.805932763887942,0.811418353015499,0.809729445055158,0.810569161250471,0.741481188317978,0.742666016473765,0.811548112109984,0.813112960426678,0.73546171269474,0.738577945077494,0.814439987732837,0.807355882890252,0.807410109959246,0.807410109959246,0.877375041206111,0.811786098097392,0.885458420619174,0.876944626825899,0.73599537954883,0.87674907016395,0.803831369386866,0.741279560161402,0.809907958405891,0.879777288867046,0.743831894845691,0.815753289866154,0.746698638939529,0,0.810593576783854,0.820456664302301,0.813593527516355,0.876066232980911,0,0,0,0,0.81657461514232,0,0,0,0,0.748142797156873,0,0,0.81992031361784,0.824665755468097,0,0,0,0.751126496779026,0.818555124044126,0,0,0.751998823893258,0,0,0,0,0,0,0,0,0
"Assembly and cell surface presentation of NMDA receptors",0.850539814857534,0.85220450639229,0.889779680882158,0.852636204547211,0.885972957722882,0.852903730905087,0.851302819046042,0.851776334119206,0.852042367262793,0.815693932713603,0.852976901921034,0.853821008299637,0.815055197410437,0.855096383312977,0.853821008299637,0.810852813390398,0.81088339197717,0.81088339197717,0.851144888043345,0.852324482745037,0,0.812377106836857,0.852589320471306,0.812266832642305,0,0.853196057229922,0,0,0.815623530433804,0,0.854210974547252,0.852759153241052,0,0,0,0,0.854053884469767,0.852140109381624,0.852903730905087,0,0,0.854264112685856,0.854758164461197,0.854297440328546,0.851340308113059,0,0.854781774071499,0.850247150038456,0,0,0.855956139014542,0.855043464056779,0.852982142191906,0,0,0.850226617116607,0.851351832148623,0,0.813323527851062,0.855310991151815,0,0,0,0.815661523991695,0,0,0
"Phase II - Conjugation of compounds",0.812384410995327,0.812265264723284,0.812969198065444,0.785415748545352,0.797776886915597,0,0.812437575316285,0.812602353565605,0.79836126278573,0.813094732583315,0.785534307636685,0.814579054433474,0,0.79882512206614,0,0.772141812388651,0.772152453414208,0.772152453414208,0,0.798925491847962,0,0,0,0,0,0,0,0,0,0,0.799552390138151,0,0.798965217528832,0.788404115135986,0.812876334483902,0,0,0,0,0.850771192681611,0,0,0.786992577336425,0.786832250199443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78728718078194,0.789882077771815,0,0,0,0,0.813194339068231,0
"Arachidonic acid metabolism",0.883465671851281,0.858540454748422,0.860026467384133,0.85780036200685,0.856234887677198,0.858058990832752,0.858904204699063,0.88533148176752,0.859447484472559,0.859296350939908,0.857879903392923,0.885876070510416,0.857670726781737,0.859669735983011,0.859154393522043,0.856824409028104,0.856846872374399,0.856846872374399,0.859031345905195,0,0.858322009210086,0.858853048470856,0.85836707892368,0.858772039906327,0,0.858489177336198,0.859843258621075,0.860026467384133,0,0,0,0.860730105528181,0,0,0.887049457485095,0,0.857851047774639,0.857359090087424,0,0.91231640092147,0.860734009031057,0.859058341367286,0.859960334163687,0.859621881447878,0.855745408991898,0,0,0.855968502563988,0,0,0.860516761978842,0,0.859142731382134,0,0,0,0,0,0,0,0.912444205790814,0.860749601604221,0.860749601604221,0.858936774375452,0.859433374569232,0.858479948833914,0
"Glucuronidation",0.836602894479844,0.867472010207425,0.868947747082362,0,0,0,0.867833244831221,0.868178688531849,0.837699052327133,0,0,0.869670340763201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840196150349682,0,0,0,0,0,0,0,0,0.866123629938367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866250551038468,0,0,0,0,0.868974555871135,0
"Unblocking of NMDA receptors, glutamate binding and activation",0.870713783415295,0.87259408693705,0.91503602374561,0.886085250073844,0.910736251197188,0.873383875487337,0.871575612428546,0.87211045749809,0.872410947436523,0.831519646198976,0.873466523663353,0.874419959277871,0.830798181462153,0.875860521735884,0.874419959277871,0.82260375322226,0.822638292368521,0.822638292368521,0.871089819099293,0.872729602709125,0,0.824325474199227,0.882781405754995,0.824200917215517,0.873081698932478,0.873714064117851,0,0,0.876874233290081,0,0.874553027225804,0.872382782960043,0,0,0,0,0.873496146103911,0.872521349181486,0.873383875487337,0,0,0.87492045484748,0.875478496546924,0.874958099109264,0.870431105480143,0,0.87505208316694,0.870060556602165,0,0,0.876831633584385,0.875800748341402,0.873472442657695,0,0,0.914695575259622,0.871308317895354,0,0.874276332798558,0.875505164090112,0,0,0,0,0,0,0
"Carnitine metabolism",0.701286033655258,0.701905871404191,0.706587122049194,0.702904897027463,0.697777693670902,0.703524000174817,0.703051759837531,0.786421883450367,0.704763204766719,0.704990306721997,0,0.707467117281462,0.619795658557543,0,0.706447657016106,0,0,0,0.707320615574279,0.705416069719395,0.704548194835254,0.706758941360046,0,0.706503747436496,0,0,0.706908812073165,0.710455456391366,0,0,0,0,0,0,0.709506415207536,0,0,0.694332661242106,0.701092363554808,0.705416069719395,0.712684360581974,0,0,0,0.699905964259124,0.714568931519302,0.706999008578192,0.70060875567768,0,0,0,0,0,0.718462544785559,0,0,0,0,0,0,0.705818681791913,0,0,0,0.79012792270677,0.704240526781654,0
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0.773937846766572,0.823907559515057,0.825162799742384,0.824464996095966,0.821604117814038,0.824810443433504,0.823190137402562,0.871065826219787,0.824145089895788,0,0,0.827798591492265,0.776715182126935,0,0.776401696702958,0,0,0,0.826928879895997,0.825866180897292,0.825381923840413,0.826615476769717,0,0.826473083596911,0,0,0,0.828678059202378,0,0,0,0.774796837579837,0,0,0.826791707709257,0,0.778666653934267,0,0,0.825866180897292,0.829921743750847,0,0,0,0.821434845555568,0,0,0.821826989296755,0,0.782271582648664,0,0,0,0,0,0,0,0,0,0,0.775679008434964,0,0,0,0,0,0
