"","SLC25A31","HACE1","EPHA6","VCAM1","ZNF154","ANP32B","PHF2","AASDH","NEK9","OR6C74","ARFGEF1","IFIH1","MAPK10","TYRO3","ADAMTS5","MGAT5","RPRD1B","LONP1","GRIK3","OPN1LW","FLT1","TP53","SDC2","SP5","DBNL","POLQ","NEB","PDE4DIP","OR4C15","WASF1","CACNA1B","OPRD1","TCF7L2","UNC13C","KALRN","TRAF3","RYR2","PCLO","IRF5","NINL","ATP2B4","LAMTOR2"
"Peptide ligand-binding receptors",0.896567234657111,0.912743101899994,0.914179018797425,0.913498352310911,0,0,0.897170731847096,0,0,0.915152138877744,0.91455915067583,0.914042187430595,0.91361176307252,0,0.895362332829582,0,0,0,0.912191876718971,0.911592166117697,0.913443182776304,0.912267151569558,0.913413206563945,0.897324534115951,0.914179018797425,0,0.894694832865095,0.915518463655053,0.915152138877744,0.913872353231987,0.914022713665934,0.928856497189906,0.911180382760839,0,0.929007557462561,0.913498352310911,0.912964045212623,0,0.913384257721727,0.913001315987637,0.914905263126748,0.914011309610245
"Adrenaline,noradrenaline inhibits insulin secretion",0.859255258074666,0,0.851454393618728,0.853348886820199,0,0,0,0,0,0.911220381523339,0.856057913870806,0,0.90527171571402,0,0,0,0.854261593199989,0,0.909152711292719,0.909248933865099,0.850951465581902,0.849301423314424,0.853068977710383,0,0.795955902657034,0,0,0.860905843760013,0.911220381523339,0.850315723776432,0.906622679430702,0.903877934036794,0.849520376344759,0,0.904334026567526,0.849216762766799,0.903142400556942,0.861990874186612,0.851833232052005,0.852630943509943,0.854598059905953,0.850772530575684
"G alpha (q) signalling events",0.878127674143112,0.894694366351524,0.896371954811824,0.895687924327462,0,0,0,0,0,0.913727565341413,0.896458566555956,0.896853598602188,0.911909093473568,0.898241761828698,0.897049353155009,0,0.896120337697029,0,0.913095490811277,0.913124905481143,0.895981150340756,0.895069790138218,0.896221509178964,0.879529808183353,0.89652535925259,0,0.89720433529074,0.897097031460752,0.913727565341413,0.896682925047024,0.912322075071797,0.911483022678671,0.895408266660421,0,0.912878872537703,0.912065605411322,0.895499644777821,0,0.895573265858668,0.894505100491893,0.896480800365646,0.89507535457469
"Collagen formation",0,0.8834835086422,0.907549528206107,0.904634826157478,0,0,0,0,0,0,0,0.885091554696743,0.906514197044613,0,0.907047593422277,0,0.883903750524976,0,0,0,0.905116358979787,0.905322967052595,0.90640842199599,0.9098683489622,0.885190951255835,0,0.884622393047588,0,0,0.90505696811305,0,0.883748012632203,0.906537286113204,0,0.883919747952332,0.884504362220693,0.885093202724326,0,0.904903415820877,0.906677162251371,0,0.884331563587755
"NCAM1 interactions",0,0.711109710518604,0.717959857164586,0.664062103064422,0,0,0,0,0,0.719225498751573,0.720567523813979,0.714762484253818,0.717297488934012,0,0.617540998812354,0,0,0,0.717597713436511,0.717680014967777,0.666142769459946,0.662270390323506,0.66422828933968,0.723437660707787,0.717959857164586,0,0.618731440477606,0.719895920522075,0.719225498751573,0.66538722240285,0.758565479669792,0.713440339003666,0.71587095025768,0,0.713476173949828,0.716045956496915,0.759504797243964,0,0.709136423119741,0.714082777808231,0.719861169931862,0
"ADP signalling through P2Y purinoceptor 1",0,0.753364348733292,0.825542106477976,0.818267591113436,0,0,0.766798807681479,0,0,0.889078208477093,0.826237620279542,0.758241577901158,0.882284593734993,0,0,0,0.757242174680855,0,0.886716846213553,0.886826736247251,0.820600582766145,0.813802386042956,0.82048804140238,0.766798807681479,0.758755291523288,0,0,0.827784583598726,0.889078208477093,0.824390774864082,0.883827448438197,0.880692839204954,0.818920565415651,0,0.881213715152581,0.818267591113436,0.819221040389804,0.766798807681479,0.817690164464824,0.823906702768053,0.825482410699447,0.824912466534982
"G alpha (s) signalling events",0.92339429469713,0.92118526767285,0.921604072864602,0.921501750003192,0,0,0,0,0.901271540092741,0.945135704360556,0.923583159662725,0.900890553030938,0.942979708258797,0.882598424832583,0.882732392062694,0,0.92207712439079,0,0.944386311286574,0.944421185575633,0.922019391808167,0.9206181879664,0.923496181624874,0.903559350978285,0.922468155038854,0,0.899617890776757,0.924108169550441,0.945135704360556,0.922530734779191,0.943469342842441,0.942474555009458,0.920667236743592,0,0.942639858247163,0.92208512455692,0.923266962760772,0.924514659452859,0.920690762865716,0.918952378822446,0.921542033632679,0.921437875280879
"Signal amplification",0.788888195276868,0.783920270545759,0.843704139030213,0.838307348662096,0,0,0.795252362114005,0,0,0.898396178479842,0.845011633766301,0.788034258890413,0.892665701008901,0,0,0,0.787191252942071,0,0.896404347361116,0.896497040630648,0.840074370830077,0.834900319361986,0.839979441138876,0.797060328026476,0.788467581127526,0,0,0.846436121116322,0.898396178479842,0.84321639732544,0.893967113357595,0.891323041199664,0.838616562407339,0,0.891762404925213,0.838421406052484,0.839212692456752,0.79378467237789,0.837732619643212,0.843423404869556,0.844494216779036,0.84427177599837
"Constitutive Signaling by Aberrant PI3K in Cancer",0.722768559327459,0.75830967986752,0.759494856616709,0.760575885914878,0,0.765065814984174,0,0,0.719621461428616,0.763639000495881,0.762908809586259,0.761778969034202,0.759635924073192,0.761982420811562,0.71957572504727,0,0.761190079669729,0.718955235555678,0.761480051436042,0.761544803150657,0.795143733995451,0.79254209382654,0.759792099042376,0.763968871114593,0.759810931175676,0,0.719062818653045,0.723199932758558,0.763639000495881,0.758966962451867,0.759777499768133,0.758268154916066,0.760272614051331,0,0.758237380923005,0.760575885914878,0.720497947340956,0,0.760323483542752,0.760522597513962,0.724187403515874,0.760068969304775
"Presynaptic depolarization and calcium channel opening",0,0,0.702182666374523,0.698679011282976,0,0,0,0,0,0.796056719119818,0.798255827510106,0,0.789176818676707,0,0,0,0,0,0.795253634210359,0.792969850425835,0.78670709049706,0.779357683265624,0.78458545976081,0,0,0,0,0.798527898796556,0.796056719119818,0.700604139458572,0.651718995195089,0.786994452328966,0,0,0.78527414853525,0,0.867944560867862,0,0.787605290732947,0.785571160928819,0.795371517226875,0
"Chemokine receptors bind chemokines",0.807445252300884,0.851439440580442,0.855281620288732,0.853460315053536,0,0,0.809778965003642,0,0,0.857885463333564,0.85810025912128,0.854915491369967,0.853763775878976,0,0.803662179740855,0,0,0,0.855682585529624,0.851268311301146,0.853312694208095,0.850165908174056,0.853232484834513,0.809778965003642,0.855281620288732,0,0.804074836459555,0.860131162456807,0.857885463333564,0.85446105454787,0.852877694091883,0.894588107935777,0.853293775700112,0,0.894959341516706,0.853460315053536,0.854027838190514,0,0.853155024464524,0.853395860638285,0.858490380437195,0.854832869503064
"Interleukin-4 and Interleukin-13 signaling",0.723965951866334,0.720915666369082,0.722374017398281,0.74668022889574,0.727352888756138,0,0.697901746161364,0,0.723196650679968,0.723858303478284,0.72382396498529,0.723193511171524,0.770140257972411,0.698612640441191,0.723490624382623,0,0.722787482681609,0.696707386294,0.695983706296134,0.693415048916709,0.722586677685963,0.768729685925856,0.746562721758524,0.725948684011435,0.723105849786321,0.724621693604445,0.72257075586791,0.725637431898732,0.723858303478284,0.722934465507993,0.721614792976776,0.720445277570714,0.770812078985427,0,0.721751054954819,0.722364007275459,0.72268751628802,0.673197318340572,0.74639166921062,0.721798062719514,0.724203128423956,0.723556948862487
"Complement cascade",0.62412956096153,0.620609995822255,0.624598151077764,0.618175820799632,0,0,0,0,0.621619276699729,0.62523978953629,0.579347032731287,0,0.618706896243711,0,0.623471915334558,0,0,0.58301154960577,0.623492881863856,0.623574177201701,0.627256084793561,0.628432748328046,0.627172828033316,0,0.620066322701447,0,0.623476275718192,0.532803543170082,0.62523978953629,0.62374640966524,0.573736324449642,0.618246627993524,0.623074446355973,0,0.618424110227349,0.62270764917595,0.526468335918795,0,0.621103542921339,0.574247815247868,0.531100423084223,0.624132350948631
"Collagen biosynthesis and modifying enzymes",0,0,0.906021025886179,0.90197649856715,0,0,0,0,0,0,0,0,0.873160305203129,0,0.904305576870958,0,0.871010152617833,0,0,0,0.902211083872072,0.902516995952903,0.904617461375909,0,0.874304804663278,0,0,0,0,0.902661959567486,0,0,0.873194491790906,0,0.869698588765198,0,0.872771302569074,0,0.902103087274793,0.904729366364688,0,0
"Initial triggering of complement",0,0,0,0.543677337998968,0,0,0,0,0,0.460721340797178,0.462864850141484,0,0.546640837815937,0,0.552478519262346,0,0,0,0.457565661026495,0.457712515984624,0.548495843910954,0.542595401577578,0.548345445765578,0,0.547092411790291,0,0.553252279265674,0,0.460721340797178,0,0.453704324606441,0.544513647232817,0.453086476712097,0,0.545209735976311,0,0,0,0.451851439425934,0,0,0
"Trafficking of AMPA receptors",0.779436164236869,0.837861635123559,0.84431695567586,0.841739981912855,0,0,0,0,0,0.846246519989579,0.847863986456941,0.84277991653536,0.841150348604969,0,0,0,0.781314366886821,0.773792452721472,0.843865281846451,0.843976096838217,0.841531112450328,0.83707870936555,0.84141762381192,0.787730728656695,0.84431695567586,0.781187180618681,0.841549132708556,0.847292492419764,0.846246519989579,0.842136931633731,0.840951563650993,0.837790570022338,0.842239969089994,0,0.839051454777485,0.841739981912855,0.901910674566145,0.790051576997789,0.840289023225278,0.84164878504272,0.845640770808517,0.842663014448248
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.779436164236869,0.837861635123559,0.84431695567586,0.841739981912855,0,0,0,0,0,0.846246519989579,0.847863986456941,0.84277991653536,0.841150348604969,0,0,0,0.781314366886821,0.773792452721472,0.843865281846451,0.843976096838217,0.841531112450328,0.83707870936555,0.84141762381192,0.787730728656695,0.84431695567586,0.781187180618681,0.841549132708556,0.847292492419764,0.846246519989579,0.842136931633731,0.840951563650993,0.837790570022338,0.842239969089994,0,0.839051454777485,0.841739981912855,0.901910674566145,0.790051576997789,0.840289023225278,0.84164878504272,0.845640770808517,0.842663014448248
"Activation of G protein gated Potassium channels",0,0,0.841560010589767,0.839102003147765,0,0,0,0,0,0.90706097882397,0.846616915766626,0,0.900526449316259,0,0,0,0,0,0.904789670842097,0.904895370045697,0.838902776170498,0.83465591883951,0.838794526749494,0,0.779695409296526,0,0,0.847673934622716,0.90706097882397,0.840452586826461,0.902010464817126,0.898995398860731,0.839578908353381,0,0.899496410380936,0.839102003147765,0.839436975667349,0,0.838689987344338,0.838584067820527,0.84545955872516,0.840954382961042
"G protein gated Potassium channels",0,0,0.841560010589767,0.839102003147765,0,0,0,0,0,0.90706097882397,0.846616915766626,0,0.900526449316259,0,0,0,0,0,0.904789670842097,0.904895370045697,0.838902776170498,0.83465591883951,0.838794526749494,0,0.779695409296526,0,0,0.847673934622716,0.90706097882397,0.840452586826461,0.902010464817126,0.898995398860731,0.839578908353381,0,0.899496410380936,0.839102003147765,0.839436975667349,0,0.838689987344338,0.838584067820527,0.84545955872516,0.840954382961042
"Interaction between L1 and Ankyrins",0,0,0.802853281509682,0.717920283441404,0,0,0,0,0,0.807779864211219,0.80809007808663,0,0.799039807852329,0,0,0,0,0,0.726132063549759,0.731614166271022,0.799498353185376,0.787916434631071,0.799851476491449,0,0.724562947494248,0,0.721092857028223,0.811606396690285,0.807779864211219,0.80145508821383,0.799765602807937,0.724165075480426,0,0,0.724797634553028,0,0.801781162119602,0,0.79922969368932,0.800129858761342,0.808810605560418,0
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0.818136243428076,0.800737868312148,0.8785936297337,0.810678549880043,0,0.733274284526211,0,0,0,0.814985812461902,0.815401220933628,0.812935932176629,0.810032086029752,0.815589306880738,0,0,0,0.736349858514103,0.812375063784923,0.81249655944212,0.875539278980786,0.805568010570466,0.809207906179817,0.741992486473931,0.810946529300047,0,0,0.743047091424979,0.814985812461902,0.81111375874884,0.81062066773745,0.808272224318764,0.733178347737026,0,0.806290740189806,0.875768279878713,0.811558935760332,0,0.810204959454492,0.732598769173159,0.742342534654674,0.810884020804357
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0,0,0.841560010589767,0.839102003147765,0,0,0,0,0,0.90706097882397,0.846616915766626,0,0.900526449316259,0,0,0,0,0,0.904789670842097,0.904895370045697,0.838902776170498,0.83465591883951,0.838794526749494,0,0.779695409296526,0,0,0.847673934622716,0.90706097882397,0.840452586826461,0.902010464817126,0.898995398860731,0.839578908353381,0,0.899496410380936,0.839102003147765,0.839436975667349,0,0.838689987344338,0.838584067820527,0.84545955872516,0.840954382961042
"Cardiac conduction",0.829973791654628,0.825985056160568,0.857268903267064,0.856160956754939,0,0.85659889105659,0.804347325207627,0,0.828358175044633,0.857182092162082,0.857543372906594,0.824104838349614,0.85744282374726,0,0,0,0.82367153728686,0,0.856293721278829,0.856205944306907,0.856071155222685,0.856755725999038,0.857557736299949,0.833537637984115,0.856060957294707,0.829830886432667,0.856078902869377,0.856762356194501,0.857182092162082,0.856769732159998,0.882100974142166,0.855998317398156,0.857035075257736,0,0.85697853384063,0.827214405739452,0.883751888247871,0.832437739397227,0.855220855119406,0.853935788811955,0.884611739931075,0.855787970725413
"Signaling by Retinoic Acid",0,0.582354308231482,0.586799101323231,0.661010623734102,0,0,0.671350107271905,0,0,0.592094318645058,0,0,0.661484182667649,0.597614422337031,0,0,0.660721184333054,0,0,0.663963351133831,0.583726538221805,0.656993489015292,0.661778965924395,0.606236618915311,0,0.664063825357183,0,0,0.592094318645058,0.663696182627405,0.591206634997015,0.65971382733055,0.662685947241535,0,0.660293147506146,0.585188753495979,0.595267190319814,0,0.659085467483367,0.660098705611044,0.593038308361237,0.664276410053474
"Assembly and cell surface presentation of NMDA receptors",0,0.567113147215209,0.672703312761389,0.67041310677222,0,0,0,0,0,0.674889067369438,0.582095791495857,0,0.661545834956502,0,0.575427059005997,0,0,0.579360152125507,0.672687732879665,0,0.668608146819102,0.663561075613936,0.669939243094584,0.592149330437771,0.674201236373953,0.574727622315032,0.663555361097537,0.679559893083298,0.674889067369438,0.669915257671847,0.668404591814832,0.663640050589042,0.671148083687157,0.681994627014791,0.657379116982657,0.571316360528923,0.758863515258698,0.681994627014791,0.666349301174049,0.66555115050556,0.676147233404749,0.669839048161423
"Biological oxidations",0.80909194597304,0.804736078878241,0.828077390376153,0.805698469802842,0,0.829581053827541,0.832007751897435,0,0,0.785804239533832,0.786348642152694,0.804723008526561,0.806737301182749,0.831377893865428,0,0,0.828764131370393,0.830381507975031,0.785002768648709,0.785040066467826,0.825478323284059,0.826841468999154,0.827711282003317,0.809372546330613,0.782924911894831,0.808067580408758,0,0,0.785804239533832,0.828101840678742,0.804597910937252,0.826886548267538,0.828578632252496,0,0.827063338975694,0.80403001720064,0.809008431183092,0,0.827674393439437,0.828379653077311,0,0.806352114531069
"Immune System",0.796112962611276,0.799952243034622,0.800041330101005,0.799877280184054,0.796885940724124,0.796635357969855,0.796415102949896,0,0.800090174557933,0.7964846994193,0.796583048343562,0.796448429237594,0.799842647089769,0.796242822753669,0.796338172113357,0,0.79597512228066,0.795969662666664,0.796201594651924,0.795989197600731,0.799923214785411,0.799599846695957,0.803507668956962,0.796641168596099,0.800041330101005,0.796255112401056,0.795978776615763,0.796448500784263,0.7964846994193,0.799910698492156,0.796138013388244,0.799750236656414,0.799915040375346,0.792394038933026,0.79591979320237,0.805170573512546,0.7999334643296,0.792542501149058,0.799853521558631,0.795876329036269,0.796281131265067,0.800002723033849
"Ca-dependent events",0.746980335401183,0.664737390915891,0.750152310088324,0.743369001139544,0,0,0,0,0.682494638108074,0.748128663710463,0.754354240925846,0.677520658870214,0.747841905708862,0,0,0,0.742828483244063,0,0.747029874301333,0.744126370975956,0.742631128475672,0.74346161662039,0.742813846047288,0.754354240925847,0.74865069298537,0.676018398033782,0.746492352378525,0.744567408114237,0.748128663710463,0.749999523225776,0.743075985582943,0.807385269883958,0.746416260820827,0,0.744170781305078,0.675305645451998,0.810610292936495,0.751511826997042,0.740928171611561,0.743892627021552,0.747669989374713,0.74450753721136
