"","FOXO4","TP53","NRAS","PRKD1","HDAC9","APC","MAMLD1","XCR1","TGM2","DGKH","SPAG9","DMD","PLG","SST","FZD1","CATSPER1","CATSPERD","BRCA1","SMAD1","RELN","SPRY3","ARHGAP40","WDR19","RBP1","CLEC7A","SCN9A","PARVB","NRXN3","COPB1","USP9X","AGAP2","GRIK1","WWP1","CAT","CHRNA2","CCT8L2","TLE4"
"NCAM1 interactions",0.85935029398224,0.889913594637802,0.923440342319505,0.892515876541839,0.891310304521336,0.890215482596341,0.858442188332968,0.891322938426387,0.895010706456116,0.891806465381785,0.861204739953447,0.889891996659973,0.891166313298772,0.889995396209538,0.857662411525021,0.924224306133151,0.924224306133151,0,0.891571248661816,0.89331357874827,0.89442217438448,0.859294540933759,0.890770749848013,0.893859187604909,0.862029156170335,0.894643543297005,0.891581378610079,0.893723065033455,0.891867272868645,0,0.894816712476929,0,0.890731453612324,0,0.859866708462971,0,0.861049495077589
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.605618680493064,0.588161179567576,0.65960423359824,0.634293137751868,-0.0190041221881304,0.582679534570638,-0.0190041221881304,0.362392779291019,0.607454345767695,0.363907424725367,0.606960001225914,0.583409717020311,0.582648990414799,0.3372637873908,0.337810769926253,-0.0190041221881304,-0.0190041221881304,-0.0190041221881304,0.606136568060951,0.632333651652759,0.340542260299412,0.58419650918128,-0.0190041221881304,0.365063552695861,0.640026058997294,-0.0190041221881304,0.630620299313049,-0.0190041221881304,0.335834693772244,-0.0190041221881304,0.365905031627346,-0.0190041221881304,0.336533485502549,0.28225563795001,-0.0190041221881304,0,0.606153899880129
"Activation of G protein gated Potassium channels",0.876366411990476,0.872035723755886,0.87747935164206,0.882056152934111,0.880472171064348,0.879033701980527,0.881124068913727,0.920566564192949,0.927429928131357,0.877087821730989,0.882839186188516,0.879831700706799,0.874941970931001,0.920497763024876,0.879962824717039,0.87447314202344,0.87447314202344,0.877302687806047,0.876778774230251,0.877234841353328,0.884787049226252,0.882839186188516,0.876625508057398,0.877683514214314,0.885633383599884,0.878250327938525,0.881915234493045,0.877040926213719,0.823313223246572,0.881848090432107,0.88104293742804,0.880750802043514,0,0.87914513882304,0.828265293596738,0.880066162121428,0
"G protein gated Potassium channels",0.876366411990476,0.872035723755886,0.87747935164206,0.882056152934111,0.880472171064348,0.879033701980527,0.881124068913727,0.920566564192949,0.927429928131357,0.877087821730989,0.882839186188516,0.879831700706799,0.874941970931001,0.920497763024876,0.879962824717039,0.87447314202344,0.87447314202344,0.877302687806047,0.876778774230251,0.877234841353328,0.884787049226252,0.882839186188516,0.876625508057398,0.877683514214314,0.885633383599884,0.878250327938525,0.881915234493045,0.877040926213719,0.823313223246572,0.881848090432107,0.88104293742804,0.880750802043514,0,0.87914513882304,0.828265293596738,0.880066162121428,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.87964814817495,0.87876065012587,0.880129412952151,0.885292477679842,0.883751959541757,0.881641112634487,0.884385969614926,0.92274618102194,0.929421217420546,0.880244746188483,0.885342176111609,0.882417214643896,0.878373505548507,0.922679267726175,0.882742700690674,0.923315813494991,0.923315813494991,0.879957596690287,0.882122712707637,0.880387731660218,0.887948439437727,0.885342176111609,0.883026224586886,0.880724201693429,0.887853937313027,0.881480370338598,0.884443577224364,0.881845660382075,0.879474270335038,0.885090124316896,0.884196351912195,0.884022945015412,0.832543827340715,0.882145719997266,0.832999386816994,0.883357091296904,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.876366411990476,0.872035723755886,0.87747935164206,0.882056152934111,0.880472171064348,0.879033701980527,0.881124068913727,0.920566564192949,0.927429928131357,0.877087821730989,0.882839186188516,0.879831700706799,0.874941970931001,0.920497763024876,0.879962824717039,0.87447314202344,0.87447314202344,0.877302687806047,0.876778774230251,0.877234841353328,0.884787049226252,0.882839186188516,0.876625508057398,0.877683514214314,0.885633383599884,0.878250327938525,0.881915234493045,0.877040926213719,0.823313223246572,0.881848090432107,0.88104293742804,0.880750802043514,0,0.87914513882304,0.828265293596738,0.880066162121428,0
"G beta:gamma signalling through BTK",0.841944585206061,0.829838875525535,0.837714994500037,0.8443369444666,0.842045158561948,0.838904910440643,0.842988357679943,0.900055775212159,0.909986040850172,0.842988357679943,0.844410879438602,0.841118493323035,0.834043782436724,0.899956230166712,0.840543712294049,0.83336545681788,0.83336545681788,0.837459388235239,0.836701363303775,0.84320107318169,0.847229147210028,0.844410879438602,0.836949149730035,0.838010387341507,0.850571662127297,0.838830482399731,0.844133056465668,0.83708065818843,0.764375840453035,0.844035909007494,0.842870972500937,0.842448296099593,0.837233469683159,0.840125140508897,0.771540748867709,0.841457724077811,0
"Inwardly rectifying K+ channels",0.886291149923476,0.882416303799711,0.887286943123386,0.891381996792707,0.889964742611457,0.888677684746363,0.890548022616372,0.925838856697568,0.931979792667126,0.886936625096301,0.892082609075618,0.889391687256765,0.885016643512751,0.925777297443017,0.889509009339372,0.884597162872084,0.884597162872084,0.887128874672575,0.886660107497844,0.88706816964139,0.893825442808398,0.892082609075618,0.886351586079588,0.8874696158324,0.894582693224365,0.887976767546673,0.891255911227192,0.886894665734769,0.838822264697395,0.891195834655024,0.890475430915975,0.890214045288328,0.84942605783994,0.888777391904638,0.843253087135198,0.889601469594912,0
"Nitric oxide stimulates guanylate cyclase",0.645632397373775,0.639770813625817,0.648185195232105,0.647870400118652,0.582514873433303,0.580862606128901,0.645893652933578,0.649812206817966,0.650851494437267,0.645893652933578,0.648930235126277,0.644859605455676,0.580492809072826,0.642183985472998,0.583149175869748,0.640588686795538,0.640588686795538,0.649962357490898,0.646190529400834,0.584919910109725,0.589678760648871,0,0.643941157599774,0.584203486148455,0.591814944047026,0.586294370551489,0,0.584657446092634,0.581357214348525,0.580450534479057,0,0.586943915508435,0.641225245970722,0.586181794118927,0,0,0.583807818165568
"G beta:gamma signalling through PLC beta",0.811055965432052,0.804473557562815,0.808528316001981,0.81548480217896,0.813077236877681,0.810890843005832,0.814068085745401,0.874018508690799,0.884450444297889,0.878882915737082,0.816674969648071,0.812103757168874,0.808890893385475,0.873913934700337,0.811499938610425,0.803959042764498,0.803959042764498,0.808259796690178,0.80746347687741,0.808156673814531,0.819635614306207,0.816674969648071,0.807723781297984,0.80883863188006,0.820921995994112,0.809700157558319,0.815270613900991,0.807368672898755,0.731488399050054,0.81516855862221,0.813451509778935,0.813007480065915,0.806106847698046,0.811060220875892,0.739015273550416,0.81246012562051,0
"Phase 4 - resting membrane potential",0,0,0.813834272239355,0,0,0,0,0.815330501241568,0.827279045786901,0,0,0,0,0.815210724142631,0.819432025589945,0.743721659208176,0.743721659208176,0,0,0,0,0,0,0,0,0.750297425052361,0,0,0,0,0,0,0,0,0,0,0
"Lewis blood group biosynthesis",0,0,0,0,0.720040460708865,0.718065235141982,0.720935610499411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721280027239419
"Phase II - Conjugation of compounds",0.793969738993847,0.813774033668121,0.789327417017637,0.791784013524849,0.794008510886157,0.770043413147854,0.794372122245316,0,0,0.819229109455019,0,0,0,0,0,0,0,0.792648909696828,0,0,0,0.77167049329007,0,0.79542526201791,0,0,0,0,0,0.818631687692519,0,0,0.740120787103043,0.793399778748723,0,0,0.794512024907724
