"","PCMT1","RAET1E","RAET1G","TFB1M","ULBP2","ULBP1","CLDN20","NOX3","RAET1L","ULBP3","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","MTRF1L","SNX9","MTHFD1L","UST","OPRM1","SYNJ2","SUMO4","IPCEF1","PPIL4","CD109","ZBTB2","SCAF8","KATNA1","TMEM181","DYNLT1","LATS1","ESR1","EZR","NUP43","TAGAP","COL12A1","SOD2","WTAP","ACAT2","TCP1","MRPL18","IGF2R","SYNE1","LPA","COX7A2","PLG","MAP3K4","AGPAT4","PACRG","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","MYO6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","HTR1B","PSMB1","TBP","PHIP","ELOVL4","TTK","BCKDHB","IBTK","TPBG","UBE3D","DOPEY1","PGM3","ME1","SNAP91","CYB5R4","NT5E","KHDRBS2","PTP4A1","SYNCRIP","HTR1E","CGA","RARS2","COL9A1","ORC3","CNR1","RNGTT","SRSF12","GABRR1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","MDN1","RIMS1","KCNQ5","EEF1A1"
"ADP signalling through P2Y purinoceptor 12",0,0,0,0,0,0,0,0.880554955143069,0,0,0,0,0,0.918946997539179,0,0,0.87783908227059,0,0,0.917570019819355,0.877706862004263,0,0.884680321233766,0,0,0,0,0,0.88182489569893,0.829569565509258,0,0.922106730213905,0.920222569126513,0.875710745596076,0.880624408994573,0,0.877980268342992,0,0,0.919103735207391,0,0.877595595517914,0.875766595898281,0,0,0.874302598763148,0.883221998307178,0,0,0,0.875689516793482,0,0.878559120375843,0,0.877916096660501,0.917431769676234,0,0.879172621369097,0,0,0,0,0,0.917684901409313,0.877327467096735,0,0,0,0,0,0.834778247718431,0,0,0,0,0,0.878386046057625,0,0.877660859982383,0,0.880806301904781,0,0.917684901409313,0.918714035798488,0,0,0,0.917695641006589,0,0,0,0,0.883479834529407,0,0.876587311540556,0,0,0.833403795433207,0.878037435078412,0
"Transport of small molecules",0.918438294433173,0,0,0.918538975571181,0,0,0,0.918500705021854,0,0,0,0.918424485745851,0.915759220446035,0.921117370409558,0.921189792713874,0.918186652038658,0.921082561106693,0.918500705021854,0,0.921019450106828,0.92107315859544,0.9184633890401,0.918680582022158,0.921827465765315,0.915706844382628,0,0.918576877059909,0.918543885543685,0.91842448574585,0.91832924778081,0.918480858889719,0.921058653752202,0.921208079470559,0.918078524320997,0.918477525626423,0.915199909861798,0.918442972111255,0.918427947118887,0.915269317951785,0.921128516414101,0.918176342264931,0.921065246159479,0.918241574973065,0.918333623265907,0.91501183029718,0.921328440185479,0.918527298552374,0.918318335457399,0.918506297011175,0.918169504528776,0.921218126155687,0,0.918268496697595,0,0.92132187237251,0.921009618796072,0.918371308282851,0.918239337309476,0.918704681374194,0.918314819885147,0.918448122048318,0.91830418720674,0.921323178694043,0.921027619621777,0.921476608144814,0.918098172605518,0.91870470168194,0.915435732686548,0.918388806844988,0.918410392333859,0.918478868782676,0.915288988499318,0.920995910816302,0.918633020494386,0,0.918192546094654,0.92112145705892,0.921802893167845,0.918077705751004,0.918734925178049,0.918518578913815,0.918440180581436,0.921027619621777,0.921100803922065,0,0.91827025456274,0.921454580809883,0.92102838334119,0.918347961057449,0,0,0.918537597686367,0.918491507471264,0.921227878551795,0.918393494003843,0.91528806054105,0.91857687705991,0.921312962310105,0.91824283446859,0.921135912492281
"Prostacyclin signalling through prostacyclin receptor",0,0,0,0,0,0,0,0.862673876940401,0,0,0,0,0,0.907345912883715,0,0,0.858367223589147,0,0,0.905705290549448,0.858209687618262,0,0.866518328197054,0,0,0,0,0,0.86336792413062,0,0,0.911110627389869,0.908865713244322,0.857261721762959,0.863116185345473,0,0.858787180799572,0,0,0.907532660508886,0,0.858077117366811,0.856483621032357,0,0,0.854153623221078,0.864780785802948,0,0,0,0.855928635186207,0,0.860684757446498,0,0.858458983627329,0.905540570184511,0,0.85995609027677,0,0,0,0,0,0.905842168074457,0.857757651430721,0,0,0,0,0,0,0,0,0,0,0,0.859018912423414,0,0.858754545510678,0,0.862973348097396,0,0.905842168074457,0.907068346856826,0,0,0,0.905854963941011,0,0,0,0,0.866518328197054,0,0.85712751992936,0,0,0,0.858603554244241,0
"Regulation of insulin secretion",0.851655357797633,0,0,0.873347879568369,0,0,0.871924400880066,0.871269681324081,0,0,0.854191828875919,0.871892361660726,0.855607616743642,0.887592095239402,0.870789456427151,0,0.870104839356484,0.831886594029163,0,0.886966925920613,0.870044809297435,0,0.873210868336263,0,0.88934386652066,0,0.873527400872609,0.87265466618996,0.871924400880066,0.871892361660726,0.872010387321841,0.889343195594369,0.888171224595556,0.869683581027152,0.871506432277582,0,0.871781880207672,0.871685953581821,0.852270819497972,0.887979789116891,0,0.869994292580662,0.869255734133901,0.873755907986777,0,0.870877806532952,0.872865299563732,0.871531180774309,0,0.871684397251574,0.889728277433738,0,0.8708964541286,0,0.888897732061444,0.886904158203639,0.889994246134908,0.870710286865031,0.851442134629849,0.889405090492012,0.871132591802342,0.871124319143997,0.871641055329868,0.887019083950697,0.870189090640115,0.869580517812841,0,0,0.872460755794621,0.831309995304916,0.871831540155875,0,0.849279596407619,0,0,0.871410621645794,0.870353169429817,0,0.870340456199782,0,0.871383796666354,0,0.887019083950697,0.887486326982854,0,0.870679170053217,0.870758571124616,0.887023959895032,0.871175284903845,0,0,0.872889032521436,0.872982361222094,0.849267677584118,0.870695423859156,0.872186575237032,0,0.890333756097517,0.871482726917115,0.870216952608617
"Activation of Matrix Metalloproteinases",0,0,0,0,0,0,0,0.834581163334141,0,0,0,0.835575437186599,0.81577720172289,0,0,0,0.833568473334343,0,0.835436410089084,0.832760687058983,0.833501073806922,0,0.837055807658328,0,0.836396769295812,0,0,0,0,0.83522004617581,0,0.834107881522776,0.834112829016705,0.810272805571304,0,0.834302459156281,0.81381739575595,0,0,0.834253283360795,0,0.833444355507935,0.835077797713814,0.814809860375015,0,0.854734242924827,0,0,0,0,0,0,0.835270779297337,0,0.833963122574061,0.832690213790618,0.835194247972445,0,0,0.834177374821916,0,0,0.813893961203046,0.832819248163779,0.810484982035215,0.83359173485756,0,0,0,0,0,0,0.808611701139937,0,0,0.835034557336396,0.833847289145158,0,0.81269025598654,0,0.835637969961911,0,0.832819248163779,0,0,0.855175184698928,0,0.832824722693525,0,0,0,0,0.814233113148504,0.808598319126257,0,0.835293818958426,0,0,0,0
"G beta:gamma signalling through PLC beta",0,0,0,0,0,0,0,0.86207420919636,0,0,0,0,0,0.907345912883715,0,0,0.858367223589147,0,0,0.905705290549448,0.858209687618262,0,0.866518328197054,0,0,0,0,0,0.86336792413062,0,0,0.911110627389869,0.908865713244322,0.857261721762959,0.863116185345473,0,0.858787180799572,0,0,0.907532660508886,0,0.858077117366811,0.856483621032357,0,0,0.854153623221078,0.864780785802948,0.804205433925083,0,0,0.856057827883924,0,0.860684757446498,0,0.858458983627329,0.905540570184511,0.804262304600808,0.85995609027677,0,0,0,0,0,0.905842168074457,0.857757651430721,0,0,0,0,0,0.806895116774308,0,0,0,0,0,0.859018912423414,0,0.858754545510678,0,0.862973348097396,0,0.905842168074457,0.907068346856826,0,0,0,0.905854963941011,0,0,0,0,0.866518328197054,0,0.85712751992936,0,0,0,0.858603554244241,0
"G-protein activation",0,0,0,0,0,0,0,0.870293904956408,0,0,0,0,0,0.911316798863103,0,0,0.866339050878442,0,0,0.913074861240056,0.866194383609901,0,0.873061496890842,0,0,0,0,0,0.870931257242896,0.868137879986205,0.819832757660428,0.918371768265827,0.912712450698441,0.865323854611433,0.870700082342152,0,0.8667247028803,0,0,0.911488291562125,0,0.866072642676326,0.864271096457719,0,0,0.862131430087101,0.872228705932325,0,0,0,0.864218303681602,0,0.867483958121084,0,0.86642331527857,0.909658929897635,0,0.867798127192783,0,0,0,0,0,0.909935891043025,0.865779273078852,0,0,0,0,0,0,0,0,0,0,0,0.866937504952536,0,0.866694733482989,0,0.870568913096111,0,0.909935891043025,0.911061906480593,0,0,0,0.909947641648633,0,0,0,0,0.873824313022681,0,0.865200615375397,0.819089015152479,0,0,0.866404241218017,0
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0,0,0,0,0,0,0,0.892943987538906,0,0,0.863091643930769,0.892172047837629,0,0.920309874252376,0.891287088698696,0,0.890703185008566,0,0,0.919318149150772,0.890607957500401,0,0.895630373232586,0,0.893694980110366,0,0.895630373232586,0.894608415449939,0.893251457731174,0.893036660809731,0.89322388850508,0.922585572807824,0.923596813403864,0.889532804922343,0.892709229397357,0,0.892861400721044,0.892709229397357,0,0.922791008294496,0,0.890527821296387,0.889341950027978,0.895992861016623,0,0.890925115970164,0.894580061792015,0,0,0,0.92133031638523,0,0.892104090294412,0,0.920012797004527,0.921586827455261,0.921752230623922,0.891663624802849,0.858227595142797,0.891423852915251,0,0.892180779393539,0.892638005934939,0.919400889020004,0.890334710193782,0.889369312611362,0,0,0.893938321709019,0,0.89294017780702,0,0.857184571223152,0,0,0.891407849002375,0.891097118555537,0,0.890574825984062,0,0.893125012176566,0,0.921769137662677,0.920142090850633,0,0.890972500665924,0.891238094404073,0.919408623878779,0.891899140144204,0,0,0.894617710104532,0.895630373232586,0.857165664030984,0.891573387081249,0.855738114878946,0,0.86039563079036,0.892386844759072,0.890378908481691
"Glucagon signaling in metabolic regulation",0,0,0,0,0,0,0,0.88615222267706,0,0,0,0.884225827339032,0,0.917347020753292,0.8831841369692,0,0.882496820658015,0,0,0.916179655569505,0.882384727823629,0,0,0,0,0,0.88706031408125,0.887093689331147,0.885875887550913,0.884652513744315,0.885463954892815,0.922813437067306,0.918428416507953,0.881710214066388,0.885875887550913,0,0.885037268487531,0.883621819276023,0,0.917479898790623,0,0.882290399048067,0.880667427188835,0,0,0.88140509979694,0.887060314081251,0,0,0,0.918548188915754,0,0.884145834133457,0,0.916997329457313,0.916062450765527,0.883591867709237,0,0.844274644257917,0.882918436490898,0,0.884236105302507,0.884774309230864,0.916277049134008,0.882063086885233,0.880926711972057,0,0,0.886304918227383,0,0,0,0.836290331679801,0,0,0.883326284600502,0.882960522047357,0,0.881109401037537,0,0.886365307794166,0,0.916277049134008,0.917149521969309,0,0.882387147224714,0.883126465509986,0.916286153879689,0.883904586161233,0,0,0.887104630121239,0.888296641573488,0.836268075917771,0.883008551983308,0.841344263065546,0,0,0.883866768135976,0.882115112938021
"Glucagon-type ligand receptors",0,0,0,0,0,0,0,0.893674872925563,0,0,0,0,0,0.786371234744637,0,0,0.890827787302959,0,0,0.922122511733301,0.890723641842165,0,0.896216401348423,0,0,0,0,0,0.894133700608107,0.854801125317652,0.855430775551423,0.925695926064222,0.92421183568906,0.890096951059967,0.893967278605363,0,0.891105416830666,0,0,0.923330567807091,0,0.89063600096975,0.889582556419313,0,0,0.888042218080436,0.895067729383106,0,0,0,0.889215660805842,0,0.892359885846075,0,0.890888448949981,0.922013616741177,0,0.891878171240001,0,0,0,0,0,0.92221300010135,0.890424805222294,0,0,0,0,0,0,0,0,0,0,0,0.891258612298408,0,0.891083841966331,0,0.893872850323771,0,0.92221300010135,0.923023614677749,0,0,0,0.922221459321242,0,0,0,0,0.896216401348423,0,0.890008231564849,0,0,0,0.89098402314444,0
"Neuronal System",0.934546772926499,0.934165682891162,0.934221486762368,0.939513198599842,0.934221486762368,0.934165682891162,0.939283421119381,0.938035741249169,0.934221486762368,0.934165682891162,0.934956051875338,0.939319437815407,0.934325438118146,0.943651169008573,0.939260501714859,0.933605476474921,0.943596895882597,0.939394434525957,0.934729187427221,0.943498496001983,0.943582235902772,0.934339527264272,0.939851836294545,0.934835282678602,0.93931489917644,0,0.939690144102597,0.939694509060383,0.939369630354378,0.939375241686613,0.939481365427096,0.94217858304676,0.943792598565897,0.938913134546137,0.939181488094535,0.934209371196992,0.939242376083456,0.939218949779668,0.939417015437079,0.94366854736605,0.93358940193156,0.943569899182461,0.939267000799615,0.93957180938582,0,0.938994372029852,0.939513198599841,0.93928703746706,0,0.938932339712063,0.943808262913147,0,0.943867923032497,0,0.943605434886743,0.943483167456932,0.943833917396053,0.939241167664521,0.934094451390796,0.939068425036873,0.933657647895503,0.939103285948232,0.939391170620745,0.943511233548487,0.939036585378018,0.938887965411432,0.940102573707029,0,0.939491705319355,0.939430568478655,0.93918835980829,0.934548448948651,0.938958209632416,0,0,0.939334896260647,0.943657540731574,0,0.939129354331154,0.940113511243249,0.939094449472887,0.939513198599841,0.943511233548487,0.943625339273742,0,0.938998940756577,0.939095631960845,0.943512424306029,0.939277424521593,0.934830882779688,0,0.939695939943657,0.939535546334007,0.938955298928764,0.943907806298173,0.939391287904535,0,0.944027733832167,0.928472639408399,0.939043389567497
"Stimuli-sensing channels",0.924205466986867,0,0,0.924466489474656,0,0,0,0,0,0,0,0.923881697287658,0,0.922302976016461,0.938006357753321,0.923102939655104,0.937458639160004,0.923038379654757,0,0.921802817789997,0.937410612926205,0.924080407893247,0.924610113057007,0.924735625197275,0.909163398688402,0,0,0,0.924927620250717,0.92318347775268,0.924169640552448,0.923089212804542,0.922589858168351,0.922114592327233,0.923572939723886,0,0.923976122115566,0.923899377320813,0,0.922375805845411,0.923050279297663,0.937370197712744,0.92294742395345,0.924792927071582,0,0.922237103516738,0.924080407893247,0,0.924299573624107,0,0.907137010073138,0,0.923411372583523,0,0.92215315059693,0.921752601330139,0.923030401795595,0,0.92531288310539,0.908017997661296,0.924002427011655,0,0.938687667894495,0.92184454611389,0.937272805697121,0.922214952016341,0.925312986833499,0,0.924009995701276,0,0.924159475465314,0,0.937016046006631,0.925247743908477,0,0.923496287728609,0.937657312263951,0,0.922377948429829,0.925467362685983,0.923606189656819,0.924406845490173,0.92184454611389,0.922218357558674,0,0.905408216002463,0.938164462400889,0.921848447046962,0.923490823777619,0,0,0.907066864224061,0,0.937006510513694,0.923723397381656,0,0.924660083048766,0.923302022132138,0.923410350989707,0.937731147859947
