"","ITGA4","PAXIP1","AOC3","POU4F2","MOS","MRPS9","LRP2","LRP1","CBX4","OR4A15","APAF1","SYNE1","APC","SRRM1","GABRD","TAF5","SPECC1","ATP6V0C","TAS1R2","NCAM2","DISP1","LRIG1","KIF17","NR1H4","TP53","CAP1","KDM3B","STK4","TRAM1","PAPPA2","CCT4","RPE65","CEP152","HADHB","EP400","SEC23B","GAK","MUC4","CD14","ADAMTS8","CDH6","RAD23A","P2RY6","ZC3H13","NCL","OR5H1","PCDHA2","MBD6","FYN","ARAP2","CENPB","SEMA3G","POLD2","GLI1","WIPF2","PRDM9","ATG3","ADD2","TMOD1","NFASC","PARVB"
"L13a-mediated translational silencing of Ceruloplasmin expression",0.932926061555307,0.932364779627588,0,0.923865786972588,0.933499150651305,0.939090107752266,0.932512030010418,0.931974075437018,0.933034734189773,0.922813694799112,0.933175960813519,0.933287962215536,0.930887672807984,0.932657823025224,0,0.932740250684969,0.923196768246416,0.933212514758477,0,0.934466545609108,0.923668053146377,0.923289312397707,0.933344524274026,0.922889185178323,0.930312227365396,0,0.923668053146377,0.933327098539495,0.939206904116088,0,0.932608482705669,0,0.932962195199902,0.931769704119048,0.932549284082989,0.933884667387526,0.930140271797588,0,0.930902181921756,0,0,0.932650260135198,0.921761322187616,0.933473178780447,0.931244437980063,0.922813694799112,0,0.930983852521226,0.932518726437715,0.933228306629937,0,0,0.932644197586261,0.930929583334179,0.933120311716036,0.933059082802302,0.922529616629858,0,0,0,0
"GTP hydrolysis and joining of the 60S ribosomal subunit",0.921523724711626,0.920962442783908,0,0.912413448345551,0.922096813807626,0.929699947998646,0.920488490115393,0.920571738593339,0.921632397346092,0.911406910634191,0.921773623969838,0.921885625371855,0.921497513054364,0.921255486181543,0,0.921337913841289,0.911789984081494,0.921810177914798,0,0.923064208765427,0.912261268981456,0.911882528232787,0.921942187430345,0.911482401013402,0.920922067611776,0,0.912261268981456,0.921924761695816,0.929816744362468,0,0.921206145861988,0,0.921559858356221,0.920367367275369,0.921146947239309,0.922482330543845,0.920750112043968,0,0.921512022168136,0,0,0.921247923291517,0.910354538022695,0.922070841936766,0.921854278226443,0.911406910634191,0,0.921593692767607,0.921116389594035,0.921825969786256,0,0,0.92124186074258,0.921539423580559,0.921717974872355,0.921656745958622,0.911122832464938,0,0,0,0
"SRP-dependent cotranslational protein targeting to membrane",0.920894180244714,0.920318556100339,0,0.911545070738501,0.9214819132613,0.929279327354175,0.919890703113562,0.919917868399037,0.920950600589368,0.91051926816059,0.910701196266856,0.921265328410377,0.920867298811268,0.920619087520822,0,0.919414068254612,0.910912130133241,0.92118795307408,0,0.922474027682516,0.911395457591153,0.911007039028883,0.921323335776933,0.910596687515812,0.920277149237292,0,0.911395457591153,0.921305464769452,0.91591809977187,0,0.92056848642746,0,0.920931237198138,0.919344149671357,0.920507775125624,0.92187728095527,0.920100799756395,0,0.92022905075434,0,0,0.920178320098687,0.920359033550617,0.909955287995981,0.92123318026367,0.91051926816059,0,0.920965936166948,0.920476436652843,0.921204148469029,0,0,0.920605113916369,0.920910280260679,0.921093394003508,0.921030600531389,0.910227931053449,0,0,0,0
"Nonsense-Mediated Decay (NMD)",0.921245144405794,0.920672074099374,0,0.911782734295158,0.9218302698617,0.92959308962379,0.920450804715638,0.920273164105746,0.921301314433607,0.91238314985532,0.912064667243148,0.921364630818257,0.920968367133777,0.929430522985826,0,0.920679754771714,0.911302876557324,0.92153761387044,0,0.922817982626925,0.911784059664589,0.912467546974032,0.921422380826924,0.910988833445695,0.920630850943733,0,0.911784059664589,0.921404589106696,0.929712339014691,0,0.920756882355254,0,0.921032021848947,0.920064500459139,0.921173541226656,0.921973868349107,0.920455283862257,0,0.9203891987488,0,0,0.920854322233651,0.909837282401978,0.921250024964848,0.921687458886352,0.91238314985532,0,0.921316581972727,0.92082925419247,0.921403420445821,0.913004559228803,0,0.92095736056111,0.921011157889906,0.921293157358156,0.921380959444567,0.910621713023549,0,0.911696305296856,0,0
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",0.921245144405794,0.920672074099374,0,0.911782734295158,0.9218302698617,0.92959308962379,0.920450804715638,0.920273164105746,0.921301314433607,0.91238314985532,0.912064667243148,0.921364630818257,0.920968367133777,0.929430522985826,0,0.920679754771714,0.911302876557324,0.92153761387044,0,0.922817982626925,0.911784059664589,0.912467546974032,0.921422380826924,0.910988833445695,0.920630850943733,0,0.911784059664589,0.921404589106696,0.929712339014691,0,0.920756882355254,0,0.921032021848947,0.920064500459139,0.921173541226656,0.921973868349107,0.920455283862257,0,0.9203891987488,0,0,0.920854322233651,0.909837282401978,0.921250024964848,0.921687458886352,0.91238314985532,0,0.921316581972727,0.92082925419247,0.921403420445821,0.913004559228803,0,0.92095736056111,0.921011157889906,0.921293157358156,0.921380959444567,0.910621713023549,0,0.911696305296856,0,0
"Eukaryotic Translation Initiation",0.921523724711626,0.920962442783908,0,0.912411968581857,0.922096813807626,0.929699947998646,0.92043896747005,0.920571738593339,0.921632397346092,0.911406910634191,0.921773623969838,0.921885625371855,0.921497513054364,0.921255486181543,0,0.921337913841289,0.911789984081494,0.921810177914798,0,0.923064208765427,0.912261268981456,0.911882528232787,0.921942187430345,0.911482401013402,0.920922067611776,0,0.912261268981456,0.921924761695816,0.929816744362468,0,0.921206145861988,0,0.921559858356221,0.920367367275369,0.921146947239309,0.922482330543845,0.920750112043968,0,0.921512022168136,0,0,0.921247923291517,0.910354538022695,0.922070841936766,0.921854278226443,0.911406910634191,0,0.921593692767607,0.921116389594035,0.921825969786256,0,0,0.92124186074258,0.921539423580559,0.921717974872355,0.921656745958622,0.911122832464938,0,0,0,0
"Cap-dependent Translation Initiation",0.921523724711626,0.920962442783908,0,0.912411968581857,0.922096813807626,0.929699947998646,0.92043896747005,0.920571738593339,0.921632397346092,0.911406910634191,0.921773623969838,0.921885625371855,0.921497513054364,0.921255486181543,0,0.921337913841289,0.911789984081494,0.921810177914798,0,0.923064208765427,0.912261268981456,0.911882528232787,0.921942187430345,0.911482401013402,0.920922067611776,0,0.912261268981456,0.921924761695816,0.929816744362468,0,0.921206145861988,0,0.921559858356221,0.920367367275369,0.921146947239309,0.922482330543845,0.920750112043968,0,0.921512022168136,0,0,0.921247923291517,0.910354538022695,0.922070841936766,0.921854278226443,0.911406910634191,0,0.921593692767607,0.921116389594035,0.921825969786256,0,0,0.92124186074258,0.921539423580559,0.921717974872355,0.921656745958622,0.911122832464938,0,0,0,0
"Cellular response to starvation",0.910020827611234,0.909437474749519,0,0.910789696345425,0.910489912362198,0.917464392397592,0.909014570588648,0.90909093578658,0.9100146740872,0.902445282224771,0.910267430484814,0.910165734309472,0.9098097124977,0.909493523443371,0,0.90949655865327,0.901037508709717,0.918257360430141,0,0.911377319666874,0.901469826099255,0.901895292073121,0.910217619615951,0.910749373533261,0.916783987295042,0.901770352929907,0.902868869692493,0.91020163470308,0.917571531622972,0,0.909598902531612,0,0.909866902868432,0.908903462615493,0.909965672448892,0.909756848763782,0.909124109259025,0,0.909953473373749,0,0,0.909908096798794,0.900718266774769,0.910175666905333,0.910193445008783,0.902445282224771,0,0.909982963220778,0.909231604378857,0.910106410900047,0,0,0.909705649854982,0.909848157712644,0.91000734538943,0.910040802949876,0.900930821732173,0,0,0,0.901923664161975
"Influenza Viral RNA Transcription and Replication",0.913479074797749,0.921655483986588,0,0.904383412553976,0.913877950580222,0.92148442899527,0.912446657253749,0.91235220456452,0.91335964818887,0.903176148640601,0.90383590205111,0.913084535094019,0.912829331743336,0.930180754784918,0,0.92158206571186,0.903559390582028,0.913591188611147,0,0.914845771044846,0.90403088277575,0.903651975438687,0.912986927440913,0.913685096245633,0.912820368053286,0.913279022726716,0.914400854449814,0.913123688632017,0.921601276731749,0,0.912920123743296,0,0.91271723908199,0.912147743354217,0.913158916607467,0.913138605240587,0.912530656472372,0,0.912776719758537,0,0,0.913096123691368,0.902123313145025,0.913042921811188,0.913256768309285,0.903176148640601,0.914582271013685,0.913316576572559,0.913014775507696,0.913200884600003,0,0,0.921556484835771,0.91251838813637,0.913351655394982,0.9133796574974,0.902891945520109,0.904196181760583,0,0,0.913446226385138
"Regulation of expression of SLITs and ROBOs",0.909039958676518,0.901380602616068,0,0.90149736719963,0.901832636943702,0.908556776259156,0.901240239599642,0.901764170487134,0.901421911457441,0.892247675848288,0.90077707317726,0.901645863906658,0.908951296362006,0.90841596135488,0.901574561273423,0.900968933885965,0.902133810764434,0.901579138895693,0,0.90307496153738,0.901839747281625,0.892727181921177,0.901570117823845,0.892373313227103,0.908829147630197,0.909349226625303,0.893003262216751,0.901680475698056,0.908660069848635,0,0.901523702516503,0,0.901357758667099,0.900303130936133,0.901865065346212,0.902173584265907,0.90064162675663,0,0.901532015391789,0,0.894600497406839,0.908815654089564,0.891375841962264,0.901655439983726,0.902221473108976,0.892247675848288,0,0.901270038846026,0.901457055009649,0.901521775221306,0,0,0.908620473739592,0.908988361631386,0.901975158695956,0.90132580248639,0.901410917375934,0,0.89270577305424,0,0.902184528632902
"Influenza Infection",0.922825660154093,0.931034381635422,0,0.914715922960245,0.923389241599492,0.930866238434468,0.921916928314661,0.921889467655768,0.922932529890117,0.912689336197252,0.914392233810765,0.922573979244246,0.922358472918288,0.930709657414326,0,0.930962213126183,0.913066054387552,0.923107361047392,0,0.924340587301926,0.913709795896711,0.913157063214824,0.923237180501466,0.923199670135451,0.922233984653135,0.922800509019092,0.923875407700287,0.923251688848891,0.930981097125725,0,0.922447719407831,0,0.922620384657322,0.921688486894515,0.922682447411014,0.922662481795183,0.922064881858951,0,0.922241372317389,0,0,0.922620723389816,0.911654422635597,0.92256842714075,0.922778633428364,0.912689336197252,0.924081572710483,0.922809586986139,0.922425082798954,0.92269375080586,0,0,0.930937067701571,0.922350987085557,0.922871905294886,0.922871594113439,0.91259024624561,0.913843804131258,0,0,0.922964866446617
"Signaling by ROBO receptors",0.875919051370764,0.869102372347815,0,0.869916032003789,0.869571555560377,0.87563417894029,0.868860136983178,0.869254381793407,0.868982302463013,0.869598094899694,0.869515698241626,0.869343815146272,0.875700834661395,0.875506008167701,0.86927891495949,0.868727668409626,0.869606239800975,0.86942346073085,0.869980956967832,0.870260714827749,0.869520289235358,0.869709674236229,0.869073716632806,0.869855979933902,0.875974650124692,0.876889461669317,0.862017174789605,0.877898774566378,0.875728197533244,0.861585942855987,0.869077699143453,0,0.868884462733837,0.868121649615586,0.869250894516852,0.869562108294091,0.868429751027537,0.861073396670895,0.868878868984294,0,0.869528991546917,0.875869811465839,0.869528307056157,0.869352531362802,0.869941142282295,0.869598094899694,0,0.869001736382471,0.882662230275037,0.86902451093492,0,0.862333884928386,0.875692156860464,0.875734571745101,0.87664775421185,0.869052492862437,0.869572933947327,0,0.861545244076718,0.861253780543983,0.869130030425622
"Major pathway of rRNA processing in the nucleolus and cytosol",0.933897073112412,0.933794482837599,0,0.926604398284657,0.934420030048916,0.941358064278018,0.933004192652155,0.932593728572487,0.933837105713474,0.925862275602332,0.933653983981989,0.934227315760394,0.93364970292401,0.933652299305121,0,0.932571196669059,0.925016651895053,0.934158468226414,0,0.935302800122634,0.925446710169107,0.925101100554413,0.934055478484962,0.924735975294969,0.927227521490877,0.926121226232146,0.927184882325874,0.934263028553093,0.941464643637223,0.926437117717489,0.933680721441263,0,0.93370659444104,0.932841870445686,0.933898529600951,0.934548371457245,0.927070608093669,0,0.927184724107395,0,0,0.933841254817869,0.925314028133079,0.925546526921412,0.941604391408021,0.925862275602332,0.926960296697339,0.936422510508923,0.933525370480634,0.934172878671103,0,0,0.933639865779744,0.929467897012595,0.934074330836699,0.933973267500383,0.924407860752429,0,0,0,0.926273736321845
"rRNA processing in the nucleus and cytosol",0.927742019038279,0.927640732931106,0,0.91993777961969,0.92825832794197,0.933295347406367,0.925047673459142,0.924642427359156,0.927682813968337,0.919809363012065,0.927502020151817,0.928068063512747,0.925684977752322,0.927500356891221,0,0.926432997654082,0.918974489203605,0.928000091195507,0,0.929129875897753,0.919399080408924,0.919057864318627,0.927898410699868,0.918697380674077,0.925387156811018,0.920065021760343,0.921115156242405,0.928103322310479,0.933400571887135,0.919772625588422,0.927528417714067,0,0.927553961806166,0.926700230519953,0.927743457011366,0.928385037824192,0.925232238158197,0,0.925344903484589,0,0,0.927686910327694,0.919268085078754,0.919497628251689,0.932329999287028,0.919809363012065,0.92089342563409,0.933860983616314,0.927375041635521,0.928014318448994,0,0,0.923862449897679,0.925786236040149,0.927917023393147,0.927817244813433,0.918373437251745,0,0,0,0.920215593082219
"rRNA processing",0.927742019038279,0.927640732931106,0,0.91993777961969,0.92825832794197,0.933295347406367,0.925047673459142,0.924642427359156,0.927682813968337,0.919809363012065,0.927502020151817,0.928068063512747,0.925684977752322,0.927500356891221,0,0.926432997654082,0.918974489203605,0.928000091195507,0,0.929129875897753,0.919399080408924,0.919057864318627,0.927898410699868,0.918697380674077,0.925387156811018,0.920065021760343,0.921115156242405,0.928103322310479,0.933400571887135,0.919772625588422,0.927528417714067,0,0.927553961806166,0.926700230519953,0.927743457011366,0.928385037824192,0.925232238158197,0,0.925344903484589,0,0,0.927686910327694,0.919268085078754,0.919497628251689,0.932329999287028,0.919809363012065,0.92089342563409,0.933860983616314,0.927375041635521,0.928014318448994,0,0,0.923862449897679,0.925786236040149,0.927917023393147,0.927817244813433,0.918373437251745,0,0,0,0.920215593082219
"Translation",0.913904083552472,0.913487482711746,0,0.907621770521252,0.91432944803939,0.91383326282512,0.906627108941563,0.913197489953691,0.913984743749507,0.906889632018554,0.914089566526225,0.914172697437695,0.921352129413413,0.913704988602807,0,0.913766168966279,0.907173961002481,0.920319496874671,0,0.915047478556374,0.907523763260222,0.907242650139489,0.914214679550348,0.906945663317431,0.906985680837891,0,0.907523763260222,0.91420174563016,0.910302706979314,0,0.913668366688587,0,0.913930903063262,0.913866918247618,0.913624427636286,0.914615590508072,0.906858050086608,0.907061042088486,0.907423563392146,0,0.907326919131857,0.913798817790012,0.913516777764744,0.914310170911981,0.907677596445041,0.906889632018554,0,0.913956016011908,0.913601746804994,0.91412841921335,0,0,0.913694875379758,0.921383236704751,0.914048262041521,0.91400281604428,0.906678780397831,0,0,0.90805075820422,0
"Axon guidance",0.922833580311121,0.918990598401603,0.914897780784239,0.919399001445423,0.919273661174897,0.92278410710213,0.923094060741505,0.923058524504481,0.919058385431107,0.919381194673034,0.919334742600803,0.919237841511025,0.923734843442401,0.922711849341608,0.919122354601365,0.91887815425846,0.918877767586547,0.91928274263365,0.919597037607218,0.92353267681053,0.919333520568041,0.924076911960552,0.919085570339454,0.919415453424182,0.922813179111004,0.923491787308685,0.915063597554764,0.919107873074088,0.922837111175031,0.919240467619304,0.918693609491084,0,0.914644003385392,0.919020670669623,0.919120919308541,0.919360906806488,0.922774713099557,0.914799452997903,0.919114884164401,0.91517346806337,0.919228834029591,0.922916947673019,0.918903611015511,0.919242755379249,0.919223615671054,0.919381194673034,0,0.918999893264462,0.932606142555666,0.918999886862696,0,0.923421549880781,0.922816792827485,0.923753863114873,0.923032861095523,0.919028507819092,0.919136532822933,0.919394886961147,0.914781842576821,0.913871087885532,0.918940336293882
"Developmental Biology",0.906752340301478,0.906455698566192,0.901489356450286,0.904529583013103,0.904174646978112,0.905912060261385,0.905512017779961,0.905892185143123,0.906010220582552,0.904260867437842,0.904333954814689,0.904324863020928,0.905936981766956,0.906469741499645,0.904281931391731,0.906748902580541,0.903119527382515,0.904354641228212,0.904605880839312,0.907014110305701,0.903960394762487,0.905961972541383,0.904179651666417,0.907052751260612,0.903340437573053,0.906986992585908,0.904364129586113,0.904261433622006,0.905745344894275,0.904449280034718,0.904006731683664,0,0.904154561826438,0.904394131512972,0.906826519523235,0.904449280034717,0.906511432439769,0.904347986438764,0.904084251596982,0.903357676734114,0.903132668606243,0.906807629132541,0.903944136266821,0.906258917675167,0.906723657979076,0.904462734849654,0.904643110003279,0.90424586415199,0.913040755026657,0.904000026253171,0.904719869933601,0.906132941816294,0.905933737276301,0.905747728109905,0.908890506359904,0.904486355628081,0.905414041024262,0.904471815508885,0.904257928203031,0.900000989039965,0.904142879925204
"Nervous system development",0.915376184088683,0.915367813179393,0.907544346888375,0.911986599657192,0.911862901397163,0.915327358999631,0.915332853567698,0.915598181418074,0.91169642532085,0.911969026161044,0.911923182630585,0.911827550986021,0.916311619756455,0.915256047846301,0.911713577003671,0.911472575788428,0.911472194182081,0.91187186388497,0.912182041461599,0.91606612212859,0.911921976606968,0.916603227568216,0.911677274631131,0.91201269287471,0.91565644870059,0.916025768296496,0.912200733210851,0.911699285190518,0.915379668696784,0.911830142691172,0.911290448635473,0,0.907293894080673,0.911613225174394,0.911712160513789,0.911949004074121,0.915318088062461,0.907447307237582,0.911706204432586,0.907816422547676,0.9118186615064,0.915458459302919,0.911497699051207,0.911832400480496,0.911813511510565,0.911969026161044,0,0.911568197627144,0.925020721639046,0.911592713644119,0,0.915956451008571,0.915359616528175,0.9162844107989,0.915572854210615,0.91159643731902,0.911727569484545,0.911982539074398,0.907429927520458,0.906531104100406,0.911533943212915
"Amino acid and derivative metabolism",0.881491491764425,0.878245837052668,0.881511362443455,0.881612263285809,0.881848273476054,0.886581672260585,0.881278813236956,0.880898824343071,0.872487963542127,0.875613261467901,0.881647068769297,0.881716796237845,0.886633222827452,0.881324497482809,0.881666603375733,0.880734644259127,0.882151938287264,0.881669825752703,0.87087355743318,0.882450533807436,0.881864050656276,0.875909361432275,0.881663475448448,0.876593294798247,0.882971607211551,0.882045374701622,0.876145149852467,0.881741160904257,0.886654384875234,0,0.87179045148192,0,0.881513987086105,0.881409291854353,0.88125692559938,0.882088280347536,0.881258288581858,0,0.881636653576216,0,0,0.886763907034481,0.874958097542738,0.876203934983389,0.881461720955192,0.875613261467901,0,0.88153505099971,0.879682910745917,0.881832104456955,0,0,0.881316014844649,0.886659314598131,0.881764871263203,0.881574305324336,0.875436406078101,0,0.875439675332455,0,0.875199236474441
"SARS-CoV-1 modulates host translation machinery",0.884421348668011,0.883097409366831,0,0.857403358934144,0.854195176156261,0.909138306476443,0.881664636838532,0.884207278494326,0.884587659319472,0.85429484236885,0.854915864148543,0.885515384757257,0.88434211007534,0.883610455888067,0,0.881228323872934,0.85545288440148,0.885287304927802,0,0.88907827620359,0.856877592188826,0.855732648028598,0.885686373484469,0.854523051953202,0.882602521976261,0,0.856877592188826,0.885633694988535,0.909491385238535,0,0.883771649790366,0,0.88453058171334,0.882095558780474,0.883655171634265,0.88731924162887,0.881564972978972,0,0.882661986587145,0,0,0.882512447472447,0.851113489741361,0.852632394024002,0.885730972541734,0.85429484236885,0,0.88500569619633,0.883189962909334,0.885645395314064,0,0,0.883879616900089,0.88446880679965,0.885318923587852,0.885196307803584,0.853436065904797,0,0,0,0
