"","CARD6","KLHL11","MARK3","MYH7B","MRPS9","MAP2","TBX3","FBP1","STX4","OR2L2","APC","ADNP","CLPB","AK7","MSLN","CLCNKA","PPP1R3D","PPP1R12A","DNAH5","EFEMP1","WNT5A","TP53","DNAH3","SSH1","HLA-DPA1","GPAA1","TMEM8A","CUBN","OR4C15","ALYREF","MSN","EPHX1","CACNA1D","NF1","DYNC1H1","TG","HGF","PDYN","CD1D","OR4F15","TBP","SEPT6","HTR7","ALK","MYBL1","ZNF326","ARAP1","DAO","PIK3CA","ARID2","PTP4A1","CXCL16","HCN4","CAPN2","IL7R","CNGA3","TONSL","DUSP6","KCNQ3","PUS10","OPRM1","TUBGCP6"
"Cardiac conduction",0,0.915299737754104,0.915855881136665,0.9169761992814,0.915685012627473,0,0.917403347057686,0.899678396198557,0.915534729338317,0.916472596845161,0.915818285960847,0,0,0.915626084471579,0,0,0.915650910272104,0.915307657854659,0.901502066568809,0,0.915489587386366,0.949751692027366,0.901502066568809,0.901901410502464,0.915535768503017,0,0,0,0.916472596845161,0.915378916459673,0.917042084980127,0.901649229744034,0.929119062248412,0.916011982639544,0.914565698995978,0,0.915170884569057,0.915045003298916,0,0.916472596845161,0.928820936664436,0.902637929648979,0.915125731284042,0,0.903677837282862,0,0.915917243780325,0.901179592127212,0.914839881498877,0.917077683222513,0.916917168502554,0.915052004979009,0.930366531211232,0.916105553549704,0.916235759407099,0.902822926305751,0,0.917243405403639,0.930251368958765,0,0.915014289230374,0.914959810209907
"Drug ADME",0.855203855462921,0.852029299298081,0.873103149425648,0.853922411968024,0,0,0.875195522551387,0,0.853110454390643,0.854339423054191,0.872653232275497,0,0.890277576125032,0.903876453499444,0.854432736402447,0,0,0.853161140949892,0.871430389985536,0.874316791222419,0.887692839437125,0.887752695000858,0.871430389985536,0.889304908580633,0.871310072621136,0,0,0,0.854339423054191,0.887776658061173,0.853996812154964,0.904266076396159,0.886781869147062,0.85283358844804,0.887426521517671,0,0.873039444533238,0.887302678156474,0.854339423054191,0.854339423054191,0.887956217949872,0,0.887764580172283,0.854425624793031,0.873905512340857,0,0.871934014614853,0.873790023140822,0.886959171275157,0.854037010801096,0.869231080534015,0.887310584672119,0,0.873730013625039,0.85308628415683,0.87392592264514,0,0.874004056002199,0.853854770333853,0,0.887267994871856,0.8716323500884
"Arachidonic acid metabolism",0,0.878427017631874,0.90879556669467,0,0,0,0.912029917711281,0,0.908337913692993,0,0.879396587110328,0,0,0,0,0,0,0.849303122978968,0.909392355246352,0,0.906809242516202,0.905163488731821,0.909392355246352,0.8797671862524,0.906901214811135,0,0,0,0,0,0,0.935582611434727,0.907395565815568,0,0.906442700011252,0,0.907217971728079,0.906708742568112,0,0,0.879809606687816,0,0.907523371031337,0,0.880673464815784,0,0.851854227103413,0,0.90551531664698,0.852567799064467,0,0.906722686808382,0,0.909445288842707,0.880291157474663,0,0,0.909846229805383,0,0,0.90664757377066,0.908028582229142
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0.874903384965854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8750400842525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest",0,0.788843526612285,0.795570381774533,0,0.789375009781461,0,0.804772218597291,0.797844185859282,0.709030704029369,0.794244614331141,0.867338743460662,0,0,0.794268343677479,0,0,0.791355053433905,0.794522669179419,0,0,0.789919223049495,0.741547400096621,0,0,0.79018088730481,0,0,0,0.794244614331141,0.785468714589169,0,0,0.791587332447156,0.792879137724942,0.788876397363033,0,0.866639171036867,0,0,0.794244614331141,0.865455239373601,0,0,0,0.800867358834134,0,0.794654200955769,0,0.786237960673156,0.7989174444974,0.875155395318645,0,0,0.798715743277072,0.79285018655569,0,0.801196496508477,0.799856433726302,0,0,0,0.793388285316503
"Protein-protein interactions at synapses",0.860885181177152,0.879381840713558,0.881042017920295,0.881544629086321,0.87992059783821,0,0.865139495179753,0,0.88095173636632,0.882242556519451,0.880106963373169,0,0,0,0,0,0.881347891025152,0.880324340592404,0,0,0.898845820890456,0.878811823276055,0,0.882587228062411,0.879189840178954,0,0,0.882622853778184,0.882242556519451,0.879311035463238,0.881818288160625,0,0.879877481212217,0.880377823148573,0.879621012550318,0.883313016683431,0.879181191582024,0.879576754878049,0.882061030080975,0.882242556519451,0.879460591107228,0,0.880148746051207,0.861667026997157,0,0,0.881367033327294,0,0.878536800122578,0,0.86158832535265,0.879586545822891,0,0.882049347548129,0.858262910534976,0,0,0.863606219258896,0.860593550611644,0,0.879533805222107,0.880044376450545
"Phase I - Functionalization of compounds",0,0.893638847618763,0,0,0.872358087631736,0,0,0.895799619364195,0.89459403275753,0.896000246888711,0.895455461432229,0,0,0.894962290043247,0,0,0.896529435055442,0.894816326228071,0,0,0.893943887653824,0.912892271923535,0,0.895906685515213,0.893952007781768,0,0,0.896357778922021,0.896000246888711,0.895176197245019,0,0.934022591057047,0.893188659155026,0.894676791652924,0.892951401324421,0,0.89503607858772,0.893573253329451,0,0.896000246888711,0.913472844453698,0,0.894115959691707,0,0,0,0.874761722442227,0.915756829065756,0.894157336920032,0.896090738648455,0.895906685515213,0.893582542997383,0,0.875189873925221,0.894880739595885,0.896796672014225,0,0,0,0,0.893572304615938,0.89400791777123
"Cyclin D associated events in G1",0,0.917202703230867,0.883883099470623,0.885169520906996,0.878970760037409,0,0.848281355084755,0.844524183945239,0.883278864485171,0.885222981068806,0.918566191112816,0,0.887415358567943,0.883620198597179,0.84717545771327,0,0.884799583547064,0.882159851785734,0.844407984637465,0,0.917701900161095,0.916130868199602,0.844407984637465,0.885752327769908,0.881382004364515,0.8476732698448,0,0.886855631782243,0.885222981068806,0.8823472215291,0.885342762952075,0,0.882034691380392,0.919075503594747,0.880494900380755,0.888153382921862,0.883177864702975,0.881127885058978,0.886140538001972,0.885222981068806,0.917692116024521,0.845737961871717,0.88220343141358,0.887095844004632,0.887718909290822,0,0.920935569713918,0,0.91599354191609,0.92187769211217,0.922193653728833,0.881146295509223,0,0.885342762952075,0.882940852528534,0,0.887235825988696,0.886647929304948,0.845829654324495,0,0.881047124466776,0.882588725867195
"G1 Phase",0,0.917202703230867,0.883883099470623,0.885169520906996,0.878970760037409,0,0.848281355084755,0.844524183945239,0.883278864485171,0.885222981068806,0.918566191112816,0,0.887415358567943,0.883620198597179,0.84717545771327,0,0.884799583547064,0.882159851785734,0.844407984637465,0,0.917701900161095,0.916130868199602,0.844407984637465,0.885752327769908,0.881382004364515,0.8476732698448,0,0.886855631782243,0.885222981068806,0.8823472215291,0.885342762952075,0,0.882034691380392,0.919075503594747,0.880494900380755,0.888153382921862,0.883177864702975,0.881127885058978,0.886140538001972,0.885222981068806,0.917692116024521,0.845737961871717,0.88220343141358,0.887095844004632,0.887718909290822,0,0.920935569713918,0,0.91599354191609,0.92187769211217,0.922193653728833,0.881146295509223,0,0.885342762952075,0.882940852528534,0,0.887235825988696,0.886647929304948,0.845829654324495,0,0.881047124466776,0.882588725867195
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777638056631574,0,0,0,0,0,0,0,0,0,0.848565637800305,0,0,0,0,0,0,0,0,0.780297844834882,0,0,0,0,0,0,0.785503554396312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Regulation of insulin secretion",0.89390409568664,0.891938579380215,0.893108240378057,0.894073454206972,0.869961665928321,0,0.894203524300195,0.893700080446127,0.91301706343138,0.914622115886092,0.892703331040055,0,0,0.892769337690196,0.87253239170809,0,0.893690834679763,0.893416782425963,0.892520194586953,0,0.911885046884407,0.892156801137758,0.893793863292121,0.894156651195214,0.892286676056005,0,0,0.895356718487968,0.914622115886092,0.892055351641154,0.894508182197835,0,0.877569199721443,0.892988993693233,0.891609575013064,0.873539485361167,0.892521241917383,0.911810624336292,0.894618077261527,0.914622115886092,0.892213080717006,0.872870940126201,0.912413875652864,0.893549978929045,0.874224273263318,0,0.893259571225869,0.872081289510018,0.910926864695358,0.893979434973502,0.893554906263709,0.911820950370406,0.874814070856337,0.893735487787332,0.893319018273776,0.895068218265274,0,0.892793942716876,0.894322673339548,0,0.911765327419646,0.892348823429057
"G1/S-Specific Transcription",0,0.825565196059186,0.83067789535357,0,0.825969146130727,0,0,0,0.829688290389659,0.834375086728005,0.827798291475199,0.769682929933385,0,0.887114936429862,0,0,0.832178896145028,0.829881588711527,0.831968359768718,0,0.824126483163429,0.881236410366751,0.831968359768718,0,0.826581647715137,0,0,0,0.834375086728005,0.825906174201915,0,0,0.827650606524778,0.828632434105857,0.883016825283968,0,0.827266586339406,0,0,0.834375086728005,0.883793393385995,0.834146572061273,0,0,0.83541539871536,0,0.831678816240376,0.772937977533002,0.823584853861065,0.831524549283832,0.83373928313844,0,0,0.833068505400424,0.827898857036928,0,0.83456056940464,0,0,0,0,0.886446054217794
"G alpha (s) signalling events",0.93872714493748,0.937070597992113,0.938072059884092,0.925111262818156,0.937395590244254,0,0.938877411793675,0.938610454937115,0.93821748173276,0.950577170350012,0.937847273789806,0,0,0.949659133192326,0.925492474159966,0,0.938565953933392,0.937916081464392,0.925014356223697,0.925658894814902,0.949011656999142,0.937259085042361,0.925014356223697,0.938671716352542,0.93760896085731,0.925442452694731,0,0.939025661019395,0.950577170350012,0.937137387880639,0.93874020821997,0,0.949259997115455,0.937871282414673,0.937275373652071,0.939441985160009,0.947511070101968,0.948969089751985,0.939135518890446,0.950577170350012,0.937427485739234,0.92544101863391,0.950051222426539,0.938549294223985,0.939725439036025,0,0.93826811759594,0,0.948463608335189,0.938770236529016,0.938143101809218,0.948974995903514,0,0.938396029931621,0.938392499921016,0.939044944875055,0,0.938119267348067,0.938434221240472,0,0.954406905635327,0.937710320479785
"APAP ADME",0,0,0,0,0,0,0,0,0,0,0,0,0.816161358183179,0,0,0,0,0,0,0,0,0.805830196829263,0,0,0,0,0,0,0,0,0,0.810024857749833,0,0,0.806346274932623,0,0.757235240477104,0,0,0,0.754747190280928,0,0,0,0.761175825268422,0,0,0.759461980236813,0.746137017405356,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0.825607952216964,0.827079317144297,0.823390588375449,0,0,0,0.856055783996846,0.857236118922396,0.824826823576915,0,0,0.825127367351319,0,0,0.854225164405803,0.855670974950622,0,0,0.854450514874996,0.853200977522285,0,0.827542858919688,0.854547095674951,0,0,0,0.857236118922396,0.824846063668339,0.8855856046972,0,0.854587536292192,0.854447297079836,0.854065605828515,0,0.854879724500314,0.824048492652034,0.85833184714397,0.857236118922396,0,0,0.824903940139793,0,0,0,0.826094032468629,0,0.853091753569518,0.857771776407487,0,0.824063135603816,0.829452564241937,0,0,0,0,0.858118359209814,0.827123150603259,0,0.8239842588369,0.854635224474155
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0.786044934392946,0.789796352170958,0,0.787229038510452,0,0,0,0.835336964168982,0.794195105885217,0.838734138572984,0,0,0,0,0,0,0.789228047272023,0,0,0.879207866014456,0.83186986847072,0,0,0.788633115897032,0,0,0.795030939936103,0.794195105885217,0.788151046696051,0.793262630215522,0,0.787635848941346,0.788233948418563,0,0.796547810341075,0.836255937597544,0.7883360897245,0.794195105885217,0.794195105885217,0.789460607945616,0,0.789593237096336,0,0,0,0.837993654057827,0,0.833787550494997,0,0.839464159727929,0.788357608693943,0,0.793262630215522,0,0.796039977851049,0,0.793881368573244,0,0,0.788241693080598,0
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0,0,0,0.867597851263287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867751195677336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Integration of energy metabolism",0.903300438038847,0.901711254659705,0.902675673320986,0.903471519493894,0.881493334559184,0.87054308253854,0.903437558349433,0.903163662240163,0.919091062491178,0.920414473755225,0.902341814089622,0,0,0.919091062491178,0.884893749553278,0,0.90315603884361,0.902930074988939,0.902190812890765,0,0.918157682747138,0.901891184687004,0.903240988856124,0.903540117769951,0.901998270240015,0,0,0.904529607283631,0.920414473755225,0.90132828182686,0.903829965050122,0,0.889863293652608,0.902577351047821,0.901439981229276,0.886540679890285,0.902191676444403,0.918096319245786,0.903920576646476,0.920414473755225,0.901937588796038,0.885831591806115,0.918593717062947,0.903039899282839,0.887105306934422,0,0.902462147716128,0.88533835606035,0.917367634360698,0.903393997969757,0.903043962009995,0.918104833353733,0.887591611775,0.90295147833843,0.902849465673123,0.903790008214475,0,0.902416525986674,0.903677007735913,0,0.918058970653508,0.901919222942357
"Peptide hormone metabolism",0.7537890372039,0.729490546985142,0.752316607791716,0.753200358907645,0.729466014599453,0,0.773998800381375,0,0.731303289697522,0.772764537934292,0.750984692996427,0,0,0.751611229455059,0.73196470936629,0,0.75299951022678,0.771121979785728,0.752367074648017,0,0.770115077787735,0.751199339818891,0.752367074648017,0.752954137448998,0.770181005402963,0.754115792658778,0,0.711928000823689,0.772764537934292,0.749488065582729,0.732750589680787,0,0.770535366276872,0.750303849730157,0.770600294446682,0.712130258735622,0.750207875195194,0.770043037376946,0.732856967193149,0.772764537934292,0.7518675363598,0.711989179108869,0.770626979659963,0.754072413942889,0.754399169397767,0,0.752692297030839,0.753294416550893,0.76892528678091,0.732329108850588,0.752801178216376,0.770053032892529,0,0.753109097322406,0.752143315711792,0.753836526830321,0,0.753069744519987,0.752552202943565,0,0.769999190336429,0.75181070069924
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0,0.769330880769637,0.768814176782882,0,0,0,0.777320055363372,0,0.837185163153627,0,0,0,0,0,0,0,0,0,0,0,0,0.832009070445358,0,0,0.772746821326744,0,0,0,0,0,0,0.901074340395486,0,0,0.769357512082064,0,0.76517782546609,0,0,0,0.772517744090469,0,0,0,0.774914920711463,0,0,0,0.767219896414383,0,0,0,0,0.771362494146017,0.773627717103147,0,0,0.772286661773614,0,0,0,0.773012965486409
"Carbohydrate metabolism",0,0.908504854785618,0.901206791759201,0.901321298712049,0.89743197934414,0,0.901816706124231,0.910731730882012,0.900897312225639,0.909711150880156,0.909369261161115,0,0.901660888426776,0.909069410326115,0,0,0.909410437032198,0.898686497639733,0.899382296311353,0.892462874316642,0.908616801488377,0.908997108929742,0.899891541263514,0.901528540641561,0.900645912207541,0,0,0.901264092036528,0.909711150880156,0.909173361840404,0.90953224696274,0.901409707542183,0.908790400043183,0.908924836986965,0.900170672903384,0.901555117386015,0.900951208061437,0.900588925041475,0.901713030449713,0.909711150880156,0.901175126255876,0.89170878850252,0.900830120170635,0.893395007096544,0.901740076062343,0,0.901246410787117,0.893327598837218,0.900679483446471,0.901381139715981,0.901451995242212,0.900593053651,0.893795132849623,0.901534126532297,0.900961236457583,0,0.901990440475202,0.901787802192259,0.901168930050804,0,0.900570814188899,0.898259500630163
"Neurotransmitter receptors and postsynaptic signal transmission",0.881577669441081,0.880178725990322,0.880735682454064,0.881287873497617,0.879919892578032,0,0.880239146842056,0.880839535498208,0.891705382993614,0.892711873995935,0.88059507217373,0,0,0.880430374925004,0.869409752827461,0,0.892950857713045,0.880746593626767,0.869477438938916,0,0.892359237409856,0.879969434161135,0.869477438938916,0.881088101796029,0.880638952072268,0.869512125042582,0,0.869683205575529,0.892711873995935,0.879725223846963,0.881805779611991,0.869567577384421,0.891325470028834,0.880513696837482,0.879946488113796,0.870079478795957,0.880529758614965,0.890314477882758,0.881688604903853,0.892711873995935,0.880195501871484,0.868786324603102,0.89150966360342,0.881099076226972,0.870099451852979,0,0.881730455611905,0,0.891566868505165,0.881473583365663,0.880686397240639,0.89118686315543,0.870680398817166,0.881181396220653,0.880693368856198,0.881735061263157,0,0.881343037874952,0.892367275612937,0,0.891156580902412,0.880585845647913
"L1CAM interactions",0.845884926628502,0.878984656588166,0.878939143889736,0.862721413212616,0.860585772104159,0,0.878797330458482,0,0.877957112640523,0.88008656176519,0.878978089826034,0.84481716982714,0.864324457081194,0.843719041718855,0.860787296618869,0,0.895907809558278,0.879567944115047,0.879520450947755,0.862672732360474,0.8770570479348,0.893799265093808,0.879520450947755,0.86268822690869,0.895420551389283,0.861588636263475,0,0.86211489368868,0.88008656176519,0.87497260315781,0.89864370087378,0,0.895128773879714,0.878516165987092,0.895251221588172,0.862716678081827,0.878827545511296,0.861204737214419,0.880998491665313,0.88008656176519,0.878233551109201,0,0.861703482305481,0.863115861967638,0.861985740906156,0.86278760530098,0.879378703284548,0,0.877378907236154,0.844084967201502,0.860588707122802,0.861213274384058,0.898671918907724,0.87940902281676,0.861189137384135,0,0,0.880290258954049,0.8968771765741,0,0.861167287458079,0.879482111809163
"Signaling by Retinoic Acid",0,0.737828170728653,0.772659062710657,0.741373209981957,0.738628090322812,0,0.776766338685517,0.741656876772415,0.771642321822789,0.739825847889723,0.772298709886889,0,0,0.740257946734811,0,0,0,0.739995846576489,0,0,0.769940872157418,0.771426820451881,0,0.741981517619102,0.735814331046331,0,0,0.775164953042444,0.739825847889723,0.73920308702053,0,0.772040873863389,0.738847493121144,0.736869932320041,0.737407985778865,0,0.77090315963042,0.770336374701799,0,0.739825847889723,0.769566356045235,0,0,0.712223054428707,0,0,0,0.742312514977168,0.769008061481151,0.741048463625012,0,0.770351894993737,0,0.773889581414032,0.772102237787233,0,0,0.774335838841486,0,0,0.770268292283856,0.737069119483007
"Dopamine Neurotransmitter Release Cycle",0,0.799176822025399,0.806228524606335,0.800967570242496,0.800513136074252,0,0,0,0.901592036886294,0.806272439969489,0.803909248497318,0,0,0,0.802535047830921,0,0,0.806668179269005,0.852813704359935,0,0.850860192863568,0.796496916190635,0.855809160978636,0,0.800158548011576,0,0,0.807215715791434,0.806272439969489,0.849511382056437,0.804741803083869,0,0.899950855770709,0.801168924797149,0.850672078818959,0.808927571364338,0.852303425985683,0.851416558937045,0.806272439969489,0.806272439969489,0,0,0.80107902680367,0,0,0,0.80811569324877,0,0.849338103483882,0,0.80977522416064,0.851440844049104,0,0,0,0,0,0,0,0,0.851310028134943,0.800692841404851
"Neurexins and neuroligins",0.879787289418697,0.904279462942464,0.90647777059621,0.907143298329421,0.904992852998553,0,0,0,0.906052270084427,0.908067452215998,0.905239627126178,0,0,0,0,0,0.906882789521146,0.905895016092026,0,0,0.930052504772932,0.903524679844282,0,0,0.904716506728198,0,0,0.908571019167272,0.908067452215998,0.904185706852405,0.907505661356164,0,0.905176127018277,0.905598283488249,0.90404983847935,0.909484891729055,0.905011009833775,0.904537556655523,0.907827085731358,0.908067452215998,0.904383739517539,0,0.905294953256758,0.881062929513398,0,0,0.906908136616108,0,0.904157745090976,0,0.880718351004418,0.904550521240808,0,0.907811616418042,0.876315035011461,0,0,0,0.879824944567555,0,0.904480685282396,0.905524304270827
"GABA synthesis, release, reuptake and degradation",0,0.790617898311739,0.795691392949421,0.797679322394148,0.792183389149554,0,0,0,0.911033962759488,0.798930409049505,0.79272491987669,0,0,0,0.799515621133406,0,0,0.85589135583713,0.8538901852773,0,0.851166284035161,0.789211015943999,0.857399360306688,0,0.791826407133022,0,0,0.80003545591933,0.798930409049505,0.843907865456129,0.797697593374083,0,0.9091113203972,0.793511969323139,0.851381272671534,0.802040893351756,0.792223233213739,0.85139660128076,0.798930409049505,0.798930409049505,0.79015792570772,0,0.792846329685778,0,0.799625753422419,0.803301543500309,0.79663580485327,0.860038830679107,0.848961692382265,0,0.795973748418169,0.851425051270085,0,0,0,0,0,0.797299349735327,0,0,0.851271800531431,0.794126538971431
