"","STAT5B","STAT5A","HSPG2","NCOR2","MTOR","KRAS","PTK2","ITGA2B","RAF1","ITGB4","NCOA3","AKT3","ITPR3","TGFBR2","STAT2","TP53","LAMA5","GNAS","FLT4","GNAO1","GNA15","PIP5K1C","GRM5","GRM1","NMUR2","ANXA1","DNAJC6","TACR3","NTSR2","CHRM3","ADRA1D","AVPR1A","ITSN2","PTPRJ","ATM","PROS1","IRS1","PIKFYVE","EXOC4","ERBB3","TSC2","DOCK4","EFNA1","TCF7L2","NCAM1","HIST3H3","SCARB2","CACNB2","PPP3CA","SH3BP2","ERBB4","MTMR4","OR4A47","OR2C1","OR1M1","OR2M5","OR5L2","OR1J2","OR7A17","OR5K3","OR4N2","OR2A14","OR10K1","EPHA5","CHEK2","APC","NAPA","AP1M2","HSP90AB1","DGKZ","GSN","GABBR1","TAS2R43","CACNA1B","RYR2","NPHS1","SMARCB1","EGR1","TFF3","RIPK1","CGA","NFATC3","MYO5A","DAB2IP","ARAP2","ARAP1","RGS14","ATP1A3","CAD","CEP89","PCM1","ARHGEF12","GRIA4","ITCH","GIPR","ARNTL","NPPA","ENTPD8","NT5E","NRP1","APBA1","TNRC6B","EPHA8","STK3","APAF1","BMPR1B","IRAK2","MTA2","CHD4","TRIB3","CHD3","UBA3","TAS1R1","GUCY2F","DSCAM","NCKIPSD","ULK1","MADD","PKD1L1","BRD1","IHH","OBSCN","SHH","ENTPD2","PTPRR","DUSP4","KHSRP","CALCOCO1","MYT1","RGS2","NFASC","SERPINC1","LPIN2","PDE4DIP","SYNE1","PHC2","PHKA1","GRIN3B","MYO10","PHKG2","SH2B3","MCF2L","SPCS2","DDX54","CTSH","SCN4A","GRIK4","ALS2","ARAP3","SERPINB3","ZMIZ1","TUBB2A","CORO1C","WNT2","KDM4C","DOCK6","MAP4K2","AMPD2","EFCAB6","KIF26B","KIF21A","ASH1L","TAF6L","DIRAS1","DAAM2","DYSF","TBL2","CFP","SND1","BBS9","FGF14","PDGFD","ARHGEF10","RHPN1","DIAPH2","RELT","NEFH","TRPV4","GFPT1","PFKP","TAOK3","PRSS54","CCT8L2","KIF13A","NEDD4","FGF8","COL1A1","LRP1","PIAS4"
"FGFR1 ligand binding and activation",0.838501382444525,0.8379024120867,0.900809525939424,0.832971048334079,0.838470306523388,0.899115726430962,0.835815711364205,0.837724246749756,0.837675015759598,0.8379024120867,0.83639032089844,0.837239755470025,0.839349959903514,0.839600955574345,0.834386984760345,0.833726882077076,0.839825791925797,0.832104736233294,0.901662022380473,0.837239755470025,0.836559206028094,0.839872666302894,0.836630508961076,0.836541607977519,0.83483964238971,0.834764881641488,0.837239755470025,0.837283042496247,0.837261330444825,0.837239755470025,0.83719700972578,0.837175835528555,0.838202853137748,0.843340574248063,0.835167673959962,0.839005911774556,0.901091995754975,0.841054684132643,0.840438183325306,0.842825293117934,0.835897007556891,0.84578169141071,0.902075466697606,0.838082858589247,0.900576956398482,0.836125433183279,0.838319102282248,0.838501382444525,0.838969795310869,0.84473494337922,0.840552447583974,0.842825293117934,0.779458397032576,0.779458397032576,0.779458397032576,0.779458397032576,0.779458397032576,0.779458397032576,0.779458397032576,0.779458397032576,0.779458397032576,0.779458397032576,0.779458397032576,0.8413385830899,0.835897007556891,0.836991389639012,0.836970995947862,0.774352660235545,0,0.841123340909416,0.842487946488925,0,0,0.839644710233966,0.770981176485698,0.84200070168659,0.83914946042952,0.83572708357513,0.84452165094295,0.837282327854319,0.768104720929705,0.775039356614231,0.840017450297305,0.838580098047211,0.837479234354413,0.837377769391327,0,0.837432561364616,0.836711849936925,0.834847460108439,0.834446142609564,0,0,0.830036223406817,0,0,0.843959082366852,0.836277442745803,0,0.836222693662705,0,0,0.841995456800945,0.832134751866656,0,0.775300223233948,0.836638176708699,0,0,0.837714998136845,0,0.830873257194714,0,0.838945873754804,0,0,0,0.839116922291405,0,0,0.834817632601528,0,0.834537187963372,0.83899559374765,0.840557417904188,0.840079503352136,0.839705815640175,0,0.842759958359909,0,0,0.842887505824351,0,0,0,0,0,0,0,0,0.845212857931271,0,0.833784075886573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846746733274695,0,0,0,0,0,0,0.90606509268196,0.904614091731996,0,0,0,0.850336550713559,0,0,0,0,0,0,0,0,0.830731798082303,0.909972740775438,0.838829124390176,0.841995456800945,0.835264780277713
"Glutamate Neurotransmitter Release Cycle",0.584964811772793,0.584356129708196,0.654620256372806,0.584075732154732,0.650554410662008,0.652967357557836,0.585443183877676,0.587382664260398,0.653973455954885,0.587563718370529,0.578301989288614,0.763597460661669,0.721542873468938,0.655930622962259,0,0.823470638425218,0.586310695232468,0.653880346819379,0.655486575193129,0.653462774391313,0.652771190519151,0.586358329630824,0.653461247741345,0.653370905317033,0.651023745871943,0.650947772952777,0.65486649419497,0.583726717657765,0.583704653567091,0.583682728775599,0.583639289951758,0.583617772436051,0.654441487726857,0.595580955723775,0.692732323925874,0.585477521542552,0.654907306154602,0.587559512700408,0.655343350004834,0.59256641900623,0.691508971926543,0.592363163685454,0.586126677481665,0,0.654383915948788,0.583639289951758,0.654559621735255,0.720680537173059,0.655289229064806,0.596997933159261,0.590256721549507,0.589358830343897,0.591785107138659,0.591785107138659,0.591785107138659,0.591785107138659,0.591785107138659,0.591785107138659,0.591785107138659,0.591785107138659,0.591785107138659,0.591785107138659,0.591785107138659,0,0.697115455194876,0.764434018913543,0.719125336986187,0.65744749693724,0.654084899853165,0,0.585061306292886,0.652365246381834,0.652562371646852,0.655906723097379,0.655800666522146,0.595308309552529,0,0,0.594290281580958,0.585061347269635,0.584356129708196,0.581687933120379,0.65491579521054,0,0.588909469159329,0.588806359043095,0.661840428649617,0,0.701613790753406,0.655252921105527,0.654845096643793,0.586876453757578,0.658069042165844,0.581093321969287,0.584690595244494,0.588609584167901,0,0,0,0,0.725074555744163,0.639298449000762,0,0.657272694129609,0.641765280544307,0,0.588515539058938,0.637972087463777,0.637902096645741,0,0.637972087463777,0.581943927424964,0,0,0,0.589312310163139,0,0,0.657628060411731,0.641997873985084,0.585952256943779,0.583752347075562,0.585667265175609,0,0,0,0.58473515717843,0,0,0,0,0,0,0,0,0,0,0,0.58974533533378,0,0,0.584421698990262,0.584901942137849,0,0.596388597082267,0,0,0.596516030481147,0.584136715511536,0,0,0.638727972351426,0.591763526628742,0.587924316077718,0,0,0,0,0,0.652371069979805,0.652327188735073,0,0,0,0.594640957773731,0,0,0,0,0,0.590180991270991,0.65848650940397,0,0,0,0,0,0,0.707164745453658,0,0,0,0,0,0.581800174694175,0.590341640446765,0,0.588515539058938,0.586406654673423
"RA biosynthesis pathway",0,0,0.844295824455637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845979632931696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78971573101565,0,0,0,0,0,0,0,0,0,0.792357213676855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845804879626214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.878145275622801,0.877809072444605,0.874577318391513,0.8776541959432,0.878127832650348,0.877125719913955,0.876637803439919,0.877709067908917,0.877079956551898,0.877809072444605,0.877561810752919,0.912479622010822,0.913664083692296,0.878762468069931,0.878448963698257,0.87214848594295,0.878888669133046,0.915304428737702,0.87855496057615,0.912479622010822,0.912097628340673,0.878313501897786,0.912137650809849,0.912087750522086,0.91113243406556,0.911090470718246,0.87743712205062,0.912503919099318,0.912491732084388,0.912479622010822,0.912455628744909,0.912443743628543,0.877977710566514,0.880861523001313,0.87355868302262,0.875111615151093,0.878235003568854,0.876261594894147,0.878630927656465,0.880572294742602,0.875979688583321,0.882231726614411,0.878787027641925,0.913554335273488,0.877945911018135,0.877413128784706,0.878042961427985,0.913187775583004,0.875091342912712,0.881644184993428,0.879296542308307,0.877255441017616,0.916954939282425,0.916954939282425,0.916954939282425,0.916954939282425,0.916954939282425,0.916954939282425,0.916954939282425,0.916954939282425,0.916954939282425,0.916954939282425,0.916954939282425,0.879737801632966,0.875979688583321,0.877899191757261,0.837554441845725,0.878862728907391,0.878511835313286,0.876117851452486,0.876883807107589,0.911873406670487,0.91198228804626,0.913829527602128,0.875373833409159,0.877211793602409,0.878509043003653,0.875884309935658,0.836080387755237,0.878198596630163,0.912851572404808,0.876115169974302,0.878996247334183,0.880340530766764,0.880324091834718,0.880267139361829,0.878747633170583,0.876841597797531,0.874022532825477,0.87507128835219,0.874846028092104,0.914243663620847,0.87622386284924,0.873816764455403,0.913020210526717,0.875791356558897,0.877709558417742,0.876896974124975,0.877868208268908,0.879265848386821,0.87625047655281,0.875764424094633,0.879505028160755,0.873718850611163,0.877126968932491,0.83413437282295,0.840976158997536,0.878348667167675,0.878310008010725,0.877394074220834,0.876079194488002,0.875875223956366,0.918532357307054,0.878394769423695,0.881412606106525,0.879867326297309,0.873127979786641,0.877467745432825,0.87642094790798,0.877255441017616,0.878690687134145,0.880572294742602,0.878533273036061,0.87561375486474,0.878595585597236,0.878327331268442,0.877798292367057,0.883322590665161,0.879831875660082,0.879043563409602,0.87689510888018,0.877625154952268,0.876093355481199,0.880377567471149,0.87622386284924,0.875238106851164,0.877394074220834,0.877467745432825,0.880106506071244,0.875445614344945,0.839673124440959,0.880942008677252,0.913153049783921,0.879265848386821,0.881307620574021,0.877190031135556,0.879310247493501,0.883924068575649,0.880784599157811,0.878726214788574,0.884525546486137,0.876186902150307,0.835796671919672,0.876463092625067,0.880942008677252,0.884525546486137,0.882064486895569,0.878761542925481,0.883924068575649,0.833318392273748,0.833294154638372,0.877115097179754,0.876754682579162,0.882209102526261,0.880173003621865,0.879649595041657,0.879435425000971,0.87650625041751,0.878177294268531,0.880861523001313,0.841896065069018,0.841081615531458,0.882209102526261,0.879831875660082,0.879550314638671,0.881289243286942,0.879831875660082,0.879550314638671,0.878150873009442,0.877323385321434,0.837704653588885,0.881026412142727,0.878747633170583,0.878747633170583,0.837266953529701,0.841984799018335,0,0,0
"Activation of G protein gated Potassium channels",0.860002286602903,0.859587023400861,0.855820449539721,0.859395726839538,0.859980741819678,0.858742976769521,0.858140324056882,0.859463502249361,0.858686451901535,0.859587023400861,0.859281616764364,0.90241054311507,0.903873537466239,0.860764615243719,0.860377388597217,0.852595318894283,0.860920493179947,0.902695424950184,0.860508311223103,0.90241054311507,0.9019387215354,0.860210072210383,0.901988155508014,0.901926520893521,0.900746556525457,0.900694725266551,0.859127606828904,0.90244055379737,0.902425500938946,0.90241054311507,0.902380907700901,0.902366227734146,0.85979531770333,0.863357274470639,0.854337131562319,0.856255244209811,0.860113114568274,0.85767564800536,0.86060214237958,0.863000032598393,0.857327449877258,0.865049688988786,0.860794950133953,0.860455044817823,0.8597560403165,0.855001141319504,0.859875912663246,0.903285222889069,0.856230204843236,0.864323983728734,0.86142427997249,0.858903202503161,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.861969303850826,0.857327449877258,0.85969833476484,0.802785200578966,0.86088845296776,0.860455044817823,0.857723247410893,0.858669321745073,0.904656499388317,0.901796258337284,0.904077886420119,0.856249728220505,0.859074436065517,0.86119451462582,0.857209642416759,0.808020032536538,0.860068146337995,0.902869959687026,0.857494790461419,0.861053368985921,0.862713768050744,0.862693463413541,0.862623118253858,0.860521146929345,0.858392041776965,0.854910058193872,0.855876038031753,0.855597806584334,0.904589408798156,0.857629043062861,0.853264197062079,0.903098143229231,0.858392041776965,0.859464108104029,0.858460440151945,0.859660065339034,0.861386368206789,0.857661915124993,0.85706156476178,0.861681792418187,0.856672366568054,0.858744519501626,0.805616401505026,0.806268634567196,0.860253506786621,0.86020575671659,0.859074436065517,0.857450355141932,0.857941338564109,0.909886612359027,0.860310450241346,0.864037947794699,0.862129286951364,0.853475749783981,0.858940286560656,0.857872473755594,0.858903202503161,0.860675954626647,0.863000032598393,0.86048152373885,0.856991009517098,0.860558489441018,0.860227153633502,0.85957370832887,0.867139994456884,0.862085499902091,0.861441208007253,0.861275729251225,0.859689253010998,0.857583390852579,0.862545662510793,0.857403898155893,0.856411481127871,0.858745039754607,0.858836035156714,0.862424711162762,0.856338388837576,0.808499242940683,0.863456686795319,0.855862564746214,0.862129286951364,0.863908274337625,0.858822411128091,0.861441208007253,0.867139994456885,0.863262261562856,0.860494691897172,0.867882913201459,0.857583390852579,0.807670972703153,0.857924529034371,0.863456686795319,0.867882913201459,0.864843121931544,0.86076347254647,0.867139994456884,0.804608538648153,0.8045786013997,0.85872985604103,0.858284687967641,0.865021744722051,0.86250684597763,0.861860354995123,0.861595821693105,0.85775269071177,0.86004183460903,0.863357274470639,0,0,0.865021744722051,0.862085499902091,0.861737728260107,0.864110720437526,0.862085499902091,0.861737728260107,0.860009200245754,0.858987124283186,0.810026253401757,0.863786083106228,0.860746291836313,0.860746291836313,0,0,0,0,0
"G protein gated Potassium channels",0.860002286602903,0.859587023400861,0.855820449539721,0.859395726839538,0.859980741819678,0.858742976769521,0.858140324056882,0.859463502249361,0.858686451901535,0.859587023400861,0.859281616764364,0.90241054311507,0.903873537466239,0.860764615243719,0.860377388597217,0.852595318894283,0.860920493179947,0.902695424950184,0.860508311223103,0.90241054311507,0.9019387215354,0.860210072210383,0.901988155508014,0.901926520893521,0.900746556525457,0.900694725266551,0.859127606828904,0.90244055379737,0.902425500938946,0.90241054311507,0.902380907700901,0.902366227734146,0.85979531770333,0.863357274470639,0.854337131562319,0.856255244209811,0.860113114568274,0.85767564800536,0.86060214237958,0.863000032598393,0.857327449877258,0.865049688988786,0.860794950133953,0.860455044817823,0.8597560403165,0.855001141319504,0.859875912663246,0.903285222889069,0.856230204843236,0.864323983728734,0.86142427997249,0.858903202503161,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.861969303850826,0.857327449877258,0.85969833476484,0.802785200578966,0.86088845296776,0.860455044817823,0.857723247410893,0.858669321745073,0.904656499388317,0.901796258337284,0.904077886420119,0.856249728220505,0.859074436065517,0.86119451462582,0.857209642416759,0.808020032536538,0.860068146337995,0.902869959687026,0.857494790461419,0.861053368985921,0.862713768050744,0.862693463413541,0.862623118253858,0.860521146929345,0.858392041776965,0.854910058193872,0.855876038031753,0.855597806584334,0.904589408798156,0.857629043062861,0.853264197062079,0.903098143229231,0.858392041776965,0.859464108104029,0.858460440151945,0.859660065339034,0.861386368206789,0.857661915124993,0.85706156476178,0.861681792418187,0.856672366568054,0.858744519501626,0.805616401505026,0.806268634567196,0.860253506786621,0.86020575671659,0.859074436065517,0.857450355141932,0.857941338564109,0.909886612359027,0.860310450241346,0.864037947794699,0.862129286951364,0.853475749783981,0.858940286560656,0.857872473755594,0.858903202503161,0.860675954626647,0.863000032598393,0.86048152373885,0.856991009517098,0.860558489441018,0.860227153633502,0.85957370832887,0.867139994456884,0.862085499902091,0.861441208007253,0.861275729251225,0.859689253010998,0.857583390852579,0.862545662510793,0.857403898155893,0.856411481127871,0.858745039754607,0.858836035156714,0.862424711162762,0.856338388837576,0.808499242940683,0.863456686795319,0.855862564746214,0.862129286951364,0.863908274337625,0.858822411128091,0.861441208007253,0.867139994456885,0.863262261562856,0.860494691897172,0.867882913201459,0.857583390852579,0.807670972703153,0.857924529034371,0.863456686795319,0.867882913201459,0.864843121931544,0.86076347254647,0.867139994456884,0.804608538648153,0.8045786013997,0.85872985604103,0.858284687967641,0.865021744722051,0.86250684597763,0.861860354995123,0.861595821693105,0.85775269071177,0.86004183460903,0.863357274470639,0,0,0.865021744722051,0.862085499902091,0.861737728260107,0.864110720437526,0.862085499902091,0.861737728260107,0.860009200245754,0.858987124283186,0.810026253401757,0.863786083106228,0.860746291836313,0.860746291836313,0,0,0,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.860002286602903,0.859587023400861,0.855820449539721,0.859395726839538,0.859980741819678,0.858742976769521,0.858140324056882,0.859463502249361,0.858686451901535,0.859587023400861,0.859281616764364,0.90241054311507,0.903873537466239,0.860764615243719,0.860377388597217,0.852595318894283,0.860920493179947,0.902695424950184,0.860508311223103,0.90241054311507,0.9019387215354,0.860210072210383,0.901988155508014,0.901926520893521,0.900746556525457,0.900694725266551,0.859127606828904,0.90244055379737,0.902425500938946,0.90241054311507,0.902380907700901,0.902366227734146,0.85979531770333,0.863357274470639,0.854337131562319,0.856255244209811,0.860113114568274,0.85767564800536,0.86060214237958,0.863000032598393,0.857327449877258,0.865049688988786,0.860794950133953,0.860455044817823,0.8597560403165,0.855001141319504,0.859875912663246,0.903285222889069,0.856230204843236,0.864323983728734,0.86142427997249,0.858903202503161,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.907938255822415,0.861969303850826,0.857327449877258,0.85969833476484,0.802785200578966,0.86088845296776,0.860455044817823,0.857723247410893,0.858669321745073,0.904656499388317,0.901796258337284,0.904077886420119,0.856249728220505,0.859074436065517,0.86119451462582,0.857209642416759,0.808020032536538,0.860068146337995,0.902869959687026,0.857494790461419,0.861053368985921,0.862713768050744,0.862693463413541,0.862623118253858,0.860521146929345,0.858392041776965,0.854910058193872,0.855876038031753,0.855597806584334,0.904589408798156,0.857629043062861,0.853264197062079,0.903098143229231,0.858392041776965,0.859464108104029,0.858460440151945,0.859660065339034,0.861386368206789,0.857661915124993,0.85706156476178,0.861681792418187,0.856672366568054,0.858744519501626,0.805616401505026,0.806268634567196,0.860253506786621,0.86020575671659,0.859074436065517,0.857450355141932,0.857941338564109,0.909886612359027,0.860310450241346,0.864037947794699,0.862129286951364,0.853475749783981,0.858940286560656,0.857872473755594,0.858903202503161,0.860675954626647,0.863000032598393,0.86048152373885,0.856991009517098,0.860558489441018,0.860227153633502,0.85957370832887,0.867139994456884,0.862085499902091,0.861441208007253,0.861275729251225,0.859689253010998,0.857583390852579,0.862545662510793,0.857403898155893,0.856411481127871,0.858745039754607,0.858836035156714,0.862424711162762,0.856338388837576,0.808499242940683,0.863456686795319,0.855862564746214,0.862129286951364,0.863908274337625,0.858822411128091,0.861441208007253,0.867139994456885,0.863262261562856,0.860494691897172,0.867882913201459,0.857583390852579,0.807670972703153,0.857924529034371,0.863456686795319,0.867882913201459,0.864843121931544,0.86076347254647,0.867139994456884,0.804608538648153,0.8045786013997,0.85872985604103,0.858284687967641,0.865021744722051,0.86250684597763,0.861860354995123,0.861595821693105,0.85775269071177,0.86004183460903,0.863357274470639,0,0,0.865021744722051,0.862085499902091,0.861737728260107,0.864110720437526,0.862085499902091,0.861737728260107,0.860009200245754,0.858987124283186,0.810026253401757,0.863786083106228,0.860746291836313,0.860746291836313,0,0,0,0,0
"Erythrocytes take up carbon dioxide and release oxygen",0.650815973759788,0.649817383716667,0.755826621292116,0.649357369825524,0,0.753002756467929,0.646338482737287,0.753603517446773,0.649438273623622,0.649817383716667,0.649082967508324,0,0,0,0,0,0.653023999755958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764337890124766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651362377833653,0.86593944887941,0
"O2/CO2 exchange in erythrocytes",0.650815973759788,0.649817383716667,0.755826621292116,0.649357369825524,0,0.753002756467929,0.646338482737287,0.753603517446773,0.649438273623622,0.649817383716667,0.649082967508324,0,0,0,0,0,0.653023999755958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764337890124766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651362377833653,0.86593944887941,0
"Formation of the anterior neural plate",0.574415137116861,0.573181469335879,0.574162597626234,0.572613163733177,0.57435113167457,0.570673967757101,0,0,0,0,0.571160984688529,0,0,0.580480239683361,0.575529493608577,0,0,0,0.575918439762636,0,0,0.581039867997482,0,0,0,0,0,0,0,0,0,0,0,0.58818253581648,0.569755942789802,0,0,0,0.582204633700882,0,0,0,0.580570358857268,0.579560564984295,0,0.575528958702827,0,0,0,0,0,0.583320868787796,0,0,0,0,0,0,0,0,0,0,0,0.580258770242702,0,0.577312523724393,0,0,0,0,0,0,0,0,0,0,0,0,0.590615137440778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572041675259776,0,0,0,0,0.581611698518542,0,0,0.579674038474182,0,0,0,0,0,0,0,0.577537702431363,0,0,0,0,0,0,0,0,0,0.577640108088743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578431333063606
"Nitric oxide stimulates guanylate cyclase",0.695410632126291,0.694799060449588,0.695285439588966,0.69342321106486,0.69537890242056,0.693556005416046,0.692668459088498,0.694617146816597,0.758311073620695,0.694799060449588,0.693255157431262,0.694122462663329,0.758927135051525,0.696533338406956,0.625381956738879,0.690535684381389,0.62618180459116,0.694542017443782,0.696155871107029,0.756772535501286,0.693427595617166,0.696810765467687,0.693500398642739,0.6934096273335,0.690577734588087,0.690501401000717,0.694122462663329,0.694166660375053,0.69414449153895,0.694122462663329,0.694078817621236,0.69405719795487,0.695105822270001,0.629770531963047,0.617266818185283,0.625019201989293,0.695573852089615,0.698017650944721,0.697388180007627,0.699825510535391,0.695620873903629,0.631937532519208,0.69657801359029,0.692624049810285,0.695047977179941,0,0.695224517099032,0.695410632126291,0.69479477891096,0.701775336594317,0.6975048481922,0.699825510535391,0.702263305656726,0.702263305656726,0.702263305656726,0.702263305656726,0.702263305656726,0.702263305656726,0.702263305656726,0.702263305656726,0.702263305656726,0.702263305656726,0.702263305656726,0.627726422311629,0.625593135304827,0.624381891987667,0.693848048897353,0.696715718266665,0.695458179989509,0.698087752143453,0,0.691925603638041,0.692123664720928,0.69657801359029,0.695308644328567,0.700077691793742,0.695282490975356,0.696237228605801,0.7015575568475,0.695507625908594,0.694799060449588,0.626923260147723,0.696958595471401,0.629670004095018,0.628545980100123,0.628442380486568,0.701445767683641,0.76281690097431,0.625737344634969,0.694758298585967,0.694348538048619,0.697331349298507,0.697949014324172,0.691520763099121,0.695135113802776,0.697926983089006,0.699099178495606,0.823606386556639,0.825373113739481,0.627636561082568,0.699825510535391,0.69522929621246,0,0,0.62868523899065,0.698017650944721,0.698978215871906,0.624874038386514,0.624803715299258,0.629496591451582,0.624874038386514,0.692375406656075,0.76778278678333,0.826330956821298,0.700259961441993,0.698543134989675,0.691223315709948,0,0.694473135866842,0.628918936628284,0,0,0.625209846397206,0.69450485707675,0.70116918496402,0.70068121590161,0.698929012069505,0.635015993634132,0.633684147835529,0.762147141448609,0.69917004698313,0,0.696787660130759,0.704580872330915,0,0.694271896818457,0.698983571101035,0.699117583000874,0.698978215871906,0.695439217714249,0.631682205314566,0,0,0.627636561082568,0,0.699706526439348,0.631098239480765,0,0,0,0.567443948198667,0,0.702076367919227,0,0.560925300046468,0,0,0.826998137562009,0.699085660729742,0,0,0,0,0,0,0,0.632884444827944,0,0.630595837308885,0,0.629745000621209,0.69917004698313,0,0,0,0,0.70341806312955,0.704000009169766,0,0.629042530973916,0,0,0,0,0.69223097148423,0.629906412450969,0,0,0
