"","PLCB1","FOXO1","TP53","RELA","CREB3","ABCA1","HTR2C","MAP2K4","DVL3","OR1A2","OR51B5","EPN1","HRH2","NCAM1","IGF1","APC","MAML1","KRAS","KCNU1","ITGAM","ACTG1","SEC24D","ARHGAP30","ARHGAP33","SRGAP3","CEP70","AK3","NSMAF","C2","OS9","MX2","LRCH1","DIRAS1","TBP"
"Activation of G protein gated Potassium channels",0.889077021445203,0.825344228373689,0.819743822308571,0.827228922890418,0.827270582145376,0.82851511540031,0.890568634801119,0.831395618261856,0.828815173228548,0.898678969346881,0.898678969346881,0.829467091943825,0.891719062985494,0.829957096661845,0.828915080863061,0.829874791738073,0.832701538671816,0.828512172982718,0.830036118796913,0.831228076659577,0.829146924762733,0.830187070891925,0.835383989243122,0.835383989243122,0.834583974488999,0.824026244248026,0.830797011843103,0.836261402165765,0.828663808266206,0.753169210756763,0.82643622780577,0.832958462288459,0.83746752481372,0
"G protein gated Potassium channels",0.889077021445203,0.825344228373689,0.819743822308571,0.827228922890418,0.827270582145376,0.82851511540031,0.890568634801119,0.831395618261856,0.828815173228548,0.898678969346881,0.898678969346881,0.829467091943825,0.891719062985494,0.829957096661845,0.828915080863061,0.829874791738073,0.832701538671816,0.828512172982718,0.830036118796913,0.831228076659577,0.829146924762733,0.830187070891925,0.835383989243122,0.835383989243122,0.834583974488999,0.824026244248026,0.830797011843103,0.836261402165765,0.828663808266206,0.753169210756763,0.82643622780577,0.832958462288459,0.83746752481372,0
"Interaction between L1 and Ankyrins",0.834406259610474,0.837177756769466,0.886056333165335,0.833901337102821,0.839182700003157,0.840191077889009,0.778614242067815,0.778518417774103,0.779475215712712,0.841943012979674,0.841943012979674,0,0.779566423664874,0.889673277689262,0.834946885121876,0.838509355595113,0,0.900886622632343,0.841061121048165,0.83686129582689,0.776657228526159,0.838767821501531,0.781819496018,0.781819496018,0.781157343146053,0.838893844562881,0,0,0.839020680456084,0,0,0.842575261768733,0,0.837235628188095
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.889077021445203,0.825344228373689,0.819743822308571,0.827228922890418,0.827270582145376,0.82851511540031,0.890568634801119,0.831395618261856,0.828815173228548,0.898678969346881,0.898678969346881,0.829467091943825,0.891719062985494,0.829957096661845,0.828915080863061,0.829874791738073,0.832701538671816,0.828512172982718,0.830036118796913,0.831228076659577,0.829146924762733,0.830187070891925,0.835383989243122,0.835383989243122,0.834583974488999,0.824026244248026,0.830797011843103,0.836261402165765,0.828663808266206,0.753169210756763,0.82643622780577,0.832958462288459,0.83746752481372,0
"Cytosolic sulfonation of small molecules",0.646386633918929,0.57472855942283,0.567783903074065,0.5698198141492,0.577117290667486,0.57924312938286,0,0,0,0,0,0.649671866525226,0,0,0,0,0.576606007058916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57119246013977
"Phase 4 - resting membrane potential",0.722968216460471,0,0,0,0,0,0.724764000726684,0,0.726016355818149,0.655855152126495,0.655855152126495,0,0.647475976458402,0.654127064968681,0,0,0,0,0.661257038885529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0,0.712043301371564,0.704686323665477,0.706843111797119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708297255162004
"Phase 0 - rapid depolarisation",0.787272538501698,0.841945427656989,0.83856336514849,0.785216373465954,0.788990209930154,0.844907176718175,0.787997092469491,0.788766332509583,0.732334503938254,0.794434625064961,0.794434625064961,0.789000551814871,0.78893297777321,0.841104789646203,0.788551485054343,0.791830139383907,0.73339820966093,0.792289346122551,0.79124000278487,0.731907182856766,0.732336749457723,0.72960412119745,0.735288061005709,0.735288061005709,0.734637240675234,0.787907032859064,0.78543127801216,0,0,0.730631837075934,0.731126139168739,0,0,0.789564594287139
"Activation of kainate receptors upon glutamate binding",0.811991021886447,0.734984543755774,0.72949077918761,0.736833350402546,0.736874216392648,0.738394258260681,0.798966963752485,0.74092070462861,0.737639015456462,0.806922863386437,0.806922863386437,0.739028900814462,0.800095485778218,0.739509574988226,0.738487400987222,0.739428837293719,0.742201758036821,0.738092165175475,0.739425430120627,0.740756353310583,0.738714830174777,0.739800376582929,0.744833130071838,0.744833130071838,0.744048348993625,0.733990863042418,0.739583116408047,0.745693835522481,0.738555920544104,0.671609338677155,0.736055749614539,0.742768796865149,0.746416122512293,0
"Phase II - Conjugation of compounds",0.730368074921111,0.704418932204638,0.727380138982463,0.699116235461691,0.701711246984594,0.706024331144652,0,0.701221423045136,0.70028295411135,0,0,0.731536316634172,0,0,0,0.673611656867056,0.701529432510455,0,0,0,0,0,0.675473861042594,0.675473861042594,0.675121087648528,0,0,0.701890841347072,0,0,0,0,0,0.703628729213979
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G beta:gamma signalling through BTK",0.833262525210675,0.741590782412412,0.733535290731837,0.742777552234918,0.744361604135201,0.746827482247223,0.83540802659745,0.750294958562003,0.745483026871726,0.847073740065439,0.847073740065439,0.747521011899916,0.8370627752997,0.748225823101739,0.746727012211862,0.746583307432372,0.752173363605425,0.74614747904223,0.7483394866726,0.750053970682265,0.747060490995952,0.748556612597289,0.754507606876474,0.754507606876474,0.753356884567905,0.740370796106621,0.749433937241382,0.75729378709366,0.746827482247223,0.637828415313608,0.743161488578722,0.753004811059624,0.75879160043982,0
"Presynaptic depolarization and calcium channel opening",0.749611674231769,0.750508558512435,0.741673861443184,0.744263861107019,0.75354740102192,0.756251802813053,0.749027492681173,0.750836865092529,0.753605683471552,0.761821627250871,0.761821627250871,0.751755822550735,0.750842304748494,0.852793203092064,0.748487345954026,0.748437745907907,0,0.749301404285135,0.757910062990738,0.645585617279464,0.642302579165812,0.64049660669359,0.652141611308288,0.652141611308288,0.650879579962448,0.749170563282883,0.745721829956271,0,0,0,0,0,0,0
"Prostacyclin signalling through prostacyclin receptor",0.833262525210675,0.741590782412412,0.733535290731837,0.744301682447766,0.744361604135201,0.746590437291431,0.83540802659745,0.750294958562003,0.746583307432372,0.847073740065439,0.847073740065439,0.747521011899916,0.8370627752997,0.748225823101739,0.746727012211862,0.74810743764522,0.752173363605425,0.74614747904223,0.7483394866726,0.750053970682265,0.747060490995952,0.748556612597289,0.756031737089322,0.756031737089322,0.754881014780753,0.740133751150829,0.749433937241382,0.75729378709366,0.746827482247223,0.637828415313608,0.743161488578722,0.753004811059624,0.759028645395611,0
"G beta:gamma signalling through PLC beta",0.854522564714917,0.741590782412412,0.733535290731837,0.744301682447766,0.744361604135201,0.746827482247223,0.83540802659745,0.750294958562003,0.745483026871726,0.847073740065439,0.847073740065439,0.747521011899916,0.8370627752997,0.748225823101739,0.746727012211862,0.74810743764522,0.752173363605425,0.74614747904223,0.7483394866726,0.750053970682265,0.747060490995952,0.748556612597289,0.756031737089322,0.756031737089322,0.754881014780753,0.740370796106621,0.749433937241382,0.75729378709366,0.746827482247223,0.637834277691698,0.743161488578722,0.753004811059624,0.758352874494519,0
"APAP ADME",0,0.589303905232498,0.658079485435578,0.584608319803462,0.591588906999965,0.593622432216686,0,0.580935667740126,0,0,0,0.66114055352411,0,0,0.588975510141197,0,0.591099825630148,0,0,0,0,0,0,0,0,0,0,0.586707361903452,0,0.667185830450093,0,0,0,0.585921359318299
"Presynaptic function of Kainate receptors",0.854505166754028,0.741590782412412,0.733535290731837,0.744301682447766,0.744361604135201,0.746827482247223,0.83540802659745,0.750294958562003,0.745483026871726,0.847073740065439,0.847073740065439,0.747521011899916,0.8370627752997,0.748225823101739,0.746727012211862,0.74810743764522,0.752173363605425,0.74614747904223,0.7483394866726,0.750053970682265,0.747060490995952,0.748556612597289,0.756031737089322,0.756031737089322,0.754881014780753,0.740370796106621,0.749433937241382,0.75729378709366,0.746827482247223,0.637828415313608,0.743161488578722,0.753004811059624,0.758352874494519,0
"Aspartate and asparagine metabolism",0,0,0,0,0.572042512394754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578113571254799,0,0,0,0,0,0,0
"TNFs bind their physiological receptors",0,0.381704209333156,0.310459255538507,0.311174404447239,0,0,0,0.381182518555564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390112957867316,0,0,0,0,0,0
"G-protein activation",0.833262525210675,0.741590782412412,0.733535290731837,0.744301682447766,0.744361604135201,0.746827482247223,0.83540802659745,0.750294958562003,0.746583307432372,0.847073740065439,0.847073740065439,0.747521011899916,0.8370627752997,0.748225823101739,0.746727012211862,0.74810743764522,0.752173363605425,0.74614747904223,0.7483394866726,0.750053970682265,0.747060490995952,0.748556612597289,0.756031737089322,0.756031737089322,0.754881014780753,0.739491076484785,0.749433937241382,0.75729378709366,0.746151711346131,0.637799200215534,0.743161488578722,0.752329040158532,0.759028645395611,0
"Thromboxane signalling through TP receptor",0.833262525210675,0.741590782412412,0.733535290731837,0.744301682447766,0.744361604135201,0.746827482247223,0.83540802659745,0.750294958562003,0.744618617017374,0.847073740065439,0.847073740065439,0.747521011899916,0.8370627752997,0.748225823101739,0.746727012211862,0.746583307432372,0.752173363605425,0.74614747904223,0.7483394866726,0.750053970682265,0.747060490995952,0.748556612597289,0.754507606876474,0.754507606876474,0.753356884567905,0.739491076484785,0.749433937241382,0.75729378709366,0.746827482247223,0.637822559407825,0.743161488578722,0.753004811059624,0.759028645395611,0
