"","COL10A1","DSE","TRAPPC3L","RWDD1","KPNA5","GPRC6A","EPHA7","FUT9","KCNQ5"
"ERBB2 Activates PTK6 Signaling",0,0,0,0,0,0.617271565260809,0.628114079004819,0,0.629503620500868
"APOBEC3G mediated resistance to HIV-1 infection",0,0,0,0,0,0,0,0,0
"GPCR downstream signalling",0.904147092194195,0.905242729369041,0,0,0.906902379574224,0.928767185449138,0.9170934281853,0,0.917873679424019
"G alpha (z) signalling events",0,0,0,0,0,0.850321327810322,0.767437255759039,0,0.77216465093134
"G-protein activation",0,0,0,0,0,0.809939408441824,0.677695328365244,0,0.671748851757613
"Thromboxane signalling through TP receptor",0,0,0,0,0,0.787404579835794,0.653435891975668,0,0.649214023151582
"Interleukin-6 family signaling",0,0,0,0,0,0.621389903316619,0.632137096286282,0,0.474405313711784
"Estrogen-dependent nuclear events downstream of ESR-membrane signaling",0.457617368981307,0.458559749165721,0.467427386609051,0,0.341469942008602,0.586854123289204,0.594617318238062,0,0.5941768173247
"G alpha (q) signalling events",0.833493350426841,0.835117478120684,0,0,0,0.900338684282381,0.87090584058985,0,0.870076537494124
"Integration of energy metabolism",0.724081005375249,0,0,0,0,0.836305334899765,0.839021793010738,0,0.788452217883677
"Constitutive Signaling by Aberrant PI3K in Cancer",0.639757363873475,0.642156444073017,0.575636716336623,0,0.644815985163915,0.634277268680358,0.639541859401974,0,0.641062796006864
"Regulation of insulin secretion",0,0,0,0,0,0.884501419577624,0.825222903165392,0,0.82255739019138
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0,0,0,0,0,0,0,0,0
"Metabolism of folate and pterines",0,0,0,0,0,0,0,0,0
"Phase 2 - plateau phase",0,0,0,0,0,0.436345307511215,0,0,0
"TFAP2 (AP-2) family regulates transcription of growth factors and their receptors",0.43278787602189,0,0,0,0,0.419186657680158,0.42623518740536,0,0
"Signaling by EGFR in Cancer",0.443576426594921,0.588118385891186,0.453386444222665,0,0,0.570675327179478,0.575875421204251,0,0.57644187568602
"APC-Cdc20 mediated degradation of Nek2A",0,0,0,0,0,0.336625191190153,0.348618524217677,0,0.353227351825087
"Basigin interactions",0,0,0,0,0,0,0,0,0
"GPCR ligand binding",0.855284035984597,0,0,0,0.858013277750366,0.897265624896159,0.879246047970435,0,0.878027715252058
"Signaling by GPCR",0.895569635743628,0.896590850457152,0,0,0.89813776694351,0.918517379812093,0.907615361563313,0,0.908363828170996
"Signaling by Activin",0,0,0,0,0,0,0,0,0
"ERBB2 Regulates Cell Motility",0,0,0,0,0,0.617271565260809,0.625337032567185,0,0.629503620500868
"p75NTR signals via NF-kB",0,0,0,0,0,0.446622649399069,0.462855074429308,0,0
"GRB2 events in ERBB2 signaling",0,0,0,0,0,0.617271565260809,0.625337032567185,0,0.629503620500868
"PI3K events in ERBB2 signaling",0,0,0,0,0,0.614494518823175,0.625337032567185,0,0.629503620500868
"G-protein mediated events",0,0,0,0,0.633146710425317,0.827065790839732,0.72753764663512,0,0.727495098273635
"Drug ADME",0.268887625041457,0,0,0,0,0.199521748201703,0.264402694103137,0,0
"PKA activation in glucagon signalling",0,0,0,0,0,0.463220000648032,0,0,0.488711300879186
"Glutamate Neurotransmitter Release Cycle",0,0,0,0,0,0,0,0,0
"IL-6-type cytokine receptor ligand interactions",0,0,0,0,0,0.525321574001525,0,0,0
"Biosynthesis of DHA-derived SPMs",0,0,0,0,0,0,0,0,0
"Aberrant regulation of mitotic exit in cancer due to RB1 defects",0,0,0,0,0,0,0,0,0
"Activation of G protein gated Potassium channels",0,0,0,0,0,0.816670137272768,0.696248296589336,0,0.828427490148073
"G protein gated Potassium channels",0,0,0,0,0,0.816670137272768,0.696248296589336,0,0.828427490148073
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0,0,0,0,0,0.816670137272768,0.696248296589336,0,0.828427490148073
"Biological oxidations",0,0,0,0,0,0.790577161428803,0.824647363562203,0,0
"Vasopressin regulates renal water homeostasis via Aquaporins",0,0,0,0,0,0.831897112440266,0.737351166778989,0,0.736912555433942
"Amino acid transport across the plasma membrane",0,0,0,0,0,0,0,0,0
"Metabolism of amine-derived hormones",0,0,0,0,0,0,0,0,0
"Nucleotide salvage",0,0,0,0,0,0,0,0,0
"G beta:gamma signalling through BTK",0,0,0,0,0,0.752251464810125,0.579868137693744,0,0.572736603878925
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0.736504761706809,0
"Class B/2 (Secretin family receptors)",0.678543013009507,0,0,0,0.733437524389517,0.83580204869759,0.786830611161612,0,0.785965180441141
"ESR-mediated signaling",0.803859244833027,0.806718275121208,0.768903788227385,0,0.76553646189102,0.838780078958873,0.80478610709196,0,0.805264154160659
"Activation of Matrix Metalloproteinases",0.658935465950035,0.668165624422709,0,0,0,0.657330034671826,0.559242586300386,0,0
"EGFR downregulation",0.46679393146017,0.469209516484477,0.476603949087914,0,0,0.597758474245599,0.602097908571729,0,0.598979781208073
"Interleukin-12 signaling",0,0,0,0,0,-0.0129402848141616,-0.00519235667894217,0,0
"Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase",0,0,0,0,0,0,0,0,0
"Phosphorylation of the APC/C",0,0,0,0,0,0,0,0,0
"Prostacyclin signalling through prostacyclin receptor",0,0,0,0,0,0.752251464810125,0.579868137693744,0,0.572736603878925
"Synthesis, secretion, and deacylation of Ghrelin",0,0,0,0,0,0,0,0,0
"Biosynthesis of specialized proresolving mediators (SPMs)",0,0,0,0,0,0,0,0,0
