"","PIK3CA","KRAS","TP53","APC","LAMC3","LAMA2","NRG1","TAS2R16","CACNA1B","EFNB3","OR8B8","SMAD4","RYR2","DIAPH1","CPSF6","ELMO1","EPHA5","MAMLD1","ITGA8","OFD1","OAS2","TTF2","TFAP2C","SCN9A","TRIM26","PTPRK","KCNQ4","PDK2","NEFH","COL7A1"
"Glucuronidation",0.853087249863786,0,0.892042638299829,0,0,0,0,0,0,0,0,0.89371664011863,0,0,0,0,0,0.896002453357077,0,0,0,0,0.897116115945132,0,0,0,0,0,0,0
"Classical antibody-mediated complement activation",0.620865799074571,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634897731603275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD22 mediated BCR regulation",0.877168075332153,0.801417916287009,0.798708436536828,0.71134503079458,0.716431733453205,0.716431733453205,0.80709886891273,0.709225025491179,0.713306891938676,0.804624614380571,0.720213149999194,0.712383417094514,0.713094007212928,0.716337343027546,0.80767906642436,0.805918895271358,0.80718986324055,0,0.715098105341113,0.711448266881533,0.715008021899511,0.715500955803824,0,0,0.717679097175739,0.813111543242285,0,0.813290647904598,0.722944994340052,0.713651840956237
"Aspirin ADME",0.813280496897737,0.814562187372348,0.840180392914992,0,0.815935961151549,0.815935961151549,0.816395219150597,0,0,0,0,0.84143176294443,0,0,0,0,0,0.843140481625232,0.815505649041787,0,0,0,0.843972980114747,0,0,0,0,0,0,0.815038993402868
"The canonical retinoid cycle in rods (twilight vision)",0.764126081583761,0,0.764350380178292,0,0.769229910436735,0.769229910436735,0.771265620850511,0.766760090526021,0.769779058309365,0.769435650464058,0,0.76721875967961,0.769621607756568,0,0,0,0,0,0.769226555981551,0,0,0,0,0.772696743698076,0,0,0,0.775135452863899,0,0
"Lewis blood group biosynthesis",0,0,0,0.786825212477984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.788959655991737,0,0,0,0,0,0,0,0,0,0,0,0.78387514675644
"Initial triggering of complement",0.72525977033694,0.727616728499605,0.725439717253104,0,0,0,0.730987572941183,0.726584314472647,0.673527923576679,0,0.677625814041387,0.727740917787727,0,0.731593101282458,0.686097769888889,0,0,0,0.729351702525701,0,0.673031218464279,0,0.676147043905411,0,0,0.734555247445462,0,0,0,0.72849354851809
"Sialic acid metabolism",0.610759920603332,0.612212906848505,0,0.612625014683324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614184212862986,0,0,0.613770761439415,0,0,0,0.615239106014158,0,0,0,0,0.609326636630242
"Sensory perception of taste",0.915596416368067,0.891796861996105,0.890629341570821,0.892340739928649,0.892846379281492,0.892846379281492,0.893604629292817,0.916703701771038,0.92002337978023,0.892817283099024,0.919986423472076,0.891318273115746,0.892352100385116,0.893929371164345,0.893483935229666,0.893469012434885,0.893633585100206,0,0,0.891828400268958,0.892393332168396,0.893118028783777,0.894369655945618,0.815899052687279,0.893243309777707,0.894972764599339,0.864431779676276,0.895269627551211,0.896032028366015,0
"TNFs bind their physiological receptors",0.373495184193413,0.336770914897913,0.37205845467724,0.374357256325734,0.305758868969372,0.305758868969372,0.339199162198004,0,0,0.376563720871366,0,0.339462993671044,0,0,0.377869305588796,0.306185090948355,0.306406149892701,0.304317446588998,0.305188827450657,0,0.374838017364325,0,0,0,0,0.308937292893455,0,0,0,0.302427097680662
"Sensory perception of sweet, bitter, and umami (glutamate) taste",0.903900714462458,0.875458917161794,0.874063665017097,0.876108881680959,0.876713148960761,0.876713148960761,0.877619300092342,0.907607838912446,0.909191183101425,0.876678377396929,0.909147018248203,0,0.876122458061215,0.878007384774126,0.877475063942965,0.877457230369373,0.87765390390011,0,0,0.875496607160089,0.876171732346107,0.877037785294703,0.878533549689143,0.784756794164516,0.877187503082664,0.84657223443001,0.84275611473565,0.879609066044724,0.880520177618397,0
"Activation of the phototransduction cascade",0.805937102708482,0.728669425655678,0.716050198230894,0.811197920576128,0.723390013787791,0.723390013787791,0.724707989481037,0.809234847596047,0.812438443036359,0.722416890392684,0.818342258151036,0,0.743596711268003,0.72565295601758,0.725245238164501,0.724313357917408,0.724792247999634,0,0.722155106824056,0.812879966186891,0.722071691763784,0.724878481936245,0.726934140925748,0.726499736645716,0.724545042039896,0,0.729241858332986,0.729552968756975,0.731771479274368,0
"Intrinsic Pathway of Fibrin Clot Formation",0.886204004689845,0.88902134376196,0.8314984791324,0.83531295209681,0.837120473894526,0.837120473894526,0.838129988695899,0.888729940708401,0.8367044195544,0.836375101672597,0.841602744481142,0.83424916952719,0.778641290624111,0.838853793930192,0.838541498939036,0.837827717260535,0.838194527231854,0,0.891095207520024,0.773783365116967,0.836110693818132,0.771041131658193,0,0,0.83800517770392,0.839419178814992,0,0,0,0.835148810427531
"ADP signalling through P2Y purinoceptor 12",0.899785905960345,0.854827687881496,0.852622199615998,0.855278328815125,0.856810263952315,0.856810263952315,0.858242625619033,0.901926721161582,0.90438041523184,0.856755300212395,0.908531909326202,0.854376737532082,0.853057472638762,0.858856074747169,0.858014630173105,0.857409676343525,0.857720560054275,0.858935789118395,0.856008592601069,0.85591715028631,0.85595444158723,0.854504339056578,0.85911102447526,0.855556817900591,0.857560080000635,0.862655913097946,0.858157525737088,0.857538901396903,0.858979104081365,0
"G beta:gamma signalling through BTK",0.881468187471654,0.824989905511709,0.816534298083038,0.825282098562002,0.828263218848471,0.828263218848471,0.829357500422379,0.884206220869696,0.887344416221195,0.827455259334602,0.892654042888442,0.825150817269033,0.822013701332755,0.824507222742067,0.82878173949361,0.829029847908926,0.829427458119489,0.829222209321587,0.827237907120165,0.82074843341569,0.827168649724971,0.823864196682468,0.831205817139571,0.825210283081693,0.829222209321587,0.832958302768381,0.828226835629706,0.827745303763288,0.829587276413579,0
"Creation of C4 and C2 activators",0.695230865672213,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703505035859914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
