"","AGT","EDNRB","CGN","APC","KRAS","ADAM12","OR1C1","HTT","CDK13","MX2","KCNB1","SERPINE2","DYSF","GTSE1","EEF2K","DSPP","EFCAB7","SHF","MUC4","KCND2"
"Phase 0 - rapid depolarisation",0.828378384380768,0.772318692663268,0.767810217949633,0.837261825772176,0.830535535088695,0,0.838779020550585,0.843371122161143,0.84015664677129,0.767073962578534,0.838544032200588,0,0,0.839404141568004,0,0,0.774952076025502,0,0,0
"Chemokine receptors bind chemokines",0.898105162716034,0.856041974783796,0.859664509914593,0.857264040618421,0.85632066232109,0.863030517079159,0.862158867349824,0.861685665997722,0.856591176232264,0.858928886550936,0.861988793680773,0.861549237132442,0.858560877080169,0.816000184132133,0,0,0,0,0,0
"The canonical retinoid cycle in rods (twilight vision)",0.538407491760401,0.542714392079722,0,0,0,0.652048375031883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.653007708583924,0.653520670872519,0.661009943624998,0.740315948900026,0.655751871206455,0.664012874448971,0.662596927936444,0.669110449618221,0.665331198912719,0,0,0,0,0.664446480420429,0.662065440552954,0,0,0,0,0
"Potassium Channels",0.928680525009558,0.930137478929038,0.897327304033899,0.895524719034755,0.894816307737849,0.899854940622099,0.899200392476404,0.898845051268653,0.894057544567681,0.896774902200448,0.935830924810347,0.898742602707283,0.900165743967782,0,0.898954702347402,0,0.862001416806203,0,0,0.936201142166902
"Keratan sulfate/keratin metabolism",0.679156959680401,0.74676826543792,0.757293328037744,0.81709799590477,0.681601738600832,0.756115786580425,0.630486512783755,0,0,0,0,0,0,0,0,0.759466783660134,0,0,0.883792115856475,0
"GABA B receptor activation",0.880100204091736,0.882850129118799,0.82060751827616,0.81752033837088,0.820126665059361,0.824371187323491,0.824457981527162,0.823187146056146,0.817783215989971,0.819418981386835,0.828160345288354,0.823432214282489,0.824779601444978,0,0.823679148264909,0,0.753763548635151,0,0,0
"Activation of GABAB receptors",0.880100204091736,0.882850129118799,0.82060751827616,0.81752033837088,0.820126665059361,0.824371187323491,0.824457981527162,0.823187146056146,0.817783215989971,0.819418981386835,0.828160345288354,0.823432214282489,0.824779601444978,0,0.823679148264909,0,0.753763548635151,0,0,0
"Glucagon-type ligand receptors",0.882594869073816,0.885181771902982,0.826925479012164,0.829118772778733,0.822467065238449,0.831261312498349,0.830251251863597,0.829620323758485,0.82282774643394,0.825944658790822,0.830024489498555,0.829004737664089,0.831965287201842,0,0.829815015355827,0,0.76425172506826,0,0,0
"Trafficking and processing of endosomal TLR",0.327656950278471,0.334055678686632,0.653706386762686,0.645789697231242,0.642678458481978,0,0,0,0.643570606801524,0.651280318746973,0,0,0,0.650903237699827,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0.626252140467536,0.633284532425902,0.644495126107337,0.633135452585501,0.787290046570887,0,0.653536106693109,0,0.633355603854799,0.641828805533019,0.652919662266052,0,0,0.638755384949592,0,0,0,0.669510645021164,0,0
"Activated point mutants of FGFR2",0.740409469172354,0.744715887617555,0.751580907044404,0.738128519069643,0.83902408185689,0.759052015554188,0,0,0,0.749948135126962,0,0,0,0.741569991123077,0,0.652499923496848,0,0.757920432843367,0.639752973222608,0
