"","STAT3","TP53","KRAS","IL6","LRP2","PAK4","MOV10","APC","CHRM2","OPRM1","NMUR2","TF","GRIA1","HTR2A","FZD7","AP1S3","KNTC1","PRKAB1","ANAPC5","RASGRP1","APBB1","DNAH8","DNAH5","THBS2","SCN1A","BMPR1B","CHN2","CYP4A11","CYP26B1","ITGA10","FBXL7","OR6T1","TFAP2B","MAPK4","TTN","GRIK3","USP22","DNER","IFT81","RING1","NEFH"
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.913150642353535,0.938244898460584,0.912788310424493,0.913378145768717,0.93987340570348,0.914093414321695,0.914193776556834,0.940100909118661,0.938702834151396,0.912556776992085,0.911998439294413,0.939883468193678,0.91355250309154,0.913007483121831,0.941381479391175,0.914112921406045,0.913203866202178,0.914017981169737,0.911799514066794,0,0.915762906285199,0,0,0,0.914574135238557,0.91465871604123,0.91530423033798,0,0,0,0.912316018784583,0.916438574250275,0,0.915775332505692,0,0.915366724373765,0.913551821438115,0,0,0,0
"Interaction between L1 and Ankyrins",0.9165645697125,0.939927901228476,0.942946685317832,0.916764827516517,0,0.917394436129589,0.918757120769,0.918039169214793,0.891535807954821,0.892043448313569,0.891551976653038,0,0.917268449698285,0.892440178269152,0.89389366097004,0.917033949142098,0.890008894676191,0.918602378484589,0,0.918814935434359,0,0.918095266910353,0.918095266910353,0.917538987996019,0.944183834048361,0,0.891941418998299,0,0,0.918635133875104,0,0.919619888119721,0,0.892356102380078,0.890994526391503,0.892757131467683,0,0,0.91773872655147,0,0
"Glucuronidation",0.890194594687187,0.8889717074141,0,0.890365432755132,0,0,0.890977910540956,0,0,0,0,0,0,0,0,0,0,0.89050146997045,0,0,0,0,0,0,0,0,0,0.92808130176983,0.928977711431686,0,0,0,0.892317241427424,0,0,0,0,0,0,0,0
"Termination of O-glycan biosynthesis",0.930202802557514,0.928749209753311,0.929879387916844,0.930405870323213,0.954055331726997,0.931044313428834,0.930724485417137,0.929996459766858,0.929157959562596,0,0,0.930211784257416,0,0,0,0,0,0,0,0.931601932434472,0,0.932137935182795,0.932137935182795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932945504902775,0,0,0
"Dopamine Neurotransmitter Release Cycle",0.857076580077165,0.888937056559784,0.890937747000241,0.891605167459853,0.890747189418691,0.85845605158982,0,0.891037201114679,0.889900800079894,0.890553364417692,0.889921584707561,0.890758575497702,0.89149626529043,0.891063355036616,0.859095711347694,0.891593087729323,0.891359006114947,0.858370696194552,0.855860418795991,0.892520862943655,0.894181218033683,0.893494707933677,0.891536404587471,0.858329180684986,0.89235792415149,0,0.862969896181227,0,0,0,0.856444862945555,0.861109686596135,0,0,0,0.857945356640195,0.859031259789625,0,0.860129405841939,0,0
"Collagen chain trimerization",0.902554684056283,0.902589584236145,0.903940966093455,0.871497859718308,0.902221540976674,0.903227756245138,0.872368377913747,0.904570494069765,0,0.870309665036881,0.870025306686047,0,0.9022639183235,0.871102253540629,0.903831099620521,0.906024297590747,0.904874028742201,0,0,0,0.874043101329594,0,0,0.904828994985224,0,0.872864605234786,0,0,0,0.934483740828252,0,0,0,0,0,0,0,0,0,0,0
"Serotonin Neurotransmitter Release Cycle",0.826973848716076,0.868022915918953,0.870630218877553,0.871500002280215,0.870381883934719,0.828364079766876,0,0.870759827637395,0.868655734904146,0.869506157785272,0.868682821463922,0.870396722290965,0.871358080800113,0.870170778369592,0.829197685378955,0.871484259956208,0.871179204424689,0.828252844480238,0.824981446988742,0.872693338088601,0,0.873962454425818,0.871410390395747,0,0.872480995995945,0,0.827375487616304,0,0,0,0.825743095532406,0.831822301120412,0,0,0,0,0.829113692006147,0,0.830688733064911,0,0
"Blood group systems biosynthesis",0,0,0,0,0.921001938940574,0,0.921697917307889,0.920900654346971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.924130162065609,0,0,0
"Phase II - Conjugation of compounds",0.859369658488087,0.858865575143822,0,0.859440079226378,0,0,0.859692547182633,0.842882326122052,0,0,0,0,0,0,0,0,0.842481951370637,0.859638131995337,0.832353612685763,0,0,0,0,0,0,0.843104606677338,0.843448172516611,0.875974705929621,0.875498328513353,0,0.832513490037619,0,0.860244629461341,0.843277915490292,0,0,0,0,0,0,0
"Initial triggering of complement",0.814847726784411,0.81574249332256,0.817416958558221,0.78054394828213,0.817896127763554,0.819142905258397,0,0,0.851687859755434,0.852450530182539,0.851712151338565,0.817909434996634,0.818427572207308,0.817706805515655,0,0,0,0,0.816109315684442,0,0.821350740321614,0,0,0.819360077576966,0.819778639073876,0.81989049373739,0,0,0,0.819092359143652,0,0.822244283661142,0,0,0.820372131507026,0.820826805894496,0,0,0,0,0
"TNFs bind their physiological receptors",0.558889205711162,0.535364662438943,0.514711796379922,0.5373066034268,0.537129725475845,0.515593413825637,0.51567144283672,0.5373066034268,0.513950344550275,0,0,0.514868256617924,0,0,0.538302213297867,0.515608580073168,0.537527714169396,0.537804058704957,0.535096027461326,0.516079116255027,0,0,0,0.537990381619599,0,0.492335258447952,0,0,0,0.515563697763105,0.490513872645312,0,0,0.539526961918501,0,0,0.492290974077435,0,0,0,0
"Defective B3GALTL causes PpS",0.909778621636853,0.908450726413432,0.909483173864073,0,0.909778621636853,0.910547363930603,0,0,0.908824130105136,0.909294380022168,0.908839107891799,0.90978682665573,0.910106301453325,0.909661888683531,0.910634307267436,0,0,0,0,0,0.911908678357387,0,0,0.932453559455844,0,0.911008314568948,0,0,0,0.932306110216948,0,0,0,0,0.911305284417472,0,0,0,0,0,0
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0.782391410124289,0.83338731151806,0.781680692279599,0.78283766043771,0,0.784240667138473,0.784437528705808,0.78283766043771,0,0,0,0,0,0,0,0,0.783395506894271,0,0.779741157946981,0,0.787515392976644,0,0,0,0,0,0.787515392976644,0.891755445004826,0.839743863741584,0,0,0,0.78210807798217,0.788439464774982,0.790045824246704,0,0.785237786063844,0,0,0.837495368346999,0.790689979733811
"Synthesis of substrates in N-glycan biosythesis",0.736357901890278,0.753260051640766,0.770173794113868,0,0.753272990421921,0,0.754212767655919,0.75391510010339,0,0,0,0,0,0,0,0.738473601727797,0,0.754793422314728,0.718050884588035,0,0,0,0,0,0,0,0,0.703166614882422,0.703900011928,0,0.718368209121868,0,0,0,0,0,0,0.755944920946063,0,0,0
"O-glycosylation of TSR domain-containing proteins",0.909778621636853,0.908450726413432,0.909483173864073,0,0.909778621636853,0.910547363930603,0,0,0.908824130105136,0.909294380022168,0.908839107891799,0.90978682665573,0.910106301453325,0.909661888683531,0.910634307267436,0,0,0,0,0,0.911908678357387,0,0,0.932436205921479,0,0.911008314568948,0,0,0,0.932306110216948,0,0,0,0,0.911305284417472,0,0,0,0,0,0
"Presynaptic depolarization and calcium channel opening",0.868800633017084,0.862919408145749,0.868192703219275,0,0.867475490675464,0.870382439990314,0,0.869182344078424,0.866836618063006,0.867034652230744,0.866867437191316,0.867492373779439,0.914311022567942,0.868560436788685,0.871330917705117,0.86909002713482,0.866510637938111,0,0,0.91626674632187,0,0,0,0,0.870419427605432,0.868396023709638,0.87318355639896,0,0,0,0,0.872195349708055,0,0.8739739836912,0,0.871749253972064,0,0,0,0,0
"Defective GALNT3 causes HFTC",0.908358613301848,0.906501473004899,0.907945412053139,0.908618056888526,0.938833098987758,0.909433745034016,0,0,0.907023700233871,0,0,0.908370088507817,0,0,0,0,0,0,0,0.910146170634034,0,0.910830978855641,0.910830978855641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defective GALNT12 causes CRCS1",0.908358613301848,0.906501473004899,0.907945412053139,0.908618056888526,0.938833098987758,0.909433745034016,0,0,0.907023700233871,0,0,0.908370088507817,0,0,0,0,0,0,0,0.910146170634034,0,0.910830978855641,0.910830978855641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norepinephrine Neurotransmitter Release Cycle",0.528685899776596,0.568374933356904,0.570899088825142,0.571741134635265,0.570658673340688,0.530031796039788,0,0.571024564331856,0.568987571599273,0.56981087429934,0.569013794362435,0.570673038498344,0.571603739063769,0.570454299980534,0.530838817777382,0.571725894337587,0.571430567097053,0.529924108071997,0.526757036198089,0.57289641469056,0,0.574125058616211,0.57165438049438,0,0.572690844236023,0,0.529056826502805,-0.0308834765228896,-0.0308834765228896,0,0.527494395594711,0.533379733919854,0,0,0,0,0.53075750297253,0,0.532408754377039,0,0
"Lewis blood group biosynthesis",0,0,0,0,0.920638756150393,0,0.921377482344334,0.920531250535487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923959118494234,0,0,0
"Voltage gated Potassium channels",0,0,0.88969145863674,0,0.890656853411686,0,0,0.873034447731845,0.889856676476295,0.869735205560575,0.869353538205819,0.890663731908396,0.870467951777853,0,0,0.891314646181259,0,0,0.871955329864076,0,0,0,0,0,0.890765435913837,0,0,0,0,0,0.872308401115005,0.892039925364708,0,0,0,0.892171718279508,0,0,0,0,0
