"","PIK3CA","GRM1","RXRG","KRAS","LRP2","GFRA1","EPS15","IRF5","ACACB","OR51F2","OR51Q1","GRIN3A","STK25","CTTNBP2","PHC2","KCNQ5","NEFH"
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.628249287946707,0.630818456331443,0.632750047435482,0.630058992082095,0.686854706140901,0.634131538751861,0.686796283726515,0.630752951514043,0,0.638045386299506,0.638045386299506,0.636357936664397,0,0,0.631640509166834,0.634489030781459,0.638513604969763
"Adrenaline,noradrenaline inhibits insulin secretion",0.882689835032791,0.885832525322517,0.819414899812746,0.820745132254212,0.81885770124068,0.823299108720187,0.818786237044139,0.820856196065163,0.745428940249331,0.894740325513714,0.894740325513714,0.825507205487616,0.823733719946979,0.8204459315491,0.818220075060477,0.823004729597168,0.826627469285218
"Presynaptic function of Kainate receptors",0.8641302296177,0.867770123979514,0.791230970938638,0.786629424952935,0.787636588028544,0.791230970938638,0.787553817503267,0.78840156581765,0.703574884151079,0.87808722452172,0.87808722452172,0.794385241891503,0.787941448831935,0.788523225347069,0.789659021777086,0.801110055165167,0.799396547277527
"NCAM1 interactions",0.715953368159174,0.719401534829048,0.6642509114528,0.717532569638416,0.662667200230324,0.617491181552892,0.722813825696404,0.717447938313738,0.717427434234645,0.725120138397041,0.725120138397041,0.722784569349948,0.721515378289984,0.7188554347575,0,0,0
"O-linked glycosylation",-0.0237374160445901,-0.0237374160445901,-0.0237374160445901,-0.0237374160445901,0.863084246325947,0.424214182576196,-0.0237374160445901,0,0.421441142135277,0,0,0,0.424634478909065,0,0,0,0
"Phase 0 - rapid depolarisation",0.720366749572687,0.733801841245166,0.650103626115012,0.734605306946123,0.724698101822729,0.727716503740718,0.724623685921674,0.731105225830484,0.644206036175351,0.732051680581082,0.732051680581082,0.726806811360695,0.726521126850149,0.723097542062954,0.648690345084363,0.655486974216532,0
"Collagen degradation",0.857881779340525,0.751870607100035,0.862564703668686,0.859881323148453,0.860578148621243,0.863701795219901,0.752558128702928,0.861107413466705,0.800346821727214,0,0,0,0,0,0,0,0
"Potassium Channels",0.924397124930772,0.925997514328535,0.892344765961586,0.890321557407486,0.893855697900663,0.892344765961586,0.893819305341447,0.891100732616797,0.850931696950361,0.930533738922476,0.930533738922476,0.89275281053093,0.890898428299014,0.891154223900241,0.891653611075784,0.844803617042778,0.895935008012696
"SLC-mediated transmembrane transport",-0.0306081792197524,0.603026975960119,0.683580298240186,0.603582292112677,0.642776705177054,0.6065734738208,0.642734574468655,-0.0306081792197524,0.561715273478822,0.608718724239291,0.608718724239291,0.607501837719608,0,0,0.645595448478568,0.606154095939241,0.608621064033349
"G-protein activation",0.871729578179902,0.875691994864006,0.79237089077427,0.791188625704326,0.792285031088031,0.796197903659672,0.792844642176766,0.788489667783756,0.696416962009067,0.886923268977039,0.886923268977039,0.795804654122168,0.788789891991705,0.78942321833056,0.790659654962143,0.796200192576736,0.801259999276971
"Thromboxane signalling through TP receptor",0.84554498681461,0.849507403498714,0.766186299408979,0.765004034339035,0.76610043972274,0.770013312294381,0.766660050811475,0.762685566109057,0.677403563689126,0.860738677611746,0.860738677611746,0.769620062756877,0.762605300626413,0.763238626965268,0.764475063596852,0.770015601211445,0.775075407911681
"GABA B receptor activation",0.883092758978013,0.88585756138187,0.827290320897918,0.827897373618434,0.824989478189376,0.827426219525416,0.82492660709354,0.825570542423659,0.756973514067388,0.893694257050616,0.893694257050616,0.82851079950862,0.825221045316956,0.825662952951535,0.826232193438782,0.891645878226191,0.833628653675012
"Activation of GABAB receptors",0.883092758978013,0.88585756138187,0.827290320897918,0.827897373618434,0.824989478189376,0.827426219525416,0.82492660709354,0.825570542423659,0.756973514067388,0.893694257050616,0.893694257050616,0.82851079950862,0.825221045316956,0.825662952951535,0.826232193438782,0.891645878226191,0.833628653675012
"Bile acid and bile salt metabolism",0.383349151672137,0.384541036018471,0.439967012231112,0.385732675475863,0.384537112533745,0.388899343966759,0,0.38684118518569,0.390604497396443,0,0,0,0,0.39131136406216,0.387344728707147,0,0
"Cytosolic sulfonation of small molecules",0,0,0.339298950596446,0,0,0,0.319738025725,0.334616617358008,0.332947855648223,0,0,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0.682517935548304,0.688857674221416,0,0,0,0,0,0,0,0.706827349931785,0.706827349931785,0,0,0,0,0.835331166557301,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0.65450124339836,0,0,0,0,0,0,0,0
"Inwardly rectifying K+ channels",0.886356310381053,0.889400777328601,0.82538218270376,0.821533374670191,0.822375782275931,0.82538218270376,0.822306551660043,0.823015622162213,0.746600906111095,0.898030168314446,0.898030168314446,0.827268560096912,0.822630772818861,0.823117380174769,0.824067378813907,0.895774592430138,0.832212003792038
"Defective B3GALTL causes PpS",0.808050677986446,0.736189415273214,0.814054227309581,0.810183492860204,0.811030699608765,0,0.737110479719492,0,0,0,0,0,0,0,0,0,0
"Class B/2 (Secretin family receptors)",0.908318984078304,0.909923126766043,0.876191454780076,0.874163501325519,0.874519979448707,0.876104064723997,0.874483501540371,0.874944503884165,0.840304774765002,0.914469989874785,0.914469989874785,0.877494187672968,0.874741725115123,0.874998120617266,0.875498678973323,0.877853549490449,0.879790116794178
"IL-6-type cytokine receptor ligand interactions",0.844822735425772,0.751904341840504,0.648660892557649,0.753771963001713,0.644157077753433,0.758631716302538,0.752638720198102,0.758743320048953,0.747393870659589,0.654725575810258,0.654725575810258,0.6517299800079,0,0,0.646691217071659,0,0.658892480154166
"G beta:gamma signalling through BTK",0.832369722932846,0.837068422974453,0.738264862807805,0.73232477714452,0.733624913004209,0.738264862807805,0.7335180654334,0.734612414511728,0.730265411757446,0.850386655848324,0.850386655848324,0.742336676872783,0.734018454499427,0.734769463475,0.736235650732786,0.743133310324644,0.748805716489108
"O-glycosylation of TSR domain-containing proteins",0.808050677986446,0.736144079463342,0.814054227309581,0.810183492860204,0.811030699608765,0,0.737065143909619,0,0,0,0,0,0,0,0,0,0
"Prostacyclin signalling through prostacyclin receptor",0.832369722932846,0.837068422974453,0.738264862807805,0.73232477714452,0.733624913004209,0.738264862807805,0.7335180654334,0.734612414511728,0.631271498398171,0.850386655848324,0.850386655848324,0.742080702349269,0.734018454499427,0.734769463475,0.736235650732786,0.743133310324644,0.748805716489108
"Signaling by Retinoic Acid",0.558212306132394,0.492438330025707,0.416483972867385,0.562422497964712,0.563256320414569,0.563815900702738,0.491108255073266,0.561473458285265,0.564557293991792,0.498555967100161,0.498555967100161,0.49657671634901,0,0,0.563113142944305,0,0
"Activation of G protein gated Potassium channels",0.864368619091941,0.868170385612083,0.788227409089611,0.78342122469787,0.78447317799117,0.788227409089611,0.784386726522921,0.785272175615328,0.689849589614421,0.878946304780996,0.878946304780996,0.790931519171494,0.784791596461717,0.785399245546437,0.786585552733436,0.876129662975274,0.796756122194179
"G protein gated Potassium channels",0.864368619091941,0.868170385612083,0.788227409089611,0.78342122469787,0.78447317799117,0.788227409089611,0.784386726522921,0.785272175615328,0.689849589614421,0.878946304780996,0.878946304780996,0.790931519171494,0.784791596461717,0.785399245546437,0.786585552733436,0.876129662975274,0.796756122194179
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.864368619091941,0.868170385612083,0.788227409089611,0.78342122469787,0.78447317799117,0.788227409089611,0.784386726522921,0.785272175615328,0.689849589614421,0.878946304780996,0.878946304780996,0.790931519171494,0.784791596461717,0.785399245546437,0.786585552733436,0.876129662975274,0.796756122194179
"FGFR2 ligand binding and activation",0.850310496801101,0.764927071081187,0.763006018535594,0.854916218272482,0.766350603532356,0.77069514332298,0.856033533905661,0.767275234137065,0.851987161566428,0,0,0,0.766188171813662,0.661364787109988,0,0,0
"G beta:gamma signalling through PLC beta",0.832369722932846,0.837068422974453,0.738264862807805,0.73232477714452,0.733624913004209,0.738264862807805,0.7335180654334,0.734612414511728,0.625130108226314,0.850386655848324,0.850386655848324,0.742336676872783,0.734018454499427,0.734769463475,0.736235650732786,0.743133310324644,0.748805716489108
"Diseases associated with O-glycosylation of proteins",0.741252508431104,0.685464915500364,0.691932053438531,0.742854259600833,0.788596164333432,0.6430032570862,0.686156638008666,0.579539210687259,0.636552085301467,0.584817162530032,0.584817162530032,0,0,0,0.580333583338327,0,0
