"","OR52N5","OBSCN","ADCY1","HNRNPAB","USP12","PROS1","HECW1","MUC17","MUC16","DIAPH2","IL1RL1","RBCK1","F2RL3","SYNE1","SYNE2","COL18A1","PDGFA","LEO1","MR1","APC","ZNHIT1","PARP4","SNAI1","COL25A1","TP53","FARS2","ANK3","PLXNA4","MAP2K5","NRXN1","CHD4","CHD8","GNRHR","RPS6KA2","PER1","ADAMTSL1","BRS3","TRAM1","KCNJ5","GABBR2","ZNF287","COL4A4","E2F2","IRF5","UGT3A1","OR6C3","KCNG1","FARP2","RHOBTB1","CCR3","SETX","GIPR","SLC1A7","CMA1"
"Collagen formation",0,0.829649915712454,0.827363081616276,0.798981467725007,0,0.862379680834203,0.797642174141146,0,0,0,0,0.827605948875706,0.861447791127041,0,0,0.925660857465313,0.864848181203679,0.863119693662983,0,0.862830379093033,0,0.831904999289251,0.864623161681012,0.893698240329628,0.861265155996068,0,0.863545923496615,0.830454739885287,0.866556395654664,0.828768736532942,0.828204005307341,0.864637186871944,0.828444743789479,0.828810615328975,0.865150972281433,0.860567341338282,0.828444743789479,0.827197953476434,0,0.82788668445338,0,0.892762575601625,0.831106322069794,0.863181692110186,0,0,0,0.830367713840504,0.861698578106632,0.82773801408424,0,0,0,0.86709865533862
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468869400419531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63766154805594,0.486001078854247,0.479841974538364,0,0,0,0,0,0,0,0,0,0
"Glucuronidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670220818201222,0,0,0,0,0,0,0,0,0.68082699124031,0.68179030324069,0,0,0,0,0,0,0.775485216572248,0,0.676235669695564,0.79516217690959,0,0,0,0,0,0,0,0,0
"Negative regulation of NMDA receptor-mediated neuronal transmission",0.720859638528221,0.718667952958922,0.70335718505205,0,0.598635443735873,0.692109815303482,0.588236020219957,0,0.587236195025796,0.598621231207529,0,0.578857059214096,0.706796180033716,0.583779941322504,0.58389520528969,0.585721301753784,0.715610844811072,0.71547273880867,0,0.713665976090602,0,0,0.724078054954982,0,0.706231037219741,0,0.710953717908479,0.718571490089973,0,0.71361449256092,0.714920938849043,0.719062193161604,0.707225419410745,0.714612220950581,0.715100213277823,0.589737928228391,0.707225419410745,0,0.716973317200985,0.704496332803929,0,0.58512448596558,0.718137685676127,0.708791042135959,0,0.720859638528221,0,0.722561368507046,0.713619175142451,0.705558129973931,0,0.708155649464803,0,0.730233391805542
"Integrin cell surface interactions",0.679744892263483,0.733154764340472,0.67276896524538,0,0,0.729856651958624,0,0.631275159019699,0.681070386772166,0.736292616522614,0,0.676506795559168,0.677972382522838,0.677360140407385,0,0.781825118491153,0.731290581740099,0.675360228260079,0.739894601900544,0.732064215962867,0,0.68136835303115,0.679545760701028,0.782810376643111,0.777659550103883,0,0.680645065135912,0.733495056452719,0.737737749102498,0.680557827194821,0.732812032562778,0.735301984478755,0.678164510248819,0.73349626978305,0.735301984478755,0.730879495747714,0.678164510248819,0,0.678005373200245,0.673607099544139,0,0.781683410101914,0.677709268391022,0.732335840273256,0.686698656573281,0.679744892263483,0,0.732212418162456,0.729478799243453,0.673369121965036,0,0.626672093966314,0,0.681063531275427
"Formation of axial mesoderm",0.385537065646373,0.380259935462469,0.522543391849191,0,0.536888081627454,0.531385632819007,0.384979559045073,0,0.383690754646539,0.38929653273569,0,0.517965899787545,0.526976358616575,0.531687099905426,0.531835678585749,0.670223622371673,0.53723001171951,0.669618425374243,0,0.667289454518384,0.538968641615428,0,0.536192711981024,0.534551320045503,0.519717624142263,0,0.531226836692868,0.378425784510159,0.390968152128576,0,0.526840899423175,0.534547558155256,0.527529660934191,0.376274595015862,0.533204287667074,0,0.527529660934191,0.37529170450532,0.380527481921228,0.365389598189477,0,0.531466335935948,0.530987381712209,0.523017546584267,0,0.385537065646373,0,0.383568856402697,0.372736272180148,0.364704254388182,0,0.529674075205732,0,0.393458322511878
"Nucleotide catabolism",0,0,0.534343001498071,0,0,0,0,0,0,0,0,0.437889477674038,0,0,0,0,0,0.540659190506615,0,0,0,0,0,0,0.531190436342214,0,0,0.447581434967705,0,0,0,0.339567570506191,0,0,0,0,0,0,0,0.536020714862403,0,0.424339989956306,0,0,0,0,0,0,0,0.535544349481026,0,0.539299361634685,0,0
"Metabolism",0.808386005408809,0.802755653113106,0.80759642925591,0.802844755905302,0.80302339793463,0.803121751225027,0.802184379716212,0.808131462890165,0.813226351060833,0.80306718013678,0,0.802457763700243,0.807761054552804,0.802707177680906,0.797423079305539,0.803385535078948,0.803129831076929,0.802853127718089,0.798332948816513,0.803250312488091,0.798310513919767,0.803713574392453,0.798067140299077,0.803078303810044,0.818011066002246,0.79826386955355,0.803010003616037,0.802985670072963,0.798049080243957,0.803225408346757,0.802853845088738,0.802835325990051,0.807780129058283,0.803263261193777,0.808062531791179,0.798245167679917,0.807780129058283,0.807860727275624,0.80821330536912,0.807691443021924,0.793362547017539,0.803359013826166,0.802928209454297,0.802655883782642,0.803860085440353,0.808386005408809,0.798969647504254,0.803184777798694,0.803227695078948,0.807667816527553,0.798387084541264,0.807854055446208,0.798378200201779,0.808652030716967
"Visual phototransduction",0.605883100027382,0.547773217405633,0.611431461124007,0,0.586418582149768,0.585455224928955,0.58502209350637,0.585855932675764,0.620837114958465,0.55062636737552,0,0.581946352014556,0.612372995392106,0.536912900869721,0.536950700596809,0.587747500368321,0.585126285403233,0.545496136195564,0.580901919976071,0.583450937198578,0,0.579522633197489,0.538682974268757,0.547001079942462,0.609862305610187,0,0.586487437520384,0.585662210901589,0,0.585095406514796,0.584161135613926,0.510756205392651,0.607641873138526,0.613787337932823,0.58582313232952,0.547126610676263,0.607641873138526,0.585706647601514,0.576385837295817,0.612045531615098,0,0.584436685396642,0.546490559624679,0.545760540737873,0.549222557673289,0.605883100027382,0,0.586970653765038,0.584473136186178,0.611684922518991,0,0.606371629968809,0,0.589486621191557
"Defective GALNT3 causes HFTC",0,0,0,0,0,0.662726770647088,0,0.800852221030508,0.470862384127506,0,0,0,0,0,0,0,0.512552618138562,0,0,0,0,0,0,0,0.495415928837866,0,0.662571381219816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504735147248383,0,0,0,0,0
"Defective GALNT12 causes CRCS1",0,0,0,0,0,0.662726770647088,0,0.800852221030508,0.470862384127506,0,0,0,0,0,0,0,0.512552618138562,0,0,0,0,0,0,0,0.495415928837866,0,0.662571381219816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504735147248383,0,0,0,0,0
"Physiological factors",0,0,0.537700713894106,0,0.40308740670093,0.546365554874253,0.397708382586374,0,0,0,0,0.383130958844394,0.542044742997223,0.397990771162964,0.398136368940996,0.402669757155984,0.552092679250691,0.393938815126765,0,0.399794456884866,0,0,0.552162658627917,0,0.529618873347902,0,0,0,0,0,0.401379685934359,0.400793840650635,0.542586944528764,0.396520851493675,0.398063622206616,0,0.542586944528764,0.392211338273367,0,0.540066003433145,0,0,0.544658973054609,0.539251823757014,0,0,0,0,0,0.539394409537975,0,0.392617345072822,0,0
"SLC-mediated transmembrane transport",0.703809241866129,0.645794877545843,0.696715569350824,0.649008940215257,0.697380368934632,0.69737046427466,0.643320601849345,0,0.642865526363377,0,0,0.63905172038633,0.69574269176897,0,0,0.699316582655394,0.699183941718913,0.700464873199173,0.704157697973724,0.699642516024385,0,0,0.704381626297669,0.700134243600062,0.746198851679317,0,0.698142711058581,0,0,0.751261561390044,0.70021371866111,0.652092066725734,0.695938062238967,0.701017043129615,0.700496065921532,0,0.695938062238967,0.697165340602008,0.702040363089174,0.697567849733743,0,0.699044938935636,0.75245452317972,0.696471359085503,0,0.703809241866129,0,0,0.696363084254257,0.697325855553879,0,0.697016257912151,0.70520055379115,0.70665757430715
"Drug ADME",0.68982277451305,0.731621096634254,0.682716952808885,0.692583706984754,0.687393549670356,0.739835666060958,0.686790556019432,0,0,0.6910068481946,0,0.731105648892762,0.684113150502797,0,0,0.784107520082788,0.687342619065889,0.685578993833908,0.690071563712681,0.783183380876409,0.654042461492723,0,0.68907266643969,0.694120365038529,0.82362526549404,0,0.685451871950431,0.731043416388884,0.68982277451305,0.686881317446223,0.783692883250976,0.786120155936318,0.684287417412618,0.73740676205111,0.737902618054952,0,0.684287417412618,0,0.688244966780321,0.733240209802059,0,0.693148725067933,0.78499885040877,0.783260959340194,0.836323464267235,0.68982277451305,0,0.732663267268169,0.728286861167745,0.683261317014563,0,0.684962817526769,0,0.699939057515868
"Regulation of FZD by ubiquitination",0.618502611749059,0.617580830290831,0.6016243992995,0.588005418344682,0.700415234224168,0.602017235329797,0.72121562167289,0,0.594944808811975,0.597580956940478,0,0.688257106525944,0.605032814948808,0.603878435283753,0.603992674330815,0.584795732867887,0.606510856317784,0.722423164004913,0,0.839485979410366,0,0,0.59285920772775,0,0.722885384435178,0,0,0.724539065703874,0.594690381140414,0.596157311576583,0.595198733470138,0.727801759708888,0.605458237555636,0.601222357504806,0.699973585002834,0,0.605458237555636,0.700486285860943,0.615119457636863,0.603480254702085,0,0,0.726097226978075,0.580214535714932,0,0.618502611749059,0,0.620124990557941,0.60944125206915,0.602953308153629,0,0.606638422659484,0,0
"NCAM signaling for neurite out-growth",0.83896163809207,0.778800514459585,0.829899286352578,0,0.773492630818154,0.838167764188896,0.771789042939843,0.776351379175935,0.837242154957667,0.775754450567556,0,0.835906417275088,0.837348011650107,0.774348592189011,0.774408273114028,0.894887418976393,0.837838544050443,0.783031363604197,0.845486588776775,0.782095865087761,0,0.780872522161616,0.781308895316614,0.895817575147136,0.83443233096873,0,0.894482200238309,0.828618195000935,0.840737066339999,0.840878370778068,0.838931754164086,0.782838478795385,0.837570261531838,0.837502302960731,0.835192629593229,0.773501259824926,0.837570261531838,0.777287103942104,0.83694939387225,0.767954972544498,0,0.894482200238309,0.775871209425918,0.893807764639762,0.785669169822622,0.83896163809207,0,0.830684058604718,0.838257732055877,0.773537034796631,0,0.774306353058931,0,0.834656448748717
