"","AR","TP53","GNAS","LAMA5","RET","SDC4","MEF2A","SPTBN5","TIAM1","TNRC6B","CSF2RB","SYT1","APC","PTGDR2","GRM2","NTSR2","PPP2R3A","GRP","SIN3A","SMPD1","RPS6KA6","PTGER2","INSL3","TAAR1","ADM2","ERCC2","PIP5K1C","CTNNA2","HLA-C","HLA-B","BUB1","CACNA2D3","ARAP1","USP15","PHKA1","SPHK1","SPRED3","NPHP1","OBSCN","MAML3","CSNK1A1L","TUBGCP3","DOCK4","APBA3","KLRC2","MCF2","ARHGAP36","SYDE2","ARAP3","GP1BA","FNTA","NFASC","DLG2","GRIN3B","TLE1","XPO6","GUCY2D","ACTR1B","PLXNB3","PLXNB2","IL18","HOMER3","ROR1","SCRIB","KIF19","DOCK10","DOCK11","CTSA","SYNE1","CST3","XRCC1","NSMAF","MAP3K6","TTC37","PRSS54","ZNF541","MAP3K4","PHLPP1","RAB6A","ERCC6","HOXB1","PPP1R15A","EPN3","NOTCH3","WWTR1","SNRPA1","MYH8","STXBP2","SH3BP5","INTS7","SARS2","KCNN3","MAP1B","EP400","E2F7","ESRRA","GSTP1","TANC2","MYO18B","PRDX5","WDR61","DPP7","PDHX","KDM4B","BHLHE41","MZT1","SRY","KRT1","AP5S1","TGIF1","ADO","L2HGDH","CYP3A7","GDF15","NUAK1","ESRRG","PARP4"
"Molecules associated with elastic fibres",0.519104202241565,0.587639829289207,0.517091781330199,0.595015084070671,0.519057833487159,0.711561648230538,0.570200032607945,0.516579889192582,0.518035957275724,0.677457255834916,0.518053116221747,0.51687846806617,0.675077446381841,0.594430235278432,0.594300882647107,0.51544090902865,0.571748845525104,0.515392301242493,0.567042599487204,0.519030844779271,0.52089518696992,0.48571868479834,0.485751381703396,0.485751381703396,0.485751381703396,0.567066826940999,0.519602706691502,0.568416412116622,0.51552996878085,0.515366600785566,0.569450682847038,0.572074701017487,0.571809819297322,0.644799164822512,0.574788346143705,0.590919441905358,0.57122642941159,0.518542061910527,0.57242416683338,0.678458174301137,0.523739503373991,0.519198704829145,0.526280076177574,0.57559005642526,0.522807575450573,0.573338408965182,0.573338408965182,0.573338408965182,0.572851584151233,0.521114000435087,0.526509167852037,0.520596785017284,0,0.574936663133727,0.677956939382545,0.569594583152515,0,0,0.522802594961795,0.522415099832402,0.575253564478138,0,0,0,0,0.529281015399028,0.529281015399028,0,0,0.579172053731347,0.570915095053299,0,0.522590613759671,0,0,0,0.52466303165976,0,0.677286070030866,0.567984657192835,0,0.64329487980906,0.524032144350216,0.678727041392647,0.595419222892755,0.670550025454921,0.597530631105015,0,0.52812621236985,0.513919392685489,0.522841425512132,0,0.574582126928508,0.519879554446297,0,0,0,0.582468045237705,0.517979124094982,0,0,0.52812621236985,0,0.573894898279815,0,0,0,0,0,0.599613036098088,0,0,0,0,0,0,0.527195936416536
"Presynaptic nicotinic acetylcholine receptors",0.780922052469193,0.683212329377548,0.778566414542364,0.781443573214263,0.780867775555312,0.779259196774612,0.692643835878596,0.779860049908113,0.781089051882045,0,0.775783598171599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of kainate receptors upon glutamate binding",0.77697675039771,0.772319287942343,0.831317867993584,0.776910743064791,0.776943249465726,0.775950398463914,0.778140625877739,0.775933356865392,0.777079826191287,0.777442734026023,0.776217351925406,0.775368681123948,0.775859414023445,0.830258996913923,0.830165541013298,0.831000001732643,0.777753179348069,0.830964883124029,0.716081129145028,0.777293650834018,0.779145589240931,0.831792114626874,0.831815737793086,0.831815737793086,0.831815737793086,0.774234403687693,0.777336914561804,0.778789165003713,0.775174800532536,0.775056768893162,0.724692526102551,0.77798860647624,0.7793036796427,0.77809993539573,0.779813119202731,0.777891911048181,0.725975484112545,0.776434542965306,0.779747539204667,0.71852366911681,0.781494003643955,0.776908960491413,0.726832808425975,0.781646959103197,0.779264496494132,0.780408069423046,0.780408069423046,0.780408069423046,0.780056343671755,0.778915777976461,0.773190071674719,0.778835521383963,0.776690845738469,0.779920276650851,0.724436653445496,0.782161243009829,0.78073317217196,0.727686713842219,0.780817097279019,0.78053713616857,0.780285301523234,0.777796982996058,0.781494003643955,0.782736329702168,0.723773245176876,0.730117889602099,0.730117889602099,0.722382958131412,0.778247071368277,0.784234914066681,0,0.721354218370899,0.721809944624306,0.718958139224541,0.785497687154838,0.716066274090833,0.722467173893973,0.781132503249316,0,0,0,0.727073586825513,0.725208701584716,0,0.726539561947799,0,0.727480083989753,0,0.73009217125109,0,0.730746434881546,0.783380466479034,0,0,0,0,0,0.734097432006072,0.729991893126277,0,0,0,0,0,0,0,0.731994523503769,0.729233166051098,0.727331367655892,0,0,0,0,0,0,0,0
"Potassium Channels",0.907966085209111,0.905546837557932,0.936192747767563,0.908133288298192,0.907948683662284,0.90743296239193,0.908570642529392,0.909191049737126,0.908019626353864,0.908278811212373,0.907571627285288,0.907130798215225,0.90738570191565,0.93564273337734,0.935594189138875,0.936027636999082,0.908369389354333,0.936009395174867,0.878460967319555,0.908392993758328,0.909092655380644,0.936439087929112,0.936451358621559,0.936451358621559,0.936451358621559,0.90581879737395,0.90815316697657,0.908978194194301,0.907231579495601,0.907170269765451,0.878582186357454,0.908491678375943,0.909174773022347,0.908750996069536,0.908716575839303,0.90844145141449,0.883994843351535,0.906961626077486,0.909405329084373,0.884475951431522,0.910312503330672,0.907208055006696,0.88173435601985,0.91045572361321,0.909355909523796,0.909748431405574,0.909748431405574,0.909748431405574,0.909565732842607,0.909174773022347,0.905983507696288,0.910698534716806,0.909133084962646,0.908772237137093,0,0.910659090615945,0.910245363537062,0.882981301569187,0.909960894670563,0.909815473152866,0.909684661497366,0.909623851622584,0.910312503330672,0.910957810604135,0.876193635051106,0.883467420910541,0.883467420910541,0.88173435601985,0.90848821433112,0.911799997244348,0.883878003909024,0.881199992882595,0.879294886397625,0.879955386210525,0.912392155506635,0.878453251088815,0.881789351418467,0.91012472747869,0.880380985843072,0.882778251450579,0,0,0,0,0,0.883138811647626,0,0,0,0,0.88461058676806,0.941086127849641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8848852481814,0,0,0,0,0,0,0,0
"Glutamate Neurotransmitter Release Cycle",0.549729214683338,0.773329673614759,0.549203905238159,0.552063767559647,0.551491431370574,0.54989252273512,0,0.548673596465469,0.452358259421172,0.533315435364249,0.462373175982575,0.416700290320446,0.696946638947876,0.547498676447522,0.547348173052479,0.548692006565939,0.552795759895828,0.548635450802309,0.530546497472746,0.464919687096449,0.555038126774368,0.54996764222983,0.550005685485448,0.550005685485448,0.550005685485448,0.547348173052479,0.552125398119308,0.455330140718007,0.549268168320276,0.549078087626287,0.46377952405913,0.551358729503636,0.555292718962028,0.555706584828223,0,0.453666058363853,0.552187922251527,0.463373308090056,0.456654401910048,0,0,0.4641373202912,0.559894600549216,0.559803628998839,0,0.457718133998969,0.457718133998969,0.457718133998969,0.45715170727429,0.455939600912453,0,0,0.554146368472212,0,0.553096325345456,0.471824589237753,0,0.467997344005544,0,0,0,0.555667909458935,0.558820063904679,0,0.545434998321996,0,0,0.475168135118139,0,0,0.551825680854224,0,0,0,0,0,0,0,0.55231576051254,0.548416079963678,0,0.461122263631005,0.557279103915128,0.552583436831229,0.553096325345456,0.544478288885944,0.453161819274666,0.565649628035134,0,0,0.540303353513114,0,0.472176038381271,0.533248011964612,0.542843101005578,0,0.533315435364249,0,0.462689484915995,0,0,0,0.537305323363872,0.555292718962028,0,0,0,0,0.557498229175944,0,0.625290797107269,0.623269862920642,0,0.548411556430329,0.546068180094333,0,0
"Activation of Matrix Metalloproteinases",0.849194509493609,0.845586721970831,0.84806824116791,0.848276924910107,0.849168558829364,0.847232539451985,0.850096076704329,0.848686749012793,0.849274354594999,0.849660873064146,0.802253461178491,0.803383999110666,0.847162060616732,0.846570315605155,0.846497922314724,0.847822013969918,0.805597510755386,0.847794810212681,0.808795732573083,0.805632711646942,0,0,0,0,0,0.847175619715461,0.8494735017109,0.850703852353435,0.846932220176972,0.846840789901386,0.804311324641443,0,0,0.80614198594037,0,0.807482476209244,0,0,0.806775972679756,0.850221045520487,0.851526755410014,0,0.808156453709265,0.812297969693071,0.851267133525684,0,0,0,0,0.850946845079381,0,0,0,0,0.849940525173399,0,0,0.805562902031187,0,0,0.809336456649405,0,0,0,0,0,0,0.809012107701881,0.80629136996743,0.853248815575414,0.849329335401479,0.808215220017282,0,0.76511961887496,0,0,0,0,0.76992557231379,0.847689291152272,0.84976134215649,0.805300100153005,0,0.809537424438362,0.805375665682382,0,0.805096013573129,0,0,0.805332570507429,0.809770130857833,0,0,0.806403025384181,0.811018337002001,0,0,0,0,0,0,0,0,0.807109845303616,0.807192717381263,0,0.854628109324113,0.852489092411117,0,0.807722768592308,0,0,0,0.813696806884399,0.812569624845518,0,0
"Glucuronidation",0.78374667688336,0.776726569545982,0,0.784231862280529,0.694454019172643,0.628152464721831,0.785500964948041,0,0,0.784654136733128,0,0,0,0,0,0,0,0,0.782062536355237,0,0.697773565333987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705365270679975,0,0,0,0,0.785744131846789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785198289572419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784849631564209,0,0,0.784718249167264,0,0,0,0,0,0,0,0,0,0,0,0.790555449463421,0.783037072550153,0,0,0,0,0,0.788388491078633,0,0,0,0,0,0,0,0,0,0.863012920172147,0,0,0.795271450271482,0
"Glucagon-type ligand receptors",0.84191993006109,0.832550448988557,0.902732486721449,0.837087444870657,0.837119565713233,0.836138490915238,0.838302740045934,0.836504952212408,0.837254522502516,0.837747579018356,0.841169538812601,0.835563673323519,0.840815846411404,0.889802935183826,0.889710587763458,0.89053515094582,0.837919889018805,0.890500448878955,0.776990290808516,0.837702803495362,0.839295783540614,0.891317868590542,0.891341211562425,0.891341211562425,0.891341211562425,0.834577302679978,0.837508561548366,0.839078039980817,0.835493404099419,0.835376772433092,0.777220890068148,0.838152523746263,0.839451998832433,0.838383843943647,0.840089849061057,0.838056975222489,0.77857781893063,0.836751346109865,0.839890593776992,0.779403859818406,0.841616343404935,0.83722013657061,0.783217373813452,0.841888796409761,0.839796581200439,0.840543289447725,0.840543289447725,0.840543289447725,0.840195735514892,0.839451998832433,0.833410904356764,0.839372694163223,0.838989393397899,0.840195735514892,0.842871573827689,0.842275668645978,0.84148862100286,0.778817446083837,0.840947465825088,0.840670825332829,0.840421977697736,0.839922996158614,0.841616343404935,0.842843934236169,0.776740576860578,0.786514244400895,0.786514244400895,0.783217373813452,0.838407922986714,0.844446055644417,0,0.782200835933253,0.782640196894156,0.779833176677029,0.845310550218088,0.776975611950089,0.78330656182842,0.84125913076578,0,0,0,0,0.789196664562683,0,0.781966067245901,0,0,0,0,0,0,0,0.781990308449255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GABA B receptor activation",0.897846317911832,0.84281253251607,0.896430169488948,0.847047266500959,0.847316266220107,0.845734076042118,0.847867355260223,0.846710447698624,0.846834137471332,0.843830134285116,0.846609242772467,0.84578263829645,0.845645457291938,0.895398830161061,0.895307804211265,0.896120568082115,0.843999978568667,0.89608636259393,0.846260611629049,0.848149398014425,0.847623907437977,0.896892085215446,0.896915094154713,0.896915094154713,0.896915094154713,0.842412813125878,0.847699695613354,0.848631560829456,0.845356460283984,0.845241497590263,0.845872756728637,0.845936873592236,0.849000168414998,0.844973774428383,0.847846476222608,0.847625107275479,0.845900075402612,0.844103406822133,0.849432487165702,0.790555568418945,0.851133541709159,0.844565488998057,0.852398586493142,0.852958720332045,0.849954974224838,0.850075842909907,0.850075842909907,0.850075842909907,0.849733262394767,0.845635875115098,0.839784420023229,0.84892199857756,0.845690234414192,0.845089413886912,0.845889352787288,0.848173852174071,0.84537831355573,0.847446466391034,0.849990953905169,0.849718272075406,0.846346687121495,0.84661047753184,0.847901777545791,0.849111801831565,0.783925032018321,0.855033125275562,0.855033125275562,0.851783432156031,0.843251374500099,0.849461342865571,0.845120854364809,0.793312520442034,0.789740229831662,0.790978741851011,0.851801361112194,0.788162068225083,0.794417634502821,0.846648080781876,0.791776789405372,0.843058693844107,0.845664051461651,0,0.850816708122626,0,0,0.842811254627219,0,0.852958720332045,0.792197579843965,0.845228101618422,0,0,0,0,0,0,0,0,0,0.848719145895202,0.845156117027267,0.851300150445923,0,0,0,0.848123697134665,0.798385514584476,0.795695955303848,0,0,0,0,0,0,0,0,0
"Activation of GABAB receptors",0.897846317911832,0.84281253251607,0.896430169488948,0.847047266500959,0.847316266220107,0.845734076042118,0.847867355260223,0.846710447698624,0.846834137471332,0.843830134285116,0.846609242772467,0.84578263829645,0.845645457291938,0.895398830161061,0.895307804211265,0.896120568082115,0.843999978568667,0.89608636259393,0.846260611629049,0.848149398014425,0.847623907437977,0.896892085215446,0.896915094154713,0.896915094154713,0.896915094154713,0.842412813125878,0.847699695613354,0.848631560829456,0.845356460283984,0.845241497590263,0.845872756728637,0.845936873592236,0.849000168414998,0.844973774428383,0.847846476222608,0.847625107275479,0.845900075402612,0.844103406822133,0.849432487165702,0.790555568418945,0.851133541709159,0.844565488998057,0.852398586493142,0.852958720332045,0.849954974224838,0.850075842909907,0.850075842909907,0.850075842909907,0.849733262394767,0.845635875115098,0.839784420023229,0.84892199857756,0.845690234414192,0.845089413886912,0.845889352787288,0.848173852174071,0.84537831355573,0.847446466391034,0.849990953905169,0.849718272075406,0.846346687121495,0.84661047753184,0.847901777545791,0.849111801831565,0.783925032018321,0.855033125275562,0.855033125275562,0.851783432156031,0.843251374500099,0.849461342865571,0.845120854364809,0.793312520442034,0.789740229831662,0.790978741851011,0.851801361112194,0.788162068225083,0.794417634502821,0.846648080781876,0.791776789405372,0.843058693844107,0.845664051461651,0,0.850816708122626,0,0,0.842811254627219,0,0.852958720332045,0.792197579843965,0.845228101618422,0,0,0,0,0,0,0,0,0,0.848719145895202,0.845156117027267,0.851300150445923,0,0,0,0.848123697134665,0.798385514584476,0.795695955303848,0,0,0,0,0,0,0,0,0
"Inwardly rectifying K+ channels",0.843664818574717,0.838754903013424,0.900951442237055,0.844004160869241,0.843629501758137,0.842582834258278,0.844891780764014,0.845948605772394,0.843773481488852,0.844299502778746,0.842864257665828,0.841969585510244,0.842486918096983,0.899835176106892,0.899736654522408,0.900616346352554,0.844483333081735,0.900579324174796,0.783783542098912,0.844531238731423,0.845951217163716,0.901451394935975,0.901476298572344,0.901476298572344,0.901476298572344,0.84026697232271,0.844044505078012,0.845718915704329,0.842174123303869,0.842049693877235,0.784029558764555,0.844731521302517,0.846117876697996,0.845257812184093,0.846148076546695,0.844629584595247,0.785493672587434,0.842586367954921,0.846585795224708,0.786358477513092,0.848426925026586,0.843086500809733,0.790426955438552,0.848717593695245,0.846485497155022,0.847282128824604,0.847282128824604,0.847282128824604,0.84691133812986,0.846117876697996,0.839641134526939,0.849008079223381,0.846033269876969,0.846261042357387,0,0.849130331436624,0.848290663359759,0.785732857327253,0.847713327627447,0.847418191504306,0.84715270641326,0.847029291453932,0.848426925026586,0.849736590129392,0.779181942100643,0.793944248209875,0.793944248209875,0.790426955438552,0.844724490948445,0.851445826175681,0,0.789342453865632,0.785475998948579,0.786816497639569,0.852647624207946,0.783767881841324,0.790538569792434,0.848045829863703,0.787680261321515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APAP ADME",0.598582223533626,0.666748929873191,0.59099197740348,0,0,0,0.60024068121256,0,0,0.599440112147515,0,0.667656935833894,0,0,0,0,0,0,0.668735952515799,0.591208533154521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600470564786763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599954539893451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598830239499122,0.595959128325658,0,0,0,0,0,0,0,0,0.599624927805973,0,0,0.599500722352218,0,0,0.601595292058436,0,0,0,0,0,0,0,0.607870446762349,0.605019057595748,0.827050288269374,0,0,0,0,0,0.602970472277559,0,0.678458905492532,0,0,0,0,0,0.680527173913395,0.67815542434911,0.672254317020621,0,0,0.609477440407243,0
"Acetylcholine binding and downstream events",0.780922052469193,0.683212329377548,0.778566414542364,0.781443573214263,0.780867775555312,0.779259196774612,0.692643835878596,0.779860049908113,0.781089051882045,0,0.77521785993416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Postsynaptic nicotinic acetylcholine receptors",0.780922052469193,0.683212329377548,0.778566414542364,0.781443573214263,0.780867775555312,0.779259196774612,0.692643835878596,0.779860049908113,0.781089051882045,0,0.77521785993416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of G protein gated Potassium channels",0.816587768265506,0.810662596738805,0.885719928920339,0.816997278628001,0.816545148755374,0.815282054840486,0.81806843760444,0.819975027794897,0.816718900134641,0.8173536903526,0.815621670041713,0.814542000561491,0.815166305455234,0.88437284500248,0.884253951453323,0.885315543026372,0.817575532472575,0.885270865526164,0.744324441141493,0.817633343892743,0.819346940729699,0.886323260171021,0.886353313298266,0.886353313298266,0.886353313298266,0.812778604309269,0.817045965077715,0.819066604749255,0.814788831997956,0.814638673469451,0.744621328312802,0.817875040225954,0.819548061566676,0.818510155780866,0.819875783651463,0.817752025386309,0.746388186709222,0.815577596835225,0.820112734725853,0.747431813113319,0.822334567208075,0.816181145493833,0.752341557336009,0.822685339374672,0.819991697355807,0.820953053865293,0.820953053865293,0.820953053865293,0.82050559230726,0.819548061566676,0.811732080249139,0.823667128962868,0.819445960029356,0.820012108155753,0,0.82318342164975,0.822170129808206,0.746676829271868,0.821473414518559,0.821117251132141,0.82079686991935,0.820647935626315,0.822334567208075,0.823915040493163,0.738771337641717,0.756586144176567,0.756586144176567,0.752341557336009,0.817866556158711,0.825977706668874,0,0.751032806144606,0.746366858574262,0.747984541114072,0.827428008490308,0.744305542708066,0.752476250933759,0.821874670458347,0.749026910969557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G protein gated Potassium channels",0.816587768265506,0.810662596738805,0.885719928920339,0.816997278628001,0.816545148755374,0.815282054840486,0.81806843760444,0.819975027794897,0.816718900134641,0.8173536903526,0.815621670041713,0.814542000561491,0.815166305455234,0.88437284500248,0.884253951453323,0.885315543026372,0.817575532472575,0.885270865526164,0.744324441141493,0.817633343892743,0.819346940729699,0.886323260171021,0.886353313298266,0.886353313298266,0.886353313298266,0.812778604309269,0.817045965077715,0.819066604749255,0.814788831997956,0.814638673469451,0.744621328312802,0.817875040225954,0.819548061566676,0.818510155780866,0.819875783651463,0.817752025386309,0.746388186709222,0.815577596835225,0.820112734725853,0.747431813113319,0.822334567208075,0.816181145493833,0.752341557336009,0.822685339374672,0.819991697355807,0.820953053865293,0.820953053865293,0.820953053865293,0.82050559230726,0.819548061566676,0.811732080249139,0.823667128962868,0.819445960029356,0.820012108155753,0,0.82318342164975,0.822170129808206,0.746676829271868,0.821473414518559,0.821117251132141,0.82079686991935,0.820647935626315,0.822334567208075,0.823915040493163,0.738771337641717,0.756586144176567,0.756586144176567,0.752341557336009,0.817866556158711,0.825977706668874,0,0.751032806144606,0.746366858574262,0.747984541114072,0.827428008490308,0.744305542708066,0.752476250933759,0.821874670458347,0.749026910969557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.816587768265506,0.810662596738805,0.885719928920339,0.816997278628001,0.816545148755374,0.815282054840486,0.81806843760444,0.819975027794897,0.816718900134641,0.8173536903526,0.815621670041713,0.814542000561491,0.815166305455234,0.88437284500248,0.884253951453323,0.885315543026372,0.817575532472575,0.885270865526164,0.744324441141493,0.817633343892743,0.819346940729699,0.886323260171021,0.886353313298266,0.886353313298266,0.886353313298266,0.812778604309269,0.817045965077715,0.819066604749255,0.814788831997956,0.814638673469451,0.744621328312802,0.817875040225954,0.819548061566676,0.818510155780866,0.819875783651463,0.817752025386309,0.746388186709222,0.815577596835225,0.820112734725853,0.747431813113319,0.822334567208075,0.816181145493833,0.752341557336009,0.822685339374672,0.819991697355807,0.820953053865293,0.820953053865293,0.820953053865293,0.82050559230726,0.819548061566676,0.811732080249139,0.823667128962868,0.819445960029356,0.820012108155753,0,0.82318342164975,0.822170129808206,0.746676829271868,0.821473414518559,0.821117251132141,0.82079686991935,0.820647935626315,0.822334567208075,0.823915040493163,0.738771337641717,0.756586144176567,0.756586144176567,0.752341557336009,0.817866556158711,0.825977706668874,0,0.751032806144606,0.746366858574262,0.747984541114072,0.827428008490308,0.744305542708066,0.752476250933759,0.821874670458347,0.749026910969557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trafficking of GluR2-containing AMPA receptors",0.749467747172354,0.740277625607911,0.847174145643061,0.747130382841779,0.749401643013619,0.745716246451176,0.74879178305002,0.746448028862388,0.747944837279825,0.646507438705178,0.74796929939243,0.741205250216234,0.747263015044876,0.741536906911484,0.742598727357132,0.74299906026841,0.748027272172797,0.742929764104365,0.744290487665222,0.751089466826514,0.752021008313193,0.745808288225422,0.744608673578622,0.744608673578622,0.744608673578622,0.742598727357132,0.747205897008652,0.750339970703515,0.746677542211879,0.746444641759177,0.747723496093055,0.748491817823609,0.751086724896231,0.752840050900255,0.752360440789013,0.851848888591724,0.748528734007302,0.748666349460685,0.639979077318366,0.749110116268095,0.755408680044544,0.749602471818945,0.644741806294192,0.637021844605467,0.754747344901404,0.641282437906254,0.641282437906254,0.641282437906254,0.640588411396607,0.752332952859039,0.759357165239867,0.632777026594983,0.752174590263854,0.849606150049853,0.748395546445243,0.754249086130172,0.632535513205222,0.747939113327361,0.754073005985736,0.753520585721912,0.755996192079239,0,0.75233132671323,0.759106270225957,0.748014401623065,0.651325289806824,0.651325289806824,0.64190054931228,0.750248049635234,0,0.645662912412022,0,0,0.644741806294192,0,0,0,0,0.74868537058221,0.742660975272872,0.646763363746849,0.749449286242753,0.754766813684719,0.749013346740609,0.751368073824897,0.640983943895943,0.74768318828569,0.637021844605467,0.759357165239867,0.645880182320276,0.641244057281375,0,0.640214248385862,0.747600576317222,0,0.654232930464032,0,0.763308762658883,0.759357165239867,0,0.740396495132041,0,0.753818112211473,0.636261995062261,0.751933589789727,0,0.65042445639972,0.644975736003987,0.743491284391689,0,0,0,0,0,0,0,0.648352762427169
"SUMOylation of DNA methylation proteins",0.595002079302947,0.597397154669836,0,0,0.480720715810884,0.475621389249647,0.59744612709341,0.476400166485381,0,0.710306869826994,0,0.475577083227282,0.600625775808209,0,0,0,0,0,0.713702563741622,0,0,0,0,0,0,0.594698205953401,0.48154738182865,0.599093738846183,0.475984512361558,0.475736655118781,0.586781777319516,0,0,0.484379937115263,0,0,0.479791748876764,0.593173980921099,0,0.600074989385518,0.484627234634085,0.594170220747725,0,0,0,0,0,0,0,0,0,0,0,0,0.604994460105953,0.489061094289555,0,0,0,0,0,0,0,0,0.478067131186907,0,0,0,0.59715883519827,0,0.600536688099946,0,0,0,0,0.597282857275378,0,0,0,0.595579892591849,0.595563464028977,0,0,0.596355659220382,0.482813430158762,0.589877307791556,0.475539126064313,0,0,0.475331192038379,0,0,0,0.603732729514877,0.492213076165114,0.489515397573581,0,0,0,0.59594866531251,0.479395426893666,0,0,0.598487298685527,0,0.603583695943271,0,0,0,0.613725399273714,0,0,0,0.499902870727854,0.496847206392659,0,0
"Neurexins and neuroligins",0.855771113691428,0.852328925413012,0.854978851662284,0.857693948187223,0.856153841828413,0.856578686035274,0.855854235441493,0.856161770519762,0.85678925365926,0,0.855142943308121,0.787739547724036,0.855257298906546,0.854102959128597,0.854025652903921,0.853966704548106,0.856823811525745,0.853937654621567,0,0.813548084219208,0.857975605594368,0.855371145958732,0.855390686916366,0.855390686916366,0.855390686916366,0.854025652903921,0.857001915794017,0.857382887345291,0.855534296749732,0.85543666160448,0.855039899108079,0.856608115665866,0.858106377135132,0.858318959765767,0.858229896820746,0.856528129721301,0.856511595090472,0.855435156499949,0.81224014073293,0,0.859507761586683,0.855827592158028,0.860470138376593,0.903326925126906,0.858917271529779,0.812786527821657,0.812786527821657,0.812786527821657,0.813602399020059,0.810507078828684,0.818260144952629,0.811171244008528,0.806681739411686,0.899407105723206,0.856978197280114,0,0.809675438232419,0.813473537008992,0.811659590771976,0.811428008428217,0,0.90098084438187,0.859918201516689,0.904354570644567,0.810252067922846,0.815531349859773,0.815531349859773,0.817156821287701,0,0.820143341893062,0.856325529421729,0.770227923851994,0,0.768245899907123,0.812519622132669,0,0,0,0.856577259345589,0.854574184394434,0,0.857009499892876,0.859126685822742,0.856714751563802,0.856978197280114,0.853953600085412,0.856269126791116,0.861468283323139,0.813874784646998,0,0,0.860693832175567,0.861009342595103,0.856234494692091,0,0,0.764557725553269,0.862819587324292,0.815220289017841,0,0,0,0,0.858106377135132,0,0,0,0,0.859239239739815,0,0.862506338260318,0.861468283323139,0,0,0,0,0.818670584882636
"Binding and Uptake of Ligands by Scavenger Receptors",0,0,0,0.494870017593582,0,0.556876076712506,0,0,0.49626577776381,0,0,0.60706764553703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551720211920335,0.551595262190148,0,0,0,0,0,0,0.557458810294008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106705754627788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00537240957854058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
