"","ABCA1","B2M","TP53","TCF7L2","CASP8","IRF5","HMGB1","APC","RET","FGFR4","PAX6","PTPN5","HTR2C","OR5AN1","OR4D6","OR5W2","OR52I2","OR5K3","OR10V1","OR5M8","OR51E1","SCLT1","DSCAM","RYR2","ARHGEF6","PDE4B","CACNA1E","PKD1L1","GLI3","MED6","ARHGAP31","ARHGAP39","ROBO1","RYR1","PLXNA1","PLCH2","CUL3","ABLIM3","DOCK6","COL4A2","SYNE1","CARD6","COL6A3","KIF6","SELP","ZNF429","HNRNPA3","GCLC"
"Inwardly rectifying K+ channels",0.896270108551729,0.89649148453222,0.892008445917382,0.897632935846622,0.897920476431444,0.897146716543138,0.8950811352857,0.897091427387706,0.897750049300669,0.897356067845804,0.895230378898952,0.897706961741042,0.927543170609214,0.931612344887263,0.931612344887263,0.931612344887263,0.931612344887263,0.931612344887263,0.931612344887263,0.931612344887263,0.931612344887263,0.894182133935899,0.900196893153393,0.897259381599225,0.898061101954527,0.895678037272108,0.89533811131507,0.895784824974518,0.897308938032325,0,0.89985554083503,0.899514206961198,0.898871115559237,0.897583709993975,0.898222165053921,0.896582478827597,0,0.900515438127576,0.902948384670907,0,0.89544950809868,0.899485017261616,0,0.857668678238886,0,0.902416745395217,0,0
"Transcriptional regulation of testis differentiation",0.665893645543502,0.659843613449365,0.650620989002013,0.66208198023594,0.596989959180168,0.661128512377804,0.662827011801683,0.726675974571643,0.662311637745193,0.722277862123165,0.599302472568465,0.667976213218149,0.659996631051268,0.667976213218149,0.667976213218149,0.667976213218149,0.667976213218149,0.667976213218149,0.667976213218149,0.667976213218149,0.667976213218149,0.661799162517976,0,0.66239198231165,0.662921606756125,0.663997526535301,0.659397283122841,0.660273281078952,0.727102509279255,0.601381400260239,0,0,0.664510029780899,0,0,0.665771121179822,0.723487897064514,0,0,0.661973005493224,0,0,0.662156728823565,0,0,0,0.597165829484159,0
"Phase II - Conjugation of compounds",0.790932191356792,0.771128523983571,0.788576047004149,0.789944431850594,0.771156029583355,0.789697349049577,0.790137500221529,0.755319119628643,0.771768090751119,0,0.790213341574869,0,0,0,0,0,0,0,0,0,0,0,0,0.756252924953562,0.756413340425687,0,0,0,0,0.790125510992693,0.757325223153646,0.757151767001198,0,0.757637396201621,0,0,0.738213975246031,0,0,0.78972115871644,0,0,0,0,0,0,-0.0127421486266718,0.808017164290106
"Aspirin ADME",0.834031083886833,0.804134481898185,0.830038555539257,0.832357307904193,0.803993629598961,0.831938621720492,0.832684465679189,0,0.801363507909351,0.803507614183537,0.832812980196046,0.806334298521117,0,0,0,0,0,0,0,0,0,0,0,0,0.804114723029783,0,0,0,0,0.832664149718522,0,0,0,0,0,0,0,0,0,0.803698173862206,0,0,0.803778850331141,0,0,0,-0.021591796590875,0
"Initial triggering of complement",0,0.745938266141204,0.745951942346315,0.75032373905828,0.749927435955697,0.749534344335098,0.750940565290631,0,0,0.749874233789159,0,0,0.748597237605372,0.755203690043161,0.755203690043161,0.755203690043161,0.755203690043161,0.755203690043161,0.755203690043161,0.755203690043161,0.755203690043161,0,0.7544864169979,0,0,0.75190965737511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7502335167334,0.802087064589148,0,0.750385624878691,0,0.754335760158293,0,0,0
"Classical antibody-mediated complement activation",0,0.66380088607278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elastic fibre formation",0.727898288455611,0.771225053051958,0.762766889060844,0.769123761331796,-0.0294500183129224,-0.0294500183129224,-0.0294500183129224,0.8103485897746,-0.0294500183129224,-0.0294500183129224,0,0.732337751588095,0.767874773670791,0.729145610174181,0.729145610174181,0.729145610174181,0.729145610174181,0.729145610174181,0.729145610174181,0.729145610174181,0.729145610174181,0.726279794915366,0.728626719685213,0.769309432283354,-0.0294500183129224,0.72676263728388,0.724007392597754,0.724532058033304,0.729051366859447,0.729850417760063,0.72822580120197,0.727824904381839,-0.0294500183129224,0,-0.0294500183129224,0.728034327543548,0.726886450744335,-0.0294500183129224,0.731858347966364,0.804213672935176,0,0,0.804323711184079,0,0.767968047232781,0,0.768092602800327,0
"Keratan sulfate biosynthesis",0,0,0,0,0.854597033364498,0,0,0.856388621493715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854753730256184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893527605871799,0,0,0.893632002549872,0,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.805863110732153,0.800507883223794,0.852458507442715,0.802489188976019,0.79569942291791,0.801645220345312,0.803148658789301,0,0,0.794719735073825,0.803407712527019,0.800417637232297,0,0,0,0,0,0,0,0,0,0.800190342651915,0.799650776329792,0,0,0,0,0,0,0.803107706796681,0,0,0,0,0.80238625923182,0,0.796678793658379,0,0,0,0,0,0,0,0,0,0,0.860398011827643
"ADP signalling through P2Y purinoceptor 12",0.863256331542972,0.863267507131221,0.860220750273505,0.863598106248475,0.864018695485333,0.862886907146185,0.860968905547826,0.862806035001808,0.865108425677816,0.864532144039033,0.861422872029638,0.864809734993368,0.908687199653399,0.914639232147539,0.914639232147539,0.914639232147539,0.914639232147539,0.914639232147539,0.914639232147539,0.914639232147539,0.914639232147539,0.860202224760818,0.867348438910759,0.860644413662607,0.864224390210037,0.861842001605196,0.865091093809432,0.861998201323195,0.863685571198958,0,0.866849138573143,0.866349865214576,0.865970587953329,0.864629453109777,0.864796579051498,0.863164939665717,0.860989403792456,0.867814378658636,0.871373080226305,0,0.861430761223351,0.867646185177468,0,0.806507671136829,0,0.87059544475831,0,0
"Activation of the phototransduction cascade",0.680700787061645,0.672354135638023,0.668157249514201,0.780818235330085,0.676220103376553,0.67412678796505,0.676470045391417,0.779353248556229,0.675759033030596,0.69210589611915,0.676873806248513,0.68357390677009,0.776693932440528,0.78770259980242,0.78770259980242,0.78770259980242,0.78770259980242,0.78770259980242,0.78770259980242,0.78770259980242,0.78770259980242,0.782282092209668,0.682378678251111,0.700349949053256,0.676600549015013,0.784276655436712,0.701645335793904,0.678373794206496,0.685342940981451,0,0.681455190125684,0.680531751899745,0.678791944547262,0.707720536115927,0.678474572958698,0.680531751899745,0,0.683240463817657,0.689822511519392,0,0.67790251363635,0.688384224647741,0,0.783271595556032,0,0,0,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83167042263332
"IL-6-type cytokine receptor ligand interactions",0.769680833768533,0.832452964052273,0.885188249000424,0.83449884996919,0.767596080740178,0.833627372392373,0.835179815035843,0.833528274600789,0.833067977095455,0.833049717947647,0,0.772111152958071,0.829965551912464,0.771584317997366,0.771584317997366,0.771584317997366,0.771584317997366,0.771584317997366,0.771584317997366,0.771584317997366,0.771584317997366,0.765938442124222,0.771319296416542,0.766480284361348,0.767491200482794,0.767947765176314,0.763743104318945,0.764543773759006,0.766143055751406,0.832129932375876,0.770707471898024,0.770095680438653,0.834090836005209,0,0.768732769015693,0.835243484064711,0.828433134322745,0.770937355789792,0,0.766981102124816,0,0,0.767149026781492,0,0.771152973975238,0,0,0
"G beta:gamma signalling through BTK",0.836885652443841,0.893812322822432,0.828321740507946,0.838710501641686,0.839241605882168,0.837812426213327,0.839412250040268,0.836728335149029,0.838926817025827,0.838199110286689,0.83427283875073,0.838847231788691,0.893956450752076,0.901472453112831,0.901472453112831,0.901472453112831,0.901472453112831,0.901472453112831,0.901472453112831,0.901472453112831,0.901472453112831,0.833029041478214,0.843446280414918,0.833587420961697,0.839501349429939,0.835099689890431,0.834471826810356,0.835296933008708,0.838112058770789,0,0.84183381399459,0.841203350410034,0.840997491828677,0.838619578619121,0.840780811141499,0.836617522565751,0.834707440161564,0.844034651571907,0.847546477051883,0,0.834975173275095,0.842131404099097,0,0.764927992270471,0,0.847546477051883,0,0
"Creation of C4 and C2 activators",0,0.745728933248473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Endogenous sterols",0.104780225095272,0.0983937109871138,0.560377864301179,0.418914393220775,0,0.0504181887307482,0,0.0503037376194812,0,0,0.101851976901566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496534768110892,0.101494197362538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythrocytes take up carbon dioxide and release oxygen",0.810376733604464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721682542997999,0,0,0,0,0,0,0,0,0,0.720572026068364,0,0,0.720824616751086,0,0.810890526683056,0,0,0
"O2/CO2 exchange in erythrocytes",0.810376733604464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721682542997999,0,0,0,0,0,0,0,0,0,0.720572026068364,0,0,0.720824616751086,0,0.810890526683056,0,0,0
"Formation of the anterior neural plate",0,0,0,0.57315503329671,0,0,0,0.57087274239625,0.573648630333085,0.568129850767348,0.716281676302947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578373578353035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564485899141494,0
"Biosynthesis of specialized proresolving mediators (SPMs)",0.765747586790008,0.756115581081263,0.756046835925837,0.761680769375956,0.75910539075326,0.760663476571807,0.762475673204362,0,0,0.757924506348512,0.762787928297359,0.764792575437404,0,0,0,0,0,0,0,0,0,0,0.763868225823548,0,0,0,0,0,0,0.762426310981772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768636103734172,0,0,0.835059125661185
"Ethanol oxidation",0,0,0.812796074097447,0,0,0,0,0,0.814371657697278,0.813717745297478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816974434444064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818868450083798
