"","CDC37L1","IL6ST","TP53","AKT3","LPAR3","APC","CCKAR","ANAPC7","PSMA1","LAMC3","RASA3","NEFH","POLR1A","IL7R","RGL2","RYR2","SCN5A","MAGI2","FADS2"
"Thromboxane signalling through TP receptor",0.881244090861445,0.88402359311976,0.878431125608093,0.915150868177647,0.913832886013653,0.883119273314672,0.915161893872115,0.878625609295327,0.846260304584247,0.884716924320504,0.885341347090516,0.885426517257856,0.880793116445032,0.881192670050452,0.88671791637253,0.881367663980264,0.882438942684041,0.852288482495121,0.885275186461072
"G beta:gamma signalling through BTK",0.883600323017189,0.886514840626013,0.880650716935965,0.919154134585752,0.917772130950539,0.885566593151827,0.919165695857408,0.884195209008116,0.885297565162356,0.88724185064634,0.888636807506473,0.887985912323145,0.883127442351655,0.883932304289793,0.890080244150639,0.883729898745972,0.884853215209118,0,0
"Presynaptic function of Kainate receptors",0.888982407809552,0.891638562092356,0.888279008398726,0.921384479624781,0.920124986505437,0.891297691273828,0.921395016024058,0.886638722187764,0.851936463725151,0.892301124834569,0.893572422913934,0.892979227654583,0.888551446609932,0.889134321295406,0.894887903188526,0.891085229890551,0.892108967686986,0.893888323301799,0
"Activation of kainate receptors upon glutamate binding",0.90390666485623,0.905935157476343,0.903369482011434,0.928651975766463,0.927690106753728,0.905674836024283,0.92866002236538,0.90211680309314,0.87844295322008,0.906441153548048,0.90712352413211,0.906896859952678,0.9035775418009,0.904022680475859,0.908128150273817,0.905285916078749,0.905721141409689,0.907653289604401,0
"Classical antibody-mediated complement activation",0.850760064402659,0.796374495368168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.890257159003464,0.890025177150908,0.887542115293875,0.920597443533608,0.919325341370442,0.889299325159131,0.920608085414938,0.885131161542362,0.888904703433594,0.890312804298959,0.891578190103825,0.891747639348469,0.887275530880056,0.8880985928776,0.892906839921128,0.88783007796148,0.888864064606868,0,0.856079962029793
"Prostacyclin signalling through prostacyclin receptor",0.86944666505535,0.872641245825303,0.866213624075434,0.908416929771394,0.906902126009808,0.872231277410081,0.908429601994062,0.866627893169,0.824907624708514,0.873438116025526,0.874967117719255,0.874253676417814,0.868830455022763,0.869908436326,0.876549257738631,0.869490802932891,0.870819950737702,0,0.833790080641591
"Initial triggering of complement",0.896930391018466,0.845341339474933,0.869912827215,0.871316729382713,0.89523617654528,0,0.871325351712783,0.870194700802314,0,0,0,0,0.871759954820245,0,0,0,0,0.874503139644809,0
"G beta:gamma signalling through PLC beta",0.869978731934031,0.87323431893498,0.869116591510492,0.909693203524927,0.908149471877384,0.872816521439938,0.909706117746342,0.867106130559179,0.824576552584474,0.874046406796302,0.875604607510887,0.87487754177232,0.869450512738151,0.870164928787511,0.877216961322445,0.872556112426018,0.873810884215455,0.875991799325376,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.9018204275127,0.901616538415116,0.899434172701164,0.928021987180759,0.926903935233049,0.900849398656282,0.928031340341607,0.896793734490076,0.900631752870155,0.901740146552998,0.902734396785171,0.902734396785171,0.928502780513359,0.899527245950775,0.9039021485264,0.901125345461016,0.901770648779324,0,0.871777293732215
"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",0.821447522262153,0.867656816480372,0.865004116710733,0.866638447307987,0.865629289869208,0.864194183740672,0.820246676171116,0.864241045168179,0.908647835618289,0,0.824618927365022,0.872932676148588,0,0.868497980139984,0,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.831639721223524,0.83130520875857,0.874547683528851,0.830223245953266,0.82406077780264,0,0,0.829918253238963,0.829689511578101,0,0,0.833132614518481,0.832703969556985,0.83219890017967,0,0,0,0,0.879870144508175
"Blood group systems biosynthesis",0,0,0,0,0,0.858531308148467,0,0,0,0,0,0,0,0,0,0,0,0,0
"Creation of C4 and C2 activators",0.899170551408257,0.827580270576292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tryptophan catabolism",0,0,0.788899108136603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keratan sulfate biosynthesis",0.879072735240483,0,0,0,0,0.906889292903512,0,0,0,0.876757410577209,0,0,0,0,0,0,0,0,0
