"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","SF3B5","STX11","COL12A1","UTRN","GRIK2","MYB","HACE1","SYNE1","LIN28B","PREP","COX7A2","PRDM1","EPM2A","ATG5","PACRG","FBXO30","QRSL1","BEND3","PDSS2","SEC63","MYO6","AHI1","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Transmission across Chemical Synapses",0.900452504967659,0.889830887866312,0.879861662872201,0.880023834917964,0.889694323175483,0,0.901291349533385,0.889979649947308,0.879017964674759,0,0.878709948161082,0.879140946471245,0.890602618831461,0.89080293719337,0.879140946471245,0.89110246172684,0.879017964674759,0.890982312263726,0.890216801911917,0.891564281321883,0.879140946471245,0.879017964674759,0,0.880759797193914,0.890375922922794,0.879370036751266,0.900725766640328,0.890075681453934,0,0.889958344600701,0.877783369475824,0.87960173935772,0.899802678918953,0.890541202319987,0.880259828342552,0,0.899585823101775,0.900730406492474,0,0.899770370933567,0.889434766552188,0.88069480669117,0.890511471740786,0.878294953671027,0.87999169574137,0.878294953671027,0,0,0,0.891192893577019,0.900181930357321,0.881149753577564,0.891202513166815,0.889839170398087,0.890230878734582,0.878832902537086,0.90056692480525,0.890486538342107,0.889703136923479,0.889892138245391,0.890498904719278,0.890732782548404,0.899890887612893,0.901037452203715,0.889480502857956,0.891385808130562,0.889579277421791,0.901040855932342,0.879118089533369,0.88992577547469,0.901631718141508,0.891027779430254,0.889407337083725,0.890260361076182,0.879199679954683,0,0,0.890932104930257,0.890405414967951,0.890089483171744,0,0.889409483526098,0,0,0.87916493398448,0,0.90112851154873,0.900827232845085,0,0,0.889802702375269,0.911178369425784,0.900417373801233,0.901070625595307,0,0,0.890255903494916,0.89075556982997,0.88065969922657,0.890327496525163,0,0.899857117287331,0.890115069691659,0.879291209201828,0.889613229486826,0.879861512915529,0.889409483526098,0.88938838228783,0.890637820110569,0,0,0.890056923728126,0,0,0.890704366050607,0,0.89040999058379,0.88985436829321,0.899936329368529,0.900237809516366,0,0,0.890016835332998,0.889477690168179,0.881479016827673,0.889880088674137,0,0.889696705454629,0.880281664899699,0.879118089533369,0.880412779341059,0.89080293719337,0.880128942230806,0,0.900417373801233,0.900668842503638,0.881045139874131,0.900549987494661,0,0.889669604468326,0.889882694667057,0.889860456822594,0.879224258424109,0.900419998018847,0.900545934499919,0.890406314900006,0,0.890435322359204,0.880483946792947,0,0.889709396087274,0.891205666578792,0.89089955498395,0.889403068853489,0.900487870118553,0.880094859447124,0.891119660960353,0.891134518866272,0.89042319648266,0,0.890362350481173,0.902366083896602,0.889409483526098,0.889730709651882,0.910146375286209,0.889807329369118,0.89018128814929,0.891192893577019,0,0.889405198881077,0.889962530359766,0,0.891022536780436,0.878510683079854,0,0,0.890212969572088,0.889511562553595,0.889409483526098,0.890612666370475,0,0.889767561733661,0.89042946221125,0.889822735450706,0.891360260366253,0.901842114110063,0.890393461393984,0.890032462353708,0.890217360008311,0.90183104052336,0.890126910888158,0.890742136002788,0.890562770736865,0.900725766640328,0.900725766640328,0.900725766640328,0.900725766640328,0.900725766640328,0,0,0.879371315455831,0.889230007532421,0,0.890644114450889,0.890053269318008
"ADP signalling through P2Y purinoceptor 12",0.910276414412969,0,0,0,0.862108923166629,0,0.859100973703091,0.863339333325423,0,0,0,0,0,0,0,0,0,0,0,0.864024329535638,0,0,0,0,0,0,0.911664113949387,0,0,0,0,0,0.860654266625069,0,0,0,0.90995545461217,0.861285233677748,0,0.860490197599568,0.861669773235878,0,0.868278279833899,0,0,0,0,0,0,0,0.908902360533899,0,0,0,0,0,0.910857470490213,0.865600168968073,0,0,0.862694342045937,0,0.91150465789605,0.861979378384002,0.858013263594089,0,0,0.866076957650002,0,0.862139941340376,0.86313176943692,0.857644302752109,0,0.858082566923382,0,0,0,0,0,0,0,0,0,0,0.806321561679435,0,0,0.856744058783746,0,0,0.804582697973982,0.857469933502585,0.910098008481075,0,0,0,0.864065157735996,0,0,0,0,0.859441064174042,0.807221087593451,0,0.861271380994749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861332981152096,0.85878368785645,0,0,0,0.860433114770207,0,0.864336219833568,0,0.859735737223663,0,0,0,0,0,0,0.910098008481075,0.911375037192578,0,0.910771458069139,0,0,0,0.804875991281441,0.806622827848846,0.910111334995294,0.859395840942676,0,0,0,0,0,0,0,0.867653743724227,0,0.859100973703091,0,0.858592444720352,0.8682782798339,0,0,0,0.863809530437319,0,0.862342554894448,0.911482622141079,0.862257074722101,0,0.869143399502296,0,0,0.860900397969294,0,0,0,0,0,0,0,0,0,0,0,0.867601211126662,0.861271380994749,0,0.865978205115975,0.864024329535638,0,0,0.917277005212625,0,0,0.863268740346985,0.911664113949387,0.911664113949387,0.911664113949387,0.911664113949387,0.911664113949387,0,0,0,0.855632954433156,0,0,0.863411927001022
"Recycling of bile acids and salts",0.751954510690804,0.758014159739063,0,0,0.757062974724792,0,0,0,0,0,0,0,0,0.76399499062503,0,0,0,0,0,0,0,0,0,0,0.760581982990159,0,0,0,0,0.826514421202052,0,0,0,0,0,0,0.752370879059481,0,0,0,0,0,0,0.761281049458478,0,0.761281049458478,0,0,0,0,0.750069934867925,0.770727732373049,0,0.758071848297182,0.829373874043925,0,0.752751454865695,0,0,0,0,0.683769102749454,0.824811415191625,0.756028719343854,0,0,0.752990148455327,0,0,0,0,0.755439658274181,0,0.680478645881943,0,0,0,0,0,0,0,0,0,0,0.762552762245431,0,0.68174558134431,0,0,0.768011652059055,0,0.757243632069978,0.751709819044409,0,0,0,0,0,0,0.681802829122452,0,0.677005156999378,0,0,0,0,0,0.751660547153415,0.760362990852715,0,0,0.827201033445359,0,0,0.759639939158582,0,0.827905323423087,0,0,0.752502267050659,0,0,0,0.756807658154415,0,0,0,0.753808044973174,0,0,0,0,0,0,0.751709819044409,0,0,0.752633485016264,0,0,0,0,0.762965962155399,0.751728096949579,0,0.758750536815919,0,0.677835816490259,0,0,0,0,0,0,0,0,0.68174558134431,0.766381099920379,0.762965962155399,0,0,0.760581982990159,0,0,0.749131834563911,0,0.76261322729902,0.767567649906365,0,0,0,0,0,0,0,0.680867440332427,0,0,0,0.761374342839255,0,0,0,0,0,0,0.761219569820056,0.827030657833374,0,0,0,0.830218745312688,0.757198676274659,0,0,0,0,0,0,0,0,0,0.683769102749454,0.7603395423753,0.76003665224691
"Neurotransmitter receptors and postsynaptic signal transmission",0.918244112266361,0.905549457329611,0.892659449537116,0,0.905372881925805,0,0.919328721450655,0.905741803714049,0.89156856470444,0,0.891170305535465,0.891727577698527,0.892978821279792,0.906806297596321,0.891727577698527,0.907249258322279,0.89156856470444,0.892960241731413,0.906048436443637,0.906751817516948,0.891727577698527,0.89156856470444,0,0.893820719185701,0.906254176716462,0.892023786831778,0.918597434123594,0.905865970524356,0,0.90571425632858,0.889972257895811,0,0.904837891585804,0,0.893174269497399,0,0.918162392765893,0.904998541960798,0,0.904872823318807,0.905037280422296,0.893977812319158,0.906556576054597,0.890633725990531,0,0.890633725990531,0,0,0,0.907310503372291,0.917894264726782,0.894324924961671,0.907322941308791,0.905560166476929,0.90606663749276,0.890893478094489,0.918392054819472,0.906412634098486,0.905384277925035,0.892850456623249,0.90641318971055,0.906715589048683,0.918556835054823,0.92003932005431,0.905096416547531,0.90761561953432,0.905444397993938,0.906187378525834,0.891698024136695,0.905410427946491,0.919768811228307,0.907097014095068,0.905001814670199,0.906104757568615,0.891803518913584,0,0,0.907028990404085,0.906292309338821,0.905883815868423,0,0.9050045899771,0,0,0.891758593071611,0,0.91911817520535,0.918728627889485,0,0,0.905623525459487,0.933151322450966,0.918198688373404,0.920082212583708,0,0,0.906098994005518,0.906745052546307,0,0,0,0.918513170701785,0.905916898725045,0.891963895184596,0.905268029414267,0,0.9050045899771,0.905197574417806,0.892780123395953,0,0,0.905841717161437,0,0,0.906678847087472,0,0.906298225518249,0.892011348354414,0.905010698934172,0.919005398111808,0,0,0.905789883671276,0.905092779796112,0.894750655734343,0.90561307298646,0,0.90537596216492,0.893305614513301,0.891698024136695,0.89337203206809,0,0.893005036382351,0,0.918198688373404,0.918523832357564,0.894210518173853,0.918370155216884,0,0.905340921133661,0.905616442482991,0.9056982008005,0.891835298381157,0.9182020814341,0.919403797530161,0.906513740851098,0,0.906330978995343,0,0,0.905144668373499,0.907327018607172,0.90699930773949,0.904996295934186,0.919328721450655,0.893001297452327,0.906176932314917,0.907090235454097,0.906315300480387,0,0.891888224934539,0.905861520491695,0.9050045899771,0.90525193687947,0.931816974745019,0.905518996665658,0.906053583324433,0.907310503372291,0,0.904999050017098,0.90571966843102,0,0.907090235454097,0,0,0,0.892475012609345,0.891778082072191,0.9050045899771,0,0,0.905467577911318,0.906538566235243,0.905538916419885,0.907526905271002,0.921079731746219,0.905793645081464,0.905810089095358,0.90604915805107,0.920026531066792,0.905932209154412,0.906727682877438,0.905254213591027,0.918597434123594,0.918597434123594,0.918597434123594,0.918597434123594,0.918597434123594,0,0,0.892146090585115,0.904772531120122,0,0.906600942978543,0.905924907348176
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",0.694549611313842,0.699859906048931,0.765295182136662,0,0.699026347416548,0,0,0.634130307089853,0,0,0,0,0,0.704511397327259,0,0,0,0.642615972342009,0,0,0,0,0,0,0.702110184601754,0,0,0,0,0.759889220436983,0,0,0,0,0,0,0.694914490325553,0,0,0,0,0,0,0.702722802421142,0,0.702722802421142,0,0.642364504750649,0,0,0.692898087770083,0.711001280291031,0,0.699910460667525,0.762395064793728,0,0.695248002990056,0,0,0,0,0.634895890652872,0.75839681323997,0.698119991147335,0,0,0.695457179016956,0,0,0.6334393676537,0,0.6976037751302,0,0.63201234151654,0,0,0,0.705681773763584,0,0,0,0,0,0,0.7032475192198,0,0.633148954174569,0.635626809293894,0,0.707719302853454,0.639556347886672,0.699184664134457,0.694335178967806,0,0,0,0,0,0,0.633172772299638,0,0.628968394651205,0,0,0,0,0,0.694292000186122,0.70191827368658,0,0,0.760490924158048,0,0,0.701284636726094,0,0.761108119532057,0,0,0.695029630485031,0,0,0,0.698802604056388,0,0,0,0.69617393200677,0,0,0,0,0,0,0.694335178967806,0,0,0.69514462164481,0,0,0,0,0.703609621593876,0.694351196572591,0,0.700505220535485,0,0.629696332306662,0,0,0,0,0,0,0,0,0.633580154372928,0.707192165399235,0.704199353777877,0,0,0.702110184601754,0,0,0.692075995753579,0,0.703890239168136,0.70823198306744,0,0,0,0,0,0,0,0.632353056483198,0,0,0,0.702804558863603,0,0,0,0,0,0,0.702668925538566,0.760341617703482,0,0,0,0.763135456756136,0.699040131480296,0,0,0,0,0,0,0,0,0,0.634895890652872,0.701897724917968,0.70163229108817
"ADP signalling through P2Y purinoceptor 1",0.850923305887316,0.74533517983865,0,0,0.802723591199418,0,0.799975983302988,0.746738133734009,0,0,0,0,0,0.751189403813273,0,0.75317103667406,0,0,0,0.805131259472896,0,0,0,0,0.747208645401818,0.75317103667406,0.852311933777147,0,0,0.744876321595366,0,0,0.801267961511056,0,0,0,0.850602131368475,0.801899350672702,0,0.80587768212774,0.802909101399344,0,0.751023685181935,0.749209331659231,0,0.749209331659231,0,0,0,0,0.849548332783604,0,0.808866546299218,0.745377268999957,0.746962558031797,0,0.851504750683716,0.806479526447284,0,0,0.805291034577327,0.74860613654106,0.856926270452015,0.80332501781301,0.804024045001204,0.754610911922016,0.741473809196781,0,0,0.804245282462845,0.803747121740908,0.802164184990178,0.741661649924685,0.799304933139863,0.752305338251564,0,0,0.752305338251564,0,0,0,0.741672557454139,0,0,0.746895578872223,0,0.746280105029809,0.802391391039699,0,0,0.745155551888975,0.798081498110045,0.850744780604113,0.74962886934244,0,0,0.804681134464934,0,0,0.801411055988811,0,0.800678901359375,0.807106324093408,0,0.807284342041137,0,0.741672557454139,0.740503741552596,0,0,0,0.745377268999957,0,0,0,0,0.74589111395373,0,0.801947130089504,0.804170030751218,0,0,0.746280105029809,0.801671615624824,0,0.805443358421486,0,0.800348817625114,0,0,0,0.747746402643955,0,0,0.850744780604113,0.852022663631649,0,0.851418680721421,0,0.744515589508168,0.745598445329542,0.745449041405941,0.747197046584885,0.850758116033601,0.800271047805021,0,0,0.746885540307575,0,0,0,0,0.809762773510653,0.741639960152066,0.799841342940531,0,0.799326240955832,0.807655322720698,0,0,0,0,0.741672557454139,0.74249910308809,0.80082846079059,0.807404996762612,0.74869062678874,0.808521021143194,0,0.741650784266863,0.801341944181026,0,0,0,0,0.746280105029809,0,0,0.741672557454139,0,0,0,0.808219553430531,0.803376141061347,0,0.806857815496578,0.806621911811813,0.74525296416639,0,0.857928579993548,0,0.747578970094684,0,0.852311933777147,0.852311933777147,0.852311933777147,0.852311933777147,0.852311933777147,0,0,0,0.796243290124883,0.748397137271774,0.747897460877695,0.803402512810451
"GPER1 signaling",0.896877651384499,0.857806344059299,0,0,0.857646073475943,0,0.900243171789262,0.859795058770366,0,0,0.812868175614871,0,0,0,0,0,0,0,0,0.859505474312417,0,0,0,0.820268969851067,0.859673123403988,0.816755758075724,0.897974001975278,0.858468527426277,0,0.857831705266114,0,0,0.85699023768294,0,0.813345490055393,0,0.89662407742415,0.857488732553633,0,0.856860615118173,0.857768434522224,0,0.862496064248933,0.816004309926249,0,0.816004309926249,0,0,0,0.862950883693836,0.895792081531264,0,0.862989478359723,0.857839574327251,0.859478832308813,0,0.897336714140408,0.8609192065225,0.856973845014112,0,0.860166537514778,0.861104876556723,0.897848023884422,0.899224512697182,0.856080616970533,0,0.854553823772659,0.861957916050936,0.810777039763143,0.857054988002815,0.859631073133839,0.857887897546605,0.804232583988081,0.854991242736105,0.816072271171931,0,0,0,0.861583940525372,0,0,0.804241195709369,0,0,0.811524594738782,0,0.858940021474472,0.89838109358254,0,0,0.859181790858854,0.898747436340107,0.896736701961588,0.860603551213278,0,0,0.859191594584471,0.862077354636161,0,0,0,0.897712534278362,0.817034836358859,0,0.857773635829201,0,0.804241195709369,0.853787935198342,0,0,0,0.858227213657524,0,0,0.858384294391103,0,0.858632904932172,0,0.857526455396608,0.89601627378052,0,0,0.857959632162379,0.856069332204287,0,0.859751882921357,0,0.856948041378334,0.815616670595976,0.810777039763143,0.813959143320179,0,0,0,0.896736701961588,0.897745617181026,0,0.897268760115647,0,0.856566510470991,0.858401836968335,0.859413506934608,0.811762609765917,0.896747230560434,0.900476131348472,0.859301644659576,0,0,0,0,0,0.863002130134301,0.862816014936062,0.804215459461633,0.858265483437509,0.814672380898768,0.859433435585262,0.862989478359722,0.861004860615012,0,0,0.860166537514778,0.804241195709369,0.859007554996676,0.897830614558882,0.857779513877086,0.860843178521687,0.863672965263514,0,0.804224005325315,0.859257912431238,0,0.86271667906503,0.809975656708395,0,0,0,0,0.804241195709369,0,0,0.85723232319004,0.861985249927105,0.857453685142073,0.812798048110672,0.905676521390217,0.860723878651645,0.858129072406929,0.859036954623816,0.902408460942035,0.858674064558236,0.859965502448639,0.859739286860393,0.897974001975278,0.897974001975278,0.897974001975278,0.897974001975278,0.897974001975278,0,0,0,0.855956660468352,0,0.812592160338558,0.859358997218283
"ADORA2B mediated anti-inflammatory cytokines production",0.896877651384499,0.858193983389572,0,0,0.858139487586732,0,0.900243171789262,0.859795058770366,0,0,0.812868175614871,0,0.776804880138801,0.820029691767406,0,0,0,0,0,0.860336239321373,0,0,0,0.822731043557793,0.859673123403988,0,0.897974001975278,0.858468527426277,0,0.857831705266114,0,0,0.85699023768294,0,0,0,0.89662407742415,0.857488732553633,0,0.856860615118173,0.858476024539625,0,0.863697068377124,0,0,0,0,0,0,0.862950883693836,0.895792081531264,0.822731043557793,0.862989478359723,0.858227213657524,0.859478832308813,0,0.897336714140408,0.86114240346322,0.856973845014112,0.773954367651379,0.860166537514778,0.861104876556723,0.897848023884422,0.899224512697182,0.856080616970533,0,0.854553823772659,0.861957916050936,0,0.85786709105468,0.859631073133839,0.857887897546605,0.804232583988081,0.855053942612387,0,0,0,0,0.861583940525372,0,0,0.804241195709369,0,0,0.811524594738782,0,0.858940021474472,0.89838109358254,0,0,0.859181790858854,0.898747436340107,0.896736701961588,0.860603551213278,0,0,0.860368495599053,0.862077354636161,0,0,0,0.897712534278362,0.81549423462842,0,0.858654689270264,0,0.804241195709369,0.853787935198342,0.817937555482991,0,0,0.858227213657524,0,0,0.858384294391103,0,0.858632904932172,0.773802831180923,0.857526455396608,0.89601627378052,0,0,0.858940021474472,0.856069332204287,0,0.860582647930312,0,0.856948041378334,0.811029780021569,0,0,0,0,0,0.896736701961588,0.897745617181026,0,0.897268760115647,0,0.857546899783084,0.858401836968335,0.859413506934608,0.811762609765917,0.896747230560434,0.900476131348472,0.859301644659576,0,0,0,0,0,0.863002130134301,0.863203654266335,0.804215459461633,0.858265483437509,0.810085490324362,0.859433435585262,0.86330942904685,0.861004860615012,0,0,0.860166537514778,0.804241195709369,0.859007554996676,0.897830614558882,0.858940021474472,0.860455539191414,0.863992915950643,0,0.804224005325315,0.859257912431238,0,0.862478664037895,0,0,0.772928886677212,0.77524157200437,0.772427463492218,0.804241195709369,0,0,0.85723232319004,0.862478664037895,0.858161275159474,0,0.905676521390217,0.860016288634244,0.858129072406929,0.859036954623816,0.902408460942035,0.858674064558236,0.859965502448639,0.859739286860393,0.897974001975278,0.897974001975278,0.897974001975278,0.897974001975278,0.897974001975278,0,0,0,0.855956660468352,0.774600327648674,0,0.859852411329073
"GABA B receptor activation",0.913170293143459,0,0,0,0.873446586096468,0,0.916409063081119,0.8743820602472,0,0,0,0,0,0,0,0,0,0,0,0.874902859139688,0,0,0,0,0,0,0.914225353552401,0,0,0,0,0,0.872340618640739,0,0,0,0.912926269152819,0.872820339458652,0,0.872215877853127,0.873112702792937,0,0.878137114411468,0,0,0,0,0,0,0.877419032144978,0.91212560745357,0,0,0,0,0,0.913612066918247,0.87610096128816,0,0,0.873891676885932,0,0.914104119982434,0.873348093902912,0.870332678402408,0,0.869338217897363,0.876463461129467,0,0.873470169045238,0.874224250551845,0.87254672553075,0,0.869700646007228,0,0,0,0,0,0,0,0,0,0,0.827904358715929,0,0.873559224918199,0.870336623335175,0,0,0.826582310099478,0.869720254637601,0.913034652083905,0,0,0,0.874933900598332,0,0,0,0,0.913973733114966,0.828640600909157,0,0.87280980733912,0,0,0.868601173817469,0,0,0,0,0,0,0.873024427337233,0,0.871887846793865,0,0.872856641603669,0.870918427778246,0,0,0,0.870796650044048,0,0.875139987636632,0,0.871642265733325,0,0,0,0,0,0,0.913034652083905,0.914005570066674,0,0.913546672142382,0,0,0,0.826805299405727,0.82813340974575,0.913044784160174,0.870493203677559,0.872531400795846,0,0,0,0,0,0,0.87766228300454,0,0.870522568128727,0,0.870773026662164,0.87776407415066,0,0,0,0.874739548553668,0,0.873624215028253,0.910985140851232,0.873559224918199,0,0.878421819928595,0,0,0.87383958460971,0,0,0,0,0,0,0,0,0,0,0,0.877622342756372,0.87280980733912,0,0.875497739352778,0.874902859139688,0,0,0.918492804247692,0,0,0.874328388789695,0.914225353552401,0.914225353552401,0.914225353552401,0.914225353552401,0.914225353552401,0,0,0,0.868522942295392,0,0,0.874437252823874
"Activation of GABAB receptors",0.913170293143459,0,0,0,0.873446586096468,0,0.916409063081119,0.8743820602472,0,0,0,0,0,0,0,0,0,0,0,0.874902859139688,0,0,0,0,0,0,0.914225353552401,0,0,0,0,0,0.872340618640739,0,0,0,0.912926269152819,0.872820339458652,0,0.872215877853127,0.873112702792937,0,0.878137114411468,0,0,0,0,0,0,0.877419032144978,0.91212560745357,0,0,0,0,0,0.913612066918247,0.87610096128816,0,0,0.873891676885932,0,0.914104119982434,0.873348093902912,0.870332678402408,0,0.869338217897363,0.876463461129467,0,0.873470169045238,0.874224250551845,0.87254672553075,0,0.869700646007228,0,0,0,0,0,0,0,0,0,0,0.827904358715929,0,0.873559224918199,0.870336623335175,0,0,0.826582310099478,0.869720254637601,0.913034652083905,0,0,0,0.874933900598332,0,0,0,0,0.913973733114966,0.828640600909157,0,0.87280980733912,0,0,0.868601173817469,0,0,0,0,0,0,0.873024427337233,0,0.871887846793865,0,0.872856641603669,0.870918427778246,0,0,0,0.870796650044048,0,0.875139987636632,0,0.871642265733325,0,0,0,0,0,0,0.913034652083905,0.914005570066674,0,0.913546672142382,0,0,0,0.826805299405727,0.82813340974575,0.913044784160174,0.870493203677559,0.872531400795846,0,0,0,0,0,0,0.87766228300454,0,0.870522568128727,0,0.870773026662164,0.87776407415066,0,0,0,0.874739548553668,0,0.873624215028253,0.910985140851232,0.873559224918199,0,0.878421819928595,0,0,0.87383958460971,0,0,0,0,0,0,0,0,0,0,0,0.877622342756372,0.87280980733912,0,0.875497739352778,0.874902859139688,0,0,0.918492804247692,0,0,0.874328388789695,0.914225353552401,0.914225353552401,0.914225353552401,0.914225353552401,0.914225353552401,0,0,0,0.868522942295392,0,0,0.874437252823874
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.890979171912338,0,0,0,0.891392907318547,0,0.892292940078869,0,0,0,0,0,0,0,0,0,0,0,0,0.892792785777396,0,0,0,0,0.913407848856828,0,0.891196179778242,0,0,0,0.873579319128198,0,0.911116453446327,0.913915711527222,0,0,0.890543719284807,0.911357391511373,0,0.911053802831892,0.891794048463868,0,0.893991338407479,0,0,0,0,0,0,0,0.890454482260974,0,0,0,0,0,0.891201051210694,0,0,0.893892619383603,0,0,0.891008490604355,0.910832506034243,0.891161913771519,0,0.891353454254188,0.893773221252407,0,0.891424782458989,0.893721911081138,0.892273911023053,0,0,0,0,0,0,0.892986889206483,0,0,0,0,0,0,0,0.89213501745876,0.891685550285476,0,0,0,0.891862615126743,0.890598154224307,0,0,0,0,0,0,0.913313941931644,0,0.891069804313476,0.892756046267481,0,0.891641920305513,0,0,0.890983276501145,0,0,0,0,0,0.914640411530657,0,0,0,0,0.91137562413387,0.890542559372672,0,0,0.891930592158454,0.891012512316388,0,0,0,0.911521899173434,0,0,0,0,0,0,0.890598154224307,0.891085794308605,0,0.891168206918404,0,0.891257253144494,0,0,0,0.890603243023375,0.910190986914554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912651657879675,0,0.8925765938936,0.891000076136211,0.892127654637738,0,0,0,0,0.892326601295926,0,0,0.912406063270143,0,0,0,0,0,0,0,0.891227520215525,0.893846854582555,0.8915541998597,0,0.895211657298816,0.892880506223209,0,0.891755851755752,0.893632102107519,0.891580455707837,0,0.892700888805975,0.891196179778242,0.891196179778242,0.891196179778242,0.891196179778242,0.891196179778242,0,0,0,0.890372470396572,0,0,0
"Neuronal System",0.905464654399866,0.897310464918732,0.890159327145478,0.890278367822088,0.897212541906494,0,0.90437586867047,0.897379376111566,0.889557113715058,0,0.889336252051219,0.889645297182463,0.897819792260361,0.898007467911027,0.889645297182463,0.898222240443947,0.889557113715058,0.898136087886683,0.897644364518363,0.898553385819687,0.889645297182463,0.889557113715058,0,0.890806085803341,0.897701279514966,0.889809565194628,0.904546451153188,0.897485992907198,0,0.897401857117445,0.888671853549778,0.889975706362084,0.904460686629471,0.897819792260361,0.890447585698713,0,0.90430519127624,0.903973647335463,0,0.904437520353994,0.897026428158898,0.890759484696151,0.897767889921278,0.891024675086599,0.890615241578846,0.891024675086599,0,0,0,0.898287084139034,0.904156496131336,0.891085702031348,0.898293981816638,0.897316403865728,0.897597276322551,0.889978212343849,0.903856423628796,0.897780595734945,0.897218861759361,0.897310345794349,0.897789462982371,0.897957163882104,0.903947805421816,0.904769943690335,0.897059223142744,0.898425412531775,0.897130048937937,0.905348515116462,0.889626151690558,0.897427258557439,0.905196059037912,0.897592559085668,0.897006759998998,0.897618416484624,0.889687411726001,0.898207102830466,0,0.89810008697532,0.897722426634923,0.897495889358277,0,0.897008299094511,0,0,0.889660206263208,0,0.904835237327381,0.904619206975721,0,0,0.897263171905912,0.912041436454799,0.904325319647133,0.905369861300849,0.891511302321894,0,0.897545940906826,0.89797350338566,0.89073431106844,0.897666555614527,0,0.904499721382749,0.897494144903723,0.889753042303962,0.897154394092307,0.890161975661461,0.897008299094511,0.896993168559666,0.897889071552336,0,0,0.897472542775961,0,0,0.897936787977874,0,0.897725707556831,0.89728326304355,0.904556519999943,0.904196563996183,0,0,0.897443797597519,0.897057206317941,0.891321798558747,0.897345744106035,0,0.897214250107557,0.890514583676624,0.889626151690558,0.890557258428962,0.898007467911027,0.890350978440879,0,0.903749188847186,0.904505633992472,0.891010689311008,0.90384427881697,0,0.897194817484106,0.897347612719914,0.897304584436617,0.889702744548856,0.904327201328935,0.904993634237739,0.897723071926596,0,0.897743871576673,0.890608288685904,0,0.897223349860708,0.898296242954547,0.898042782677635,0.897003699486365,0.904951999470417,0.890345819269782,0.897658442266319,0.898245226851618,0.897735176778989,0,0.897756391160291,0.905146501442114,0.897008299094511,0.897238632643067,0.911877581141599,0.897293572418957,0.897561717647311,0.898287084139034,0,0.897005226811739,0.887179057787267,0,0.898164930670407,0.889193370045122,0,0,0.897540396254244,0.897037455943399,0.897008299094511,0.897871035191811,0,0.897265057239595,0.897692638493342,0.897304619270868,0.905671099344436,0.905923053189714,0.897713855385922,0.897455002872696,0.897587582789105,0.905338982131129,0.897522726710671,0.897963870728673,0.897835257783236,0.904546451153188,0.904546451153188,0.903970320353241,0.904546451153188,0.904546451153188,0,0,0.889797568300377,0.896879606752304,0,0.897893584876832,0.897427384114252
