"","PLA2G4D","AR","TP53","NRAS","CASP9","IRF5","NTSR2","FFAR1","OCRL","SPTBN2","HLA-A","SMPD1","TIAM1","CACNA1B","LAMC3","APC","GNAT1","OPRK1","NPW","CACNA1E","SRGAP1","SPHK1","FLNC","TBP","MOCS1","OBSCN","OR2T33","OR2T12","OR5F1","LHCGR","INSL3","TAAR5","CNGA2","SEC31A","HLA-C","HLA-B","MYH14","OBSL1","VCAN","RGS11","GRIN3B","TRPC6","GRIK4","KCNIP3","KIF26B","KIF19","F13B","EMD","COL6A1","GCFC2","NEFM","NEFH","EPN3","CDC25A","DLAT","SMAD9","TNR","TNXB","LAMA4","KCNN3","KLHL25","TGIF1"
"RA biosynthesis pathway",0.791592770823701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799292349491639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714918742428241,0,0,0,0,0,0,0
"Glucuronidation",0.672060708771735,0.677852141776962,0.671861504390724,0,0,0.676532001824154,0,0,0,0,0.597817672252913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679282733265996,0,0,0,0,0,0,0
"GABA B receptor activation",0.843681357751202,0.895598303348808,0.839353433354829,0.84189885385182,0.841731436962671,0.84233926895786,0.893834576319737,0.893834576319737,0.842372697476464,0.843335418135483,0.842926218281529,0.844807742993386,0.844963105971487,0.895771561544426,0.84541812627778,0.842248700045562,0.896509284438139,0.89308347630832,0.89308347630832,0.844807742993386,0.846119068063706,0.844271914606529,0.843089171932959,0.839162257776413,0.896155928699,0.846119068063706,0.900296824311065,0.900296824311065,0.900296824311065,0.894486069877173,0.894646586893583,0.894646586893583,0.844604823100852,0.842815958472718,0.841953343311074,0.841835850725092,0.844670082183585,0.844684851999654,0.786425392412072,0.898891744240183,0.841680420237046,0.843616935527724,0.84579132566333,0.848600291776648,0.844998199482404,0.844998199482404,0.844419227739217,0.843869269798874,0,0.839938569222889,0.846282664719333,0.846282664719333,0.847533750466622,0,0,0,0,0,0,0,0,0
"Activation of GABAB receptors",0.843681357751202,0.895598303348808,0.839353433354829,0.84189885385182,0.841731436962671,0.84233926895786,0.893834576319737,0.893834576319737,0.842372697476464,0.843335418135483,0.842926218281529,0.844807742993386,0.844963105971487,0.895771561544426,0.84541812627778,0.842248700045562,0.896509284438139,0.89308347630832,0.89308347630832,0.844807742993386,0.846119068063706,0.844271914606529,0.843089171932959,0.839162257776413,0.896155928699,0.846119068063706,0.900296824311065,0.900296824311065,0.900296824311065,0.894486069877173,0.894646586893583,0.894646586893583,0.844604823100852,0.842815958472718,0.841953343311074,0.841835850725092,0.844670082183585,0.844684851999654,0.786425392412072,0.898891744240183,0.841680420237046,0.843616935527724,0.84579132566333,0.848600291776648,0.844998199482404,0.844998199482404,0.844419227739217,0.843869269798874,0,0.839938569222889,0.846282664719333,0.846282664719333,0.847533750466622,0,0,0,0,0,0,0,0,0
"Inwardly rectifying K+ channels",0.778897095628491,0.777550459858567,0.767865527767995,0.775187069382794,0.774997822716864,0.771951359344881,0.833894780233408,0.833894780233408,0.775722698294497,0.772586682227781,0.77634839363153,0.779459684461735,0.778650874618698,0.836084332300642,0.779165225807121,0.776293200347226,0.8369182481542,0.833045742996707,0.833045742996707,0.77403103424281,0.780668232323243,0.779564656210224,0.712318927689379,0,0.773736575588195,0.780668232323243,0.841199651880359,0.841199651880359,0.841199651880359,0.834631223158883,0.834812670265772,0.834812670265772,0.77657148877457,0.709831789498178,0.771515112187728,0.771382299540919,0.779588630258095,0.778772816912274,0,0.781273338185212,0.775877380434705,0.777427510945287,0.779587087303897,0.716928671574745,0.778690544032999,0.778690544032999,0.778189185750837,0.778666263951251,0,0,0.780440829161543,0.780440829161543,0,0,0,0,0,0,0,0,0,0
"FGFR4 ligand binding and activation",0.807016630170619,0.806570007799059,0.800107865686124,0.87897765696003,0.808902452576015,0.732950185176835,0.804111642092248,0.804111642092248,0.803102390311361,0.804444275656634,0.803873913649582,0.807710339055729,0.806713023536252,0.734615724727261,0.730262218317409,0.805019724461803,0.735643997602339,0,0,0.73551456056003,0.733003655824601,0.807839776098038,0.731319530350508,0.724957880644523,0.729048350570077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731677585673519,0,0,0,0,0,0,0,0,0,0.734147380468144,0.726039940059821,0,0,0.811509976515642,0.805210683929099,0.732883090220151,0.736887426921175,0.732948422373055,0.732948422373055,0.731319530350508,0,0.802269674403906,0
"ADP signalling through P2Y purinoceptor 12",0.79146399762653,0.871199146258307,0.784817079341185,0.788726390247705,0.788469267830618,0.789402789129335,0.868490376796043,0.868490376796043,0.789454129358786,0.790932696211172,0.790304238377231,0.793193924024708,0.793432533788981,0.871465239878035,0.794131363647615,0.789263691468632,0.872598250379755,0.8673368214326,0.8673368214326,0.793193924024708,0.795207884942153,0.792370987398231,0.697027576938684,0,0.786350319804135,0.795207884942153,0.878415234627197,0.878415234627197,0.878415234627197,0.869490954450156,0.86973747989602,0.86973747989602,0.790607349463163,0.790134899019102,0.788810076317495,0.78862962870644,0.792982501626802,0.793005185424276,0,0.87625728278697,0.79020201107241,0.791365056606307,0.79470453119693,0.799018601063117,0.793486431149019,0.793486431149019,0.792597234038802,0.793048104312867,0,0,0.795459140163388,0.795459140163388,0.79738058424803,0,0,0,0,0,0,0,0,0
"Assembly and cell surface presentation of NMDA receptors",0.631882847544526,0.633079866454521,0.627461263936444,0.705670943304279,0.554048788914856,0.629880183284915,0.628670587724955,0.628670587724955,0.628429434098336,0.630804138636923,0.630193530809321,0.632625505838886,0.633232973652266,0.631663246451985,0.633911954737072,0.638848837210587,0.632764076203389,0.62754979664487,0.62754979664487,0.633362528409862,0.636257420285324,0.632764076203389,0.712403038174155,0.630832374075667,0.632236798937374,0.636257420285324,0.637288839878897,0.637288839878897,0.637288839878897,0.629745036397027,0.629984559812629,0.629984559812629,0.633997864671383,0.625688199580084,0,0,0.637069920591729,0.56033157714423,0.555458158140164,0,0.726464247653676,0,0.718645502139022,0.639959901130598,0.554074994908757,0.554074994908757,0.548988942670102,0,0.553784777966948,0.536580755638325,0.562533474975847,0.562533474975847,0,0.62994947032503,0,0.637069920591729,0.558001999700731,0.558001999700731,0.544591810716343,0.637164805245294,0.537675311163205,0.640310605215697
"TNFs bind their physiological receptors",0,0.364905782101086,0.357022454650644,0.294796468064695,0.367147247323966,0.361864036126688,0,0,0.361573422817934,0,0.296172600649838,0.503702474349617,0.365043219353366,0,0.365652709279515,0.363415969257325,0,0,0,0,0,0.366126021701782,0.365815290246566,0.361721792597605,0,0,0,0,0,0,0,0,0,0,0.28122729539854,0.281069916603435,0,0,0.366189897762583,0,0,0,0,0,0,0,0,0,0.366696420086802,0.362761645104487,0,0,0,0.281806430284801,0,0.288134704986792,0.368473386713274,0.368473386713274,0,0,0.281586943187037,0
"Phospholipase C-mediated cascade; FGFR4",0.807016630170619,0.806570007799059,0.800107865686124,0.87897765696003,0.808660837722694,0.732950185176835,0.803870027238926,0.803870027238926,0.803102390311361,0.804444275656634,0.803632298796261,0.807710339055729,0.806713023536252,0.734615724727261,0.730262218317409,0.805019724461803,0.734430129855007,0.721233746690806,0.721233746690806,0.73551456056003,0.733003655824601,0.807839776098038,0.731319530350508,0.724957880644523,0.729048350570077,0.728583448614714,0.731288050485534,0.731288050485534,0.731288050485534,0.723188747591415,0.723412483760334,0.723412483760334,0.729011909041515,0.723979419073587,0.722777065479969,0.722613298786246,0.727252228546487,0,0.731624486998551,0.72932958378142,0,0.730067440453775,0,0.732730339572126,0,0,0,0.73159490405759,0.732933512720812,0.726039940059821,0,0,0.811509976515642,0.805210683929099,0.732883090220151,0.736887426921175,0.732893760690546,0.732893760690546,0.731319530350508,0,0.802269674403906,0
"G-protein activation",0.880623963841888,0.798330606663813,0.78475305157051,0.795017308842856,0.794751999080344,0.789684498269953,0.877321156822525,0.877321156822525,0.795768220773906,0.79729386845919,0.795265300217961,0.801007197680928,0.798493207462141,0.880390746112826,0.799214289606323,0.796568022257215,0.881559834170335,0.876130869709537,0.876130869709537,0.793396633482808,0.802701491974277,0.797995235448776,0.70688980384561,0,0.792983824330576,0.802701491974277,0.887562044038712,0.887562044038712,0.887562044038712,0.878353595078178,0.878607970438507,0.878607970438507,0.796958161952437,0.703428732442956,0.789072912173618,0.788886718712242,0.801187970105325,0.799247674869618,0.708062181211207,0.803549805426692,0.796958161952437,0.886174279520567,0.801185806998196,0.713378033737392,0.799928919955488,0.799928919955488,0.79842946735154,0.799894881085156,0,0,0.802382689640144,0.802382689640144,0,0,0,0,0,0,0,0,0,0
"Thromboxane signalling through TP receptor",0.854587290300298,0.771297629785898,0.758716378028922,0.768980635301267,0.768715325538756,0.76402616501719,0.851284483280934,0.851284483280934,0.769731547232317,0.771257194917602,0.768232323340046,0.774970524139339,0.771460230584227,0.854354072571236,0.773177616064734,0.768752322815031,0.855523160628744,0.850094196167947,0.850094196167947,0.767359959941219,0.774885792532093,0.771958561907188,0.687842507239173,0,0.766947150788987,0.774885792532093,0.861525370497121,0.861525370497121,0.861525370497121,0.852316921536588,0.852571296896917,0.852571296896917,0.770921488410849,0.670891598140221,0.762859735868303,0.762673542406927,0.773372270663141,0.773211001328027,0.686905603157743,0.777513131885104,0.770921488410849,0.860137605978977,0.775149133456608,0.680840899434657,0.772512147491527,0.772512147491527,0.772216291046225,0.773858207543568,0.685128462983539,0,0.776346016098555,0.776346016098555,0.691002842091978,0,0,0,0.689607178750935,0.689607178750935,0.687842507239173,0,0,0
