"","CAMK2G","PPP3CA","PRKG2","OR52M1","APC","RYR2","DYNC2H1","KAT6A","DSCAM","AGFG1","ARHGAP39","USP9X","DOCK3"
"G beta:gamma signalling through PLC beta",0.880848425242101,0.881616672319683,0.882605710021135,0.888113370474258,0.815705884545016,0.815253161001479,0.814548918801268,0.814512401496389,0.822219586526883,0.816003334449142,0.820787654978248,0.819993650961966,0.826070710868019
"G beta:gamma signalling through CDC42",0.837211896595403,0.836098018507269,0.832964757675822,0.907061481858569,0.834069115471324,0.832514791578268,0.835923454315809,0.835888141484934,0.843341115421498,0.837329898026922,0.840878083393726,0.841188599336292,0.844092071990041
"Cytosolic sulfonation of small molecules",0.53078988590714,0.616869202384706,0,0,0,0,0.613820397967221,0.536983975019958,0,0,0,0.619103478404186,0
"Phase 4 - resting membrane potential",0.692690536126374,0.693747807511074,0.695108933756325,0.790159176052411,0,0.688678156686301,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.678260891234566,0.710595717796099,0.684291412909223,0,0.655754612534623,0.68409353863454,0.709595123509625,0.680020035392576,0,0,0.65734006858264,0.711328990093487,0
"Norepinephrine Neurotransmitter Release Cycle",0.656695536233997,0.659282344857139,0.658756461325177,0.66690160406676,0.658175617820184,0.653276241837999,0.658126531307424,0,0,0.736025005739421,0.665443255425101,0.663204265139752,0
"Glucagon signaling in metabolic regulation",0.884964958556057,0.835110885519084,0.834370176941511,0.890510281367291,0.835241745873001,0.835510643224902,0.834358635494932,0.833730618914423,0.840213645733408,0.835468788980118,0.839120654330579,0.838514592145249,0.843153203703271
"Neurexins and neuroligins",0.886211325706072,0.854734536974151,0.854904302288384,0.857827373104242,0.854285290496,0.854682783688864,0.852089666964382,0,0.822396798078292,0.88626941788678,0.822789968716818,0.856326536460674,0.826245242785507
"MyD88 deficiency (TLR2/4)",0.792780936040998,0.793757108753975,0.795013828947823,0.707549687677263,0.792558034143653,0.702679778207361,0,0.798855124886168,0.800834665868917,0.79293598869546,0.799015182859589,0.795566485164389,0.8057280948266
"IRAK4 deficiency (TLR2/4)",0.792780936040998,0.793757108753975,0.795013828947823,0.707549687677263,0.792558034143653,0.702679778207361,0,0.798855124886168,0.800834665868917,0.79293598869546,0.799015182859589,0.795566485164389,0.8057280948266
"Arachidonic acid metabolism",0.775450185662295,0.775953194576626,0.775343570743575,0,0.730380043776198,0,0.774577805230709,0.735346759294101,0.778342971178824,0,0.686718414325072,0,0.690177489256835
"Prostacyclin signalling through prostacyclin receptor",0.793598058985414,0.794459284352562,0.788674506793423,0.874572118262483,0.793401404473536,0.787958456813771,0.79210441516305,0.792063478294926,0.799453367992893,0.793734853711891,0.799098204025175,0.798208104446025,0.805020649916732
