"","TP53","APC","CENPE","KIF5A","DCTN4","INPPL1","OBSCN","OR52K1","OR1M1","OR51T1","TSHR","LNPEP","ITGAL","MADD","ARF5","NEFM","KIF1A","RNF111","HECW2","KLHL25","FBXW8","TBP","UPF1","MED13","CSTF3","CNGB3","COL9A3","SLC32A1","PPFIA2","GEMIN5","TOR1A"
"IRAK4 deficiency (TLR2/4)",0.87142355433993,0.874259392650097,0.87320772706886,0.874332276258194,0.829159332252595,0.876260905463922,0.877373997636201,0.877728738339313,0.877728738339313,0.877728738339313,0,0.877018441387264,0.87650106726598,0.877621367226452,0,0.880375968090689,0,0.872396834385181,0.872671664324585,0.872671664324585,0.872671664324585,0.873241566386525,0.873052644322417,0.916182547394539,0.830497619608844,0,0.874973223237532,0.835382895425057,0,0.876045394175544,0
"Phase II - Conjugation of compounds",0.761307409613792,0.73287730662827,0.731609096234542,0,0,0,0.733706532777803,0,0,0,0,0,0,0.745587353828633,0,0,0,0.729102453912576,0.72920311560457,0.72920311560457,0.72920311560457,0.732504508402324,0.747622964171421,0.762746375247302,-0.0121066068548862,0,0,0.763115577189522,0,0.763000246351251,0
"Unwinding of DNA",0.774605102092652,0.77589813463871,0.777549551064426,0.77988041396441,0.779547268531937,0,0,0,0,0,0,0,0,0,0.777011445431187,0,0,0.771073034290205,0.771642676699481,0.771642676699481,0.771642676699481,0.778373311497207,0.776920395042655,0,0.775115930794415,0,0,0,0,0.78240354286956,0
"Nitric oxide stimulates guanylate cyclase",0.771855353815132,0.734408823608146,0.772812734527913,0.774425852023724,0.774283812014157,0.736177602215034,0,0.778493805042981,0.778493805042981,0.778493805042981,0.813100977842709,0.776799672157198,0.776342457858512,0,0.774707222051969,0.77914745858306,0,0.772715461684869,0.772958334632767,0.772958334632767,0.772958334632767,0.773461968967865,0,0.774707908953605,0.772385522343192,0.780803627119633,0,0.777769171103234,0.777183845536251,0,0.738080734027938
"Prostacyclin signalling through prostacyclin receptor",0.850179443772588,0.857231246273689,0.856124445723373,0.857307950902033,0.857138794944992,0.855270399473362,0.860509138575329,0.90512335325557,0.90512335325557,0.90512335325557,0.900259398270107,0.85606765022664,0.85959044366757,0.856702185256139,0.801917241513569,0.859601199740241,0.802534323413557,0,0,0,0,0,0,0,0,0.859904796278699,0,0,0,0,0
"Activation of kainate receptors upon glutamate binding",0.842419023103987,0.847475213566159,0.846681630027034,0.847530211307542,0.847408925333286,0.846069273044137,0.849825484690314,0.881814180730555,0.881814180730555,0.881814180730555,0.878326691850643,0.846640907268728,0.849166774179132,0.847095873210211,0.812610433291327,0.849092237361147,0.813052885219981,0,0,0,0,0,0,0,0,0.849239939613508,0,0,0.812632281279443,0,0.815286599480751
"Arachidonic acid metabolism",0.921722763632021,0.900454985835003,0.923056870775508,0.900350811895933,0.923574312263089,0.901581651114878,0.901983806998992,0,0,0,0.92365069829474,0.924712311095089,0,0,0,0.926257390207321,0,0.899507164873278,0.899654711571166,0.899654711571166,0.899654711571166,0.900795888622962,0.900507108046167,0.901929050710479,0,0,0,0.925315441286425,0,0.900158297165752,0
"Initial triggering of complement",0.776155927048635,0,0.778061539779004,0,0.777027157334977,0.781322533248625,0.782511388217191,0.784179160247981,0.784179160247981,0.784179160247981,0.779242927944771,0,0.781579041702055,0.782775595058067,0.777538890773352,0,0,0,0,0,0,0,0,0,0,0,0.77994720472606,0,0,0,0
"G beta:gamma signalling through PLC beta",0.850179443772588,0.857231246273689,0.856124445723373,0.857307950902033,0.857138794944992,0.855270399473362,0.860509138575329,0.90512335325557,0.90512335325557,0.90512335325557,0.900259398270107,0.85606765022664,0.85959044366757,0.856702185256139,0.801920078455355,0.859601199740241,0.802537160355343,0,0,0,0,0,0,0,0,0.859692486538975,0,0,0,0,0.812346807100749
"Chemokine receptors bind chemokines",0.905329925874432,0.906777441404467,0.906240632850966,0.906814643862107,0.88285452850175,0.907799086704621,0.908367249635475,0.909164290712869,0.909164290712869,0.909164290712869,0.906546983422326,0,0.907921674066867,0.906080798648767,0,0,0,0.905826723585191,0.90596700683194,0.90596700683194,0.90596700683194,0.88538046837041,0.88289936825541,0.88188627534271,0,0,0.907141806628472,0,0.884090916428765,0,0
"G-protein activation",0.861757715920043,0.868116895098336,0.867118803757436,0.868186065849413,0.868033524277279,0.8663486413586,0.871072835011575,0.911305071380404,0.911305071380404,0.911305071380404,0.906918850798802,0.867067586676388,0.870244373702894,0.867344896582021,0.820288846563761,0.870254073321307,0.818779518143186,0,0,0,0,0,0,0,0,0.870162329212437,0,0,0,0,0
"Thromboxane signalling through TP receptor",0.861757715920043,0.867451775732456,0.867118803757436,0.868186065849413,0.868033524277279,0.8663486413586,0.870407715645695,0.911305071380404,0.911305071380404,0.911305071380404,0.906918850798802,0.867067586676388,0.870244373702894,0.8676397980999,0.825274119341232,0.870254073321307,0.825830591869936,0,0,0,0,0,0.784783978400513,0,0,0.870429728058486,0.826245361593925,0,0,0,0
"Activation of Matrix Metalloproteinases",0.899558915978591,0.900495099580422,0.874318214108165,0.874964454967677,0.874872089092951,0.875855020067582,0.876494676962054,0,0,0,0,0.877564427523948,0.876573631937691,0.876854585692506,0,0,0,0.874037205768148,0.874195141355088,0.874195141355088,0.874195141355088,0.900603666780724,0,0.901816615778917,0,0,0.925062590707712,0,0,0,0.903696154539954
"Interaction between L1 and Ankyrins",0.944492909324783,0.919517287419231,0.945665734105095,0.946404955781643,0.946299300350289,0,0.88939124678216,0.92132092947962,0.92132092947962,0.92132092947962,0.890716230654885,0,0.919536793198873,0.919842303976204,0.946614250837277,0,0.920159924085774,0.886242997772041,0,0,0,0.918848219988363,0,0,0,0,0.919525839412626,0,0,0,0
"Complement cascade",0.863533553015818,0.83893613432889,0.860696721981186,0.840525620860443,0.859761428732226,0.862121148954619,0.862718171825296,0.863379736439503,0.863379736439503,0.863379736439503,0.861076806321404,0.840635186956999,0.863110408678737,0.862674889724789,0.860018412615439,0,0.838057106678633,0.839745624540222,0.839893033500107,0.839893033500107,0.839893033500107,0.86136212886823,0.837908642444684,0.86249423312466,0.8361414361734,0,0.861430482216979,0,0,0.861071793696119,0
"Presynaptic function of Kainate receptors",0.850179443772588,0.857231246273689,0.856124445723373,0.857307950902033,0.857138794944992,0.855270399473362,0.860509138575329,0.90512335325557,0.90512335325557,0.90512335325557,0.900259398270107,0.85606765022664,0.85959044366757,0.856702185256139,0.801917241513569,0.859601199740241,0.802534323413557,0,0,0,0,0,0,0,0,0.859692486538975,0,0,0,0,0.81233820851875
"Phase 4 - resting membrane potential",0,0,0,0,0,0,0,0.858740984007867,0.858740984007867,0.858740984007867,0.852155414563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794774245399829,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0.775547718827159,0.778843074279853,0,0,0,0.783014070330822,0,0.787142231151765,0.787142231151765,0.787142231151765,0.713794063286081,0,0,0.785113914949493,0,0,0,0.775968254084779,0.776392448417323,0.776392448417323,0.776392448417323,0.71213904921122,0.778843074279853,0.717905564516835,0.713303778145237,0,0.712699708219744,0,0,0,0
"Transcriptional regulation of pluripotent stem cells",0.874700312319724,0.877613670210663,0.826251154952518,0.829775224766603,0.827241321313689,0.87966989574689,0.832900093679927,0,0,0,0.877669593875015,0,0.87991662253615,0.881067546662662,0.827733540367365,0.833615344747905,0.828335910563381,0.874980219453184,0.875262562057048,0.875262562057048,0.875262562057048,0.876568020969678,0.877613670210663,0.878736418764875,0.876556374968939,0,0.87834701384568,0.833968854829528,0,0.87944849330997,0
"Regulation of Complement cascade",0.834920112142334,0.806051294566696,0.802393946477305,0.807895292775871,0.832441332661274,0.83572451830135,0.836486355147186,0.837058509433496,0.837058509433496,0.837058509433496,0.834119833038467,0.808035105659954,0.836714831122605,0.836159082921869,0.832769259447054,0,0.804745321224468,0.806899970878595,0.807088073516806,0.807088073516806,0.807088073516806,0.83448392165181,0.804555871993515,0.835928554308676,0.802300811228204,0,0.834843186287502,0,0,0.834113436629178,0
"Voltage gated Potassium channels",0,0.898524660404889,0.87286755801338,0.873481086680545,0.87339339629208,0,0,0.900021621525564,0.900021621525564,0.900021621525564,0.873536187840941,0,0,0,0.873654794406658,0,0,0.897508490636036,0.897658431650639,0.897658431650639,0.897658431650639,0,0,0,0,0,0,0,0,0,0
"Biosynthesis of specialized proresolving mediators (SPMs)",0.871645149793307,0,0,0,0,0,0,0,0,0,0,0.878954213767427,0,0,0,0.834265236598026,0,0,0,0,0,0,0,0.827119361047346,0,0,0,0,0,0.827902144565464,0
"CD22 mediated BCR regulation",0.732438013337987,0.61631229997081,0.617035098983047,0.619869919605528,0.619464744533985,0.744632253353932,0.624163754161728,0.62810003489382,0.62810003489382,0.62810003489382,0,0.623267449939113,0.742960334462088,0,0,0.631731273513639,0,0.733616139194341,0.734308944442245,0.734308944442245,0.734308944442245,0,0.61631229997081,0,0,0,0.62148565125353,0,0.622196900211835,0,0.627312116663363
"Molecules associated with elastic fibres",0.842075602433096,0.845713263223281,0.803401160997438,0.804607908723738,0.804464157525595,0.807169824212604,0.8076124408293,0.8087248693061,0.8087248693061,0.8087248693061,0.769788183074044,0.807885199736647,0.884862200059148,0.808386576642482,0.804892668481252,0,0,0.803751785843948,0.803997584737958,0.803997584737958,0.803997584737958,0.843451402463856,0.805417596936214,0.806395027721014,0.803279458604317,0,0.883495746414296,0,0,0.8070149381888,0
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.83241026651175,0.836651760957169,0.76191940219518,0.767004807776616,0.763360963883844,0.839645375033063,0.771554236523337,0,0,0,0,0,0.840004579204112,0.84168018463003,0.764077574908047,0.772640766092587,0.764954552586771,0.833865977823276,0.834277034284866,0.834277034284866,0.834277034284866,0.83512942294944,0.836651760957169,0.765126938070463,0.835112467790034,0,0.837719420019648,0,0,0.839323040036282,0
"Norepinephrine Neurotransmitter Release Cycle",0.715483136475121,0.718627716935899,0.71811097189237,0.719767274637196,0.719530542698035,0.721575663720962,0.724247302291985,0.725514945550446,0.725514945550446,0.725514945550446,0.718707892959215,0.783860877011281,0,0,0.720236221890938,0,0.721099821360684,0.715884430652081,0.71628921648743,0.71628921648743,0.71628921648743,0,0.718627716935899,0.721269577120631,0.714526696078394,0,0,0.785476698963198,0.783024793615677,0,0.725054587982332
"Acetylcholine Neurotransmitter Release Cycle",0.684477492139623,0.686604628330116,0.686807123051725,0.688275469984269,0.688065602182149,0.689218044647073,0.692247107950316,0.692710300159428,0.692710300159428,0.692710300159428,0.686675706047198,0.745095785434233,0,0,0.688691201506605,0,0.689456800450585,0.68417264781658,0.684531498903151,0.684531498903151,0.684531498903151,0,0.686604628330116,0.689607292472758,0.683346735834066,0,0,0.746528245299463,0.744354580063947,0,0.692302183572575
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.836990723263002,0.78867413867776,0.729707326988841,0.787864830032458,0,0.727382213379569,0.791785113060047,0.730829312568903,0.730829312568903,0.730829312568903,0.724872748280112,0.728358553699409,0,0,0,0,0,0.72904274487114,0.728884681531787,0.728884681531787,0.728884681531787,0.787362326539092,0.730931004528999,0.790082675235105,0.723476167077978,0.733198132643708,0,0.729772491260025,0.728918840198587,0,0.73042647310005
"NCAM1 interactions",0.918487803803966,0.919424281821256,0.919513430723077,0.920159874815481,0.920067479893097,0.919856686921206,0.896040603367693,0.921695250007099,0.921695250007099,0.921695250007099,0.919038502049618,0.921704009652248,0.921003733577245,0.894495650061283,0.920342901851316,0,0,0.919047291233662,0.919205276488935,0.919205276488935,0.919205276488935,0,0.918706122635854,0,0,0,0.943957388160295,0.921412473613191,0.921953908745103,0,0
"Aspirin ADME",0.782225936198806,0,0,0,0,0,0,0,0,0,0,0,0.755554430293295,0,0,0,0,0,0,0,0,0.750701744055203,0,0.784932001664508,-0.0227672363772371,0,0.75450206363011,0,0,0.785409422258259,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.818713177187742,0,0,0,0,0.756881323099287,0,0,0,0,0,0.826588715494039,0,0,0,0.757100225620268,0,0.750629576431251,0.751074228489387,0.751074228489387,0.751074228489387,0.754513320871947,0.753643041294973,0.757928259068653,0,0,0,0,0,0,0
"Caspase-mediated cleavage of cytoskeletal proteins",0.741072814271178,0.839086382376248,0.745077592791387,0.747601771288983,0.747240995656394,0.751930798793611,0.754429260713957,0,0,0,0,0.753631174292514,0.750896797365457,0.753411437985806,0.738247189259651,0.76116752467209,0.74805947897016,0.741684380082958,0.547076143120926,0.547076143120926,0.547076143120926,0.74515354898684,0.743837324826366,0,0.743199081648157,0,0.747467377753697,0,0,0,0
"Serotonin Neurotransmitter Release Cycle",0.82317984518739,0.826275094232657,0.825766455760028,0.82739677482915,0.827163756683229,0.829176794343618,0.831806520896777,0.833054277675282,0.833054277675282,0.833054277675282,0.826354012473967,0.890484892315896,0,0,0.827858365352124,0,0.828708416882866,0.823574843958642,0.823973279611991,0.823973279611991,0.823973279611991,0,0.826275094232657,0.828875509555628,0.822238409195611,0,0,0.892075365644969,0.889257817919323,0,0.832601142085031
"Translocation of ZAP-70 to Immunological synapse",0.808369925252725,0.814024207281625,0.882515584548798,0.884418326550481,0.884146371556028,0.816554743887431,0.819294132138551,0.823121969928381,0.823121969928381,0.823121969928381,0.813260281026326,0.817836497885207,0.819002921968587,0.737008502750138,0.812129324245414,0.749889498646765,0.813121417622576,0.810016719220532,0.810481732644563,0.810481732644563,0.810481732644563,0.813487832645075,0.813168175710697,0,0.811426828589015,0,0.816417803387273,0.819692736006382,0.818572050279827,0,0.820551293028859
