"","MMRN1","TP53","AR","PIP5K1C","APC","ELMO1","GSN","SOX9","RGS4","CSNK1G1","SCN2A","CACNA2D3","DLGAP1","TAF6L","NEFH","DIAPH3"
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.854820754620065,0.851255209520077,0.900705714101397,0.858590460518858,0.858097506584212,0.860006646906902,0.857106263865287,0.860485624663056,0.860586049480924,0.861200188488118,0.856839161560251,0.85589274328969,0.857977454607351,0.856735748211925,0.860397049948311,0.863473646203249
"Thromboxane signalling through TP receptor",0.835540581944397,0.835735760955515,0.889881458797709,0.838670414948421,0.83832999312032,0.84145325541762,0.837401640593308,0.842400760599932,0.842400760599932,0.842873461786515,0.837684234770584,0.836558082756575,0.838333976697461,0.837561182253414,0.841917799673613,0.844727112288342
"Glucagon-type ligand receptors",0.893169351650662,0.890563875236357,0.924627231407222,0.895616670339049,0.895277105240698,0.896592192464631,0.894444904541981,0.89714070227566,0.89714070227566,0.897414348524107,0.894410310147302,0.893758381862451,0.894975836924219,0.894339075167061,0.896861116674046,0.898980391187283
"Diseases associated with O-glycosylation of proteins",0.695079786354537,0.670847165510874,-0.0179857148862528,0.673034254858281,-0.0179857148862528,0.673686184594463,0.67396494998606,-0.0179857148862528,0,-0.0179857148862528,0,0,0.627192982636507,-0.0179857148862528,0,0.628018773366597
"G beta:gamma signalling through PLC beta",0.825628213386667,0.824211266621971,0.886202990945578,0.886593774081191,0.829686869146479,0.832219179546187,0.831972186860018,0.833275381046386,0.832854502334525,0.833802309776415,0.8316178986305,0.830362556212484,0.829106751815068,0.827880613814146,0.832737015595266,0.836817855855927
"Sialic acid metabolism",0,0,0.56001823554545,0,0.60090850737643,0,0,0,0,0,0,0,0,0,0,0
"Keratan sulfate biosynthesis",0.898091139169635,0,0,0,0.896573493833668,0,0,0,0,0,0,0,0,0,0,0
"Blood group systems biosynthesis",0,0,0,0,0.771637645390412,0,0,0,0,0,0,0,0,0,0,0
"Erythrocytes take up carbon dioxide and release oxygen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Formation of the anterior neural plate",0,0.621588441169028,0.636032999025431,0.636820626462379,0.633589544422211,0,0,0.651372682510012,0,0,0,0,0,0.625689663584395,0,0
"Activation of Matrix Metalloproteinases",0.906978780122367,0.937035329517616,0.908244551043421,0.908468448845883,0.907006085387806,0.909000831661013,0.908296270547175,0.911668652096041,0,0.909364012404692,0,0,0,0.83902079148267,0,0
