"","FN1","KRAS","ERBB2","A2M","F2RL3","GNAS","CXCR5","ICAM1","GRM4","PCM1","APC","ATM","TRAF2","MAML3","GRIN2C","ATP1B3","OR8J3","PRKCH","ANK3","CACNA2D3","DLC1","CBX6","RYR1","MCF2L","LPXN","KCNB1","ROR1","PLCH2","NEFH","DLGAP2","EVC2","ATR","CPSF2","TAOK2","SALL4","GOLGB1","ENPP6"
"Glucagon-type ligand receptors",0.87897342598742,0.878779435584625,0.879691979451577,0.879480040072094,0.911997036538017,0.925482458679393,0.911433494192247,0.880086540642676,0.911588546055905,0.879190285035381,0.879508818548795,0.875415724334342,0.878930831122121,0.881092355633067,0.880929243679187,0.878511508790319,0.916338338775453,0.883293305896606,0.879969898078397,0.87776141866491,0.882229754056488,0.877698729497903,0.880034022787792,0.882378191033053,0.883040342405847,0.882594618726163,0.880034022787792,0.878965833812394,0.881331337010255,0.879162187800382,0.883436686564827,0,0,0.884459125852972,0,0,0.845402425637019
"Adrenaline,noradrenaline inhibits insulin secretion",0.886918820788989,0.886698629483604,0.887278956794353,0.886850060019435,0.924402695304838,0.924787006285406,0.923763039306568,0.888182275915903,0.923939032921559,0.886700205875317,0.886882725400095,0.885787043104297,0.886870472938489,0.88932393917614,0.888308902584477,0.886199409322059,0.929330346327554,0.891178356510293,0.888049879270904,0.887318286942514,0.889971158295093,0.885371831240281,0.890199207982399,0.890139643597285,0.890891227041811,0.891029102249848,0.888122664848262,0.886810074313373,0.889495069186953,0.887418526052816,0.89134110258457,0.886262827462727,0.88561995221566,0.893145435079904,0.889743915535696,0.886444552789845,0.847229059919953
"Transcriptional regulation of testis differentiation",0.745038648180442,0.743364633847733,0.74661890984216,0.667782318372637,0.668634764310396,0.74573615236108,0,0.669116150366092,0,0.74676295583858,0.746216097571355,0.742845787089053,0.744944972433298,0.673341882619121,0.750587319387287,0.750901503161693,0.75453904160172,0.676168552785251,0,0.749251885245777,0,0,0,0,0,0.754249855956095,0,0.673530177873281,0,0,0.754854368135266,0,0.668775962788341,0,0.750512373659685,0,0
"Prostacyclin signalling through prostacyclin receptor",0.845931046606047,0.845614018394557,0.847105340366562,0.846758979095831,0.899899779280281,0.904469494830972,0.898978811957133,0.847750150764064,0.899232204982332,0.846285447829666,0.846806010231734,0.840116883761694,0.845861436080115,0.84939390077901,0.849127335576474,0.845176159865549,0.906994538938716,0.852990796891271,0.84755952801673,0.84395032741462,0.851252690609505,0.843847877838714,0.847664323623311,0.851495273276078,0.852577392094474,0.851848969559375,0.847664323623311,0.84591863911766,0.849784455350255,0.846506350822696,0.853225116301682,0,0,0.854896034523449,0,0,0.79110855571302
"O-linked glycosylation",0.856267558271989,0.838188140139019,0.83868449233311,0.856543116545506,0.83828200361839,0.799432391634557,0.837975480841879,0.818491099888738,0.838059816878218,0.819415933510739,0.817913174731181,0,0,0.818774494536912,0.839665975294124,0,0,0.801609557498898,0.838304435417343,0,0.801031068827295,0,0,0.801111806884577,0.83997451598438,0,0,0,0,0.801200612050635,0,0.838287812461721,0.837601430227794,0,0,0.838616343091339,0
"Inwardly rectifying K+ channels",0.894126087864784,0.893919930526473,0.894889708474208,0.894664476412581,0.929220915002845,0.929580731793518,0.928622027695248,0.895309016253284,0.92878680429786,0.894959314979407,0.894695059854194,0.89034524977828,0.894080821480833,0.896377915220783,0.896204573005013,0.893635199560505,0.933834500526555,0.898716907467559,0.895185057953084,0.892838064333608,0.897586650437542,0.892771443348112,0.895253204517133,0.897744397272204,0.89844807829254,0.898577165977717,0.895253204517133,0.89411801951412,0.896631885334341,0.894593944245174,0.898869280865932,0,0,0.899955846794925,0,0,0
"Thromboxane signalling through TP receptor",0.835811285841135,0.835522586643807,0.836880647032982,0.836565235920591,0.884957479268675,0.885461360525116,0.884118807764619,0.83746783844826,0.884349558090087,0.836978122787881,0.835763960131418,0.830029452699206,0.835747895574169,0.838964706211836,0.837633862340592,0.835123854287234,0.891418265231541,0.891418265231541,0.836450145056975,0.834007559800447,0.839813293942452,0.833914264916085,0.837133870996244,0.840034199901566,0.841863727037637,0.842044499215822,0.837389680651112,0.83579998706138,0.839320361598786,0.835767908839179,0.842453571890345,0,0,0.843131075847736,0.786360432888879,0,0.839921247613157
"Presynaptic function of Kainate receptors",0.836753319560422,0.836443758469656,0.837899954604906,0.837561751350809,0.889450900243751,0.889991192814025,0.888551624914992,0.838529577467331,0.888799049650175,0.838004474123106,0.837607674739335,0.831076100540926,0.836685348605298,0.840134611433178,0.840779425496049,0.836016213037017,0.896378553553418,0.843646788089791,0.838343444550919,0.834819253218134,0.841949620276486,0.834719216687263,0.838445771855258,0.842186489274713,0.843243120418631,0.843436955500879,0.838445771855258,0.836339899536597,0.84051596708134,0.842447025525268,0.843875588460374,0,0,0.845507150726961,0,0,0
"Voltage gated Potassium channels",0.874395325836206,0.874226515386456,0.874789562795346,0,0,0.874671317510212,0.842720598276728,0,0.842855524409473,0.875077607850107,0.848005294361577,0.841370815295916,0,0.849383288342415,0.876359801403088,0.876484119089277,0.877923437090789,0,0.873262002092306,0.87583139065736,0,0,0.846874367753133,0,0,0.828413340367524,0.879169871719106,0,0,0,0,0.841735577071547,0,0,0,0.844511652654265,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.662339759567462,0.670222140710784,0.672598475468185,0,0,0.662342763818681,0,0.676904715293143,0,0.672769038593518,0,0.669607780527727,0.662228839246192,0.679523935264633,0,0.669281895370104,0,0.673589060721925,0,0,0,0.667165355275308,0,0,0,0,0,0,0.67662494599113,0,0,0.670699331720733,0,0,0,0,0.670185484890856
"Bile acid and bile salt metabolism",0.636830050327159,0.594175117941244,0.592005349179126,0.63737229070547,0.590168002435041,0.590968648358957,0.589564830466459,0.595574141700372,0.589730785941744,0.555724425905987,0.594955792830452,0.590341217858494,0.594337159968913,0.595261049096469,0,0,0,0,0,0,0,0.592784769313185,0,0,0,0,0,0,0,0,0,0.590789864926404,0.596361068149824,0,0.594507304536717,0,0
"Activation of G protein gated Potassium channels",0.87919151903441,0.878942931010609,0.880112305748995,0.879840717099494,0.921509458310216,0.921943331514328,0.920787309811914,0.880617914198439,0.920986000241019,0.880196238456474,0.879877595133396,0.874632520184611,0.879136936058984,0.881906810747799,0.881697791756708,0.878599597570601,0.927072598178895,0.884727207368539,0.880468443172411,0.877638398360424,0.883364324224133,0.877558065643364,0.880550615458029,0.883554538039517,0.884403048578434,0.88455870470408,0.880550615458029,0.879181790079994,0.882213052228947,0.879755668212785,0.884910941803081,0,0,0.886221141474999,0,0,0
"G protein gated Potassium channels",0.87919151903441,0.878942931010609,0.880112305748995,0.879840717099494,0.921509458310216,0.921943331514328,0.920787309811914,0.880617914198439,0.920986000241019,0.880196238456474,0.879877595133396,0.874632520184611,0.879136936058984,0.881906810747799,0.881697791756708,0.878599597570601,0.927072598178895,0.884727207368539,0.880468443172411,0.877638398360424,0.883364324224133,0.877558065643364,0.880550615458029,0.883554538039517,0.884403048578434,0.88455870470408,0.880550615458029,0.879181790079994,0.882213052228947,0.879755668212785,0.884910941803081,0,0,0.886221141474999,0,0,0
"Interaction between L1 and Ankyrins",0.880929787949762,0.876533808107098,0.881807151356866,0.83387434939914,0.838245524140609,0.880100113425711,0.837557431385936,0.834614894721874,0.837746751788889,0.880670196102061,0.882276059576139,0.881097408783835,0.833203757912777,0,0.884702967827183,0.882967923160704,0.88498748941136,0.838530398062005,0.845596967256206,0.882376246392416,0.837231787015473,0,0.883902714405667,0.837413030552657,0.839933834030172,0.884826933150661,0,0,0,0.885978954681378,0,0.881609221024646,0,0,0,0.92388765270624,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.87919151903441,0.878942931010609,0.880112305748995,0.879840717099494,0.921509458310216,0.921943331514328,0.920787309811914,0.880617914198439,0.920986000241019,0.880196238456474,0.879877595133396,0.874632520184611,0.879136936058984,0.881906810747799,0.881697791756708,0.878599597570601,0.927072598178895,0.884727207368539,0.880468443172411,0.877638398360424,0.883364324224133,0.877558065643364,0.880550615458029,0.883554538039517,0.884403048578434,0.88455870470408,0.880550615458029,0.879181790079994,0.882213052228947,0.879755668212785,0.884910941803081,0,0,0.886221141474999,0,0,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0.781049150317832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G beta:gamma signalling through BTK",0.811540712236496,0.811173744922625,0.812899983781973,0.812499062789637,0.874010739018687,0.874651225562805,0.872944698545033,0.813646366378068,0.873238006693775,0.813023885809667,0.811480556237683,0.804810687449827,0.811460136480799,0.815549044139223,0.815240488897761,0.81066691378766,0.882223083535854,0.819712532613595,0.813425716243422,0.809247985044191,0.816627689189053,0.809129397346584,0.813547019524515,0.816908484103567,0.819234007225874,0.819463787846205,0.813547019524515,0.811359477096535,0.816001119874868,0.81237351305065,0.819983762622502,0,0,0.821917888196558,0,0,0
"Collagen biosynthesis and modifying enzymes",0.890986411922673,0.888920157464656,0.892067762894254,0.891889515566839,0.891445421224337,0.891253151996443,0,0.861729562795337,0,0.860800348932551,0.891913719122457,0.891101868568437,0,0.893245520950998,0.860322610828605,0.860999428598734,0,0,0.861756040809777,0.861752167189863,0,0,0,0,0.892179081360366,0,0,0,0,0,0,0.891454403054453,0.860201355471366,0,0.894033730375403,0.86223832300949,0
"G-protein activation",0.849929359192905,0.849601978948927,0.851141997576135,0.850784326450327,0.905660351671616,0.906231744907886,0.904709311682048,0.851807863191885,0.904970978837858,0.851252533513595,0.850832893310273,0.843372853452106,0.849857475650252,0.853505287147953,0.851996131614106,0.849149822873034,0.912986778985543,0.857219633960377,0.851611015973662,0.8478839628886,0.855424772689482,0.84777816799105,0.851570361975397,0.855675276492264,0.856792730112921,0.85699772285397,0.851719233507645,0.849916546558483,0.853908594633492,0.850119829536282,0.857461604684018,0,0,0.8582298832692,0,0,0.854589989704238
"Nitric oxide stimulates guanylate cyclase",0.783773606635633,0.783429703551328,0.785047446727727,0.784671723984542,0.78373562947464,0.784335860856706,0.782736590614704,0.785746918498552,0.783011464079428,0.785163561400246,0.719857833773951,0.781280068298535,0.783698095139494,0.787530011231244,0.787240848967452,0.847081327184397,0.791431820666803,0.726566912432866,0.78554013642563,0.787169873482659,0.789546372970085,0.785327343348852,0.790193199222557,0,0,0.791198709734367,0,0,0.792493057132998,0,0.789954607841976,0.714062090492926,0.78174498471664,0,0.719498985119356,0.786556726091759,0
"Phase I - Functionalization of compounds",0.875263312882549,0.874064949459028,0.874868855692434,0.875596047211431,0.874243489524933,0.89721055779431,0.873500844490041,0.874923430771384,0.87360267955416,0.873854586281321,0.875928451180393,0.897937149068343,0.89506483789903,0.876654984876914,0,0,0.8525308349607,0.851562742950097,0,0,0.85086422267903,0.8753660462842,0.877008409949453,0.850961713213291,0,0,0.900308085394891,0,0,0,0,0.874185302961681,0.875570294928757,0,0.876484030199305,0,0.899188589508404
"Adenylate cyclase inhibitory pathway",0.82410455269157,0.823725003981244,0.822342803908855,0.821469591741672,0.820739498892283,0.891289651882523,0.889524616948218,0.823961136785381,0.889827981104575,0.823008755892384,0.751379152070138,0.820942151948326,0.751203122967587,0,0.826719645342174,0.82615279705139,0.899121109398781,0.759738450749931,0.752126360330184,0.825531581348739,0.756547844123445,0.753672883478374,0.829978007313598,0.756838266031995,0.759243519220876,0.832299269266603,0,0.75615201544307,0.760780201554773,0.757028223000675,0.758909247937192,0.821762272158431,0.820654133621814,0,0.827762702040611,0.753248319726068,0.756560286230883
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G beta:gamma signalling through PLC beta",0.811540712236496,0.811173744922625,0.812899983781973,0.812499062789637,0.874010739018687,0.874651225562805,0.872944698545033,0.813646366378068,0.873238006693775,0.813023885809667,0.812553502391493,0.804810687449827,0.811460136480799,0.815549044139223,0.815240488897761,0.81066691378766,0.882223083535854,0.819712532613595,0.813425716243422,0.809247985044191,0.817700635342863,0.809129397346584,0.813547019524515,0.817981430257377,0.819234007225874,0.819463787846205,0.813547019524515,0.811050625981573,0.816001119874868,0.811897788743718,0.819983762622502,0,0,0.821917888196558,0,0,0
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0.634963223734312,0,0.639985900186253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633302536006934,0,0,0,0
"Phase 4 - resting membrane potential",0,0,0,0,0.790232921846312,0.791100141432596,0.78878950170421,0,0.789186641306504,0,0,0,0,0,0,0,0.801352446651335,0,0.795341625249543,0.797696283700564,0,0,0.803517181793878,0,0,0,0,0,0,0,0,0,0.707579400011705,0,0,0,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0.651080138509101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664229939299987,0,0,0,0,0,0,0,0,0,0
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0.465218077958986,0,0.460527928909137,0.466397867282113,0.45653028845619,0.458272308324915,0.455217926122054,0,0.455579006752872,0.459685215912003,0.460101388700222,0.456858167259044,0.456480982418498,0.538234930941357,0,0,0,0,0,0,0,0.462174768589509,0,0,0,0,0,0,0,0,0,0.457834319242084,0.530336694726554,0,0.465971603589039,0,0
"Synthesis of bile acids and bile salts",0.586743355623801,0.586799725367441,0.583375639598903,0.585742618191842,0.580339730003855,0.581662664093721,0.579343088747775,0.58911137920617,0.579617302540783,0.523266358428454,0.588089660647425,0.580593059252695,0.587067472839814,0.588594045804953,0,0,0,0,0,0,0,0.584630621205099,0,0,0,0,0,0,0,0,0,0.581334373837241,0.576582249302656,0,0.587509704277195,0,0
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.791133278898815,0.870686975315498,0.792873363226075,0.792360120425138,0.791081401537562,0.791901326445833,0.693849999968726,0.793828851967031,0.694225481169949,0.791658435410341,0.792429811796438,0.790092180942,0.791030129082936,0.700397883129705,0.797243125159117,0.796215542318029,0,0.801594512057627,0,0,0.707612072280903,0.699754118498035,0,0.707971534546958,0,0,0.703002250230201,0.798689300253171,0.708551019097134,0,0,0.791107263690522,0.789735693647944,0,0.615304468205497,0,0
"Presynaptic depolarization and calcium channel opening",0.773549205316914,0.772108495739531,0.77664917868478,0.693034669945354,0.776831842223297,0.777672122757219,0.775433260056955,0.694539864520809,0.775818063032275,0.775495041483822,0.779229915284717,0,0,0,0.7841627249622,0.78016528407178,0.786148671003991,0,0.777338908636899,0.664949450203469,0.699858826053551,0,0.779023945585546,0.7002272124043,0,0.788295801843564,0,0,0,0,0,0,0.772116923325041,0,0,0.778762060662864,0
"FGFR1 ligand binding and activation",0.820133857913364,0.890834604579343,0.816377037884368,0.815920910125614,0.820087753604691,0.814498767716382,0.818874919502002,0.816943200374777,0,0.817165990132311,0.815982846053282,0.817987925449086,0.815386912732364,0,0.819977524043885,0.820567980973184,0.829430936851103,0.824127673768668,0.743761196403034,0.746234112236671,0,0,0,0,0,0,0.744527942655771,0.821262764875735,0,0,0,0.818890047053496,0.817671109021918,0,0.826711132867413,0.744995337200721,0
"Assembly of collagen fibrils and other multimeric structures",0.87114754279315,0.868292844896968,0.872641516747633,0.910791954294813,0.871781701322225,0.872175116029876,0.830238560559893,0.832376504008458,0.830418723188833,0.830038037786177,0.872428692799661,0.871307055501029,0.831033626466704,0.872760081512758,0.8320586220829,0.829386311184624,0,0.830415877831961,0.831017900029826,0.827945099101828,0.829717495053397,0,0,0.829889971509332,0.872433125974019,0,0,0.829255164264406,0,0,0,0.87179411044804,0,0,0.87535766006223,0.831684211952613,0
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",0.480193993346182,0.473342378548828,0.476121064929424,0.472133579665994,0.472649511418493,0.474162282580023,0.471509855133165,0.475985747775956,0.471823417782533,0.469369759374047,0.474817415670292,0.472934241579348,0.473648546979956,0.475394178584224,0,0,0,0,0,0,0,0.477551181554875,0,0,0,0,0,0,0,0,0,0.473781932582031,0.468409521967211,0,0.480848355482392,0,0
