"","COL14A1","SPATA13","PIP4K2A","CDH17","EPHA6","DST","DNTT","SLC32A1","SYNE1","DNAH10","APC","KCNK9","APOB","NCKAP1","DNAH8","SLIT1","ADAMTS13","ADAMTS15","CD22","ZNF480","TP53","ST8SIA1","PLXNA3","BRCA2","PDE4DIP","TUB","CCDC85A","SSTR4","MED17","CACNA1C","OR10A3","ATXN1","TG","DCAF4L2","TBP","ZBTB2","HTR7","SOX2","STAU2","CUL3","RHOBTB1","COG5","TTN","SIRPB2","ACTA1","KCNQ3","MYH2","PIP5K1B","PHIP"
"Peptide hormone metabolism",0.749164725488019,0.712992284787675,0.749350970106506,0.711297842430628,0.750295144237281,0.678686967201429,0.712557534651572,0.713652513612118,0.748500660538564,0,0.742660124477371,0,0.747839764733786,0.748056321160642,0.715883157742259,0.74465720010192,0.709660745166347,0.709660745166347,0.680124376060378,0,0.747999149195695,0,0.749882553339724,0.70873932510897,0.754212202443811,0.786777748872577,0,0.781470917388109,0.750536785723843,0.747056159372454,0.751396661436481,0,0.678925931725701,0,0.74767212175624,0,0.78017715182726,0.784045801189007,0,0.714589210518887,0.747500491628616,0.711161284730006,0.750602918945671,0,0.784942497981557,0.708454503273155,0.708625407325066,0.749255389107004,0
"Activation of Matrix Metalloproteinases",0.687516386694894,0.639618430820972,0.571712585813853,0.577825759371276,0.635828411921584,0.636999947804742,0.639846253143154,0,0.572880787053974,0,0.574413561505494,0,0.629535631218284,0,0,0.579499828756229,0.634096097265777,0.634096097265777,0,0,0.629422785430033,0,0.636090586167469,0.57127501016783,0,0.691797101441117,0,0.68325625588076,0.634258491714398,0,0,0,0,0,0.631762122912752,0,0,0.577963783375361,0,0.571501035759054,0.628728872839659,0,0.572751609707556,0,0.631308580870199,0,0.573131321705739,0.571564413249363,0
"FGFR4 ligand binding and activation",0,0,0.771694916594085,0,0.772594174840245,0,0,0,0,0,0.768182569161806,0,0.766502474268292,0.771018895483126,0,0.687947802953361,0,0,0,0,0.762342724701257,0,0,0.769551427485405,0,0,0,0,0,0.682026395172065,0,0,0,0,0.672994833424633,0,0,0.765910315067552,0,0.763769256116135,0.77000166713746,0.683065414983816,0.775213610093283,0,0.769915894202827,0,0,0.771457783870403,0
"Drug ADME",0.714460376011256,0.679432572221377,0.752880593027881,0.634276403072817,0.676357051545807,0.71796722434358,0.680296496085431,0.793864954661525,0,0,0.716434232689234,0,0.791325608330191,0.713714503359299,0.675358936850327,0.635482267107464,0,0,0.63498568530924,0,0.788334834298433,0,0.670822325777904,0.717050344731167,0.597222440706606,0.635909256478778,0,0.708211009961615,0.752841229282045,0.711154925436196,0.635137449107635,0,0,0,0.790019903603605,0,0.709341980398973,0.755662241528577,0,0.67387193665556,0.674354878076124,0.675385122302655,0.716235440253069,0,0.74828022448554,0.633919425092485,0.713506493383085,0.676682907692639,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0.552473307114464,0.546865160375105,0.556542837221182,0.545547961023761,0,0.718061375104099,0.55094966626776,0,0,0.631473176635874,0,0.624847339194405,0.544095061758352,0,0.637391134638924,0,0,0,0,0.702675796269593,0,0.545934943805256,0.547641464263047,0,0.554088630253247,0,0.541481899336166,0.633224770452079,0.546277390326367,0.552507070341801,0,0.556958842852046,0,0.629540000656192,0,0.543799443287717,0.63304346694115,0,0.542308497448673,0.541445179146046,0.54428826820631,0,0,0.629401822088323,0,0.543668815194947,0.54449985384338,0
"Phospholipase C-mediated cascade; FGFR4",0,0.682811747357762,0.771407654026655,0,0.772594174840245,0,0,0,0,0,0.768182569161806,0,0.766502474268292,0.771018895483126,0,0.687884672473222,0,0,0.683487331785594,0,0.762342724701257,0,0.675722646966872,0.769551427485405,0,0.682235724355365,0,0.668567107784874,0,0.682026395172065,0.680520947054652,0,0,0.683577935423621,0.672994833424633,0,0.671079862270345,0.765910315067552,0,0.763769256116135,0.769555570696662,0.683065414983816,0.774767513652485,0,0.769915894202827,0,0.673265638621293,0.771170521302972,0
"IRS-mediated signalling",0,0.718467229106126,0.775288176054788,0.717729957907976,0.77661912857388,0.721910282723259,0.721341202208641,0,0,0,0.772019613108207,0,0.773667079226226,0.773912707278249,0.71674824724389,0.719556936504939,0,0,0.719803333981028,0,0.779021218920075,0.718466684270376,0.720734783140845,0.771651320277118,0.669315361395564,0.722703061494154,0,0.711244645926466,0.777419650665007,0.773227333916822,0.718641664096212,0,0,0.724589583894062,0.773409711218217,0,0.716968784220089,0.778222554277061,0,0.771975767851102,0.772134845527089,0.772233125120565,0.775792781342659,0,0.77391127579211,0.715407320516236,0.715689840108478,0.775141438673924,0
"Activated point mutants of FGFR2",0,0,0.760019239448611,0,0.760994004528985,0,0,0,0,0,0.754293611640476,0,0.75439081014852,0.759286455762311,0,0.661677695343306,0,0,0,0,0.749881784361592,0,0,0.749890272578362,0,0,0,0,0,0.755864433839235,0,0,0,0,0.751246254288236,0,0,0.759677038245671,0,0.751428095463232,0.756172128503566,0.756990695660726,0.756339266990424,0,0.758090840224467,0,0,0.75976219571346,0
"Phospholipase C-mediated cascade; FGFR2",0,0.656130591465217,0.758454859233674,0,0.760994004528985,0,0,0,0,0,0.754293611640476,0,0.75439081014852,0.759286455762311,0,0.661610227569215,0,0,0.656862901801992,0,0.749881784361592,0,0.648446249907262,0.749890272578362,0,0.655506202297115,0,0.640689890979625,0,0.755864433839235,0.653647442546521,0,0,0.656961113036508,0.751246254288236,0,0.643413630615539,0.759677038245671,0,0.751428095463232,0.756172128503566,0.756990695660726,0.755855713756605,0,0.758090840224467,0,0.645782937174036,0.758197815498522,0
"PI-3K cascade:FGFR4",0,0.685591989832125,0.770887355662623,0.685073371690794,0.772038518773143,0.688672968732833,0.686466563252698,0,0,0,0.767895306594376,0,0.766215211700862,0.770211334551665,0,0.689670073158315,0,0,0.685178488566138,0,0.762055462133827,0.682066136483661,0.678502889441235,0.769264164917975,0,0.690144394809908,0,0.671347350259237,0.680699266206698,0.673351084377404,0.683301189529016,0,0,0.691960955759068,0.672845654732017,0,0.678019681739512,0.765728528697341,0,0.763481993548705,0.769154291609101,0.679641835132221,0.774767513652485,0,0.769360238135724,0,0.677489081961936,0.770650222938941,0
"Insulin receptor signalling cascade",0,0.722160955165124,0.774701139504887,0.717418965179945,0.775925034101079,0.721080853020742,0.719492459274022,0.717366793725222,0,0,0.770751472473446,0,0.773356086498195,0.773410460110909,0.71623114489458,0.719245943776908,0,0,0.71821135513052,0,0.778376519288248,0.718143747852192,0.720423790412814,0.771340327549087,0.719872322448202,0.721747369134296,0,0.710933653198435,0.777108657936976,0.772916341188791,0.717406127432915,0,0,0.724266647475878,0.773098718490186,0,0.716657791492058,0.77791156154903,0,0.771664775123071,0.771632598359749,0.764927238010489,0.775481788614626,0,0.773126217940769,0.716737116342876,0.715378847380447,0.774554402124022,0
"Visual phototransduction",0.684824676111139,0.688400137404914,0.685750164234736,0.645984205891338,0.689337736034597,0.688558689272334,0,0.688504607612815,0.682062727585279,0,0.725476044065154,0,0.802245246625461,0.688652707003455,0,0.691939943264625,0.685332150713519,0.685332150713519,0.691295500719429,0,0.723586243143074,0,0.689067130972389,0.685646677729932,0.688994842292444,0.721281598466264,0,0.723996229500002,0.691421844041786,0.724867577198066,0.729000508826796,0,0.728982527297169,0,0.689684507983224,0,0.725088930780508,0.691407584238018,0,0.681825310472552,0.688030904134653,0.685159402747629,0.68647326799851,0,0.721161798844616,0.687857685384189,0.686546409819879,0.685647044239402,0
"FGFR2 ligand binding and activation",0,0,0.760019239448611,0,0.760994004528985,0,0,0,0,0,0.754293611640476,0,0.75439081014852,0.759286455762311,0,0.661677695343306,0,0,0,0,0.749881784361592,0,0,0.749890272578362,0,0,0,0,0,0.755864433839235,0,0,0,0,0.751246254288236,0,0,0.759677038245671,0,0.751428095463232,0.756172128503566,0.756990695660726,0.756339266990424,0,0.758090840224467,0,0,0.75976219571346,0
"Extracellular matrix organization",0.750265710234007,0.734080165603527,0.730943406017272,0.711533019512847,0.731651063280899,0.733365306543844,0.733119404921244,0.690746889006941,0.710935559629631,0.712930659558216,0.743395216572612,0,0.731812877538856,0.731078682043131,0.710985901894262,0.714945047756691,0.731534792695363,0.731534792695363,0.733267080664874,0,0.710567040155043,0.712180960604405,0.732297111744801,0.709986100372043,0.712164758317947,0.753013643752186,0,0.749262923701426,0.732481890741509,0.72809829356163,0.732854430100522,0,0.711978354884886,0,0.731161160115585,0,0.709855267955969,0.711620925809897,0,0.730654621846619,0.729978586932229,0.731776360922843,0.730355562072719,0,0.731544644966624,0.712931977961706,0.729743291149202,0.730891571265217,0
"SLC-mediated transmembrane transport",0.520068157882756,0,0.567114029153057,0.527367182695917,0.523015655500315,0.524479982794564,0.479983391258342,0.675184910372788,0,0,0.523526131318707,0,0.569075373980254,0.525121945749814,0,0,0,0,0,0,0.55547126570163,0,0,0.513269495516706,0.530145899963551,0.526351276554694,0,0.521681657977518,0.563407789718554,0.568825423529099,0.527597701452055,0,0.520680126058676,0,0.522339281004168,0,0.520937971257996,0.474461154533766,0,0.509995384205791,0.520321592081729,0.521803050367802,0.523517269386125,0,0.564419980387402,0.525316538774146,0.521931220457887,0.566979754521053,0
"PPARA activates gene expression",0.768584448547264,0.771364614148509,0.814484236107016,0.767739829788772,0.814899818871009,0,0.815534026780528,0.767176600640155,0.814681277381932,0.775670594877479,0.804713317287241,0,0.850942141174543,0.812645110401086,0,0.772502624536313,0.815145308924329,0.815145308924329,0,0.774187880716211,0.810162218741254,0,0.815093722893194,0.76901304497065,0.819390922179738,0.856961211089486,0,0.850644403344243,0.851684738893622,0.812712870232549,0.817311206937916,0,0.773855591240686,0.7715937193356,0.809555005606093,0,0.812948108654966,0.812589191783704,0.771331358036805,0.767623326824943,0.812844053223859,0.730078681965414,0,0,0.813662079573317,0,0.770378689297061,0.814374647706619,0.77222803628733
"SHC-mediated cascade:FGFR4",0,0.683215815783805,0.771139260526982,0,0.772038518773143,0.687909608228002,0,0,0,0,0.767375008230344,0,0.76569491333683,0.770211334551665,0,0.687761052796218,0,0,0.692148848699605,0,0.761787068634155,0.682066136483661,0.676126715392914,0.768743866553943,0,0.688953938304324,0,0.675285321733834,0,0.677598730276327,0.686900422125792,0,0,0.691960955759068,0.672797013025511,0,0.677798076219305,0.765728528697341,0,0.762961695184673,0.768789464928447,0.678966250704389,0.775213610093283,0,0.769108333271365,0.683375743936799,0.681927155535304,0.7709021278033,0
"Regulation of lipid metabolism by PPARalpha",0.768584448547264,0.771364614148509,0.814484236107016,0.767739829788772,0.814899818871009,0,0.815142421070246,0.767176600640155,0.814681277381932,0.775670594877479,0.804713317287241,0,0.850942141174543,0.812645110401086,0,0.772502624536313,0.815145308924329,0.815145308924329,0,0.77441202638903,0.810162218741254,0,0.815093722893194,0.76901304497065,0.819390922179738,0.856961211089486,0,0.850644403344243,0.851684738893622,0.812712870232549,0.817311206937916,0,0.773855591240686,0.771582710042627,0.809555005606093,0,0.812948108654966,0.812589191783704,0.771331358036805,0.767623326824943,0.812844053223859,0.730078681965414,0,0,0.813662079573317,0,0.770378689297061,0.814374647706619,0.77222803628733
"PI-3K cascade:FGFR2",0,0.65911313184093,0.758454859233674,0.658589745887567,0.760994004528985,0.6624427957406,0.660109086751058,0,0,0,0.752729231425538,0,0.75439081014852,0.755705500593479,0,0.658719619069801,0,0,0.658664910658088,0,0.749881784361592,0.655281216299013,0.651428790282976,0.749599343234765,0,0.664086560934175,0,0.643672431355338,0.653848365642267,0.755864433839235,0.656629982922235,0,0,0.666006860848238,0.751246254288236,0,0.650894998212328,0.759677038245671,0,0.751428095463232,0.752591173334734,0.753409740491895,0.755855713756605,0,0.754509885055635,0,0.650329857764688,0.758197815498522,0
"FRS-mediated FGFR4 signaling",0,0.683183484734487,0.771139260526982,0.686535410446177,0.772306912272815,0.688672968732833,0,0,0,0,0.767137638407212,0,0.76569491333683,0.770211334551665,0,0.68631785192994,0,0,0.69141484012924,0,0.762055462133827,0.682066136483661,0.676094384343597,0.768506496730811,0,0.688939334907106,0,0.67649461612852,0.680718104095801,0.678498350246687,0.688448455398299,0,0,0.691960955759068,0.672748893620601,0,0.677783472822086,0.765684207169074,0,0.762724325361541,0.769154291609101,0.678966250704389,0.775213610093283,0,0.769360238135724,0.683329859413213,0.681193146964939,0.7709021278033,0
"Aspirin ADME",0.610012504199709,0,0,0,0,0.6161554799702,0,0,0,0,0,0,0.606282934374721,0.609843815319753,0,0,0,0,0,0,0.672979156228543,0,0,0,0,0,0,0,0.60254943257075,0,0,0,0,0,0.675930906327872,0,0,0,0,0,0,0,0,0,0.608974176272699,0,0.609479442491843,0,0
"FGFR2c ligand binding and activation",0,0,0.704410626290183,0,0.705689930673868,0,0,0,0,0,0.691013122148241,0,0.697023744648807,0.703448903921325,0,0.575344894448392,0,0,0,0,0.691105994237443,0,0,0.69296048983878,0,0,0,0,0,0.698957762685964,0,0,0,0,0.692896756333569,0,0,0.703961513465114,0,0.693135408924836,0.69936158832646,0.700435894919484,0.699580944767538,0,0.701879750255932,0,0,0.704073276108278,0
"SHC-mediated cascade:FGFR2",0,0.656564335367872,0.760019239448611,0,0.760994004528985,0.661633447348096,0,0,0,0,0.750712656471644,0,0.75439081014852,0.759286455762311,0,0.661478073927721,0,0,0.666228638547808,0,0.749881784361592,0.655281216299013,0.648879993809918,0.74906898626321,0,0.662789398607307,0,0.647973087289817,0,0.751551168333627,0.660561064492681,0,0,0.666006860848238,0.751246254288236,0,0.650696826925731,0.759677038245671,0,0.751428095463232,0.751234473829856,0.752677430155118,0.756339266990424,0,0.756526460009529,0.656740434286781,0.655148673919851,0.75976219571346,0
"Regulation of insulin secretion",0,0.636533239964787,0.756262581230854,0.635925582342358,0.697887220422027,0.635172196080295,0.647632489091027,0.632845269717613,0.693047751019813,0,0.69546199718184,0,0.752757850002564,0.695979162945251,0.634838351050911,0.701470219616705,0.700475568004699,0.700475568004699,0.642280809252668,0,0.697239516891157,0,0.698722891125125,0.696385932434811,0.763428934475073,0.700338493761563,0,0.752322995513307,0.755173713776986,0.809858245761716,0.760391451773022,0,0.580490385135905,0,0.694047257598533,0,0.754019023810148,0.698288503284747,0,0.692483153107915,0.695437185193604,0.685064002981178,0.698955078718699,0,0.696631935723067,0.700135013276501,0.696056023544144,0.756102524284663,0
"FRS-mediated FGFR2 signaling",0,0.656529643903081,0.760019239448611,0.660174383700632,0.760994004528985,0.6624427957406,0,0,0,0,0.749980346134868,0,0.75439081014852,0.756592738220781,0,0.659913693712781,0,0,0.665463518037178,0,0.749881784361592,0.655281216299013,0.648845302345126,0.748825681304249,0,0.662773712965914,0,0.64929050721481,0.653868623240392,0.751551168333627,0.662248058781707,0,0,0.666006860848238,0.751246254288236,0,0.650681141284338,0.759677038245671,0,0.751428095463232,0.751234473829856,0.752677430155118,0.756339266990424,0,0.754509885055635,0.656691181790153,0.654383553409221,0.75976219571346,0
"Metabolism of fat-soluble vitamins",0.692426390651886,0.69839972486124,0.693283456741955,0,0.699966121336872,0.698664609086184,0,0.69857425771601,0,0,0.689615709513322,0,0.890994777290092,0.698821679540441,0,0.704313491421401,0.693274201648486,0.693274201648486,0.70323685532192,0,0.7589886887436,0,0.699514035761755,0.693799665311087,0,0.698783278090388,0,0.693034381769769,0.698502794899264,0.693853014406365,0.699801017449942,0,0.766198578749754,0,0.695600319369793,0,0.691990995457459,0.700284368518616,0,0.687415509005227,0.697782866351732,0.691253651116008,0.694547888914061,0,0.753132901073695,0,0.69664355564081,0.69311117961596,0
"Retinoid metabolism and transport",0.692426390651886,0.69839972486124,0.693283456741955,0,0.699966121336872,0.698664609086184,0,0.69857425771601,0,0,0.689615709513322,0,0.890994777290092,0.698821679540441,0,0.704313491421401,0.693274201648486,0.693274201648486,0.70323685532192,0,0.7589886887436,0,0.699514035761755,0.693799665311087,0,0.698783278090388,0,0.693034381769769,0.698502794899264,0.693853014406365,0.699801017449942,0,0.766198578749754,0,0.695600319369793,0,0.691990995457459,0.700284368518616,0,0.687415509005227,0.697782866351732,0.691253651116008,0.694547888914061,0,0.753132901073695,0,0.69664355564081,0.69311117961596,0
