"","CPEB2","SHANK1","SLC7A6","RIN3","NOTCH4","ZNF775","RFPL4B","NCOA5","MTX1","WWP2","CTSA","PEX11G","GLB1L3","RELN","GRIN3B","HECW1","KCNN3","MUC17","SNAPC4","HSD17B1","CDH13","AHCTF1","KRAS","ZMYND8","ATP7A","PDE2A","TAP2","APC","KRT3","KRT1","SPTBN1","CABP1","CCDC9","NDOR1","VPS54","ADM2","TFDP1","NCAM1","LRIG1","UTP18","AXIN2","PRKX","TP53","XYLB","ADCYAP1","ABCA7","BDNF","SPHK1","WRAP53","PRDM16","TBC1D1","CHL1","RPS6KA2","ZNF550","GUCY2D","GPR20","SSTR5","CTNNB1","TNC","AP3D1","PLCH2","ARHGAP33","CACNA1H","CACNA1D","OPRD1","ATXN1","CCNB2","CWF19L2","MDH2","OR5K4","RALYL","SCO2","CELF4","BNIP2","RNF213","PLEC","TGOLN2","ABCC9","KBTBD13","RGS9BP","LCMT2","SYNJ1","LRFN4","OAS3","IRF5","ACVR2A","HCN4","FARP1","PRKCG","AR","VPS53","MRPL38","ZNF679","MSH3","PNPLA7","GDF5","THBS2","SF3B2","SPCS1"
"Phase II - Conjugation of compounds",0,0,0,0,0.702206296202875,0,0,0,0.684210302863047,0,0,0,0.685096879890541,0,0,0,0,0,0.68162503659904,0.768862624161583,0,0.680219924762173,0,0,0,0.703761819889308,0,0.681252189216754,0,0,0,0,0,0,0,0,0.725250532333691,0,0,0,0.727225946121034,0,0.723375580118722,0,0,0,0,0,0,0,0,0,0.703344842514675,0,0.70360136666111,0,0,0.701122052721256,0,0,0,0.68271108021273,0,0,0,0,0.679579877160772,0,0.727649688416674,0,0,0.728993512329689,0.687694085332037,0,0.657450273180167,0,0,0,0.657450273180167,0,0,0,0,0,0.702185128386183,0.703484274251009,0,0,0.702057045532192,0.70195439414841,0,0,0,0,0.703510690713139,0,0,-0.0172646667761493,0
"Protein-protein interactions at synapses",0,0.907976498368303,0,0,0.885885834978341,0,0,0.88822718127636,0,0.88834189618861,0.866034889113656,0,0,0.907648627663966,0.905731448357815,0.885512002500706,0.887013810215093,0,0,0,0.864037386274842,0.885862636041682,0.906145035607732,0,0,0,0.863678257775244,0.885647961253124,0,0.866979359985388,0.885259857938028,0.887880952671936,0,0,0.886240045623946,0.884673033234833,0.885250588790134,0.884886055418296,0.888077316089577,0.885269206758511,0.88503814319554,0,0.884246963481529,0,0.88462707222336,0,0.886446934267236,0.886876890088002,0,0,0.821849746020793,0.886810522056486,0.885812452583666,0,0.862455632228549,0.884673033234833,0.884046263863518,0.885449264048944,0.865195307578565,0,0.886187045981164,0.864290273971315,0.885180291670766,0.884803548950621,0.884046263863518,0,0.885257250131718,0,0,0.886919362361128,0,0,0,0.887110438398335,0.883824827277122,0.885471512497076,0.904885393283961,0,0.883824827277122,0.887089039921797,0,0.906317360755293,0.911267790862563,0.883878230404682,0.884448860992185,0,0,0.866880345609966,0.906505129408774,0.884855037704307,0.886172021302184,0,0,0,0,0,0.864527882979013,0.883944219887113,0.884711254200305
"Extracellular matrix organization",0,0.833005904699491,0.824385131885192,0,0.824574542732768,0,0,0.814667857628129,0,0.814736898471762,0.824198472278634,0,0,0.822801864491991,0.814194180300682,0.824161575009357,0.805886632106228,0.814146317289232,0.823675246179439,0,0.824227707255137,0.823616706504463,0.832242242916129,0,0,0.81365640689442,0.82432766909828,0.824285858488206,0,0.833310999641135,0.832308452736737,0.814802185729426,0,0,0.81397168859211,0.813652545075657,0.823797736192953,0.806396913193819,0.824517019278136,0.823167472636684,0.824017091345186,0.815207123987327,0.823246658704523,0,0.813633045718218,0.814418409525139,0.832863232773023,0.823714813558532,0.814938106853323,0.806820588190775,0.814107811453813,0.823382437306705,0.824112319965986,0.823742439421028,0.805153026977793,0.813652545075657,0.823286790905562,0.833062462895331,0.82471596726629,0,0.82404296570423,0.833078544076763,0.832662089339992,0.83381062402727,0.823286790905562,0,0.823359866285588,0,0.823536062942226,0.814768055167895,0,0.824120223281293,0,0.824072010319191,0.823109535632989,0.824043963811933,0.824364752652493,0,0.823109535632989,0.823626801432175,0,0.824608117513488,0.825060581351851,0.832455906748454,0.832497565919146,0.813970221501687,0,0.834177404416298,0.832327693434015,0.823819270396606,0.813942828684071,0.814334623815364,0,0.804895492448522,0.813882562066725,0,0.823500028108735,0.823399610082789,0.823183688212527
"Neurexins and neuroligins",0,0.946851136697935,0,0,0.918556311522672,0,0,0,0,0.922363032068141,0.894973740652083,0,0,0.944928913407109,0.937941251663061,0.918833613336539,0.920951557564784,0,0,0,0,0.917730505538634,0.943053646505512,0,0,0,0.891602757299626,0.917707667756497,0,0,0.918087327540191,0.921788147333456,0,0,0.918998079951243,0.91778725818374,0,0.918052937593455,0.922033050075698,0.91778725818374,0.918242620143068,0,0.915960355552106,0,0.917729936010999,0,0.89232982436821,0.918465951560538,0,0,0,0.920453115603748,0.919120631805048,0,0.890509722675182,0.91778725818374,0.917005556889105,0.916810247382828,0.893494808586043,0,0.919675521679159,0.892366058562743,0.918419906481871,0.917642969258365,0.917005556889105,0,0.916975473510538,0,0,0.920588860282638,0,0,0,0,0.916729383109422,0.918783114557073,0.943129411793795,0,0.916729383109422,0.892267314576858,0,0.943268568926919,0.921231515467376,0.916795987024455,0.917507672517433,0,0,0.895596373325704,0.917601482345959,0.918014252571035,0.918913240610297,0,0,0,0,0,0.892662402445253,0.91687828853153,0.917834927038599
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0,0,0,0,0.735185570938713,0,0,0,0,0,0,0,0,0.733783306256573,0,0,0,0,0,0.810477455293253,0,0,0.728386282748228,0,0,0,0.736185354800331,0,0,0,0,0,0,0,0,0,0.732905405519424,0.732839702019832,0,0,0,0,0.801303489821264,0,0,0,0,0.725814303092314,0.737722231956121,0,0.811329746624055,0,0.736809686326037,0,0,0,0,0.802852323631475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729765144626249,0.727168906567851,0,0.72778373726898,0,0.727168906567851,0,0,0,0,0.733753429720002,0.732872415674145,0,0,0,0.804783897527012,0.734330354517847,0,0,0,0,0.809757530299051,0,0,0,0
"Cardiac conduction",0.885661334399967,0.902698652441843,0.904726748361286,0,0.919426731473437,0,0,0,0,0.905155669538927,0,0,0,0.901605450452261,0.901836979693597,0.902796597987356,0.902256975655613,0,0.902337996324619,0.884439693980891,0,0.900631347414046,0.918488338091793,0,0,0.919499251585201,0,0.90204401338675,0,0.886381261479781,0.918904901047773,0.903495010137944,0,0.882611156274964,0,0.902097211810333,0.91889717404969,0.902066432076103,0.886628505903783,0.902097211810333,0.902401576785308,0.885242902917684,0.93450707121869,0,0.902058897538984,0.919271094574969,0.902418316491188,0.901918756781077,0,0.905703790120429,0.885540753155395,0.902406256933595,0.902192653000707,0,0.902239446729655,0.902097211810333,0.90107773542325,0.901235815097432,0.90315381885487,0,0.884281626866115,0.903544640345513,0.901189994372784,0.918816251415267,0.90107773542325,0,0.901718306631287,0,0,0.902648971387724,0,0.903069280248518,0,0.903632109463885,0.901390125691422,0.902762844487677,0.901723497131121,0.920747214301269,0.901390125691422,0.903614271148099,0,0.901816510077138,0.903551557745939,0.902278640928503,0.918889512317199,0.902766818966247,0.903922481573371,0.884002199909728,0.901973038815513,0.919228111583516,0,0,0,0.900832142660942,0,0.886637223664273,0.880895846476051,0.901653347969067,0.902129073781934
"Negative regulation of NMDA receptor-mediated neuronal transmission",0,0.907014499795738,0,0,0.851822988966246,0,0,0,0,0,0,0,0,0.905712693902758,0.908041199328579,0.793279317039207,0.854951533160863,0,0,0,0.803010471904906,0.849497854977317,0.901944650463889,0,0,0.851694689950164,0,0.856602329762399,0,0.804323875568678,0.85177889843685,0.857651025349622,0,0,0,0.849931394049652,0.852623328190304,0.85170979743952,0.799708064116652,0,0.799446215202503,0,0.848999122021141,0,0.849816214478833,0,0.852882811885113,0.851787210036993,0,0,0.799104947752681,0.797025535274744,0.85295689867031,0.800575722612076,0.851660672867459,0.849931394049652,0.848360692603422,0.850080472337189,0.854978677104543,0,0.801457738986156,0.855527187686779,0.84917334691492,0.902930416721051,0.848360692603422,0,0.849544808837205,0,0,0.855907064685096,0,0,0,0.857284162945589,0.789051209085928,0.793177847965939,0.790053383419303,0,0.789051209085928,0,0,0.849840026006887,0.852635579961439,0,0.850208011839638,0.855550603027014,0.806168281278591,0.802018857956643,0.852296699044799,0.852750527270711,0,0,0,0,0,0,0.792680602452715,0.788778512666554,0
"L1CAM interactions",0.878114445997056,0.897522279323879,0.857079141558724,0,0.899340466160234,0,0,0.856620839874578,0,0.856800306725527,0.899425689195639,0,0.857189140183177,0.898071050108777,0.898600007916077,0.875592111111883,0.899298225182311,0,0.853975187196978,0,0.900157738959173,0.898287865904804,0.916600136105593,0.855385959385194,0,0,0.900486718088966,0.896456475652111,0,0.899959395173829,0.918512582232343,0.877382630332402,0,0,0.898287364470213,0.876656576913307,0.89792524394327,0.858056979321078,0.898592509415067,0.87400829663337,0.897686964461485,0.900488799672857,0.910796967908068,0,0.876611020243526,0.855085069584848,0.899553446521293,0.899463288692316,0.855668840676394,0,0.855066503178679,0.894504663277537,0.899509074196121,0,0.875265765892042,0.876656576913307,0.876035321541357,0.917699087783617,0.896962795874028,0.856140157144378,0.899027259514901,0.900107110411924,0.91942074272845,0.918608637679691,0.876035321541357,0,0.897687805873346,0.85591545517861,0,0.899243514820631,0.855476989833981,0.899467945661495,0,0.900211113479224,0.8978885188516,0.873819251981071,0.896880710034522,0,0.8978885188516,0.87880358276706,0,0.898052318367002,0.898953537851342,0.917072684851014,0.91844800077589,0.87504708500961,0.899348377979462,0.901305263609978,0.89661983106285,0.897700105751373,0.898219938591968,0.853411079629633,0,0.853450473564724,0.857299619087369,0,0.898121346734483,0.895944621834207,0.854891488735437
"G alpha (s) signalling events",0.933995627759727,0.931088170128294,0.916056218554283,0,0.931459715548004,0,0,0,0,0.933571311761979,0.93293492427518,0,0,0.932196210549737,0.929753103222214,0.931625743546835,0.913923087839069,0,0.930941810336698,0,0.91442595120145,0.931566209294082,0.930740167835392,0,0,0.909958024841272,0,0.931405905894516,0,0.914117201338166,0.931446577794053,0.933541331734954,0,0.915374388416923,0.93172421409967,0.947742641656066,0.931106385915594,0.931092717256761,0.933268194633284,0.930999262783284,0.931726196169482,0.94904477171076,0.93035974343138,0,0.902231192858115,0.912349577093016,0.931999729043229,0.931673270102808,0.931848474735354,0,0.932713824669799,0.932742012598278,0.931797589166196,0,0.947186787148373,0.94785874659457,0.946306674642279,0.929462573407201,0.931535348038355,0.915720203139459,0.932129816547205,0.932295808473913,0.930202103598754,0.944249545636923,0.948745439449516,0,0.931114151462473,0,0.931749822373952,0.930364163054578,0,0,0,0.932374159636496,0.930365884735184,0.93159550857945,0.946439942161897,0.914829144425231,0.930365884735184,0.932513528954746,0,0.946523259252447,0.915709505763615,0.931282805034088,0.931099522857418,0.915475402969726,0,0.933188237740292,0.946663471122164,0.947057237484981,0.931673418521369,0,0,0.931295868919122,0.914780515273982,0,0.931036964259893,0.930601668196311,0.944364475884468
"Class A/1 (Rhodopsin-like receptors)",0,0.930236728817864,0,0,0.931127676069668,0,0,0,0,0.932806473052287,0,0,0,0.929945003736383,0.931612925434971,0.931176156055334,0,0,0,0,0.918273844867525,0.931065842197086,0.930829660128517,0,0,0.929525215540336,0.917837798048148,0.930942166895042,0,0.918575780439123,0.931317004355733,0.933283615951515,0,0,0.931331738730572,0.942943304075014,0.930855079548774,0.930671549955142,0.932733658920671,0.930692821342118,0.931333267912632,0.932510052417739,0.930021918509666,0,0.942916825688734,0.917309511698155,0.931657426644923,0.931292435046333,0,0.919423128731826,0,0.932116978077186,0.931388348157071,0.932666935108031,0,0.942943304075014,0.943516880090044,0.930527628468218,0.932052594660273,0,0.931644664129188,0.93197922642608,0.916914041259258,0.930705782967497,0.941632325005314,0,0.917546859986512,0,0.91758311964719,0.932066555540341,0,0.919469983280355,0,0.932039674948845,0.930634270076449,0.931152829546141,0.942685035777419,0,0.930634270076449,0.930130084884866,0,0.942749315551691,0,0.931447773052482,0.931306369447691,0.931528024527859,0,0,0.931037112106959,0.930910801119981,0.93129254955239,0,0,0,0,0,0.93132462897505,0.930465685957942,0.930714840646206
"Signaling by GPCR",0.946354917394282,0.945638488211912,0.940489884071228,0.940592499191857,0.945696369751092,0,0,0.940405504386656,0.940742648618474,0.946428722695197,0.946087955490127,0,0,0.945789683159315,0.945656069367403,0.945478918841846,0.945957478656061,0.939843894951208,0.945559237828297,0.940355507427676,0.946059588993987,0.945525168004296,0.95066315426729,0.939848987805814,0.940531937558133,0.938606754364627,0.946166251720472,0.945798187716563,0,0.940516951116679,0.945615945967371,0.946122808454647,0,0.94041163165256,0.945644125846712,0.951114689688137,0.945809347795683,0.945534997164635,0.946026429350472,0.945464148189155,0.945756891449646,0.951496773518571,0.945452258096115,0,0.936065633003838,0.945528874644511,0.945834914485406,0.950977476840923,0.945809696154349,0.941104034453588,0.946034980530536,0.945980676488437,0.945568932194986,0.946368600854239,0.950930887892865,0.951153081561984,0.951009693824274,0.94555880254791,0.945931217215693,0.94052598058012,0.945645598289676,0.94515849417234,0.945416498152204,0.95076605894596,0.951008531394135,0,0.94555450950549,0,0.945788291694063,0.945524641935171,0,0.940342569653205,0,0.945968974086962,0.945519019148312,0.945601567397783,0.950683932174409,0.940889853763942,0.945519019148312,0.945957554563551,0,0.950711482244811,0.946274487041948,0.945867683475704,0.94580707842052,0.945950564346776,0.941132396856298,0.946011216512446,0.9507421307524,0.950888050315084,0.945627329511782,0.939904204159341,0,0.945614597162066,0.94576950539142,0.940470406622501,0.945692278651067,0.945356447666244,0.950804062390273
"Cytosolic sulfonation of small molecules",0,0,0,0,0.598854122880875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674947113366631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668946576774969,0,0,0,0.670819392543244,0,0.591386298822644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592934439259259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676817656121257,0,0,0,0,0,0,0,0,0,0,0,0,0.596542003157223,0,0,0,0,0.597999289318699,0,0,0,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0,0,0,0,0.403918677839822,0,0,0,0,0.612144667510594,0,0,0,0.601692635055651,0.6043978804177,0.599439779780112,0,0,0,0.603680181629892,0,0,0.685502766866301,0,0,0,0,0.595386700994934,0,0.518928317778157,0.597185634853787,0,0,0,0,0.502077231008096,0.501993645112621,0.597061840981323,0.612511230784249,0.595673203538113,0.597312375030629,0,0.590651284994049,0,0.501870887747486,0,0.602515047599775,0.600552285835134,0.519104271146666,0,0,0,0.602027366452286,0,0,0.502077231008096,0,0.592588515255355,0,0,0.604024809682876,0,0.594521524476579,0.596708208203633,0,0,0,0,0,0.607312564777847,0,0,0,0.515262715969188,0.591865158906926,0.59925799876391,0.595214949151378,0,0.591865158906926,0,0,0.595715874625993,0,0.592104913758147,0.501952382501894,0.602388209719182,0,0,0.596558867305178,0.598926299975701,0.597468560023667,0,0,0,0,0.609779876984894,0,0.592931028607937,0.595844797643343
