"","SERPINE1","VWF","PLCB3","AKT1","CTNNB1","MYC","STAT1","ABL1","PRKCB","GNAO1","ACTN2","PIK3CD","MCHR2","MAPK10","MAP2K1","ACTN4","RRAS","PPP1CB","HRG","ITIH3","PPP2R5E","PPP2R5D","TGFBR2","MAP3K1","NCOA2","CDH2","GTF3A","CLTC","CSNK1D","SLC9A1","GRM7","GRM2","GRM4","TEK","DNM2","CDH1","KALRN","BRAF","RELN","BLK","TAS2R8","TAS2R4","SSTR1","SEC24A","VAV1","AKAP9","ELMO1","DOCK1","ICAM1","OCRL","ARHGEF6","AR","DYNC1H1","PSMB8","PGR","SPTB","SPTBN2","QRFPR","AVPR1B","EPHA2","DAG1","LAMC3","SHC2","PLXNA4","NRG3","NRG1","FLNB","TRIP10","MAPK6","DYNC2H1","IL6","NLK","TNRC6B","TSG101","CLOCK","CTNND1","GP9"
"Arachidonic acid metabolism",0.833408008774659,0.829264621023371,0.828153639359543,0.86446226902952,0.865139148346668,0.865623681331261,0.865577183298433,0.830856728587344,0.863087277407287,0.863253004558162,0.834712352237745,0.830086694010786,0.827792062475737,0.833280703711594,0.860974964118692,0.830134569620578,0.830108423381095,0.798922872816436,0.831094393849758,0.831155110132932,0.829858941112891,0.828262686629962,0.833512837523601,0.830593407568679,0.897882637854555,0.866637789349327,0.867127077999411,0.865370696861581,0.831874869453964,0.830967970951222,0.828499452757704,0.828499452757704,0.828499452757704,0.82993489321501,0.829939494265769,0.82955677287162,0.828819756076286,0.830070470494861,0.832484362020759,0.830650300154603,0.828557307416,0.828557307416,0.828540581724226,0.830462936391506,0.829237513650728,0.830596060934993,0.832273617191745,0.832241002216058,0.832582720474833,0.828565730540977,0.800411620849111,0.866805809102192,0.829615524805696,0.831014379856048,0.86864592040458,0.830770061433873,0.830227402305232,0.82902700636794,0.828972821795549,0.833498499325818,0.800652889561915,0.800462267870277,0.830801423153854,0.832816359295881,0.831498886972688,0.831175256399389,0.834536039721511,0.799119992686076,0.830920227221716,0.828859270868882,0.832031069965358,0.867578040448199,0.866787531204572,0.832030928080999,0.868012032978548,0.829773972816074,0.831712490291151
"Cytosolic sulfonation of small molecules",0.517710896710088,0,0.600351546151963,0.513979327055065,0.513278092273198,0.514606883679438,0.51703688669772,0.517513728936531,0,0,0,0,0,0,0,0,0,0.603526240386992,0,0,0,0,0,0,0.605488902683732,0.519945510569882,0.520215107293773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604151268715154,0,0,0,0,0,0,0,0.519334054066662,0.601236561405554,0,0.52438040625091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603022832889516,0,0.522524070997381,0.520356165152192,0.608805767461262,0.522642022712495,0,0
"Phase II - Conjugation of compounds",0.690792434654401,0,0.712603413039397,0.715226766501678,0.712706175722122,0.713056877717272,0.686224482932936,0.690740397042447,0.71338275380899,0.687030598219414,0,0.68579298748832,0,0.713783963423966,0.687331745218924,0,0,0.713441295943354,0,0,0.662917131513388,0.662682456954857,0.687964818888488,0.714162158716422,0.713567288453273,0.687298929113063,0.714537031187224,0,0,0,0,0,0,0,0,0,0.66405650040291,0,0,0,0,0,0,0.713606256885063,0.664358870766754,0.664632915699512,0,0,0,0.663872638282303,0.66520680814098,0.687137550122637,0.71283699117191,0.68559424439766,0.688469411369578,0,0,0,0,0,0,0,0,0,0,0,0,0.664271935618012,0.714398708771875,0.713308433845577,0.713803853101347,0.688778840352237,0.687407311347217,0.714834698000058,0.688010607548005,0,0
"Diseases of metabolism",0.706262504924314,0.692465977325737,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,0.692208716643278,-0.0132911313915141,0.676323161418631,-0.0132911313915141,-0.0132911313915141,0.69243609467527,0.696102162278889,-0.0132911313915141,0.692935510770024,0.692967102688742,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,0.676691230989441,0.676691230989441,0.676691230989441,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,0.676721333946453,0.676721333946453,0.676712631228378,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141,-0.0132911313915141
"Diseases of glycosylation",0.795414551491636,0.795163433278308,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,0.794846680781999,-0.0163647200450127,0.776924045562799,-0.0163647200450127,-0.0163647200450127,0.795126640232276,0.799640489974039,-0.0163647200450127,0.795741546844504,0.795780444428936,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,0.777377231623938,0.777377231623938,0.777377231623938,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,0.777414295922642,0.777414295922642,0.777403580691506,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127,-0.0163647200450127
"ADP signalling through P2Y purinoceptor 12",0.850583404413148,0.849913267102142,0.903116996892913,0.903128442889458,0.847819976446877,0.847979913674411,0.850163223883138,0.850460489236706,0.904289398155836,0.904572730858594,0.849067977294935,0.904015326147188,0.902498832909504,0.905237073284718,0.85041273971326,0.849815080703775,0.851355859950367,0.845095631901713,0.85145602843981,0.851559831036563,0.848754638261631,0.848200326415153,0.851741690867137,0.85125907366756,0.849185526755376,0.851308034971115,0.85147610264408,0.849351288255217,0.847293861307964,0.853057158813219,0.90370821109188,0.90370821109188,0.90370821109188,0.851290974421487,0.849503750086087,0.85041273971326,0.904255812402091,0.849663953344174,0.848782414493436,0.852514058150965,0.903807121358638,0.903807121358638,0.903778526554282,0.850622537786463,0.850098710898255,0.848387821986919,0.852214412943214,0.852158653285468,0.850687423315344,0.848950207933297,0.851433140421992,0.906466601065904,0.848338485568187,0.848674572158826,0.854072766627323,0.850901538849539,0.849973790579064,0.9046101344608,0.904517498696157,0.850738110098359,0.851845621515942,0.85151972827026,0.852772423105655,0.852617161362085,0.853733043202568,0.853179753505953,0.790389489047533,0.849893366172673,0.851149378886971,0.849452054335863,0.85041273971326,0.853583956461272,0.847771743788715,0.853057158813219,0.849477364275739,0.851015859503267,0.850005882025228
"Defective B3GALTL causes PpS",0.825076376838621,0.824458765571006,0.77320479995355,0.774454934503328,0.774052046405279,0.774932326940962,0.776211627726416,0.776485593119508,0.775524892916233,0.77454643201177,0.82367973043782,0.777321920976017,0.832250302374224,0.775158702603468,0.77644158625223,0.824368275122313,0.835686412147658,0.774412747904325,0.825880603707363,0.825976270151105,0.77367386277517,0.773162998454478,0.777666372864264,0.777221583691197,0.77592660738535,0.776643165548298,0.778154481066568,0.774223746735978,0.772943626895831,0.777639147393958,0.833364888265767,0.833364888265767,0.833364888265767,0.777250984031616,0.775603844155696,0.77644158625223,0.774254353945921,0.777250984031616,0.779050142432293,0.778378201215552,0.83345604584531,0.83345604584531,0.833429692330775,0.776011398329542,0.778201789360741,0.774835291444797,0.77871808639601,0.778666697236898,0.779360401792707,0.773854103497245,0.777998050808885,0,0,0.773600072334862,0,0.776892072815518,0.776037042397206,0.774580903881627,0.774495529002348,0.776741453775923,0.778378201215552,0.77807785181362,0.778616315262558,0.778333661850992,0.778262055278076,0.777752132990102,0.77928887504633,0.774723336035437,0,0,0,0,0,0.777639147393958,0.778192422197562,0.775757847198167,0.778812234971523
"GABA receptor activation",0.846907458387574,0.84657592850078,0.872896842475992,0.872902505031824,0.845280539375081,0.84561946117311,0.846699586953974,0.847635414639353,0.873476852052523,0.873357224460912,0.846157747287035,0.874130028096356,0.872591024799414,0.8747344500313,0.849398467216754,0.84652735379079,0.847289607079494,0.845899264756455,0.847339162368268,0.847390515520205,0.845742934649224,0.845468705859552,0.847480485095175,0.848030489800231,0.846215901278273,0.847006149378703,0.847089295706593,0.848873346654232,0.845280057800625,0.848131272526472,0.873189327573054,0.873189327573054,0.873189327573054,0.847257506953608,0.848948772470253,0.846563229501524,0.874249001297153,0.846926818424109,0.845952193478249,0.847862590126436,0.873238260394735,0.873238260394735,0.873224113992057,0.846926818424109,0.847456435899292,0.845821261303393,0.848503114614141,0.84847552923318,0.846958918549995,0.846888249272907,0.848116603989733,0.874553956434638,0.845796853622985,0.845963122158578,0.848373915593098,0.8760710400034,0.875612064993304,0.873635526504951,0.873589697800803,0.846983994281729,0.847272103838217,0.847110878147492,0.847990408265753,0.847699164776897,0.848465645604059,0.84819192249169,0.846999387699377,0.847354847892614,0.874404247748333,0.846347757626421,0.846823027260245,0.87731166411057,0.845516475505091,0.848131272526472,0.84582579294356,0.847910167049908,0.846621746894207
"O-glycosylation of TSR domain-containing proteins",0.825040303785633,0.824422692518017,0.77316872690056,0.774495140708599,0.77409225261055,0.774932326940962,0.776251833931687,0.776525799324779,0.775565099121504,0.774510358958779,0.823643657384832,0.777197949325241,0.832250302374224,0.775122629550478,0.776481792457501,0.824332202069325,0.835686412147658,0.774376674851335,0.825844530654375,0.825940197098117,0.77363778972218,0.773126925401488,0.777706579069535,0.777261789896468,0.775966813590621,0.776607092495308,0.778154481066568,0.774187673682988,0.772907553842841,0.777603074340968,0.833364888265767,0.833364888265767,0.833364888265767,0.777291190236887,0.775644050360967,0.776481792457501,0.774218280892931,0.777291190236887,0.779090348637564,0.778418407420823,0.83345604584531,0.83345604584531,0.833429692330775,0.775975325276551,0.778077817709964,0.774799218391807,0.778758292601281,0.778706903442169,0.779236430141931,0.773818030444254,0.778038257014156,0,0,0.773563999281871,0,0.77693227902079,0.776077248602477,0.774544830828637,0.774459455949358,0.776781659981194,0.778418407420823,0.778118058018891,0.778656521467829,0.778297588798001,0.778225982225086,0.777716059937112,0.779164903395554,0.774687262982447,0,0,0,0,0,0.777603074340968,0.778156349144572,0.775721774145177,0.778776161918533
"Collagen chain trimerization",0.831750878823938,0.831054223818293,0.767777188342133,0.832818737842555,0.832364286920207,0.82908420513047,0.831314071523854,0.836425862810269,0.834025632734645,0.835636753650937,0.830175485437755,0.829599480696298,0.767134563276674,0.769981157299602,0.835059647226687,0.830952152131214,0,0.834169383665662,0.832658033053728,0.83276594317519,0.833335933806806,0.832759687541758,0.836441185694103,0.831798236219204,0.769799085063007,0,0.828260330478945,0.83527277014802,0.832512240154637,0.833667472563348,0,0,0,0.832486447758927,0.835431264975723,0.830918412374111,0.768961067394895,0.835972634155737,0.83386081937935,0.833757929570892,0,0,0,0.837289210741491,0.836049768707947,0.834646005592768,0.833486265817975,0.833428299720514,0.837356663825725,0,0.832674077921938,0.771259338157875,0.834219890312707,0.833252699445153,0.774529739832073,0.832081602011469,0.835919905224386,0.769329410168466,0.769233108756681,0.831911706296507,0.833102881115126,0.832764092098038,0.833371469710346,0,0,0,0.833997332679382,0,0.771490672062964,0.835377523596796,0.770029996647062,0.773326700151259,0.771921740162985,0,0,0,0.837410342663356
