"","POU4F2","NOTCH3","KRAS","HOOK3","ZNF782","APC","ANKLE2","SAP130","RPS6KA1","DNAH5","DNAH8","MIS18BP1","RBP1","AKR1D1","INTS4","MYLK","SP5","SMAD4","PTGER3","CACNA1B","DNAJC2","CATSPERD","SLC12A2","CAPN1"
"Binding and Uptake of Ligands by Scavenger Receptors",0.568538741439177,0.558710971495078,0.624511823848918,0,0,0.555724468083569,0,0,0.484161438773804,0.420036594082224,0.420036594082224,0,0.621046040631333,0,0.557473198780806,0.558017487704175,0,0.621062790953539,0.554687608589333,0.416536068819432,0.483845895905523,0.414636348560565,0.423999042483659,0.561901753573202
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",0.740524042014664,0.781090083645712,0.820085454434868,0,0,0.776342001148862,0,0,0.780311006378747,0.732669896708472,0.732669896708472,0,0.784737620556152,0.739125345926891,0.779584693715251,0.776556638591316,0.784750933395308,0.784778865101301,0.777784487452964,0.776820335134102,0,0.732952130692729,0.73531710899712,0.781231921150475
"IGF1R signaling cascade",0.740524042014664,0.781090083645712,0.820085454434868,0,0,0.776342001148862,0,0,0.780311006378747,0.732669896708472,0.732669896708472,0,0.784737620556152,0.739125345926891,0.779584693715251,0.776556638591316,0.784750933395308,0.784778865101301,0.777784487452964,0.776820335134102,0,0.732952130692729,0.735332802647927,0.781231921150475
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PI-3K cascade:FGFR4",0.753161222932284,0,0.885547600140141,0,0,0.814127907046885,0,0,0.817097471079553,0,0,0,0.744331222260803,0,0.741101412400106,0.816482804023672,0.753896689724289,0.81250534610241,0.73629274575493,0.739101227380883,0,0.737398806047393,0.747328176849917,0.811800825683397
"Formation of axial mesoderm",0,0.335376297149527,0.323195930131231,0,0,0.481052127631201,0,-0.0139460607140393,0,0,0,-0.0113558461217973,0.339693525041686,0,0.331105079323193,0,0.165782887966233,0.630006276945657,0,0,0,0,0,-0.00906136252319738
"SHC-mediated cascade:FGFR4",0.753161222932284,0,0.896146269094521,0,0,0.814127907046885,0,0,0.816556213849425,0,0,0,0.744381150830237,0,0.741062393315423,0.815941546793544,0.753945252301335,0.81208797657768,0.739451681850782,0.743607840612805,0,0,0,0.817410872693718
"Activation of Matrix Metalloproteinases",0.794655865421981,0.847202131109221,0.789337955404425,0,0,0.846482272220864,0,0.73240609363697,0.793042018167124,0,0,0.733319423823307,0.849855986921455,0,0.789739492531599,0.787899748341631,0.856610159408713,0.845444847280624,0.784475419764168,0,0,0,0,0.849580114327443
"Phase II - Conjugation of compounds",0,0.633218059347101,0,0,0,0.523324336237613,0,0.526541739123221,0.575601833110773,0,0,0,0.576318909576285,0.733607762793309,0.526869404125669,0,0,0.630544388051455,0,0,0,0,0,0
"Common Pathway of Fibrin Clot Formation",0,0.852557450603954,0.911210990600677,0,0,0.850446622302191,0,0,0.853042533862906,0,0,0,0.855341145056396,0,0,0.852486046506267,0.798300286302197,0.846314816516064,0.845745416020878,0.776442015743593,0,0,0.784938383452427,0.8538162972142
"FRS-mediated FGFR4 signaling",0.753161222932284,0,0.896110172113154,0,0,0.814127907046885,0,0,0.816556213849425,0,0,0,0.744381150830237,0,0.741023793207204,0.815941546793544,0.753945252301335,0.811897564811826,0.740421745686577,0.743607840612805,0,0.74152780597904,0.751457176781564,0.817410872693718
"IRS-mediated signalling",0.730177010095891,0.782486533483538,0.832422776618905,0,0,0.77636392643515,0,0,0.781997855753976,0.720049164709326,0.720049164709326,0,0.779635018250038,0.728373404844457,0.780545347540598,0.776907921937579,0.728887666845694,0.785480743885711,0.714387312232124,0.777458317355032,0,0.720413102737456,0.723058759245755,0.780072785845611
"FGFR2c ligand binding and activation",0,0,0.854805044143447,0,0,0.754644864496667,0,0,0.767495605162108,0,0,0,0.656973910647733,0,0.762107612052283,0.759990427186699,0.670382766409963,0.760470205758725,0,0.764698915276777,0,0,0,0.768694193109963
"Peptide hormone biosynthesis",0,0,0,0,0,0,0,0,0.552767225229126,0,0,0,0.3955982602934,0,0,0,0,0.814007362198879,0.53630625978896,0.543230401738624,0,0,0.557273886901933,0
"Post-translational protein phosphorylation",0.72355168319303,0.759173904372685,0.823156796246307,0,0,0.758356470004513,0,0.686370509671087,0.722006747168514,0,0,0.686931837864273,0.791961262460631,0,0.718922070804932,0.757609638393053,0.724288268960554,0.719071901875236,0.753107918609034,0.716143993194666,0.719153955400127,0.717037114625687,0.721883071826045,0.758326732211708
"Regulation of IGF Activity by IGFBP",0.792297778878313,0.820355323769755,0.875880551147793,0,0,0.819390857648474,0,0.790642253107057,0.790145643189441,0,0,0.791118035584831,0.849528239178067,0,0.790045787232565,0.820322698267681,0.823186185357121,0.787658064652554,0.816283135444777,0.792029166025714,0.787727613322754,0.78593337643791,0.791763355912226,0.82093050788419
"Formation of Fibrin Clot (Clotting Cascade)",0,0.807414992319268,0.859362286794119,0,0,0.805545508919227,0,0.748536918284239,0.807318139016456,0,0,0,0.809880408651465,0,0,0.806825278524345,0.759303173868287,0.800979347746219,0.800475050559737,0.739438920774939,0,0,0.747490316604272,0.808003432907767
"Drug ADME",0.732338330456602,0.724824663347373,0.628873407954191,0,0,0.724599044062635,0,0.62868935141031,0.67332300095724,0.626014452991961,0.626014452991961,0.582362243744019,0.726661829444499,0.815912208374106,0.725836760646869,0.63192812623553,0.631257652254504,0.72239674712377,0.620859597952535,0.622612629143363,0,0.623833950746179,0.683026591830543,0.632908734405427
"Downstream signaling of activated FGFR4",0.75225932424153,0,0.896092253321718,0,0,0.814127907046885,0,0,0.816238842711055,0,0,0,0.744185515899601,0,0.740910416903374,0.815624175655174,0.753754859140542,0.811897564811826,0.73629274575493,0.735568799406057,0,0.737398806047393,0.747328176849917,0.811800825683397
"Insulin receptor signalling cascade",0.728293804224201,0.782169743452585,0.832090815058971,0,0,0.776047136404197,0,0,0.781165130754907,0.719522422909666,0.719522422909666,0,0.778659573121452,0.728056614813505,0.780228557509644,0.769751487058753,0.728570876814742,0.785480743885711,0.714070522201171,0.770016239148291,0,0.720096312706504,0.72698893887909,0.77956117614755
"Primitive streak formation",0,0,-0.023285652404331,0,0,0.153467810231439,0,-0.0156155701225198,0,0,0,-0.012715276023211,0,0,0,0,0.185629072268733,0.58429383765844,0,0,0,0,0,-0.0118017928360442
