"","TP53","FOXO1","AR","TNRC6B","APC","SIN3A","SORT1","FGF17","ADCY3","ARNTL","GGT7","COPB2","ARHGAP35","LRP1","ATP1A2","NCKAP1L","KSR2","NTSR2","TNIK","SMG7","GP6","COL11A1","HERC2","RGMB","COL6A5","RYR2","RCHY1"
"FGFR4 ligand binding and activation",0.715276399511143,0.72441477745064,0.724480985652469,0,0.722272783438428,0,0.724615922345767,0.731632616897015,0.604452926439018,0,0,0.61869510885717,0.72847287409237,0.728617958832014,0.72847287409237,0.726105257774349,0.728921105601778,0.72097932342967,0.625667345557338,0.722686065666174,0.72847287409237,0,0.71748716189661,0.627122249577944,0.621386272483174,0,0.718290545073698
"Collagen degradation",0.846023957564961,0.850601557695155,0.850638154616257,0.791256841956332,0.849417559584667,0.789378557755997,0.851402684634614,0.737555425543044,0.72896748714613,0.736111176177534,0,0,0.790158613150647,0.85292488763222,0,0.851535979312432,0.853092453554699,0.73180634241528,0.856036035427631,0.73171813281888,0.910171390872394,0.908400715611186,0.728844412255387,0.792423997263177,0.907821114898814,0,0.787177355197786
"Lewis blood group biosynthesis",0,0,0,0.386419397425981,0.38334058642743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386055785946773,0,0,0,0,0
"Aspartate and asparagine metabolism",0,0,0,0,0,0,0,0,0,0,0.678394872716715,0,0,0,0,0,0,0,0,0,0,0,0.526460228907118,0,0,0,0
"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1",0.143442782997026,0.154515014716794,0.030449537751355,0.031891168323206,0.026261708193796,0.0250735813124392,0.154758725679816,0.0337282234669158,0.0201505550269393,0,0,0,0.0352861853597899,0,0,0.0309052066558125,0.0358292711425318,0.0262068575085492,0.0386003789405371,0,0,0,0.0167289104646521,0,0,0.0305307659375647,0.0202486259177773
"Tryptophan catabolism",0.522164445193722,0.534454377165397,0.534543418601617,0,0,0,0,0,0,0.54030793063441,0.400198136158629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol oxidation",0.605792136491145,0.616069774141637,0.616144236361563,0,0,0,0,0,0,0.62096489493327,0.733842535374846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.698708947871737,0.704414234623097,0.704447563776239,0.703710372381481,0.702538407852285,0.757653082369845,0.757962231080757,0.706653538391395,0.750977243948194,0.704644241656053,0.702624833124026,0.702164380790745,0,0,0.752546048498729,0.704160186017991,0.704762727665453,0.70273826754507,0,0.702530106364544,0,0,0,0.70528415637033,0.702980504104752,0.754392993768916,0
"Transport of bile salts and organic acids, metal ions and amine compounds",0.58526193105421,0,0,0,0.585605623748863,0,0.515698772289746,0,0.585774278621541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592005648921321,0
"Glutathione conjugation",0.657487785349623,0,0,0,0,0.574058355656831,0,0,0.571588841766553,0,0.762673812832513,0,0,0,0.578982930278177,0,0,0,0.58326400815593,0,0,0,0,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.671061662675797,0.545266634012206,0.545355955152207,0.54696115975826,0,0.542376881054686,0.538819697015309,0,0.528710329639794,0.551138575111922,0.823061500029695,0,0,0,0.532317099708983,0.542369179358992,0.532921806502083,0,0,0.537756365107136,0,0,0.530742551128991,0,0,0,0.531826391185862
"Defective GALNT3 causes HFTC",0.574748912179991,0,0,0,0,0,0,0.593096255231146,0,0,0,0.581813308399545,0.589656867654805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythrocytes take up carbon dioxide and release oxygen",0,0,0,0,0,0,0,0,0,0,0,0,0,0.78637713941625,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0.78637713941625,0,0,0,0,0,0,0,0,0,0,0,0,0
"O-linked glycosylation of mucins",0.816687038927501,0,0,0.822204633955151,0.82058699798993,0,0,0.824418565725086,0,0,0,0.819873979478043,0.822969215966943,0,0,0,0,0,0,0,0,0.869789814059602,0,0,0,0,0
"FGFR2c ligand binding and activation",0.684117581647043,0.695214494995211,0.695294892926167,0,0.684022608421317,0,0.695458749225712,0.825852473640072,0.681357672137049,0,0,0.691711186034235,0.700142322131483,0.700318501404723,0.691551501315998,0.697267278737924,0.692095797716601,0.691042755126852,0.565153721065018,0.689500005910676,0.700142322131483,0,0.686802154203281,0.701944429939267,0.694979119332817,0,0.687777718308919
"Peptide hormone biosynthesis",0,0.537475181895517,0.537544259561267,0,0,0.535240353848125,0,0,0.60694480648734,0.51093221669715,0,-0.0149812802386045,0,0,0,0,0,0.502086718836585,0,0,0,0,0,0.540932125515206,0,0,0
"Defective C1GALT1C1 causes TNPS",0.574653947318045,0,0,0,0,0,0,0.5930012903692,0,0,0,0.581718343537599,0.589561902792859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest",0.768492712930263,0,0,0.58031933280272,0.00890832407706186,0.00890832407706186,0.578613173391588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246759669081939
"O-linked glycosylation",0.57501492287817,-0.0273331775126174,-0.0273331775126174,0.578899764106291,0.577760815187733,0,0,0.580458554371431,-0.0273331775126174,-0.0273331775126174,0,0.577258791444143,0.579438092799644,-0.0273331775126174,0,-0.0273331775126174,-0.0273331775126174,-0.0273331775126174,0,0,-0.0273331775126174,0.891774901856281,0,-0.0273331775126174,-0.0273331775126174,0,0
"Metal ion SLC transporters",0.415991204035274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0.545581589212622,0,0,0,0,0,0,0,0,0,0.687912027804861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
