"","UNC5B","WNT10B","SCRIB","JARID2","KNTC1","SIAH3","PHF2","STAMBP","CDH10","UBE3B","ATP2B2","APC","KIF26B","NOS1","CDC27","BRAF","KIF1A","NEFH","TP53","UGGT2","CTPS2","MYO16","FBXW7","THBS4","RAF1","KCNB1","PDYN","RYR2","DOT1L","IRF5","DMC1","PI4K2B","MYH14","PPM1L","HIVEP2","DDX10","F2","RAB3C","TTN","TRPC7","MYH2","PHF10","MCHR2"
"Neuronal System",0.914525436107188,0.91372162569647,0.920591071724684,0,0.914137690887979,0,0,0.914168245407712,0.908446847168721,0.913660618499516,0.920672180242956,0.914407128475604,0.914100256827254,0.91985592405534,0.913547327029578,0.919503527439514,0.914096488091557,0.914178150678011,0.924045688066599,0,0.913882581193116,0,0.913643402191754,0.914123805723359,0.919822064742017,0.920603054787839,0.917054375785385,0.919978994513094,0,0.913761668628355,0.914132723014212,0.914439675546572,0.913983911384989,0.914788152694216,0.907787062231284,0,0.919671188347123,0.914255042843275,0.914087312173977,0.91405444399106,0.913144148724621,0.907782204797659,0.919133497259115
"Interaction between L1 and Ankyrins",0.907965313886339,0,0.87663010668247,0,0.906917930279715,0,0,0,0,0,0.909631802849798,0.906603436954573,0.907331423706364,0.906096220500345,0,0.905923478267744,0.907310984506087,0,0.926924990691209,0,0,0,0,0.907256693099069,0.9050213227365,0.908471670001003,0.874013641343816,0.9061098447472,0,0.906656186197637,0,0,0.872878199133783,0,0,0,0.904203066137886,0,0.872627840604529,0,0.87201467757544,0,0.873328153239268
"Platelet homeostasis",0.82389606842646,0.823705441456667,0.823701162470969,0.803594491642774,0.821831613563724,0,0.805715644135772,0.80421511059804,0.803969404936839,0.821750617365223,0.843478521544457,0.82244834716552,0.800151792562539,0.905130676146804,0.821377547524836,0.824532133364878,0.80013938208163,0.823831702378097,0.821689223517084,0,0.822906318258106,0,0.821693923907258,0.824347372922123,0.843265853702998,0.824431864982889,0.840411409180074,0.823075949990377,0.804866499006319,0.822480375985882,0.803401973978285,0.823420343765979,0.823479314491787,0,0.784861512516827,0,0.841796948816637,0.801852166814502,0.823775053830594,0.843615775605442,0.824438689836138,0.80200611282916,0.83999518756084
"Phase 0 - rapid depolarisation",0.910263525887169,0,0.909553504380226,0,0.905944701498505,0,0,0,0,0,0.909169321208684,0.907471292688265,0,0.935320792358567,0.904491317222697,0.935774184218144,0,0,0.93338652502501,0,0,0,0,0,0.906204028675579,0.909041180030314,0.905856337927632,0.935949821402232,0,0.907521005107266,0,0.908052201120003,0.909071472748581,0,0,0,0.906527084565606,0.908505351239915,0.907867440365914,0.908601999973397,0.90825766494715,0,0.905210314024836
"Opioid Signalling",0.875463076348839,0.875947614517753,0.876583260602867,0.85767994387503,0.87421038973772,0,0,0.876146956348986,0.855274227539562,0.87375965266414,0.895804909656796,0.874998159004435,0.853435684656341,0.89309405592488,0.873918230794624,0.893388658429506,0.853423168376056,0.875816916242928,0.892372046574787,0,0.875594957999993,0,0.87370247589433,0.875843717175454,0.893205832427147,0.8950944832357,0.893928473716654,0.893502783006834,0,0.874495632478534,0.875375618536038,0.875106250495973,0.875057560905024,0.877728512240595,0.855630332786111,0,0.892480533489599,0.854415176320968,0.875255565694854,0.877350342336484,0.874974295315777,0.853604800696398,0.892159757858002
"GPCR downstream signalling",0.932573331293395,0.932657508940396,0.932763591283385,0.928870193855619,0.932297341640265,0,0.928514612781708,0.932528450125402,0.932657565400131,0.932314775736,0.936774390336707,0.932460664621367,0.928148003611454,0.93621236699874,0.932236770262886,0.936273444983537,0.928145408694014,0.932585692510688,0.936062677585325,0,0.932423115012984,0.928547321554083,0.932302921655256,0.932543600633478,0.936189053577557,0.936627102335196,0.936376800557534,0.93629710567579,0.928337064343333,0.936219063930561,0.932538920804428,0.936438027276748,0.932430650628172,0.933026730662316,0.928357049091513,0.92851080501991,0.93606165619772,0.931944371553728,0.932465904370738,0.932948327202429,0.93250220442355,0.927867098098417,0.935998267422681
"Diseases of Immune System",0.880241394913847,0,0,0.830197888625573,0.877345649412017,0,0.834922560509005,0.880892427783156,0,0.875366180836536,0.832857069216051,0.876920309726645,0.788382803787104,0.876920309726645,0.874535202115651,0.924008071168577,0.788355160583512,0.881337176319011,0.874144483299233,0,0,0,0.875239901378692,0.919935235671078,0.923109064216952,0.8801572018683,0.874602722066516,0.833406360536524,0.833031167914027,0.876991650975106,0.830467071157161,0.87932422937084,0.878035483350788,0,0.833688396151404,0,0.91553152856877,0.831465227960023,0.878198994360174,0,0.878048816040187,0.877420479738424,0.874856837905091
"Defects in Toll-like Receptor Cascades",0.880241394913847,0,0,0.830197888625573,0.877345649412017,0,0.834922560509005,0.880892427783156,0,0.875366180836536,0.832857069216051,0.876920309726645,0.788382803787104,0.876920309726645,0.874535202115651,0.924008071168577,0.788355160583512,0.881337176319011,0.874144483299233,0,0,0,0.875239901378692,0.919935235671078,0.923109064216952,0.8801572018683,0.874602722066516,0.833406360536524,0.833031167914027,0.876991650975106,0.830467071157161,0.87932422937084,0.878035483350788,0,0.833688396151404,0,0.91553152856877,0.831465227960023,0.878198994360174,0,0.878048816040187,0.877420479738424,0.874856837905091
"Signaling by GPCR",0.930335348854893,0.934215197226492,0.934258487623954,0.926830601833295,0.930074144961964,0,0.92649345943637,0.930233677179578,0.930415070237009,0.93009064505037,0.934311342027441,0.933549472116899,0.926124206246459,0.933779428304846,0.93001681861153,0.933837234121912,0.926121750348098,0.930347047837234,0.933637758292689,0,0.930193180201903,0.92652502696437,0.930079426035445,0.930307210973557,0.933757363867642,0.934171944774898,0.933935052565386,0.933859627225624,0.926325422907605,0.933785766457898,0.930302781859814,0.933992999148632,0.930200312107032,0.930764457985872,0.926344948083235,0.926489664826399,0.933636791624497,0.929740084754831,0.930233677179578,0.930690254881845,0.930268032507759,0.925880760147493,0.933576798814548
"GABA B receptor activation",0.883330919482692,0.879728903675801,0.882359688351311,0,0.880471432528987,0,0,0.8846413950108,0,0,0.881927095262212,0.88013186159507,0.840464017484607,0.87982125544722,0.875194371098413,0.880651312049685,0.840441948468283,0.882668673384859,0.878311135022181,0,0.880586252423815,0,0.876713242188606,0,0.880328948700601,0.883659064723731,0.912074790457738,0.879706977602909,0,0.880188817047853,0,0.882446397428859,0.881654579628587,0,0,0,0.914483260879041,0,0,0,0.881032807253328,0,0.913917661316765
"Activation of GABAB receptors",0.883330919482692,0.879728903675801,0.882359688351311,0,0.880471432528987,0,0,0.8846413950108,0,0,0.881927095262212,0.88013186159507,0.840464017484607,0.87982125544722,0.875194371098413,0.880651312049685,0.840441948468283,0.882668673384859,0.878311135022181,0,0.880586252423815,0,0.876713242188606,0,0.880328948700601,0.883659064723731,0.912074790457738,0.879706977602909,0,0.880188817047853,0,0.882446397428859,0.881654579628587,0,0,0,0.914483260879041,0,0,0,0.881032807253328,0,0.913917661316765
"Adrenaline,noradrenaline inhibits insulin secretion",0.885237239004755,0.880165012984061,0.883503185810159,0,0.881608868452692,0,0,0.887093339284195,0,0,0.883370585645394,0.881177990747388,0.830363498788223,0.880676321715896,0.877540731313023,0.881837115535608,0.830335495663802,0.883997772812966,0.879060944207221,0,0.883208152404605,0,0.876338474338396,0,0.880926403307969,0.885653618778002,0.92120834172801,0.920651922507103,0,0.881250260875212,0,0.883613209974865,0.883002605968895,0,0,0,0.92098685826687,0.884110351826791,0,0.884119360949253,0.882321190471099,0,0.920269175399541
"Potassium Channels",0.931153054038797,0.928768493266362,0.930148738102327,0,0.929652820234753,0,0,0,0,0.911951688646322,0.931190193610864,0.929474663872377,0.908168116160363,0.929474663872377,0.926804077174236,0.929459862776633,0.90815653762028,0.930397924648031,0.926727499112053,0,0,0,0.927186322276288,0,0.929083307722496,0.94891316349295,0.945738807717068,0.929565436953871,0,0.929504545629829,0,0.928897070280426,0.930149188453243,0,0,0,0.945647230252564,0,0,0,0.929947346264011,0,0.945350487656211
"Glucagon signaling in metabolic regulation",0.869006055586171,0.864731571713317,0.867762750707194,0,0.866342380349723,0,0,0,0,0.816296730255588,0.908221711159022,0.8659511281536,0,0.902714394346076,0.863126153810162,0.865918623217275,0,0.868309993488482,0.862766747904135,0,0.86538812856696,0,0.860163389278275,0.867668947406167,0.902485944052692,0.906778422896289,0.901669089120233,0.903544756199926,0,0.866016751985785,0.867075846562655,0.865013941865315,0.868063476533632,0.87149805977361,0.82426139094289,0,0.901467974303873,0,0.867127336695202,0.821984386456037,0.866989193936542,0,0.900816292876625
"Dermatan sulfate biosynthesis",0,0.737855189588066,0,0,0,0,0,0.750446890272846,0,0,0,0.632399097402984,0,0,0,0,0,0,0.732162427163314,0,0,0,0,0.740049894565522,0.737990724868513,0,0,0,0,0.738727934839419,0,0,0,0,0,0,0.735438791924885,0,0,0,0.635993662850434,0,0
"Insulin processing",0.713113861063554,0.71045145985172,0,0,0.707165357164305,0,0,0.71471154965065,0.647564124177,0.705362461918556,0,0.707528660660261,0.764607312986536,0.705882247563657,0.704204214960392,0.708435563564342,0.764568782930749,0,0.703659617524572,0,0,0,0.705186449231046,0.711778035879809,0.70787275289615,0.649668008793893,0.705944739705995,0.703532738337875,0.594419946819194,0.708318354963452,0,0.710879327224378,0.711419697823698,0,0,0,0.705639996207186,0.713243486474862,0.643975863096685,0,0.765498188541666,0,0.704652522077521
"Nucleotide catabolism",0,0,0,0,0,0,0,0,0,0.754730842819064,0,0,0,0.756822141651488,0.753714186183994,0,0,0,0.755307244160452,0,0.809009760331029,0,0.754576346866925,0,0,0,0.755431847693684,0.752657863574602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754297597681904
"Peptide hormone metabolism",0.726823710759402,0.725658198281493,0.727494881299179,0.705780473593739,0.725088179239615,0,0.707497459029353,0.727711525411358,0.726230846107709,0.724461423647367,0.727543190817051,0.725214477480352,0.745057208014905,0.724882080709159,0.724819647634364,0.72586214851282,0.745043813488522,0.727783150436435,0.724201846342878,0,0.705378942740395,0,0.724400234880874,0.726691723420563,0.744792189528725,0.726782914982383,0.744029500984491,0.725079527855848,0.70658098392076,0.725437564612308,0.705000334526976,0.726379297794659,0.726327191737932,0,0.704118071151068,0,0.76362161244506,0.726868773528092,0.726406421068998,0,0.745459347706279,0.725789231849368,0.743580276534564
"G-protein mediated events",0.861874652385855,0.861647445973434,0.863850450039506,0.834674966942784,0.860071307159813,0,0,0.862901063918052,0.831122892095303,0.858416888757323,0.890967028487181,0.860245561221712,0,0.886964413875318,0.858192422829782,0.887399398720065,0,0.862983712374952,0.858389822178288,0,0.861126743541453,0,0.858332466432501,0.861494040049861,0.886798380484932,0.889918073635707,0.886204705633914,0.887567905303583,0,0.859834646569584,0.861062985475886,0.860588203847581,0.860333268984206,0.864276967132676,0.829946241790502,0,0.88605853915576,0.830249221773895,0.861100407538916,0.863718593817976,0.86054139914865,0.829922422755375,0.885584909311759
"Regulation of TLR by endogenous ligand",0.853650209319171,0.78884352461257,0,0,0.846605206527183,0,0,0.853602004925792,0,0.845035603414733,0,0.847178678785559,0,0.846495790620373,0.843889720314725,0.904133526788253,0,0.855434676974863,0.844296886335407,0,0,0,0.844861469597602,0.907440319447227,0.902893835750727,0.852588160732978,0.844928777436831,0.78399128617284,0,0.847277055228771,0,0.850493578222607,0.85034529240033,0,0,0,0.901367801079313,0.791605747383523,0.849887878723974,0,0.848734839347124,0.84881434130869,0.8436503537539
"G alpha (i) signalling events",0.926467797174797,0.926411242729868,0.926644856924699,0.919697463995805,0.925772773654495,0,0.919067124930051,0.926329046033401,0.918447203819519,0.925689525775368,0.933709244124129,0.926062296530928,0.91853138966748,0.932712944568895,0.925747806795479,0.932821217597748,0.918526789653715,0.9263632081821,0.93244758993692,0,0.926281633548946,0,0.925668512029897,0.92630831611237,0.932671616834643,0.933448146478383,0.933004436167955,0.932863160939911,0.918752384565665,0.925960014866354,0.92620102137581,0.926062270234414,0.926084128061874,0.927065762591376,0.918944185944596,0.919060374905398,0.932487461311647,0.918497588685766,0.926036300007719,0.926926776668665,0.925935347156779,0.917923853194399,0.932340796895847
"Integration of energy metabolism",0.882048158516418,0.882410055555381,0.883739940655087,0.866127608093104,0.880765213645728,0,0,0.882769716875186,0.8641665400049,0.880459868548638,0.900109376457753,0.882061008592378,0.881684281705486,0.897693122391698,0.880124506956238,0.881431695045147,0.881673125621049,0.882330606700812,0.897823651974361,0,0.881239796524355,0,0.880408905414438,0.89892349664849,0.897674926494636,0.900616014088567,0.901151728404664,0.898057431414369,0,0.881115866398366,0.882057234914227,0.881900220738286,0.882013836622124,0.883997415770868,0.863921493081524,0,0.898100184625626,0.882085690567804,0.88150073378346,0.883660343151379,0.882019217351901,0.881765637016537,0.896860358352671
"Ribavirin ADME",0,0,0,0,0.57992719681417,0,0,0,0,0,0,0.578694032599474,0,0.574141433752523,0,0.441320194827402,0,0,0.575524001479083,0,0.700376241465027,0,0,0,0.575985140293865,0,0.570846799215728,0.577258673942296,0,0,0,0,0.585351816139193,0,0,0,0.572776662799487,0,0,0,0.581965849572539,0.582133001904806,0.568158922136786
