"","CCR5","GSK3B","TP53","NTSR1","APC","PAK2","SMAD4","CREB3L3","ARPC1A","SPTBN2","ERCC2","MAP2K6","OPRD1","NPHS1","OR14I1","GP6","KCNMB2","MAMLD1","COL18A1","CLEC7A","HCLS1","NLGN4X","GPR50","NEFH","KIF1A","PLB1","RNF123","FBXO17","TRAF1","MYH6","CYP7A1","ZFPM1","SLIT1","TTN","LATS2","DMP1","CD109","MUC16","SYCP2","REV1","SMOX","PCCA","SHROOM4"
"NCAM1 interactions",0.886628772269884,0.888578099576199,0.887640084411684,0.889561322467655,0.888994091207566,0.888757271311999,0.889339753617335,0.891004272290068,0.889608987937807,0.923656742308742,0.885991116385674,0.89011416708843,0.847817336803936,0.892720008877185,0.890868945766035,0.928768850978995,0.890283228131822,0.891078132811445,0.924654484004512,0.894828693072986,0.892620811749808,0,0,0,0,0,0.888670103240135,0.888619506223996,0,0.853827223447037,0,0,0.893610296060116,0.854684842920194,0,0.892817044648116,0.890842231719265,0.853797968877118,0.850889588533893,0.892585753925509,0,0,0
"Activation of the phototransduction cascade",0.761478988116499,0.762769048794806,0.646524275978247,0.762494418939389,0.764969190661971,0.76191164685268,0,0.656904838115937,0.763948449837548,0.766217802678154,0.65011624765314,0.74382188673779,0.76247814058111,0.659885532205439,0.773862839754921,0.658217427197063,0.661405392833441,0,0,0.668069856436555,0.66226267007413,0.659205177208415,0.669601905856239,0.666094957714134,0.769081239720628,0,0,0,0,0.770182157342806,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.904486332996765,0.864625687710585,0.85898530349241,0.905548501586335,0.865622628934018,0.864839227302224,0.864839227302224,0.863689004863631,0.86516010484796,0.865293529629884,0.860612918824651,0.866456396264183,0.904939074838248,0.864829250623766,0.910699827291952,0.868112005225515,0.865728322688156,0.867605265230193,0.866482653312393,0.871381028578295,0.868749642137604,0.864423547729201,0.869442374878506,0.867853285909526,0.814140574860524,0.821541896643796,0,0,0,0,0,0.821359358046061,0,0,0.820323312121275,0,0,0,0,0,0,0,0
"Presynaptic function of Kainate receptors",0.889924893826981,0.834484907511301,0.826640006315503,0.891402205888738,0.835871498405347,0.834781908022791,0.834781908022791,0.833182126689654,0.835228199010226,0.835413772224884,0.828903767253109,0.837031139676656,0.890554587634398,0.834632540826394,0.898566902410247,0.839333835418316,0.836018502053707,0.838629038538975,0.837067659165565,0.844577571317955,0.840917720173655,0.839956343081015,0.841184173636051,0.838973996905039,0.76426793170827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transcriptional regulation of testis differentiation",0.62713196455994,0.628313814777318,0.624650046136676,0.629279433478807,0.717316818533291,0.628745544392084,0.798907715008746,0.634159885344419,0.717785238495713,0.718054993763383,0.714928132831365,0.720406051757815,0,0.725281509409721,0.728085220639036,0.72375332527086,0.726673883926512,0.722728809576661,0.543412071403743,0,0,0,0,0,0,0.720909069540274,0.714119374640597,0.71399745680468,0.724658222680153,0.721686817832564,0.723312975893142,0.80844510355151,0.647356482743335,0.635362374279196,0.64594743795146,0,0,0.544569260173039,0,0.723554469715221,0,0,0
"The canonical retinoid cycle in rods (twilight vision)",0.620943136255086,0.622054337809412,0.618609581994918,0.622962233739205,0,0.622460259483684,0.622460259483684,0.627550941867479,0.623070222018509,0.62332385185105,0.537282339168306,0,0.621803762263113,0,0,0,0,0,0.625584280806713,0,0,0,0,0,0,0.471879242517845,0,0,0,0,0.474139448114532,0,0,0,0,0,0,0,0,0,0.63216594277393,0.625631189251106,0
"Inwardly rectifying K+ channels",0.909680498022527,0.864190540049656,0.857753593552842,0.910892671186126,0.865328274123697,0.864434236732924,0.864434236732924,0.863121574330813,0.864800430154159,0.864952697827667,0.859052463480148,0.86627979009982,0.910197178251704,0.864662946403465,0.916771491967141,0.868169212148303,0.865448894459851,0.867590907885418,0.86630975529509,0.872471834525177,0.869468830992795,0.864311122244255,0.869447367720109,0.867873955241984,0.806548400757172,0.813670834837176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of G protein gated Potassium channels",0.90288634340386,0.851863604157989,0.844643754826793,0.904245948864126,0.853139716767844,0.852136940799296,0.852136940799296,0.850664623953,0.85254767301972,0.852718460467043,0.846333154911734,0.854206962236986,0.903465865605717,0.852393467610993,0.910839789640189,0.856326187947475,0.853275007725093,0.855677546600575,0.854240571992036,0.861152122931623,0.857783874794781,0.851998852334661,0.857759801020821,0.855995019997163,0.787210657139473,0.795199367462673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G protein gated Potassium channels",0.90288634340386,0.851863604157989,0.844643754826793,0.904245948864126,0.853139716767844,0.852136940799296,0.852136940799296,0.850664623953,0.85254767301972,0.852718460467043,0.846333154911734,0.854206962236986,0.903465865605717,0.852393467610993,0.910839789640189,0.856326187947475,0.853275007725093,0.855677546600575,0.854240571992036,0.861152122931623,0.857783874794781,0.851998852334661,0.857759801020821,0.855995019997163,0.787210657139473,0.795199367462673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.900259236510464,0.846943587947539,0.84547388152003,0.901655621853211,0.848254221801383,0.847224318858609,0.847224318858609,0.85074497812406,0.848558810503007,0.84782156972608,0.846700985955548,0.849350338265885,0.900854435876839,0.852520590251603,0.908427838412495,0.851526893013997,0.848550540980548,0.851773353045447,0.849384857227964,0.856219571397356,0.852760205819269,0.847995143187149,0.853433238597225,0.851957472302877,0.785786680034871,0.788969637303048,0,0,0,0,0,0,0,0,0,0,0,0,0.787404292023792,0,0,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.90288634340386,0.851863604157989,0.844643754826793,0.904245948864126,0.853139716767844,0.852136940799296,0.852136940799296,0.850664623953,0.85254767301972,0.852718460467043,0.846333154911734,0.854206962236986,0.903465865605717,0.852393467610993,0.910839789640189,0.856326187947475,0.853275007725093,0.855677546600575,0.854240571992036,0.861152122931623,0.857783874794781,0.851998852334661,0.857759801020821,0.855995019997163,0.787210657139473,0.795199367462673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metabolism of Angiotensinogen to Angiotensins",0.748898468948005,0.750545545108891,0.691006053660714,0.750266557831608,0.69527420010553,0.750820587267356,0.750820587267356,0.754269903624787,0.751233882301336,0.751405735397672,0.750307859222179,0.752903524855125,0.749481607149,0.756009534612679,0.75779569604764,0.755035973731725,0.756896575203347,0.75438328510839,0.752937344322322,0.760786175093014,0.75739691036299,0.755612457086421,0.761680329462915,0,0.696106117711787,0.753223982595113,0.700376183776682,0.70029851353216,0.698641643477241,0,0.754755440177426,0.756896575203347,0,0,0,0,0,0,0,0,0,0,0
"Blood group systems biosynthesis",0,0,0,0,0.514800370629196,0,0,0,0,0,0,0,0,0,0,0,0,0.518234463431547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.591467845542533,0,0,0,0,0
"Scavenging of heme from plasma",0.67705880518095,0.678369496809572,0.6710362557354,0.679440384075888,0.680604823857024,0.674021681387511,0.675578231697724,0.684852886701087,0.771371538980428,0,0.677955731521219,0,0.678073936324084,0,0,0,0,0.68505026199714,0.679263097489881,0,0,0,0,0,0,0.780327106401578,0,0,0.687190013351175,0,0.685698112198017,0,0,0,0,0.692926398125878,0.690629750951457,0.683816499625466,0,0,0,0.686880164816327,0
"TNFs bind their physiological receptors",0.401034851827135,0.401774915469501,0.399786757049369,0,0.400613826251785,0.40204526054921,0.40204526054921,0,0.40245149746768,0,0.400662404405385,0.455104606204463,0,0.296280362298508,0,0.406188658041692,0,0.294681885343862,0,0.411840659371349,0.408509275380239,0,0,0,0,0,0.290169621352813,0.290093277534966,0.405106288224833,0,0,0,0,0,0,0,0,0,0,0.296077790361309,0,0,0
"Collagen biosynthesis and modifying enzymes",0.875362731384658,0.873889076673393,0.89915695124452,0.875947883321899,0.874541124173759,0.904392049095536,0.902532427642258,0.878090321568281,0.875937007055939,0.903205535480337,0,0,0,0.878616153649974,0,0.933767540036591,0,0.877579229623905,0.932273180148126,0,0,0,0,0,0.874659166981878,0,0,0,0,0,0,0.878855466943002,0,0,0,0.907592907972552,0.906036076935524,0,0,0,0,0,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767949439328586,0,0,0,0,0.86309622340523,0,0,0,0,0,0,0,0,0,0.777051071272781,0.773697151026872,0
"G-protein activation",0.899243327408035,0.838433570443508,0.829828832837497,0.900863728014282,0.839954462869347,0.838759337640115,0.838759337640115,0.837004605712324,0.83924885519387,0.839452402539971,0.832311855680572,0.841226423931401,0.899934011694519,0.84248101530912,0.908722378117778,0.843752152700818,0.840115704902827,0.842979091057223,0.838346469760559,0.849503783010169,0.845489448350272,0.837983477821924,0.845312142323201,0.843357461179535,0.766390267768832,0.840546922491068,0,0,0,0,0,0,0,0,0.774517868590964,0,0,0,0,0,0,0,0
"Thromboxane signalling through TP receptor",0.874268305358813,0.813458548394285,0.804853810788275,0.87588870596506,0.81392038076896,0.813784315590892,0.813784315590892,0.812029583663101,0.814273833144647,0.814477380490748,0.80733683363135,0.815192341831014,0.874958989645296,0.817505993259898,0.883747356068555,0.818777130651596,0.815140682853604,0.818004069008,0.812948746364182,0.82376421789433,0.819749883234433,0.81274329357074,0.820806687742067,0.818382439130312,0.747647565132947,0.815571900441845,0,0,0,0,0,0,0.754857844004397,0,0.749699088640308,0,0.754050129248539,0,0,0,0,0,0
"G alpha (z) signalling events",0.906024304305161,0.868221166704322,0.866552591876711,0.90700231709269,0.869139120101274,0.868417787516985,0.868417787516985,0.909225000872444,0.869813900050601,0.869297544797326,0.86805125096317,0.869906827900896,0.906441175331821,0.872127237186791,0.911745502366942,0.871431262676345,0.870143382766435,0.872065329950587,0.869931004598611,0.874880188497091,0.872202160645896,0.869319698847486,0.872640761954316,0.872099984782289,0.822829296645329,0.87059736459069,0.868144371008226,0.868088846478158,0.871843376318557,0.826788372773763,0,0,0.831239400376206,0,0.872462511784323,0,0,0,0.871385166560797,0,0,0,0.874625061881347
"Activation of kainate receptors upon glutamate binding",0.896468435518789,0.848308959910809,0.841494269776601,0.897751743451054,0.849513460394627,0.848566957609568,0.848566957609568,0.847177263361581,0.848954640604313,0.849115843903569,0.843330300163223,0.850520814819312,0.897015436439498,0.848437205668244,0.903975555004712,0.852521115085832,0.849510711087851,0.85190887380702,0.850552538482181,0.85707623112997,0.85389700033238,0.850119182036139,0.854128462493099,0.852078083334153,0.794919153754189,0,0,0,0,0.750289337696018,0,0,0.799636065712087,0.750767279340365,0,0,0,0,0,0,0,0,0
"Nitric oxide stimulates guanylate cyclase",0.520633262999473,0.614387196483621,0.521163284215663,0.524683041758156,0.439929498284113,0.525149600259966,0.614807416584526,0.611376997902509,0.440438290496421,0.440700854337127,0.520944726390059,0.528331993272707,0.521524204210195,0.533077475714422,0.532384934552712,0.446247273575378,0.621194681624015,0.529606613910358,0.441215534596662,0.455032654732008,0.44985440433291,0,0,0.538614401535613,0,0.441653471691787,0.438236278998164,0.438117611379453,0.445709063555497,0.529578615303623,0.444399679808714,0,0,0.531590031557085,0,0.453207283341085,0,0,0,0,0,0,0
"Prostacyclin signalling through prostacyclin receptor",0.867298832829721,0.797578699869338,0.78771312105556,0.869156668666534,0.799322446719204,0.797952201317056,0.797952201317056,0.795940350761778,0.798513447252542,0.79874682013121,0.790371129288799,0.800780786610589,0.868090722202266,0.798302732936559,0.878166836729276,0.803676607189651,0.799507315341842,0.802790269811104,0.799612469966063,0.809394445954429,0.804791895965637,0.797574661259709,0.806003552687574,0.803224082024023,0.709275343133497,0.722274434246317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Binding and entry of HIV virion",0.200649876331441,0.432329679332782,0.421245637302172,0.435250976860721,0.43842747840394,0.433635795975313,0.433635795975313,0,0.682981871217073,0.436414539843577,0.431200959670095,0.439281074335112,0.678906838351226,0.458277001973514,0.462512953579731,0.453653768661848,0.462489368850414,0,0,0.480960250467333,0.464865353981197,0,0.480960250467334,0,0,0,0.428754214076054,0.428385374624077,0,0,0,0,0,0,0.460504170734157,0,0,0.447188681172905,0,0.457298317328061,0,0,0
"Sensory perception of taste",0.862501227234642,0.817115947372451,0.815543832802073,0.863678479800117,0.818657285945905,0.817789004215601,0.816797168166468,0.817128203518927,0.818144648242011,0.863889324424134,0.816355961155863,0.819581390403602,0.863003022806096,0.821698683815961,0.868951561354057,0.82086092608071,0.822581064852556,0,0,0.775620422109173,0,0.821356995098158,0.822933139699229,0.825372644493224,0,0,0.815912596110359,0.815845760179069,0,0,0,0,0,0,0,0,0,0,0,0.821084959623759,0,0,0
"Neurexins and neuroligins",0.845462658321915,0.843841339060557,0.844440435966235,0.845748672623675,0.846779582600129,0.845014543257787,0.846127239946206,0.848029378731893,0.881068759819976,0.846922855188835,0.845795759803089,0.847146010961433,0.845839658831524,0.847373823853901,0.850636667660367,0.84926981462248,0.849727529396702,0,0,0,0.850378851578207,0.882893618865898,0,0,0.810806695326359,0,0.845462658321915,0.845412444287375,0.814627083478622,0.847673517305611,0,0,0,0.848524645240278,0.849785117353121,0,0.814844180976732,0.847972338245145,0,0.849348670457866,0,0,0.852242166815554
"LGI-ADAM interactions",0.516073713891041,0.610233806285984,0.606499285060212,0.611218072458446,0.612288323942886,0,0.517718454245488,0.616192772793316,0.523147826723236,0.518078556743363,0.609853509321518,0.614006569373319,0.517006733898122,0,0.621834033931284,0,0.620395442298842,0,0,0,0,0.618340855766005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513427082900797,0,0,0,0
"G beta:gamma signalling through PLC beta",0.867298832829721,0.797578699869338,0.78771312105556,0.869156668666534,0.799322446719204,0.797952201317056,0.797952201317056,0.795940350761778,0.798513447252542,0.79874682013121,0.790559978063455,0.800780786610589,0.868090722202266,0.797764360347302,0.878166836729276,0.803676607189651,0.799507315341842,0.802790269811104,0.800826712733441,0.810271016539796,0.805668466551004,0.797225137445108,0.806003552687574,0.803224082024023,0.709280013567911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.79523186468791,0.829025903411494,0.825035384818254,0,0.772067370556482,0,0.800059359546789,0.801472427340567,0,0,0,0.797235733678056,0,0,0,0,0,0.801535130106056,0,0,0,0,0,0,0,0.831143975535717,0.735941468977683,0.735898515410902,0.797171584026218,0,0.830920430155456,0.799277073271031,0,0,0,0,0,0,0,0,0.830297085365034,0.82934736429798,0
"Sensory perception of sweet, bitter, and umami (glutamate) taste",0.854974700985467,0.804437450654342,0.802686875405415,0.856285590943292,0.80615375632808,0.805186910441141,0,0.804451098073601,0.805582925872709,0.85652036987552,0.803591193590542,0.807182761733633,0.8555334585493,0.809540402526634,0.862157253370338,0.808607545606685,0.810522948221389,0,0,0.758231505594194,0,0.809159926559109,0.81091498931303,0.81363141774164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inactivation, recovery and regulation of the phototransduction cascade",0.764059753309556,0.764424599666799,0.762887767498772,0.76406507471284,0.765825777758544,0.763693931609496,0.702591264463449,0.767801788574189,0.764786281567775,0.767077705580603,0.705263746091986,0.752814685896038,0.769297903163172,0.711485393746164,0.771305145192926,0.710423047618695,0.712832558411907,0.706478867518184,0.70490106213931,0.715017585185861,0.712023595140359,0.711431333346873,0.706418777250262,0.704185349043228,0.768901308554068,0.705213840790385,0.704701522528626,0.704616769037497,0.70782013555432,0.7696024368204,0,0,0,0.70983589216096,0.708765193389864,0,0,0,0.706416353755436,0,0,0,0.7157219486089
