"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Transcriptional regulation of pluripotent stem cells",0.748705356471911,0.825257580626324,0,0,0.824405014478056,0,0,0.825112336017509,0,0,0,0,0.830580813691813,0,0,0,0,0,0,0.758418174514886,0,0,0,0,0.828622700431488,0.760654872234308,0.82442698001168,0.824149242615158,0,0.825757392230072,0,0,0.820747940609423,0,0,0,0.748051358921644,0.821523615298394,0,0.820546243563935,0.754920438346069,0.756863730713769,0.760100659160374,0,0,0,0,0,0,0,0.747016173477726,0.83588524114319,0,0.825309288034511,0.890282247951472,0.752116406817548,0.749419673471629,0.765171614111787,0.822093381686151,0.826145320937367,0.754347607085848,0.754790037740803,0.824230953889474,0.824541519177858,0.74931273454868,0,0.758984472472088,0.819524699919467,0,0.751616559219616,0.825506674919795,0.830082787359761,0.826403664323291,0,0.754699379690514,0.812352855047748,0.825844829297643,0,0.820744572886357,0.820376510722051,0.827133485073156,0.759591343755515,0,0,0,0,0,0.828663664706967,0,0,0,0.820757973012667,0.752480721706178,0,0,0.825276516702995,0,0,0,0,0.812807488313659,0.747840463525798,0,0.825047492217086,0.751439442089474,0,0.75104476280869,0,0.75331807712664,0.713581899837595,0,0,0.753644204345346,0.825630469747781,0.825909525121803,0.748226606468176,0.821068524625375,0.822686354670503,0,0,0,0.754921288606859,0.754812390932325,0,0,0,0.820663311641258,0.829021523941173,0,0.825206685526496,0,0.820757973012667,0.818332951685743,0,0,0,0.826372816513306,0,0,0.825485040296575,0,0.827004085703385,0.825909525121803,0.821582313303553,0.883342560433595,0,0,0.761997712463361,0.823408400274042,0.836653009999844,0.828809833435375,0,0.822551084334624,0.829249287685635,0.751616559219616,0,0,0,0,0.748226606468176,0.824071605634406,0.757987313783326,0.749313934736649,0,0.759829968524164,0.823712205159459,0,0,0.748242989320066,0,0.824687851192281,0,0.822933366907699,0,0,0,0,0,0.820717926550544,0.75368279077993,0.827779941338779,0.826418440834697,0.832449616278067,0,0,0,0.75332995081253,0.820757973012667,0.751526535256817,0.820191000774348,0.826418440834697,0.828612047987005,0.760919644848375,0,0.820731224200215,0,0,0,0,0,0.827481969313491,0.828148253956034,0.824267260973137,0.820757973012667,0,0,0.821892402610709,0.829288115556257,0.824438916669842,0,0,0.827823233638755,0.826220105445439,0,0,0,0.829077652002415,0,0.82442698001168,0.82442698001168,0.82442698001168,0.82442698001168,0.82442698001168,0,0,0,0.819139659899657,0.830082787359761,0,0.826302612246385
"SLC-mediated transmembrane transport",0.868208414194443,0,0.856166108804707,0,0.868789986290998,0,0.86953383704695,0.883737724844864,0,0,0,0,0.884895246071611,0.884895246071611,0,0.871505170936175,0,0,0,0.884431281995307,0,0,0,0,0.884085196805759,0.858281308737598,0.882971963361382,0.883300807824765,0,0.883253573797564,0.870274110574042,0,0.895992076529515,0.884431281995307,0,0,0.882527341366684,0.896156264804755,0,0.88154693667138,0.88369091070697,0,0.898201092165875,0,0,0,0,0,0,0,0.867850862186721,0.885622470163099,0,0,0.869393638463551,0.855069300940857,0.868359614791582,0,0.883098698057291,0.883956378379332,0,0.884169136953322,0.868753142613832,0.896724526544361,0.882351791618583,0.871879600286382,0.855783042465101,0.882482317699973,0.883972308262548,0.869608385892956,0.883588137644885,0,0,0.870670130285408,0.855273649800712,0.86911718877444,0.88391939811549,0.870227297481848,0.88241762122008,0.895913455384017,0,0.858056190000214,0,0.88518543691085,0,0,0.871280052198791,0.884489440145911,0,0.855302602531287,0,0.882420457645786,0.855394302026382,0.86924394180353,0,0.883667095698865,0,0,0,0.856363772228116,0.868661446564211,0.882482700808222,0,0.88361861772754,0,0,0.882815855484256,0,0.869529152523051,0.857467113768222,0.884169136953322,0,0,0.883451826654503,0.883906467110063,0.882564436289097,0.882648707426961,0.882603522471572,0.870584055433851,0,0,0.855880110544592,0,0.857467113768222,0.884021203529826,0,0.868700325946635,0.870011937575846,0,0.883362123585221,0.856428562645112,0.882420457645786,0.882230058486416,0.855723198114298,0.898536571010489,0,0.883383841618651,0,0.88492513191316,0,0.854053572397665,0.883517463355966,0.883906467110063,0.896168689503361,0.868149822684355,0,0,0.883843736464923,0.883143992567103,0,0.855477360040977,0,0.868622680733771,0.870547371283542,0.869608385892956,0,0.855742071620509,0,0,0.882564436289097,0.882896740710831,0,0.868337232908082,0,0.883384886713087,0.883441356955126,0.88424545682151,0,0.882567904072993,0.896287360595613,0.855545096506981,0,0.869870672167219,0,0,0,0,0,0.882411980948481,0.855401484130336,0.870236352442975,0.88361861772754,0,0,0,0.884432532390634,0.883697563233034,0.882420457645786,0.883478346275598,0.883149854867406,0.88361861772754,0.88424545682151,0,0,0.882414795682796,0.883956378379332,0,0,0.869798243366721,0,0,0.884380342345713,0.883453464959178,0.882420457645786,0,0,0.883005217274443,0.884459103799018,0.883587242322603,0.869807185017602,0.885218736194375,0.884206163257924,0.883351517027944,0.869330350746658,0.884432532390634,0.869210826359403,0.856602012731312,0.883719355360555,0.882971963361382,0.882971963361382,0.882971963361382,0.882971963361382,0.882971963361382,0,0,0,0.882422539917125,0,0.884039199649508,0.883756614944339
"Nitric oxide stimulates guanylate cyclase",0.72865268964292,0.73289494693935,0.738746193210368,0,0.731890303249868,0,0.730868091651898,0.736179183389485,0,0,0,0,0,0,0,0,0,0,0,0.737533744754227,0,0,0,0,0,0.744238600805724,0.729409713539423,0,0,0.73223067636947,0,0,0.72978304686563,0,0,0,0.728187738247182,0.730697083486657,0,0.729545371860179,0.733412095570041,0,0,0,0,0,0,0,0,0.66317805472463,0.726662196542842,0.745069813435425,0,0.732955877720427,0.735250836706161,0,0.729494423820982,0,0,0,0,0,0.803446354034942,0.732955877720427,0.726861936162086,0,0,0.647781265854476,0.65934789276815,0,0.734093194311609,0.737327619205383,0.655887274042239,0.738125051466325,0,0.729691460257847,0.732333710132118,0,0.64803307232365,0.729345362712685,0,0.742985364119076,0,0,0.741448548600379,0,0,0,0,0,0,0.648048862714065,0,0.811760198614285,0,0.734532754035085,0,0,0,0,0.72992148551842,0.727939224124251,0,0.734262877023228,0,0,0.731409390478572,0,0,0,0,0,0,0.732081113932413,0,0.728394245791586,0.728863383468992,0.728611838686729,0,0,0,0,0,0,0,0,0.726227932854896,0.73698177218795,0,0.732834973363138,0,0.648048862714065,0.64637693805552,0,0,0,0.732955877720427,0,0,0.654804789318537,0,0.733699750333087,0,0.730766251821088,0.727073273843768,0,0,0,0.804635033663705,0,0.737985557812993,0,0.728452439337375,0,0,0,0,0,0,0.728394245791586,0.728990948818049,0,0.729369823808365,0,0,0,0,0,0.728413550954945,0.808265233039246,0.653865400621742,0,0,0,0,0,0,0,0.648001672914728,0.734823683728558,0,0.734262877023228,0.742985364119076,0.739029772042417,0,0,0.65606323392724,0.648048862714065,0.733481985429277,0.731653272774008,0.734262877023228,0.737752492140635,0.744238600805724,0,0.648017342549107,0.733985234322706,0,0,0,0,0,0,0,0.648048862714065,0,0,0,0.660302732543623,0.732834973363138,0,0.666585796412848,0.810548141087311,0.732775926626945,0.73318737626427,0.734401927671399,0.732521983641702,0.736143191585446,0.655279830190461,0.729409713539423,0.729409713539423,0.729409713539423,0.729409713539423,0.729409713539423,0,0,0,0,0,0,0.735031107943303
"Peptide hormone metabolism",0.751690538911663,0.731754216639947,0.734800618773436,0,0.731462980964536,0,0.731950037039425,0.732342982183462,0,0,0.707995109463465,0,0.709726620395319,0.71081313880802,0,0.690596885702321,0,0.733080106600276,0.708100996751949,0.732997924337451,0,0,0.708735406389666,0.711170668996743,0.709173841354175,0.709868056583716,0.752273292384178,0.711158517168808,0,0.731416648006469,0,0,0.730226540234104,0.707354511581264,0.73322993137499,0,0.751555754375426,0.732204997219075,0,0.730419909753395,0.731540832427829,0,0.733585439058776,0,0,0,0,0,0,0,0.7511135158253,0.712249013563385,0.735128860029817,0.731771879834735,0.7341506517391,0,0.751934548827249,0.735754429221662,0.706972326347095,0.708211460861079,0.710013106239852,0.708227935634875,0.753676325764273,0.732672529791929,0.709889248814469,0.69120114571098,0.733640908320137,0.709551715429168,0.734580544078134,0.687418961699597,0.73273995693875,0.732207587122119,0.710188074890688,0.73353263813517,0.687927730029819,0.752354967804721,0.756738520041758,0,0.706511997949817,0.730099660185751,0.732743529617532,0.709504756404054,0,0.687219510805156,0.709757602097681,0.709180913100407,0.690233585522659,0.709071724372767,0,0,0,0.706516575418491,0.70890387718351,0.731482199509588,0,0.732508830708983,0,0.689788078811918,0,0,0.730266672148504,0.751483712735989,0.708753958585884,0.7313191504866,0.730921442537576,0,0.73069800020098,0,0.731736830928816,0.711623444371541,0.732675901689163,0.731668411989622,0.733372404396028,0.731841605990649,0.708139087111219,0.75161561874804,0.710106147230914,0.734111402789229,0.710158242785467,0,0,0.732284486238865,0,0.687986592841221,0.7341506517391,0,0.730604903639987,0.708517353614906,0,0.731530785373955,0,0.706516575418491,0.707431128170702,0.734812442853938,0,0,0.733485367183742,0,0,0.709874273915347,0.707241500538211,0.73269932693258,0.70813091326516,0.730511561045231,0.752221552197639,0,0,0.732150765233307,0.731384807641049,0,0.732604362183146,0,0.732555979532104,0.733380048472234,0.687418961699597,0.733556112228069,0.708482560696038,0.687629954907752,0,0.75161561874804,0.802749456981102,0,0.751898428589586,0,0.73141026624501,0.70738848498536,0.710421340874336,0,0.751621215112551,0.731811595198248,0.709601954978347,0,0.708481509551065,0,0,0.734409336065389,0.7100397673464,0.735298926407783,0.706502895590283,0.731950037039425,0.732878121347157,0.753110827875188,0.73514763738471,0,0,0.708362490391263,0.709003408918738,0.706516575418491,0.732806265547434,0.753290960089987,0.731787465053644,0.7560419636252,0.734679322817665,0,0.706507438053048,0.705930088180417,0,0.710203108808422,0.709143211877969,0,0.709409738028192,0.708895660616932,0.711404877667286,0.706516575418491,0,0,0.707355344521868,0.733939490341699,0.732375211873829,0.708826030613885,0.734369761548539,0.735188554786768,0.733433201247899,0,0.754630381789092,0,0.731325058837177,0.732313337219088,0.752273292384178,0.752273292384178,0.752273292384178,0.752273292384178,0.752273292384178,0,0,0,0.728743448984965,0.709672605471865,0.736428321330712,0.732010167145163
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.89757805760176,0,0,0,0.87378247029212,0,0.874843665632128,0,0,0,0,0,0,0,0,0,0,0,0,0.900338275729249,0,0,0,0,0.899739473637875,0,0.87355051612531,0,0,0,0.87584331289638,0,0.89792937087001,0.900338275729249,0,0,0.872781224088735,0.898213452031418,0,0.897855501847662,0.899057273567822,0,0.901751444806941,0,0,0,0,0,0,0,0.89695941543947,0,0,0,0,0,0.897839667276252,0,0,0.876729788336243,0,0,0.898131051349506,0.921608242685515,0.87351011434411,0,0,0.873735952643106,0.87658901041569,0,0.873820053091316,0,0,0.876528512490448,0,0,0.874821229176204,0.875762316140796,0,0.897793339315434,0,0,0,0,0,0,0,0.875661875382808,0,0,0,0,0,0.874342084277935,0,0.899203494068604,0,0,0,0,0.897972397388165,0.872703986285518,0,0.874657464911522,0,0,0.897543239124124,0,0,0,0,0,0,0.898643606543184,0,0.872845406312624,0,0,0,0,0,0,0,0,0.899628751455535,0,0.873401511488798,0.87538969701115,0,0.874076072295313,0,0,0.873299489745507,0,0,0,0,0,0.901192742700289,0,0,0,0,0.898234949442272,0.897087177625786,0,0,0.899321695121363,0.873333960613975,0,0,0,0.897515820117985,0,0,0,0,0,0,0.872845406312624,0.873420364700665,0,0.897800941785958,0,0.898527785993428,0,0,0,0.872851406327397,0.920851851218055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898847876824415,0,0.875178111354148,0.898121130161327,0.898932191106674,0,0,0,0,0.874883354328203,0,0,0.875329878901127,0,0,0,0,0,0,0,0.897870875900896,0.901057103219692,0.898877904882761,0,0.90170074149058,0.875536443141801,0,0.874210404654538,0.899838346384327,0.87400360166146,0,0.875324662888288,0.87355051612531,0.87355051612531,0.87355051612531,0.87355051612531,0.87355051612531,0,0,0,0.896862718283363,0,0,0
"Ion channel transport",0.887369504963508,0.87466295262798,0.875258399091359,0,0.88932748317762,0,0.874900989634937,0.887233382361971,0,0.873652994196455,0.875947720018879,0,0.888376306233776,0.874917327732665,0,0.87542613880488,0,0,0,0.875933497453277,0,0,0,0,0.87550505621569,0,0.874163022902481,0.886801975247587,0,0.888831145276619,0.875468718200314,0,0.887623337403622,0.873500803489672,0,0,0.874417772750777,0.887785455121126,0,0.887581182277115,0.888152630323251,0.874578443822378,0.875711746877366,0.876913053827949,0.875153562172407,0.876913053827949,0,0,0.876464199520404,0.891245057102317,0.874936128209266,0.878060246294899,0,0.874673759590116,0.876096427859828,0.873987393927858,0.875438464998867,0.876651763531216,0.886439416379798,0.887193390849074,0.873535273892764,0.876038863859288,0.888549092599654,0.889516478341515,0.874556977757971,0.875795846273536,0.8758295751797,0.873041107070074,0.874142317292736,0,0.875859998198612,0.877007584978619,0.874256545980046,0.876682064691792,0.875742307507623,0.874921242887655,0.888613224763389,0.875422495462152,0.887733158159723,0.887545707739525,0.874509697782095,0,0,0.875203859011644,0,0.876416932196312,0.875203859011644,0.887975617875682,0,0.875166489299156,0.874770816998025,0.88773595881562,0,0.874614750224055,0,0.889520374075952,0,0,0.875869082832047,0,0.887846502448889,0.874373695148797,0.874701977220126,0.888364553468066,0,0.874443120355861,0.888110404080896,0.914462841608692,0.875907675696478,0,0.876153194100023,0.875611026981782,0,0.888735911044112,0.889872047687289,0.874454399873778,0.887961330167446,0.888695702862049,0.874516639374572,0.877655667910944,0.877870902641102,0.873378673779659,0.874516639374572,0,0,0,0.874924452869891,0.876846296388343,0,0.888869619002214,0,0.88773595881562,0.872792029065805,0,0,0.876464199520404,0.875929119846514,0,0,0.873941018138528,0.87318689403061,0.874624828773452,0.887399996639638,0.887797723133418,0.888473112800656,0,0,0.875487356449426,0.875452559087715,0.875795846273536,0.87655036559968,0,0.888161019868357,0,0,0,0.874701977220126,0,0,0.874454399873778,0.873532631866444,0,0.875416365370492,0,0.87504222390719,0.886940751930501,0.874377965441916,0,0.874457823925887,0.915325099492714,0.873897937258609,0.874200375485354,0.875650740868734,0,0,0,0.875449734166707,0,0.887727589016881,0.889005216219147,0,0.88912287852909,0.876271767723136,0.876464134329674,0.873870123749764,0.874460449275857,0.873895214103224,0.88773595881562,0.88827939807267,0.889026780994954,0.876364060700958,0.889810519788214,0,0,0.887730368254935,0.875744086319444,0,0.875456782448782,0.876039020099637,0,0.873656798788448,0.887867895894153,0.888755939003406,0.884590843825558,0.875992900901741,0,0.886397411310611,0.888106129477801,0.875636834373893,0,0.890576710308328,0.875304843567366,0.875897202897164,0.87604768385601,0.889513889943119,0.875929666775804,0.87498727844791,0.872775369326727,0.874163022902481,0.874163022902481,0.874163022902481,0.874163022902481,0.874163022902481,0,0,0.873832378452196,0.885822082024331,0.874200375485354,0.875829664055294,0.903464457566983
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719560504678436,0,0,0,0.728712886091018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722395791531515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716613216997246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723867905051124,0,0.846001741726121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0.747848205921803,0.756739554749827,0.766440083379183,0,0.755343876931768,0,0,0,0,0,0,0,0,0.765515253353009,0,0,0,0,0,0,0,0,0,0,0.76050733273043,0,0,0,0,0.857250279814574,0,0,0,0,0,0,0.748459145000513,0,0,0,0,0,0,0.761533075933429,0,0.761533075933429,0,0,0,0,0.745082959799357,0.775394233962923,0,0.756824201416579,0.861445967134401,0,0.749017565500053,0,0,0,0,0.647966360234126,0.85475145185039,0.753826309611295,0,0,0,0.74936780161959,0,0,0,0.762897541328753,0.760628884468283,0,0.759707166610864,0.75222368955046,0.752961977797727,0,0,0,0.643138258873863,0,0,0,0,0,0.666625735002224,0,0,0,0,0,0.756365570387659,0,0,0.756016948259835,0,0,0,0.762411641121525,0.752608742809737,0.746857040587484,0,0.75863991971973,0,0,0,0,0.753658346052332,0.770593915030475,0,0.761337359893489,0,0.755608956222928,0,0.747489168828057,0,0.750789346488812,0,0,0,0,0,0,0.645081238576125,0,0.638041593859241,0,0,0,0,0,0.747416871972783,0.760186004635504,0,0,0.858257748880228,0,0,0.759125067808628,0,0.859291156560803,0,0,0.748651931158931,0,0,0,0.754969249841863,0,0,0,0.750567904659798,0,0,0,0,0,0,0.747489168828057,0,0,0.748844467838106,0,0,0,0,0.763017931107293,0.747515988076073,0,0.75782004396746,0,0.639260424064078,0,0,0,0,0,0,0,0,0.75863991971973,0.769016401673277,0.764005355501732,0,0,0,0,0,0.74645802860046,0,0.763487786146327,0.770757431515644,0,0,0,0,0,0,0,0.643708738625103,0,0,0,0.761669965707937,0,0,0,0,0,0,0.761442866598419,0.858007756019935,0,0,0,0.862685650341387,0,0,0,0,0,0,0,0,0,0,0.647966360234126,0.760151598584834,0.759707166610864
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.680146416994267,0,0,0,0.683771060460422,0,0,0.783172591578929,0,0,0,0,0.790386833418099,0,0,0.713137951287145,0,0,0,0.69444388956081,0,0,0,0,0,0.794394235934598,0.682396987560301,0.780449509726248,0,0.699694579058739,0,0,0.777414900713034,0,0,0,0.679625884514719,0.778438202832571,0,0.777148813631572,0.689829531394913,0,0.695179571433465,0,0,0,0,0,0,0,0.677917976949988,0,0,0,0,0,0.681088773513342,0,0.77918986220798,0.784535347993404,0,0.785204574574652,0.778937123137514,0.689318776484507,0.777356258285529,0.715471579234229,0.693787922499001,0.680358147288731,0.689491893735471,0,0.686237288881397,0,0,0,0,0.69825487145733,0.781066214300769,0,0.774945056237117,0.776924895049045,0,0.792991185194368,0,0.696192443852148,0,0,0.711734900546915,0.787857651213811,0,0,0,0.774962734237766,0.702354273954637,0.682336667871578,0,0.68672939432482,0,0,0,0,0,0.679347662589164,0,0.781773467878609,0,0,0,0,0,0,0.785861364113587,0,0,0.779330893102284,0.784224276404663,0.679857078323618,0.778193911280996,0.776899423987234,0.707397106245151,0,0,0,0,0,0,0,0,0,0,0.689183419013888,0,0.774962734237766,0.678785943746621,0,0,0,0.700506472217562,0,0,0,0,0,0.784224276404663,0.778515639667814,0.776189808894336,0,0,0,0.683469158216698,0,0.694949713124149,0,0.776720969767465,0.787177700041804,0,0,0,0,0,0.679857078323618,0.68192816298904,0,0.680949278602446,0,0,0.781325481063343,0.690334025421616,0,0.679878691259172,0,0,0,0.702950950709875,0,0,0,0,0,0.774909903289234,0,0.785239277591708,0.781773467878609,0,0,0,0.691499972418248,0.687932155407884,0.774962734237766,0.685553015045555,0.778105645879917,0.69078201671583,0,0,0,0.774927446098465,0.688532346329977,0,0,0,0,0,0.787973439720597,0.782196683781085,0.774962734237766,0,0,0.778924722302288,0.788681452591774,0.689183419013888,0,0,0,0.700305009463076,0,0.691499972418248,0,0,0.68705510225065,0.682396987560301,0.682396987560301,0.682396987560301,0.682396987560301,0.682396987560301,0,0,0,0.775293190307221,0,0.70459098593238,0.783290323973657
"Regulation of signaling by NODAL",0.774809428233304,0,0,0,0,0,0,0.781327445835169,0,0,0,0,0,0,0,0,0,0.786256207585236,0,0,0,0,0,0,0.782211842142196,0,0,0,0,0.773752490527616,0,0,0.776277089263775,0,0,0,0.77420573319701,0.777463878627486,0,0.775968490940689,0.77322213652398,0,0.792244345498526,0,0,0,0,0,0,0,0.772224962813245,0,0,0,0,0,0.775902339771655,0,0,0,0,0,0.777119638085906,0.780396707476769,0,0,0,0,0,0,0.781873404583356,0,0,0,0,0,0.771821955898537,0,0.664758842641332,0.775708798141265,0,0,0,0,0,0,0,0,0,0,0,0.664779344957062,0,0,0,0.780816922662199,0,0,0,0,0.774829630355856,0.773883061313805,0,0,0,0,0.77676153301741,0,0.780239724701729,0,0,0,0,0.777633701847449,0,0.774473863544948,0.77345578577557,0.773129178870311,0,0,0,0,0.784074884555314,0,0,0,0,0.787251155711416,0,0,0,0.664779344957062,0,0,0,0,0,0,0,0,0,0,0,0.777553687111872,0.867560936372305,0,0,0,0,0,0.786927267302715,0,0.766782496000634,0.787599636322179,0,0,0,0,0,0.774473863544948,0.772389340468499,0,0.775740558540695,0,0.77877705335867,0.779185232825303,0,0,0.774498929458078,0.781749284513676,0.781327445835169,0,0,0,0,0,0,0,0.664718073503993,0.775054949098365,0.785351522981818,0,0,0,0,0,0,0.664779344957062,0,0.777078190914441,0.782093721398593,0,0,0,0.66473841902953,0,0,0,0,0,0,0,0,0.664779344957062,0,0,0.776400918292911,0.789343634988736,0.780239724701729,0,0.79413008911475,0,0,0,0.786349669279191,0,0.679043459357227,0.782821875410886,0,0,0,0,0,0,0,0,0,0,0,0.783091195967823
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.486136250069626,0.489443997690593,0,0,0.490884064841017,0,0.457743302964415,0.490652036539728,0.51947936605721,0,0,0.520473371922764,0.462153270159337,0,0.520473371922764,0.436626578745256,0.448378966086088,0,0.431101858082796,0.491150284085844,0.520473371922764,0.51947936605721,0,0.461936039746503,0.457429107230989,0.461169317925029,0.458640563989986,0.489757358242478,0,0.429813254855531,0,0,0.485209116948773,0,0.459429080540751,0,0.458295871911008,0.485545326525792,0,0.486670197071378,0.489634220181007,0.432472121575109,0.461820487297894,0.462551253422441,0.493512218879496,0.462551253422441,0,0,0,0,0.485404088110419,0.465427550840431,0,0.489466409825581,0.461354864797446,0,0.486445864679652,0.492622521656486,0.45847446515876,0.460230743662018,0,0.460666411008324,0.489884859300339,0.489903628860289,0.457277802038363,0.437393300566731,0.49075680147517,0.487848826675716,0.460546006399358,0.489251401555045,0.489074731809495,0.490741682179523,0.430983073204305,0.432775139745436,0,0.458744198727204,0.489237558270961,0,0.4871550901226,0.485048123832584,0.484242818628428,0.460708340578355,0,0.520356841480486,0,0.491858526139485,0.436165601398583,0.461322298286149,0,0.457448431528379,0,0.487160898293039,0,0.457149682274827,0,0.458309169077962,0,0,0,0,0.488350271045931,0.487621136950486,0,0.489614379783719,0.428271052595252,0,0.484049970834991,0,0.488611921104595,0,0.460666411008324,0,0,0.489144645952674,0.460128539977224,0.458371831465098,0.515278891710682,0.487058527848144,0.434740403542007,0,0,0.490577813330268,0,0,0,0,0.483599061399238,0.489801813902461,0,0.489806346379911,0,0.487160898293039,0.457028528179952,0,0,0,0,0,0,0,0.456226895109249,0.489407245209518,0.460128539977224,0.485570768675403,0.523386599220694,0,0,0.489137146106022,0.484127673645951,0,0.491266685767493,0,0.487477129752681,0.491506951925525,0.489251401555045,0.459842958630015,0,0,0,0.458371831465098,0.458486529997688,0,0.486400033126982,0,0.488197555987578,0.459176130383846,0.460822691781503,0,0.458378932472495,0.461138140236691,0,0,0.433279603213992,0,0,0,0,0.461645078160563,0.487143540495649,0.48982066099921,0.458982682597005,0.489137146106022,0.49173035231879,0,0,0.461205767843871,0.460033548784576,0.487160898293039,0.45925187369604,0.489602454697076,0.490168037076857,0.462275047311061,0.461206386625803,0,0.487149304248464,0.460230743662018,0,0,0.456596482482028,0,0,0.461098897892883,0.49006995541493,0.487160898293039,0,0,0.458387352492967,0.492461992559194,0.488611921104595,0.490598213134293,0.464312757429017,0.489725086229267,0,0.48967975629019,0.462441398812674,0.489435005295494,0.517840088999779,0.459745389828011,0.458640563989986,0.458640563989986,0.458640563989986,0.458640563989986,0.458640563989986,0,0,0,0.457194199647211,0,0.458361181841009,0.488932716557198
