"","PIK3CA","KRAS","APC","TP53","GRIN2A","SMAD4","CACNA2D4","SOX9","KCNB1","PKD1L1","MYO5A","CDK14","PLXNA4","APBA2","SMARCC1","ABLIM3","NFASC","ITGAD","CYP2C8","AMPD3","MME"
"Initial triggering of complement",0.796518300915066,0.798550341145256,0,0.79667344128995,0.801118024239334,0.798657410347255,0,0,0,0,0,0,0.801919832634164,0.803815430712337,0,0,0,0.80210141308875,0,0,0.80476912253537
"Presynaptic depolarization and calcium channel opening",0.814312595277397,0.817514578848471,0.818892311176714,0.810173340830668,0.817176884054253,0,0.882763019583478,0.824466863627244,0.821408737451256,0.8845861017939,0.820846421009264,0.817568383242905,0.82282404872513,0.825896625056103,0,0.825792454051937,0,0,0,0.813371449540324,0
"GABA B receptor activation",0.934710275723479,0.909249348361633,0.909504557232619,0.908000326960768,0.909982421622517,0.908993964260999,0.909171298125878,0.911244339605516,0.912418627802079,0.908234011477839,0.910656453019961,0.909610155119659,0.910908396321578,0.913568354205526,0.910229378263179,0.912418627802079,0.911244339605516,0.911285846332706,0.880443850974718,0.909659293858295,0.910555077396926
"Activation of GABAB receptors",0.934710275723479,0.909249348361633,0.909504557232619,0.908000326960768,0.909982421622517,0.908993964260999,0.909171298125878,0.911244339605516,0.912418627802079,0.908234011477839,0.910656453019961,0.909610155119659,0.910908396321578,0.913568354205526,0.910229378263179,0.912418627802079,0.911244339605516,0.911285846332706,0.880443850974718,0.909659293858295,0.910555077396926
"Glucagon-type ligand receptors",0.919487563485548,0.892980218532803,0.893596935669419,0.889011689478471,0.894311767399782,0.89305574036722,0.891602208252479,0.895409928287676,0.894041013020172,0.892418278266646,0.894471657845751,0.892321947420553,0.8948773272405,0.894383571120535,0.894365198764443,0.896685660720733,0.892796343996642,0.895484986125277,0.862786749407183,0.894284519513389,0.896887089115131
"Blood group systems biosynthesis",0,0,0.795320276057919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presynaptic function of Kainate receptors",0.90233262028423,0.862305687993766,0.863236950446256,0.856313083150327,0.865040550283832,0.862419728360994,0.860224848728859,0.865974626848907,0.863907521342058,0.861457140354428,0.864557808698466,0.861311677719036,0.864647590721051,0.864323172918073,0.864397052106403,0.867901023317878,0.862028031607507,0.866087966566215,0,0.864275223876341,0.86461477739722
"Inwardly rectifying K+ channels",0.93708810116064,0.908282901058846,0.908953079854877,0.903970350189508,0.909729878552329,0.908364969691382,0.906785434528803,0.910555778088899,0.909068194995491,0.907672247602578,0.909903629499425,0.907200107917233,0.910344465354986,0.909807906757268,0.909787941747776,0.912309558722193,0.909764041961158,0.911004800662081,0.874583057603055,0.90970026861511,0.91001775859681
"GABA receptor activation",0.891681788891826,0.871923988042637,0.871922816796365,0.870882556596079,0.872535223003052,0.871711049310627,0.871858909918379,0.873587407592973,0.874566526649199,0.871077402260441,0.873097228980515,0.87222482796714,0.873130696763622,0.875525166133407,0.87274113493646,0.872881095340835,0.873587407592972,0.873622015815784,0.847906024225761,0.872265799745225,0.873012702196851
"Phase 0 - rapid depolarisation",0.870150507535041,0.868395236217385,0.872986615597489,0.893655055861452,0.870994914326799,0.836072631411727,0.903038373074451,0.90713425988999,0.905661745644212,0.902065663086318,0.872432644048273,0.871183424577627,0.838359744329387,0.875752649193687,0.8368550261348,0.839789057209048,0.90441881825843,0.838497516024342,0,0.869447822882713,0
"Phase 4 - resting membrane potential",0.850529081766738,0,0,0,0,0,0.800148534456058,0,0,0.801817458959816,0,0,0,0,0,0,0.857936527846143,0,0,0,0
"Transcriptional regulation of testis differentiation",0.823637673974707,0.827164147769998,0.758757209649781,0.755162564164388,0.76287584910291,0.75860561356238,0.761536198425498,0.655958806315161,0.767536560121186,0.759091912479302,0,0.763307022967176,0,0,0.756763079013696,0,0,0,0.760896348566297,0,0
"Activation of kainate receptors upon glutamate binding",0.911132376608984,0.879181331481699,0.879924701181603,0.874397802571885,0.880369022347263,0.879272362912566,0.877520325117955,0.882020114347726,0.880370070800724,0.878503987944095,0.880979061313847,0.878297968043993,0.881050728795992,0.880791765960975,0.88085073918588,0.883647744499455,0.878703390202273,0.882200492492473,0,0.880336178678864,0.881024535932076
"Prostacyclin signalling through prostacyclin receptor",0.884729482493615,0.835776311524018,0.836915250919211,0.828447320950243,0.838235386148646,0.835915783556345,0.833231433001829,0.840125697355768,0.83759761529955,0.834738532826345,0.838530668243172,0.834422883452353,0.839279849395553,0.83863640035886,0.838334061996192,0.842619439165321,0.835436736148903,0.840402060214128,0.780054684417996,0.838185065362331,0.838855286607732
"Scavenging of heme from plasma",0.62095480876365,0.671421951065823,0.603628607653073,0.596821359844735,0.606386521471749,0.600052601502008,0,0,0,0,0.673257208822573,0,0,0.611887078411177,0.605402537952318,0,0,0.605661764147517,0.67374614679141,0,0
"G beta:gamma signalling through PLC beta",0.884729482493615,0.835776311524018,0.836915250919211,0.828447320950243,0.838235386148646,0.835915783556345,0.833231433001829,0.840263445080731,0.837735363024513,0.834738532826345,0.838530668243172,0.834560631177316,0.838640472178927,0.838243707319219,0.838334061996192,0.842619439165321,0.835436736148903,0.840402060214128,0,0.838185065362331,0.838600341293054
"The canonical retinoid cycle in rods (twilight vision)",0.706861329403064,0,0,0.641589378812133,0.713606714504726,0.7099982826234,0,0,0,0,0,0,0,0.718559473091947,0,0,0,0,0.215533718234585,0,0
"Lewis blood group biosynthesis",0,0,0.773624942072589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD22 mediated BCR regulation",0.807798079636154,0.689267607401731,0.548325571272506,0.685027934266428,0.695942085823529,0.549950391867532,0.551143958231934,0,0,0,0.697236605473715,0,0.698394642729392,0,0.55562887361929,0.706837654999683,0,0.56048484468934,0.550016194267157,0,0
"Chemokine receptors bind chemokines",0.919316530473732,0.894374445392342,0.894944432941495,0.893150876525187,0.896048342422998,0.894887486452807,0.895545107785134,0.899064311131144,0.89779912063781,0,0.895752876099427,0.89621031123106,0.896571048941709,0.895165101480504,0.866414814811864,0.89779912063781,0,0.896689422967093,0,0,0.895313234750117
"Voltage gated Potassium channels",0,0.909098695788844,0.883858254249248,0,0.910818825791613,0,0.909045844196985,0.912662247805127,0.858470831854505,0.908102297278018,0,0.909942639547575,0,0,0,0,0.908547115256462,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.767086666601063,0.770228697101294,0,0.831912922192826,0,0.772728021295699,0,0,0,0,0.836993664748585,0,0.77543875390584,0,0.775598549610791,0,0,0,0.898271718667685,0,0
"Activation of the phototransduction cascade",0.814170703018784,0.740181299034339,0.819208317624849,0.728097473668839,0.755859535832783,0,0.734463258849772,0.743820121273003,0.740456231147494,0.736468620268075,0.822876949720043,0.736231902635034,0.737191032528236,0.741655160028886,0,0.740456231147494,0.737397656276449,0.737505765540541,0,0.824774070065039,0.742129700600087
"Aspartate and asparagine metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812441460497795,0
"Synaptic adhesion-like molecules",0.860026758648907,0.913572390565109,0.863763742037187,0.860226236308323,0.698913241707179,0.807902944429335,0.86294732989314,0.869130235177168,0.867888828671478,0.864025701612445,0.865358268017326,0.863501172770809,0.866971984257561,0.817340060365853,0,0.86939416101259,0.81260660216326,0,0,0,0
"Signaling by Retinoic Acid",0.766459820546365,0.76797716958525,0.769752658564428,0.768880188970248,0.735135105835953,0.767549420326568,0.734558689340096,0.773349049364182,0.737140487357163,0.733506977305209,0.769556055731347,0.73532062862345,0,0,0.769443354686695,0,0,0,0.798419011426434,0,0.772620808931133
"Creation of C4 and C2 activators",0.625773000328616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythrocytes take up carbon dioxide and release oxygen",0.657462276738907,0.763374372180263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765255073892661,0,0
"O2/CO2 exchange in erythrocytes",0.657462276738907,0.763374372180263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765255073892661,0,0
"Cytosolic sulfonation of small molecules",0,0,0,0.732349061690438,0,0.736147321487564,0,0,0,0,0,0,0,0,0.739701453154666,0,0,0,0.816626943688748,0,0
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0,0,0,0.655173886020894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663817574226359,0,0
"G-protein activation",0.884729482493615,0.835776311524018,0.836915250919211,0.828447320950243,0.837093697079506,0.835915783556345,0.833231433001829,0.840263445080731,0.837735363024513,0.834738532826345,0.838530668243172,0.834560631177316,0.839279849395553,0.837799350716193,0.838334061996192,0.842619439165321,0.835436736148903,0.840402060214128,0.77789413639222,0.838185065362331,0.838155984690028
"Thromboxane signalling through TP receptor",0.884729482493615,0.835776311524018,0.836029573058378,0.828447320950243,0.837093697079506,0.835915783556345,0.833231433001829,0.840263445080731,0.837735363024513,0.834738532826345,0.838530668243172,0.834560631177316,0.838138160326414,0.838011921373265,0.838334061996192,0.841733761304489,0.835436736148903,0.840402060214128,0.779451613895998,0.838185065362331,0.8383685553471
"Phase II - Conjugation of compounds",0.735230157583317,0,0.720352725848156,0.757696989104237,0,0.758664952911427,0,0,0,0,0,0,0,0,0.759570702123828,0,0,0,0.819664124439101,0.740898349240776,0
"Elastic fibre formation",-0.032543091098478,-0.032543091098478,0.78651197586375,-0.032543091098478,-0.032543091098478,-0.032543091098478,0.738020169030004,0.697486689864001,0.695517176692568,0.69057903598233,-0.032543091098478,0.693043888227329,-0.032543091098478,0.741042831336326,-0.032543091098478,-0.032543091098478,0.693726421563957,-0.032543091098478,0,0,0
"Sialic acid metabolism",0.689374021482974,0.690805127467939,0.69121102944452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
