"","CHST3","CHST2","CPEB2","NLGN3","OBSCN","PCNT","NEUROG3","SPTBN2","NOTCH3","PPAN-P2RY11","NLE1","FAT4","FBN2","UBXN11","MTX1","VAV3","NUMBL","TAF7L","DOCK3","AMH","EPHA7","PDHX","COL6A1","MUC16","L2HGDH","HNRNPL","F2RL3","NUDT11","GP6","ACSF3","NOV","ARHGAP21","POLDIP3","CYBA","HLA-C","HLA-A","CBR3","BRAF","PLXND1","POLG","GGH","ASCL1","LAS1L","NEFH","PRDX5","SEC16A","EYA4","RBP1","HOXB3","SDC4","GRP","SPHK1","CLCN7","ACAT1","GNAS","ACTR8","CHL1","CRNKL1","OR52B2","FTCD","CCT6B","FMN2","TGFB1","SIRT1","COL16A1","CACNA1H","CACNA1E","NCOR2","EP400","ATXN1","LAMC3","ELMO3","MED15","ANKRD27","RAI1","TNRC6A","CD6","HLX","PIGQ","PRLHR","DOT1L","GSPT1","PTPRU","CLDN5","IRF5","BCL9L","DGKB","GAS6","ARHGAP5","TARSL2","PI4K2B","AR","EXOC3L4","TACR2","MSH6","WDR90","LAMA4","LAMA5","ATP4A","MAGI3","DPP7"
"Diseases of metabolism",0.543119612183969,0.569760572907691,0.235697165001935,0.266320790200215,0.265380326948723,0.290782017969128,0.196482150266394,0.511558631050173,0.296231502098648,0,0.231086673907588,0,0.26644484972542,0.235370044134824,0.235370044134824,0.51229786386472,0.268893549255027,0.233904013325211,0.267578325401217,0.234296215576155,0.265788896517097,0.137489485390455,0.542357109754775,0.567550001642891,0.137844042540555,0.190868103862466,0.263505769162589,0,0.264440617536198,0.138719769734317,0.195271993536459,0,0.229779969892731,0.265540270312203,0.263796932283484,0.263522883605275,0,0.295209170551186,0,0,0.265568717918988,0.194894124413056,0.255868265218403,0,0.233740547408159,0.265558533191198,0.233651487617152,0.540289399078377,0.264726293530371,0.737874630423826,0.263593437659792,0.265456465839744,0,0.166440648183013,0.263988383067338,0.192360865538073,0.266504496842548,0.190724910778005,0.266209090141336,0.165263302728015,0.264069070864493,0,0.792230163634647,0.233039674449349,0.544328720650498,0.296211216021867,0.293524374042724,0.534572388335972,0.23347874333583,0,0.293809692890648,0,0.146115532533921,0,0.232570927320174,0.266080007814633,0,0,0,0,0.234900930149249,0.256122437288049,0,0.194187365049537,0.263997737165744,0.235103864722138,0.265697877725408,0.708066511773869,0.264883385336554,0,0.26599166804742,0.265194583119874,0,0.263620808433566,0.192780684220569,0,0.292188796410196,0.292345321966475,0.136101306424906,0.259153578304674,0
"ECM proteoglycans",0.885850256868709,0.827532292009475,0,0.763912126535293,0.824107296405154,0.823392059306425,0,0.879241666169301,0.825936773532298,0,0,0,0.823476895219289,0,0,0.824162316750597,0,0.761794081242545,0.828743324814227,0.763562174081608,0.822155300597334,0,0.880736773915384,0.825028242521617,0,0.698574336946219,0.823073697340775,0,0.826483449586346,0,0,0,0.757205994150596,0.827641143340494,0.879370609770736,0.878792585042738,0,0.823962729613628,0,0,0,0,0.756548756368942,0,0,0.823098172411964,0,0.883202191103947,0.824150225275824,0.879794148348655,0.823258608136845,0.825276610076129,0,0.824822278054944,0.822688473451271,0.82322870107816,0.886313437016124,0.698272313436242,0.829433289646279,0,0.821041138936906,0,0.878922394811469,0.824918482431544,0.881619563373315,0.881813238981935,0.826130449140918,0.759075957825205,0.821933926771996,0,0.881527358380109,0,0.761208487343498,0,0.707259493174042,0.760852069164523,0,0,0,0,0.764988098194799,0.820995319128907,0,0,0.879794148348655,0.763219675468196,0,0.822037340599063,0.826255638539458,0,0.826405461025305,0.824276843311986,0,0.823316338698325,0,0,0.886870864881683,0.885613291135527,0,0.825861904347422,0.76540716811822
"Non-integrin membrane-ECM interactions",0.719872102462542,0.721545545253409,0,0.788104169745764,0.717543163984489,0.714441689331112,0,0.715487533964189,0.645535520757602,0,0,0,0.716048448693167,0,0,0.71622413327961,0,0.644848935131464,0.719794133459331,0.647974050992561,0.719606856156729,0.638657656782551,0.785282659816872,0.714765480056018,0,0.636760138989235,0.714895292382681,0,0.719057461632495,0,0,0,0.642831543015855,0.718420605362906,0.715644931057643,0.714939355820724,0,0.717147159153144,0.64346859367818,0,0,0,0.713377328949416,0,0.637975343127095,0.71533144007511,0,0.788292111199603,0.717713258368952,0.783980983182219,0.71512100673784,0.716742096720994,0,0,0.715591717750551,0.715084500202747,0.7920899038636,0.636391469104912,0.722658231631335,0,0.71602115008652,0,0.788640407698048,0.641001404673047,0.786360251052609,0.718626565927085,0.711554048970806,0.713556523655285,0.713504012995923,0,0.785879621899482,0,0.642609578002664,0,0,0.716213761854071,0,0,0,0,0,0.711267012909157,0.653639715177498,0.638067147674685,0.716161930275817,0.638203550259079,0.716155846992869,0.714095892401677,0.716263720864991,0,0.718962263633572,0.717530587121539,0,0.715191476481815,0,0,0.787052732223612,0.791094205483915,0,0.719051298624143,0.644527199692156
"Defective EXT2 causes exostoses 2",0.704732849286721,0,0,0.709674731941352,0.710083763690057,0.700331019431596,0,0.700665262727233,0.57559039632502,0,0,0,0.713496467261345,0,0,0.701874347467068,0,0,0.717457756036484,0,0.707426889431453,0,0.703660938676932,0.696350626965084,0,0,0.699693132773396,0,0.708440086671027,0,0,0,0,0.710759702327829,0.700923620860082,0.6997654603325,0,0.703389440509918,0,0,0,0,0,0,0,0.706453348114625,0,0.820169722591037,0.706233655550117,0.813240790120082,0.70006362969984,0.706022000011135,0,0,0.700836274325521,0,0.714834632060726,0,0.712435543993864,0,0.703456158667342,0,0.811787296388525,0,0.705429741731227,0.705817800293767,0.696677215868746,0.697495622126056,0,0,0.816813940291257,0,0.572964228790563,0,0,0,0,0,0,0,0,0.567610441056847,0,0,0.701772244870604,0,0.707042233783809,0.703660938676932,0.707983632561932,0,0.708283824717817,0.70401881511794,0,0.700179301667322,0,0,0.818995834730513,0.816292351316293,0,0.582367733526036,0
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",0.704732849286721,0,0,0.709674731941352,0.710083763690057,0.700331019431596,0,0.700665262727233,0.57559039632502,0,0,0,0.713496467261345,0,0,0.701874347467068,0,0,0.717457756036484,0,0.707426889431453,0,0.703660938676932,0.696350626965084,0,0,0.699693132773396,0,0.708440086671027,0,0,0,0,0.710759702327829,0.700923620860082,0.6997654603325,0,0.703389440509918,0,0,0,0,0,0,0,0.706453348114625,0,0.820169722591037,0.706233655550117,0.813240790120082,0.70006362969984,0.706022000011135,0,0,0.700836274325521,0,0.714834632060726,0,0.712435543993864,0,0.703456158667342,0,0.811787296388525,0,0.705429741731227,0.705817800293767,0.696677215868746,0.697495622126056,0,0,0.816813940291257,0,0.572964228790563,0,0,0,0,0,0,0,0,0.567610441056847,0,0,0.701772244870604,0,0.707042233783809,0.703660938676932,0.707983632561932,0,0.708283824717817,0.70401881511794,0,0.700179301667322,0,0,0.818995834730513,0.816292351316293,0,0.582367733526036,0
"GPCR ligand binding",0,0,0,0.859384032314279,0.861859722812605,0.864534073332159,0,0.881495964837614,0.86451653597327,0,0.84033690955791,0,0.842015446768145,0.863459721350777,0,0.861575449148223,0.843124268380798,0.844240508126396,0.863292229461282,0,0.862431737558584,0.841796001992772,0.864549495756354,0.863624912614987,0,0.839870269549184,0.87813347530551,0,0.865795032254844,0,0,0.864476756307167,0,0.86213145496275,0.861133510071055,0.861463421166179,0,0.861503363331732,0,0,0.84111848803176,0.842112140520609,0.859429045341259,0.862172190620991,0,0.864263613491568,0.841540151128575,0.861936759973542,0.861009859737011,0.882480932945291,0.87817863271743,0.861909344989311,0,0,0.879589012476061,0.841155270916153,0.863268390042414,0.839776945986875,0.880399403768293,0,0.878719320530057,0,0.860338322609329,0.860827353964044,0.864822272723249,0.860249297895519,0.863161019570549,0.860985090659652,0.843963345926131,0,0.861281001241135,0,0.841795240776132,0,0.841976700037197,0.860147048178397,0,0,0,-0.0139287272614418,0.842354453218887,0.88000740962469,0,0,0.861559703338362,0.841356432454112,0.860858314654842,0.857520180415045,0.864910385697178,0,0.86104978730539,0.86211935468839,0.843678015290665,0.878207994412999,0,0,0.841013759619809,0.861200564101335,0,0.861570190087621,0
"HS-GAG degradation",0.790719410414815,0,0,0.794222137057869,0.794512052157877,0.787599464477351,0,0.787836370729222,0.705587049959338,0,0,0,0.79693092135397,0,0,0.788693350473158,0,0,0.799738618886105,0,0.792628902576384,0,0.789959657479695,0.784778226557185,0,0,0.787147340712165,0,0.793347040422574,0,0,0,0,0.794991146551867,0.78801949080281,0.78719860531839,0.551509927619804,0.789767223962025,0,0,0,0,0,0,0,0.791938872208024,0,0.872539202581458,0.791783157665053,0.867628087107846,0.787409942952267,0.791633139636023,0,0,0.78795758098925,0,0.797879390960224,0,0.796178956069695,0,0.789814512714899,0,0.866597874216355,0,0.791213356528738,0.791488406172986,0.785009707499595,0.785589780642295,0,0,0.870160678263663,0,0.703687708158864,0,0,0,0,0,0,0,0,0.699892688131645,0,0,0.788620981801145,0,0.792356264863277,0.789959657479695,0.793023513119117,0,0.793236284472857,0.790213314523466,0,0.787491929375391,0,0,0.871707169817353,0.869790984418825,0,0.703953262622649,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541837797066682,0,0,0,0,0.630064002125272,0,0,0,0,0,0,0.623620714591977,0,0,0,0.62510516418038,0,0,0,0,0,0,0.703216362982924,0,0.616840155493125,0,0,0,0.535326543163851,0,0,0,0,0,0.535670444898015,0,0,0,0.531865186189967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619732375339782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A tetrasaccharide linker sequence is required for GAG synthesis",0.843315851152095,0.74708671289006,0,0.749103819045642,0.749436594936726,0.741502056428674,0,0.741773986690557,0.639953233005854,0,0,0,0.75221306760794,0,0,0.742757661559237,0,0.642482367419284,0.755435852651299,0,0.747275042192466,0,0.744211178269729,0.738263729198333,0,0,0.740983091087316,0,0.748099348900465,0,0,0,0,0.747303815780902,0.74042619589403,0.741041934607426,0,0.743990295551598,0,0,0,0,0,0,0,0.746482998346873,0,0.838999210027144,0.744746279924802,0.833163593393758,0.741284516209525,0.746132066542776,0,0,0.741913116567849,0,0.753301758118982,0,0.751349932443435,0,0.744044575431726,0,0.832179520949678,0.639510565009054,0.745650223073481,0.74440795263375,0.738529432077824,0.739195262719106,0.641020188157499,0,0.836269046785229,0,0.637750722006991,0,0,0.640946783171226,0,0,0,0,0,0.633351081460487,0,0,0.741116610787715,0.643248261065062,0.746962097961828,0.744211178269729,0.747727991607606,0,0.747972218889441,0.744502335745722,0,0.741378623432678,0,0,0.838044170277652,0.835844697730486,0,0.648822027576439,0
"MET activates PTK2 signaling",0.701347646829924,0.699213858403861,0,0,0.692203703013913,0.684680653804181,0,0.686593482277474,0.538149858274708,0,0,0,0.689123888026989,0,0,0.687940707380882,0.553685885834494,0.69156524667834,0.695129723311414,0,0.694127638433517,0,0.814247341948165,0.689873950321317,0,0,0.685510284520993,0,0.693122807069673,0,0,0,0.537487696664028,0.692956869000687,0.67711647939063,0.68191669001434,0,0.689628902851455,0.702243859039382,0,0,0,0.533886576575033,0.563554152253821,0,0.687159646115714,0,0.689552423396086,0,0.687826939357395,0.68592311146653,0.692562237571023,0,0.687280331082379,0.683109846659983,0.690912951351871,0.8266976522767,0,0.698168144645678,0,0.687569455266504,0,0.696159417780643,0.689628902851455,0.816218234309322,0.680609395834728,0.692334707625202,0.686735889496818,0.689562669739679,0,0.825047398187497,0.564764329525449,0.546650054839083,0,0,0.689462135464208,0,0,0,0,0,0.682720667789624,0.575010590316779,0,0.687826939357395,0.691073804951661,0.693699035104403,0.6877976318041,0.692614202160467,0,0.695082480300054,0.686655999139548,0,0.686051999188968,0,0,0.816995000883139,0.824547600332497,0,0.698707544923829,0.552475708562866
