"","IRF5","PIK3CG","APC","TCF7L2","OPRD1","LPAR6","PTHLH","RXFP2","SLC2A8","AKAP13","GLI3","KLC4","ATP2B4","SCN5A","MTMR1","SORBS1","SCN4A","MYL1","GABRA5","CYP1A2"
"Adrenaline,noradrenaline inhibits insulin secretion",0.897447461860651,0.925982404230465,0.897396337682558,0.897897053865982,0.925729006266223,0.926102088225831,0.926566496212329,0.926592486118438,0.898019057235596,0.899426316868661,0.897597463072262,0.897527466781747,0.901089288493355,0.899004902411049,0.89739863733558,0.899691975511176,0.899527616344313,0.898620661679018,0.900443818655028,0.86507999689846
"Interaction between L1 and Ankyrins",0.928154825094354,0.927290296485528,0.928114224882731,0,0.903042345652515,0.903338628293675,0.903707437401894,0.90372807725817,0,0.928649941629448,0.928273948396912,0.945439240721932,0.929970588775336,0.953586207879406,0,0.927949528643122,0.953866881792291,0.901536147765832,0.928546604075643,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.905570027045594,0.930388966288966,0.905524781103748,0.905967925153426,0.930164703914848,0.930494889069464,0.930905899623251,0.930928901221012,0.9056408330349,0.907321354146664,0.905702781181711,0.9056408330349,0.906201034168699,0.904549210764983,0.905159413952726,0.907121399878877,0.905011823272583,0.906608332847969,0.907786796417911,0
"Nitric oxide stimulates guanylate cyclase",0.691555996270431,0.729980576224072,0.69149286230692,0.729356965552434,0.729060579593165,0.730128375666099,0.730701879592562,0.730733974891599,0.730816658981759,0.732554503611008,0.76606010541074,0,0.770372209525533,0.732429760378619,0.733492612469554,0.732882569189144,0.733286671688249,0.728373208739034,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.84461398107005,0.842235645034321,0,0.84524732996235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926434958414519
"Inwardly rectifying K+ channels",0.910011140793459,0.933159803118979,0.909968939834783,0.910382260962933,0.932950633262045,0.933258597457217,0.933641947624947,0.933663401250113,0.91007718164722,0.911644606240417,0.910134960777832,0.91007718164722,0.910493485466951,0.909059023898193,0.909628161338133,0.911458108591176,0.909490503286614,0.910979570192238,0.912078724953689,0
"Blood group systems biosynthesis",0,0,0.894251379929524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G beta:gamma signalling through BTK",0.870903946440993,0.910921196396443,0.870129504528842,0.871545504401297,0.910559603042566,0.911091982840681,0.911754682882127,0.911791769909819,0.871018111713916,0.87302624043752,0.871117994889861,0.871018111713916,0.872232388850308,0.869258015490475,0.874110251811727,0.873405329511187,0.87000391684297,0.872578076927247,0.874478193236785,0
"Biosynthesis of specialized proresolving mediators (SPMs)",0.861317472782281,0,0,0.861863763428833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939195698307791
"Lewis blood group biosynthesis",0,0,0.893393245155846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presynaptic depolarization and calcium channel opening",0.834160604325801,0.835224803916981,0.836324585140446,0,0.833723957479733,0.835465918132558,0.833670935293794,0.833723294306419,0.834883459983015,0.840414161508575,0.832677554039087,0.836588756551115,0.839712151645548,0.837859887463842,0,0.836833148284273,0.83891294188105,0,0,0
"Scavenging by Class A Receptors",0.461573445487449,0.495801743401685,0.496392821256938,0.461763478860159,0.495527378693332,0.495931330332588,0.496434164529199,0.496462304901325,0.527160710815539,0,0.496610588234877,0,0,0,0.49796449844816,0.498346139758588,0,0,0.499160192174153,0
"G-protein activation",0.874909323130719,0.911794368401104,0.874842080183832,0.875500665475226,0.911461077451774,0.911951787157623,0.912562616763771,0.912596800939268,0.875014552532158,0.877512084625589,0.875106617715812,0.875014552532158,0.876133786542401,0.873392221438587,0.877218084269412,0.877214919539403,0.874079740075791,0.876452417142495,0.878203808759218,0.873866303322223
"Aspirin ADME",0.767123621760198,0.769088464897049,0,0.767550447247153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826328293740552
"Sialic acid metabolism",0.545033311871104,0,0.544587449159209,0,0,0,0,0,0,0,0,-0.0254616480209925,0,0,0,0,0,0,0,0
"Keratan sulfate biosynthesis",0,0.894144636927139,0.919974167311185,0,0,0,0.895052810725229,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.734268309882632,0,0,0.735446997981884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.887406606768414
"Phase 4 - resting membrane potential",0,0.888605399150015,0,0,0.888220639681094,0.888787127328587,0.889492284415316,0.889531747488754,0,0,0,0,0,0.849331838068242,0,0,0.850125526904544,0,0,0
"Biosynthesis of DHA-derived SPMs",0.818145785062187,0,0,0.818725953263898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.900872640463948
"ADP signalling through P2Y purinoceptor 12",0.864708644501148,0.906451794804191,0.864634774747823,0.865358263757022,0.906085657962302,0.906624727211992,0.907295754203206,0.907333307236326,0.866047320411468,0.867567908684106,0.864925382508745,0.864824244282043,0.86706159455937,0.864049847642861,0.8650460819374,0.86846453404613,0.864805121385134,0.866000962586635,0.869550878504777,0.817750369415294
"Voltage gated Potassium channels",0,0,0.822707542872238,0,0.818675955191877,0,0.81933906710087,0.819359645516569,0.844881130049981,0.845493632388924,0.843863367181018,0.819346320871643,0.846628141888607,0.84497775642363,0,0,0.820996348006035,0,0,0
"Activation of kainate receptors upon glutamate binding",0.850750148349397,0.881805254977231,0.850693533619221,0.851248024912313,0.881524642986825,0.881937792601438,0.882452076328388,0.882480857456546,0.850838745510066,0.852941525238256,0.850916259149377,0.850838745510066,0.851696409580993,0.850952733878102,0.849994991580775,0.85269132916638,0.851531585399918,0.850548381089676,0.853523917548457,0
"Prostacyclin signalling through prostacyclin receptor",0.850370370214622,0.897972600378197,0.850283589401121,0.851133530844692,0.897542469620185,0.898175758157317,0.898964068197048,0.899008184802518,0.850506174689053,0.853729380643686,0.850624989998352,0.850506174689053,0.851820828765001,0.848412464960581,0.849582822497003,0.853345872348507,0.849299746517918,0.852361820022373,0.854622089631226,0.796684265724244
"CD22 mediated BCR regulation",0.743946818817558,0.823265796177221,0.741550429076548,0.742762534008674,0.739615514862175,0.8226964407229,0,0,0.824045649371599,0.74646448591162,0.742037301849802,0.744140490128103,0,0,0.829291192169315,0.828095353695125,0,0,0,0.742478552705666
"Thromboxane signalling through TP receptor",0.859066491833684,0.902753121036583,0.858221037518532,0.859766877411283,0.902358371402597,0.902939567733211,0.903663034013768,0.903703521734159,0.859191125484212,0.861383389446314,0.859300167441766,0.859191125484212,0.860516745687151,0.857269637346956,0.861800987373673,0.861797239069029,0.858083934077608,0.860894131610821,0.862968478967263,0.857472651460273
"G beta:gamma signalling through PLC beta",0.850370370214622,0.897972600378197,0.850283589401121,0.851133530844692,0.897542469620185,0.898175758157317,0.898964068197048,0.899008184802518,0.850506174689053,0.853729380643686,0.850624989998352,0.850506174689053,0.851950609271467,0.848412464960581,0.849212842509426,0.853345872348507,0.849299746517918,0.852361820022373,0.854622089631226,0
"Post-translational modification: synthesis of GPI-anchored proteins",0.776056005298255,0.776833568000482,0,0.776416837049539,0.775373470374725,0.776929623502218,0,0,0.826038903177005,0,0,0.826038903177005,0.828897535783283,0,0.776865007171491,0.777462859378006,0,0,0,0
"Metabolism of Angiotensinogen to Angiotensins",0.903046743299791,0.902267033868377,0.862373049541474,0.903633899340316,0.939339735913536,0.939826971726444,0.903029843552063,0.903063785726709,0.903151227748216,0.905631079003051,0.903242641172616,0.865135388734154,0.907802878819514,0.905080722143014,0.905981164946282,0,0,0,0.906317906197501,0
"Presynaptic function of Kainate receptors",0.850370370214622,0.897972600378197,0.850283589401121,0.851133530844692,0.897542469620185,0.898175758157317,0.898964068197048,0.899008184802518,0.850506174689053,0.853729380643686,0.850624989998352,0.850506174689053,0.851950609271467,0.848412464960581,0.849212842509426,0.853345872348507,0.849299746517918,0.852361820022373,0.854622089631226,0
