"","SMAD4","P2RY10","APC","CASP9","APOOL","GATA2","DMD","FZD6","DYNC1I1","GLI3","SCN5A","ASAP2","NEFH","KCNQ5","CATSPERD","STRADB"
"G protein gated Potassium channels",0.749360229718854,0.894058678209086,0.82268893092252,0.826309801594895,0.823498889084435,0.831587022561813,0.823923110868756,0.896600364590415,0.75257813260546,0.822650160588135,0.826393029243233,0.829511819750304,0.832568745089697,0.900041328907449,0.821878031994547,0.828072560697499
"Interaction between L1 and Ankyrins",0.727111565754586,0.730186390786276,0.73198400596885,0.731805722738796,0.728438074194707,0,0.806482689880972,0.732782994286376,0.875453788507154,0.809345128498812,0.884327055317443,0.812192151579103,0,0.805745582241232,0.804855000836508,0.811696125380924
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.749360229718854,0.894058678209086,0.82268893092252,0.826309801594895,0.823498889084435,0.831587022561813,0.823923110868756,0.896600364590415,0.75257813260546,0.822650160588135,0.826393029243233,0.829511819750304,0.832568745089697,0.900041328907449,0.821878031994547,0.828072560697499
"Presynaptic function of Kainate receptors",0.698856363451441,0.86827710078675,0.794715076773613,0.791753990466799,0.788966521918106,0.797147758705688,0.788491285133293,0.871147963848654,0.69942095025121,0.788187296799898,0.791847997022092,0.795370705618376,0.798823536819081,0.800541939228361,0.786748257368501,0.794311958085881
"Signaling by Retinoic Acid",0.578672685649068,0.579873201995377,0.582392264679071,0.581762764380008,0.581370059523116,0.584871158480664,0,0,0,0.580847706911304,0.524619721486419,0,0,0,0.521201117202022,0.526271434793652
"SHC1 events in ERBB4 signaling",0.753021182612599,0.749901268097397,0.754766146895884,0.755972768153626,0.752889280611091,0.666717869197465,0.753307932453472,0.757112614669836,0.655816317464063,0.75539878765929,0.659375456771596,0.760942031605355,0.670374182463325,0,0,0
"Metabolism of amine-derived hormones",0.432612322256545,0.318785499459511,0.434587585528045,0,0,0.448346419472869,0,0.322715627657574,0,0,0,0,0.449864425556487,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.705572101117208,0.871971217330095,0.789859852828966,0.794025688395078,0.79026811887315,0.79970247479502,0.79088509389543,0.874895444258726,0.707087377391456,0.789998005604582,0.793726751259305,0.79731494028708,0.800831953031819,0.796737994171111,0.788532217175836,0.796236512658042
"Activation of kainate receptors upon glutamate binding",0.750905745416204,0.882198098210743,0.816152066503048,0.81950284394488,0.817219075699083,0.823921949098531,0.816829715008753,0.884550191439521,0.751561483148959,0.816417732549362,0.819416938021563,0.822466012523461,0.825131985925201,0.821684479025155,0.815401655322613,0.821435657134647
"Lewis blood group biosynthesis",0,0,0.536215313785605,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.821434826602354,0.881008288430075,0.822580851140872,0.820228976150749,0.81801499895247,0.824513035211902,0.817637536969678,0.883288502627081,0.746905330151221,0.817396090931123,0.820303641879267,0.82310159147838,0.825844040196395,0.822343941332345,0.81625311821847,0.822260669740706
"G beta:gamma signalling through BTK",0.609989970661338,0.833880693961441,0.727339941137326,0.732745176576434,0.729061164352052,0.740623011597725,0.729182324858603,0.837674923180474,0.610736147572662,0.728031314217108,0.732869418802964,0.737525149012991,0.742088526905844,0.73626443485479,0.726129431284968,0.736125872650187
"Arachidonic acid metabolism",0.735467327066608,0.791198623968129,0.734317530086657,0.737437304710671,0.730395151128873,0.740534653571826,0.739118240620233,0.793297655390914,0.791236872710953,0,0,0,0.79842846974828,0,0,0
"Prostacyclin signalling through prostacyclin receptor",0.623199452667387,0.833880693961441,0.727339941137326,0.732745176576434,0.729061164352052,0.740360192056168,0.728919505317046,0.837674923180474,0.61074688954315,0.727768494675551,0.732869418802964,0.737525149012991,0.742088526905844,0.73626443485479,0.726129431284968,0.73586305310863
"Collagen formation",0.88316555836488,0.85354254125936,0.885405566031134,0.855374936232069,0.88586722863165,0.858346062795658,0.881749910559367,0.853269983795485,0.883818944885906,0.854110594723852,0,0.855314044810657,0,0,0,0
"G beta:gamma signalling through PLC beta",0.609979248799976,0.833880693961441,0.727339941137326,0.732745176576434,0.729061164352052,0.739873762165991,0.728433075426869,0.837674923180474,0.610725425711299,0.728031314217108,0.732869418802964,0.737525149012991,0.742088526905844,0.73626443485479,0.726129431284968,0.736125872650187
"APAP ADME",0.641966299865396,0,0,0,0.54243600162776,0,0.542288760599837,0,0.640570945803867,0,0,0,0,0,0,0
"Physiological factors",0.514383647866297,0,0,0,0,0,0,0.381458569991835,0,0,0,0,0,0,0,0
