"","FUBP1","DYNC1I1","SLU7","VAV1","EXT1","NEDD4","DRD3","WDR6","RFC2","MAP3K15","PRSS1","MZT2B","SMAD3","H2AFY","EDNRA","EDNRB","APOB","APBA2","KPNA3","WDFY3","SP100","CEP78","OCM2","CACNA2D3","KCNH4","KLHL29","DCT","NLRP2","MAP4K4","NRG3","ADAMTS14","TP53","XYLB","GRPR","ZAP70","MPI","ERC2","RNF7","ADAMTSL5","SCN5A","PLXNB2","C11orf49","GRIA4","CCNB3","AKT3","KCNB2","UBE2V2","NBEA","KALRN","XAF1","AKAP11","TBP","ADAMTS3","OR5P2","PIGN","SHC3","PRKAG1","RICTOR","CD40","OR2A14","AARS2","UNC80","TTN","ST6GALNAC3","PLG"
"Activation of Matrix Metalloproteinases",0.823415103099598,0.817705856650738,0,0.858328855499813,0.861777059106362,0.816868958446229,0.85692155773699,0,0.858272736777959,0,0.936258737288204,0,0.858100674981919,0.860742913076817,0.893903380762719,0.857954148288477,0.857198140659026,0.862540061426981,0,0,0.857837079274254,0,0,0,0,0,0,0,0.860193124675598,0.86014113539343,0.858811652982304,0.856031916766051,0,0.858075487451095,0.858464660071451,0,0,0.816981326587015,0.859242714093294,0,0,0,0.859610315448027,0,0.858063013089768,0,0.818940911057798,0,0.857850952543338,0,0,0.8576391577979,0.858811652982304,0,0,0.859260548313205,0.821411267902088,0,0.861362484274693,0,0,0,0.86014113539343,0,0.933562629501827
"Class A/1 (Rhodopsin-like receptors)",0.805179536758212,0.822232080080215,0.821318717686368,0.822325309449466,0.804518556842764,0.820900683650966,0.837603070268164,0,0.821454881848329,0,0.839355154660573,0,0.822226578326423,0.819913953041057,0.804042359145189,0.83776663574492,0.837722744562707,0.820344345075292,0,0,0.819952851425469,0.821687611205938,0.805510392642853,0.838687265448817,0,0,0,0,0.805953776365268,0.823377543845084,0.823147864073002,0.821063368668649,0,0.837823519961934,0.822845681894787,0,0,0.820949304071484,0.823334379328473,0.822447289841513,0.823235940823445,0,0.823147864073002,0.804326858231819,0.822210282452689,0,0.82098641126139,0,0.837737127430854,0.804187568757079,0.824640624740754,0.804580622420685,0.823147864073002,0.839698059807074,0,0.82215037813288,0.822652130229186,0.823702268182305,0.823369844793104,0.839698059807074,0,-0.0126439283354284,0.803491511489106,0,0.838014508381293
"Drug ADME",0.760992530988148,0.816324725862626,0.760621523412902,0.783259601461548,0.764732245557476,0.755529301217385,0.757919923094807,0,0.817005850460602,0.759850067335413,0.763628124602385,0,0.816419196828048,0.760829481551705,0.81620138144117,0.75624238316084,0.816668646194367,0,0,0.758771349539363,0.816682998761567,0.733249116233369,0,0.757793213499994,0,0,0,0,0.818888132075158,0.762554103084478,0,0.814886106959961,0,0.756332303693547,0.757411310638907,0.7321609864124,0,0.755612573615684,0,0.758178180131566,0.785880759670596,0,0.757928859323895,0,0.816059827320517,0,0.8152134458807,0,0.782915951912965,0.757288702488685,0,0.816536325550678,0,0.759739337669486,0,0.757669658201951,0.817607185553264,0.758878389568922,0.818836418299376,0.759739337669486,0,0,0.791951043185616,0,0.816117344168949
"Peptide ligand-binding receptors",0.795311844881375,0.813486869904612,0.792938366139441,0.813586236086362,0.794607356039081,0.811968333613063,0.829869653752311,0,0.794965694912491,0,0.831737068898165,0,0.813481005998509,0.811016152419943,0.794099812682878,0.830043985907746,0.812562710902695,0.811474874960291,0,0,0.811090851397604,0.793445584245808,0.795664479316539,0.831025215955927,0,0,0,0,0.796137048721444,0.814707733689948,0.814462935273307,0.812241228198911,0,0.830104614521797,0.814140861987996,0,0,0.792407657287098,0.814661727873999,0.794570196927984,0.814556809665709,0,0.814462935273307,0.794403038889137,0.813463637450763,0,0.812159205079178,0,0.830012535212303,0.794254580700756,0.796907907844488,0.794673507076524,0.814462935273307,0.815303877665788,0,0.813399789935998,0.813934569806286,0.815053832969287,0.814699527848757,0.815303877665788,0,-0.0134762134626513,0.793512705543242,0,0.830308174731875
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0,0.639257506597548,0.651705920415384,0.649375609520364,0.646209566480047,0.638919116528841,0,0.727780123901454,0,0,0,0.726544601474905,0.733943919229038,0.643285271108768,0.639743056596656,0.722158749844466,0,0,0,0.729039289902242,0,0,0.652484193365734,0,0,0,0,0.732847136018703,0.645341912481111,0,0.794427435831853,0,0.639985118371734,0.642889753482897,0,0,0.646433731795136,0,0,0.651354564473022,0,0.644282969799638,0,0.727361742175854,0,0.645455311185148,0,0.643373443732608,0,0,0.726516185291237,0,0.649156690949644,0,0.64358521277139,0.729398889221947,0.646839059823594,0.646542410087153,0.649156690949644,0,0,0,0,0.640816059280158
"Neuronal System",0.834286346460973,0.845612340648924,0.843573095326611,0.856753034503022,0.846599143682017,0.845268266788369,0.856511356868912,0,0.845661228794609,0.846187178559119,0.845496845617072,0.833454172796152,0.84508433725144,0.845560940169535,0.856592851673957,0.856638072844562,0.846675016797954,0.858076113801305,0.834046949418488,0.846393118341635,0.845664792445199,0.844956352079775,0.846397616033582,0.857964176474119,0.830292091344073,0,0.834420645847407,0,0.845614670082208,0.857499136062183,0.832691792816071,0.856048324590252,0,0.856675300180863,0.845720111622185,0.834867849177609,0.834401144893642,0.845302741779595,0.832824044074435,0.845115551384409,0.846235159601941,0,0.868251824058936,0.846151569122477,0.856671472997336,0.858480386349116,0.84515226782277,0.87186558310761,0.856606411980697,0.832597002466392,0.844802844945752,0.844866872796174,0.832691792816071,0.858085821179717,0,0.845429457293663,0.845077103168755,0.845784901416175,0.845403630035058,0.858085821179717,0,0.835475121198546,0.843929238742447,0,0.844546241565904
"Degradation of the extracellular matrix",0.784196760426656,0.82800451594716,0.805563196479404,0.805947946192676,0.807128440388424,0.778733498463544,0.805457609213646,0,0.805913013913169,0,0.854457041242466,0,0.805805910426972,0.807172212706378,0.828092058152389,0.805714701802803,0.805629774074496,0.807737689882996,0.808480018231034,0.783604099455165,0.806305909294724,0.806247821129888,0,0.758359568897624,0,0,0,0,0.807108399776989,0.806797623522199,0.805779705196497,0.826987273399728,0,0.805790231918308,0.806696560170152,0,0,0.78028675813706,0.806048028257246,0.829531394465472,0.806465287257297,0,0.806467203475421,0.7824240807003,0.805782466989561,0,0.804880388836816,0,0.80565046543936,0.806871988026385,0.761838285083971,0.80551862934258,0.805779705196497,0.759994245415687,0,0.806913563124756,0.805535305053869,0.807928855372398,0.807836292270063,0.759994245415687,0,0,0.807461703085885,0,0.85273367331192
"APAP ADME",0,0.66636749178531,0,0,0,0,0,0,0,0,0,0,0.596606737788722,0,0,0,0,0,0,0,0.59639545507644,0,0,0,0,0,0,0,0.522806422703897,0,0,0.592543585306993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663422263256672,0,0,0,0,0.593911387409762,0,0,0,0,0,0,0.523886236714883,0,0,0,0.602145988020311,0,0.59787816895954
"LGI-ADAM interactions",0,0.727996904195743,0.727166342979273,0.728441368611335,0,0,0.726816436363057,0,0,0,0,0,0.727970674974161,0,0.724438820751406,0.727668417871247,0.727386975087201,0.813891674887926,0,0,0,0.726509576730746,0,0.806445835118104,0,0,0,0,0,0,0,0.72077766434514,0,0.724993167611791,0.727996657185146,0,0,0,0,0.730131290826969,0,0,0.806823414539171,0,0.727892985550177,0,0,0,0.724529994184978,0,0.740587859631619,0,0,0.734476879525605,0,0,0.727073913326322,0,0,0.734476879525605,0,0,0,0,0
"Potassium Channels",0,0.900227113792486,0.868762651822391,0.931865761440924,0,0.899249972531654,0.931179416980673,0,0.900365952076329,0,0.900279744740566,0,0.897239133274153,0.899917542432001,0.931410855475954,0.931539279854342,0.899969489842172,0.901483393920666,0,0,0.897939001870015,0.899346188130558,0.868668490513753,0.898934827521467,0.857796217747457,0,0,0,0.902579012968324,0.902533714818692,0,0.895436628694211,0,0.931645002405518,0.901462713397276,0,0,0.89934787865082,0,0.899387445551876,0.902944444094008,0,0.899094310813295,0,0.931634133521348,0.937848640438049,0.898920545078731,0,0.931449365623759,0,0.902861527383876,0,0,0.935650765194434,0,0.901766461191386,0.901072961679071,0.900210704999364,0.900081140689047,0.935650765194434,0,0,0,0,0.897580107983468
"Signaling by GPCR",0.871610441013185,0.879494431096804,0.878936492917007,0.886975806261635,0.879982165981008,0.886713233176991,0.886778790390093,0,0.879002087643298,0.879793584083015,0.894966427874553,0.871445155167518,0.87961750476634,0.879530394507878,0.87104517170673,0.886848593866068,0.886720573268448,0.880618584051532,0.879872375555926,0.872143067418388,0.879340054384357,0.879049028967528,0.872718544373977,0.887332790179872,0,0,0.872248540642288,0,0.879879891825295,0.887477565061524,0.880049320426854,0.886501726919167,0,0.886871892965355,0.879907684677723,0.871326289875554,0.872371859035222,0.879415430570689,0.880136741955448,0.87982992571512,0.879566563967363,0,0.887369911900865,0.87120841887354,0.886927944203127,0,0.879315963363482,0.880243529954898,0.886871892965355,0.871737316555113,0.879083736259449,0.879127309812758,0.880049320426854,0.887865379214767,0,0.887298977231051,0.879600603351399,0.879596721673058,0.879991391891555,0.887865379214767,0,0.873016589138431,0.87942598313107,0.872044619305921,0.894338053821495
"Interleukin-4 and Interleukin-13 signaling",0.569175420941014,0.639359547797845,0.638640881918432,0.640964305092528,0.642830589131221,0.63829066016301,0.634791235151161,0,0.639511421974886,0.601762281594988,0.678094269700465,0.569278707428939,0.603591778785796,0.677671378593964,0.636558569973703,0.600431279882074,0.638466393095559,0.642129755597238,0.602515137413294,0.643477158125573,0.67535121817883,0.59984610458641,0.640316406662655,0.600879831353851,0,0,0.56898978390096,0,0.642358571622946,0.640647517796335,0.639828121021511,0.60365022342335,0,0.600546929002835,0.64219013350718,0.601065056620989,0.606407715607245,0.637786417187525,0.640238968083617,0.601929667596249,0.599718058700073,0,0.640141589960314,0.601852358029389,0.602432418672752,0,0.637318960137592,0,0.601606256164824,0.676991025839959,0.604802191552929,0.63992436969272,0.639828121021511,0.602474660356928,0,0.676464166989576,0.638736141747194,0.602420046527539,0.641221075899715,0.602474660356928,0.606408909359322,0,0.640647517796335,0.603217988175555,0.674991880097978
"Regulation of IGF Activity by IGFBP",0.75879983358222,0.754985458581383,0.785728014677528,0.786199497890792,0.78750002576352,0.785179686127103,0.782849216742307,0,0.786156690884523,0.730324041716707,0.816221681052925,0.789513148836885,0.756262146381774,0.788513530742827,0.81333552087277,0.784831853925678,0.786359103831451,0.782700515673875,0.757065472682578,0,0.786638156030778,0.786094368152689,0.756552469281066,0.75570880935642,0,0,0,0,0.78809415562593,0.785891711210297,0.784900184126986,0.837018909209049,0,0.784924410671864,0.786035051022491,0,0,0.785265399834546,0.785228994817446,0.756454344261782,0.754530672471036,0,0.787176987438387,0.728258101573244,0.756233418128526,0,0.78489128282234,0,0.78475313686365,0.787804449960186,0.759848404013164,0.785673400843778,0.784900184126986,0.758061270484783,0,0.786300972599026,0.786303050413464,0.788626960194268,0.788513530742827,0.758061270484783,0,0,0.785448315319924,0,0.816040786380925
"Integrin cell surface interactions",0,0.75749424156098,0,0.799211075687106,0.797696997082442,0.753109614404995,0.794116029260905,0,0.795241461018645,0.758084248763073,0.797646277044736,0,0.795077200290674,0,0.792326886382885,0.791234289058811,0.793767733128725,0.75741419003869,0,0.760600094821287,0.795844030399735,0.760333366257044,0.72360833145524,0.761513557492656,0,0,0,0,0.797666261524339,0.800051284417967,0.79499455766881,0.828153768219446,0,0.756439582509849,0.794961772209872,0,0,0.755512408890732,0.794509751170207,0.759835959705231,0.761063039203691,0,0.795628490889678,0.758050165268399,0.795041245941923,0,0.755044189211169,0,0.792860606450583,0.796541233304527,0.800994904464601,0.794636607722403,0.79499455766881,0.798402844715026,0,0.795294581762209,0.799932155666328,0.797570631769911,0.798191123202487,0.798402844715026,0,0,0.794387381118994,0.760266699836737,0.795023804422328
"Apoptotic cleavage of cell adhesion  proteins",0,0.669156071288541,0.669938302533352,0.672167060699536,0.686834716160194,0.531703375852382,0.66932666210144,0,0.671964706804194,0,0.529100739483166,0,0.671344283289229,0.532592900172574,0.670284457517026,0.670815934705902,0.670323969770073,0,0.686834716160194,0,0.674240650774751,0.67167009971405,0,0.527848946512653,0,0,0,0,0.681123336936977,0.677089027426143,0,0.663884717752622,0,0.671253461638131,0.676503592886738,0,0.546602569499964,0.532108554912939,0,0.678000893907173,0.527808707211925,0,0.675174987331702,0.525801808471795,0.671208481361976,0,0.665982969866802,0,0.670443829634341,0.529240989562958,0.548000273052244,0.669680136336696,0,0.537318215788311,0,0.677760636337263,0.671043781328539,0.676687655403203,0.683105773830133,0.537318215788311,0,0,0.680935873049433,0,0.672755388269913
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
