"","OBSCN","ZFP36L1","GRIA2","DST","INO80","KRAS","SYNE2","DNAH17","APC","BRD3","KIF26B","GEMIN5","GRIK4","CDC27","GNB5","GNB3","CHRDL1","NEFH","RASGRF1","TPO","ANK2","UBE2Q1","CHD1L","GATA5","SMO","IVL","KATNA1","OR2W3","DPYS","ARHGAP35","CACNA1H","OR6Y1","MYBPC2","AKT1","XRCC1","ZEB2","SOX9","COL4A1","TAS2R3","STX18","A2M","PDCD4","RGS22","GPR132","PTK2B","CSF2","WDSUB1","TAF1L","ZNF335","STAT5A","GK2","OR13H1","TIA1"
"G alpha (s) signalling events",0.935278682184105,0.935464190301161,0.935810769491086,0.921184298190575,0.936313457207796,0.934979397766936,0.91873301306229,0.936832251751185,0.935604387579658,0,0.919319278794558,0,0.936416502808339,0.934760500460021,0.949829745503142,0.945247124457915,0,0.936553439307324,0.950288444224098,0,0.935762482854368,0.934624965530892,0.936142377709511,0,0.936208874777704,0.919486665020854,0.937609109073054,0.951607219013468,0,0.935070356535997,0.935619014066094,0.951607219013468,0.919210849324311,0.949422709765812,0.935536165259464,0,0.934182907268353,0.935014486095273,0.949600611172469,0.935451374317815,0.934780322390899,0.921194218167478,0.934867134172095,0.949811104310126,0.935639872738444,0.93525455988231,0,0.935250401033886,0,0.935810735486086,0,0.951607219013468,0.936056095356262
"Extracellular matrix organization",0.800651578626693,0.800897423408343,0.801013715655227,0.801421663246431,0.800184951688903,0.807211071073234,0.791352555179365,0.791864656407219,0.792549119701127,0,0.800726573683191,0.792109546943285,0.801738712331006,0.791260468695883,0.793079011864775,0.793076268079041,0.792833635842373,0.784148983352603,0.800920126140384,0.800856113808959,0.800756031378146,0.800044686966594,0.800833073923893,0,0.800870419441525,0.79267918592003,0,0.801200918826988,0,0.800559930398254,0.808910940122885,0.801200918826988,0.800156521140404,0.791341961193991,0.800732139530448,0.802395669395952,0.801281243074884,0.807883635558578,0.808292968763336,0.800820830733633,0.816962045033831,0.793070743724198,0.792238983637679,0.793234420811733,0.809293144624739,0.800286996856386,0,0.792010670067006,0.802228514612262,0.800380503953582,0,0.801200918826988,0.783778026461528
"Neurotransmitter receptors and postsynaptic signal transmission",0.897851566424608,0.898213376776398,0.910572488779129,0.899440647427076,0.898944768930677,0.909137875884167,0.898918383419513,0.900286102422368,0.899267226664293,0,0.900053994525012,0.884916392842091,0.913653460931903,0.897641523645159,0.909480189220069,0.908515715789447,0,0.899015387947885,0.910533997467576,0.900020581703721,0.899196214713539,0.897885693587584,0.898801198576958,0,0.898610153425233,0.899446208876323,0.90003208329889,0.911779333061088,0,0.89928380032807,0.89836199046516,0.911779333061088,0.896701644677469,0.908985412762754,0.898077276028241,0,0.896196131422183,0.898177980755893,0.912016731685097,0.899991154661218,0.897567315976209,0.900235769209637,0.898725446145766,0.910272028995644,0.910712619301256,0.898361717133272,0,0.89805264946317,0,0.910052442669505,0,0.911779333061088,0.898728790204828
"Phase 4 - resting membrane potential",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815996687753314,0.888354565383944,0,0,0.82274854953087,0,0.821355227933943,0,0,0,0.824258983468531,0,0,0.829305214393409,0,0,0.750594851231356,0.829305214393409,0,0.818444303841096,0,0,0,0,0.819328791405936,0,0,0,0,0.820375318053706,0.822985558314839,0,0,0,0,0,0,0.829305214393409,0
"L1CAM interactions",0.828645231761048,0.82920511323668,0.850859957023165,0.852281597185115,0.827807017685449,0.871063213097256,0.82603323969856,0.850917760347834,0.849941844482721,0,0.850646906202321,0.825947522130159,0.829299550891862,0.849777790919617,0.849213930373878,0.849206842849733,0,0.831008372695024,0.851184045188214,0,0.812833550149796,0.850199881579,0.849771461792408,0,0.84769708731233,0.82989553139429,0.852044754354576,0.851340361245987,0.827970882700379,0.850899104098625,0.87204228442615,0.851340361245987,0.850758931121802,0.850182304808321,0.849510736276605,0,0.852263786285706,0.871583655307284,0.848574848925064,0.850538276453382,0.849496000064098,0.830540513533409,0.831174260369534,0.850491563818623,0.850019229846221,0.849312830057662,0.829771043941828,0.849991035744217,0,0.850949269561398,0,0.851340361245987,0.826696196347272
"Transport of small molecules",0.896868757792671,0.896512291239496,0.903735641189248,0.890104410939881,0.889845262286724,0.896730636577143,0.88867398122517,0.897060203249884,0.889721264879803,0,0.888756516048953,0.896852674640722,0.897265152601862,0.903070068208597,0.902368814614286,0.901819288660485,0.89008553713515,0.897045842205612,0.903553740965532,0.890240161307109,0.896748585234461,0.903168755589671,0.8893972449896,0,0.89684595570089,0.89731946882515,0.897431587764928,0.904207290202726,0.891139088997841,0.896976007237076,0.896255176251109,0.904207290202726,0.896676662038427,0.903340473399438,0.89647804850138,0,0.895876181224956,0.89677906325116,0.90324801099027,0.896112440414827,0.896439013727483,0.888690518408447,0.896976263071417,0.903348639367771,0.903599626041568,0.896639935087816,0.897640195926097,0.896830250741629,0,0.896746431093472,0.889779731075464,0.904207290202726,0.896659574698012
"Potassium Channels",0.919474152464507,0.919873211737876,0.920861266387124,0,0.898832818561534,0.917312945787806,0,0,0.917797958472892,0,0.893688901605133,0,0.922842501758596,0.916372308260489,0.940144147196322,0.938358060180922,0,0.92108972967615,0.942318794510573,0,0.919342877404269,0.896871743852578,0.89856697138506,0,0.918737294959298,0,0,0.94436809064292,0,0.91915042702755,0.918633962543667,0.94436809064292,0,0.940973495607906,0.898287693031018,0,0.920645073626402,0,0.941249943616724,0,0.917778821850647,0,0.921189336374425,0.941577037201136,0.918339283882477,0.918067622820412,0,0,0,0.917741448322991,0,0.94436809064292,0
"Regulation of insulin secretion",0.861176875750673,0.861811538230029,0.862033280534812,0.83724086565935,0.862842366111317,0.861374155020555,0.860475403286307,0.863677375936047,0.862091757155803,0,0.860787798128966,0.863087312097078,0.862835012056685,0.860342852270434,0.879397964755107,0.875705502412267,0,0.863135580866504,0.885335377280785,0,0.861673547565449,0.835110748287198,0.862567010358836,0,0.862627890703639,0.864424169791792,0.86464572808442,0.887457970742426,0,0.862637915850951,0.88424332897181,0.887457970742426,0.833835302790913,0.884790038278854,0.861766710050612,0,0.859396581012643,0.862402679102445,0.884228296716418,0.862141270378711,0.862239047603481,0.840050600767284,0.862921205558179,0.884567089481728,0.864952361430262,0.862386113490782,0,0.861948496677135,0,0.864723795329622,0.840760451840524,0.885615478523947,0.863245277230221
"Muscle contraction",0.895426568435622,0.881326328114791,0.909272908828631,0.881221461595497,0.880715089788275,0.908356322905748,0.87936706249638,0.880413644439911,0.894708013363735,0,0,0,0.895968902223354,0.893381858373466,0.894342235363149,0.90859201054233,0.88219504176134,0.866581022085138,0.908950707917381,0.882040292215198,0.90881240300909,0.878815047751793,0.880107316071401,0.883222416598535,0.894452402198924,0.896173067390264,0.881167151581368,0.895386451702624,0,0.894710272265576,0.894567450672339,0.895386451702624,0.910209709123267,0.895006875126027,0.894780067519769,0,0.895210407435612,0.879668120589639,0.894029035331847,0.879274849637284,0.893756863648993,0.867189601540895,0.881406028586214,0.894122998697367,0.908996945828098,0.894876333299689,0,0.895037750763184,0,0.894672740681605,0,0.895386451702624,0.895394855836995
"Chemokine receptors bind chemokines",0.897844452239643,0.864343366927656,0.896966456193551,0,0,0.89510532398698,0.863047747940647,0,0.895720032410261,0,0,0,0,0.894058019054977,0.921965278050674,0.921955656072681,0,0,0.896312225664864,0,0,0.894631046666933,0.862772733949079,0,0.896910553953808,0.8687033353639,0,0.898909517721518,0,0.897434160387395,0,0.898909517721518,0.863193353145778,0.89508520265032,0.862418774636367,0,0.900163153720252,0.896156957743664,0.923285224476234,0.86128517974439,0.895695778523201,0,0.896939101453632,0.923699785141804,0.896406111969085,0.896061806864779,0,0.86621530485692,0,0.92397607886486,0,0.898909517721518,0
"Ion channel transport",0.767037874745527,0.749408324059989,0.782570222395334,0.74810712674606,0.765859686174922,0.781982153126492,0.747525900718176,0,0.766573463759,0,0,0.766240725311702,0.767219308836117,0.781024183682064,0.764339972845798,0.764334431772599,0.750609852041718,0,0.782193466259413,0.750925790811862,0.868832697151159,0.781225314399664,0.765555780289621,0,0.766026058711504,0.767021090765467,0,0.766090376975094,0,0.767285310672126,0.765665652259652,0.766090376975094,0.76611396792346,0.869537008547787,0.765256081014576,0,0.76681231677158,0.748145273805133,0.764616385818078,0.745921060089131,0.765800503557136,0.748796574516258,0,0.764983984205903,0.782731246652859,0.766770283713427,0.768436161158389,0.745983945209288,0,0.767015932143928,0,0.766090376975094,0.747050731062164
"ADP signalling through P2Y purinoceptor 1",0.838944776743715,0.839729617374763,0.84127336413134,0,0,0.837887627864416,0.783959068680888,0,0.834944825259897,0,0.775418371531161,0,0.841915563521489,0.831793032935209,0.886652904925839,0.886635971823211,0,0.842534472828727,0.891616354219731,0.787795110312369,0.835646500944874,0.779550179827818,0,0,0.839643628479999,0.789120889522343,0.847058068966484,0.896341298466552,0,0.838198381619675,0.837007599158666,0.896341298466552,0,0.888514575901764,0.782814852423866,0,0.843162914320053,0.782326088199264,0.889151966178451,0,0.835035950437953,0,0.843162914320053,0.88990612704639,0.840253996589346,0.839627643300514,0,0.782709713605922,0,0.838875601518596,0,0.896341298466552,0
"Anti-inflammatory response favouring Leishmania parasite infection",0.823251427837794,0.822992827604657,0.823701087461178,0.801174355549131,0.824566508213808,0.82408516013935,0.797514190831605,0.825459658273526,0.822807147126508,0,0.792792909482407,0.794158518390262,0.824743910203576,0.823290456625702,0.848219642586939,0.846240677330054,0,0.824811668437844,0.848625667368924,0.796782343010493,0.823617957804132,0.821218174785159,0.824271979934632,0,0.824386460437914,0.826691038294442,0.826797085916633,0.850896053202572,0,0.824542512666039,0.824911644708194,0.850896053202572,0.798927011093316,0.849266968019888,0.822786884599788,0,0.820898580649997,0.822552028204969,0.847441502772421,0.796479020154033,0.822278054117653,0,0.824122053223633,0.847803885069739,0.823540976252639,0.82358339219194,0,0.822736364282435,0,0.825229465209284,0.799701574974687,0.850896053202572,0.8241234373373
"Leishmania parasite growth and survival",0.823251427837794,0.822992827604657,0.823701087461178,0.801174355549131,0.824566508213808,0.82408516013935,0.797514190831605,0.825459658273526,0.822807147126508,0,0.792792909482407,0.794158518390262,0.824743910203576,0.823290456625702,0.848219642586939,0.846240677330054,0,0.824811668437844,0.848625667368924,0.796782343010493,0.823617957804132,0.821218174785159,0.824271979934632,0,0.824386460437914,0.826691038294442,0.826797085916633,0.850896053202572,0,0.824542512666039,0.824911644708194,0.850896053202572,0.798927011093316,0.849266968019888,0.822786884599788,0,0.820898580649997,0.822552028204969,0.847441502772421,0.796479020154033,0.822278054117653,0,0.824122053223633,0.847803885069739,0.823540976252639,0.82358339219194,0,0.822736364282435,0,0.825229465209284,0.799701574974687,0.850896053202572,0.8241234373373
"GPCR ligand binding",0.915029996542689,0.914626544815737,0.914300108835608,0,0.904141767690553,0.914498228559413,0.904106915729516,0.894212196393522,0.91460757928353,0,0.904555600074764,0.903829213779768,0.915059483536219,0.914005123061865,0.923740442861293,0.923008573024152,0.915240292084258,0.915193501713548,0.923891612757647,0.904548521335966,0.913945433437699,0.914190371078501,0.914187308770835,0,0.924042701929729,0.905808476393887,0.894706813840909,0.92473126374842,0,0.914985001199592,0.914187308770835,0.92473126374842,0.903644256478904,0.92334040810807,0.914072881020267,0,0.915257110996387,0.914572107908489,0.923453676191115,0.914329502796787,0.914534576943117,0,0.914438828112918,0.923587695110045,0.914918746504308,0.914652906361971,0,0.904849614011834,0,0.923677015176194,0,0.92473126374842,0
"Binding and Uptake of Ligands by Scavenger Receptors",0.625015594093735,0.659002320025606,0.623994064101021,0.660708145896246,0.586986883116209,0.688910379700483,0.586914837522782,0.588175670295702,0.656845530370774,0,0,0.658664381312291,0,0.689062350016527,0.654824174650676,0.654812979681003,0,0.662101079467261,0.656958757691657,0,0.690307593921144,0.689729055629692,0.658479801922613,0,0.691493230315631,0.662101079467261,0.589955793152243,0.694375146785125,0.591904864925875,0.659241381151098,0.620439579670708,0.694375146785125,0.624682408499664,0.691817989126195,0.65806797768292,0,0.590531570267943,0.690676334495901,0.621100587585319,0.655323343024176,0.61965180126457,0.59148923311645,0.62268257576013,0.621582920228573,0.65804526836911,0.657644676598499,0,0.586115797475374,0,0.657880626271375,0,0.694375146785125,0
"Activation of Matrix Metalloproteinases",0.680872022304197,0.685980403254959,0.720101397000466,0.721100702784583,0.720280825171094,0.717876173116633,0.647122879912022,0,0.717627010732265,0,0,0,0,0.716623984830318,0.748847651944734,0.748836147627542,0,0,0.718335054238972,0.683798736808997,0.717999287152115,0.677601513351207,0,0,0.720034558654111,0.686422956218505,0,0,0,0.720660597759572,0,0,0.680529629884229,0.717280583099144,0.719454769956035,0,0.72293933600548,0.718149411389191,0.750425818343213,0.678248162177489,0.751879990260314,0,0,0.750921479151761,0.719431433122001,0.719019771909153,0,0.680236148559822,0.725157333041957,0.718525503837799,0,0,0
"Signal amplification",0.850828711223344,0.851637764279297,0.85222963443164,0,0,0.850238173206412,0.802817638724208,0,0.847650503991906,0,0.803402217852309,0,0.853780023102092,0.844388123638527,0.893083913161485,0.893069220639578,0,0.854104133616546,0.897482990412564,0.806190752102627,0.848035768992484,0.798940808542751,0,0,0.851477064613598,0.807356538092355,0.858301938029381,0.901637734855491,0,0.850172390041159,0.849464345160231,0.901637734855491,0,0.894755530456092,0.801811504918806,0,0.854645111890505,0.80376831872758,0.895316001346689,0,0.847391596725504,0,0.85264204170993,0.895979151113431,0.851766958883722,0.851216193052393,0,0.80171905410949,0,0.850554906643273,0,0.901637734855491,0
"Glucagon signaling in metabolic regulation",0.851541094940361,0.852040694806963,0.852472969261993,0,0.85405023719467,0.85084608744159,0.794572164393232,0.855678043026665,0.851825411026614,0,0,0,0.854773370241937,0.849177572123142,0.893638060856945,0.893557339491545,0,0.855433824491911,0.897899128161484,0,0.852321461753175,0.792650663302783,0.853513446265404,0,0.853722092090218,0.801253324033618,0.858115564575964,0.902037007637253,0,0.850887437901623,0.851871304107459,0.902037007637253,0.797534966350445,0.895182739529186,0.850806793759673,0,0.847365275563934,0.850879357075191,0.895740935352498,0,0.848117932401281,0,0.854746188273061,0.896401393257156,0.852918439636133,0.850462566069113,0,0.850714718227317,0,0.852472862565537,0,0.902037007637253,0.85324272075449
"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",0,0.866334880698105,0.865303850462596,0,0.865579821231993,0.861881329098456,0.807155399977394,0.812230028608504,0.86301174460788,0,0.805934143858406,0.810023212092994,0,0.911169390040953,0.910396280995681,0.910378586699096,0.807968852234348,0.869170210138351,0.863221706542627,0.869343668180835,0.856459061090827,0.912223156794996,0.86408116376828,0.813635391668944,0.865201049270318,0.866297821637449,0.811933091219872,0.867997986014567,0,0.866163933153056,0.860129777238614,0.867997986014567,0,0.91217927566147,0.864309301154423,0,0.869668762661026,0.801344983800848,0.912823591008937,0.805662945206202,0.914181141032919,0.814356781708888,0.870303354743008,0.862371947617937,0.864273407771455,0.863640249325693,0.873279077518402,0.864203020032018,0,0.862880036815791,0.813870510803115,0.867997986014567,0.867121047646466
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835844792954769,0,0,0,0,0.746440505524798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833007549021243,0,0
"NCAM signaling for neurite out-growth",0.865308090057412,0.864282500953551,0.898943974578744,0.89890020799801,0.864831756349084,0.919603311333274,0.895121065234154,0.898579943481488,0.895967314627947,0,0.89833858890304,0,0,0.895801752163486,0.92543580353934,0.925425408129885,0,0.865040781103843,0.928325409239176,0,0.92802200693453,0.896420840739605,0.86117407701706,0,0.898883578818955,0.866464700664829,0.900232927501437,0.899233332441552,0,0.897479749974464,0.931239289189429,0.899233332441552,0.865533355357026,0.896395060548334,0.862719648588312,0,0.900767581819147,0.928122657124486,0.894963705829171,0.898179259538364,0.896681892366044,0.868496100255986,0.900428104576275,0.897221479965534,0.896914669342055,0.895389812805584,0,0.830398093764326,0,0.897519982662487,0,0.899233332441552,0
"Integration of energy metabolism",0.853419532882297,0.853618990374962,0.852301418501673,0.832478840078135,0.853017956988386,0.851580015953473,0.851193916218333,0.853995198694807,0.85226623529665,0,0.85146721842738,0.853478974581448,0.854870172436641,0.850831228653045,0.869360461464101,0.866127895933071,0,0.855166567530786,0.874554874872076,0.835735245142192,0.853660219100745,0.829599527138785,0.852777058851955,0,0.853117417588886,0.85451213096053,0.854648539859919,0.876411850093041,0.833471140003471,0.852348747563142,0.871987558453328,0.874799924655427,0.829720866293275,0.872506226437248,0.852033762111577,0,0.851858413813683,0.852920388638005,0.871974407312387,0.852651319139768,0.852590661227247,0.83347526872551,0.854775517265788,0.872270804046662,0.853098525409964,0.852510592372925,0,0.851672757053803,0,0.872662177445642,0.835525629346453,0.874799924655427,0.852807260385518
"Adrenaline,noradrenaline inhibits insulin secretion",0.86293209292687,0.863584650942894,0.863843839450195,0,0,0.862033883267306,0.861199863252681,0,0.861634640481597,0,0.801170016613595,0,0.865958305504926,0.860177608534258,0.901520986115117,0.897508645818689,0,0.866561309538551,0.914381841740166,0,0.861553304329542,0,0,0,0.861408595223018,0,0,0.918985360230134,0,0.862204879318655,0.912013387924979,0.918985360230134,0,0.91135977563893,0.864374034072642,0,0.866277157999293,0.862805672475684,0.911980785701859,0,0.859123719064097,0,0.866472439461419,0.912715565483082,0.86433943897553,0.85990425037753,0,0.864271597204155,0,0.858914771152844,0,0.918985360230134,0.867084077955389
"Regulation of FZD by ubiquitination",0.759947284172926,0.746885330295036,0.759320712833186,0.749047160940475,0.742468450728554,0.802808733683075,0.742329718620017,0,0.807647375598359,0,0,0.74267039512448,0,0.800462337870217,0.802814701514166,0.802793144307487,0.761536123902344,0,0.756514463501935,0,0,0.80174615650628,0.806559780800468,0,0.757351378329683,0.74868676166357,0,0.760489380569802,0,0.759028060883943,0,0.760489380569802,0,0.752694466860339,0.805766765677661,0,0.764031152393376,0,0.751635354788277,0.745632078010447,0.755133367177602,0.751729415359746,0,0.752839730024413,0.756724807618894,0.74010544340294,0.752919519394216,0.740791074751471,0,0.755027244478886,0,0.760489380569802,0.74493731808636
"Synthesis, secretion, and deacylation of Ghrelin",0.60658975711592,0.524242308591104,0.604428888784016,0,0.456211210170219,0.599848387921209,0,0.523720684672488,0.668726597778901,0,0.519457586193762,0,0,0.597270827268758,0.664777939962186,0.664754258958577,0,0,0.60281873798949,0,0.587077157367572,0.51621880749582,0.51963597478925,0,0.6042913057276,0.61045269732055,0.527486223751158,0.609211028910288,0,0.605579972761757,0.520376766053005,0.609211028910288,0.605884961168656,0.596024760433235,0.601921374709084,0,0.611119930631113,0.602436602403145,0.599484712342054,0.601188685492703,0.669843373548026,0.613145699171186,0.612296398532916,0.669046799100411,0.603049805022757,0.600781252755371,0,0,0,0.601184999464055,0,0.609211028910288,0
"Protein-protein interactions at synapses",0.766681988208132,0,0.819981090784135,0,0.794323005002276,0.847411582863712,0,0,0.791185682086326,0,0.794234838732047,0,0.793877147145464,0.76079757431209,0.790806413460777,0.790797409880034,0,0.77031493897226,0.820654056448372,0,0.793561299921756,0.761333773872729,0.763344231704638,0,0.794706860611853,0,0,0.795612847218401,0,0.79435896219894,0.794007723113684,0.795612847218401,0.79434826739042,0.820885684691378,0.763013021089303,0,0.795500763687894,0.764768194312188,0.766372839215697,0.794096841781963,0.820492514043247,0,0.797750418250806,0.788108476823084,0.822121700167048,0.821222933038595,0,0,0,0.821412696119078,0,0.795612847218401,0
