"","PRKACG","TYK2","COL1A2","AKAP9","NMUR1","TFRC","NUF2","APC","EXOC4","DOCK4","GLI2","OGT","MYO5A","ARHGAP35","TAS2R16","TAS2R4","OAS1","ROBO1","RGMB","HAUS5","MAMLD1","TNS1","NUMB","HSP90B1","OR4D5","OR6C74","OR10A2","OR2A5","OR10P1","OR51E1","MTMR6","GP6","PPP1R3A","PDE6A","PDS5B","GMIP","TTN","IQGAP2","POLR3E","RFC1","RNF6","ASB18","CBX2","COL4A4","NCAPD2","CD82","IFT122","PKD1L1","TNFRSF10A","MCM8","ZNF217","PFKM","EPN3","TP53BP1","MUC16","NEFH","FTSJ3","PYGL","B3GAT2","UIMC1","NAALADL2","GMPR","UTP20","KIF21A","ZNF429","CCDC129","PLB1","FBN3","PLEC","SLX4","KIF1B","KIF20B","NID1","WWC2","CEACAM8","LILRB3","ADAMTS9","MMP19","BDP1","COL23A1","PIWIL4","GSTM4"
"Phospholipase C-mediated cascade; FGFR2",0.817315188702499,0.822579694073048,0.823341178412112,0.822479812743591,0.819636659567204,0.821631049955103,0.823502600027683,0.822953682693307,0.825397945418484,0.830896784827319,0.823341178412112,0.825575914132055,0.82496498203226,0.826907955872936,0.821194749043751,0.821194749043751,0.823850105332154,0.826645112545568,0.827854446501878,0.823437121868294,0.826103019962126,0.828384706424703,0.824720194503539,0.82656198457212,0.830311415833053,0.830311415833053,0.830311415833053,0.830311415833053,0.830311415833053,0.830311415833053,0.892354177749542,0.826907955872936,0.827734526549493,0.82453638015507,0.753434711437918,0.828687007810431,0.822702555081279,0.831621649361572,0.822297381641705,0.822682515838964,0.820455426397491,0.820455426397491,0,0.823961613344005,0,0,0,0,0.828687007810431,0.82410397297435,0,0,0.893095255692532,0.819672417216901,0.750554514691316,0,0,0.827854446501878,0.82853226575553,0.819672417216901,0,0,0.81742352519273,0,0.833999459240105,0.832577982302851,0.824673296521166,0.830055767014486,0.820197993467514,0.819954151556109,0,0,0.828384706424703,0.83117418094864,0,0.829600116034064,0,0,0.825009163391473,0,0.830055767014486,0
"Complement cascade",0.819695386275424,0.822322899115464,0.828569820714465,0.822273048377901,0.854178800994712,0.823109260175446,0.823095663498437,0.790134842775327,0.824041629738399,0.826473956282368,0.821335778653455,0.791764537529812,0.823825537859581,0.755533389718791,0.854956442922567,0.854956442922567,0.823269103277716,0.792298174094374,0.824955526258806,0.788382377880738,0.825341218885083,0.825220178805953,0.791016508219042,0.829229637291825,0.825924162021769,0.825924162021769,0.825924162021769,0.825924162021769,0.825924162021769,0.825924162021769,0.793028605807135,0.792429359109673,0.82520781658624,0.823299480473553,0.788431633993687,0,0.824483133107793,0,0.823129683758731,0,0.79153589527857,0.79153589527857,0,0.823012614553623,0.787932553199006,0.829282329043228,0.789419508548208,0,0,0.825018401813439,0,0.826042091324127,0,0,0.856969921366811,0,0.825611777109119,0,0.790310360350896,0,0.82705540457601,0,0.786837166172499,0.788847806557871,0,0,0,0.795557383003755,0,0,0.788869984722507,0.788869984722507,0.858544948206173,0,0.827625183705533,0.793773015330517,0.824664090427379,0.831662440583733,0,0.793175972173129,0,0
"Activation of kainate receptors upon glutamate binding",0.880520828383309,0.835011020699144,0.83559858228536,0.833468843277458,0.882312076126234,0.834279046561134,0.835723135261211,0.835299590451236,0.835720475484834,0.841428490876258,0.83559858228536,0.835857796207373,0.836851509734833,0.838350709039717,0.883514298519188,0.883514298519188,0.835991270477445,0.838147899035056,0.780386087812678,0.83084818384033,0.837729620205323,0.839490170289449,0.835811767525602,0.838083757461248,0.890548721848643,0.890548721848643,0.890548721848643,0.890548721848643,0.890548721848643,0.890548721848643,0.888849037061723,0.838350709039717,0.8375233823146,0.886092702270379,0.777053827746816,0.839723426145942,0.735126419163608,0.841987796608089,0.831566202033748,0,0,0,0.831433868829522,0,0.834452706715796,0.843822515554074,0.832545927259695,0.833208433737013,0.779563383461333,0,0.838281279305539,0.834121062910306,0.838383842216987,0,0,0.837901274995049,0.83167397612253,0.837133345370472,0,0.773664539478132,0.838033608199274,0.833037524959686,0,0.779916336415146,0.843822515554074,0.842725703444912,0,0,0,0,0.779950623514653,0.779950623514653,0,0,0,0,0,0,0,0,0,0
"Arachidonic acid metabolism",0.821170272923005,0.823981876512244,0.78463619062519,0.823928533095411,0.82241009610792,0.786905923564986,0.824474771003167,0.787919586331665,0.824875928348096,0.789090897829196,0.824388560891908,0.789401621921567,0.824644696480136,0.752129036367747,0.823242221760051,0.823242221760051,0.789787269641241,0.786820215931043,0,0.824439801216835,0.790990479138436,0,0,0.791235597426663,0,0,0,0,0,0,0.826934693980391,0.826293462417314,0,0.825026879836203,0.824492508348023,0.753079170988349,0.825571270011504,0.754646468984562,0,0.789163697514565,0.786666933535895,0.786666933535895,0.823831102490871,0,0,0.793818781564448,0,0,0.790981571521719,0.789337697731257,0.790064966503796,0.790433109734067,0.753166053908377,0.789105646628498,0,0.828307557599862,0.751266467765008,0,0,0.751203246095129,0,0,0,0,0,0,0.859411500446862,0,0,0,0,0,0,0,0,0.827731258874732,0,0,0,0,0.791794167765279,0.859708267988957
"Initial triggering of complement",0.760782339575419,0.765803823425131,0.766530155918172,0.76570855284462,0.824276491342512,0.764898970873544,0.766684125945464,0,0,0.773736978386431,0,0,0,0,0.825762655871216,0.825762655871216,0.767015589616079,0,0.770835081305648,0,0,0.771340863226493,0,0.761555558734543,0.773178631354006,0.773178631354006,0.773178631354006,0.773178631354006,0.773178631354006,0.773178631354006,0,0,0,0.767670184434998,0,0,0.769932282833122,0,0.767345683085958,0,0,0,0,0.767121950164926,0,0.776696426303775,0,0,0,0,0,0,0,0,0.768330803021953,0,0.769681572950525,0,0,0,0.775340567969374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775937108419928,0,0.769681572950525,0.774848193970794,0,0,0,0
"FGFR2 ligand binding and activation",0.833323161900611,0.838267110748073,0.838982228191307,0.834544078243122,0.835503278055527,0.837376229713019,0.768010319222672,0.83345127940393,0.840913758345599,0.846077772596543,0.83381518045019,0.841080890517458,0.840507158165022,0.842331824036576,0,0,0.839460166474713,0.842084985278909,0.843220682708897,0.835443096671371,0,0.843718655025341,0.840277275785708,0,0,0,0,0,0,0,0.843459371340673,0.842331824036576,0.843108064700433,0,0.768041508728189,0,0.838702591071922,0,0.838001988363095,0.836580496959267,0.836272190050485,0.836272190050485,0,0.839564884746967,0,0,0,0,0,0.835801437909518,0,0,0.904488969224476,0.83553685841656,0.770671597718987,0,0,0,0.843857229446342,0.83553685841656,0,0,0.833424901765672,0,0,0,0,0.84528796448471,0.836030432250297,0.835801437909518,0,0,0.843718655025341,0.846338278026353,0,0,0,0,0.840548649314632,0,0,0
"Phase II - Conjugation of compounds",0.716995240151006,0.718788491836809,0.692534284575212,0.696619449548693,0,0,0.672582945999852,0.673743108723739,0,0,0,0.71994910023012,0,0.674678475761664,0,0,0,0,0.720674631348357,0,0.720137582087094,0,0,0,0,0,0,0,0,0,0,0,0.720720974213891,0.697054104285041,0.672594821825855,0.675314626974007,0,0,0.696538142281292,0,0.668099016807749,0.668099016807749,0,0.71908720419024,0,0,0,0,0.693426115829285,0,0.69383617244566,0,0,0,0,0,0,0.720763855043554,0,0,0,0.697614301428001,0,0.697338944910467,0,0,0.763483346245084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743149440767351
"Phase 4 - resting membrane potential",0.776753548198826,0,0,0.782237269684561,0.77991791998548,0,0,0,0,0,0,0,0,0,0.78204173487182,0.78204173487182,0,0,0,0,0,0,0,0,0.794468564609379,0.794468564609379,0.794468564609379,0.794468564609379,0.794468564609379,0.794468564609379,0,0,0,0.786596676039004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703359874168864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presynaptic function of Kainate receptors",0.853228688396205,0.788646537226835,0.789480335326921,0.787329724823857,0.855770615914735,0.787607805866749,0.789657086219186,0.789056041382112,0.789653311778272,0.797753453959589,0.789480335326921,0.79192729096592,0.791258342180031,0.793385829002496,0.857476668132309,0.857476668132309,0.790037592091433,0.793098024965385,0.70888966464375,0.782926921839404,0.792504452986346,0.795002818008307,0.789782862674608,0.793007002809354,0.867459092009048,0.867459092009048,0.867459092009048,0.867459092009048,0.867459092009048,0.867459092009048,0.865047099837801,0.793385829002496,0.792211784497654,0.861135634612473,0,0.79533382720724,0,0.798547154683918,0.783758056894338,0,0,0,0.783758056894338,0,0.788042035549668,0.801150771406388,0.785336159050802,0.786088518425872,0,0,0.793287302513009,0.787383614103713,0.793432847699607,0,0,0.792935836891881,0.783910997169149,0.792343092553947,0,0,0.792935836891881,0.785845984847832,0,0.705207844529969,0.801150771406388,0.799594305030395,0,0,0,0,0.705256500737414,0.705256500737414,0,0,0,0,0,0,0,0,0,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.816369454159982,0.770027964854673,0.821521433914919,0,0.767912550145372,0.820292215947692,0.76870807481682,0.823539762829648,0.822179233968796,0.774727937469643,0.768925971143016,0.770532269949224,0.77046423520573,0.771860819389229,0.76903248448204,0.76903248448204,0.766524449631928,0.823075681387388,0.824315974858553,0,0.823506609497487,0,0.821692075475795,0.77289038317893,0.7755854253285,0.7755854253285,0.7755854253285,0.7755854253285,0.7755854253285,0.7755854253285,0.774002078216068,0,0.772083852321249,0.820820166252884,0.768731947006668,0.773139578652743,0,0.775248960615979,0,0.768002995972553,0.7664021932113,0.7664021932113,0.772295058187888,0,0,0.779341531307609,0,0,0.775523010704312,0.769996699064919,0.774179573937079,0.824515982940449,0.774534755348541,0.772998256545431,0.771932229936956,0,0,0,0.824803182472524,0.769794192106848,0,0.772560485420306,0.768177717934318,0,0,0,0,0,0.7701719694415,0.769996699064919,0,0,0,0.778061509439592,0,0,0,0,0,0,0,0
"Elastic fibre formation",0.716546004700204,0.72007664354451,0.726260075820511,0.72000965816283,0.720141945989032,0.719021004093588,0.721995094629782,0.773394852116573,0.670435957168457,0.724888874776402,0.721860757344014,0.723359482140407,0.670145590411854,0.672436226117817,0.721186878198537,0.721186878198537,0.669397898709225,0.671272369403661,0.72414803605247,0.670108512401828,0.72243956092602,0.725518288032648,0.721512169474148,0.722747365395034,0.673731174531719,0.673731174531719,0.673731174531719,0.673731174531719,0.673731174531719,0.673731174531719,0.673241445272274,0.672436226117817,0.724807154868304,0,0.720717863594677,0.672641765810484,0.721039887282355,0.674609882228891,0,0.72141902549983,0.71992542867765,0.71992542867765,0,0.721349618709993,0.723784610091817,0,0.670596554288371,0.668266948708757,0.673629346731141,0.723279210074223,0,0.671850590776974,0.673738448957903,0.723090265029671,0.721853379782308,0,0,0,0.724834356865467,0.723090265029671,0,0,0.720675161511552,0,0,0,0,0.819341361069293,0.723442742574179,0.723279210074223,0,0,0.715525296114258,0.730803919200578,0.728749938736618,0.674241722469505,0.720692160690386,0.726435800902477,0,0.713446045458791,0.674547304653906,0
"ADP signalling through P2Y purinoceptor 12",0.886990667006429,0.828128860132591,0.826993851521883,0.824994921751912,0.889307444072132,0.827182134085159,0.827154946757903,0.826607139283519,0.829840916466617,0.835328637731639,0.827788308052571,0.828599922501351,0.829408828492246,0.830553417289145,0.890862383236115,0.890862383236115,0.827501749438845,0.831085561937322,0.832292450732417,0.822582347374888,0.831645062183159,0.832027181988119,0.829164535901228,0.830208145510246,0.899960616969836,0.899960616969836,0.899960616969836,0.899960616969836,0.899960616969836,0.899960616969836,0.832546101597163,0.830553417289145,0.832172773247066,0.894197257878932,0,0.832328872148454,0,0.835257580126275,0.823339864896429,0,0,0,0.823339864896429,0,0.827244391452077,0.83763058229354,0.830079897281933,0.825463906510285,0,0,0.832358571052334,0.826644289484402,0.833285681149214,0,0,0.831704725836555,0.824300708823142,0,0,0,0.831262291619448,0.825576365824362,0,0.746890285493063,0.83763058229354,0.836211979450952,0.754825371221804,0,0,0,0.746934631991809,0.746934631991809,0,0,0,0,0,0,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.884056532105394,0.833039214832357,0.832744047992651,0.831998985683353,0.886064553212615,0.832218658588884,0.832883674130612,0.832408872740552,0.833834526474708,0.839279480933146,0.833697881994158,0.833988465487559,0.834148602317589,0.835829231845262,0.887412266252401,0.887412266252401,0.833184258556141,0.835601878163047,0.836647925368234,0.83213845734191,0.836086814033558,0.837106588508718,0.834890700504562,0.835529974299069,0.895297981993549,0.895297981993549,0.895297981993549,0.895297981993549,0.895297981993549,0.895297981993549,0.836867772283078,0.835829231845262,0.835314651048036,0.890302703477392,0.831236351074465,0.837368072541326,0,0.839906472771289,0.890008432761679,0.832174319391044,0,0,0.829029162908323,0.83205116432179,0.836179192658388,0.84196322588314,0.835684072037974,0.891849404194096,0,0.829744998352464,0.836705233859403,0.831618643858971,0.838462622363763,0,0,0.836279242156517,0.829432175990416,0.835418379162494,0,0,0.835877042302978,0.835132980032051,0,0.767122318928947,0.84196322588314,0.8407336796774,0.770448915511627,0,0,0,0.767160755387436,0.767160755387436,0,0,0,0,0,0,0.835829231845262,0,0,0
"Activated point mutants of FGFR2",0.785498873652063,0.791509133806319,0.792378487840369,0.786983117334892,0.7881491974442,0.790426107474054,0.706593647267165,0.785654623549367,0.794726610582181,0.801004399864809,0.786097010804153,0.794929789835044,0.794232314840167,0.796450524801677,0,0,0.792959507893282,0.796150447839817,0.797531092587842,0.788076036134006,0,0.798136467615738,0.793952851409783,0,0,0,0,0,0,0,0.797821261603966,0.796450524801677,0.79739418511776,0,0.706631563727878,0,0.792038538563357,0,0.79118682980286,0.789458751012476,0.789083948443455,0.789083948443455,0,0.793086811811378,0,0,0,0,0,0.788511664440794,0,0,0.872013728336216,0.788190020420351,0.709334614793295,0,0,0,0.798304929779614,0.788190020420351,0,0,0.785622556779851,0,0,0,0,0.80004424587242,0.788790048300416,0.788511664440794,0,0,0.798136467615738,0.801321091127818,0,0,0,0,0.794282754804446,0,0,0
"MyD88 deficiency (TLR2/4)",0.793567734068849,0.800072109836101,0.801012935219215,0.722223491979175,0.796435946326973,0.798900045724053,0.801212374059282,0.800534178415696,0.80120811512679,0.810348000873985,0.79866694847703,0.803773984898131,0.803019169076767,0.805419742554458,0.712525431194572,0.712525431194572,0.801641722102887,0.805094995660157,0.803470454739574,0.72340626183773,0.804425232099258,0.807244290128656,0.800370743651768,0.8049922897955,0.712368545458983,0.712368545458983,0.712368545458983,0.712368545458983,0.712368545458983,0.712368545458983,0.806903170394727,0.805419742554458,0,0,0.70331001318607,0.807617788049038,0.70816351935848,0.811243581936075,0.716233737137804,0.800199147678309,0.797447545091739,0.797447545091739,0.802069295312454,0.801779491932926,0,0,0,0.716483608562449,0.807617788049038,0.801280115660709,0.805308569091471,0,0,0.800932028636428,0.706089107334609,0.812425145705291,0,0,0.804307910648101,0.800932028636428,0,0,0.798153488630178,0,0,0,0,0.805552442704857,0.801581386019071,0.801280115660709,0,0,0.712272791979303,0.815142631158727,0.717817743095847,0.808745947027828,0.805094995660157,0.7145311457882,0.719584184379808,0.708033650293406,0.731583697716467,0
"IRAK4 deficiency (TLR2/4)",0.793567734068849,0.800072109836101,0.801012935219215,0.722223491979175,0.796435946326973,0.798900045724053,0.801212374059282,0.800534178415696,0.80120811512679,0.810348000873985,0.79866694847703,0.803773984898131,0.803019169076767,0.805419742554458,0.712525431194572,0.712525431194572,0.801641722102887,0.805094995660157,0.803470454739574,0.72340626183773,0.804425232099258,0.807244290128656,0.800370743651768,0.8049922897955,0.712368545458983,0.712368545458983,0.712368545458983,0.712368545458983,0.712368545458983,0.712368545458983,0.806903170394727,0.805419742554458,0,0,0.70331001318607,0.807617788049038,0.70816351935848,0.811243581936075,0.716233737137804,0.800199147678309,0.797447545091739,0.797447545091739,0.802069295312454,0.801779491932926,0,0,0,0.716483608562449,0.807617788049038,0.801280115660709,0.805308569091471,0,0,0.800932028636428,0.706089107334609,0.812425145705291,0,0,0.804307910648101,0.800932028636428,0,0,0.798153488630178,0,0,0,0,0.805552442704857,0.801581386019071,0.801280115660709,0,0,0.712272791979303,0.815142631158727,0.717817743095847,0.808745947027828,0.805094995660157,0.7145311457882,0.719584184379808,0.708033650293406,0.731583697716467,0
"G beta:gamma signalling through BTK",0.868838617662555,0.793611957545368,0.794583183265567,0.79207810651558,0.871799508775913,0.79240202121523,0.793382607823938,0.792682498043526,0.794784669906664,0.802813428773116,0.794583183265567,0.797433449118342,0.796654243377426,0.799132385173565,0.873786754601421,0.873786754601421,0.795232287769876,0.798797144923928,0.700709459917455,0.786949628171685,0.79810573968713,0.801015888280087,0.79493557353979,0.798691120385091,0.885414493760369,0.885414493760369,0.885414493760369,0.885414493760369,0.885414493760369,0.885414493760369,0.800663746144887,0.799132385173565,0,0.878048796400891,0,0.79999499618743,0,0.803737948219166,0.787917751920382,0,0.790902586784538,0.790902586784538,0.787917751920382,0,0.792907821164261,0.80817715485792,0.789755958799604,0.790632322964773,0.801401454819029,0,0.799017619427876,0.79214087789229,0,0,0,0.798608224814276,0.788719497515211,0,0,0,0.798608224814276,0.790349814706503,0,0.696420797720595,0.80817715485792,0.806364149794902,0,0,0,0,0.696477473503513,0.696477473503513,0,0,0,0.802566067335168,0,0,0,0,0,0
