"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","GABRR2","UBE2J1","RRAGD","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Nitric oxide stimulates guanylate cyclase",0.589992502314885,0.521076135683711,0.60133405644756,0,0.521351156324823,0,0.595047197205183,0.519185140737851,0,0,0,0,0,0,0,0,0,0,0,0.599051495868974,0,0,0,0,0,0.531577304986788,0.59018933652961,0,0,0.594142282348347,0,0,0.519400404272923,0,0,0,0.587897956665811,0.520246556087822,0,0.590818885701377,0.595235958441539,0,0,0,0,0,0,0,0,0.604420859684681,0.66072934191088,0.532346784085335,0,0.521132541181922,0.523257055305563,0,0.590771721534383,0,0,0,0,0,0.591639625485474,0.591907960170643,0.590332434150601,0,0,0.590167578638396,0.527832607519206,0,0.522185390133052,0.525179596744758,0.597671559750175,0.525917804316896,0,0.520475779482074,0.594237663871641,0,0.517358130201645,0.518995226589834,0,0.530417145237702,0,0,0.528994467841202,0.518363006799396,0,0,0,0,0,0,0.517372747851747,0,0.59381483042432,0,0.596273386452916,0,0,0,0,0.589098929974502,0.587667899498178,0,0.523547520844719,0,0,0.590476329362521,0,0,0,0,0,0,0.594003827799978,0,0.588089127051622,0.517343993372509,0.591952372742841,0,0,0,0,0,0,0,0,0.660999003575401,0.52722464547817,0,0.522225666505746,0,0.517372747851747,0.588867549199243,0,0,0,0.594813623545366,0,0,0.596669470345341,0,0.521821166940208,0,0.520310587342551,0.589367916193976,0,0,0,0.803910248009716,0,0.516963569749658,0,0,0,0,0,0,0.588089127051622,0.664045299271117,0,0.590656375470137,0,0,0,0,0.588106998435151,0.665689969950385,0.595799849334101,0,0,0,0,0,0,0.517329062802993,0.522516508121454,0.522080630425262,0.530072026703742,0.601596574094977,0,0,0.524791897797492,0.517372747851747,0.522824625476787,0.59244760233061,0.522342470638461,0.525227796155609,0.531232186452827,0,0.517343568665519,0.522085448250586,0,0,0,0,0,0,0,0.517372747851747,0,0,0,0.528716532069238,0.521020616299487,0,0.60285968542664,0.598213968203423,0.594647037283021,0.668767588901371,0.597312436213056,0.668151614483876,0.524083135665223,0.524066676861673,0.59018933652961,0.59018933652961,0.59018933652961,0.59018933652961,0.59018933652961,0,0,0,0,0,0,0.596734727994601
"Signal amplification",0.866028356702286,0.772607120211804,0,0,0.81818486309982,0,0.820719556636016,0.823919099321699,0,0,0,0,0,0.777786763632594,0,0.779540053505733,0,0,0,0.824147519424347,0,0,0,0,0.774264706874084,0.779540053505733,0.867256973397627,0,0,0.772201136072624,0,0,0.822094783453219,0.727904236120044,0,0,0.86574419103137,0.822653417822394,0,0.824633803110229,0.822993874606255,0,0.828291855799932,0.7784254603175,0,0.7784254603175,0,0,0,0,0.864811821355965,0,0.828817785490026,0.772644359451094,0.774046976081311,0,0.866542801781135,0.826366215866342,0,0,0.825654278960975,0.775491588653997,0.824409716067352,0.868658348435463,0.821075424132313,0.780814012340784,0.823789418196198,0.769190694204347,0.775284553704345,0,0.823963084322547,0.822142411526475,0,0.824288270759015,0,0.867429169343274,0.822887735357229,0,0.76935689009891,0.821827282780867,0.819817897783102,0.778774109264804,0,0.778774109264804,0,0.817669457201318,0.826689705542967,0.778774109264804,0,0.824780294810476,0,0,0.769366540756866,0,0.819733216739343,0,0.822313395365504,0,0,0,0.828245345424508,0.824863673567688,0.865592305945914,0,0.7758337676346,0.822793898816297,0,0.82577304068678,0,0.774961071681235,0,0.826705821252757,0.772426218628371,0,0.81915636952632,0.771624653882742,0.865870402836394,0.821532710151541,0.769989400722485,0.776406049102401,0,0,0.772172742320356,0,0,0.822221389195238,0,0.821020659878881,0.827260393185432,0,0.824006548452456,0,0.769366540756866,0.768332407177287,0,0,0,0.772644359451094,0,0,0,0,0.773098994197844,0,0.822695691630667,0.822356979672375,0,0,0.7758337676346,0.821898983963515,0,0.77151664161758,0,0,0,0.774740498503052,0,0,0.865870402836394,0.867001035768241,0,0.866466649635973,0,0.772840049695495,0.826965492056644,0.828512075098883,0.865882201628157,0.820980620939891,0,0,0.773978833087418,0,0,0,0.776680580470177,0.769337699632585,0.820612074138044,0.820068873193974,0.778774109264804,0,0,0,0.773277059390291,0.769366540756866,0.824355474287247,0.869014623340634,0.823079444157257,0.775575919969753,0.778796654793494,0,0.76934727648773,0.822160241121293,0,0,0,0,0.773443161943507,0,0,0.769366540756866,0,0,0.726953733162987,0.776855773337617,0.823194093836102,0,0.826808397274678,0.775442227505574,0.772534378227938,0,0.872226415077309,0,0.774592359158533,0.772798264293642,0.867256973397627,0.867256973397627,0.867256973397627,0.867256973397627,0.867256973397627,0,0,0,0.769546941162939,0.775316249165866,0.774874150339731,0.82261797574526
"GPCR ligand binding",0.916839354683687,0.907417041271395,0.886453935626712,0,0.907279397338218,0,0.906707730667731,0.907523600810957,0,0.895761777047063,0,0,0.907631313428349,0,0,0.896769012499686,0,0.907650645840542,0,0.907133975359731,0,0,0,0,0.895401731547712,0.908971209332281,0.891369783521521,0.906415199752354,0,0.907326031080529,0.885285275996263,0,0.916994222340407,0,0,0,0.916768179664348,0.917119452406452,0,0.916961659031733,0.907094856494157,0,0.908503849454407,0,0.886729167907257,0,0,0,0,0,0.916564914922059,0.908863756835853,0.886733022849909,0.907425389258295,0.907346778210004,0,0.91775761549172,0.908024351556192,0.906261046116889,0.906915218061979,0.895726179553706,0.906935397527108,0.917083128129309,0.917428924636088,0.906369137231968,0.897054598131103,0.907579278025134,0.906259990630487,0.907377763816848,0.895193454500347,0.907581210402166,0.907001363833011,0,0.907482404936535,0,0.917153377359748,0.907340147500599,0.885249570604884,0.90651672828077,0.916934256236074,0.905305697766095,0.908799506241366,0,0.908144692564739,0,0.917070112243925,0.907842980681356,0.896597309408772,0.907321796181744,0,0,0,0.906518891686031,0.895138729247438,0.906486621088337,0,0.907039693586131,0,0,0,0.908369469444287,0.906837951034758,0.916739250034733,0,0.90700271835424,0.907147408904411,0,0.906707296214998,0,0.907015786301099,0.896744003950907,0.907167636443309,0.894863697226976,0.8859028860147,0.907133836782326,0.907222267509816,0.91680394588296,0.906692982894003,0.905527545416804,0.896066457125239,0,0,0.89499301896331,0,0,0,0,0.906873852455181,0.895714923648723,0,0.907113167641984,0,0.906518891686031,0.906067586891986,0,0.89670812488218,0,0.907425389258295,0,0,0,0.895227576013573,0.907053890568607,0.906877149621721,0.917128929001689,0.906619427161105,0,0,0.895329605040459,0.907070747936728,0,0.906808383469724,0.907792404500165,0.895193454500347,0,0.89607502110777,0,0,0.91680394588296,0.91703284130719,0.896607051563376,0.916937607594824,0,0.906522399714422,0.907225847312019,0.908429262712624,0.916806590839219,0.906766253919826,0,0,0.895522343768392,0,0,0.886097304329994,0.896000913985858,0.906512426319598,0.906658305362571,0.90700271835424,0.908406468113522,0,0.894986008541745,0.907522693766924,0.907186885551234,0.906518891686031,0.906895730183707,0.917078754621947,0.90743275515132,0.907689524297059,0.908578171204436,0,0.906514573180351,0.907159520463619,0,0,0.895140378032056,0,0.895217564350718,0.907238584851921,0.906531634759646,0.906518891686031,0,0,0.906228598722061,0.90771465576766,0.907408824428944,0,0.90791770992253,0.896182925419693,0.907400734570722,0,0.918228784519165,0,0.907388660863769,0.907288254957909,0.917114775886519,0.917114775886519,0.917114775886519,0.917114775886519,0.917114775886519,0,0,0.896624776443819,0.906559332367832,0.895637457664677,0.895723048638742,0.907236296828511
"Glucagon signaling in metabolic regulation",0.888917091943993,0.844333935020273,0,0,0.843682651115366,0,0.892917584026239,0.84425163183484,0,0,0.789057574772609,0,0,0,0,0,0,0,0,0.843287462610287,0,0,0,0,0.84469319735726,0,0.890220290656315,0.842214049117853,0,0.843903305997073,0,0,0.839469345730839,0,0,0,0.888615676264206,0.840061891472183,0,0.839315267317498,0.840204775112428,0,0,0,0,0,0,0,0,0.848589371651278,0.887626707967582,0,0.791198014396149,0.84437343483244,0.844462249422195,0,0.889462765925845,0.846961305401427,0.841484646961546,0,0.787842470188819,0.788957845363028,0.842737244307802,0.891706734843271,0.83937561234659,0,0.842234885316017,0.83860804107272,0,0,0.842546421451972,0.845808572531469,0.843862951565869,0.845069737655558,0,0.890402939594332,0.842571153498196,0,0.778792708786478,0.839185606682628,0.839801960087901,0,0,0,0,0.840815935920031,0.788706810310648,0,0.846964527744649,0,0,0,0.778802945278516,0,0.891871369297,0,0.84399673543852,0,0,0,0,0.840546597026345,0.88845457113798,0,0.843821781317007,0,0.789777868166298,0.841511166418183,0,0.842896109179402,0,0.84436029222832,0,0.842672538343489,0.89113964863978,0.789483244745633,0.888749549637742,0.840321432602991,0.840158362780559,0.845799168689031,0,0,0.78555290456785,0.845623385882362,0,0,0,0.889909491931162,0,0,0.842896109179402,0,0.778802945278516,0.837697652541693,0,0,0,0.84437343483244,0,0,0.843161205379399,0,0.843456721193152,0,0.840106731472091,0.887893198498075,0,0,0.843821781317007,0.840409480004044,0,0.840641534798699,0.786872329660255,0,0,0,0,0,0.888749549637742,0.889948816574678,0,0.889381991036579,0,0.843182057709168,0.844635726103292,0,0.888762064664024,0.893194495992301,0.84425163183484,0,0,0,0,0,0.790321918289496,0.778772353381005,0.843019978400515,0.843361006196067,0.796970506942729,0.846276193009518,0,0,0,0.778802945278516,0.791622158313157,0.841317603811006,0.843821781317007,0.846084006406441,0.797782947105942,0,0.778782511590104,0.84419964866072,0,0.84831097970873,0,0,0,0,0,0.778802945278516,0,0,0.841791892133726,0.788873637986348,0.842896109179402,0,0.899376041989514,0.845942198267396,0.844256777302927,0.843937002813186,0.895491397603238,0.843505646392935,0.845040739464414,0,0.890220290656315,0.890220290656315,0.890220290656315,0.890220290656315,0.890220290656315,0,0,0,0.841087990690298,0,0,0.844319805082781
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0.731723016258471,0,0,0,0.734800262538302,0,0,0.734958908377129,0,0,0,0,0.741083648387747,0,0,0.675500967669432,0,0,0,0.738973009222464,0,0,0,0,0,0.744485849073367,0.733633703465776,0.732647068997868,0,0.664087826607554,0,0,0.802195189515624,0,0,0,0.731281095100935,0.803063951552467,0,0.801969287164348,0.736246676571736,0,0.744485849073368,0,0,0,0,0,0,0,0.729831117399972,0,0,0,0,0,0.732523057178267,0,0.731577654674588,0.736115859990692,0,0.736684019321874,0.733414152595258,0.735813056365328,0.731212124053265,0.677482168851211,0.73841610694518,0.73190277083766,0.739657130000595,0,0.736894038741264,0,0,0,0,0.733901494544756,0.735221706337502,0,0.730700537823586,0.801779184984231,0,0.743294688422367,0,0.745345756512937,0,0.733323857129836,0,0.674309807018433,0.738936425743139,0,0,0,0.73071554607536,0.666345851789979,0.733582493315191,0,0.737311825941357,0,0,0,0,0,0.731044890521539,0,0.737055316631856,0,0,0,0,0,0,0.739968254253084,0,0,0.734981621877092,0.738578401124332,0.731477373795653,0.731923273877561,0.660648239260679,0.670627110636729,0,0,0,0,0,0,0,0,0,0,0.735698140711747,0,0.73071554607536,0.730568003005659,0,0,0,0.664777106870823,0,0,0,0,0,0.735851766736237,0.803129693801435,0.730221832985144,0,0,0,0.73454395386545,0,0.733786786508975,0.738359161459337,0,0,0,0,0,0.731477373795653,0.733235681237859,0,0.73240462892467,0,0.73339075029052,0.740372082139339,0,0.73149572272463,0,0,0,0.666852417840532,0,0,0,0,0.730670693708128,0,0.737055316631856,0,0,0,0.741361946685016,0.738332944874279,0.73071554607536,0.73631310460653,0.73338381214041,0.737055316631856,0,0,0,0.730685587185224,0.738842494378787,0,0,0,0,0,0.738359161459337,0.733454816827833,0.73071554607536,0,0,0.731352556455675,0.742362450222791,0.735698140711747,0,0,0,0.664606069217725,0,0.741361946685016,0,0,0.737588345139019,0.733633703465776,0.733633703465776,0.733633703465776,0.733633703465776,0.733633703465776,0,0,0,0.728269461959277,0,0.668244773346493,0.735058860710944
"Glucuronidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858794810034896,0,0,0,0,0.856564516245602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858559488021948,0,0,0,0,0,0,0,0.855376369731697,0,0,0,0,0,0,0,0.801771165739784,0,0,0,0,0,0.856632575363522,0,0,0,0,0,0,0,0,0,0,0,0.860281331159787,0,0,0,0,0.858133788508259,0,0,0.802061517623324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865873256432874,0,0.856807783995758,0,0,0,0,0,0,0,0,0.861308196402109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857043549166388,0,0,0,0,0.857534915419174,0,0,0,0,0,0,0.856161553975622,0,0.854068795686728,0,0,0,0,0,0,0,0.799228696771031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801883249928329,0.807644902832765,0,0,0,0,0,0,0,0,0.860211960549743,0,0,0,0,0,0,0,0,0,0,0,0,0.854782560497281,0,0,0,0,0,0,0.804043826877913,0.856924682181659,0.906254070550314,0,0.905814544381427,0.859148934475181,0,0,0,0,0,0,0,0,0,0,0,0,0.858414345833625
"Presynaptic function of Kainate receptors",0.892111087108813,0,0,0,0.833339292596095,0,0.835993981599416,0.841330111673656,0,0,0,0,0,0,0,0,0,0,0,0.841672379640413,0,0,0,0,0,0,0.893640623379889,0,0,0,0,0,0.837417060845594,0,0,0,0.891757322014859,0.838112519024832,0,0.837236222329129,0.840178275819126,0,0.846773867780342,0,0,0,0,0,0,0,0.890596591217378,0,0,0,0,0,0.892751532913074,0.843157459448705,0,0,0,0,0.83791079417998,0.89538523091931,0.76576622116113,0,0.84122657028486,0,0,0,0.840696499793741,0.83789913765945,0,0.900960186094061,0,0.893854994506049,0.834099448641004,0,0,0.837084042433545,0.8352548378938,0,0,0,0,0.832580189398015,0.844779310048029,0,0,0.775232277661806,0.776416839891063,0,0,0,0.834766061896476,0,0.840077401733249,0,0,0,0.845074052369687,0.837522393926556,0.891568236396765,0,0.840825605375461,0.839240950926298,0,0.838654488254795,0,0,0,0.843157459448705,0,0,0.833907257114879,0,0.891914446311114,0.836717321451543,0,0,0,0,0.775648534260206,0,0,0,0,0.836768226932317,0.778319815406259,0.782887736447124,0.839739163917067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838165146767329,0.835355290268157,0,0,0,0.837861674994925,0,0.770876603786374,0,0,0,0,0,0,0.891914446311114,0.893322000095049,0,0.892656729164609,0,0,0.84348073025773,0.845406110946683,0.891929134928016,0.83631898721213,0,0,0,0,0,0,0.776392054522507,0,0.835993981599416,0.835567283586206,0.777080424452217,0,0,0,0,0,0.840231452544361,0.893440581298426,0.839872061847552,0,0.778033967980125,0,0,0.842256270309176,0,0,0,0,0,0,0,0,0,0,0,0.779546007578852,0.839739163917067,0,0.843574134661759,0.772932479840196,0,0,0.899827208117743,0,0,0,0.893640623379889,0.893640623379889,0.893640623379889,0.893640623379889,0.893640623379889,0,0,0.780685904491112,0.761500707203204,0,0,0.840456581619101
"RA biosynthesis pathway",0,0,0.793463970045447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792129863481978,0,0.847677295679148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792522679068361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792565342074005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851468959704793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport of small molecules",0.904837052617753,0.899376326353663,0.892986349760172,0,0.899298981411708,0,0.905312141631263,0.89939429252283,0,0.892557520091204,0.89346045180633,0,0.89894195996589,0.89985679466102,0,0.899576992673363,0,0.887581950994566,0,0.899633569542496,0,0,0,0,0.8997512626965,0.900149759220045,0.904991817426161,0.899143612259752,0,0.89932518586554,0.893135605527852,0.899933026814999,0.898668740949584,0.899899591101624,0,0,0.904801257201834,0.897828991157105,0,0.89918810327357,0.899485792418517,0.89295281558492,0.900249645182068,0.899689791309104,0.892629192067836,0.899689791309104,0,0.893904087470309,0.893707004648314,0.900047827578173,0.904683809657188,0.900157086895905,0.899928903055282,0.899381017258285,0.899690236803181,0.893066785808327,0.904901855574091,0.8997512626965,0.899120412486659,0.898442302573367,0.899530406531736,0.893504049358025,0.898384749449504,0.905168344035362,0.898953623233113,0.899737469082134,0.899588460707352,0.898768220327404,0.893516284718082,0.893576695787674,0.899634711943902,0.899617700464953,0.899392281115663,0.899579191131414,0.893156010895672,0.905013508383672,0.899537763101414,0.893115541937979,0.898304150074684,0.89863504476878,0.898832942889475,0.900053275740578,0,0.899574437522579,0.893565039812525,0.89934552883169,0.899951344098707,0.899480509193896,0.899682870588084,0.899544686305131,0.899158125774396,0.893036317702106,0.898305365736358,0.893607512835283,0.905187895635166,0,0.899273772282372,0,0,0.893514243173023,0.900077650825784,0.899092686614543,0.904782124736648,0.892555284561556,0.89934324448817,0.899390950007653,0.892900484784341,0.899207236602746,0.905488916863179,0.899441361259429,0.894509549531689,0.89901834230655,0.893414824591207,0.899345158396108,0.905100998214035,0.89950512298374,0.904817155688235,0.898342555143587,0.899212716427397,0.899682870588084,0.894198267230045,0.89393492596593,0.899517152752392,0.899039087271547,0.893964228608126,0.899723835863904,0,0.904954907701882,0.893817645704778,0,0.899537844738895,0.893649350814939,0.898305365736358,0.898660104730567,0.893454640839172,0.905686482686389,0.893707004648314,0.899381017258285,0,0.900111249886506,0.899403191341867,0.892355203159349,0.899299890808036,0.899466613650199,0.898744435378372,0.910437437425688,0.89376455381342,0,0.899551291901372,0.899076402920056,0,0.899076063144265,0.893825131854409,0.893576695787674,0,0.893355128115193,0.887494082628772,0,0.904817155688235,0.904959577803888,0,0.904892262938568,0,0.899267272419854,0.899051052184549,0.900111249886506,0.904818641943268,0.9054122933723,0.899360693462109,0.892788710030827,0.899715252114852,0,0,0.892992682469954,0.893560024312021,0.898301732714692,0.899376038380976,0.899308603729365,0.894213185935347,0.899901922486944,0.892651768041022,0.899266310750449,0.899106626460195,0.898305365736358,0.898953512746291,0.905137711937785,0.89938175382171,0.899497261610041,0.894309669414814,0,0.898302939079669,0.899397755740548,0,0.899981167346317,0.899458677186655,0,0.892552763387584,0.898721277744399,0.898324028024844,0.898305365736358,0.893264784267484,0,0.899068580570978,0.898824686177265,0.899607496856534,0.893631859784062,0.906079132881207,0.899531637900623,0.899367163284955,0.899323328860844,0.905617801667106,0.89927210198876,0.899350997591992,0.893326963214843,0.904991817426161,0.904991817426161,0.904991817426161,0.904991817426161,0.904991817426161,0,0,0.892635384196186,0.898772417062461,0.892788710030827,0.899828032287499,0.905243404635809
"ADP signalling through P2Y purinoceptor 12",0.903678947784185,0,0,0,0.843709163992018,0,0.846123099385981,0.850889885572796,0,0,0,0,0,0,0,0,0,0,0,0.851660285152781,0,0,0,0,0,0,0.905239661732759,0,0,0,0,0,0.847870052430163,0,0,0,0.903317971632725,0.848579686651666,0,0.847685527747471,0.85068755130593,0,0.857417586132583,0,0,0,0,0,0,0,0.902133580794517,0,0,0,0,0,0.904332448272482,0.853432595741905,0,0,0.785094829725602,0,0.847400869582853,0.907019830907593,0.779337882881161,0,0.851205388532954,0,0.788406935265932,0,0.851216338625958,0.848067089661552,0,0.850656443211892,0,0.905458402545315,0.844484814863995,0,0,0.847530245855684,0.844977720559586,0,0,0,0,0.84293458742783,0.855382371843832,0,0,0,0,0,0,0,0.844870150080791,0,0.848874927148607,0,0,0,0.85568312211785,0.8479775325938,0.903125031741586,0,0,0.849731120221394,0,0.849132703244274,0,0,0,0.853727461855273,0,0,0.844288705754788,0,0.903478298710586,0.847156049726654,0,0,0,0,0.784478759088533,0,0,0,0,0.846505591364871,0.787774977348875,0,0.850239488658782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848633387144653,0.845766255246785,0,0,0,0.847621327994086,0,0.780302129283903,0,0,0,0,0,0,0.903478298710586,0.904914543712092,0,0.904235712068572,0,0,0.854057322134073,0.856021949292245,0.903493286736511,0.846454729830267,0,0,0,0,0,0,0.790180310521437,0,0.846123099385981,0.84555116846305,0.790882712008341,0,0,0,0.785856811708678,0,0.850741811971979,0.905035542044494,0.849120868653997,0,0.79185569232448,0,0,0.848146870726942,0,0,0,0,0,0,0,0,0,0,0,0.789148247993608,0.850239488658782,0,0.853857764356297,0.786098391344679,0,0,0.911552352237057,0,0,0.78524859745546,0.905239661732759,0.905239661732759,0.905239661732759,0.905239661732759,0.905239661732759,0,0,0,0.774995252777124,0,0,0.849261836140607
"Interaction between L1 and Ankyrins",0.847833094934698,0,0.853309613573256,0,0.850096305238542,0,0,0,0,0,0,0,0,0,0,0.860733563925927,0,0,0.793643800689308,0.794901930534236,0,0,0,0,0,0,0.79640621141594,0,0,0.791474840624158,0,0,0.84704404651524,0,0,0,0.794675947729502,0.847682991537698,0,0,0.851160093719025,0,0,0,0,0,0,0,0,0,0.793609538292379,0,0.854733563889059,0,0,0,0.795589368728278,0.799588870096443,0,0,0.851115263867112,0,0.796244739194613,0.850431084465393,0.788151860835242,0.862190670221897,0.794492347791235,0.845311798634569,0,0,0.792496859961294,0,0,0.803968602824992,0,0.851440638997368,0.85241161000875,0,0,0.846738089287161,0,0,0.807673487170721,0,0,0.789275002974744,0,0.859857505653781,0,0,0,0,0,0,0,0,0.851533378672324,0,0,0,0,0.848309933354973,0.794502227269945,0,0.851754821066056,0.84871972669755,0,0.849350033331613,0,0.791617317507871,0,0,0,0.850498065054269,0.849819592589335,0,0.794820304054578,0.84998572476882,0.849809885767565,0.85714900732798,0,0,0,0,0,0,0,0,0,0,0.791617317507871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847858314408173,0,0,0.852884109938988,0,0,0.849698459793474,0,0,0,0,0,0,0.794820304054578,0.796113479562372,0,0.795502268763103,0,0,0,0,0.794833799069715,0.85203534471815,0,0,0.854372848758485,0,0,0.851490020251247,0.797914235537842,0,0,0.850175611613185,0,0,0,0,0,0,0.849629739833482,0.849054553996075,0.852884109938988,0,0,0,0,0.853547475332528,0,0,0,0,0,0,0,0,0,0,0,0,0.85188595306521,0.795392139798101,0.858700936537359,0,0,0,0.854512105158709,0,0.794209831832417,0.850567636007709,0.79640621141594,0.79640621141594,0.79640621141594,0.79640621141594,0.79640621141594,0,0,0,0,0,0.855396879024882,0.850956219352997
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737945827991245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746557180362094,0,0,0,0,0,0,0.740075815976321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742641111467685,0,0,0.815543902242665,0,0.813695113810621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74722709303386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737358525121714,0,0,0,0.735563958371031,0,0,0,0,0,0,0.740986758463467,0,0,0,0,0,0,0,0.732345979968232,0.743285366442753,0,0,0.738676016670247,0,0,0,0,0.739425005016265,0,0,0.729598673480486,0,0,0,0,0,0.735403462806337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739009709467704,0,0,0.735849015580157,0,0,0.732948314410961,0.736837720734367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816890583536809,0,0,0,0,0,0,0.737788922805656,0.738494828023726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Digestion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263831617027311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384247120431433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381136973896821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269044331556236,0,0.268360506104663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
