"","OBSCN","ZW10","ABLIM3","BCL2L11","FBN1","EPHA3","USP34","RELT","ZNF334","DENND1B","HECW1","PCDH15","HPSE2","KIF3C","ALDH3B2","SHOC2","KRAS","CAMK2D","TLL2","PRKD3","PTGES3","DCLK1","NOX3","OR2M3","SRCAP","CTNNA2","APC","ARHGAP29","ABCG5","UBFD1","UNC79","PTPRZ1","KIF4B","DMBT1","CTNND1","BRAF","ADAMTS17","DSPP","TP53","KCNU1","NRXN3","PWP1","MUC20","WNT3A","NEB","HEXDC","FGFR3","MYOM1","GRIA1","TRPC1","ENPEP","ST14","SOX7","RYR2","TUBA3C","KCNG4","CATSPER3","SOAT2","TTN","SF3B1"
"Neurotransmitter receptors and postsynaptic signal transmission",0.894862922272327,0.897023256908402,0.895350405893965,0.895475617560189,0.895537076676012,0.895225764036025,0.905715166627184,0.895693111349582,0,0,0.882916158207229,0,0.884018264199948,0.894645598072043,0.883962550999925,0.895130232330102,0.90323471126722,0.905789705592554,0.89565430364732,0.906961321641931,0.894977256716484,0.895550821493866,0.896544211593529,0.90635948721956,0,0.895100987665893,0.8940528953988,0.894162960631092,0.89486005493735,0.88250942616221,0.885518629981375,0.895882312467179,0.895012086279949,0,0.89469710336177,0.905348125560801,0.883744735955586,0.895918380481528,0.894284729955552,0.906181812414817,0.905673841571709,0,0.883351235463142,0.894985106860443,0.895161211808052,0,0.894692923867761,0.8834176235044,0.877524007665206,0.896024250742587,0.895662369903263,0,0.896359099919333,0.905413047988553,0.8845398231277,0,0.893992048036248,0,0.895115405685252,0.893903569640552
"Cardiac conduction",0.932287419017983,0.93011518882412,0.932736511840992,0.932262954070855,0.915821269736882,0.931944837865665,0.930851825638638,0,0,0,0.917076290780669,0,0.91928906008946,0.930002578769046,0.917177231719769,0.931598237943509,0.944492466522729,0.945189566624278,0.919135965026656,0.931905172659777,0.931508778670094,0.916006902982255,0.932562449441836,0.931930720383718,0,0.932238373635019,0.931674984903932,0.932457270389577,0.944748398666929,0.916462940640255,0.919135232712122,0.931616444131954,0.930137798980733,0,0.931821521230579,0.944995143833705,0,0.916850792863658,0.943871442395316,0.931358863915905,0.931400731125895,0,0.917482764895542,0.932025804434307,0.93136423722468,0,0.931420122009578,0.916050685257576,0.94447990810043,0.946097939061993,0,0,0.919938601112066,0.945574201263367,0.917502559876694,0.932920791762593,0.930048755518157,0,0.931305916374461,0.930599878315163
"Biological oxidations",0.887474343732726,0.886079343533495,0.875883863982315,0.898795481542158,0.887176984021014,0.897912786007117,0.897462744364158,0,0,0,0,0,0.874980455937079,0,0.920783048656388,0.887072703154257,0.885818075772437,0.898326153734229,0,0.887637097284778,0.909660040286444,0,0.875740668465201,0.875099835497936,0,0.898960333859007,0.89831177828796,0.887614074973397,0,0,0,0,0,0,0.898432328993754,0.874867440322447,0,0,0.897562885662491,0,0,0,0,0.898600386191273,0,0,0.897481119209951,0.874721263530075,0,0,0.900234877695953,0,0.900658522246143,0.886228562022364,0.887064690148616,0,0.885852444249497,0.910375957840593,0,0.898741773750368
"Signaling Pathways",0.88894416071711,0.888903840269996,0.88735567852775,0.888951689590845,0.887330889483697,0.888918134209045,0.887314581262376,0.887395720765361,0.887537887723505,0,0.887331901567464,0,0.888876853949641,0.88883397799931,0.889113190748166,0.887351055511111,0.895368469843467,0.888831106758184,0.887349933154077,0.888984282431121,0.888931295958458,0.88744641525897,0.888783320661332,0.889014270659383,0.887070769847684,0.888812189486565,0.890094661718569,0.888966059795768,0.887494752396938,0.887127749099212,0.885962737657239,0.884675583591219,0.888849383478735,0.887517580805649,0.8902709823815,0.890607516757163,0.887203371626578,0.887448181840729,0.888800972949058,0.890525870979936,0.888914814051228,0.887435266565184,0.889007426335821,0.890928067721903,0.887367672514916,0.885778095947256,0.888946535478583,0.887186332278629,0.89043606244339,0.887635972918154,0.887295412790143,0.889281964832893,0.8872420621827,0.888719286841114,0.887353919388641,0,0.887220306741455,0.887422638488012,0.887240143902082,0.887180002563849
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.594872216688514,0.594543911260685,0.596066543644771,0.594508717055581,0.595706132031605,0.594841439392172,0.596831220252777,0.597614397985899,0,0,0.57247813165045,0,0.573148205018011,0.592496042066118,0,0.593788412982048,0.596020333721888,0.593851431217615,0.59568578055784,0.595991246176276,0.594963544004283,0,0.596396640142507,0.574380768787718,0,0.595044360911466,0.5954663501416,0.595135059277933,0,0.573657798293977,0,0.573519247376216,0.592705293426573,0,0.596518016259062,0.594405912555087,0.595616169871734,0.597160353907239,0.608567132861518,0.57403070044446,0.572418125320825,0,0.593922111263906,0.59461859933869,0.595163019072933,0,0.595651511135556,0.571725887613915,0.594208048155369,0,0.577297532597887,0.596823902412382,0.598238752021524,0.572516022606779,0.573863459274266,0,0.57137744770923,0,0.595072768384082,0.592747856613738
"Protein-protein interactions at synapses",0.819259132478098,0.839218351017336,0.841306253287561,0.819168347526122,0,0.8599382500856,0.840069074348457,0.819531615523091,0,0,0.839798496173647,0,0.819958395343781,0.839385513361044,0.81767906103684,0.83996241183357,0.878161908018342,0.878613293623332,0.841275229054637,0.840995693164141,0.819377421679162,0.821855031829957,0.819373200970565,0.841144029775456,0,0.85970449320886,0.839505354344184,0.819509052352073,0,0,0,0.821666018823479,0.839584476830966,0,0.859186818355329,0.839488302829526,0,0,0.83816590334039,0.840336361696453,0.863754538209876,0,0.84018835459857,0.839451568147219,0.839733375108799,0,0.858927216754997,0,0.807296892201601,0.821043466087577,0.819937536009578,0,0.821363709673821,0.839183227221323,0,0,0.838223438303206,0,0.839647561615507,0.838066720437105
"IL-6-type cytokine receptor ligand interactions",0.815124199531963,0,0.815872603922141,0.868473805881252,0,0.866660323557359,0.81409753824805,0.871749960609088,0,0,0,0,0,0,0,0.814127113270104,0.862957349553152,0.863555678330162,0,0.815919032643578,0.865042348856302,0,0.816042589127156,0.81638264440534,0,0.867098196029524,0.865216911983093,0.815691372174961,0,0,0,0,0,0,0.864955010915704,0.86517821497,0,0,0.905943677776289,0.815627252412307,0,0,0.864695683731455,0,0,0,0.864908177100579,0,0.812071173981325,0,0,0,0,0.812358817740491,0.816200423602402,0,0.810832146179497,0,0,0
"Synaptic adhesion-like molecules",0.714432916587696,0.761812781541747,0.767012729796172,0.714343263578364,0,0.764111601339653,0,0,0,0,0,0,0,0.762229101572509,0,0.763665874858296,0.809497862760018,0.810622044587019,0.766935463533215,0.766239275695996,0,0,0.716276443104109,0.765426187093878,0,0.762814465433636,0.762527567128094,0.715055345343561,0,0,0,0.71658738890802,0.762724622729256,0,0.76224015066408,0.762485100105021,0,0,0.759191646664578,0.764597201944086,0.763409662940263,0,0,0.712890330155233,0.763095455862083,0,0.761126047852281,0,0.682311965620084,0,0,0,0.721233831390194,0.761725305262626,0,0,0.759663982446707,0,0.762881736220599,0.71172932837707
"Molecules associated with elastic fibres",0.629199588077034,0.680696310732431,0.684179475995446,0.684222520087972,0.793969776265082,0.68122673458794,0.684297547659035,0.635081101624255,0,0,0.683611680396651,0,0.69257180188495,0,0,0.684503057078613,0.684363249832444,0.678840620814698,0.74618047405035,0.630087375074392,0.684169396873615,0,0.630225381201661,0.631069114533255,0,0.681715815228402,0.744948257241357,0.629833090242901,0,0,0,0.63103963275706,0,0,0.679321989594848,0.686238107611015,0.681649181424871,0.683599382397006,0.681712090598943,0.630225381201661,0,0,0.6272018434552,0.682732279920625,0.681216947279919,0,0.679269678673855,0.626790919411107,0.67830954747546,0,0,0,0,0.682527963495147,0,0,0.624869498435541,0,0.680999425427831,0.738472407613985
"Interaction between L1 and Ankyrins",0.863364748029415,0.900086103060819,0.902448489301944,0.900718252877063,0.864500783742624,0.90167296888915,0,0,0,0,0,0,0,0.928160589172216,0,0.900871750893176,0.927634803736642,0.933778936097604,0,0,0,0,0.864060471424911,0.902807559866523,0,0.862829855762072,0.900579516603973,0.863794408033279,0,0,0,0.902324322481002,0.933870759664504,0,0.900950198324599,0.899816620037466,0,0.867105089533473,0.92069573229202,0.902235314835574,0.864065731602064,0,0.899957523790253,0,0.862607280731144,0,0.899118518782776,0,0.900795843586775,0.903675605901167,0,0,0,0.900025718546013,0.90371077784551,0.868423714805803,0.898602795905133,0,0.862459750943806,0.89638252679608
"Unblocking of NMDA receptors, glutamate binding and activation",0.844708702245915,0.841636188300696,0.847035471096643,0.844615612482862,0.787184413916305,0.844023130935223,0,0,0,0,0.783903336396134,0,0,0.842068467521511,0,0.843560317998491,0.891149226901801,0.891882164276286,0.846955242912845,0.845614408522845,0.843219923125702,0,0.845755200194828,0.844825422370776,0,0.845378092105477,0.85852766773897,0.845354991152806,0,0.782861466549825,0.798105361850805,0.789799136597268,0.842582983960087,0,0.842079940168376,0.893061927204301,0.784603047347669,0.791101776313643,0.838914574977696,0.844869004285641,0.894639891107427,0,0.783437536470941,0.843713251919413,0.834834426895423,0,0.842026573392745,0.786146073394864,0.758792086222604,0.788724036080907,0,0,0.794883705909866,0.893376450421044,0,0,0.839805728094484,0,0.834612514536499,0.838658089532476
"Interleukin-10 signaling",0.855609104740693,0.852385062317921,0.894998407094671,0.893720627609393,0.894998407094671,0.892862269059369,0.853411140446422,0.896125635796853,0,0,0.853847229779107,0,0.854927086792721,0.890262118858452,0.816663648410086,0.891927054185791,0.890308303947223,0.891136053423071,0,0.857079263074008,0.892029941864804,0,0.894528742405746,0.894093901380818,0,0.855038555155219,0.891088903626514,0.856067407004655,0,0.854711680274812,0,0,0.890626977431965,0,0.891484295960556,0.890275150378703,0.854512174024201,0.897776322723917,0.923998052537889,0.855753478932125,0.892176614719138,0,0.891734366546915,0.853857968550261,0.854767276587206,0,0.926811881897068,0,0.852726686226161,0,0.896008036014666,0.897776322723917,0.857857634213476,0.853710157405475,0.855089821602796,0,0.851878806785,0,0.85460991207822,0.851378512841741
"Potassium Channels",0.874013306979095,0.872486429048672,0.874587189013323,0.87369456431545,0,0.873575532963328,0.873720269951571,0.874443098469911,0,0,0,0,0,0.872631604515448,0,0.873503201085843,0.872365997711167,0.872721246358864,0,0.872732168530924,0.872091055101669,0,0.874077280324112,0.891402590694629,0,0.873743099749773,0.872735682804138,0.87423035487132,0,0,0,0.855656619329879,0.854699760429478,0,0.872922937110856,0.872720874076617,0,0,0.869987101544187,0.891076748098576,0.871952984437251,0,0.851598706503902,0.871598676034425,0,0,0.872905014559437,0,0.853155016736089,0.873001880655555,0.874708506183774,0,0,0.872789736519028,0,0.892560093639937,0.870907675044181,0,0,0.854911082486693
"Interleukin-6 family signaling",0.831593911357898,0.827941579851303,0.832966652028858,0.875671268154179,0.831701531923631,0.873216084098929,0.829753774106069,0.878843954011222,0,0,0.829148503354106,0,0.831256775587227,0.828288843323208,0,0.826819814290672,0.87180564370271,0.872743353290168,0,0.832025568784406,0.872196647642816,0,0.832582952927394,0.828642131218455,0,0.874213276192151,0.873377598774932,0.832113095530659,0,0,0,0,0.828702170534438,0,0.872641431344828,0.872455744706083,0,0.834848472144919,0.910658473423258,0.827950652932513,0.829192545036776,0,0.871982780500507,0.825368580935131,0,0,0.873094985946969,0,0.824699117370426,0.831701531923631,0,0,0.833015773216156,0.825201134223725,0.828419403168823,0,0.823115975557546,0,0.830464379145487,0.827515003474576
"Drug ADME",0.766692516395211,0.764801546004775,0.767767447046826,0.764372132320577,0.752736213016784,0.766430469781836,0.770893221905902,0.768985989308902,0,0,0.742770274567954,0,0.752928208619444,0.766031070997539,0.79076668079576,0.766860906284631,0.767481464664481,0.786959455230276,0,0.766905203099951,0.771172709679137,0,0.767092520361451,0.767843301343107,0.768170494458759,0.766384981777525,0.76753957308209,0.766939548055771,0.751470995184855,0,0,0,0.766227735134664,0,0.785826365579225,0.768212558029761,0,0.754233550395957,0.786262570818905,0,0,0,0.766335274302753,0.751466357830741,0.752940826565803,0,0.766180084142439,0.742431993189356,0.765362773184181,0.768094640162479,0,0,0.746065946352673,0.770173582432975,0.752510442313214,0,0.769508641668468,0.751454589327675,0.752856004781088,0.773055121936124
"Trafficking of AMPA receptors",0.872959758939195,0.869575230561678,0.874526906534814,0.873659431122054,0.873960177123315,0.872549337572236,0.817862802015928,0,0,0,0.817072992934955,0,0.822710658156208,0.869186628636076,0,0.871785085462471,0.914983580682192,0.919238628308818,0.873668284664456,0.920312647839815,0.872824683828292,0.820877953289568,0.874704545687429,0.874142176713581,0,0.873006926189444,0.870255888606851,0.873552469744111,0.870139455632169,0.815265891669558,0,0.826830089001973,0.869658491063544,0,0.870767239579769,0.916737715905264,0,0.877552785622267,0.86707924214822,0.871710668284518,0.870650630834333,0,0,0.871480103190909,0.870523282262699,0,0.8707182969719,0,0.79352120973591,0.875311951231112,0.827538961067156,0,0.830366998841094,0.917026164781569,0.825298866612095,0,0.867896517635271,0,0.8703197666964,0.866476528199548
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.872959758939195,0.869575230561678,0.874526906534814,0.873659431122054,0.873960177123315,0.872549337572236,0.817862802015928,0,0,0,0.817072992934955,0,0.822710658156208,0.869186628636076,0,0.871785085462471,0.914983580682192,0.919238628308818,0.873668284664456,0.920312647839815,0.872824683828292,0.820877953289568,0.874704545687429,0.874142176713581,0,0.873006926189444,0.870255888606851,0.873552469744111,0.870139455632169,0.815265891669558,0,0.826830089001973,0.869658491063544,0,0.870767239579769,0.916737715905264,0,0.877552785622267,0.86707924214822,0.871710668284518,0.870650630834333,0,0,0.871480103190909,0.870523282262699,0,0.8707182969719,0,0.79352120973591,0.875311951231112,0.827538961067156,0,0.830366998841094,0.917026164781569,0.825298866612095,0,0.867896517635271,0,0.8703197666964,0.866476528199548
"G alpha (q) signalling events",0.920976546186152,0.919878183331619,0.921814428545055,0.921496402208095,0.921563068277387,0.921086691635156,0.921664183364536,0.920395670999684,0,0,0.920770408389155,0,0.922202353198784,0.92088104959056,0.895169809017719,0.920461172472912,0.92020263285048,0.920971981462088,0.90722129485232,0.920712096149463,0.921632599136962,0,0.921920999527812,0.934383998026306,0,0.92078217204674,0.920955918526696,0.921132680044482,0.906174432906359,0.894712604586844,0,0,0.921005349165986,0,0.920617245434451,0.920581884236222,0.906325272355998,0.922509445198063,0.920119115714903,0.920868040410416,0.921059902841663,0.921850554957759,0.918587973716365,0.920625685052815,0.921751091395684,0.895425623169148,0.920721638834594,0,0.921034529442727,0.921814428545055,0.920526953577892,0,0.90858191480011,0.920447762929169,0.906805997592156,0,0.920807780023357,0,0.921697480646002,0.920057152617997
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.897778489110363,0,0,0,0,0,0.839143942578101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783445996160963,0,0
"Extracellular matrix organization",0.825919523020648,0.816417640660722,0.816764909311705,0.816747491990423,0.826150926866072,0.81652401687081,0.816717698910613,0.817850408369292,0,0,0.816938172554006,0,0.816764909311706,0.816343481651033,0,0.816839359237501,0.816529488407306,0.817678426042382,0.825044585401992,0.816958791101184,0.807293448908944,0,0.817246681310402,0.806694300891041,0,0.816814563346867,0.817115400947814,0.826032633232997,0.806961304233216,0.806258986912944,0,0.807174760412111,0.816433529713137,0,0.824047970966396,0.816454965329915,0.816489294585903,0.816139690463061,0.814585728771873,0.807029377852588,0.825694080370376,0,0.816285312773192,0.816885845367796,0.815986217769381,0,0.816041593545334,0.806551843237993,0.826560172325162,0.806856702717756,0.827067315852553,0.817940040690299,0.817729505196991,0.816486711264576,0.807662852181385,0,0.806073098506381,0,0.815947379791856,0.815714332494014
"Negative regulation of NMDA receptor-mediated neuronal transmission",0.820550553417637,0.812535928120488,0.823386763720314,0.820437081834517,0.750479656095133,0.819714877620279,0,0,0,0,0.746480193121543,0,0,0.751638868139072,0,0.819150732703622,0.877159139375581,0.878195350564806,0,0.820157872491393,0.818735809044627,0,0.821826180028981,0.821795179149732,0,0.821366504867049,0.822631292239394,0.821338346006339,0,0.745210207926741,0.763511878790233,0.753845235053571,0.752266036937352,0,0.81734622906661,0.879490621637853,0.747333104406227,0.755254717265119,0.813487813408892,0.820745953272877,0.881414077626142,0,0.745912407221192,0.819337151204976,0.808562545459811,0,0.817281177740684,0.748934127708168,0.878897581872075,0.752252522010812,0,0,0.829897313110752,0.879874009092726,0,0,0.814574082743427,0,0.808292045827467,0.812686725293183
"TNFs bind their physiological receptors",0,0.240029224011971,0,0.192080941187232,0,0.149595111316469,0.14628417195415,0,0,0,0.240573413461428,0,0.245259381426216,0,0,0,0.195391005387536,0.1474377851318,0,0,0.198848883900824,0,0,0,0,0.149278677430816,0.238595325043282,0,0,0.241653754555855,0,0,0.147560190933363,0,0.194090302546464,0.188410342287188,0,0,0.235789783836827,0,0,0,0,0.144868986678428,0,0,0.238739381620396,0,0,0,0,0,0,0,0,0,0,0,0,0.239126470196496
"Complement cascade",0.736145906243353,0.700793645783952,0.738381758795569,0.734793090213522,0.705815821381015,0.736545699355664,0,0.740475683743692,0,0,0.704496530685226,0,0.703807717938575,0.700535377230341,0,0.734967532373813,0.737631995027107,0.738977639387565,0.704035676865662,0,0.739764717507768,0,0,0.737064167853097,0,0.735655505840836,0.703136081404577,0,0,0.705239545634044,0,0,0.700848981509211,0,0.740549433290787,0.734322011748735,0.73590998122215,0.70820350332387,0.739292666234683,0.670397515784453,0.668897556512928,0,0.740573787899727,0,0.735833338410612,0,0.738610259302339,0,0.738501271379766,0,0.739990445523756,0,0,0.668127473429781,0.703595075124088,0,0,0,0.735698080020258,0.698949941514078
"Arachidonic acid metabolism",0.758852335388752,0.826137572961236,0.759965907259027,0.82848186215018,0,0.828250891397485,0,0,0,0,0,0,0,0,0.86057537348393,0.756315560782768,0.825903885649653,0.82666455883518,0,0.829690573832773,0.863496097465381,0,0.828821789449946,0,0,0.827615507843369,0.792274095007878,0.75927349934383,0,0,0,0,0,0,0.826984581702066,0.827150325772161,0,0,0.823806161301812,0,0,0,0.79051640174976,0,0.79667545440402,0,0.826949804434416,0,0.826833279157537,0,0,0,0,0,0,0,0,0.794931200471347,0.796530841854171,0.792442209371311
"Trafficking and processing of endosomal TLR",0,0.633018534837708,0,0.641935709871095,0,0,0.746847755265544,0,0,0,0.745446700715418,0,0.647158207310736,0.634960439438608,0,0,0.738773295423391,0,0.645991786654,0,0.641166894052297,0,0,0,0,0.744882013969364,0.740977436768372,0,0,0,0,0,0.635990672845418,0,0.742093886869585,0.740501301542814,0,0,0.73404175570373,0,0,0,0,0.743650306418894,0,0,0.739035654067073,0,0,0,0,0,0,0,0,0,0,0,0,0
