"","TP53","KRAS","B2M","APC","SMAD4","RIPK1","MAP2K7","XIAP","SCN1A","OR5AC2","APAF1","EXOSC4","KCNJ4","TNIK"
"Adrenaline,noradrenaline inhibits insulin secretion",0.836431073906946,0.839097872718762,0.838283946149391,0.83937411860688,0.838283946149391,0.839855003971074,0.841515443169196,0.840963355226859,0.89914221903523,0.903069071570386,0.838671547532937,0.83375540256455,0.901139279211886,0
"Phase 4 - resting membrane potential",0,0,0,0,0,0,0,0,0.781333540440869,0.787646251637823,0,0,0.881370135015259,0
"Dopamine Neurotransmitter Release Cycle",0.805513098204781,0.808850183932593,0.808595963746766,0.81040473257008,0.809040550565565,0.811006486132611,0.738296517961302,0.812393416087993,0.811998537341119,0.818470686861764,0,0.809831653155669,0,0
"O-linked glycosylation",0.480356144098192,0.830599808074822,0.481723910265052,0.482577094480815,-0.022107797470258,0,-0.022107797470258,-0.022107797470258,0,0,0,0,0,0
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.683064313132916,0.763207279542059,0.687436794392701,0.780619024095269,0.866229537789007,0.678578644653787,0.682721780691515,0.680297824565602,0,0,0,0.677122371216288,0,0.789497573757577
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defective GALNT12 causes CRCS1",0.686366618463406,0.690259006500279,0.690481050782398,0,0,0,0,0,0,0,0,0,0,0
"APAP ADME",0.624195508863657,0,0.545629808871899,0,0.628348447920604,0.535508838446304,0.537955052679094,0.537141698366679,0,0,0.550576682990375,0.541128685544796,0,0.544656366053289
"GABA receptor activation",0.813406408149315,0.815398275372588,0.815511902976896,0.858677062268991,0.814991003552385,0.816685346795383,0.819168010267346,0.817513188973987,0.860967750073105,0.863900768049844,0.815203761088382,0.811466698315681,0.864597480854699,0.772834169232837
"NCAM1 interactions",0.862164642302137,0.913263597744112,0.913395466800652,0.864111210688138,0.864608147277475,0.865969972427171,0.866571877883231,0,0.867736629879751,0.868831657718988,0.815207356478891,0,0.867158874113428,0.869910271401607
"Transcriptional regulation of pluripotent stem cells",0.809654742169496,0.804773803604883,0.743336738439221,0.817513438323591,0.892658009972704,0.737022978403119,0.740339833104247,0.742564997726178,0,0,0.744467059146031,0.742669194081756,0,0.82582092471525
"The canonical retinoid cycle in rods (twilight vision)",0,0,0,0,0,0,0,0,0.14498090470521,0,0,0,0,0
"Lewis blood group biosynthesis",0,0,0,0.472246038507106,0,0,0,0,0,0,0,0,0,0
"Sensory perception of taste",0.789219621992012,0.791695459473766,0.791189231535511,0.792848804067771,0.790680566489727,0.792647790697789,0.794836794908509,0.793168111254468,0.902134247731339,0.851474090652269,0.796643171397236,0.791267498203279,0.796393995251115,0
"Serotonin Neurotransmitter Release Cycle",0.748234874419608,0.752823822326857,0.753085602404817,0.754961538675364,0.753085602404817,0.755789031876525,0.656263746003953,0.757696249681332,0.757153237560312,0.766053325667322,0,0.754173476337758,0,0
"Metabolism of Angiotensinogen to Angiotensins",0.594050516952959,0.599544207189595,0.599774261208427,0.509021092548889,0.599774261208427,0.51418347013525,0.604661008333927,0.602034667711198,0.605232099570101,0.611170379946293,0.521097656855892,0.600730291828503,0.515331785810408,0
"Blood group systems biosynthesis",0,0,0,0.471539446462522,0,0,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.430992332997851,0,0,0,0.436188890085453,0,0,0,0,0,0.550602061628079,0.433910560794714,0,0
