"","TP53","NCOA3","COL4A4","BRAF","JAM2","FGFR2","LAMA2","SPTBN4","CDK4","ASPH","COL6A2","NTSR2","GRP","LPAR5","ADCY1","OPRM1","PARP1","WAS","DSPP","PSMD1","TJP1","TUBA1C","HSPA2","ABCA1","POMC","TTN","CDON","PPP2R3A","NPHP1","NPHP4","LRIG1","ADAMTSL4","ADAMTS7","GLI3","TRIM34","NEDD4","ARAP2","ARAP1","MST1R","SNX1","NUPL2","POLR3B","ZFPM1","CASP9","DOCK8","SH2B3","CYP7A1","TTF2","DOT1L","CDC25B","RIF1","ARHGEF17","MUC16","ASPN"
"Nitric oxide stimulates guanylate cyclase",0.80042952247035,0.80554388329642,0,0.806124705044945,0.739430263928989,0.804368981082535,0.734816674498325,0.734416633767257,0.803122277509312,0.807125846437507,0,0.804190283655388,0.804144514765084,0.801556543114617,0.801789863927155,0.803001465828802,0.732394252413133,0.807818152837997,0,0.731087126664405,0.736000982489408,0.735332929700657,0.797009557593311,0.740002159389449,0.80187506636385,0.809131863601571,0.809640004872755,0.807511328654778,0.735598975684389,0.735487313903192,0.745235771423656,0,0,0.735138586447118,0,0.730967670978184,0.736969842553598,0.736861880728975,0.739634610763952,0,0,0.873653847429492,0,0.73593830151102,0,0.740238123051575,0.736361309235948,0.73823734626245,0,0.810373309859636,0.807210307511426,0,0,0
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.720027261211877,0.802432028603597,0.726593479313503,0.716661339407545,0.720335677439711,0.803347321166179,0.727921700422036,0.717489386496736,0.80189996044615,0.717189703249319,0.726875044218334,0.71309186854776,0.713038733146974,0.710034227030295,0.711628804893157,0.711445911442123,0.804522797548302,0.720012128848543,0.72998878923465,0.713614136287376,0.807418983468713,0.717347568016383,0.714388921299713,0.720004254991927,0.711727720676164,0.718828796605566,0.810217455330668,0,0.71515817699228,0.715028543228887,0.730049866152679,0,0,0.715947392057803,0.72907919609873,0.713485312574944,0.72345091229721,0.723325573999015,0,0.811958369980446,0.715018148109408,0.804384432683129,0,0.719639877399618,0.730049866152679,0.722914283033377,0.718147696538609,0,0,0.720004254991927,0.717955394899542,0.724996545484475,0,0
"Activation of Matrix Metalloproteinases",0.700015130451601,0.65311245734014,0.703604712615633,0.704212798154488,0.706829451499074,0.703555200686706,0.704568688427652,0.611379977335484,0.70267613337468,0.704462748811827,0.703775723546512,0.702848811840687,0.702816539585888,0.700991726269205,0.701156243885038,0.702010560540417,0.649217200317769,0,0.658350320771537,0.650732695284041,0.70579576966793,0.651637962063185,0.650959892222205,0.655335813325456,0.701216321259173,0.706333185747807,0.707495446260935,0.653561167798185,0,0,0.711503379147074,0.705167383043321,0.705167383043321,0.652149818776473,0.705114434651479,0.646390814955683,0,0,0.657723126358088,0.708552806143975,0.651585434260141,0,0.658119280826211,0.654392482349697,0.656451442819199,0,0.65420821615732,0,0.658217944474994,0,0.654091420059006,0,0.705109089839036,0.711503379147074
"Surfactant metabolism",0.795888161241957,0.73857974437954,0.740114274523804,0.8005812256505,0.74454949625703,0.799812714684844,0.801491625039844,0.738864228797332,0.738202083018309,0.741150152146238,0.740314128966783,0.853726777314882,0.853689061869014,0.851556466911075,0.851748732845793,0.798007548228809,0.740879068888612,0,0.749606453371545,0.743083440280614,0.741723627470528,0,0.798968265912396,0.742696411697143,0.85181894315388,0,0,0.746388976341309,0.739068007434448,0.738975993539499,0,0,0,0.800074466649464,0.802313214129062,0.736409636730748,0.742156149314756,0.742067184336025,0.744419471330411,0.804713676322521,0.744080006243961,0.798398140827302,0.805014339091439,0.801077547172974,0.745889630413,0.745024788521896,0,0.74285997446992,0.747682498003089,0.74276042274927,0.74285997446992,0,0,0
"Defective GALNT12 causes CRCS1",0.69851989465847,0,0,0,0,0.704063804055136,0,0.793866570695269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.792146293123939,0,0,0,0.798516809086774,0,0,0,0,0,0,0,0,0.700576401120322,0,0,0,0,0,0,0,0,0,0.712746351578052,0,0,0,0,0,0,0.636694852126554,0
"Glucuronidation",0.774665676017102,0.777598559480255,0.843728784327244,0,0,0,0,0,0.77721637710243,0.780936176492721,0,0,0,0,0,0,0.779100350248197,0,0,0,0,0,0.777401452637136,0.782576657231372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840727665656328,0,0,0,0,0,0,0
"Other semaphorin interactions",0.57228995864068,0.386183168812536,0.476399815555623,0.578164609479284,0.480758944897847,0.581686159359306,0.579602176866433,0.577718471899184,0.576864815403464,0.385198345638241,0.476715395984131,0.576342039051281,0.576282484425468,0.572915007472588,0.38289017137437,0,0.388634646456992,0.587015666650631,0.489796708884619,0.576285216211882,0.389968247828116,0.391081340363344,0.577153602086684,0.394058978555357,0,0.393927223878329,0.398777812054842,0,0.579499409798429,0.579354115133153,0.40198458459718,0.389988396649384,0.389988396649384,0.5789003498568,0.583506482423702,0.397587130416891,0.58075881637309,0.580618336103091,0.396678701461436,0,0.386688977142401,0,0,0.583038919992631,0.589638601199023,0.397022653949993,0,0.391762598094528,0,0.393950853183013,0,0.582491175680608,0,0.401876459224836
"Aspirin ADME",0.80046823050416,0.759194970903167,0.760955935086791,0.760980013074458,0.763759150239996,0,0.761657192725202,0,0.802623259849236,0.758307077059571,0.761104592218464,0,0,0,0,0,0.760298829050887,0,0.768016474046023,0,0,0,0.759050091869821,0.762854011749613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.846998674074619,0,0,0,0,0,0,0
"Scavenging by Class A Receptors",0.537827690343331,0.542249285599737,0.618027284156194,0.541260256798549,0.546304797799683,0.541857889200907,0.542489437047612,0.540726717352951,0.541739384240517,0.544925131146319,0.618297118623212,0.542011849875322,0.541960928179098,0.539081594523746,0.538072626898387,0.539420634760711,0.544252949814177,0.543144358281361,0.554032464055569,0.541243802687239,0.461994746792405,0.546344975448644,0.458868884029286,0.542281706437139,0.460117300511735,0,0.468756440270628,0.461882094025593,0.460167378090532,0.460043145074084,0.472269217370034,0.545121178324522,0.545121178324522,0.460081363365705,0.543598709629661,0.456394769207825,0.464676629904892,0.464556513397791,0.467306258761554,0.389993398555033,0.459471896258134,0.544120349447415,0.550149444612197,0.463193807363318,0,0,0.466595560427011,0,0.549941004947074,0.465492492678343,0,0,0.466259616266462,0
"Interaction between L1 and Ankyrins",0.759245166014757,0,0.766262949595477,0.766308460097926,0.683477066150968,0.765227988257523,0.767588416985551,0.858479778015742,0.684755376280321,0.684409491165782,0.766543930749251,0.685550306777066,0.685497281538611,0.68249900447815,0.761286359225272,0.684173009920712,0.687991137070297,0.768270392590534,0.691523957285954,0.756860866635056,0.679504095321744,0.772748819653785,0.680028308441837,0.6922024005042,0.68286802743527,0.680741184189697,0,0,0.770298719969841,0.770169354968091,0,0,0,0.76976533913132,0.772912859098604,0,0.770381086949332,0.770256008507258,0,0,0,0,0,0.681196501208078,0.690202997612566,0,0,0.690157788186392,0,0,0,0.68383919400735,0.766545512908176,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.702879490596424,0.705182207264777,0.706236992555398,0.706482500863913,0.709105417981914,0.706119225892633,0.706954563319903,0.748067357560582,0.750620882694068,0.705805323537778,0.706389107849093,0.70619008024353,0.706161373870834,0.704538191000711,0.704640624793445,0.70476711250936,0.706501638064393,0.707513659693397,0,0,0.706688791390217,0,0.70687799617101,0.710024185467966,0.704060631696058,0.707881956771441,0.708466436290848,0.707573857063317,0.707262496651642,0.707192462078252,0.712746648099722,0,0,0.706973739267691,0.707579899758468,0.703797656626765,0.707986743878566,0.70791902992802,0,0,0.707217935628364,0.706701378549032,0,0,0,0,0,0.708917289866464,0,0.708926367176515,0.706462831073811,0,0,0
"Collagen degradation",0.749815359247252,0.687149196308254,0.81958733222448,0.756081952819771,0.758991536307756,0.755196430879012,0.756349416592679,0.754231059919464,0.686714033458937,0.690515449745492,0.819817615853633,0.688443007429292,0.688399549552548,0.685942252636304,0.68616379235566,0.687314216710615,0.689356736035013,0.756294336465037,0.76497251750978,0.687871271457723,0.75651696000967,0.688536987238853,0,0,0.686244692656445,0,0.758805747587237,0.686630739345254,0,0,0.699098380085725,0.69146431147743,0.69146431147743,0.68869695404578,0.756682091515583,0.686633338861679,0,0,0.694729038494441,0.760229590320189,0.683970212985669,0,0,0.687750189025493,0,0,0,0.692721866317177,0.759762315779846,0,0,0,0,0.632086790060137
