"","USP9X","XBP1","NASP","ERCC2","DAPK2","APC","BRD4","CSF2RB","OR9Q2","TYRO3","PYGL","NXF3","FLT1","SET","TP53","PCDH7","ZAP70","GNRH1","PARP14","TYRP1","CACNA1B","PRKAB2","OPRD1","HYAL4","IFNAR2","LNX1","COLEC12","CDH9","NTRK1","FFAR1","PRKAG2","IRF5","KIT","DGKI","BBS2","PABPC5","GPSM1","MAGI1","TTN","MYL1","ZNF721"
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0,0,0,0.805001166758367,0.810970261198861,0,0,0.804905341424121,0,0,0,0,0,0,0.855073650679276,0,0.805955590285274,0,0,0,0,0.805569689273056,0,0,0.807986619327696,0.802539270616625,0,0,0,0,0.805635890453214,0.806591218554347,0.806221337007365,0,0,0,0,0,0,0,0
"Regulation of Complement cascade",0.7523647181529,0.77992571886208,0,0.750642854858243,0.754612603602696,0.776858426020612,0,0.803101788085177,0.804498961581952,0,0,0,0.77997599976213,0,0.779607154694727,0.780903296522846,0.803577135946697,0.804529304204954,0,0,0.77683166250783,0.775681240726473,0.825369380368147,0,0,0.802030892662055,0,0,0.803526980158959,0.804521229712008,0.775711203710088,0.80475965562396,0.779237967333862,0.804076867994328,0.803802678163212,0,0.82537551909034,0.804819135875703,0.803681564899153,0.803245050841096,0
"APAP ADME",0.825724238099195,0,0,0,0,0,0,0,0,0,0,0,0.778978626547683,0,0.818983099500643,0.828037362132992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777653970387751,0.777324501608359,0,0,0,0,0,0.781740602582667,0.780881528709241,0
"Activation of Matrix Metalloproteinases",0,0.868212541811315,0,0.865034898736387,0,0.865026673145773,0,0.837782992613897,0,0,0,0,0.865867351396006,0,0.8640709982119,0.843375969879962,0.866393188008636,0.865435362155724,0,0.843630142136722,0,0.839990416250885,0.86465499624052,0,0.813857080584158,0.838173970061504,0,0.867932764382001,0.865930321241795,0.865427032064666,0.840021327712886,0.865069428940786,0.865604635502366,0.841742464034264,0,0,0.864661329283993,0.867674503451211,0.840173687200773,0.839723355288164,0
"Biological oxidations",0.919569105222426,0.928299633874287,0,0.910621214143513,0,0.919540561338209,0,0.910184978282795,0.910895812992984,0.928426990069201,0.927838142227055,0,0.919018413252447,0.911057760401904,0.919027470760659,0.910718665609567,0.926880086898513,0.909972609579351,0.911526985557384,0.912855908902144,0.909753486560949,0.919790410887427,0.909707561668885,0.919840614071137,0.910363669145879,0.909809739563944,0,0,0.910189505319727,0.909969780299925,0.9198009098319,0.926901181946817,0.926580830480352,0.919388442547734,0.910931557919066,0,0.90970971265973,0.911058388804395,0,0.91047604799696,0
"Immune System",0.87603689590162,0.876304543434974,0,0.879350736958258,0.876165318003586,0.876183361637026,0.876225219196935,0.874262534261451,0.877817589076389,0.876104651298139,0.876346053238542,0.877811472219061,0.877650062379531,0.877932216851456,0.879606054648636,0.877795663159913,0.877898202265484,0.87774678073446,0.877932216851456,0.875970813813232,0.877680488312965,0.877792347577267,0.877722679295478,0,0.877645692798487,0.877808701039606,0.874028354014622,0.876261908223048,0.877680488312965,0.877746246133191,0.877669889204876,0.877642219623835,0.877633202029604,0.877716895643634,0.876266274459517,0.874480751993689,0.877599048061421,0.876173659835928,0.876138568468794,0.876069441792413,0.87464344502169
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880942239679449,0,0,0,0,0,0,0
"Phase 0 - rapid depolarisation",0,0.894525790344135,0,0.890335389694974,0.863126215399286,0.892499101948481,0,0.891479893541005,0.894875499855692,0,0.890640313049607,0,0.891740638537458,0,0.914220416190398,0,0.891872793515487,0.890863486190643,0,0.897929741921168,0.924885609416267,0.893129986456144,0.890684043312932,0,0.892173681388089,0,0,0,0.892058349212824,0.890852501187559,0.893170749816718,0.892555484590255,0.891394191556065,0.892552657640823,0,0,0.890692394782512,0.89449601997968,0.89294840321056,0.892354544462288,0
"Neuronal System",0.92562638772979,0.925086608758572,0,0.930284845387318,0.924553792099837,0.924490085119891,0.920898579746097,0.930465502267111,0.930597867453792,0.925585908910731,0.924418253433371,0.920799711521642,0.929650880475553,0.925175854430513,0.934430911497962,0.920518361301513,0.924504424119262,0.929560959582218,0,0.925526486281386,0.930494440565049,0.930500057006445,0.929484099737218,0,0.92498969713886,0.925164152127504,0.920242892507943,0.920643548329738,0.925167384100169,0.929559225628777,0.930105088417339,0.924854071918489,0.929596194743487,0.929867650945307,0.925780585418777,0,0.930292662422968,0.925848489726201,0.925555667281255,0.925058306047341,0
"Costimulation by the CD28 family",0.888258295839527,0.888928073879758,0,0.886555695335786,0.868372831158923,0.88690399346832,0,0.887425232507978,0.888951980631067,0.888888386694804,0,0.866743753051643,0.886819269742677,0.867174341217397,0.88777057310634,0.867227916039125,0.905622793115981,0.886854675051657,0,0.889510575870565,0.886726174962939,0.888066164516857,0.886579004297162,0,0.887818017718819,0.886378829244766,0.889910027208901,0.888401434066976,0.887531141965955,0.886848455936159,0.888089242530179,0.907244690210543,0.907115747928119,0.886951721538933,0.868013066687279,0,0.886583732448216,0.887818425444149,0.888178724950498,0.887842514198709,0
"G alpha (i) signalling events",0.929420164053971,0.929084757339412,0,0.935089583937736,0.92991919109819,0.92907501283432,0.923673547575332,0.935305342997037,0.935945474375152,0.922729437488114,0.929047189847837,0.923657674464187,0.935296532190027,0.92978593526667,0.934849957663953,0.922439245297201,0.929370489590088,0.93518913939447,0.923604904550182,0.929942963025578,0.935414392042204,0.929325694341592,0.935055031641413,0,0.929481573779237,0.928973924451218,0.922838793610233,0.922490905222353,0.929357626131196,0.935187068528619,0.928851331716075,0.929319596167323,0.934749173620087,0.935073374584995,0.929578383893554,0,0.934386501818244,0.929609036301672,0.929285691443268,0.92907567031011,0
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0.902822348058524,0.871754190610533,0,0.901213006603262,0.870969907579961,0.902053689947561,0,0.931034669268112,0.904218875638532,0.90448570566335,0.869490723962865,0,0.930992085911425,0.869302742620525,0.900054873066206,0.869388962672921,0.931623882451243,0.901694166333459,0,0.87111356058247,0.901652110938589,0.900764682758553,0.901250518624886,0,0.902393944849094,0.900434401445636,0.874284174462978,0.904694813392253,0.931561712293896,0.901684157668067,0.900801823106456,0.902105061348292,0.930676430841828,0.902102485655712,0.868936382083263,0,0.901258127822984,0.873896962482113,0,0.86842789732769,0
"Drug ADME",0.809635152987802,0.810901960940895,0,0.821056294264346,0.824115024555535,0.825737855072433,0,0.806954363135013,0.808392959858103,0,0.792513642908504,0,0.826621343462984,0.824315961335277,0.822466934552916,0.810039488565687,0.823204918302446,0.806643595180742,0,0.79542189578634,0.809071880686531,0.822809022884227,0.806241055475951,0.810245300142483,0.807304143243589,0.806219848579786,0,0.807678301487698,0.807706975451662,0.80663805698115,0.822871446816329,0.84249182962599,0.85830152459102,0.843089008261119,0,0,0.806128985135761,0.788495005273181,0.80779334781805,0.807493947967905,0
"Extracellular matrix organization",0.866918162183183,0.874082557114164,0,0.873250925745476,0.873747104921498,0.873817538387872,0.860448742142409,0.873478065195765,0.866393137023225,0.874152853072309,0.873804630314678,0.86032443536716,0.873231112567898,0.87404376678046,0.879675139771847,0.873877276244685,0.873745182634937,0.873652106375015,0.866974675084213,0.874172207950129,0.873592866123494,0.873644640162461,0.873073825588005,0,0.873615755069636,0.872942631454125,0.874358120174003,0.873763041322273,0.873407595067876,0.873649926279622,0.873366613457508,0.879713872455459,0.873381131841923,0.867138964619187,0.866818455394376,0,0.873075483029539,0.873952104924438,0.87300301398675,0.872885156148089,0
"Peptide ligand-binding receptors",0.918576360286254,0.929034695075313,0,0.927685170589454,0.928951999982659,0.928074558757784,0,0.928582022528859,0.929126457899732,0,0,0,0.928223196292356,0.918824072246466,0.927601609911504,0,0.928405149863545,0.937175080167379,0.920506093102787,0.921157455339927,0.927848014250835,0.927902976943692,0.936369839228645,0,0.928559767771802,0.927853171470129,0.919594752022793,0.919039394264363,0.928591548035958,0.936705539745381,0.927913673138606,0.928334311388398,0.928132289546976,0.928183276895444,0.927009489288106,0,0.936378542933535,0.919052727346969,0.918276954771289,0.918277608987129,0
"Synaptic adhesion-like molecules",0,0,0,0.785039797045081,0.68993514358111,0.78955781126125,0,0.789008317679566,0.79282761925444,0,0.791562067617147,0,0.732414276262473,0,0.785794703463401,0,0.791047587151525,0.734399064194484,0,0,0.789329207502688,0,0.733563823023969,0,0,0,0,0.740258717743253,0.790930541410072,0.734380221204346,0.784265675194496,0,0.789263850695858,0,0,0,0.733578148614753,0.792612019537488,0.789957334118089,0.78974518278071,0
"Class A/1 (Rhodopsin-like receptors)",0.938597837217889,0.939133109113768,0,0.937789870958773,0.939054122514574,0.938216030481293,0,0.938505596080598,0.938981992257684,0,0,0,0.938358002308055,0.929380385620606,0.937764291209213,0,0.938531796100867,0.946905682312317,0.930986975600121,0.931609127245441,0.937999645450505,0.938017794222002,0.94613930588639,0,0.938679480109139,0.938004571392304,0.93974408898207,0.929586051439208,0.938514694412642,0.946905682312317,0.938028010741912,0.938464134404576,0.938271172310883,0.938319873111958,0.93783959575581,0,0.946147619270263,0.938864213552491,0.928857803840522,0.928858428717799,0
"Cardiac conduction",0.914444839001282,0.914955394250798,0,0.913146988709395,0.914520360733659,0.913545184566217,0,0.913640909761487,0.914214031958251,0,0.914477604996626,0,0.912882255651658,0.900272075125989,0.940263965446298,0,0.913919994924645,0.912839319698457,0,0.915353252816007,0.927521876647712,0.913583477102019,0.912761879491282,0,0.913940320221791,0.913012168058661,0,0,0.913245448108416,0.912834579020391,0.913601068901305,0.927200846084388,0.912935653632402,0.91332111386076,0.899073391677314,0,0.912765483643995,0.914996896450834,0.913564222523066,0.91412789893066,0
"O-linked glycosylation of mucins",0,0,0,0,0,0.927700665072389,0,0.904311237391527,0,0,0,0,0.905310820132895,0,0.902614463639468,0,0,0,0,0,0,0.904695747157891,0,0,0,0,0,0,0.904717556049778,0,0.904724380145311,0,0.905067468948885,0,0,0,0,0,0,0,0
"Termination of O-glycan biosynthesis",0,0,0,0,0,0.885508465795096,0,0.840877508564925,0,0,0,0,0.84081457725765,0,0.837624912714281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.841656392832945,0,0,0,0.840348090166839,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.763050092371019,0.74358754416873,0,0,0,0.72733490148935,0,0,0,0,0.763455322541244,0,0,0.728013490169745,0.759424011443549,0,0,0,0,0,0,0.744200541550827,0,0.7637777626513,0,0.722968972929372,0,0,0,0,0.763003240105432,0.744102463013859,0.743974441099764,0.763496048309374,0,0,0,0,0,0,0
"Degradation of the extracellular matrix",0.842823020103242,0.860269630552189,0,0.858368814731047,0.8603951606526,0.858485783345259,0.829353468434592,0.85888797535554,0.829302455490655,0,0.859634387970588,0.829069347014976,0.858866774743686,0,0.872120120379551,0.859155468927569,0.859427249340355,0.858608365613671,0,0.860687819856529,0.843338647915077,0.858510593407464,0.857964026270772,0,0.843390963968311,0.842349783021135,0.846094006873975,0.859678807869815,0.858726905512512,0.858603382684972,0.858529084155053,0.858567006949917,0.858955549705003,0.844417109743136,0,0,0.857967814597196,0.859509386831853,0.858893010261056,0.858623628834613,0
"Signaling Pathways",0.898413855946796,0.899783690616735,0.897462017806327,0.899547150716571,0.898605217798545,0.8995468660722,0.898586125866708,0.897061487637337,0.89979595011427,0.898575582903966,0.898627303017929,0.89860648332865,0.899583517544284,0.898547177577082,0.900759279181002,0.898590902564071,0.899698775181981,0.899556700766758,0.899878520685023,0.898465790237536,0.899697191429649,0.899217626436542,0.899630555126567,0.898719493959338,0.898506963262508,0.89953619902097,0.898710372678988,0.898502513966781,0.899673328311916,0.89964634101241,0.899846504155141,0.899671113607081,0.896432801383477,0.899790874786717,0.898445271187022,0.898618787201076,0.89950604764618,0.898593202370094,0.899645416390119,0.898546955430261,0.897542271086495
"Potassium Channels",0.92695473281888,0.927500785433585,0,0.941057245897849,0.943986945183553,0.941920069252177,0,0.942022449931291,0.959548757269941,0,0.92913338014679,0,0.942000877657132,0,0.940907489946253,0,0.942320939043317,0.957696955779031,0,0,0.95824846165878,0.924676047299657,0.957472208583322,0,0.926415136371736,0.928035994209809,0,0,0.943669387423665,0.95769188549593,0.940848944725446,0.941946093455686,0.941840970166724,0.942634739918892,0.943152516913306,0,0.957476063321892,0,0,0.926615756861954,0
"Constitutive Signaling by Aberrant PI3K in Cancer",0.874967390126182,0.891797833173172,0,0.873422801377012,0.874251558651006,0.873896699517851,0,0.890233447846267,0.875476168460978,0.874701464435056,0,0.855932737244803,0.890209443357893,0.875474621829772,0.872769954697253,0.855465060800696,0.906079607755246,0.873214564637586,0.857152685223837,0.857051575127612,0.873828251279117,0.874220724437456,0.873165494656291,0.876484882063699,0.873887486366307,0.872983897074758,0.876948018885471,0.875107063854522,0.890530545096682,0.873208922694097,0.874241660669797,0.873925657878289,0.845595220585051,0.874054553809833,0.856966513462811,0,0.873169784005968,0.874811186569816,0.874415734596479,0.873952802053421,0
"Initial triggering of complement",0,0.769035220424281,0,0,0,0,0,0.775411041286614,0.769526463378697,0,0,0,0.819027564754669,0,0.815699965238339,0,0,0.817465766719936,0,0,0.765569163508092,0,0.816781774525495,0,0,0,0,0,0.776223607899279,0.817450335897523,0,0.764524214759827,0.818540904732385,0,0.768195825547218,0,0.816793505978185,0.823686525953265,0.821512562109447,0.820678358530862,0
"Classical antibody-mediated complement activation",0,0,0,0,0,0,0,0.613220963311103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615250330814682,0,0,0,0.611841574181056,0,0,0,0,0,0,0,0
"CD22 mediated BCR regulation",0.684069750425879,0,0,0,0.691954382958839,0.678375477326231,0,0.781246543341701,0.688256494147281,0.689749673169803,0,0,0.782187951305374,0,0.775717344498486,0,0.783012985072146,0.779562820294692,0,0,0.680561418055951,0.783432999274143,0.675967596135372,0,0.683704598287258,0.777266985385352,0.699981483373266,0.689121627689787,0.783895672452092,0.779532814645259,0.783544344814768,0.681357636297666,0.781241627795775,0.784870040955711,0,0,0.675990408260828,0,0,0,0
"GPCR ligand binding",0.943023934766368,0.943503859832314,0,0.942424251814299,0.943224757816461,0.94288665330134,0,0.943030951630753,0.949638339775883,0,0,0.936547376649231,0.942919721581583,0.936153983919522,0.942292348862743,0,0.942976771624658,0.948878473815997,0.937364746943866,0.937833614680683,0.949106234981929,0.942597279667984,0.948783890270524,0,0.943161994619298,0.942653367944434,0.943896995298501,0.936308978393352,0.943037808342275,0.948878473815997,0.94311591675907,0.942999705161588,0.942854284505963,0.942862513798626,0.94292869773625,0,0.948790155427116,0.943059728367443,0.935760154314838,0.935581338975684,0
"O-linked glycosylation",0,0,0,0,0,-0.0130259782764402,0,-0.0130259782764402,0,0,0,0,-0.0130259782764402,0,-0.0130259782764402,-0.0130259782764402,-0.0130259782764402,-0.0130259782764402,0,0,0,-0.0130259782764402,-0.0130259782764402,0,0,0,0,0,-0.0130259782764402,-0.0130259782764402,-0.0130259782764402,0,-0.0130259782764402,0,0,0,-0.0130259782764402,-0.0130259782764402,-0.0130259782764402,-0.0130259782764402,0
