"","APOB","IRS2","NCOA6","PDGFRA","IRF5","TNRC6B","KRAS","TLN1","RBP1","UTRN","HTR1A","QRFPR","FFAR3","NTSR2","APC","PLCZ1","IKBKB","PIN1","DAPK1","OR10C1","STUB1","IL18","MARK4","GLI3","NOSTRIN","CTSF","C6","GPR32","SYNE1","COL18A1","OBSCN","PKD2L1","MUC16"
"Interaction between L1 and Ankyrins",0,0.862873660934733,0,0.861586848685269,0.86423297471147,0.816355642606238,0.909683108397625,0.861846199760118,0,0.863962152441538,0.812824974647957,0.813542746208644,0.813542746208644,0.813526553325778,0.81478500523069,0.864630929621446,0.861207225667115,0.817857983121617,0.866212253293249,0.867278775904914,0.806564265153386,0,0.86467042213116,0.864476833178718,0,0.868966759106026,0.865277185461111,0.814271717461378,0,0.815775074616664,0.811887940690247,0.861373887869454,0.862528831229887
"Potassium Channels",0.925720623374855,0.926624458128081,0.925989544504398,0.926090115346194,0.926141465581633,0.926759153101274,0.925680200734024,0.926065355901072,0.927324808787489,0.92707644914701,0.946731616424881,0.94702966771609,0.94702966771609,0.947022943697042,0.926106953260205,0.926638571723691,0.925800024890623,0.927382992989853,0.928321207794952,0.949485457314205,0.924875266899877,0.927785785939833,0.925743657321186,0.925663270412036,0.907374863270975,0.906984640535113,0.927832354399204,0.94733236962716,0.926912071317742,0.905395568025818,0.9275818013256,0.927121381149094,0
"Creation of C4 and C2 activators",0.645959744649947,0,0,0.578085662009061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of the phototransduction cascade",0.80162731110298,0.711097681376567,0.709031276888109,0.724568309962136,0.709229857949912,0.7116185722852,0.717062412623874,0.718551880420428,0.713806069690499,0.712845616039333,0.801034639382442,0.801074278355921,0.801074278355921,0.801048275303923,0.803121321757141,0.726689294391234,0.70790944229097,0.714031078993512,0.739502411237943,0.810571280692767,0.704333228430522,0.715588755428888,0.805611571500799,0.719237806702338,0,0,0.716157770904848,0.803357865513172,0.712598862364022,0,0.714799908387783,0.713019376580183,0
"Scavenging by Class A Receptors",0.533360290549124,0,0.401408304590647,0,0,0.340438906285459,0.336383490403997,0.33756812274951,0.46643023482336,0.40444199860253,0,0,0,0,0,0.404115909354102,0,0.407142398722735,0,0.409291239419177,0.332497332660484,0,0,0.402898397836953,0,0,0,0,0,0.270565286884133,0,0,0.403566138515598
"Acyl chain remodelling of PE",0.732941034907215,0.731481018916828,0.728470851075882,0.729868039267199,0.617149477263086,0.738791490626469,0.732713317910557,0.734883051903273,0.624197538480444,0,0.726923187014974,0.733756722386186,0.733756722386186,0.733718843282008,0,0.736242721988264,0.727487677674425,0.73575415092973,0.74103949234341,0,0,0,0.729205562023112,0,0,0.628222954032053,0,0,0,0,0,0,0
"Phase 4 - resting membrane potential",0,0,0,0,0,0,0,0,0,0,0.786995103787478,0.78831413637016,0.78831413637016,0.788284379075113,0,0,0,0,0,0.799182287563138,0,0,0,0,0,0,0,0.789653750373916,0,0,0,0.710163112649047,0
"Ethanol oxidation",0,0,0.858777121079587,0.793809425844478,0,0,0,0,0.862484150392294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lewis blood group biosynthesis",0,0,0,0,0,0.782728415755409,0,0,0,0,0,0,0,0,0.780790063230095,0,0,0,0,0,0,0,0,0,0.671556238102704,0,0,0,0,0,0,0,0.846194042599415
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.8687763129751,0.834342217257036,0,0.83416092576205,0.833898475954094,0.834951100050914,0.833462375144319,0.868634783922477,0.836065224255738,0.832035190776876,0.868515142970246,0.869588593314366,0.869588593314366,0.869577134665368,0.834189619872687,0.834895782351026,0.868182623556027,0,0.871685174104838,0.872479064382826,0.833892475079099,0.836850792432546,0.869074038297556,0.868937047999146,0.838063429426379,0,0,0.869538908671922,0,0,0,0.868300559546402,0
"Defensins",0.529837205359321,0.43313124235294,0.428586209736747,0.430327495690404,0.430596935189003,0,0.428176635297491,0.430197580561049,0.436806047909382,0.435502881596097,0.529033054299971,0.429148488686007,0.429148488686007,0.429113207127791,0.4304158458035,0.433205297712027,0.531995118508815,0,0,0.440292960944143,0.426088371205588,0.437483552283214,0,0.431128261622958,0.442958587538372,0.440911052266249,0.438255605988364,0.430736793986791,0.433426794398306,0,0.324063249500866,0.435738644022675,0.434008692026711
"Heme degradation",0.705007528763511,0.70746292238766,0.705513039371398,0,0.705389524822662,0.709465744571954,0,0,0,0.709403236135648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0.763697920881665,0.811877655806126,0.837960124454612,0,0.813161150401036,0.813942095054383,0,0,0.790271725883411,0.786022718664858,0,0,0,0,0.764186359208163,0.813486754167732,0.783323890563894,0.78643312245503,0,0,0.709501099230556,0,0,0,0.739681688174508,0.766200705194156,0,0,0,0,0.765541762521093,0,0
"Post-translational modification: synthesis of GPI-anchored proteins",0.844084387591635,0.845494001517773,0.779176527821632,0.844660644508662,0.779256613265046,0,0.810792108196944,0.844622029863094,0.815939218208998,0.780714806645818,0.77836125326059,0.844310208513844,0.844310208513844,0.844299721783989,0,0.845516012976005,0,0.781192890132098,0.782656122930191,0,0,0,0,0,0,0,0.782050560360958,0,0.814817690957852,0.782086480114675,0,0,0
"Binding and entry of HIV virion",0.687858524036562,0.453052355860358,0.450518284766193,0.450518284766193,0.451160923914466,0,0.445388275624477,0.450208424673258,0.465970255623046,0.462862078485024,0.685940546328953,0.447706239535069,0.447706239535069,0.447622089621491,0.450729008293088,0.457382119689009,0.446887853830526,0.445372869161276,0,0.474286878963003,0.440407564688015,0.71370366964229,0,0.452428188620443,0.480644655061284,0.475761086281745,0.469427591218198,0.451494500614081,0.457910410613521,0,0,0.463424394573787,0.459298292487723
"Sialic acid metabolism",0,0,0,0,0.529702442848482,0.530700598002333,0.528484794890973,0,0,0,0,0,0,0,0.528978919429858,0,0,0,0,0,0,0,0,0,0.48817137032447,0.386267941326098,0,0,0,0,0,0,0.638013040248064
"Defective GALNT12 causes CRCS1",0.711768615482568,0.715344220025497,0,0.713230339726498,0,0,0.711608701983249,0.713132390423105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720520565520657,0,0,0,0,0,0.880734049068453
"G beta:gamma signalling through BTK",0.832863010697408,0.835947746564934,0.827878282954713,0.834124065478367,0.834299320869354,0.830161670213786,0.832725050556366,0.834039562920619,0.832092220436281,0.83124458331202,0.898326535259419,0.899343767120745,0.899343767120745,0.899320818431664,0.833048922752378,0.83599591545249,0.899120583539395,0.832290799762109,0.835492872763178,0.907725235336441,0.831366751042703,0.833665508861926,0.828673492488962,0.828399136605822,0.842339887404654,0.762729516482302,0.834167686807855,0.900376871279348,0.831026813745017,0.757306103686957,0.838082494110682,0.831397933642854,0
