"","TBL1XR1","TP53","CAV1","PDGFRB","IFNG","GPC5","TBP","KRAS","ELANE","PSMA8","HIST1H2AA","APC","GRIN1","PAX3","GABBR1","FNBP1","HSD3B1","ALDH1A3","RBMS1","CHST5","GAD2","SMG8","NEB","REG3A","CEP164","ARHGEF11","LEO1","NOL6","MYO9B","PDLIM5","IFIH1","ARID2"
"RA biosynthesis pathway",0.841866943060827,0,0,0,0,0.840811693278673,0,0,0,0,0,0,0,0,0,0,0.903701994773154,0.907542869009298,0,0,0.842648366610508,0,0,0,0,0,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.791343906769403,0.700011226602562,0.708782053520878,0,0,0,0.70379590534027,0,0,0,0.705990019809753,0,0,0.720528736605872,0,0,0.794909163750376,0.795718729673566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chondroitin sulfate biosynthesis",0.766677377520112,0.847559906691014,0.769183369462181,0.664111054265538,0.765011721501748,0.856650837012626,0.764056705690757,0.670631321511124,0.682419746533768,0.764436092098532,0,0.766235296019131,0,0.679679923935889,0,0.665096213397237,0,0,0,0.778026505447642,0,0,0,0.689086181013582,0,0.670701731769096,0.767710347241428,0.762819634027466,0,0,0,0
"Defective B3GALTL causes PpS",0.83835454130982,0.774339512057815,0.839815494968339,0.837780209120831,0.778039369959355,0.839858012622984,0,0.836972234464357,0,0,0,0,0.779555013251444,0,0.779631412844118,0.778135909307569,0,0,0,0.842780656022813,0,0,0.781240808861983,0.847731125606404,0,0,0,0,0,0.78209140145555,0,0
"Degradation of cysteine and homocysteine",0.688097766327192,0,0,0.684203739333596,0,0,0,0,0,0,0,0,0,0,0,0,0.693394335087668,0.688515634302636,0,0,0.696774978206499,0,0.454968763605257,0,0,0,0,0,0,0,0,0
"O-glycosylation of TSR domain-containing proteins",0.83835454130982,0.774302544712378,0.839815494968339,0.837780209120831,0.778002402613918,0.839858012622984,0,0.836972234464357,0,0,0,0,0.779518045906007,0,0.779507388259861,0.778098941962132,0,0,0,0.842780656022813,0,0,0.781203841516546,0.847731125606404,0,0,0,0,0,0.782054434110113,0,0
"Signaling by Retinoic Acid",0.802166886455977,0.737957531660737,0.741725469825625,0.73968127828239,0.741673578840428,0.740858860672021,0.738723628167927,0.740382185276394,0.687237209773174,0,0.740044564485437,0.739999269305,0.683060831212804,0.747231645829072,0.739951669494278,0,0.794314412958986,0.798511063250843,0,0,0.74244564918337,0,0,0,0.684996699556454,0,0.740862963591138,0,0,0,0,0.689353787773589
"Post-translational modification: synthesis of GPI-anchored proteins",0.684619443097814,0.724622105123838,0.635286765681594,0.728330894520664,0.633941680364752,0.73012533145871,0,0.632831263191804,0.682842948881313,0,0,0,0,0.641367631261962,0.632461080057088,0.728826900468081,0,0,0.730572759008548,0,0,0.725875741788597,0,0,0,0,0,0,0.685567428322263,0,0,0
"TNFs bind their physiological receptors",0,-0.000258983268417289,0,0,0,0,0,0,0,0.00262818158664796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00843654772803077,0
"Aspirin ADME",0.914144504727712,0.856080323993391,0.857726430105811,0,0.802036853371991,0.805288135504025,0.795508553371937,0.800673155638068,0.808054570554224,0,0.859881304417061,0,0,0.869124202776694,0,0,0.916520101194775,0.857345570352596,0.805420715507236,0,0.797764661375397,0,0,0,0,0,0,0,0,0,0,0
"Sulfur amino acid metabolism",0.725464938944622,0,0,0.722239177231676,0,0,0,0,0,0.528198496419221,0,0,0,0,0.612665786951544,0,0.729852548158841,0.724123073851793,0.532961453179259,0,0.828299650451598,0,0.532343881387976,0,0,0,0,0,0,0,0,0.63269469001523
"Transcriptional regulation of testis differentiation",0.276206856515587,0.391203800612459,0.404730553603638,0.544212476106517,0.40100789906151,0.257402801693597,0.264824709541469,0.542071457914141,0,0.404945352358021,0.407844311093162,0.407724808194841,0.414485503071787,0.433254364805721,0,0.410725078983772,0.282513026732297,0.282076782403948,0,0,0,0.40815193133254,0.277100733083292,0,0.409983114724506,0,0.277802614332864,0.40760723040663,0,0,0,0
"IL-6-type cytokine receptor ligand interactions",0,0.831646142629237,0.745087599640868,0.739575337305551,0.838655079367759,0,0.739425745186261,0.736848773277783,0,0.739844737091845,0.623169686273357,0.741831766315289,0.626260807876741,0.638937922589943,0.621678351316371,0.624488424158518,0,0,0,0,0,0,0,0,0.623042056528788,0.63067912255013,0,0,0.62793964594501,0,0.628222088957984,0.632199650739122
"Arachidonic acid metabolism",0.789234246108133,0.783802165348072,0.736077244560073,0.79020976645963,0.790710140792935,0,0.73498027326849,0.789363605224972,0.74242117308364,0.733051981301946,0.736357613054036,0.734150462291475,0.729333622618143,0.740268107587457,0.788914706586065,0,0.846514561117702,0.792984532283273,0,0,0.845788640052777,0.734446141164701,0.741376581776709,0,0.734254008200619,0.731269826538953,0,0,0.679029565388987,0,0,0.681890960237048
"WNT ligand biogenesis and trafficking",0.759945393840812,0.756417068775647,0.826192032233634,0.82708886334961,0.757835212440011,0.826241956661334,0.757161694428562,0.759251704948731,0.767978420715971,0.825144151668866,0.759695724264197,0.827460623195877,0.82942956532204,0,0.827441186765487,0.826678407319691,0,0,0.76619907366847,0,0.759764687255232,0.760761459120073,0,0,0.760546037002102,0.831600463748758,0.760652505758287,0.759590669112948,0.829902437906029,0,0,0
