"","TP53","MAPK10","SDC3","ERBB2","CCT6B","HRH4","APC","ABLIM3","DOK2","CHRNG","RIPK1","TNRC6A","DOCK3","KCNMA1","SYNE1","AMFR","DYSF","DLGAP2","GRIK5","PYGB","NEFH","TTN","SLC25A4","MYO5C","MYBPC2","PLEC","SCAI"
"G beta:gamma signalling through BTK",0.868884649970111,0.913669044689755,0.876178160000055,0.875416124567105,0.914352376816078,0.912648513834394,0.874541908305748,0.879458729117367,0.877931529023135,0.878656388106978,0.875531673515398,0.872794583564554,0.880684157221355,0.875303338941043,0.873362109582425,0.876749349932874,0.877326094267211,0.875091874642335,0.876753001495126,0,0.877326094267211,0,0,0,0,0,0
"NCAM1 interactions",0.916203635695234,0.917363231084752,0.917954243297716,0.9175078705871,0.917083327743953,0.916266466918514,0.917103431899465,0.919875881670343,0.941920200326176,0.919513544897152,0.917962639708128,0,0.920104458031905,0.918487269208401,0.915889634637318,0,0,0,0,0.918301128750997,0,0.894303449304959,0,0,0.894403797438336,0.916802639555053,0.919643950163637
"GABA receptor activation",0.898336834017612,0.918814614608458,0.900375936685499,0.900653810585505,0.919135113659151,0.918335961318577,0.900063524210398,0.902059689723368,0.901519179184256,0.90184822533548,0.900927278734042,0.89954958941021,0.902944385318403,0.900726255464113,0.899368513905976,0.900964709020213,0.901227717182826,0.900721002582399,0.901500110660144,0.900870866414016,0.901674975913289,0,0.900175719831916,0,0,0,0
"Prostacyclin signalling through prostacyclin receptor",0.853558905140456,0.902416643941909,0.860274426666277,0.860684447013823,0.903162128228377,0.901303291170655,0.860451642058524,0.865094744806854,0.863428638928486,0.863698986119211,0.860810505663713,0.857824464951731,0.867152556407169,0.860561403022872,0.858443610038267,0.862138935281267,0.862768137132015,0.860218581009173,0.862142918969689,0,0.862768137132015,0,0,0,0,0,0
"Binding and entry of HIV virion",0.701678674244986,0.710131576798031,0.71336157151464,0.710922059326391,0.71231913524834,0.830114505619257,0.710238913542529,0.723863692544751,0.7189746505361,0.723410641771157,0.711291967411385,0.710603645495881,0.729902160742034,0.722226891952588,0.713896921536997,0.71987960650986,0.726586868138467,0,0,0,0,0,0.714818152807116,0.716560758689457,0,0.715507623931881,0
"G-protein activation",0.887715270275163,0.93124101401383,0.932221617599795,0.8940631798835,0.931905141310958,0.930249164849273,0.893855781647847,0.897992168335683,0.89650788970793,0.897212376860819,0.894175481365839,0.891515316445985,0.899825404637137,0.893953564061111,0.891782131343372,0.895358935380021,0.895312484747503,0.893377340600708,0.895362484316293,0,0.895919470500708,0,0,0,0,0,0
"Thromboxane signalling through TP receptor",0.858868940880574,0.901305080335353,0.861459588623358,0.861847263107902,0.902009936175368,0.900252404622317,0.860945510631299,0.865335567064886,0.864441898209246,0.864697511640237,0.861966451636986,0.85914314835271,0.867281229167308,0.861730924940653,0.859728550403408,0.863222482637205,0.863336781948804,0.860948699311134,0.863226249216999,0,0.863817393364499,0,0.863102628075519,0.863664115213309,0,0,0
"Creation of C4 and C2 activators",0,0,0,0,0.776564509134162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presynaptic function of Kainate receptors",0.861037384177929,0.907400047564962,0.867903819436623,0.867799037652472,0.908107461331578,0.906343551684659,0.867578121620701,0.871984109598717,0.870403088702112,0.871153492897985,0.867918658717533,0.865085109646581,0.87393683252204,0.867682277293228,0.865672636125272,0.869179247862731,0.869472996397318,0.871235883573922,0.912812187562619,0.82336629386515,0.869776317525066,0,0,0,0,0,0
"Cytosolic sulfonation of small molecules",0.742294971600418,0,0,0,0.820327872141497,0,0,0,0,0,0,0.749544232754185,0,0,0,0,0,0,0,0.824459697807345,0,0,0,0,0,0,0
"Calcitonin-like ligand receptors",0.749070454714123,0.824517807077162,0.826225599090136,0,0.821933560898548,0.822790430076355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keratan sulfate biosynthesis",0,0,0.872127173758989,0,0.873428034869648,0,0.903886779760935,0,0,0,0.905254366335455,0.904804608667527,0,0,0,0,0,0,0,0,0,0,0.873043683176039,0,0,0,0.909925632245951
"Glucagon-type ligand receptors",0.908646328695807,0.935398133340193,0.912323378112154,0.912547882653437,0.935806319443076,0.934788522732589,0.912420411492529,0.914962718621639,0.91405045088129,0.914198478100925,0.912616905421546,0.910981914123407,0.916089462823828,0.912480510546391,0.911320923844443,0.913344280254773,0.913569169077472,0.91217917319748,0.913346461502966,0,0.913688796505547,0,0,0,0,0,0
"HS-GAG biosynthesis",0.890603672830069,0.892815634405187,0.928156826608234,0.893022488437582,0.893388076262294,0.891960714000344,0.892843722361122,0.896409064257975,0.895129696254569,0.895023325577003,0.893119286249363,0,0.897435631446279,0.895427161629619,0,0,0,0,0,0,0,0.859206031180549,0,0,0.85934954257056,0.89295525822638,0.897121666791577
"GABA B receptor activation",0.898810845184054,0.927327584682692,0.901650438045845,0.902037396856388,0.927773901992208,0.926661026550712,0.901460171539211,0.904239971414348,0.903242483061475,0.903700702805351,0.902418220350341,0.900499691758657,0.905471971811425,0.902138281408897,0.900247531473957,0.902470344637702,0.902836601870806,0.902130966404283,0.903215928810036,0.902339662255258,0.903459440886418,0,0.901371622095478,0,0,0,0
"Activation of GABAB receptors",0.898810845184054,0.927327584682692,0.901650438045845,0.902037396856388,0.927773901992208,0.926661026550712,0.901460171539211,0.904239971414348,0.903242483061475,0.903700702805351,0.902418220350341,0.900499691758657,0.905471971811425,0.902138281408897,0.900247531473957,0.902470344637702,0.902836601870806,0.902130966404283,0.903215928810036,0.902339662255258,0.903459440886418,0,0.901371622095478,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.864611557132853,0.909781754642527,0.870130206292301,0.870727761628287,0.910470973449745,0.908752432250431,0.869836390094811,0.8741290543348,0.872588697915447,0.873296296878304,0.871315842593706,0.868353183607862,0.876031552459032,0.870883551084498,0.868657639399273,0.871396334742223,0.872655772504744,0.870872254998404,0.872547691911171,0,0.87292373178067,0,0,0,0,0,0
"TNFs bind their physiological receptors",0.438303742578982,0.440559278597517,0.442977549150855,0.407286355078689,0.404648829702898,0,0.44058791987095,0,0.373242481985893,0.410408118359662,0.440643608501674,0.407949212804025,0,0,0,0.443160400754883,0,0,0,0,0,0,0.408115335705936,0,0,0.407327313922677,0
"FGFR4 ligand binding and activation",0.832773905338106,0.836613345069822,0.894062508858868,0.836972394521483,0,0,0.832058987914521,0,0.840630006618606,0,0.837140412523547,0,0.843418097687738,0,0,0.836495262260042,0,0,0,0,0,0.836740285436574,0,0,0,0.834452118070328,0
"CD22 mediated BCR regulation",0.77443300419831,0.676458146289776,0.780738270652573,0.779865471086809,0.67799826251418,0.674158040576459,0.67653371504162,0.790052018454753,0.78660996509236,0.685807063758539,0.677275101105325,0.783245340005726,0.690377315898163,0,0,0.68286388433248,0,0,0,0,0.689532615161147,0,0,0,0,0,0.69429685375168
"Activation of kainate receptors upon glutamate binding",0.87906064308169,0.915981115000605,0.884528664365009,0.884445222374477,0.916544457315246,0.915139784420531,0.884269297965663,0.887777965145963,0.886518933991324,0.88711651133088,0.884540481487109,0.882199282142106,0.889332997721511,0.884267512225574,0.88275188247254,0.88554433982346,0.885778263712428,0.885270774291919,0.919781438566119,0.885816610850074,0.885935081513629,0.851530404343662,0,0.851204869244956,0.851671634474936,0,0
"Diseases associated with O-glycosylation of proteins",0.751493900276572,0.752894863550837,0.753079578474208,0.753025876180431,-0.0165366518774348,0.75235339298323,-0.0165366518774348,0.754567061637543,0.710070080661829,0.754491974116872,-0.0165366518774348,-0.0165366518774348,0.711881179320733,0,0,-0.0165366518774348,0.711682327335417,0.71049690098394,0,0,0,0.754169930941225,0,0.753960420341174,0.754260825009686,0.753435259922365,0.755820975041464
"Collagen biosynthesis and modifying enzymes",0.91175194833421,0.895049459759473,0.916552534613759,0.915051071359367,0.893672709710394,0,0.893338734129138,0.916897695195691,0,0.916824958768113,0,0.893973970340384,0,0,0,0.894645976564009,0,0,0,0.916966528762626,0,0,0.895270176821525,0,0,0.915506038860843,0.917698890860527
"The canonical retinoid cycle in rods (twilight vision)",0.815759227063655,0.819989316543673,0.88328373457359,0,0,0.818354392207075,0,0,0,0.826634564456423,0,0,0,0,0,0,0,0,0,0.824414659549308,0,0,0,0,0,0,0
"Phospholipase C-mediated cascade; FGFR4",0.832773905338106,0.836613345069822,0.894062508858868,0.836972394521483,0.772759003725992,0.770281441980919,0.832058987914521,0.778002721098901,0.840630006618606,0.777796938395302,0.837140412523547,0.773611317057726,0.843418097687738,0,0,0.836198249316546,0,0,0,0.775782042223184,0,0.836443272493077,0.773894096345978,0,0,0.834452118070328,0
"O-linked glycosylation",0.907320887606825,0.908361931885177,0.908499192024421,0.908459286291917,0.892744885028363,0.90795956956301,0.892186198179278,0.909604528520232,0.876486391820693,0.909548731601636,0,0.892673494907323,0.877832204327714,0,0,0,0.877684439054095,0.87680355848907,0,0,0,0.909309423968417,0.908300133164021,0.909153738365915,0.909376966602579,0.908763495981079,0.910536301250238
"Initial triggering of complement",0.812073165223902,0.814017038940658,0.769360088562333,0.814908388446639,0.778118275930665,0.813014940980865,0,0,0,0,0,0,0,0,0.807977639322572,0,0.774065568214724,0,0,0,0,0.817025687170277,0,0.816637946529462,0.817193904550891,0,0
"FGFR2 ligand binding and activation",0.869477674188761,0.872557887798517,0.9186468248667,0.87284593737993,0,0,0.868750687370895,0,0.875780278676579,0.877396741245411,0.872980730832311,0,0.878017041500446,0,0,0.872463155154387,0,0,0,0,0,0.872659726470985,0,0,0,0.870670590427307,0
"Insulin processing",0.7766936476193,0.78004178432148,0.739264953246056,0.780306976636001,0.780775669850602,0.737085319105517,0.779565450082636,0.784136312244424,0.782496128787423,0,0.779918730240993,0.779687810928599,0.784537543712539,0.782365143490676,0,0.782799724832384,0,0.735622584214846,0,0,0,0.732393300743842,0,0.822164104156027,0.732577286123466,0.7813330052816,0
"Scavenging by Class A Receptors",0.503764691961776,0.468111056043984,0.508625943091848,0.469473954574208,0.430154650804513,0.430173299638494,0.430093572493567,0.430688603275138,0,0.473906119260002,0.429849430033479,0.472086146572972,0,0,0,0.431630373961473,0,0,0,0.430046153891017,0.476560957356378,0,0,0.472953105893022,0,0.470906971994649,0.475638079452261
"G beta:gamma signalling through PLC beta",0.845379160526927,0.899478185844314,0.853391371814258,0.853269105490896,0.90030364306515,0.89824539650046,0.853011326038149,0.85815252453188,0.856307684670142,0.857183305970237,0.853408687269733,0.850102314604129,0.860431090928828,0.853132861773013,0.850787879399663,0.854879626148106,0.855222391387385,0.852523480197284,0.854530102017834,0.801431512706992,0.855576326562171,0,0,0,0,0,0
"Presynaptic depolarization and calcium channel opening",0.80410205647426,0.810123589224418,0,0.810094821416468,0.811291768172508,0.809548491221315,0.812165976297871,0.750323584919082,0.747712785673913,0,0,0,0.75354818969514,0.815075018290838,0.80780801199406,0,0,0,0.821045927608708,0.741973391457538,0,0,0,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.830086959538554,0.763010392967368,0,0.769442452026234,0,0,0,0,0.773487726098325,0,0.763593323099975,0.773446051962269,0,0,0,0.773942336898961,0,0,0,0,0.77233955258292,0,0,0,0,0,0
"Metabolism of Angiotensinogen to Angiotensins",0.892756733178392,0.895518364175048,0.896573629330709,0.89577662115115,0.896233057049532,0.934717748436607,0.851838186475249,0.900004756424082,0.898407467224269,0.899856741106081,0.854280505963538,0.896846108713383,0,0.899470000555042,0.897439680690219,0,0.901585587928664,0.899248831343655,0,0,0,0,0.851639182096462,0,0,0,0
"Phospholipase C-mediated cascade: FGFR1",0.853494822379051,0.856858518702865,0.907189180087418,0.857173078483721,0.80088179349745,0.798711225415581,0.856059405650899,0.805475763993893,0.860377477360828,0.805295479740989,0.856287965476832,0.801628497032606,0.862820097205132,0,0,0.85708029609687,0,0,0,0.80353024853003,0,0.85647545173538,0.801876237254828,0,0,0.855340536099279,0
"Blood group systems biosynthesis",0,0,0,0,0,0,0.814167593001611,0,0,0,0,0.815664831082842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of the phototransduction cascade",0.666947385061372,0.778475550770492,0.69239556447578,0.673254716746808,0.779292517972874,0.776246250388419,0.778548793250777,0.682085591208987,0.678749496336706,0.681776446726286,0.673507127845625,0.675488446225948,0.686206010455486,0.680968701222605,0.676728179411702,0,0.68538731257353,0.680506767671623,0.684135419081962,0.703318820454499,0.68538731257353,0,0,0.78472337115319,0,0,0
"Specification of primordial germ cells",0.864002807513388,0.779635529809709,0.782009334983991,0.780216475501772,0.781243222089107,0.867814032330703,0.779714414310099,0.78972761053225,0.786134529355449,0,0.780488330350839,0.782622273793737,0.794165434215905,0,0.783957506197047,0.783353187570003,0.793283670338749,0,0,0,0,0,0,0,0,0,0
