"","C1orf50","SMARCD3","ADCY8","RUSC2","ALDH5A1","LRRK2","MAPK6","MAMLD1","JAK3","SUPT16H","SYNE1","RPGRIP1L","HDAC7","HDAC9","APC","MFGE8","KRT2","COL11A1","ARFGEF2","ATR","MMP19","OR1L3","MAP3K5","MYO1G","ZNF554","STK4","MYCT1","CYP1A2","MUC5B","TEC","CCNB3","MUC4","GABRA5","ADAMTS6","ZNF433","IRF5","CDK5R1","LAMA5","UGT2B4","DUSP4","DUSP6","MYH6","SATB1","OPRM1","ST6GALNAC2"
"Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function",0,0.787847436458904,0.785194344545609,0.719981420124153,0,0.70057151407587,0.785101483905905,0.793335369646162,0.70376176569681,0.880758240709693,0.870527437979289,0.791902614362354,0.792347914228332,0.788812550076326,0.787630698449603,0,0,0,0,0.865726317595696,0,0,0.708179212834989,0,0.720459958449899,0.708689761903656,0.719235830355748,0,0,0,0.797295139738794,0,0,0,0.720459958449899,0.789756716737747,0.789164585512252,0.707226178886865,0,0.711329999183035,0.711329999183035,0.701822015396238,0,0,0
"Impaired BRCA2 binding to PALB2",0,0.787847436458904,0.785194344545609,0,0,0.700591836220621,0.793189457345709,0.793335369646162,0.703610275858473,0.880758240709693,0.870527437979289,0.791902614362354,0.792347914228332,0.788812550076326,0.791216132039167,0,0,0,0,0.865726317595696,0,0,0.707893562212125,0,0.720485814262369,0.708708135109139,0.719261686168218,0,0,0,0.797295139738794,0,0,0,0.720485814262369,0.789756716737747,0.789378468642036,0,0,0.711355854995505,0.711355854995505,0.701842337540988,0,0,0
"Resolution of D-loop Structures through Holliday Junction Intermediates",0,0.811974110781899,0.809622737044772,0.751605652854636,0,0.739935577390907,0.808770803969655,0.816837938492866,0.737230549883416,0.888883011075823,0.885251475650568,0.815568120764654,0.815962779692512,0.812829468563504,0.811782020918613,0,0,0,0,0.880996354174304,0,0,0.741145630674176,0.743187509479827,0.752007068881109,0.741628422802372,0.750900828220587,0,0,0,0.820347390749011,0,0,0,0.752007068881109,0.813666261544557,0.813141469393338,0.740300978822885,0,0.743915398052231,0.743915398052231,0.74104386766469,0,0,0
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.867083176718051,0.885097072894839,0.85069972177305,0.849879314753219,0.867733640065693,0.867149683095497,0.867982543842387,0.884516014019298,0.868403195855834,0.86856567716447,0.867428307527511,0.867699345867016,0.868633529946766,0.867064202083515,0.868493150277635,0,0.868279510693924,0.868216174579005,0.866696411593138,0.851052945262771,0.886725958685824,0.867375656191836,0,0,0.866267000638948,0.850197730529771,0.867500722116926,0,0.867909996117102,0.848823810039465,0,0.886054518614951,0.849951118727953,0,0.866850429523172,0.868407806522456,0.86774930471883,0,0.865360429734376,0.868070774545673,0.866314302239002,0,0.884294280254661,0
"Muscle contraction",0.894433977551624,0.906504073660886,0.921408779227557,0.890061205254389,0,0.907514592031408,0.891054973619676,0.907536552789612,0.906235557277033,0.906785451186962,0.889195851490656,0.905308123679377,0.906845550820781,0.906869477029339,0.906492285432085,0.894455449525517,0,0.890516738458622,0.907380567845038,0.906249705215923,0.891230805708669,0.907543074376263,0.907091371409311,0,0,0.891851472256219,0.877154838152721,0.890806846610903,0,0.907843743716506,0.891241227313631,0,0,0.889578971070997,0,0.906518485884841,0.907484117861578,0.906179547253979,0.890939244165323,0.907380567845039,0.907380567845039,0.921899867035223,0.894556851694212,0.906041138382994,0
"Resolution of D-Loop Structures",0,0.811974110781899,0.809622737044772,0.751589226235943,0,0.739918236371613,0.808770803969655,0.816837938492866,0.737214123264723,0.888883011075823,0.885251475650568,0.815568120764654,0.815962779692512,0.812829468563504,0.811782020918613,0,0,0,0,0.880996354174304,0,0,0.741129204055482,0.743142821703621,0.751985744516567,0.741613009004965,0.750879626281022,0,0,0,0.820347390749011,0,0,0,0.751985744516567,0.813666261544557,0.813141469393338,0.740284552204191,0,0.743894073687689,0.743894073687689,0.741026526645396,0,0,0
"Classical antibody-mediated complement activation",0,0,0,0,0,0,0,0,0.469751696318161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neurexins and neuroligins",0,0.818793706190177,0.859732627074721,0,0,0.865492533987443,0.863198470488972,0,0.8614908532318,0,0,0.862150458777664,0,0.862299860507339,0.862176882363367,0.829025874866089,0,0,0.823225601011509,0,0,0.866668794209247,0.862577663701845,0,0,0.824732493810089,0,0,0,0.825113915083975,0,0,0.865677089631116,0,0,0.86186508057459,0.820455224798626,0.864443592630223,0,0,0,0.863217947268674,0,0.860971326945286,0
"GABA receptor activation",0,0.795482063812347,0.83507570713755,0,0,0.758220587055712,0.79902704341245,0.759320060660763,0.796706884021251,0.797711438217531,0.796576739989208,0.797007874413467,0.755942925655911,0.798194897569249,0.798111873181761,0.800536455065777,0,0,0.799534222610886,0.796428948120684,0,0.838469932212398,0.800571762265096,0,0,0.795527636722555,0,0.755650320497573,0,0.758143457239278,0,0,-0.0284443683542984,0,0,0.796046592867245,0.80002107762142,0.798836601840451,0,0.799556125390679,0.799556125390679,0,0,0.833365964870168,0
"Regulation of Complement cascade",0,0.760589973156628,0.802229675728439,0,0.762115895335302,0,0.715426467000954,0.764322699386816,0.76148557941027,0,0.806886128603727,0.715221556937988,0.762340347257101,0.760175867781115,0.714315430431103,0.766244835486679,0,0.72125450941887,0.764625921506416,0.711448621564415,0.769583460550918,0.765098193721911,0.719655347558422,0,0,0,0.770297755064343,0,0.763893253023051,0.721426626540543,0,0.763893253023051,0.71856053547177,0.763478538605014,0,0.761047103252009,0.717717485830067,0.763436139581199,0,0.673389947063335,0.673389947063335,0.762518424554193,0,0.80357683396254,0.767116891715382
"Transcription of E2F targets under negative control by DREAM complex",0,0.769144438000689,0.761573495607712,0.777287046651508,0,0.768103835188888,0.769968387609182,0.85134663540339,0.846055625783996,0.769485286924324,0.769271709359622,0.767251772197221,0.769084764855936,0.769214439871675,0.76789639022198,0,0,0.76889751794045,0,0.846132304635716,0,0,0.771143310156523,0,0.781445338063781,0.68132597437594,0.862489652733484,0,0,0.774446608646015,0.7729139397341,0,0,0,0.781445338063781,0.768038391162715,0.771906486797409,0.768777195215279,0.768571806656183,0.776397970861426,0.776397970861426,0,0,0,0
"Initial triggering of complement",0,0.751120416599208,0.809034769779567,0,0,0,0,0,0.749036261391043,0,0.815891719672801,0,0.752151457895799,0,0,0.759078149765748,0,0,0.756633305823602,0,0.759040128533514,0.757328759424089,0,0,0,0,0,0,0,0,0,0,0,0.753827523615902,0,0.750247066381455,0,0,0,0,0,0.75241368906961,0,0.811018553736345,0
"Inwardly rectifying K+ channels",0,0.844809058450702,0.89763696456265,0,0,0,0.845613447565473,0.790320953775962,0.843362643237168,0,0.846419729397219,0.844109667184381,0.78944634657934,0.789530619908105,0.844266895833696,0.852245925458783,0,0,0.849615285639305,0,0,0.906779502179125,0.846377007404205,0,0,0.844630986635664,0,0,0,0.78634261197252,0,0,0.792400290701068,0,0,0.84435917954691,0.791387517451753,0.84572667899204,0,0.849791911552149,0.849791911552149,0,0,0.89926969052535,0
"Presynaptic phase of homologous DNA pairing and strand exchange",0,0.827529623185131,0.822904887127008,0.776830568456968,0,0.831966323152844,0.825465405953467,0.832428887196022,0.765722482421408,0.897519334078503,0.889902019369124,0.831362133375632,0.831693680108434,0.832753842388423,0.829882803981325,0,0,0.765323753279271,0,0.890373226757091,0,0,0.769011479966397,0,0.77796549745044,0.769272619097897,0.777054076403288,0,0,0.83549571263027,0.834408911657236,0,0,0,0.77796549745044,0.829764411479172,0.827468085797679,0.76830190128495,0,0.770714578194344,0.770714578194344,0.764203602008123,0,0,0
"Potassium Channels",0,0.906605453065551,0.933348947151861,0,0,0,0.907012665410639,0.883713220118601,0.905873222705568,0,0.907420835921004,0.905783752120072,0.876460030605462,0.87650269296775,0.906330989740978,0.910370277823697,0,0,0.909038547955276,0.879581499973867,0,0.937977247205283,0.907399208424258,0,0,0.906515306344188,0,0,0,0.879126228871657,0,0,0.877955429400624,0,0,0.906377707264352,0.877442725085854,0.907069987462745,0,0.909127962705988,0.909127962705988,0,0,0.934175495094828,0
"GABA B receptor activation",0,0.859023520812219,0.907612411127822,0,0,0.813296640053736,0.860762422827035,0.814645902155282,0.860630463272785,0.861759384939604,0.86036689556184,0.860895979058389,0.810501518649476,0.862352681020486,0.859639335830625,0.865226215022699,0,0,0.86410014257177,0.860185526981277,0,0.911777767382452,0.862658085074715,0,0,0.859079447394104,0,0.810142436767884,0,0.813201987178273,0,0,0.81638016620666,0,0,0.859716304754912,0.815535466044182,0.860528714992235,0,0.864023165061743,0.864023165061743,0,0,0.905514233932674,0
"Activation of GABAB receptors",0,0.859023520812219,0.907612411127822,0,0,0.813296640053736,0.860762422827035,0.814645902155282,0.860630463272785,0.861759384939604,0.86036689556184,0.860895979058389,0.810501518649476,0.862352681020486,0.859639335830625,0.865226215022699,0,0,0.86410014257177,0.860185526981277,0,0.911777767382452,0.862658085074715,0,0,0.859079447394104,0,0.810142436767884,0,0.813201987178273,0,0,0.81638016620666,0,0,0.859716304754912,0.815535466044182,0.860528714992235,0,0.864023165061743,0.864023165061743,0,0,0.905514233932674,0
"Transmission across Chemical Synapses",0,0.867001734931057,0.882527677646255,0.852990272773313,0.852242713555981,0.867498851722875,0.868279747880902,0.867831232793796,0.882028715641852,0.867945718928046,0.868331976149536,0.867355303633734,0.8675880474035,0.868390242121684,0.866927001094117,0.868269696469539,0,0.868086241677959,0.86803185422054,0.866658212584157,0.853899188523141,0.883926420791614,0.867310091320338,0,0,0.86635807592199,0.852559207062965,0.867417486882632,0,0.867768935219581,0.868435771803014,0,0.884513549687833,0.852300357943699,0,0.866859073080373,0.868196410795849,0.867630947649737,0.852838216509871,0.867876776808795,0.867876776808795,0.8663516136542,0,0.881838310283111,0
"Phase 4 - resting membrane potential",0,0,0.761007156279314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776704842554989,0,0,0.777753259657588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763997769925848,0
"Regulation of FZD by ubiquitination",0,0.747967923995974,0.757102916583474,0.758923037945757,0.751814775252478,0.825454153540105,0.811531209025876,0.75159954542085,0.758662689544199,0.748801146437119,0.749854577445229,0.749179738066725,0.750575077519559,0.750673790771163,0.818215742228773,0,0,0,0.766874064723444,0.746017043218144,0,0.767544523984256,0.764870689450392,0.755808012757864,0,0.752774315991336,0,0,0,0,0.751876814683318,0,0.762260182471969,0,0,0.745690716954769,0.766491058146281,0.764108929672821,0,0,0,0.749214716742357,0,0.759015404094271,0
"Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)",0,0.787847436458904,0.785194344545609,0.719903334751755,0,0.700511130403023,0.784642479188474,0.793335369646162,0.703683680324412,0.880758240709693,0.870527437979289,0.791902614362354,0.792347914228332,0.788812550076326,0.787630698449603,0,0,0,0,0.865726317595696,0,0,0.708101127462592,0.710719357471566,0.720383343250884,0.708635116656421,0.719159215156733,0,0,0,0.797295139738794,0,0,0,0.720383343250884,0.789756716737747,0.789164585512252,0.707148093514467,0,0.71125338398402,0.71125338398402,0.70176163172339,0,0,0
"Molecules associated with elastic fibres",0,0.559595590947182,0.626496664001939,0,0,0.563533851880697,0.614431301417919,0.704296586626822,0.626338333437443,0.560893764402947,0,0.560201905434414,0.703223998687055,0.703327348575355,0.701188640841888,0.633143618756659,0,0.623461523517865,0.617465180065621,0.557126376017543,0.619894489789457,0.565435238703812,0.562215194864089,0,0,0.562778120987591,0.570163043791623,0,0,0.564847895758435,0,0,0,0.611779215072236,0,0.559740600746157,0.562458453966035,0.629237504916535,0,0.565314881566932,0.565314881566932,0.615079976116854,0,0.628498982509381,0
"Homologous DNA Pairing and Strand Exchange",0,0.827529623185131,0.822904887127008,0.776787066133682,0,0.831966323152844,0.825206831350172,0.832428887196022,0.765678980098122,0.897519334078503,0.889902019369124,0.831362133375632,0.831693680108434,0.832753842388423,0.829882803981325,0,0,0.765323753279271,0,0.890373226757091,0,0,0.768967977643111,0.770960340140762,0.77792977177394,0.769246560780259,0.777018350726788,0,0,0.83549571263027,0.834408911657236,0,0,0,0.77792977177394,0.829764411479172,0.827468085797679,0.768258398961663,0,0.770678852517843,0.770678852517843,0.76417439817581,0,0,0
"Phase 0 - rapid depolarisation",0,0.830548944273583,0.887497047222849,0,0,0,0.762701197994787,0.832523566678956,0.82858332453787,0.833130381071244,0.758491701902065,0.830156306436566,0.831521345519409,0.831617915172163,0.831947121505534,0,0,0,0.772574780860264,0.83096803252106,0,0.833469153274881,0.832037514673114,0,0,0,0,0,0,0.834497498088221,0,0,0,0,0,0.832052870338178,0.835950301243465,0.762830951022283,0,0,0,0.831292663958512,0,0.827322623200096,0
"Cell Cycle Checkpoints",0,0.900096887015759,0.89865679818833,0.900910496925368,0.877758965580325,0.900257385871187,0.899496014324252,0.900323652086302,0.899484358189995,0.918636981679095,0.919133036559425,0.918435527973303,0.900399907881115,0.900430001034399,0.918268252886242,0.881926258900641,0,0.900356454251303,0.901171494590079,0.917687032158464,0,0.900124847965097,0.900560757144006,0.879608764585124,0.902616745136711,0.899629862143962,0.90184804508098,0.878669716911,0.880661636825798,0.901327340184091,0.919749524155511,0.880661636825798,0.90045459763657,0,0.902616745136711,0.918301206466789,0.919515728651591,0.899454869159936,0,0.901780184873771,0.901780184873771,0.900476977070753,0.903825169129933,0.897230221071936,0.882056779417024
"Diseases of DNA repair",0,0.817140372944501,0.812214174324654,0.760398087282168,0,0.816914806259661,0.814932072761978,0.82262520328399,0.747962348533229,0.895495343998673,0.886967598049369,0.821430949676545,0.821802123300786,0.819190314688974,0.817870152485873,0,0,0.747499577552463,0,0.8874951247497,0,0,0.751644451290125,0,0.761652279227644,0.751920416886785,0.760631923966046,0,0,0,0.824841882812521,0,0,0,0.761652279227644,0.819642266006446,0.817162435188227,0.750850062853085,0,0.753534720786902,0.753534720786902,0.746245544362342,0,0,0
"Diseases of DNA Double-Strand Break Repair",0,0.817140372944501,0.812214174324654,0.760398087282168,0,0.816914806259661,0.814932072761978,0.82262520328399,0.747962348533229,0.895495343998673,0.886967598049369,0.821430949676545,0.821802123300786,0.819190314688974,0.817870152485873,0,0,0.747499577552463,0,0.8874951247497,0,0,0.751644451290125,0,0.761652279227644,0.751920416886785,0.760631923966046,0,0,0,0.824841882812521,0,0,0,0.761652279227644,0.819642266006446,0.817162435188227,0.750850062853085,0,0.753534720786902,0.753534720786902,0.746245544362342,0,0,0
"Defective homologous recombination repair (HRR) due to BRCA2 loss of function",0,0.817140372944501,0.812214174324654,0.760761162987645,0,0.816914806259661,0.814932072761978,0.82262520328399,0.748325424238706,0.895495343998673,0.886967598049369,0.821430949676545,0.821802123300786,0.819190314688974,0.817870152485873,0,0,0.747499577552463,0,0.8874951247497,0,0,0.752007526995602,0,0.761672451137893,0.751935094194185,0.760652095876296,0,0,0,0.824841882812521,0,0,0,0.761672451137893,0.819642266006446,0.817162435188227,0.751213138558562,0,0.753554892697151,0.753554892697151,0.746262006441425,0,0,0
"LGI-ADAM interactions",0,0,0.632639253981138,0,0,0,0,0,0,0,0.644359353921045,0.639578159571327,0,0.641976557304032,0.638697325080386,0,0,0,0,0,0,0.649830499859756,0.642665090744764,0,0,0,0,0,0,0,0,0,0.555618104322972,0,0,0,0,0,0,0,0,0,0,0.546551901834765,0
"Regulation of IGF Activity by IGFBP",0,0.804948667320677,0.828669100409872,0,0.754998079681869,0.780294665846316,0.77821614847114,0.781142408685276,0.805600112116139,0.78044087805599,0.831305547566081,0.778789976164233,0.777626767190759,0.80683725186867,0.805308738739849,0.807460662451192,0.781025809840207,0.779884042741189,0.807378149220917,0.78070230433298,0.80813809826769,0.807645546051261,0.806059397605574,0,0,0.779340873651535,0.759252494121466,0,0.754307591106164,0.8072973907414,0.755058756348357,0.754307591106164,0.777685800717768,0.805030678624102,0,0.80606565779219,0.781590501107151,0.805396076306903,0.754285683686093,0.807654717158573,0.807654717158573,0.804612699214793,0.780826025625102,0.829431850853264,0
"Cell Cycle",0,0.909966057131103,0.909232667974424,0.899371103350105,0.888187950733405,0.898854388406493,0.900046455848838,0.908757231637848,0.918099020393205,0.906961950464689,0.908346444537613,0.908381551499383,0.898066128142193,0.908613506297735,0.909818558563408,0.88925689483615,0,0.899174482895024,0.899166349516584,0.908588561507406,0.88935236420148,0.899356101450061,0.899278527536808,0.889150086623791,0.900105811355127,0.899577495599182,0.910074151650075,0.898575725757054,0.888919580106692,0.899495678833471,0.910572920562675,0.888919580106692,0.899224464044231,0,0.900105811355127,0.908313146040976,0.908931661638011,0.900460787089904,0.898974618432049,0.901260365258709,0.899738170577994,0.899235861142833,0.900571596670515,0.898236435591437,0.889630079645983
"Activation of G protein gated Potassium channels",0,0.818529873923372,0.883825153700423,0,0,0,0.819524098683808,0.751182589105399,0.816742105052854,0,0.820520662841992,0.817952459501163,0.75010157481198,0.750205736626907,0.817859761053725,0.827721839831094,0,0,0.824470369620605,0,0,0.895125328086948,0.820467858468473,0,0,0.818309777201028,0,0,0,0.746265359553389,0,0,0.753752649065524,0,0,0.817973823701985,0.752500861562824,0.819664052700944,0,0.824688679208166,0.824688679208166,0,0,0.885843202613963,0
"G protein gated Potassium channels",0,0.818529873923372,0.883825153700423,0,0,0,0.819524098683808,0.751182589105399,0.816742105052854,0,0.820520662841992,0.817952459501163,0.75010157481198,0.750205736626907,0.817859761053725,0.827721839831094,0,0,0.824470369620605,0,0,0.895125328086948,0.820467858468473,0,0,0.818309777201028,0,0,0,0.746265359553389,0,0,0.753752649065524,0,0,0.817973823701985,0.752500861562824,0.819664052700944,0,0.824688679208166,0.824688679208166,0,0,0.885843202613963,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0,0.818529873923372,0.883825153700423,0,0,0,0.819524098683808,0.751182589105399,0.816742105052854,0,0.820520662841992,0.817952459501163,0.75010157481198,0.750205736626907,0.817859761053725,0.827721839831094,0,0,0.824470369620605,0,0,0.895125328086948,0.820467858468473,0,0,0.818309777201028,0,0,0,0.746265359553389,0,0,0.753752649065524,0,0,0.817973823701985,0.752500861562824,0.819664052700944,0,0.824688679208166,0.824688679208166,0,0,0.885843202613963,0
"Arachidonic acid metabolism",0,0.664297128152259,0.665311928311688,0,0,0.611796697069329,0.608010429111961,0.612520039757495,0.667712098793723,0.613131884169848,0.555424677164585,0.669133750959617,0.611614237927636,0.611701517034987,0.612062460849847,0,0,0,0.674187754323643,0.611177565749315,0,0,0.669251518871134,0,0,0,0,0.840681907797808,0,0.67305729548308,0,0,0,0,0,0.6099909509309,0.672266654649359,0.554428396223489,0.670685656866317,0.673451665570763,0.673451665570763,0.617722243402181,0,0.667002888745567,0
"TP53 Regulates Transcription of Cell Cycle Genes",0,0.816288146936681,0.811610835469896,0.818930697095548,0.748133762695045,0.820416197766827,0.816909186187945,0.816514577506864,0.814298694587693,0.87650512502331,0.815800382922101,0.81411861486754,0.816243169228389,0.81634090976234,0.875307518752019,0.757271171301054,0,0.817131203826013,0.819778399922418,0.874316558575623,0,0.818607624736212,0.817794765853948,0,0.825559759771136,0.8160947230909,0.822760708078075,0.751020342326745,0,0.816682773588976,0.81838638591978,0,0,0,0.825559759771136,0.875414549760959,0.879359235972978,0.817040512436175,0.815856534933015,0.821755384945429,0.821755384945429,0.747029799766403,0.828397356002045,0.748374693000704,0
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0,0.500969251615484,0,0,0,0,0.398517994926176,0.401424661405857,0.394034668973015,0.397892629214413,0.400659664843224,0,0.399682551221456,0.399850413348457,0.395835829155287,0,0,0,0,0.394133928456981,0,0,0.400038912403867,0,0,0,0,0.622791628228752,0,0,0,0,0,0,0,0.396560516449612,0.402794353354271,0.398743538029616,0.505211872642318,0.406840982313502,0.406840982313502,0.525234983061448,0,0,0
"L1CAM interactions",0,0.751931124938913,0.78560073637502,0,0,0.75112349082673,0.751564230867273,0.790514667238607,0.785610740512409,0.777723215149643,0.71850462487962,0.788361747984026,0.788773880450834,0.786385243688033,0.777818856135935,0.792259677422595,0,0.788239962992625,0.789269052023405,0.786621639447758,0.792170359246635,0.789891027594941,0.788397589348216,0,0,0.752903219891666,0.756896794092831,0.718317474570848,0,0.788240338733074,0.721885845183017,0,0.789585227261202,0.752747299600943,0,0.819810360023637,0.789226300336359,0.818122364717101,0,0.750016704548695,0.75503113959218,0.788092721551403,0,0.753853943648528,0
"Cell Cycle, Mitotic",0,0.897917878910682,0.897322679301234,0.886927271052581,0.873357617617287,0.886373255084808,0.886104203439315,0.898311768183892,0.909576824126626,0.89982715581212,0.885103578498592,0.897856002190725,0.889034960854962,0.89813740410213,0.897752654649155,0.874654434565393,0,0.886686210825748,0.886676343609137,0.897722724994741,0.874770255673968,0.886906546032852,0.88681243525084,0.874666186013749,0.888028252238213,0.887175136021846,0.899909423465181,0.88595981325049,0.874245212551927,0.886837921949973,0.898667828251913,0.874245212551927,0.886746846738525,0,0.888028252238213,0.897773014354807,0.898523382411323,0.886331859606235,0.886443740127565,0.887565834099453,0.887565834099453,0.886760673420938,0.888381155227268,0.885548194685998,0.875107173286643
