"","PIK3CA","DVL3","AR","IRF5","APC","CHRNA1","KRAS","PPARGC1A","DSCAM","TACR2","NTSR2","CCR7","NPW","RXFP3","SPHK1","LAMC3","SMPD1","GRIN2A","TFAP2C","CASP9","OBSCN","APOA4","EPHA4","COL18A1","MAP3K2","GRIN3B","INHBA","AXIN2","BNIP2","KCNJ12","GMIP","CACNA1H","POU4F2","PLXNB2","STRADB","SHANK1","PREX2","AP4M1","SOD3","HOMER3","F7","PRKX","NEFH","RHPN2","EFCAB6","CHP2","NSMAF","KIF19","COL4A3","COL4A5","COG4","SMARCA2","NOTCH3","MCFD2"
"Classical antibody-mediated complement activation",0.654896093507312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Initial triggering of complement",0.873351231063463,0,0.877178936021561,0.876370103139173,0,0.878096146510726,0.875411793605297,0,0.880325723949279,0.875796595658551,0.875782626045229,0.915104718551085,0.915356171218789,0.915345550666402,0.877900142853637,0,0,0.878015517451091,0.879605858232558,0,0.879362499985757,0.878139123995337,0,0.877152535081994,0,0,0.879786292090437,0.877152535081994,0,0.87952141110991,0,0,0.883204538800065,0,0,0,0,0.87883195484193,0,0,0.880209211653967,0,0,0,0,0,0,0,0.87692858866168,0.87692858866168,0.874699711900002,0,0,0.877686912053388
"Blood group systems biosynthesis",0,0.877121882193656,0,0,0.877121882193656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8777584995748,0.875130526689723,0,0,0.920301887731059,0
"Glucagon-type ligand receptors",0.931982016059561,0.91127287234621,0.934111686880958,0.911312765984757,0.91127287234621,0.912273107558913,0.910779578637638,0.911263101492772,0.913513607040171,0.933342575894462,0.933334803435977,0.932864056150494,0.933003960196191,0.932998051099024,0.91178045251194,0.912008408884887,0.912123150207252,0.911844645002327,0.912729483932036,0.910384502323106,0.912977685386846,0.910448994012901,0.912368422234955,0.911748097990906,0.912452558961578,0.910997710736551,0.910428293409078,0.911748097990906,0.913383558129876,0.935415000720483,0.913267305827944,0.91000777511125,0.914731729424844,0.91294029538491,0.911151930731942,0.910735560902349,0.915753358226267,0.910834473472344,0.911545924984241,0.910876688189272,0.911600756056366,0.88949881647273,0.912505471590994,0.912325901666577,0.91511533132536,0.914838406354903,0.913584945866919,0.882840773493945,0,0,0,0,0,0
"Lewis blood group biosynthesis",0,0.869333082095928,0,0,0.869333082095928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870048292557287,0.867095885420373,0,0,0.917843840043484,0
"Activation of Matrix Metalloproteinases",0.909060610927631,0.909959785777075,0.911016175887666,0.90999641801192,0.909959785777075,0.910678475658674,0.910113347214488,0.910557340879319,0.888631360623766,0.910309941628146,0.910302804587382,0.909518300562163,0.90964676710581,0.909641341091964,0.889335837476406,0.910635190382994,0.888374399768047,0.911443583263029,0.912256084419936,0.888720328597796,0.888968623643801,0.911252447870975,0.911572298914756,0.931485021249771,0.889600756064483,0,0.889185137977932,0.91039616054896,0.912504444937435,0,0,0,0.890102139983789,0,0,0,0,0.889049810942602,0,0,0.892044799999348,0,0,0,0,0,0.889716690014058,0,0.910281746878814,0.910281746878814,0,0.911086253298884,0.89040392189994,0.910669172416946
"Recycling of bile acids and salts",0.835815390509937,0.790829499286316,0.841328417683055,0.83913413558611,0.840360417108837,0,0,0.884499305732994,0.843482679266505,0.838503660004592,0.838488302750536,0.837558174185226,0.837834604349176,0.837822928827638,0,0,0,0,0.843996412860064,0,0,0.841836820113979,0,0.791010534555875,0,0,0.79444708818898,0.839994288680562,0.794999909186331,0,0,0,0.797663700717481,0,0,0,0,0.841669024965271,0,0,0.844112535365248,0,0,0,0,0,0,0,0,0,0,0.841479207995632,0.840581746810009,0
"Activation of the phototransduction cascade",0.821822849183275,0.826512744702764,0.827400367238398,0.746244438399616,0.826512744702764,0.81291161192734,0.752940530591732,0.746102392107972,0.752539102815203,0.824762716531064,0.824740486385128,0.824345587642675,0.82474572967741,0.824728828964124,0.748679223483279,0.748234058957917,0.748562232642749,0.831756659199413,0.75139356502769,0.749639716802279,0.751006303818916,0.750156665888749,0.749263739505829,0,0.75139356502769,0.75139356502769,0.751680693303904,0,0.752167147627476,0.830690095418443,0.751834652363267,0.831456070282142,0,0.751996510591405,0.751834652363267,0.751130239975401,0.760042201361641,0.75125918250635,0.752961522290466,0.751533880623996,0.753450840873527,0.756328184758999,0.755705938506151,0.755192347390357,0,0,0,0.829501717964957,0,0,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.924103351839024,0.894802729587299,0.927023409965893,0.895237129469513,0.895182430056684,0.896553883772576,0.895032028195353,0.895169032934602,0.898254771325353,0.925968857889572,0.925958200829178,0.925312744534776,0.925504571338014,0.925496469190475,0.896404357600094,0.896190947159794,0.896348272567783,0.895814370607265,0.897705604197955,0.894490326730792,0.897519952421214,0.894302874902611,0.897210541236925,0.895834026769166,0.897027600878211,0.89678138695075,0.895309367135738,0.895834026769166,0.898076457205827,0.928810424245626,0.897917060046597,0.92553295146604,0.900450945480053,0.897614953890697,0.894986066987758,0.895204878741408,0.901472032143716,0.894831417819656,0.895849584951001,0.895398382768867,0.895882091785073,0.899691544541285,0.897316651040337,0.897070437112876,0.900071245010669,0.899691544541285,0.898878554754485,0.856722239697716,0.894985180458182,0.894985180458182,0.894095708713489,0.895859579081296,0,0
"Inwardly rectifying K+ channels",0.926643058098511,0.89957464734468,0.929376073781691,0.900118120983137,0.900066925305987,0.901350531436906,0.899433879377764,0.897339716410363,0.902942469732343,0.928389070359809,0.928379095930558,0.927774983923617,0.927954523384452,0.927946940214758,0.900718305105846,0.901010842495235,0.901158090525485,0.900800683603597,0.902428479151794,0.898926876251825,0.902254719180109,0.899009638713458,0.901472849168756,0.90067678441048,0.901936201190488,0.899366710977052,0.899842640627643,0.90067678441048,0.902775577408963,0.78883578168554,0.902626390332165,0.898443420607911,0.90499796936523,0.902206736430539,0.899564622157423,0.899595658093355,0.905816752018844,0.899504326154172,0.900417334925434,0.899776767344892,0.900487699875048,0.867432062156753,0.901648725194131,0.901418282341307,0.90499796936523,0.904642590365002,0.903034019154142,0.863562943249866,0,0,0,0,0,0
"Ion transport by P-type ATPases",0.873216886495801,0.873612273048144,0.875962073814659,0.875381987889513,0.875330564209598,0.874901595789574,0.903502867752083,0.874186098675364,0.878218915031231,0.873838804005591,0.873828785154671,0.873221982701677,0.873170852608632,0.873163235666874,0.875347444600357,0.87627868518597,0.875294718280267,0.905370229464004,0.876570764652203,0.876912197733639,0.877528101544081,0.876013309558943,0.876742749431625,0,0.877702635365358,0.87614193816214,0.877832040516478,0,0.878051279443708,0.846640264099322,0.877901427954057,0.875063249137523,0,0.877974375448983,0.875753212721348,0.876452087318733,0.881600468440284,0,-0.0233214496903095,0.876634003150284,0,0,0,0,0.878550679161574,0.87819371746142,0,0,0,0,0.844548666695419,0.875314160848387,0.905134557336566,0.87519451784784
"Cytosolic sulfonation of small molecules",0,0,0.758121852818977,0.756737753684585,0,0,0,0.826060119891361,0,0,0,0,0,0,0,0,0,0,0.762274875037315,0.829863987520018,0,0,0,0,0,0,0,0.758076674737821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.827168566801721,0.827168566801721,0,0.758356574202223,0.758991116669711,0
"G beta:gamma signalling through BTK",0.896645793552751,0.850743614215442,0.901220339125995,0.852248121629946,0.851338450696743,0.854310941035047,0.851102832041542,0.847597603735999,0.856975541288565,0.899568284158973,0.899551588871984,0.89854042090683,0.898840935627926,0.898828242852115,0.854076694228752,0.853742366711099,0.853988831753029,0.854214580079365,0.856115219355759,0.850254205771427,0.855000399233529,0.850642444939162,0.854515677525294,0.853183217364747,0.855291240195098,0.851571381085572,0.851787020199574,0.853183217364747,0.855872216296181,0.904019864994146,0.855622505661166,0.849444993482842,0.860416054566368,0.855149227966655,0.851902646551641,0.851373618671786,0.861191703657685,0.851470457107546,0.852748948545652,0.851676760922302,0.853116436649254,0.797566277747914,0.854810060356051,0.854424343091873,0.860416054566368,0.859821218085069,0.857128777512124,0.791090112654247,0,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 12",0.905075141149348,0.865466142429737,0.908982735030188,0.865938526684992,0.86586532845346,0.86770059471024,0.865468327589024,0.862964690819526,0.869976706179416,0.907571543519122,0.907557282342742,0.906693538897656,0.906950239692622,0.90693939747621,0.867500500215118,0.867214916403293,0.86793355930049,0.866889615674106,0.869241815977459,0.865447273936251,0.868993378543942,0.865282637329335,0.86908743899356,0.866737288947342,0.868513148828866,0.86635910624427,0.866756609734527,0.866737288947342,0.869738087928663,0.911374100462336,0.869524784173407,0.864756041782904,0.872915605446248,0.869229434118485,0.866642074440218,0.866403480608485,0.874390939377827,0.865989928410085,0.867364988758197,0.866662425848876,0.867395930270201,0.820441049417903,0.869125598149684,0.868796117024815,0.872516419422525,0.872008307882874,0.871319558742959,0.8149090850542,0,0,0.866682008619174,0,0,0
"Adenylate cyclase inhibitory pathway",0.897501595067909,0.844614978231901,0.902841397044377,0.844715005019057,0.844614978231901,0.847122904767806,0.844339943927274,0.843896135248422,0.850233254740806,0.844876758229057,0.844857270058039,0.899713166627968,0.900063953187195,0.900049137090541,0.846849471802889,0.846459216047216,0.847708730338237,0.845770584474788,0.848534669023099,0.846997149015217,0.84888951866906,0.84430748749131,0.847361890760572,0.84511218480561,0.848534669023099,0.845789248988695,0.846507081494443,0.84511218480561,0.849907178325025,0.849111206062452,0.849615694652812,0.843117813168928,0.85355497278669,0.849757588495504,0.84617593045511,0.784117386768215,0.856810884417713,0.845274014317305,0.847386788550161,0.784471240405159,0.847195342822904,0.850581328624346,0.852315133266541,0.852559235154046,0.85355497278669,0.852860628623393,0,0,0,0,0.845036643177022,0.843147043245936,0,0
"Other semaphorin interactions",0.730819127557054,0.631345065105079,0.632560668814715,0.631433937854093,0.630728147614185,0.684556570840298,0.631471918197451,0,0.636677926698919,0.629621503290966,0.629604188255855,0,0,0,0.633330389156324,0.682124188507729,0.633239265125147,0.683817959816651,0.529937433456285,0.633461598807255,0.635142949354151,0.63448116734723,0.635011452403639,0.682129056272564,0.633942966753024,0.635444586664406,0.579547662008496,0.631786827919723,0.529068492354686,0,0.635788149082939,0.573894281143083,0,0.635297302779843,0.579667580542817,0.63523948308394,0.639538947978494,0,0,0,0,0.639288156299461,0,0.532896300670852,0,0,0,0,0.682768326041341,0.682768326041341,0.631719709976733,0.576485913704745,0,0.576945525627656
"Heme degradation",0.769043335693334,0.772026960968555,0.732630936279043,0.772099549608789,0,0.773846943217569,0,0.772009182370492,0.735816648297468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735580017247855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737831330921147,0,0,0,0,0,0,0,0,0,0,0
"Activation of G protein gated Potassium channels",0.91707159273837,0.884403402910219,0.920370001202518,0.885059307689748,0.884997520903862,0.886546673128971,0.884233513561828,0.88170612050679,0.888467943753353,0.919178811389406,0.919166773499514,0.918437685785437,0.918654367482842,0.918645215544469,0.88578365493831,0.886136711017417,0.886314420992627,0.885883075492652,0.887847621341078,0.883621624134248,0.887637914764982,0.883721508085022,0.886694295348826,0.885733544646638,0.887253503347434,0.884307933089798,0.884726837319431,0.885733544646638,0.888266525570711,0.751235398865737,0.888086475408584,0.88303815357543,0.890948674994264,0.88758000558126,0.884546787157304,0.884428760258767,0.89193684335773,0.884318534019268,0.885420421534039,0.884647336497419,0.885505343236764,0.845611318512056,0.886906555737343,0.886628440005723,0.890948674994264,0.890519776942362,0.888578432467196,0.840941775402659,0,0,0,0,0,0
"G protein gated Potassium channels",0.91707159273837,0.884403402910219,0.920370001202518,0.885059307689748,0.884997520903862,0.886546673128971,0.884233513561828,0.88170612050679,0.888467943753353,0.919178811389406,0.919166773499514,0.918437685785437,0.918654367482842,0.918645215544469,0.88578365493831,0.886136711017417,0.886314420992627,0.885883075492652,0.887847621341078,0.883621624134248,0.887637914764982,0.883721508085022,0.886694295348826,0.885733544646638,0.887253503347434,0.884307933089798,0.884726837319431,0.885733544646638,0.888266525570711,0.751235398865737,0.888086475408584,0.88303815357543,0.890948674994264,0.88758000558126,0.884546787157304,0.884428760258767,0.89193684335773,0.884318534019268,0.885420421534039,0.884647336497419,0.885505343236764,0.845611318512056,0.886906555737343,0.886628440005723,0.890948674994264,0.890519776942362,0.888578432467196,0.840941775402659,0,0,0,0,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.91707159273837,0.884403402910219,0.920370001202518,0.885059307689748,0.884997520903862,0.886546673128971,0.884233513561828,0.88170612050679,0.888467943753353,0.919178811389406,0.919166773499514,0.918437685785437,0.918654367482842,0.918645215544469,0.88578365493831,0.886136711017417,0.886314420992627,0.885883075492652,0.887847621341078,0.883621624134248,0.887637914764982,0.883721508085022,0.886694295348826,0.885733544646638,0.887253503347434,0.884307933089798,0.884726837319431,0.885733544646638,0.888266525570711,0.751235398865737,0.888086475408584,0.88303815357543,0.890948674994264,0.88758000558126,0.884546787157304,0.884428760258767,0.89193684335773,0.884318534019268,0.885420421534039,0.884647336497419,0.885505343236764,0.845611318512056,0.886906555737343,0.886628440005723,0.890948674994264,0.890519776942362,0.888578432467196,0.840941775402659,0,0,0,0,0,0
"CD22 mediated BCR regulation",0.880989362029512,0.720325052860783,0.8108963945127,0.722918248011958,0.720325052860783,0.812609531408319,0.807595781503062,0.810148591267373,0.727847159195335,0.808314502672005,0.808288410667735,0.720240686551333,0.71825106901389,0.718231232280273,0.812243441944012,0.725253508799304,0.812106127257939,0.811728591069141,0,0.813370793777512,0.726048079779925,0.72751011423913,0.812929501072896,0.724379649778936,0.72650261665709,0.721643749150205,0,0,0.727410587326933,0,0.727020330426316,0,0,0.727210306938019,0,0,0.736653708638135,0,0.728342962092162,0,0,0,0.731564142907724,0.730961329879662,0,0,0,0,0.723961369700574,0.723961369700574,0,0,0,0.722918469354943
"G-protein activation",0.916031682112131,0.872706127363818,0.920406132525437,0.873576008388285,0.873494064858854,0.875548598026914,0.872480814902259,0.869128908758925,0.877308708527829,0.91882634008101,0.918810375062431,0.917843436586845,0.918130806496022,0.918118668914812,0.87352096372722,0.875004893707749,0.875240578124326,0.873652818313987,0.875101476135045,0.871669308386778,0.876995836135096,0.871295889868346,0.875744379140041,0.872297722818778,0.876486017929544,0.872928869146443,0.873012529632454,0.872297722818778,0.877829519054849,0.923083204355831,0.877590731010647,0.87089549184619,0.879214188548415,0.876919035200518,0.872790851520408,0.872284963844654,0.882697207012514,0.872087683963347,0.874054928638029,0.872574846352508,0.873661666727587,0.824987167373156,0.876025885373841,0.875657039765313,0.88138666783795,0.88081785009424,0.878243179542043,0.818794276163083,0,0,0,0,0.822299613315243,0
"Thromboxane signalling through TP receptor",0.893734072502217,0.849392821567934,0.898108522915523,0.851278398778373,0.850408517753906,0.853250988417002,0.850183205292347,0.846831299149014,0.853995402731945,0.896528730471096,0.896512765452517,0.895545826976931,0.895833196886107,0.895821059304898,0.851223354117308,0.852707284097837,0.852942968514414,0.851355208704075,0.852489377993288,0.849371698776866,0.853910289030149,0.849187392348119,0.853446769530129,0.849685624677021,0.853619590575921,0.850631259536532,0.850837466381839,0.849685624677021,0.854743971949901,0.900785594745917,0.8545051839057,0.848597882236278,0.856602090406658,0.853605729404634,0.850493241910497,0.849790074353435,0.85938390121663,0.84997918644312,0.851757319028117,0.850079956861288,0.85155316920736,0.798985365617625,0.85372827576393,0.853236883796106,0.859089058228038,0.858520240484328,0.855945569932131,0.801133493465306,0.801510739486904,0.801510739486904,0,0,0.800118247357073,0
"Acetylcholine Neurotransmitter Release Cycle",0.660134127380818,0.662728399447731,0.663449949585745,0.602452837309267,0.662728399447731,0.665378322568982,0.663171450260245,0.66445244734693,0,0.661988724692716,0.661968133118668,0.660720982348305,0.661091630132686,0.661075975161725,0.666839341892041,0.664677056379233,0.602275125505688,0,0,0,0.668994894409911,0.66645794900557,0.665630839737575,0,0.669353610806962,0,0,0.663987414735034,0,0,0.669762185836471,0.66057008539911,0,0,0,0.604054284904599,0,0.669229133547713,0,0.604428173421927,0,0,0,0,0,0,0,0.665936952809086,0,0,0.664923872510551,0,0.664775100315307,0.666525034136248
"Aspirin ADME",0.767895977415638,0.767355719827224,0.799865871546865,0.799314722948901,0,0.771129220713676,0.769300069881062,0.799253897982225,0,0,0,0,0,0,0.770995661429487,0.770805039646213,0,0,0.80151960596232,0,0,0.771628310012135,0,0.770486232369245,0,0,0,0.799847881624417,0,0,0,0,0,0,0,0,0,0,0.802191013481337,0,0,0,0,0,0,0,0,0,0.77033363254515,0.77033363254515,0,0.799959337656389,0.800212012614861,0
"Keratan sulfate biosynthesis",0.860102822305206,0.897220893033351,0,0,0.897220893033351,0.865257916045389,0,0,0,0,0,0,0,0,0,0.864877487846562,0.863681529876465,0,0,0,0,0,0,0.898489822082757,0,0,0.867150266457183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898310745381343,0.898310745381343,0,0,0.931713314131604,0.862850466506797
"Presynaptic depolarization and calcium channel opening",0.823597686668212,0.828070105935427,0.828360073042695,0.825783942771986,0.828070105935427,0.830798237964632,0.826724652037114,0,0.834181688501122,0.827308600677341,0.82728740137075,0.824957172091825,0.825338759045806,0.825322642039486,0.830500796544898,0.830076274848831,0,0.887684546096856,0,0,0.832719967288938,0,0.83105820783698,0,0,0.890097935861755,0,0,0,0.832961119679061,0.833509904287392,0.887397895859227,0,0.833664256949423,0.828721845168602,0,0.84133685909361,0,0,0,0,0,0,0.836711898845731,0,0,0,0,0.82663146127844,0.82663146127844,0.825226450040017,0,0,0.829130941884338
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.795009960570794,0.793710796047316,0.802200845031458,0.801115365089793,0,0.796123428234179,0.797775302282798,0.80099557111495,0.799115593415191,0,0,0,0,0,0.795860384974074,0,0.801016084023969,0,0.805457853292845,0.80192477448542,0,0.801935868095126,0,0,0.799170790250036,0,0,0,0.798801907011372,0,0,0,0,0,0,0,0,0,0.861569502056444,0,0,0,0.801786327235168,0,0,0,0,0,0,0,0,0.802384925309426,0.802882565329188,0
"Voltage gated Potassium channels",0,0.86929367371209,0.891064379916374,0,0.86929367371209,0,0.890238432698745,0,0,0,0,0.865072410113808,0.865216197851427,0.865210124719597,0,0,0,0.891542760806841,0,0,0,0,0,0,0,0.892452162584515,0,0,0,0.916460188225401,0,0.889947176000697,0,0,0.892610663678051,0,0,0.892003319346137,0,0,0,0.894409932185739,0,0,0,0,0,0,0,0,0.865956807083686,0,0,0
