"","ITGA5","OBSCN","PCSK9","MGA","SERPINA3","HSD17B1","KRAS","CAMK2B","SYNE1","COL18A1","APC","ZNF135","SPTBN5","HS3ST4","KRT19","KIF26A","ADM2","CACNA2D3","EFEMP1","PDE8A","KDM5C","NCOR2","PPP1R18","MTDH","PLEC","IRF5","RICTOR","TLR8","PPP1R16B","GPR84","EDARADD","MYH2"
"Peptide ligand-binding receptors",0.90267808337731,0.904201090403709,0.905030197268314,0,0.925539847566238,0,0.902068798938101,0.903290135624923,0.899554719680407,0.877415425830269,0.876433221162059,0,0.877128389980212,0.879424292617327,0.880981960467749,0.876596358216118,0.925147438280991,0.925984477753472,0.880005486573888,0.900692547807528,0.879230651602292,0.876743572516724,0,0,0.876995055039219,0.899842578361924,0.878920112424732,0,0,0.925147438280991,0,0.903159482228342
"Collagen chain trimerization",0.885795551337464,0,0,0.758498825942877,0.823292021844442,0,0.816316769013789,0,0,0.886745798251419,0.754283381236093,0,0.818258964121508,0.823861227746673,0,0.750091942271411,0,0.750763891855889,0,0,0,0.753847237165348,0,0.765008928982208,0.819631800271377,0.823147626362051,0,0,0,0,0,0.818726518209849
"Basigin interactions",0.552248932463839,0.570749930877587,0.490076314656739,0.485558384266803,0.646455976477656,0,0.640368706501261,0.564882630235607,0,0.646455976477656,0.559710678758033,0,0.560378223916167,0.650139007617698,0,0,0,0.642002831704801,0.490141758478181,0,0,0.644374340052016,0,0.493246607206648,0.558666312399048,0.645020920160519,0.564512346515814,0,0.650844386125854,0,0,0.555449821349646
"Class A/1 (Rhodopsin-like receptors)",0.90267808337731,0.904201090403709,0.905030197268314,0,0.925539847566238,0,0.902068798938101,0.903290135624923,0.899554719680407,0.877415425830269,0.876433221162059,0,0.877128389980212,0.879424292617327,0.880981960467749,0.876596358216118,0.925147438280991,0.925984477753472,0.880005486573888,0.900594123569922,0.879230651602292,0.876743572516724,0,0,0.876995055039219,0.89979928827877,0.878920112424732,0,0,0.925147438280991,0,0.903159482228342
"GPCR downstream signalling",0.897897995659094,0.898377463215782,0.898140192692468,0.885251282805441,0.909149288655167,0.886039684749954,0.908749185325038,0.908266398504605,0.898356518483735,0.909237457297579,0.897599696330671,0,0.896892334826249,0.89864940438066,0.898772340252046,0.897395116540129,0.909743994718388,0.909462508692865,0.886743355389116,0.910319895793819,0.88665914335119,0.897522977798346,0.886713539382194,0.886591918735069,0.897729262127856,0.897455940264446,0.897895731831378,0.886244944615142,0.886352831720185,0.908940243919221,0,0.897746199669177
"Drug ADME",0.716706573566975,0.677046264954099,0.631784231313173,0.691677644477536,0.72839715008416,0.770402668694345,0.714775194074722,0.71609059438882,0,0.718731504129066,0.716403144037427,0,0.675471921225327,0.693210715597138,0.634651513545579,0.648089079427448,0.68473598609817,0.628986832710644,0.693327209952267,0.727613410869139,0,0.715883725242515,0,0.654771305520939,0.690603820852013,0.716846089879108,0.630546686941069,0,0,0.68473598609817,0,0.716709624105888
"Response to elevated platelet cytosolic Ca2+",0.66932928368828,0.540277164198809,0.548667693459662,0,0.670264036982708,0,0.800651842569664,0.534750704197425,0.541487147302033,0.537599359815558,0.533794331883927,0,0.531773651046211,0.392916348335302,0,0.390454272389122,0.534205195507796,0.539219379509395,0.400860773912944,0.541605842133054,0,0.53553906057131,0,0,0.538081786461204,0.535635370084837,0.546097058632934,0,0,0.534205195507796,0,0.532994052241961
"Aspirin ADME",0.521262010609216,0,0,0,0.526545978223391,0.691009801444465,0.519033926603268,0.520385298430905,0,0.522469645050772,0,0,0,0.529547948218204,0,0,0,0,0,0,0,0.520229553357303,0,0,0.524172921778001,0.519961719656078,0,0,0,0,0,0.523022431541444
"Phase II - Conjugation of compounds",0,0.491042609280058,0,0,0,0.642771990350423,0,0.534981646329296,0,0,0.488392344602289,0,0,0,0,0,0,0,0,0,0,0.534414217309846,0,0,0,0.53530723540371,0,0,0,0,0,0
"Biological oxidations",0.780448378958547,0.786429387091509,0,0.784285881053945,0.783934321615516,0.8496104193288,0.781002426608963,0.783865841746644,0.783656055074912,0.78266844600903,0.783476561786541,0,0.74995045437635,0.761242615700198,0,0,0.781807438325928,0,0,0.78406029495232,0.785989225319664,0.812719873888404,0,0,0,0.784072806889355,0.783836563784332,0.752922155779995,0,0.781807438325928,0,0.750533057442057
"Peptide hormone biosynthesis",0,0,0,0,0.399214479355475,0,0,0,0,0,0,0,0.194759929251106,0,0,0,0.510949282145791,0,0,0,0,0.406695514804578,0,0,0,0,0,0,0,0.510949282145791,0,0
"ADP signalling through P2Y purinoceptor 1",0.659812067818577,0.666578891364596,0,0.510544024667589,0.649688496887696,0.519666611331877,0.656229694862361,0.658402466569439,0.652949140192995,0.654848035654793,0.656855332251568,0,0.655189990167251,0,0.670418677358055,0.660002428322395,0.786915530242187,0.65230276217294,0,0.654645108023941,0.517690318838798,0.658152055481597,0,0.523846305790963,0,0.659270778291717,0.657133550343141,0.515553103881378,0,0.786915530242187,0,0.662642519597924
