"","PEX5L","KRAS","APC","BOLL","ACAN","CASK","AMPD1","TP53","ETV5","SMAD4","CR1","ZNF451","AP3D1","FMNL2","SF3B3","PTEN","PIK3CA","A2M","WIPF2","CDC42BPA","MAGI2","KCNQ3","ARID1A","TNFRSF11B"
"Extracellular matrix organization",0.877373913767436,0.89000909667984,0.884121811196108,0,0.890509756580953,0.890575917193568,0,0.883244728629678,0.884026175093118,0.883459382159031,0.876934036290146,0.876611287680623,0,0.883955196208634,0.883146485615815,0.883376935985399,0.890451023145756,0.890707828913409,0.883807620492662,0.884263769841338,0.884293447228458,0.884195507252883,0.883695395549192,0.870503528664424
"G alpha (s) signalling events",0,0.938565414890925,0.940564882980463,0,0.926620367160501,0.927718952042687,0.953257321038762,0.939732402717511,0.940678504632877,0.940332720372013,0.940876260108643,0,0.914772453053967,0.927577454624458,0.940226246812031,0.940611497591566,0.949936567453262,0.940405925930876,0.94097286939448,0.928587750033371,0.941576078702904,0.941190309707016,0.940883252100678,0
"Anti-inflammatory response favouring Leishmania parasite infection",0,0.87062569987817,0.870460724618469,0,0.871720641191639,0.871307218093753,0.870590140711975,0.869581063744372,0.871207560967988,0.870033683202326,0.871407722999169,0,0,0.849306371092246,0.869131904513395,0.893518418273036,0.891541872063702,0.870049756308569,0.870907426893047,0.849434602813921,0.873258864484729,0.872276092416639,0.871319520915665,0
"Leishmania parasite growth and survival",0,0.87062569987817,0.870460724618469,0,0.871720641191639,0.871307218093753,0.870590140711975,0.869581063744372,0.871207560967988,0.870033683202326,0.871407722999169,0,0,0.849306371092246,0.869131904513395,0.893518418273036,0.891541872063702,0.870049756308569,0.870907426893047,0.849434602813921,0.873258864484729,0.872276092416639,0.871319520915665,0
"Peptide ligand-binding receptors",0,0.931460476158991,0.931678977190409,0,0.932122024449755,0.932234963074951,0,0.941060633160868,0.930864203925022,0.931487233318368,0.931766756157775,0,0,0.932959737983168,0.919498498315028,0.931840138350616,0.941021862761359,0.941739560224963,0.932112301077405,0.933428219587739,0.932593666361785,0,0.920612020567099,0
"Phase 0 - rapid depolarisation",0,0.857872237812383,0.84939929735793,0,0,0.852323569183571,0.848138494384456,0.852336615657304,0.814400242209507,0.810710730428773,0,0,0,0,0,0.816607314590009,0.84892650230721,0.811911452599541,0.814470034567931,0,0.852191680590198,0.851207876831372,0.811367182876621,0
"Calmodulin induced events",0,0.880935711525055,0.881717470875765,0,0,0.841822460711659,0.919222876299551,0.879257540827187,0.884251154401101,0.881031444068766,0.88461653188648,0.850809944509066,0,0.885081483346991,0.87914390509639,0.882294077966111,0.879118826963232,0.881247762175011,0.883267829692601,0.886757630469195,0.884705494560318,0.882923319635826,0.882658232837588,0
"CaM pathway",0,0.880935711525055,0.881717470875765,0,0,0.841822460711659,0.919222876299551,0.879257540827187,0.884251154401101,0.881031444068766,0.88461653188648,0.850809944509066,0,0.885081483346991,0.87914390509639,0.882294077966111,0.879118826963232,0.881247762175011,0.883267829692601,0.886757630469195,0.884705494560318,0.882923319635826,0.882658232837588,0
"Degradation of the extracellular matrix",0,0.86777994181019,0.866894623877568,0,0.881628587718426,0.86771826067489,0,0.867243459816977,0.868695525172255,0.867339470207879,0.85338737075757,0,0,0.854588564583971,0.837430479670153,0.867375428288936,0.867321587001771,0.882613030603282,0.867306538629965,0.854646317213779,0.869317075155693,0.854532320438938,0.867487143693063,0.840296877686654
"DAG and IP3 signaling",0,0.883881797336959,0.884609180280076,0,0,0.886051701636619,0.91950584273144,0.882885991860705,0.886835496066905,0.883970871064486,0.887306592889639,0.855851471820767,0,0.886765228489964,0.882214622608069,0.884737342760876,0.882191288820903,0.884172142850525,0.885730900481453,0.888324788763516,0.887389367635428,0.886914316919499,0.885484506176647,0
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0,0.873553007781892,0.874252124696793,0,0,0.876031059715123,0.874639106945966,0.872052242207546,0.875024416665842,0.873638620113301,0.875286486304146,0,0,0.8416720821214,0.872544147164957,0.873831649797419,0.90360200776146,0.873288413498897,0.875094932819074,0.842234911143091,0.876380617251331,0.875924026958579,0.87454977851779,0
"PKA activation in glucagon signalling",0,0.82653247514959,0.826799992289857,0,0,0.760446580502162,0.826444566305655,0.823014410205045,0.830699073472122,0.825068900292975,0.831261352250596,0,0,0,0.822839536376032,0.82701196540746,0.823736474648932,0.826077158385015,0.829185836783865,0,0.83183619312888,0.82964402873945,0.828247729241081,0
"G-protein mediated events",0,0.864849140472675,0.865467249139436,0,0,0.866688860477731,0.895468401740496,0.864349927747013,0.867334201996317,0.865271826238847,0.867674872971989,0.841339609617021,0,0.867646389127707,0.863779417869681,0.865923151380368,0.893088557346615,0.865170253690728,0.867040054959175,0.868971657654472,0.868176764246791,0.867773080097411,0.866558068911972,0.836710809177386
"Platelet homeostasis",0,0.847722762223672,0.845535314657766,0,0.802251433144964,0.848365058760542,0.847017043519631,0.844673114946644,0.825438304029933,0.847009209689356,0.825614518228749,0.802501238130079,0,0.822315590991709,0.823826972678719,0.847552248694627,0.868672727502693,0.846840594211493,0.846481514832743,0.826823865225471,0.826184481409591,0.847213349045427,0.846130756613116,0
"PLC beta mediated events",0,0.855327484680257,0.856001569718963,0,0,0.85771680998154,0.88871964859382,0.854783062885841,0.858443173039508,0.855788449177879,0.858879750942512,0.829729457133924,0,0.859280663094018,0.854160887217672,0.856498758799542,0.885878901749485,0.854924447041589,0.85771680998154,0.860725948905721,0.85895646049179,0.858516218411241,0.857191174926158,0.824640925568068
"Ca-dependent events",0,0.880496847859577,0.881717470875765,0,0,0.841383597046183,0.919222876299551,0.879257540827187,0.884251154401101,0.881031444068766,0.88461653188648,0.850809944509066,0,0.885081483346991,0.87914390509639,0.882294077966111,0.879118826963232,0.880029431399302,0.883267829692601,0.886757630469195,0.884705494560318,0.882923319635826,0.882658232837588,0.844908601348223
"Integration of energy metabolism",0,0.888071947619352,0.88847332683724,0.889422210111487,0.889287190100447,0.90767932594087,0.889232954451118,0.905932446768164,0.888551871326474,0.888034299624328,0.888716966579809,0.868129762412928,0.890926789905367,0.869456243506349,0.887492737366028,0.888231922456004,0.908805481275927,0.888994942189556,0.889494654645379,0.86935183256071,0.889127543110571,0.889256182476727,0.888869542852443,0
"Cytosolic sulfonation of small molecules",0,0,0,0,0,0,0,0.775466308498646,0,0.778581238102546,0,0,0,0,0,0,0,0,0,0,0,0,0.782208471971991,0
"Azathioprine ADME",0,0.305189509954826,0.304241986676536,0,0,0,0.668945252918149,0.666826380031504,0.611883884311063,0.666662251214958,0,0,0,0.312043943217972,0.610786836013513,0.306355550445113,0.358080817345173,0.305411690698288,0.308550473715582,0.314206164991365,0.605485786349591,0.603714570290101,0.308547872189625,0
"G alpha (z) signalling events",0,0.872918143255085,0.839999526300353,0,0,0.804260821021896,0.840191322343355,0.83773016824059,0.841057911133413,0.839366646326965,0.841301646013283,0,0,0.841961496573764,0.838030200607467,0.841497154536086,0.87124201363245,0.839652998316014,0.84183464274015,0.843507791755337,0.803804399366951,0.843094785591124,0.841272271652839,0
"Class A/1 (Rhodopsin-like receptors)",0,0.931460476158991,0.931678977190409,0,0.932122024449755,0.932234963074951,0,0.941060633160868,0.930864203925022,0.931487233318368,0.931766756157775,0,0,0.932959737983168,0.919498498315028,0.931840138350616,0.941021862761359,0.941739560224963,0.932112301077405,0.933428219587739,0.932593666361785,0,0.920612020567099,0
"L1CAM interactions",0,0.904951360748078,0.887692463363478,0,0.869720235225595,0.889312011918927,0,0.886191581179357,0.869225250292903,0.888030449359532,0,0,0.870903553656555,0.87118951437651,0.883658309593967,0.88682402621136,0.886023717093904,0.886533029815648,0.888645388784606,0.871992462873473,0.887008589836239,0.906370151845504,0.889019988103117,0.870245847791627
"Regulation of insulin secretion",0,0.876926857495397,0.877445769830078,0,0.878497951077141,0.902275729605289,0.877733003421655,0.875812929693918,0.877781073417555,0.876990402367252,0.878011060714254,0,0.880617663620287,0.854763244858872,0.876178041085806,0.877133676663602,0.895424018213172,0.877425295665932,0.878766166038396,0.855355664347353,0.879025621521955,0.878686722076448,0.878361530869069,0
"Vasopressin regulates renal water homeostasis via Aquaporins",0,0.863035792593625,0.86276821738608,0,0,0.821387883123024,0.862978118786705,0.860727717668974,0.86427072171424,0.862075594166321,0.864548808828259,0,0,0.823576229258299,0.860612989286728,0.863350368776341,0.89695996476186,0.862737075763874,0.864776567010991,0.825268493182574,0.866515369766979,0.865077170149372,0.864161108646732,0
"Aquaporin-mediated transport",0,0.863035792593625,0.86276821738608,0,0,0.821387883123024,0.862978118786705,0.860727717668974,0.86427072171424,0.862075594166321,0.864548808828259,0,0,0.823576229258299,0.860612989286728,0.863350368776341,0.89695996476186,0.862737075763874,0.864776567010991,0.825268493182574,0.866515369766979,0.865077170149372,0.864161108646732,0
"GPER1 signaling",0,0.863035792593625,0.863211300895233,0,0.821609875456103,0.823895373730399,0.862978118786705,0.860727717668974,0.863979519563068,0.862075594166321,0.864247860397698,0,0,0.824465206059518,0.860612989286728,0.863350368776341,0.89695996476186,0.862737075763874,0.864428468748321,0.827570279829289,0.866228055581777,0.865077170149372,0.864161108646732,0
"ADORA2B mediated anti-inflammatory cytokines production",0,0.863035792593625,0.863211300895233,0,0,0.823895373730399,0.862978118786705,0.860727717668974,0.864034124042884,0.862075594166321,0.864304164586407,0,0,0.826513428352887,0.860612989286728,0.863350368776341,0.89695996476186,0.862388977501204,0.864776567010991,0.828205692277162,0.866515369766979,0.865077170149372,0.864161108646732,0
"GABA B receptor activation",0,0.876770314268591,0.874219575824753,0,0,0.878040426529682,0.876713631841593,0.872804676891203,0.877697819108454,0.875484506454233,0.877907881456955,0,0,0.838024178769835,0.874389157571849,0.874608912510952,0.910111349221727,0.874006161656377,0.835015659860744,0.839687353640231,0.840431405737674,0.915583634626182,0,0
"Activation of GABAB receptors",0,0.876770314268591,0.874219575824753,0,0,0.878040426529682,0.876713631841593,0.872804676891203,0.877697819108454,0.875484506454233,0.877907881456955,0,0,0.838024178769835,0.874389157571849,0.874608912510952,0.910111349221727,0.874006161656377,0.835015659860744,0.839687353640231,0.840431405737674,0.915583634626182,0,0
"GABA receptor activation",0,0.825268332861779,0.824921738933303,0,0,0.826310794142502,0.825221810017104,0.822013484022074,0.826029594612304,0.824212989250055,0.826202006037307,0,0,0.829994332120358,0.823313967302352,0.823494334048096,0.855513691486457,0.825810410077401,0.826391741561291,0.83022609544456,0.795442697532032,0.857124874120782,0,0
"Opioid Signalling",0,0.910141020030154,0.909975937558541,0,0,0.909152358532484,0.931825054832474,0.90909570502222,0.908841910726525,0.908036010406862,0.909036450673856,0.887986873627933,0,0.909009343992454,0.9068602820865,0.908549128284296,0.93107078493746,0.907955990940435,0.909429031664529,0.910053398536233,0.90972347542469,0.910006513292458,0.909049320147611,0.885535468791519
"Blood group systems biosynthesis",0,0,0.620416532179675,0,0.677910264143448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0,0.846675496240743,0.845393742157906,0,0,0.84759339397226,0.849044925493495,0.843399278187907,0.848815319822162,0.787227275924225,0.849118709845038,0,0,0.795406357028316,0.845687720802104,0.843682342679008,0.894829472568836,0.842811798305573,0.791061196521611,0.797808456526759,0,0.84780170200452,0,0
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0,0.840305440724315,0.841359353817158,0,0.842085134549558,0.84262988024256,0,0.838043048763288,0.791050700048588,0.839023296899413,0.847801483192756,0,0,0.847309034061273,0.787353569320927,0.889884715638283,0.88560406507497,0.840498212177855,0.891789104572539,0.847262755797031,0.844240929726091,0.843879732949881,0.794138952605187,0
"Muscle contraction",0.893328937927097,0.917155809032202,0.905138343904249,0,0.878544504470664,0.905162476763793,0.905070973065293,0.916789119289946,0.906344398251148,0.917038245022698,0.892596915512339,0.891729212859863,0.879386677148744,0.905563254714831,0.904842630629919,0.904977250548226,0.904596820740463,0.904397825551639,0.905461242581682,0.906472479689177,0.905379499739988,0.918272486787674,0.917745981415616,0
"Adenylate cyclase inhibitory pathway",0,0.797143268645115,0.711340197973566,0,0,0.802180814170155,0.799285891635128,0.790756974632458,0.80442239322686,0.797350530127613,0.804880726555969,0,0,0.722027414207379,0.794214140138093,0.797331094202231,0.795476001514317,0.794468321973352,0.715463151277195,0.725656281925364,0.720121997694241,0.806099780843184,0,0
"Phase 2 - plateau phase",0,0.757114330863971,0.673579815075349,0,0,0.675881922260077,0.66583169041714,0.666498875895958,0,0,0,0,0,0,0,0,0.668647003175197,0.672432448594617,0,0,0.682416069999384,0.668596812190301,0,0
"Leishmania infection",0,0.872349917881967,0.872078625286525,0,0.874435379337155,0.872836988597391,0.872324504286083,0.872906255838887,0.872676167497629,0.871773425273789,0.872570635018374,0.856658445718938,0,0.873824936034837,0.87120712613153,0.888710995945074,0.888018133994718,0.873403730686777,0.89031548082148,0.872880907789637,0.873756568246621,0.873529428357347,0.87245784523171,0.857113668655022
"Parasitic Infection Pathways",0,0.872349917881967,0.872078625286525,0,0.874435379337155,0.872836988597391,0.872324504286083,0.872906255838887,0.872676167497629,0.871773425273789,0.872570635018374,0.856658445718938,0,0.873824936034837,0.87120712613153,0.888710995945074,0.888018133994718,0.873403730686777,0.89031548082148,0.872880907789637,0.873756568246621,0.873529428357347,0.87245784523171,0.857113668655022
"Constitutive Signaling by Aberrant PI3K in Cancer",0.812916293787169,0.891880996038577,0.865884521297951,0,0.839669100745712,0.867028083670796,0,0.890643158162304,0.868465159740366,0.865378500088713,0.869085536435371,0,0,0.868800286231672,0.864924184733552,0.865986122421559,0.918167913905619,0.892434879015237,0.867351794523534,0.868601396654837,0.867176769622601,0.836183043597611,0.866902148919932,0
"Regulation of gene expression by Hypoxia-inducible Factor",0.721292912160232,0.802001950209609,0.803699628985253,0,0.7242486806336,0,0.718229341014349,0.79835761289137,0.722087188184346,0.882145917076813,0,0,0,0.726483782646606,0.802574064880912,0.716181934873133,0.799758157440917,0.804381380841412,0.725126175379054,0,0.729614955424814,0,0.806695641944578,0
"Peptide hormone metabolism",0.639952971943062,0.686257444202151,0.68614755150907,0,0.686493636659781,0.710194742501267,0.686425730011918,0.660345367681261,0.68800584890382,0.732919555371387,0.688141940617932,0,0.689219450798102,0.688297921204832,0.684919788133061,0.686518223034007,0.731299227949078,0.7089348461646,0.687035519344142,0.689375431385002,0.688755108282866,0.687349382520914,0.661898953420797,0
"Biological oxidations",0.873561086649241,0.871637776070944,0.884852613905292,0,0,0.859635279910923,0.884893222231693,0.884060495268834,0.873955255409712,0.884631707372097,0.86053347300864,0,0,0,0.884378934916059,0.873938804676512,0.884015828211396,0.884505607370285,0.860509945293947,0,0.886158760734374,0,0.885101108932266,0
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",0,0.763861383601901,0.817796707834547,0,0,0.761894706913133,0,0.862136361219613,0,0.816262928065651,0,0,0,0,0.758005598882208,0.81858290730144,0.813424578370417,0.816925752986878,0.819680099979846,0,0.821041957969251,0,0,0
"Lewis blood group biosynthesis",0,0,0.562042115419447,0,0.630024633739096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0,0.546650194327045,0.544673815563714,0,0.545030063465502,0.517267018403388,0.495517469832071,0.54304601440505,0.546049834801587,0.543527167081247,0.544484804833478,0,0,0.546887330620959,0.543700406819089,0.54534577957906,0.568572316281806,0.547147094307362,0.54610358527428,0.520207560386013,0.546665256652743,0.51788050589989,0.544894064252935,0.549105632909023
"Diseases of Immune System",0,0.857499986591482,0.804739926682947,0,0.806969920942755,0,0,0.801279283242491,0.75177758302035,0.803774820308889,0,0,0,0.811803788834091,0.751378066682177,0.805551100783641,0.854943983161802,0.854522732337807,0.857364574693472,0.814161802041437,0.808973654804545,0,0.805825562906493,0.753251219729155
"Defects in Toll-like Receptor Cascades",0,0.857499986591482,0.804739926682947,0,0.806969920942755,0,0,0.801279283242491,0.75177758302035,0.803774820308889,0,0,0,0.811803788834091,0.751378066682177,0.805551100783641,0.854943983161802,0.854522732337807,0.857364574693472,0.814161802041437,0.808973654804545,0,0.805825562906493,0.753251219729155
"Defensins",0,0.654807941414987,0.656952900909237,0,0.659634170616228,0.662410848608531,0,0.650203444944186,0.667815290892879,0.655070608472765,0.668396146851196,0,0,0,0.652916794027957,0.658534971979784,0.649822847488965,0.656868269556627,0.662410848608531,0,0,0,0.659070268390445,0
"Class B/2 (Secretin family receptors)",0,0.875985883925443,0.877529272805003,0,0,0.852782841096165,0.876883710031953,0.874547554049525,0.877045016096188,0.87708366212298,0.877182526939204,0,0,0.850425309857291,0.847413373849666,0.874514546045767,0.897635452642906,0.876003315617275,0.875802587054307,0.851514056032623,0.853267857798958,0.876320221791944,0,0
"Glucagon-type ligand receptors",0,0.857533020154884,0.85847323888267,0,0,0,0.859521497749888,0.851482782343889,0.859820168024348,0.857648157288036,0.860188493342991,0,0,0.81053178568002,0,0.855134812963077,0.897944905391596,0.854404232811751,0.806885230584847,0.812547680870001,0,0.858478157016866,0,0
"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",0,0.685898453673112,0.688633371075473,0,0.548362658427432,0,0,0.680027518785596,0.704610159004167,0.810140064804886,0,0.708401393330047,0,0.558972491858362,0.685613922266773,0.69065058105739,0.803448939458931,0.688525462390176,0.548365356844208,0,0.699161713413215,0,0.693459871882169,0
"Transcriptional regulation of pluripotent stem cells",0,0.7861175423401,0.791224971763811,0,0,0.705872756455206,0,0.786113337432389,0.712492234424505,0.863133401826512,0,0.719851465929979,0,0,0.785444343927195,0.704200637557472,0.785825095679478,0.78989763875428,0.705872756455206,0,0.796762066039483,0,0.794091777559811,0.71691930011959
