"","PIK3CA","APC","LRP2","ADCY7","KRAS","DSCAM","FGFR2","GRM5","CENPI","HTR2C","BRPF3","TRPV6","CACNA1E","NRCAM","SEMA3A","CATSPER1","DEPDC1B"
"G beta:gamma signalling through BTK",0.929154198131098,0.890906780375287,0.89125735462886,0.929596296113175,0.89070787652067,0.895665482722454,0.89169316839763,0.931197723451231,0.890819590864653,0.931444706372826,0.89093646837172,0.896243519119662,0.889308367303636,0.890319228307728,0.894545124817102,0.887268285816178,0.894523281136188
"ADP signalling through P2Y purinoceptor 12",0.926462236839184,0.892526244275204,0.893273038514097,0.926849416251775,0.892182641042823,0.89608463117743,0.893654714354821,0.928251910090684,0.892449885673989,0.928468212146744,0.892992013588436,0.896590862379111,0.894316292781424,0.892266834847755,0.894757952583898,0.889594888424973,0.89569349383754
"Adenylate cyclase inhibitory pathway",0.902961221896893,0.853802223532921,0.852439984503351,0.807790792318557,0.852631251669077,0.858210652448104,0.853921094461726,0.852584972655148,0.853688083992633,0.852908297295061,0.854479288544512,0.858967358250986,0.854910010658139,0.794808450765893,0.856743995101995,0.852239345787608,0.857625986995175
"Glucuronidation",0.771724303818459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heme degradation",0.767474924438352,0,0,0,0,0.776933977648628,0,0,0,0,0,0,0,0,0,0,0
"G beta:gamma signalling through PLC beta",0.90779039860795,0.868103642007298,0.8677390172359,0.908257631053916,0.867158299813738,0.872397759313006,0.911028773944442,0.909950103859793,0.868011495537583,0.910211128427304,0.86739988772869,0.873008658640021,0.868467278546874,0.866747555900589,0.869947880199776,0.863523159091234,0.871925750600554
"Sialic acid metabolism",0.613624840163734,0.615428812822021,0.613818537230012,0,0.615030210266657,0,0.61603122729231,0,0,0,0,0,0,0,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.838815281354427,0,0,0.839277693904488,0.840989683715875,0.842043561502716,0,0,0,0,0.846855895211645,0,0,0,0.845003255009817,0,0
"Keratan sulfate biosynthesis",0.844875146239642,0.886033484016348,0.884628267123229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metabolism of Angiotensinogen to Angiotensins",0.714100439217504,0.76071274206009,0.760368963343401,0.798571077278152,0.75982144626335,0.764761359302985,0.760110119931265,0.759093118765904,0.672815512717719,0.759339220232075,0.763871336582482,0.765337332750599,0,0,0.763644999834234,0,0
