"","TP53","PTK2","A2M","ADCY5","TRIO","GRM5","AMPH","BRAF","RYR2","OBSCN","LIPE","MTA2","WNT3A","IL12RB1","OR6P1","OR52L1","OR4K5","OR5D18","OR51E1","NRXN3","ABCB1","VCAN","RNF43","AP1G2","MUC16","SYNGAP1","HNRNPF","KCNJ11","PDE7A","SFTPB","LIG1","FANCD2","GPR50","PLEC","HECTD1","RDH5","RDH16","TFAP2D","USP28"
"Glucuronidation",0.848736566545852,0,0,0,0,0,0,0,0,0,0.853125370767799,0,0,0.851639665984749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893472537271934,0.893076592259441,0.855069994838624,0
"O-linked glycosylation of mucins",0.86645692434621,0.867534495062451,0.868665745164755,0,0,0,0.868856707644436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902477492590802,0,0,0.938416938919212,0,0.868772117952194,0,0,0,0,0,0,0,0,0,0,0,0
"WNT ligand biogenesis and trafficking",0.851696524602036,0.852024132473026,0.85362643696014,0.799210436250556,0.852727038106671,0.8010065487803,0.853069720365238,0.855607479314783,0.855895170738591,0.857145917607926,0,0,0.902534333734431,0,0.807277528836234,0.807277528836234,0.807277528836234,0.807277528836234,0.807277528836234,0.80261808521817,0.806314052805632,0.85394957648684,0.857151897587333,0.802771919710685,0.802047638675174,0,0.799465640005433,0,0,0,0.803493475099848,0.802415870320224,0,0.80390472451915,0.800170941338738,0,0,0,0.80827506346083
"Phase 4 - resting membrane potential",0,0,0,0.748554677549064,0.752712295353901,0.752477412213364,0,0,0.753505902017251,0,0,0,0,0,0.766173319589526,0.766173319589526,0.766173319589526,0.766173319589526,0.766173319589526,0,0,0,0,0.75890373605888,0,0,0.657037123240512,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0.865560280890071,0.866666898133526,0.900903126098787,0.865796297308694,0.867176536669274,0.867098560537045,0.830693340724834,0.867418376847115,0,0.833049014195209,0,0.868281678348981,0.867765202258613,0.86726766633556,0,0,0,0,0,0,0.872122138769165,0.868229881982109,0,0,0.831697383612454,0,0,0,0,0,0.868973144984926,0.8314281199754,0,0.867479492485734,0.829800444418086,0,0,0.871645306131949,0.838008483727605
"Phase II - Conjugation of compounds",0.904959682723264,0.888704419716294,0.871811281267227,0.888980468674409,0.871459956232769,0,0,0,0.87003674675663,0.873186068054075,0.890892562562699,0.887496500429584,0,0.887431342723044,0,0,0,0,0,0,0.87449565264676,0,0,0,0,0,-0.014425288433657,0,0,0,0,0,0,0,0.832397740324881,0.908479511592067,0.90828222655932,0.891591592848571,0
"The canonical retinoid cycle in rods (twilight vision)",0.741842809732749,0.743984131192204,0.682151174841172,0.742299505148412,0.680889341492929,0.680738456472607,0.746611598822024,0,0.747733401756681,0,0.747108590909327,0.745761684013276,0.748000890652379,0,0,0,0,0,0,0,0,0.683720599751156,0,0,0,0,0.679838433088992,0,0,0,0.683353227650615,0.681841375993354,0,0,0,0.633968736558151,0.620306680529589,0,0
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756407440682034,0,0,0.756856619793839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon-type ligand receptors",0.86799143172281,0.872841971005423,0.87417188019908,0.909707456007668,0.911287488843262,0.911198225449656,0.874396377643857,0.874171377303944,0.871476298764513,0.877093041381634,0.872898476831318,0.874690495135045,0.871634544868276,0.87464872536502,0.916403125078096,0.916403125078096,0.916403125078096,0.916403125078096,0.916403125078096,0.872147349616576,0.875503136726723,0,0.873999962086424,0,0,0.877029697579919,0,0.875729446634235,0.87279740316175,0.87390876730567,0,0,0.877780645586604,0,0,0,0,0,0.836443318948413
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",0.694133446555975,0.689010821970011,0.771527148547287,0.779720262724886,0.69030905217635,0.68570530557976,0.691023627544785,0.690456221030701,0,0.6984704931609,0,0.688428744732181,0.789090005670627,0.772588245654499,0,0,0,0,0,0,0.698211760289308,0.790273709827596,0.696603340207663,0,0,0.69977566703884,0.783185762948553,0,0,0.694663898422713,0.787812821126443,0.785822541054069,0,0.692686223054138,0.685790119399946,0,0,0.696997098348384,0.701833645142227
"Activation of G protein gated Potassium channels",0.824908121505363,0.832000422395925,0.833944972395211,0.885903936392732,0.888214209051932,0.888083691018971,0.834273225262521,0.833944237078287,0.829582268734958,0.83821619933502,0.831661731281708,0.834703274298958,0.830234963141018,0.834642199898795,0.895694126090053,0.895694126090053,0.895694126090053,0.895694126090053,0.895694126090053,0.83140608167353,0.835891492422459,0,0.833693599318433,0.835196597561808,0,0.838123580086903,0,0.835801083317543,0.832083043378039,0.833560257273957,0,0,0.838933621803692,0,0,0,0,0,0
"G protein gated Potassium channels",0.824908121505363,0.832000422395925,0.833944972395211,0.885903936392732,0.888214209051932,0.888083691018971,0.834273225262521,0.833944237078287,0.829582268734958,0.83821619933502,0.831661731281708,0.834703274298958,0.830234963141018,0.834642199898795,0.895694126090053,0.895694126090053,0.895694126090053,0.895694126090053,0.895694126090053,0.83140608167353,0.835891492422459,0,0.833693599318433,0.835196597561808,0,0.838123580086903,0,0.835801083317543,0.832083043378039,0.833560257273957,0,0,0.838933621803692,0,0,0,0,0,0
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.824908121505363,0.832000422395925,0.833944972395211,0.885903936392732,0.888214209051932,0.888083691018971,0.834273225262521,0.833944237078287,0.829582268734958,0.83821619933502,0.831661731281708,0.834703274298958,0.830234963141018,0.834642199898795,0.895694126090053,0.895694126090053,0.895694126090053,0.895694126090053,0.895694126090053,0.83140608167353,0.835891492422459,0,0.833693599318433,0.835196597561808,0,0.838123580086903,0,0.835801083317543,0.832083043378039,0.833560257273957,0,0,0.838933621803692,0,0,0,0,0,0
"Serotonin Neurotransmitter Release Cycle",0.744458879601145,0.74648676166785,0.750829695807416,0.818735491091484,0.74954248194613,0.821941623962136,0.823134318207259,0.751009948655062,0.820050479426968,0.750150105578548,0,0,0.752634040469422,0,0.758363548395719,0.758363548395719,0.758363548395719,0.758363548395719,0.758363548395719,0.893784699389192,0,0,0.756712810245938,0.75423530753712,0.753198721171927,0,0.820058826933785,0,0,0,0.753088872394018,0.751546611356025,0,0.75367744992103,0.748333683419296,0,0,0,0
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756407440682034,0,0,0.756856619793839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defective GALNT12 causes CRCS1",0.674828963994192,0.677619483088002,0.680549012410559,0,0,0,0.681043536285159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86319829007936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase 0 - rapid depolarisation",0.789319338142924,0.792561225459524,0.7384889063139,0.791271588457014,0.792995613244617,0.792880105766831,0.794729029744934,0.793519794080847,0.842700272526106,0.741123029125661,0.847713590734583,0.741179458596392,0.794033552937169,0.740030792776563,0.799458892742738,0.799458892742738,0.799458892742738,0.799458892742738,0.799458892742738,0.796829009726103,0.746868403200253,0.742550755933176,0,0,0,0.740285611071549,0,0.851376886161896,0.738618864191341,0,0.7374420063045,0.738166231355313,0,0,0,0,0,0.741400327722973,0
"TNFs bind their physiological receptors",0.277788189922074,0.280409854911905,0.28201209689727,0.18100765888088,0,0,0.184081076483423,0.184592954256775,0,0,0,0.184435422024652,0.183160490563418,0.239003336118367,0,0,0,0,0,0,0,0.283913647281098,0.186010287224648,0.186190075166394,0,0.1849259067854,0.281085413860888,0,0,0,0.183478277193004,0.182400714447951,0,0.234052385003871,0.180155873035332,0,0,0,0
