"","TP53","PIK3CA","KAT2A","GNAS","PIK3CG","FN1","APC","KRAS","ARHGAP5","DOCK1","TBP","ARHGEF1","EXOC1","NCKAP1L","SNRPB","RUVBL2","PIAS1","SF3B1","GNAT1","INHBA","CACNA1H","CX3CR1","TCEA3","MAD1L1","TTN","MYO1C","MUC4"
"G beta:gamma signalling through BTK",0.686844792892632,0.807161230666066,0.704133377302294,0.814526098440215,0.813152035076798,0.703159803573968,0.70305365088484,0.702512244428449,0.709391718120647,0.709883863286116,0,0.821449923149302,0.706854060357518,0.709143717966128,0,0,0,0,0.819653196184644,0.704084377525592,0.698702849545969,0.707990517289657,0,0.703773371945255,0,0.70667758163811,0
"Prostacyclin signalling through prostacyclin receptor",0.686844792892632,0.807161230666066,0.704133377302294,0.840589688905785,0.813152035076798,0.703159803573968,0.704946996881299,0.702512244428449,0.711285064117107,0.709883863286116,0,0.821449923149302,0.708220880447376,0.709143717966128,0,0,0,0,0.819653196184644,0.703789909169645,0.698702849545969,0.706623697199798,0,0.705666717941715,0,0.70667758163811,0
"Signaling by activated point mutants of FGFR1",0.664727437432179,0.800310525336022,0.675160793858602,0.673443072366646,0.673689842561541,0.674049732530636,0.67347070301452,0.80676823101983,0.682654554174978,0.679908482518643,0.53079812854781,0.682491670109432,0.540880303851029,0.680878692349039,0.529579333272531,0.534651164552809,0.681470672959764,0.529491558521918,0.540003142718409,0,0.539772740646854,0,0.547852311993576,0,0.683169579237994,0,0.688565215681002
"G beta:gamma signalling through PLC beta",0.686844792892632,0.807161230666066,0.704133377302294,0.814526098440215,0.813152035076798,0.703159803573968,0.704946996881299,0.702512244428449,0.711285064117107,0.709883863286116,0,0.821449923149302,0.706854060357518,0.709143717966128,0,0,0,0,0.819653196184644,0.704084377525592,0.698702849545969,0.706623697199798,0,0.705666717941715,0,0.70667758163811,0
"Recycling of bile acids and salts",0.363464389041344,0.362918094374463,0.51160949737294,0.369836937696564,0.366371038455392,0.517553445073222,0.373152293538535,0,0.381166900068716,0,0.36967515466187,0,0.375563811564664,0,0.366580944784945,0.375178378316616,0.378430357502552,0.366483686684616,0,0.384579462642714,0,0,0.386828170613954,0,0,0.371218108864277,0
"Signaling by activated point mutants of FGFR3",0.664727437432179,0.800310525336022,0.674492909690867,0.672942144493715,0.671792639399644,0.673381848362901,0.67347070301452,0.80676823101983,0.682053769400846,0.679407554645712,0.53079812854781,0.6818908853353,0.540690549270886,0.680210808181304,0.529579333272531,0.539355329614916,0.680802788792029,0.529491558521918,0.539813388138267,0,0,0.540427654342147,0.547852311993576,0,0.684589905963313,0,0.688565215681002
"FGFR3 mutant receptor activation",0.664727437432179,0.800310525336022,0.674492909690867,0.672942144493715,0.671792639399644,0.673381848362901,0.67347070301452,0.80676823101983,0.682053769400846,0.679407554645712,0.53079812854781,0.6818908853353,0.540690549270886,0.680210808181304,0.529579333272531,0.539355329614916,0.680802788792029,0.529491558521918,0.539813388138267,0,0,0.540427654342147,0.547852311993576,0,0.684589905963313,0,0.688565215681002
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.644528077239165,0.494122377170642,0.508915468733268,0.488400078949189,0.501840289367133,0.488395117640315,0,0.501412313828404,0,0.510909119797824,0.506421136963401,0,0.658524084974498,0.509955595663054,0,0.506613165736103,0,0.504946183908236,0,0,0,0,0,0.491624758210741,0,0.654096679063265,0
"Physiological factors",0.649470833281285,0.644877835649266,0.649798298841924,0.651605639604188,0,0.650638510464581,0.552725360420953,0,0,0.648525417227999,0.545534114008964,0,0,0,0.647054028539696,0.652005201435749,0,0.646983768435041,0.654559670615525,0.661020837816976,0,0,0.66168080205177,0,0.65674361860847,0,0
"FGFR3 ligand binding and activation",0.664727437432179,0.800310525336022,0.674492909690867,0.672942144493715,0.671792639399644,0.673381848362901,0.67347070301452,0.80676823101983,0.682053769400846,0.679407554645712,0.53079812854781,0.6818908853353,0.540690549270886,0.680210808181304,0.529579333272531,0.539355329614916,0.680802788792029,0.529491558521918,0.539813388138267,0,0,0.540427654342147,0.547852311993576,0,0.684589905963313,0,0.676649892994581
"FGFR3c ligand binding and activation",0.664727437432179,0.800310525336022,0.674492909690867,0.672942144493715,0.671792639399644,0.673381848362901,0.67347070301452,0.80676823101983,0.682053769400846,0.679407554645712,0.53079812854781,0.6818908853353,0.540690549270886,0.680210808181304,0.529579333272531,0.539355329614916,0.680802788792029,0.529491558521918,0.539813388138267,0,0,0.540427654342147,0.547852311993576,0,0.684589905963313,0,0.676649892994581
"LGI-ADAM interactions",0.604964978994986,0.604537935346855,0,0.611818006496282,0.48885701243892,0.610771488346497,0.612538104507729,0.610131384980434,0.494476203885273,0,0,0,0.500409094107842,0,0.487161561458013,0,0,0.48708553389177,0.495283321351775,0,0.616686505949381,0.49581537828364,0,0.613249538940531,0,0.614248763890362,0
"Activation of Matrix Metalloproteinases",0.678752841810514,0.681229957696905,0.631876292443456,0.738430359558704,0.686297940864914,0.682027304865731,0.685748252230881,0.686140195701916,0.6324814591123,0.689640571471192,0.629304761888554,0.688690077560161,0,0,0,0.686509075954833,0.573185141999648,0.685446965428697,0,0.636810818481686,0,0.626279711515926,0,0.630952233006593,0.627159359088269,0,0
