"","CREBBP","NCOR2","SMURF1","APC","YWHAH","TP53","HSPG2","IRF5","NMU","ACVR1C","NRIP1","IKZF3","OBSCN","OR10G2","OR4C3","EPHB1","DOCK2","ATM","RYR2","BMPR2","ANK3","LRIG1","BABAM1","CACNA1H","RTN4","PDIA3","GGPS1","CHD5","ADAMTS5","NCAN","ADAMTS9","TTN","PTPRM","IL1RAP","EPSTI1","KCNN3"
"CD22 mediated BCR regulation",0.753822036445504,0.649378237654089,0.755474257946493,0.648565228369622,0.762846549942421,0.754929371797998,0.652132394615611,0.651823793196641,0.755441560393594,0.651904021239206,0.655707873308949,0.768960905343371,0.65575668644957,0.659362081983622,0.659362081983622,0.762531184599459,0.754046093268735,0.645811285805257,0.650694591082001,0,0,0.77651775908281,0,0,0.65773493604218,0,0,0,0,0.65298142818427,0,0,0.666696095509281,0,0,0
"Lewis blood group biosynthesis",0.707893528432982,0.710398626760682,0,0.710734899869255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713436295900898,0,0.713498530598862,0,0,0,0,0
"Keratan sulfate biosynthesis",0.847037760490676,0.849482361560669,0.799386096618946,0.849810513790041,0,0,0.796719058868563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848908133338343,0.853853340534671,0.848968865089888,0,0,0,0,0
"Recycling of bile acids and salts",0.849106041198203,0.852136554517331,0.725821833829711,0.794357159567783,0.795202334954343,0.790315878315907,0.792931785507104,0.793462302240911,0.789633277545433,0.730866520708822,0.796858265780317,0,0,0,0,0,0,0.791658713252664,0,0.731180742294676,0,0,0.730326850208922,0,0,0,0.79813270258415,0.793573358928155,0,0,0,0,0.803640160836355,0,0,0
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.829411381109113,0.770682024280723,0.76557288074566,0,0.833935142158367,0.829832068352413,0,0.771226236083074,0,0,0.77484527418216,0.774443578287731,0,0,0,0,0,0.766941512444864,0,0,0,0,0,0,0,0.773339213162485,0,0.767917601549177,0,0,0,0,0,0,0,0
"Blood group systems biosynthesis",0.757413251235996,0.759918349563695,0,0.760254622672269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762956018703912,0,0.763018253401876,0,0,0,0,0
"Activation of the phototransduction cascade",0.721512029305853,0.72518426932355,0.810727072814134,0.814342943733791,0.816927114097656,0.720780171041061,0.726033873033128,0.725803072709908,0.810702618598068,0.728174268485357,0.729918148901567,0.732147889904102,0.731055643362957,0.821368272518183,0.821368272518183,0.726465500867132,0.734058015410996,0.723617564526751,0.747867820374554,0.728555028099484,0.81688676322741,0,0.726571587503251,0.748957787425605,0.732535159066121,0,0.732336110907652,0,0,0,0,0,0,0,0,0
"IL-6-type cytokine receptor ligand interactions",0.853051057514836,0.796528819605918,0.852347470199983,0.802809538698339,0.856663512680582,0.848482973849234,0.854088875524567,0.85495220492986,0.851936077267207,0.798144467980632,0.799531610065289,0.859846832711835,0.800616066547469,0.802027362023448,0.802027362023448,0.856499323858117,0.861784710488199,0.801375752149277,0.797514801729103,0,0,0.805310742187206,0,0.795094815722222,0.801646003661363,0,0,0,0,0,0,0,0,0.803021680229993,0,0
"Creation of C4 and C2 activators",0.6703134895793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745051777867353,0,0,0,0,0,0,0,0,0,0
"Potassium Channels",0.886055353928924,0.886925176078727,0.884604708423345,0.887041937083668,0.887284520499177,0.884301244584174,0.885545658440333,0.887071748440346,0.902880357769619,0.886843043865319,0.888046462620896,0.888574608412832,0.888315894322807,0.905655268692102,0.905655268692102,0.869175978572845,0.889027048739933,0.866569128184759,0.868549567748699,0.866055814777211,0.867048238214207,0.889913295007323,0.886463426135927,0.886059906038991,0.887085580277263,0,0.866951417886195,0.886816969533428,0,0,0,0,0,0,0,0.860447413030473
"NCAM1 interactions",0.900016609895604,0,0.900252616476233,0.900910826358449,0.901726195693064,0.899702175251776,0.901959369020194,0.932152926547813,0.900242109998287,0.900187964099115,0.870242325833131,0.904066235853339,0.870731037490879,0.903841816899984,0.903841816899984,0.901624861534175,0.904886899719993,0.900401277826902,0.930821205744492,0.901220365363321,0.90222881091067,0,0,0.935676676644114,0,0.904586187366952,0,0,0.868353711850915,0.933485928836699,0,0.87028475340394,0.906119070529062,0,0,0.868905915820224
