"","PACRG","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP"
"ADP signalling through P2Y purinoceptor 1",0,0,0.686630564847891,0,0.695592046420608,0,0.692681471690622,0.811326959409553,0.696454176936534,0,0.547229660912693,0.546835439525882,0,0,0.690914116199776,0.54017572857888
"Thromboxane signalling through TP receptor",0,0,0.686630564847891,0,0.695592046420608,0,0.692681471690622,0.811326959409553,0.694360886652601,0,0.56363597621595,0,0,0.554517700253379,0.690914116199776,0
"Assembly and cell surface presentation of NMDA receptors",0,0,0.712215758314488,0,0.714358714407236,0,0.706889055677201,0.703678048537918,0.466805067401753,0,0.581921864080017,0,0.589199874540167,0,0.58246069292812,0.704767597155701
"Long-term potentiation",0,0,0.711265446129888,0,0.714358714407236,0,0.706889055677201,0.702727736353318,0.585710601078491,0,0.581736427346035,0,0,0.594288942942782,0.582946686212998,0.704767597155701
"APOBEC3G mediated resistance to HIV-1 infection",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.760377070956972,0.828558570910829,0,0.7963142392423,0,0.795999442898833,0.826420393989868,0.798520446815994,0.764670112260888,0.797384305745298,0.761797223283875,0.765860678100222,0.738409146548826,0.795235994324616,0.795468146594771
"Ca2+ pathway",0,0.523421849196615,0.61047863506418,0,0.619330941245222,0,0.61863073644886,0.693148465407961,0.617352766241242,0,0.529791010387941,0,0,0.532166952502466,0.611506215886748,0.609317872224674
"L1CAM interactions",0,0.592750960654526,0,0,0.764916143655078,0,0.705771470747665,0.64939018580586,0.760050841377895,0.599301493458506,0.703275853285314,0.695107177496086,0.709138158323499,0.71145085947343,0.693981377650583,0.652227978612706
"Transmission across Chemical Synapses",0,0.719807250612737,0.776574258257064,0,0.749783603623001,0,0.749522050671474,0.774797724011453,0.751616662089385,0.723491637460685,0.750672683366131,0.721104657411716,0.721902794472208,0.701672346244444,0.771750979340567,0.772356499915495
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0,0,0.845414855940644,0,0.748970370565106,0,0.743005641801842,0.838597258923536,0.749638017634654,0.641692135046018,0.638327318100584,0,0.636829945125015,0.641118043532842,0.739165510290413,0.742230991233435
"CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling",0,0,0.711265446129888,0,0.710687535280819,0,0.705128479585918,0.702727736353318,0.577902626222319,0,0.581828491610819,0.448255545036346,0,0.581010683103539,0.582846384011597,0.703817284971101
"Vasopressin regulates renal water homeostasis via Aquaporins",0,0,0.845414855940644,0,0.749889763208121,0,0.746716376937374,0.838597258923536,0.749638017634654,0.641699018689768,0.6364785324378,0,0.636951830288823,0.641118043532842,0.738304981631571,0.738840134226844
"GPER1 signaling",0,0,0.845414855940644,0,0.74649890620153,0,0.743005641801842,0.838597258923536,0.749638017634654,0.641705910787622,0.640374721405019,0,0.636951830288823,0.641118043532842,0.739165510290413,0.738840134226844
"ADORA2B mediated anti-inflammatory cytokines production",0,0,0.845414855940644,0,0.747564501939627,0,0.743005641801842,0.838597258923536,0.749638017634654,0.641705910787622,0.6364785324378,0,0.636951830288823,0.641118043532842,0.739165510290413,0.738840134226844
"Glutamate Neurotransmitter Release Cycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322837439652863,0.0314945389558266
"Trafficking of GluR2-containing AMPA receptors",0,0,0.272597583183545,0,0.275794651087171,0,0.264650696128107,0.262046626055022,0,0,0.271691660495718,0,0,0,0.262093603315509,0.26148570036785
"Amino acid transport across the plasma membrane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Extra-nuclear estrogen signaling",0.564310279560467,0.629436806724617,0.692211212224733,0,0.687345259862038,0,0.692248875753406,0.752548146338337,0.697245915355871,0,0.690712617860047,0.630721942738735,0.621967485620509,0.697902424968193,0.692843550216111,0.628195763470145
"GPCR ligand binding",0,0.848603639841747,0.869642341620247,0,0.87056932646282,0,0.870293698371988,0.888650453952745,0.870867425362333,0,0.87062340041592,0.848093737496962,0.831480622265368,0.87022522857311,0.869768687188141,0.849235884833388
"JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655184554455513,0
"Aquaporin-mediated transport",0,0,0.845414855940644,0,0.749889763208121,0,0.746716376937374,0.838597258923536,0.749638017634654,0.641699018689768,0.6364785324378,0,0.636951830288823,0.641118043532842,0.738304981631571,0.738840134226844
"G-protein beta:gamma signalling",0.566716679948048,0,0.686630564847891,0,0.693776652781224,0,0.692681471690622,0.811326959409553,0.696454176936534,0.577341678866938,0.561005289194653,0.547236709859352,0,0.558902159946374,0.690914116199776,0.546786592028979
"Trafficking of AMPA receptors",0,0,0.469860014718055,0,0.472054772769319,0,0.46693172113691,0.46632324253962,0,0,0.472944471000053,0,0,0,0.462649128030433,0.465938172154756
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0,0,0.469860014718055,0,0.472054772769319,0,0.46693172113691,0.46632324253962,0,0,0.472944471000053,0,0,0,0.462649128030433,0.465938172154756
"NOD1/2 Signaling Pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478933592275979,0
"Signal amplification",0,0,0.685996183699645,0,0.693047692883138,0,0.692681471690622,0.811326959409553,0.694360886652601,0,0.56363597621595,0.546835439525882,0,0.554517700253379,0.690914116199776,0.54017572857888
"Thrombin signalling through proteinase activated receptors (PARs)",0,0,0.686630564847891,0,0.690804159907433,0,0.689077020097908,0.811326959409553,0.69284972534382,0,0.557028922217699,0.545176132908218,0.543176416622211,0.548047117125753,0.68612245584091,0.539328680276388
"Scavenging by Class A Receptors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synthesis, secretion, and deacylation of Ghrelin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"activated TAK1 mediates p38 MAPK activation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671063770493587,0
"Phase 4 - resting membrane potential",0,0,0,0,0,0,0,0.558115887032373,0,0,0,0,0,0,0,0
"Neuronal System",0,0.735070829765074,0.775691333799527,0,0.756520869478649,0,0.756333711247775,0.774420107439608,0.757832542612728,0.737707249351591,0.757157064141562,0.73599920912307,0.739318926479855,0.722094120464623,0.772438915486178,0.772988583927092
"Glucagon signaling in metabolic regulation",0,0,0.808818018193755,0,0.670438636629427,0,0.661449857363474,0.799460798408349,0,0.529225462742516,0.522050833910976,0,0.522700439923896,0.528418609082227,0.513736733388865,0.662543151530031
"Bile acid and bile salt metabolism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G alpha (s) signalling events",0,0,0.925529118815235,0,0.884716794313001,0,0.883705888747371,0.920410711140558,0.886252557423123,0.844809291458711,0.844298147580919,0,0.842983841847066,0.844583564937629,0.881499445604582,0.882106436616301
"FGFR2 ligand binding and activation",0,0,0,0,0.513453909174475,0,0.480051268561346,0.493607660247694,0,0,0.508343660446679,0,0,0.517464923279762,0.496389341176083,0.489136840918797
"Synthesis of Leukotrienes (LT) and Eoxins (EX)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.529312395617695,0,0
"Collagen formation",0,0,0,0,0.623912925990794,0,0.755827601565807,0.684442086433836,0.757710218443653,0,0.753100378691183,0,0.691031876850036,0.689832080948294,0.688187438781454,0.68797777628959
"Striated Muscle Contraction",0,0,0,0,0.685010455683986,0,0.676341719310462,0.505044819493179,0,0,0.516942042706563,0.532464544337427,0,0,0.674352590356112,0.52496915139532
"Integration of provirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
