"","HLA-A","TP53","PLA2G4D","NRAS","IRF5","MTOR","HDAC5","MEF2A","GNAS","TCF7L2","ERBB2","ITGA4","PSMD2","APC","KISS1","RBP1","NRG1","OAS3","CHEK2","LAMC3","CACNG2","SLC9A3R2","CACNA1B","HLA-DQB1","OBSCN","NPHP4","OR5B3","OR52I2","OR13C5","OR4N4","OR10AG1","CTSA","CBLC","GABRR2","DUSP16","UBE4B","PLCH2","IGFALS","ITPKB","APBA2","RGS22","SMPD2","KCNJ12","INSL3","TUBB2A","RFC4","TAOK2","PDIA2","ABCA3","PDE2A","COL6A3","KLHL9","LIG1","SH2D3C","THBS2","FBXO15","ASB18","TAF1B"
"Interaction between L1 and Ankyrins",0.90929942314203,0.927084952761042,0.910568201283204,0.937272689942032,0.909812975431203,0.908401512562731,0.908884172732727,0.909918058704973,0.908222265204532,0,0.909430200869932,0.908501149079596,0.90901103108391,0.909762010111849,0.878719569312894,0,0.909679706929622,0.910160389540013,0.910900521921325,0.91021161716397,0.908944085724132,0,0.908480203075827,0.912624615866165,0.877714764659859,0.910112396408219,0.911680674449893,0.911680674449893,0.911680674449893,0.911680674449893,0.911680674449893,0.913292006286496,0.909782759818571,0.914317086711501,0,0,0,0,0,0,0.883641257108041,0,0.908494758789655,0.879176507319163,0.911069352207269,0.909346675600306,0,0,0,0,0.909806244423929,0,0,0,0.909154894030659,0,0,0
"Inwardly rectifying K+ channels",0.88477337932802,0.880014907999964,0.886203076033285,0.884121933433544,0.885352065224305,0.885504551398563,0.922951081568876,0.886734533137437,0.91725471393353,0.885857104576494,0.885472960927999,0.885396418916075,0.884448410634173,0.885294635996295,0.917054077276511,0.88427596690063,0.886392641193895,0.885743541709129,0.883532338467308,0.886353483901065,0.882591825317139,0.887382224641513,0.918282308501764,0.888520304757921,0.88774881416581,0.882254894642829,0.921151751676454,0.921151751676454,0.921151751676454,0.921151751676454,0.921151751676454,0.889272340006724,0.887060981625998,0.890427430923491,0.886397825288605,0.8872297752368,0.884765987608104,0.885378711167487,0.884703607883833,0.886200415324428,0.887214872647625,0.887185921658056,0.921238832486984,0.917568968525717,0.883722581422896,0,0.8483729842095,0.889855739627895,0.892296775093747,0.883473454469438,0,0,0,0.892296775093747,0,0,0,0
"TNFs bind their physiological receptors",0.497955795516133,0.496430689553014,0,0.497375894571684,0.498470927318546,0.497651403213976,0.436656288813995,0.499701565895434,0.498230668245019,0.49892050079779,0.498578545669275,0.498510409872608,0.526305720518541,0.498419805247098,0,0.500223778283494,0.499888792381713,0.497464066315639,0.437553607508597,0.499362365335682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499611810540678,0,0,0,0.435994982081558,0.502218527680276,0,0,0,0.498955745806125,0.495901902477775,0.437377678176364,0,0.499362365335682,0.43529792850734,0.43529792850734,0.499145407390179
"Cytosolic sulfonation of small molecules",0,0.755789854138152,0.831928595898785,0,0.760608710610058,0.829298894627437,0.761065911812091,0.763515367261064,0,0.761670562373932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832663482261279,0,0,0,0,0,0,0,0,0.831692147505802,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collagen chain trimerization",0.904556126116346,0.902308122962557,0.905858078404565,0.903275067818073,0.905083106016386,0,0,0.874052558785281,0.87254783029996,0.873253529090058,0.904690323228171,0.934421406103469,0.903572374048719,0.904342988573119,0.872365120670887,0.904024946475574,0,0.905439603798975,0,0.903143720919309,0.904654790885404,0.905288666578819,0,0.90796826109524,0,0.904702536255661,0,0,0,0,0,0.908653101459909,0,0.90970498418206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876894883256819,0.879117810468363,0,0.934840929172608,0,0,0,0.904608530504527,0,0,0
"GABA B receptor activation",0.888471541988673,0.885009646847663,0.888905572121946,0.887019141991885,0.888134182198321,0.88827240170984,0.923077324318354,0.890249209523916,0.917913910941221,0.888591969882333,0.88875154635128,0.889036289762936,0.888176977485752,0.888082126070078,0.917732045923879,0.88738414044793,0.889059749577589,0.88848903199875,0.887346613368897,0.889041907774108,0.888392487013937,0.89083630277184,0.918845363382417,0.89100600007193,0.890306690424336,0.887127279641312,0.921446340394712,0.921446340394712,0.921446340394712,0.921446340394712,0.921446340394712,0.891687674625315,0.89054511537141,0.892734694809622,0.889792309706104,0.890698116589693,0.888313147361221,0.888942388938099,0.888119382666938,0.889042744528669,0.889366823289111,0.89065836596796,0.921929655365912,0.918198763757787,0.887519057123351,0.886610881984681,0.855476781271042,0.891932603445546,0.894145254732347,0.919216008232849,0,0.853622576709481,0.888018841466631,0.894429142449426,0,0,0,0.887773965582641
"Activation of GABAB receptors",0.888471541988673,0.885009646847663,0.888905572121946,0.887019141991885,0.888134182198321,0.88827240170984,0.923077324318354,0.890249209523916,0.917913910941221,0.888591969882333,0.88875154635128,0.889036289762936,0.888176977485752,0.888082126070078,0.917732045923879,0.88738414044793,0.889059749577589,0.88848903199875,0.887346613368897,0.889041907774108,0.888392487013937,0.89083630277184,0.918845363382417,0.89100600007193,0.890306690424336,0.887127279641312,0.921446340394712,0.921446340394712,0.921446340394712,0.921446340394712,0.921446340394712,0.891687674625315,0.89054511537141,0.892734694809622,0.889792309706104,0.890698116589693,0.888313147361221,0.888942388938099,0.888119382666938,0.889042744528669,0.889366823289111,0.89065836596796,0.921929655365912,0.918198763757787,0.887519057123351,0.886610881984681,0.855476781271042,0.891932603445546,0.894145254732347,0.919216008232849,0,0.853622576709481,0.888018841466631,0.894429142449426,0,0,0,0.887773965582641
"Activation of G protein gated Potassium channels",0.87059705472155,0.86500013062179,0.872278667027979,0.86983082267451,0.871277706303922,0.8714570608665,0.915501749320714,0.872903768004563,0.908801669588937,0.871871734664443,0.871419904087814,0.871329875210544,0.870214825852473,0.871210157923755,0.908565680326095,0.870011997166202,0.872501633973189,0.871738161778242,0.869137339820852,0.872455577082055,0.868031106252672,0.873665584129628,0.910010328506312,0.875004196383825,0.874096767508029,0.867804789839765,0.913385373673154,0.913385373673154,0.913385373673154,0.913385373673154,0.913385373673154,0.87588874184343,0.873287737411331,0.8772473622372,0.872507731516416,0.873486272815467,0.870588360564857,0.87130904731898,0.870514989400456,0.872275537496561,0.873468744358374,0.873434692142849,0.914012526412259,0.909171296508847,0.869361103989959,0,0.827782832540912,0.876574937719039,0.879446088827304,0.869068080337281,0,0,0,0.879446088827304,0,0,0,0
"G protein gated Potassium channels",0.87059705472155,0.86500013062179,0.872278667027979,0.86983082267451,0.871277706303922,0.8714570608665,0.915501749320714,0.872903768004563,0.908801669588937,0.871871734664443,0.871419904087814,0.871329875210544,0.870214825852473,0.871210157923755,0.908565680326095,0.870011997166202,0.872501633973189,0.871738161778242,0.869137339820852,0.872455577082055,0.868031106252672,0.873665584129628,0.910010328506312,0.875004196383825,0.874096767508029,0.867804789839765,0.913385373673154,0.913385373673154,0.913385373673154,0.913385373673154,0.913385373673154,0.87588874184343,0.873287737411331,0.8772473622372,0.872507731516416,0.873486272815467,0.870588360564857,0.87130904731898,0.870514989400456,0.872275537496561,0.873468744358374,0.873434692142849,0.914012526412259,0.909171296508847,0.869361103989959,0,0.827782832540912,0.876574937719039,0.879446088827304,0.869068080337281,0,0,0,0.879446088827304,0,0,0,0
"Adrenaline,noradrenaline inhibits insulin secretion",0.896453561345223,0.893968327571565,0.897416155974345,0.895133142965182,0.896482597289764,0.89664987459195,0.929763065142278,0.898604946675776,0.932085578809378,0.897036625356524,0.896792430827994,0.897137035646758,0.896097070754085,0.896419597438303,0.931865480437386,0.895639307414192,0.89744900340476,0.896912046914093,0.894665011158728,0.897581153374746,0.932694268097591,0.899315464124178,0.933212849841991,0.899958155414562,0.899111830391731,0.896415402431881,0.936360628421743,0.936360628421743,0.936360628421743,0.936360628421743,0.936360628421743,0.900783137929734,0.898963060601414,0.902050272430788,0.898141362101426,0.899148227158176,0.896351236497399,0.897023394117577,0.896193436981822,0.899905922659193,0.898814137072343,0.899100119791202,0.935150518471169,0.932430316033172,0.895300836256756,0.895906189244939,0.856540863334128,0.901423127195649,0.90410094260583,0.933661415098574,0.896299171365425,0,0.897610143058251,0.90410094260583,0,0,0,0.897313787089445
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.87059705472155,0.86500013062179,0.872278667027979,0.86983082267451,0.871277706303922,0.8714570608665,0.915501749320714,0.872903768004563,0.908801669588937,0.871871734664443,0.871419904087814,0.871329875210544,0.870214825852473,0.871210157923755,0.908565680326095,0.870011997166202,0.872501633973189,0.871738161778242,0.869137339820852,0.872455577082055,0.868031106252672,0.873665584129628,0.910010328506312,0.875004196383825,0.874096767508029,0.867804789839765,0.913385373673154,0.913385373673154,0.913385373673154,0.913385373673154,0.913385373673154,0.87588874184343,0.873287737411331,0.8772473622372,0.872507731516416,0.873486272815467,0.870588360564857,0.87130904731898,0.870514989400456,0.872275537496561,0.873468744358374,0.873434692142849,0.914012526412259,0.909171296508847,0.869361103989959,0,0.827782832540912,0.876574937719039,0.879446088827304,0.869068080337281,0,0,0,0.879446088827304,0,0,0,0
"Classical antibody-mediated complement activation",0.724125761802825,0,0,0,0,0.62361410702214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD22 mediated BCR regulation",0.743278087386346,0.739178293452756,0.747736777087827,0.741246471107123,0.629445955625716,0.848857897267303,0,0.630468458712774,0.625315337925064,0.627732086953605,0.745459820941224,0.629584278213988,0.62333889702036,0.625977957664013,0.743615361636813,0.635586867430611,0.75005011964011,0.630666824474913,0.629839887598117,0.632569006217142,0.627045761585298,0.755622739464153,0.628520021339252,0.639326510661155,0.633631622171817,0.627209271256568,0.637468742200718,0.637468742200718,0.637468742200718,0.637468742200718,0.637468742200718,0.641671827543147,0.751655503449984,0.645274124419048,0.640481991075311,0,0.753995135123939,0,0.753800596077187,0,0.641985226756415,0,0,0,0,0,0,0,0,0,0.631144461450308,0.740830799891858,0,0.647815012591234,0.632569006217142,0.74100209304975,0.74100209304975,0
"Initial triggering of complement",0.730809516121346,0.727030461929336,0.676239999506621,0.728517923497027,0.675047851229642,0.730454779771148,0.67535247507017,0,0.674669757449877,0.675755341413274,0.730410525897221,0.730303301139709,0,0,0.728808429730604,0,0.732472450654762,0.675596255564741,0,0,0,0.734417173030115,0.676109275116429,0.73467943254079,0.733598681073962,0,0.680128967581554,0.680128967581554,0.680128967581554,0.680128967581554,0.680128967581554,0,0,0,0,0,0,0.734544407271443,0,0.73515635787059,0.682157735627674,0,0.678583665163658,0.675109984608751,0,0,0,0.681356875302731,0.684776427902949,0.676682089987717,0.73100412273157,0,0,0,0.7316440166286,0,0,0
"Ligand-dependent caspase activation",0.720351472742762,0.789752877180387,0.725036528568567,0.727389585245665,0.72317476551112,0.720177447715048,0,0.726199201466124,0.722584301182975,0.724279644084389,0.730345238748806,0.793655938909842,0.716994791131674,0.727874896443053,0.722145366786297,0.727482598518888,0.724579112660325,0.721265814292569,0.72132828506302,0.725365577046949,0,0.726733473549288,0.724832377922993,0,0.731090343150076,0,0,0,0,0,0,0,0.641878382752566,0,0.73091651450461,0.723951733510203,0.643519628038494,0.647389613531096,0.726337932623521,0.649553379471462,0,0.723373611064897,0,0,0,0.71994503589287,0.730827627696708,0,0,0,0.721016034361329,0.716861091258057,0.721189592473859,0,0.725365577046949,0.71698125294463,0.71698125294463,0.724832377922993
"Synthesis of Prostaglandins (PG) and Thromboxanes (TX)",0.786530419057194,0.843224044417199,0.907839443804074,0.783095608325281,0.787589217836173,0.844490176059771,0.78798708603138,0.790118664895102,0.845913339293311,0.788513268435758,0.785567530089192,0,0.783692950793118,0,0,0.78894913121518,0.788260603226578,0.788305486932744,0.785615570870199,0,0,0,0,0,0,0.785963652891371,0,0,0,0,0,0,0,0,0.791859165215524,0.788781903995643,0,0,0,0,0,0,0,0,0,0.786627840188754,0,0.793395913072542,0,0,0,0.782851739013663,0.78946982534677,0,0,0.782952234652923,0.782952234652923,0.7889755400802
"Interleukin-35 Signalling",0.797426902494331,0.794879778913016,0.80056339235094,0.867789830483094,0.798696432204497,0.800242421348416,0.800384950145133,0.80172931083579,0.799315782313435,0.801015857743997,0.870753734657143,0.800005198703049,0.797925444060532,0.799781905822615,0.798875622636712,0.803016290475862,0.803402188636668,0.798680695485835,0.800510343736542,0.802104822075252,0.800533058379127,0.804361688783847,0.79699909131149,0.732265467662634,0.720533476644256,0.800648080159007,0.807865161567435,0.807865161567435,0.807865161567435,0.807865161567435,0.807865161567435,0.733915293755815,0.803656941087387,0.73644934935695,0.806109610661791,0.728348662075643,0.802529660932818,0,0.803954455613367,0,0,0.719456444857608,0,0,0.718381286230401,0.798755175900117,0.809143764218871,0,0,0,0.799891255492706,0.796916807322595,0.802162796560044,0.815143302525039,0.800893359364159,0.797037304439059,0.797037304439059,0.799484108178571
"Blood group systems biosynthesis",0,0,0,0,0,0,0.808643072415755,0,0,0,0,0,0,0.808232822499073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768571403722113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806021696581112,0,0,0,0,0,0,0
"IL-6-type cytokine receptor ligand interactions",0.838701168177796,0.889353707475285,0.840160380239662,0.891119469116574,0.83966349905728,0.83991707730262,0.840025117202118,0.841962486420273,0.83921466494444,0.840503358758519,0.893366172354534,0.839737257425132,0.838160758586061,0.839567996609659,0.838881014423761,0.842019729879876,0.842312249002121,0.838212433538513,0.841701421178128,0.841328817189488,0.840137386435312,0.844620823722934,0.837458563238794,0.731674099445715,0.778333050745544,0.840224575423254,0.845695278663563,0.845695278663563,0.845695278663563,0.845695278663563,0.845695278663563,0,0.842505356849844,0,0.844885355147917,0,0.841220976957351,0.843853548307079,0.842730879272164,0,0,0.777396983622571,0,0,0,0.838789713201718,0.846664487028055,0,0,0,0.840569200858947,0.837396190201938,0.841372763098348,0.851212266358019,0.841328817189488,0.837487529613008,0.837487529613008,0
"G beta:gamma signalling through BTK",0.864151785192015,0.85645367611369,0.866464704704876,0.863097895989251,0.865087965499633,0.865334652958997,0.917487521704446,0.867324479720035,0.916699092838576,0.865905002685309,0.865283546863894,0.865159719542839,0.863626060798653,0.864101697883105,0.916374509003904,0.863347086611528,0.867664737783502,0.865721284158927,0.862144067322602,0.866708029943714,0.860622533972825,0.868372295185074,0.918361503837654,0.87021344631786,0.868071992110827,0.860707353669763,0.923003601063832,0.923003601063832,0.923003601063832,0.923003601063832,0.923003601063832,0.871430065895221,0.867852598079933,0.873298736579486,0.866779764081514,0.868125667210353,0.864000884523426,0.865131072489874,0.868965352482354,0.866731137218389,0.868372295185073,0.868054722234672,0.921219025718837,0.917207484286635,0.862451836545644,0,0.809508587722383,0.872373871922494,0.876322904287025,0.862048806595508,0,0.862882268948778,0,0.876322904287025,0,0.862971126284415,0.862971126284415,0
"Creation of C4 and C2 activators",0.756156790681635,0,0,0,0,0.697201065188691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGI-ADAM interactions",0.706828208447532,0.703181202033735,0.71642875853304,0.712496653167321,0,0.707799715106137,0.707922466365197,0.710123639375318,0.714310910891284,0,0.715049280969397,0.707595409877531,0.705804245517877,0.707403101496041,0.706622575702682,0,0,0,0.709827025926778,0,0.770889827405371,0,0.71625244537145,0,0,0.708149084011899,0.714364710959051,0.714364710959051,0.714364710959051,0.714364710959051,0.714364710959051,0,0,0,0,0,0,0,0,0.784116822333187,0.724410243575223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collagen biosynthesis and modifying enzymes",0.925865402946181,0.929321476052459,0.926675391689579,0.925068413063659,0.926193255042523,0.904534319698622,0.904236646587739,0.906795118975687,0.905783486949334,0.906298015460737,0.926261748002433,0.944445608094166,0.925253377368683,0.926160718751393,0.905669817082782,0.926770135182603,0.905870777290535,0.926415044422637,0.905427331759719,0.926221894830458,0.92635470156121,0.926321141250924,0,0.927988208020428,0,0.926384405577868,0,0,0,0,0,0.928414270474041,0,0.929068682445991,0,0,0,0.90647338656124,0,0,0,0,0,0,0.906218435371643,0.904435355315491,0,0.906971723008092,0.908354681535096,0,0.948880845397609,0,0,0,0.927373577602147,0,0,0.90588548738342
