"","EPHB1","TMPRSS2","LYPD6","FASN","PLCB1","KCNN2","ZNF423","CBX2","ABTB1","APC","GNA12","MYF6","LRRC41","TFAP2B","REV3L","AURKC","IL13RA2","NGFR","COL11A1","PAPPA","COL22A1","BCAS3","PADI4","WDR24","KIF1A","NEFH","NRG3","SLIT1","ZNF680","TP53","OR5AS1","POU2F2","NRXN1","GPR27","GRIA4","CACNA1B","TF","RUNX1T1","RALYL","HLCS","IL12RB1","IRF5","OR5B21","DEPDC7","A2M","KCNQ2","MYH6","OR2B11"
"GPCR ligand binding",0.939104553932985,0.930948647552435,0.940492033928345,0.939543366499274,0.946869414861352,0,0,0.938901642275679,0,0.939349590275149,0.947297249737052,0.939525026381085,0.938453097858466,0.931035236769846,0.939325917940157,0,0.939754640124576,0.939313958781647,0.939483308554631,0.940209378346473,0.939554209431442,0,0.931618132046631,0,0.929543880805844,0.939906685529287,0.939381513272086,0.930959713271484,0,0.938644100506397,0.948067601874251,0.929931349996764,0.939379290074832,0.947209724444751,0.939842678825343,0.947380529720779,0.947122670042803,0.93186656541241,0,0,0.939572127080639,0.938120852553709,0.948067601874251,0.939665025523287,0.947178644185052,0.939431796133319,0.939458609619071,0.948067601874251
"Signaling Pathways",0.87724258258092,0.875577724255505,0.875495000483088,0.875654168610039,0.879035811690046,0.875684786811228,0.875606361682039,0.871850931617287,0.873719249329418,0.87377416152321,0.877365636000883,0.875534281781311,0.875538589681686,0.877389678789466,0.875428963009875,0.87522534772249,0.87544105093441,0.873820846488954,0.877274311601202,0.877465724669013,0.877290038152266,0.87390380848514,0.875565813647696,0.875583027009597,0.877264391488652,0.875392145612456,0.877396959659739,0.875543600763902,0.875729735626654,0.876764968658041,0.877419170654979,0.87536100285826,0.875482947191276,0.877351860416676,0.877303521911407,0.879078279989521,0.877209574957895,0.875750908718571,0.875682022633599,0.875642509560297,0.877243510723678,0.877226528848211,0.877419170654979,0.877375966646346,0.877217166736246,0.877364175484032,0.875484171365712,0.877419170654979
"Voltage gated Potassium channels",0.860644704899336,0,0,0,0.823270707780672,0.831495912677739,0,0,0,0.829340877117905,0,0,0.828104306146509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826711849634115,0,0,0.824675490644726,0.861778803505518,0.825380567247207,0.8600304234662,0,0,0,0,0,0.826711849634115,0,0,0.891940450690269,0,0.826711849634115
"Extracellular matrix organization",0.845670498399655,0.828971643054256,0.84780602385832,0.846613060424845,0.846540843446281,0.837867534682333,0,0.846442810221571,0,0.846541362375801,0.847128014321925,0.847169843813506,0.845787258590781,0.847144159737854,0.837762531161696,0.836890771620654,0.83661874496273,0.846164428330607,0.804046378831063,0.84726712942808,0.855180271418014,0,0.829469762338378,0.83702833439829,0.837875092193828,0.828732166393387,0.846348917682576,0.847180554648028,0,0.853994407368578,0.837522388892093,0.83704230269612,0.818578380301307,0.836313693246813,0.846677783551803,0.846674659853224,0.846387698901111,0.847931405852589,0,0.84709913424015,0.844988569744868,0.855045694894029,0.837522388892093,0.846366469672276,0.856368518710225,0.847163353644732,0.845817944189592,0.837522388892093
"Cardiac conduction",0.881714483659144,0.883937575932195,0,0,0.898275828551452,0.883242673090261,0,0.88185274630057,0,0.881525036089495,0.88110540233488,0.883223960372705,0.880866114765495,0.883173194236739,0.882785995571046,0,0.882125148859331,0.881446660005027,0.86153224679676,0.86542287218111,0,0,0.885212985791149,0,0,0.884063469096514,0.881766070724267,0.86525968063183,0,0.897293066331097,0.882356471602324,0.882003501472253,0.881653036467981,0.880660643922802,0.899162446195264,0.897801868862473,0.881387156603444,0,0,0,0.881723687782567,0.898500211701456,0.882356471602324,0.863895824117363,0.898353923790351,0.882118370558332,0.900002684720485,0.882356471602324
"Anti-inflammatory response favouring Leishmania parasite infection",0.862188230948719,0.864356881782021,0.86703858931088,0.832652752030564,0.886982383940826,0.835023534050953,0,0.861952672416624,0,0.861895762956672,0.888435214699482,0.863280560721003,0.860105374948148,0.863202188272746,0.863069275119631,0.834375385639406,0.862373205810307,0.86132575889287,0.861646178077849,0.835368385872387,0.806541959473258,0,0.83491292000706,0,0.828597784842684,0.863021936367114,0.862732712506281,0.863892040018097,0,0.859629867478698,0.89105115683858,0.861861265545864,0.863121172931854,0.888137998544283,0.889280648903686,0.888718014744105,0.887842381426534,0.834166106987382,0,0.834135958802585,0.861753432670837,0.861493451071944,0.89105115683858,0.861906423082816,0.860634989931429,0.862811749057917,0.862071614971897,0.89105115683858
"Leishmania parasite growth and survival",0.862188230948719,0.864356881782021,0.86703858931088,0.832652752030564,0.886982383940826,0.835023534050953,0,0.861952672416624,0,0.861895762956672,0.888435214699482,0.863280560721003,0.860105374948148,0.863202188272746,0.863069275119631,0.834375385639406,0.862373205810307,0.86132575889287,0.861646178077849,0.835368385872387,0.806541959473258,0,0.83491292000706,0,0.828597784842684,0.863021936367114,0.862732712506281,0.863892040018097,0,0.859629867478698,0.89105115683858,0.861861265545864,0.863121172931854,0.888137998544283,0.889280648903686,0.888718014744105,0.887842381426534,0.834166106987382,0,0.834135958802585,0.861753432670837,0.861493451071944,0.89105115683858,0.861906423082816,0.860634989931429,0.862811749057917,0.862071614971897,0.89105115683858
"Adrenaline,noradrenaline inhibits insulin secretion",0.866371383080169,0.873345375079897,0,0,0.911732225928382,0.823639129623423,0,0.862986939739874,0,0.86584583103589,0.91434289853518,0.866790864805212,0,0,0,0,0,0.866435252347379,0,0,0,0,0,0,0.806814584003722,0.869119770511449,0.869545954188241,0,0,0.863387810494494,0.919043630841975,0.867173155849248,0.866027060893164,0.913808814251755,0.86804783855483,0.914851077705604,0.86627018222058,0,0,0,0.866396916508178,0.865929741075349,0.919043630841975,0.870040810442239,0.866611739602086,0.866658105079558,0,0.919043630841975
"Interaction between L1 and Ankyrins",0.875882774064244,0,0,0,0.87372677480602,0.881327190858405,0,0,0,0.828989465810042,0.873828848324193,0,0,0,0,0,0,0.873700976987228,0.8278411101434,0,0,0,0,0,0.877119042531696,0,0.876434572211938,0,0,0.864085040701829,0.878905932796867,0,0.830592210079892,0.831878200347919,0.878065028524227,0.874275421549347,0,0,0,0,0,0.876203705436516,0.878905932796867,0.830298641700845,0.873856068905827,0.919981264184331,0.827591817179083,0.878905932796867
"Class A/1 (Rhodopsin-like receptors)",0.932913325858932,0,0.934926942302801,0.933411017908719,0.943222245401522,0,0,0.933345449892373,0,0.93278725009688,0.943848525028736,0.934257981308861,0.932271489688568,0.920956520583028,0.933549154195214,0,0.932594263133611,0.933075202882793,0.933323102992664,0.934385949301823,0.933426890171365,0,0.921809783038673,0,0,0.934816667294121,0.933276838433399,0.921053857083131,0,0.931431247922141,0.934078716663587,0.919340612586743,0.933315494214696,0.943720402450266,0.933849161740926,0.933606623985154,0.944505867037189,0,0,0,0.932327094168174,0.931448467455718,0.934078716663587,0.920239583945831,0.944587803940731,0,0.933286947828528,0.934078716663587
"Phase 0 - rapid depolarisation",0.878946418999559,0,0,0,0.916338895287202,0.884189134547422,0,0.832127043788294,0,0.876132225434823,0.877528342895701,0.880910766767319,0,0.880792571968973,0,0,0.878352490412934,0.877156866857155,0,0,0,0,0,0,0,0,0.879383512094603,0,0,0.874215216050454,0.881473488932237,0,0.879187404978057,0.877080106247363,0.92299871885862,0.916401411660851,0.877018329771019,0,0,0,0.877417800188642,0.877409766233537,0.881473488932237,0.834884748740912,0.876603950276125,0.878249181986929,0.8780695128681,0.881473488932237
"NCAM1 interactions",0.870537348523415,0,0,0,0.869140937244759,0.83101501238851,0,0,0,0.869597671197021,0.870670705274924,0,0.869225693247051,0,0,0,0,0.869907252725747,0.911827381614221,0,0.91542157566382,0,0,0,0,0,0.872545341140667,0.875020480392969,0,0.868007074432228,0.8734548836277,0,0.872643359009987,0.86901540028684,0.87024533970386,0.909069625337612,0.867869695507639,0,0,0,0.868845244629495,0.910712582863626,0.8734548836277,0.830397390784017,0.870056926016806,0.874058441288615,0.828285983354761,0.8734548836277
"Drug ADME",0.792621836595603,0,0.796911837686097,0.845767707175216,0.790836172171152,0,0,0.792227989657572,0,0.843963803426229,0.843207392287861,0.845880170604385,0.790885202520969,0.845811078839196,0.845679945786786,0,0.741885535688182,0.843175540256598,0.796512260746779,0.795162069465332,0.796724513495232,0,0,0,0.792334159803276,0.7952367421933,0.796849794311099,0.794633255802401,0,0.862724341580167,0.794423130444234,0.844614985897533,0.792862281941697,0.791937774232861,0.792862281941697,0.795320772787746,0.84338031489722,0,0.847312727732536,0.847075276050473,0.843328071033936,0.843323374717792,0.794423130444234,0.793344668962762,0.843037625627551,0.793680890385522,0.821610654730979,0.794423130444234
"Peptide hormone metabolism",0.713410052667444,0.68992836506579,0.690857764403002,0.715115664981988,0.735796995733883,0,0.692075809641755,0.713106511564619,0,0.712667138476118,0.736608437215032,0.716968568162606,0.687016087539503,0.715158391488427,0.688748840424759,0.689004271633068,0.714143187650124,0.736051164924703,0.686386352192552,0.739278109773505,0.686595447661605,0,0.69320257893335,0.666537094409625,0.736601244667337,0.716352015615884,0.714835880844179,0.715072298626203,0,0.714065810793163,0.738659141675474,0.689570961692789,0.713172028296233,0.736129154860386,0.738295633347454,0.736632880779077,0.712482278396756,0.692130479204284,0,0,0.713604934073491,0.7127076921975,0.738659141675474,0.714793537877975,0.736076113648604,0.714537800258938,0.714162772434557,0.738659141675474
"Glucagon signaling in metabolic regulation",0.85025227001595,0.856465915418693,0,0,0.894061108894296,0,0,0.851173416411898,0,0.850306542137547,0.896550492711043,0.85424520794249,0.790534915274585,0.854110919001258,0,0.800298256916359,0.852663349862697,0.850099218077896,0.851084590258096,0,0,0,0,0,0,0.853951943773281,0.85306540035644,0.854856617070989,0,0.847193356802419,0.901032834503314,0.851016793361718,0.848932959415618,0.89604122135757,0.897999119960661,0.897035062472707,0.848014922216246,0,0,0,0.851601386372278,0.849831146181145,0.901032834503314,0.850600181645743,0.849712098307807,0.852645419586,0.85137722106736,0.901032834503314
"Glucagon-type ligand receptors",0.87470933243671,0.837032207541304,0,0,0.913057338872516,0,0,0.875009489451104,0,0.877779943659308,0.915100343583407,0.877986284323094,0,0,0,0,0.879082739956522,0.874127908940282,0,0,0,0,0,0,0.830955545328821,0.879808789878434,0.876562215907196,0,0,0.871743106630947,0.91877894281581,0,0.875741304174393,0.914682391250277,0.876021257349628,0.9154980236435,0.873998731866988,0,0,0,0.878211200421668,0.874363721618247,0.91877894281581,0.877580874953171,0.874266020587005,0.877784190874703,0,0.91877894281581
"Cytosolic sulfonation of small molecules",0,0,0,0,0.584682763885285,0,0,0,0,0,0,0.507623356073396,0,0.507353990658116,0,0,0,0.589068365513069,0,0,0,0,0,0,0,0,0,0,0,0.49236422602189,0,0,0,0,0,0,0,0,0,0,0,0.498769346439402,0,0,0,0,0,0
"Regulation of insulin secretion",0.87676246094765,0.879873764490429,0.851919343467313,0.877953902275983,0.902141244712511,0.853596949473392,0,0.876977241136208,0,0.876919976760704,0.90440291272278,0.878313410809129,0.84650898463954,0.878234549591503,0.848703245734337,0,0.877852204964447,0.873889325509584,0.87692507795299,0.850634436719234,0,0,0,0.847713353928311,0.844779196236834,0.878171413707776,0.878088309227332,0.878928703593698,0,0.876966444286038,0.906257198105799,0.876885264206969,0.876964539677804,0.903325871914863,0.904475648407324,0.903909505382715,0.876253983993802,0,0,0,0.878006537678699,0.876188992574503,0.906257198105799,0.878234814444053,0.87722321602937,0.878309416151711,0.87709692547611,0.906257198105799
"Regulation of FZD by ubiquitination",0.747673789147641,0,0.748507512166563,0,0.742686459599206,0,0,0.731818955223702,0.739909328494635,0.806398070480025,0.749275125026875,0.737037889259901,0.79509126472139,0.73684466989302,0.802398461668353,0.738237635456698,0.732855737892692,0.797300859394985,0,0.7551025533336,0,0,0.744608255307138,0.735342384981082,0,0,0.742850071027068,0.756312095014331,0,0.809517770927864,0.752432750580807,0.733003795228383,0.73884951717732,0.745250652614445,0.741901659346159,0.746965482296662,0.802849305618331,0,0,0,0.7313277497249,0.729158242325035,0.752432750580807,0.75270819414362,0.74689657224135,0,0.732911334957311,0.752432750580807
"Platelet homeostasis",0.788664396168971,0.792286102798698,0.763659298277141,0.789380784775532,0.842958956204595,0.791355569724618,0,0.787582798420418,0,0.78804260680618,0.843373922994024,0.788053132125157,0.757581914992292,0.761056491068978,0.729703542916903,0.73025851288158,0.789033586596336,0.788760588541583,0.731283323474171,0.733526768515274,0.730782475734735,0,0.76364285483514,0.730144816201953,0.75475124049317,0.818171648317705,0.788208518000162,0.759823217846545,0,0.785717057002648,0.81731030157902,0.788845470299736,0.786782855520162,0.814392213381995,0.787617801419884,0.814973211136252,0.787508935883282,0.76244501059573,0,0.759769032975093,0.817233059160556,0.78803356171303,0.81731030157902,0.787893814737437,0.785602502740629,0.788108593785115,0.788606408300529,0.81731030157902
"Peptide ligand-binding receptors",0.930997202749501,0,0.933208003643648,0.931447135888493,0.942291041494071,0,0,0.931374666528209,0,0.930857856916999,0.942983240015121,0.932383246193678,0.930273052078214,0.917322755128504,0.931685196819107,0,0.930544413809052,0.931075974742271,0.931349967511578,0.932524683423344,0.931464678781878,0,0.918624816160285,0,0,0.933000736522157,0.931364959237276,0.917789325421464,0,0.929258985744084,0.931418198891378,0.91589575383608,0.931441701227459,0.94284163192909,0.931931396431999,0.931663330429931,0.943709770379999,0,0,0,0.930249124045966,0.929302905094112,0.931418198891378,0.916889346183954,0.9438003315303,0,0.931310006845359,0.931418198891378
"NCAM signaling for neurite out-growth",0.885864239809554,0.853941924264209,0.856323153584936,0.851462601116056,0.88612741172476,0.892356732242871,0,0.847216130457765,0,0.885692229280704,0.886398923307961,0.851637801527481,0.886197698885642,0.851538755446153,0.848803333689183,0,0.850994552464296,0.885539315455597,0.921526780522266,0.85136977448778,0.924507403588228,0,0,0,0.888274842817811,0.851711148329335,0.886482218956339,0.890006140912154,0,0.885187112562825,0.889280824673272,0.846462720327061,0.889031929109216,0.885599213089667,0.889031929109216,0.919239805513424,0.885915340313066,0,0,0.853337058554034,0.884741640594912,0.920602290963807,0.889280824673272,0.85243328497909,0.886477384330342,0.923265445964481,0.851269780484439,0.889280824673272
"Collagen chain trimerization",0.84903315328545,0,0,0.797835071640129,0.791842647945578,0,0,0,0,0.793037587050657,0.794633860621377,0.798942805943774,0,0,0,0,0,0.848825841528586,0.605846657646385,0,0.905578371485417,0,0,0,0,0,0,0,0,0.844299493953246,0,0.795322957674508,0,0,0,0,0,0,0,0,0.84906045246794,0.849148015693108,0,0,0.851833315382619,0,0,0
"Protein-protein interactions at synapses",0.830058636191262,0,0.808834782078375,0,0.805612125258133,0.80914544069036,0,0.775666150262524,0,0.804515340827558,0.806058271042894,0.777888205555747,0.802368634797589,0,0.805479805688427,0,0,0.804388332217529,0.774801737297884,0,0.775054463774621,0,0,0.777129629671472,0.804434136418151,0.779248631211634,0.80667676043889,0.780753064915362,0,0.803079492996424,0.807885980351831,0,0.714015301608953,0.803523289979632,0.75428170709937,0.803864818348256,0.831448776404542,0,0,0,0.775549611562812,0.803218126311198,0.807885980351831,0.806698472787922,0.804962744799615,0.774701834007245,0.804165265888864,0.807885980351831
"Synaptic adhesion-like molecules",0.876219649363945,0,0,0,0.792586307395238,0.811846407196884,0,0.715729986271519,0,0.797136222681051,0.715899489978747,0.72205880201379,0,0,0,0,0,0.796774479166836,0.71326798166024,0,0.713987792418027,0,0,0.71989824056748,0.79766641882134,0.725933540564819,0.801949938315427,0.723886942819844,0,0.791704269412198,0.801856109851777,0,0.798488347201759,0.562640972128481,0.654823220835299,0.796806238795309,0.7951574434978,0,0,0,0.715134318828332,0,0.801856109851777,0.804115658723923,0.797068111479965,0.719860826650561,0.795736439524988,0.801856109851777
"ADP signalling through P2Y purinoceptor 1",0.758399590329248,0.696839684490802,0,0.692903093637265,0.823419120517986,0,0,0.753826345166175,0,0.752795018782916,0.888187880371868,0.758947158949015,0.685717317355893,0.694071707496581,0,0,0.690276528319987,0.755158702194117,0,0,0,0,0.70145819533266,0,0.680657385314999,0.761987185741601,0.756735548695187,0.695689857058135,0,0.748697042983489,0.827155076647503,0.689836019120406,0.755090597637974,0.820321831898293,0.755669399586368,0.821682345901136,0.752459534204164,0.698653220874499,0,0,0.759486134058213,0.75274917340781,0.827155076647503,0.758434720905226,0.75290538462576,0.758564224214448,0.690329424890273,0.827155076647503
