"","PACRG","COL10A1","DSE"
"Adaptive Immune System",0.899100752047307,0.901991526981533,0.902264517383979
"FCGR activation",0,0,0
"Prostacyclin signalling through prostacyclin receptor",0,0,0
"G alpha (s) signalling events",0,0.947817845350339,0.948440707936472
"Molecules associated with elastic fibres",0,-0.0280698185490915,-0.0280698185490915
"G alpha (z) signalling events",0,0,0
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",0.862442527299148,0.876045659618411,0.876551657321467
"Transport of small molecules",0.924182784908748,0.924222150795912,0
"PI3K/AKT Signaling in Cancer",0,0.887009002612997,0.886485478451774
"G beta:gamma signalling through PLC beta",0,0,0
"Blood group systems biosynthesis",0,0,0
"Purinergic signaling in leishmaniasis infection",0,0,0
"Cell recruitment (pro-inflammatory response)",0,0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0
"L1CAM interactions",0,0.916016750925916,0.916782872929147
"G-protein mediated events",0,0,0
"Glucagon signaling in metabolic regulation",0,0,0
"Keratan sulfate biosynthesis",0,0.898141874529909,0.900620820592115
"Ca-dependent events",0,0,0
"YAP1- and WWTR1 (TAZ)-stimulated gene expression",0,0,0
"CD22 mediated BCR regulation",0,0,0
"Lewis blood group biosynthesis",0,0,0
"Unwinding of DNA",0,0,0
"Unblocking of NMDA receptors, glutamate binding and activation",0,0.904725938561726,0
"Other interleukin signaling",0,0.653261587070858,0.656555643495238
"Ion homeostasis",0,0,0
"Aquaporin-mediated transport",0,0,0
"Calmodulin induced events",0,0,0
"CaM pathway",0,0,0
"NCAM1 interactions",0,0.939051069430038,0.907800459690415
"Interferon gamma signaling",0,0.901948856922179,0.903267278214546
"PLC beta mediated events",0,0,0
"Defensins",0,0,0.693448002905006
"Heme degradation",0,0,0
"CD28 dependent Vav1 pathway",0.741459937362791,0,0
"Physiological factors",0,0,0
"Response to elevated platelet cytosolic Ca2+",0,0.734476405098134,0
