"","KIF25","FRMD1","THBS2","RNGTT","TRMT11","CENPW","RSPO3","RNF146","ECHDC1","PTPRK"
"Glycosaminoglycan metabolism",0.827639940620866,0,0.838474470259726,0,0,0,0,0,0,0.840619271924363
"Neurexins and neuroligins",0.913594430705147,0,0.914872812446294,0,0,0,0.934353865994948,0.933109171226142,0,0.934677873613086
"Class B/2 (Secretin family receptors)",0.858559936546169,0,0.841637265724158,0,0,0,0.857428593927439,0.856460880647996,0,0.85768050024421
"Glucuronidation",0,0,0,0,0,0,0,0,0.868959819139639,0
"Regulation of gene expression in beta cells",0.715081012511633,0,0.714746704388244,0.715617614511018,0,0.716244481270944,0,0.715730869594446,0,0.719363732509586
"Synaptic adhesion-like molecules",0.767023077986206,0,0,0,0,0,0,0,0,0
"IL-6-type cytokine receptor ligand interactions",0,0,0.803725280487641,0,0,0,0,0,0,0.80855014581827
"Peptide hormone metabolism",0.857630276535838,0,0.844642067985931,0.845017387896384,0,0.844898369997853,0.830499152450576,0.830991856537163,0,0.846095706247315
"Regulation of beta-cell development",0.744000570816469,0,0.774166622170811,0.774984893112493,0,0.774358979335132,0.775441056919412,0.773543921140482,0.744608271055422,0.776744560909873
"O2/CO2 exchange in erythrocytes",0,0,0.211692205802411,0,0,0,0,0,0,0
"Recycling of bile acids and salts",0,0,0.786867586726979,0.790380275323593,0,0.789832100377882,0,0,0.789851235197633,0
"Endogenous sterols",0,0,0.46016542798074,0.464716142140707,0,0.46400597742813,0,0,0.464030766729201,0
"ERBB2 Activates PTK6 Signaling",0.830816440326073,0,0.83237871455211,0,0,0,0.833781161330097,0.831768931999466,0,0.897902965525734
"ECM proteoglycans",0,0,0.83733029437139,0,0,0,0.787152659447829,0.785544403796854,0,0.814525524319582
"Classical antibody-mediated complement activation",0,0,0,0,0,0,0,0,0,0
